0:1:58|0:2:3|行进途中，一个头戴钢盔的日本士兵正迎着冬日清冷的阳光仰面休憩。
0:42:47|0:43:5|此时，一个穿着风衣，腰间挂着武士刀的日本军官，抬脚迈上了架着机关枪的临时木台，湖边，萧瑟的寒风刮过，轻轻荡动他的衣角，下一秒，他满意地低下头，俯瞰着面前的一切。
0:43:5|0:43:21|机关枪的扫荡之下，一批又一批的百姓压在那原本茂盛的芦苇荡上，将近500米的长岸，早已失衡遍野。好在屠杀发生时，有外国友人的照片和文字记录，我们知道了当时最真实的情况。
0:43:23|0:43:36|1937年12月12日至12月18日，在南京失守后的一周内，所有俘虏全部被屠杀。南京城里的其他中国难民纷纷开始寻求帮助。
0:43:36|0:43:46|拉贝先生，也就是早前乘坐轿车的德国老人，他所创立的国际安全区成为了南京城内百姓迫切想要寻求庇护的地方。
0:43:48|0:44:5|听闻安全区能够保证生命安全，人们如蜂拥般挤了过来，不带铁大门敞开，老百姓们便扯着脖子往里钻。可安全区一时间容纳不下如此庞大的人群，警察们只好强压着大门维持秩序。
0:44:5|0:44:9|[顺子]则另辟蹊径，翻过一处少有人把守的铁栅栏跑了出来。
0:44:24|0:44:34|已经进入安全区的众人，则在教堂中领着床铺牌子。身穿毛衣大衣的女人，正带着女孩们在街边捡着棉衣棉服。
0:44:38|0:44:57|突如其来的枪响一进马边，女人，也就是[小江]老师，赶忙让孩子们回到安全区的帐篷里去。随后压低身体，躲在栅栏边的麻袋旁，紧紧露出一双秀彻的眼睛，死死地盯着那日本士兵的身影。
0:44:57|0:45:6|但慌乱过去，[小江]又拿来木板，将女生宿舍的窗户全部封上。另一边，[唐天祥]终于在自己的目的地停了下来。
0:45:8|0:45:24|城门洞外，尸体如垃圾一般遍布在早已干涸的小路上。[顺子]一个个翻开头朝下的尸体，终于他看到一张熟悉的面孔。[陆剑雄]正瞪大双眼怒视着前方，可整个人早已僵化了过去。
0:45:24|0:45:33|[顺子]强忍住泪水，伸出右手将[陆剑雄]的双眼轻轻合上，随后拖着他的腋下将他摆放至另一旁的战士旁边。
0:45:35|0:45:49|突然，那死须中扬起一颗头，凑近了看，竟是那个被[陆剑雄]拢在怀里的小男孩。小男孩趴在地上，喘着粗气撑直了身体，看了看左右，强忍着扑鼻的心悸咽了咽唾沫。
0:45:56|0:46:7|趴伏在小男孩右前方的男人，突然也喘着粗气醒了过来。最后，二人便被[顺子]带回了安全区。接着，[小江]老师将他们安置在一处房间中。
0:46:18|0:46:36|坐在墙上的[小江]老师问，轻轻将小男孩搂入自己的怀中，强忍着泪水，将他头上早已破烂的棉帽摘下。大中午，湖边日本士兵们架起芦苇杆，玩着跳高的游戏。
0:46:45|0:46:48|[角川正雄]打来一桶水，正为日本军官搓着背。
0:46:54|0:47:4|听到[角川正雄]说他想吃炖山药，日本军官连忙夸赞，[角川正雄]妈妈做得很好吃。
0:47:8|0:47:12|因为[角川正雄]是个有知识的人才，上边正在考虑给[角川正雄]升职。
0:47:14|0:47:27|在二人不远处的湖边，几个日本士兵围坐成一圈，看着中间的那个士兵拿起毛巾开心起舞。
0:47:41|0:47:51|隔天，[角川正雄]抱着换洗的衣服，来到了一处挂有皇军休息所牌匾的小院内，身着和服的中年女子健壮，赶忙迎上前程。
0:47:57|0:48:18|[角川正雄]站在标着3号。先开窗帘，入眼便是[百合子]赤裸的背部。她先是蹲在床尾的水盆前，清洗了一番下面，随后随手拿过一条毛巾裹在身上，接着轻车熟路地仰躺在那简陋的单人床上。
0:48:18|0:48:30|脚穿则缓缓脱下自己的外套，搭在一旁的椅背上，然后从裤子口袋里套出一枚避孕套。床上的[百合子]看着根本不敢面对自己的脚穿，轻轻坐起身说。
0:48:34|0:48:53|已经脱下裤子，却急忙戴不上避孕套的[角川正雄]，低头看了看左前方的[百合子]，随后扭捏着将那东西放在了他手中。谁知[百合子]刚一碰上，[角川正雄]竟无意识地颤抖起来，双眼也连忙紧闭。
0:48:53|0:49:1|突然，他急忙大喊抱歉，并且立刻蹲下身，将挂在一边的军装外套盖在自己赤裸的下身处。
0:49:2|0:49:7|等到她终于冷静下来，也连连避开[百合子]直直而来的目光。
0:49:25|0:49:32|坐过来，说话间，一缕发丝从[百合子]的额前轻轻落下，[角川正雄]鼓足勇气从床边站起。
0:49:34|0:49:44|听到这温声细语，[角川正雄]坐在床沿最外侧后，慢慢地将自己上衣的扣子一粒粒扭开，然后转过身，抬起头面向[百合子]。
0:49:44|0:49:58|[百合子]很快将自己身上搭着的毛巾除去，牵一手揽过[角川正雄]的后颈，而后直直地跪在他的面前，俯身稳住了他的双唇，被这柔软所倾处，[角川正雄]慢慢地腹地的身体向他倒去。
0:50:7|0:50:17|而[百合子]也在这软胸细语中伸出双手，低气着将他拉在身前。一阵厌足过后，[角川正雄]披着军装走了出来。
0:50:25|0:50:28|那日本士兵听到[角川正雄]说。他将来要娶[百合子]为妻。
0:50:42|0:50:54|另一边，安全区的大堂内，[唐天祥]、[唐太太]和一众妇女们正点着蜡烛玩着麻将。[唐天祥]则教众人用日语念朋友一词。
0:51:1|0:51:3|但众人现如今只将注意力放在了牌桌上。
0:51:35|0:51:53|[唐天祥]冲着背上的女儿撒了个谎，随后循着声音独自拎着煤油灯，来到安全区一楼的楼梯拐角。刚一转身，竟看到几个日本士兵正将一个女孩压在桌上肆意侵犯。
0:51:53|0:52:0|唐先生撒开腿便冲向了二楼，此时正撞上刚出宿舍的[姜淑云]和一位外国妇人。
0:52:3|0:52:21|那外国妇人一踏入一楼大堂，便被面前的一幕惊在原地，随后直直冲向那个正在泄狱的日本士兵。而[小江]则趁机将那女孩从桌上拽起，可受到惊吓的女孩早已分不清情况，连忙捂住赤裸的身子，疯狂地大呼不要不要。
0:52:36|0:52:40|此时才发现，做出禽兽行径的竟是那日本军官。
0:52:46|0:52:51|然后嘴角一扬，冲他们说着，都是朋友，接着便下令收队。
0:52:58|0:53:16|听到唐先生回答会一点，就问他是做什么的。唐先生堆起笑容，从上衣口袋拿出一张纸，表明自己是拉贝先生的秘书。日本军官看了眼，随即捏着那张纸，扭头向大门走去，一边走一边提起裤子。
0:53:16|0:53:21|快要出门前，又急快地瞥了眼刚刚躺在床上的女孩。
0:53:28|0:53:40|拉贝先生望着被[小江]拥在怀中的女孩，嘀嘀地问道，今晚有几个孩子被强奸，在[江老师]回答有六个之后，场的众人都悲痛地低下了头。
0:53:40|0:53:47|回到阁楼上，[唐天祥]站在窗边静默了一阵后，拿起剪刀便强压着[唐太太]，让她坐在木凳前。
0:53:48|0:54:4|感受到身下人的颤抖，[唐天祥]虽不忍心，可下一秒，那剪刀还是直冲[唐太太]头发而去。一刀下去，原本精心打理的烫卷发便被无情地剪断。[唐太太]流着泪，想要扎住那碎发。
0:54:15|0:54:39|无序无情的剪刀就这样在[唐天祥]的手下来回翻跳斩，也在这一生生的修剪中彻底丢了魂。隔天一大早，在阵阵铃声中，安全区内几乎所有的女性一夜变了样，她们排着队整齐地走向院中，头发几乎都短过了耳伤。
0:54:42|0:54:44|除了头发，指甲和口红也变成了修整目标。
0:55:16|0:55:32|听到妓女[小江]的暗讽，和[江老师]同属安全委员会的大娘瞬间就变了脸色。大娘听完[江老师]的吩咐，立刻压着[小江]将她按在院中的板凳上。
0:55:32|0:55:38|[小江]甩了甩自己肩上的卷发，不带身后理发的人掏出剪刀，就直冲了出去。
0:55:39|0:56:0|另一边，小孩子们打闹着跑出了安全区的大门，迎面就撞上了两个嘴里念叨着主意不错的日本士兵。看到了同伴故意冲着孩子们大吼，身背长枪的日本士兵咧开嘴，蹲在了一个小女孩面前，摸了摸她的头说不要害怕。
0:56:2|0:56:18|然后变戏法似的从口袋中掏出了两颗糖果，孩子们瞬间就笑了出来。接着，他握住那个小女孩的手，脚步轻快地和她一起走进了安全区的大门，同伴则牵着狗，推着自行车跟在后面。
0:56:19|0:56:27|此时，安全区的路边摊上正在做饭的人们，看着日本士兵大摇大摆地走进来，纷纷停下了手中的活。
0:56:36|0:56:52|他们来到了院内的升旗台。身背长枪的日本士兵抬头看了看，便挥开了小女孩的手，示意她走开。在安全区内的众人没反应过来，二人直接将象征安全区的十字旗帜扯得稀碎。
0:56:52|0:57:13|等到大娘等一众安全区内的职员发现不对劲，再冲出去时，只能够看到二人骑着那自行车扬长而去。[小江]老师察觉到不对劲，也连忙穿过安全区内的小道冲了出去。可谁知道，大门外早已埋伏着武装整齐的日本士兵们。
0:57:13|0:57:29|那群日本士兵看到年轻的[小江]老师，瞬间拥坐一团，将他死死扶在身前。每个人都争先恐后地将自己的手掌触向[小江]老师，而其他在[小江]老师之前跑出去的员工也早已被死死地按跪在地上。
0:57:29|0:57:49|此时，院内也已经乱作一团，手无寸铁之力的女人们，只能看到日本士兵眼中散发着恶狼般的凶光朝自己扑去。而跪在大门外的[小江]老师和一些安全区的外国职员，只能听着日本士兵们的取笑，叫他们终于中计了。
0:57:49|0:57:56|没有了[小江]老师等人的坐镇，已经将自己尽可能伪装成男孩的女孩们，这下就等同于羊入虎口。
0:57:57|0:58:5|四五个日本士兵冲进宿舍内，七手八脚地将女孩死死按在床上，根本无需言语，竟默契地分工开来。
0:58:5|0:58:18|但女孩的四肢均被蛮力压制后，为首之人便跪坐在她身上，一把将她胸口的棉衣扯烂，接着又奋力地将她的裤子褪去，在女孩的生生哭泣中灿烂地享受着。
0:58:20|0:58:40|煎熬的时光过去，日本士兵们终于厌足地离开。而[江老师]刚被外国职员搀扶进院内，迎面便看到一个女孩从高处跳了下来。接着，她发疯般地冲进了女生宿舍，入幕的竟是一个个衣衫褴褛，痛哭不止的女孩们。
0:58:43|0:58:52|此时，[江老师]发现了正缩在窗边发呆的[小江]，逐渐靠近后，才发现他的情况十分糟糕。
0:58:52|0:59:11|[小江]的腿虽然堪堪能合拢搭在床架上，可双膝上那拳头般大小的伤口正狰狞润向外渗出鲜血，经脉突兀的手更是死死地抓紧身上披着的外套。察觉到[江老师]将手附在自己身上时，[小江]这才抬了抬眼皮，缓过神来。
0:59:15|0:59:22|寒冬更深了，[角川正雄]穿着厚重的外套，再次敲开了[百合子]的大门。
0:59:25|0:59:37|听到[百合子]有气无力地回应着自己新年快乐，[角川正雄]原本仰致的嘴角瞬间落了下去。[角川正雄]满心欢喜地说。
0:59:38|0:59:43|可[百合子]想都没想，奄奄地躺在床上，直接将双腿打开。
0:59:56|1:0:13|看到[角川正雄]从身后拿出一个布袋子，[百合子]从床上慢慢冲起身，费力地坐了起来。[角川正雄]也小心翼翼地将那袋子递了过去。在[角川正雄]充满期待的眼神下，[百合子]将袋子拎放在光洁的双腿上。
1:0:13|1:0:22|像是触摸到了什么，他匆匆将绕在布袋上的绳子层层解开。一个圆形的铁罐头显现出来。
1:0:25|1:0:47|罐头盒中还有不少糖果。[百合子]此时终于兴奋起来，急忙将那糖果的果衣拆开，然后小心翼翼地将剔透的糖果塞入口中。[百合子]像个小孩子一般，边吃边赞叹道好甜，接着又在袋子中翻翻找找，突然他愣住了。
1:0:50|1:1:8|那用红豆和面粉特制而成，独属于阳春气味的茶点，正在散发着隐隐香甜。贾川看到孩子般满足的[百合子]，同样也兴奋了起来。他又扭过身，从随身的小包中拿出一瓶清酒滴了过去。
1:1:8|1:1:14|[百合子]欣喜地将酒捧在鼻子前，然后迫不及待地深吸一口气。
1:1:42|1:1:55|脚穿愣了愣，小心地念出了自己的名字，可[百合子]像是毫无反应一般，只是笑容满面地将双腿打开。见状，脚穿只能抿抿嘴角，说了声好，便栖身而上。
1:2:8|1:2:32|早一时记忆销毁安全区内旗帜的两个日本士兵，正在主路上手舞足蹈地跳着。看到[唐天祥]路过，便直直将他拦下。那士兵江嫣强行递到[唐天祥]面前，[唐天祥]只好面寒微笑将他叼入嘴中。
1:2:34|1:2:54|看到[唐天祥]如此这般，站在后面的那个士兵从大衣口袋里掏出了两盒用牛皮纸包装的日本烟，然后强行将烟塞进了[唐天祥]的怀中。下一秒，[唐天祥]就看到，士兵两指轻搓，看上去这是要强制以物换钱。
1:3:1|1:3:10|哦，[小江]递给老郭后，他轻轻敲开了门。
1:3:34|1:3:45|原因则是他现在保护南京难民的这种行为，破坏了德国和日本的友好关系。
1:4:34|1:4:55|[唐太太]坐在窗边，不敢置信拉贝先生已经抛弃为她工作十几年的丈夫。[唐太太]扭头，向正在背诵三字经的小女儿处看去，然后无助地念着，我们之后该怎么办。
1:5:10|1:5:24|[唐天祥]放下手中的全家福，站起身，拿起挂在木桩上的西装外套，慢慢地穿戴着。[唐太太]则拉开抽屉，拿出五枚银元后，走向自己的丈夫。
1:5:27|1:5:44|[唐太太]一边抬手整了整丈夫的外套，并轻轻拍了拍他的肩膀。而[唐天祥]则低头摘下了自己右手无名指上的戒指，放入[唐太太]手心后，便一把将它牢牢地拥在身前。
1:5:44|1:5:49|感受到颈尖的湿气，[唐天祥]用力缓紧怀中之人，接着便毅然离开。
1:5:50|1:5:57|因风烈烈，漫天沙土，卷起烧焦的旗帜，裹挟着刺鼻的恶臭之味，向[唐天祥]袭去。
1:5:57|1:6:11|可他丝毫不在意，而是双手交握于胸前，直直越过曾经宁静神圣的教堂，接着他来到了昔日最繁华的大街上，目光所及，往往片瓦无存，到处都是残垣断壁。
1:6:12|1:6:21|街头上更是横七竖八躺满了尸体，只有那被炮弹轰炸过后，烧了几天几夜还没烧成灰烬的陈年老木。
1:6:22|1:6:43|此时，一道整齐却通雾的声响传入了[唐天祥]耳中。他抬头一看，原来是一行八人的日本士兵小队。直一瞥，他就急忙弯下整个脊背，连忙退至一旁恭敬示好。好在小队并无刁难之意，在经过他后，就向斜前方的小道处走去。
1:6:43|1:6:49|用余光打亮到一行人没了身影，[唐天祥]热财挺直腰板，回到主路，继续向前走着。
1:7:18|1:7:29|等巡逻的日军小队离开，一个梳着背头的西装男子带[唐天祥]走了进去。
1:7:42|1:7:50|话音刚落，他便注意到了来人，那个梳着背头的西装男子，也就是[伊田]先生，向他介绍着滕先生。
1:8:0|1:8:16|另一边的安全区内，[唐太太]在送走了丈夫后，带着全家老小来到了院中晒太阳。妹妹[小妹]正唱着乐剧版的梁柱，虽然只是穿着破烂的棉袄，可一平一动间，仿佛看到了水袖在她手中转动的模样。
1:8:17|1:8:36|听到这边的热闹，一群孩子们并迫不及待地冲了过来，看不清动作，就干脆坐在木桩上，伸出小手，有模有样地学战。江老师也搀扶着伤愈的[小江]，缓缓向那热闹处走了过去。
1:8:48|1:9:12|隔着层层栅栏，日本军官也被这低音浅唱吸引了过来。那大富翩翩的军官，在印有[唐天祥]先生寸照的纸上，脱下一枚印章。
1:9:16|1:9:37|接着，军官一边说请托关照，一边将内纸递给了[唐天祥]先生。[唐天祥]先生则双手接过纸，低头详细看了看。然后抿了抿干裂的嘴唇，重复着朋友这一词。
1:9:42|1:9:54|一屋子的日本军官和富田先生纷纷围在他的周围，鼓掌表示祝贺。可下一秒，一群武装小队再度集结冲进安全区内。
1:9:56|1:10:11|[唐太太]一把拽过[小妹]，再抱起小女儿猫猫，赶忙向宿舍的方向跑去。一个外国医生刚冲进走廊室，叮嘱着别反抗，下一秒就被冲进来的日本士兵一脚蹦趴在地上。
1:10:13|1:10:31|原本在此疗伤的中国军人和护士们，眼看无力抵抗，只能无奈高举双手。而重伤失明，坐靠在病床上的军人则惨遭一枪爆头。突如其来的慌乱惹得那个外国妇人牵着小孩们，一路直直地向阁楼高处跑去。
1:10:36|1:10:40|而[小江]老师则带领一众女性钻进阁楼高处的暗间当中。
1:10:44|1:11:0|那外国妇人高呼着自己是美国人，谁料下一秒就被日本士兵狂扇耳光。楼下的展览室中，十几名中国军人被强制推入四平女建坊的配药室内，然后便被日本士兵关上门扫射。
1:11:0|1:11:8|此时，一位年轻的外国女人冲上前去阻止这场虐杀行为，可已经杀极眼的日本士兵早已不管不顾。
1:11:14|1:11:26|江老师刚安顿好一众女性，下一秒，下一秒就看到[姜淑云]带着一队日本士兵，停在一扇厚重的木门前，推开大门，一头花纹绚丽的豹子标本，映入了[姜淑云]的眼帘。
1:11:35|1:11:55|脚穿背过手端详了一会儿，接着就信步向屋内走去。雕琢精美的木台上，一只壮作栖息的熊鹰正安详地直视前方，犀利的爪子紧扣在展示座的顶部。可脚穿此时，却被面前桌上摆着的一串玛瑙项链吸引住了目光。
1:11:55|1:12:0|他慢慢将其拿起，对准窗边射进来的阳光，略带轻慕地看了看。
1:12:3|1:12:17|接着，[角川正雄]扭过头问江老师，这是否是他的。江老师缓不走来，然后点点头，接过了这串玛瑙项链。
1:12:27|1:12:30|江老师看着微笑的[角川正雄]将东西递得过去。
1:12:35|1:12:43|小川收起微笑，说了声谢谢，便转身向屋外走了出去。此时，[唐天祥]家中挤满了一众妇孺。
1:13:11|1:13:16|接纳军官硬要向自己身后的女人们冲去，[唐天祥]连忙从兜中掏出那张纸。
1:13:33|1:13:50|然而，一众军官早已等得不耐烦，推开[唐天祥]，就精准地在人群中找到了[唐太太]和她的妹妹[小妹]。[唐太太]见证，立即将[小妹]抵在身后，可四周全是豺狼虎霸般的饥渴军官。
1:13:50|1:14:1|眼看[小妹]即将被拽走，[唐天祥]的小女儿猫猫跑来，拖住一人的大腿，正与[唐天祥]纠缠的军官见词，抱起她推开阁楼上的窗户就扔了下去。
1:14:4|1:14:17|等回过神来，[唐天祥]急忙扯开紧紧围成一团的人，趴在窗边。[唐太太]则瞬间虚脱，松开[小妹]，就直直地横躺在了地上。
1:14:17|1:14:33|[小妹]看着[唐太太]喘不过气，正要掐她人中让她清醒一番，下一秒就被一名军官从身后拽了出去。[唐天祥]仍然扒着窗户，不敢相信小女儿就这样在自己的面前被刷了下去。
1:14:34|1:14:57|而后终于也是支撑不住，慢慢地跪在了地上。惨案过后，日本军官趾高气扬地站在拉费先生的办公桌前，称安全区内不少留着卷发涂着口红的女人，她们一定都是妓女。
1:15:11|1:15:18|富田先生把刚才[姜淑云]的质问翻译给日本军官，坐在椅子上的[拉贝先生]就开口道。
1:15:43|1:15:47|早前，日军用了三天，就将南京成功占领。
1:16:24|1:16:45|种种情况列举而出，[拉贝先生]、[小江]等一众代表安全区职员前来谈判的人只能无奈地低下了头。很快，在重压之下，安全区的大门被彻底敞开，所有妇孺们列成四队直直走了出来，并向城中的教堂处行进。
1:16:45|1:17:16|几乎占满街道的队伍很快就来到了目的地，[拉贝先生]和[小江]此时已经站在教堂中央等候多时，看着一张张或稚嫩或苍老的面孔，[拉贝先生]深吸一口气，艰难开口道。
1:18:33|1:18:48|等[小江]将日本人的要求传达给众人后，[拉贝先生]失声痛哭，无助地表示非常对不起大家。[角川正雄]站在教堂上方的走廊处，听到身旁的日本军官居高临下地说。
1:18:59|1:19:16|近女[小江]面无表情地举起了手。在众人诧异的目光下，[小江]将手举过头顶，一点点地从人群中穿过，来到教堂正中央。
1:19:20|1:19:38|微微翘起的卷发挡住了她的侧脸，可不经意间，一滴泪珠从她的眼角流下。站在台上的[姜淑云]死死盯住她，终于还是忍不住哭出了声。
1:19:38|1:19:47|此时，人群中又一个年轻女人举起了手，头发早已剪得凌乱不成形的她，同样流着泪越过人群，站定在教堂正中央。
1:19:51|1:20:7|[小江]扭过头，伸出那涂满指甲油的右手，将她的手牢牢地攥在手中。
1:20:14|1:20:16|学生模样的女孩站定在[小江]身旁。
1:20:25|1:20:46|那阵阵声响，像是一股无形的力量，此时人群中，一个接着一个的女人纷纷举起了手。有的人手上还有因为逃荒尚未愈合的伤口。有的人似乎是做久了家务，手背上凸着青筋，虽然不如小姑娘般滋润，却处处透着安稳。
1:20:46|1:20:53|唯一相同的便是那牺牲自我，以保老弱不受侵犯的决心。没一会儿，
1:21:6|1:21:12|脚穿[陆剑雄]没有回应，看看移开了视线。江老师则痛哭着，目送[小江]等一些人离开。
1:21:13|1:21:21|广场上一处残垣下，一众日本士兵和军官们正围在那100个未安抚的正前方。
1:21:36|1:21:42|其中，日本妇女5元一次，中国和朝鲜妇女2元一次，每人只有15分钟时间。
1:21:43|1:21:49|两脚过后，[小妹]被随意折叠，摊置在草席上。
1:21:56|1:22:1|一不避体的[小妹]早已忘记了羞耻，猛地坐起来，一把抓过米饭塞进嘴里。
1:22:3|1:22:16|可刚吃两口，就被一只大手牵住下巴，随即猛地往地上一推，其身压上。眼看[小妹]拒绝自己的亲吻，日本军官抡起巴掌，就向她稚嫩的脸颊上扇了过去。
1:22:19|1:22:27|另一边，[角川正雄]诧异[百合子]为何会在这里，可带草席边的女人抬起头，原来是[小江]。
1:22:39|1:22:46|[角川正雄]见此竟也不恼，只是慢慢地坐在草席边的凳子上，静静地看着重新躺在草席上的[小江]。
1:22:47|1:22:58|此时的[角川正雄]好友搭着外套，满脸笑容地走了过来。看到[角川正雄]呆坐在一旁，他便询问[角川正雄]是否结束了。
1:23:6|1:23:9|而[角川正雄]此时像是丢了魂一般呆滞地坐着。
1:23:15|1:23:32|隔壁的草西州，正在实施侵犯的日本士兵大呼不满，称[角川正雄]好友的声音实在是太大了，而[小江]则在这阵阵顶撞中移开了视线。[角川正雄]刚回过神，便被这沉重的目光压制，赶忙起身离去。
1:23:32|1:23:40|刚走出两步，还是忍不住回过了头，[小江]一直戴在脚腕上的眠生铃铛，在这过程中不断发出声响。
1:23:42|1:23:54|另一边，日军临时指挥处内，富田先生正急匆匆地从大门外走了进来。那边，刚推脱掉粮食运送文件，这边就跑来一个热情问候的日本士兵。
1:24:6|1:24:10|终于，富田先生见到了拉贝先生和唐先生。
1:24:17|1:24:24|然后又补充道。唐先生的小女儿昨晚已经遇害了。
1:24:35|1:24:43|黄昌礼一架废旧的钢琴边上，日本军官、[角川正雄]和一群日本士兵们正围着那弹钢琴的士兵开心地唱着。
1:25:5|1:25:24|此时，一辆平板车慢慢经过人群，向不远处的焚烧炉推去。不知为何，隔着人群的脚穿，情不自禁地向那板车行进的方向追了过去。等到板车停在焚烧炉门前，一个士兵将草席掀开，一双手臂无力地搭拉了下来。
1:25:26|1:25:44|而后，一声声脆响，传入了[角川正雄]的耳边，内人的脚腕上绑着一根棉绳铃铛。搬运的人可不在意这些，三两下与搭档一前一后地拖着来人的四肢，往旁边的台子上扔了过去。
1:25:44|1:25:49|终于，[角川正雄]看清了内人的脸，他正是之前被错认为百合子的[小江]。
1:25:51|1:26:4|[小江]的嘴边血液还未凝固，双眼甚至还没来得及闭上，就这样赤裸着全身，毫无尊严地被叠放在一边。脚穿愣了好一会儿，便急忙扭头离开。
1:26:16|1:26:37|教堂门外，[小妹]随意裹着件大衣，唱着那首熟悉的乐剧。[角川正雄]本想出声阻止，可看到站在[小妹]身后的日本军官，便没了动静。日本军官终于没了耐心，一把扯过[小妹]，拖到教堂外的城中帘后。
1:26:43|1:26:52|[小江]本想上前阻止，可被身后的日本士兵拽住了胳膊。日本军官随即走下台阶。
1:27:5|1:27:24|原本一脸焦虑的[角川正雄]听到这话，瞬间顿住了脚步，目送面无表情的日本军官走远后，扭过头，看向身边那群早已衣不蔽体的女人们。在五六个日本士兵的压制下，他们一拳一拐地跟在日本军官的后方。
1:27:24|1:27:28|前方，正是[唐天祥]先生早前求助日本人时走过的那条路。
1:27:40|1:27:56|好想回到日本去，这一举动惹得日本军官大怒，随即，随即一击重拳便赏在了他的脸上，那士兵挨了揍，却敢怒不敢言，只能重新回到队伍中，老老实实地背着长枪，看守着这群女人。
1:27:56|1:28:15|地面上，早前红旗竖巴堆砌着男子妇人的尸体，如今也被清理得干干净净，一波又一波被送去当慰安妇的女人们从黄昏走到黑夜，终于在一片熊熊大火中回到了安全区的大门外。
1:28:15|1:28:26|[小江]老师、[唐太太]等一众妇孺全部挖在铁门上望临玉川，祈求自己的亲友能够平安归来。可一张张面孔中就是没有[小妹]。
1:28:35|1:28:53|身旁不少老妇，看着早已经面目全非的自家孩子，都小心地将其拥入怀中，生怕一丁点力都会弄疼他们。而[唐太太]，从一张张面孔中没有发现[小妹]后，干脆一头埋进了唐先生的怀里。
1:28:53|1:28:58|脚穿剑子，只是看了一眼日本军官，便扭过头向来时的路走了回去。
1:29:1|1:29:18|1938年2月22日，安全区委员会主席拉贝先生提程离开南京前往上海。与他同行的除了唐先生一家外，还有一位扮成仆人的中国军官。
1:29:18|1:29:25|看到拉贝先生提着行李走进院中，安全区的一众妇孺全部都高举双手，且求他能够留下来。
1:29:27|1:29:35|几个前来接应的德国男人挡开了拥挤的人群，艰难地将拉贝先生带出了安全区。
1:29:44|1:29:54|随后匆忙接过头顶传来的行李箱，带着[唐天祥]和[唐太太]，还有那个伪装成仆人的中国军官，挤出了安全区的大门。
1:29:56|1:30:16|可在上车之前，拉贝先生还是没能忍住，回过头看着一双双渴望的眼神，干脆跪下双膝，深深鞠了一躬。就这样，一扇门将两个世界彻底划开，门外的人拿着行李坐着轿车，终于离开了这人间领域。
1:30:16|1:30:33|而门内的众人，看着轿车逐渐远去留下的伪迹，眼中的希望也渐渐破碎。可扒着铁门的双手，却死死不愿松开。远去的轿车内，[唐天祥]拥着[唐太太]，躺靠在后座上。
1:30:33|1:30:52|路过一处颠簸路段，[唐天祥]下意识将左手搭在了[唐太太]的小腹上。原本无力靠在丈夫身上的[唐太太]，随即也将手轻轻扶了上去。[唐天祥]用下巴摩擦着[唐太太]的额头，接着用双手将她紧紧地拥在怀中。
1:30:53|1:31:14|刚下过雨的路上到处都是泥泞，破坏的房梁堆在路边，远处的屋顶上还燃着未熄灭的战火。两辆轿车车顶上各自用麻绳捆绑着行李，一前一后缓慢地从街道中开过。不一会儿，车辆便从南京城的巷子中开进了主路。
1:31:14|1:31:18|车门洞前，一群重兵把守的日本士兵抬手拦下轿车。
1:31:28|1:31:38|随后，一个日本士兵大呼，将车上的行李全部都卸下来。[伊田]先生再次开口表示，会有日本士兵帮忙拿行李。
1:31:39|1:31:53|拉贝先生给日本军官看过自己的证件后，询问对方是否能将自己的两个随从也带走。[伊田]先生表示自己会尽力，然后率先拉着拉贝先生越过了栅栏。
1:31:53|1:32:2|此时，日本军官倒在一个精瘦男人的面前，先低头看了看他的证件，然后又站定在唐先生夫妻面前。
1:32:7|1:32:14|日本军官先是冲唐先生说了句，好久不见，然后也照例拿过他的证件看了看。
1:32:20|1:32:25|接着又割脸好似地搂过唐先生的肩膀，带着他，带着他向栅栏处走去。
1:32:39|1:32:44|然后他松开手臂，让[唐天祥]夫妻俩穿过了景荣，那两人经过的木栅栏。
1:32:46|1:33:5|二人穿过那狭窄的栅栏后，便急速向前走去，可走着走着，还是向后方探了探头。身后，那个伪装成仆人的中国军官正被一群日本士兵团团围住。那日本军官则大笑着靠近，一把搂过他的肩膀后，冲父亲二人挥挥手。
1:33:6|1:33:29|二人见状又连忙回头，互相搀扶着向城门洞处走去。眼看即将走到第二个栅栏处，[唐天祥]却突然止住了脚步，将随身携带的皮箱放在脚边后，慢慢转过身面向[唐太太]，并将两本通行证塞给她。
1:33:40|1:33:55|[唐天祥]顿了顿，抬起左手，用力地将[唐太太]的手扯了下去，然后低下头，死死地盯着他的小腹。[唐太太]此时终于忍不住流下了眼泪，眼看着[唐天祥]轻轻将右手搭在自己的肚子上。
1:33:59|1:34:15|接着，看到[唐天祥]决绝地转过身，一步一步向来时的方向走了回去。可听到[唐太太]的哭泣，[唐天祥]还是忍不住站定，在原地偏过了头。
1:34:15|1:34:22|[唐太太]捂着小腹，微微拱起腰，不断抽气，水气充盈着眼眶，却没能换来[唐天祥]的陪伴。
1:34:30|1:34:39|眼看[唐天祥]微笑着再次扭头离开，[伊田]先生连忙追到[唐天祥]面前，可下一秒就听到日本军官的询问。
1:34:47|1:34:51|[唐天祥]抿了抿嘴唇，然后从日本军官身后摆摆头。
1:35:0|1:35:13|听完[伊田]先生的翻译，日本军官松开了抓着[唐天祥]胳膊的手，盯着[唐天祥]看了一会儿后，扭过头，直直向那名打扮成仆人的中国军官走去。
