0:0:49|0:0:56|影片开头，在一家高级西餐厅内，一位女士随意地用叉子拨弄着自己盘中的面条。
1:24:27|1:24:30|[陈宇萌]无奈地笑了。
1:24:35|1:24:51|这时，大姐们来到他们桌前坐下，并唱起了歌。[王灿]喝下了那杯酒，两人看向大姐们，娜姐盯着[陈宇萌]唱得高兴。[陈宇萌]笑了笑，娜姐又招呼着那一桌男人们一起唱了起来。
1:25:3|1:25:11|天蒙蒙亮的时候，旅行团才醉醺醺地，一起搂着肩，边唱边闹地离开酒吧。
1:25:26|1:25:39|一座座房屋坐落在费瓦湖边，背后的雪山在朝阳的光影中显得瑰丽壮美，湖面倒映着美丽的雪山，湖光山色构成了一幅绝美的画面。
1:25:46|1:26:11|雪山被阳光照得金灿灿的，太阳渐渐从山后升起，[王灿]背着一个大包，跑到[程羽蒙]的房间外。[程羽蒙]向外打开门，[王灿]退后几步。
1:26:23|1:26:38|[陈宇萌]又把门关上了。[陈宇萌]疲倦地坐在床上，用讨厌的眼神盯着门口，他就闭眼倒在了床上，但他还是起来刷牙了。
1:26:46|1:26:56|他放下手机，打开电脑，下载了小林的稿件。稿件的封面是尼泊尔最大的佛塔，题目依然为《在世界中心呼喊，我好幸福》。
1:27:0|1:27:15|不一会儿，两辆越野车在山间行驶着，其中一辆车的车顶拉着装备，车辆先在大路上行驶，随后开到山间的小路爬坡向前，一路颠簸，穿过树林，最后到达山顶的平坡停下。
1:28:6|1:28:15|[程羽蒙]无奈，[王灿]一脸委屈。一个外国人把他们的滑翔伞装备放在[王灿]身边，[王灿]顺势坐在了装备上。
1:28:18|1:28:25|他困惑地抬眼看着[程羽蒙]，又渐渐变得失落，[程羽蒙]不忍咬咬牙。
1:28:31|1:28:39|王灿咧开嘴笑了。他起身背起装备，看着[程羽蒙]摆了摆头，[程羽蒙]笑了笑跟上他。
1:28:45|1:29:8|来到滑翔伞起飞的山顶，[程羽蒙]小心翼翼地站在悬崖边，一脸恐惧地向陡峭的悬崖底部望去。外国人帮[王灿]展开了滑翔伞，便握手走开。[程羽蒙]转身跑到他身边。
1:29:9|1:29:33|[王灿]已经系好了身上的保险绳，[程羽蒙]转身走了几步，看着远方跳了跳，放松一下身体。[王灿]给[程羽蒙]背上装备，系好了每一处的保险绳接口。[程羽蒙]握住胯前的保险绳看了看。
1:30:3|1:30:11|他转头看向坐在一旁栏杆上的[王灿]。[王灿]不紧不慢地看向他。
1:30:21|1:30:26|[程羽蒙]依然紧张，[王灿]看向一旁一动不动的风向标。
1:30:33|1:30:54|[程羽蒙]呆呆地站在那里，脑海中浮现出许多画面。繁华忙碌的上海，为工作赶时间的上班族，深夜不眠的楼宇和街道。缩剩无几的银行卡余额，打表气上跳跃的数字。日历一页页翻过，日子一天天重复度过。
1:30:56|1:31:17|[程羽蒙]渐渐闭上双眼，大城市里繁华又浮躁的场景和她身边山顶的宁静形成了鲜明对比。此下最后一张日历时，所有的一切仿佛归于平静。
1:31:22|1:31:50|四周一片寂静，时间像是静止了一般。[程羽蒙]慢慢睁开眼，静静地看着眼前的一切。她放下了紧握保险绳的双手，恐惧已经全部散去。
1:31:50|1:32:11|山间一片宁静，小树麦田只是微微摆动，[程羽蒙]抬起头望向天空，镜头渐渐转到她的身后，只看见她的发丝慢慢被风吹起。
1:32:17|1:32:43|湖面泛起波纹，风向标开始飘动，麦子随风摇摆，风马骑顺风飘扬，风越来越大。[王灿]看向风向标，[李美玲]也开心地望向风向标，到处都有风吹的痕迹，老鹰也在风中翱翔。
1:32:46|1:33:10|[王灿]和[程羽蒙]用双人滑翔伞向前奔跑，风将伞身吹开，纵身一跃，好多个滑翔伞飞向空中，他们的脚下是雪山、河流、山谷和农田。故乡的山林悠悠气息。
1:33:27|1:33:38|此时，画面中浮现出篝火前跳舞的人们，孩子们开心的面旁，尼泊尔当地人生活的点点滴滴和他们纯真的笑容。
1:33:43|1:34:2|水牛成群地躺过小河，大象、河马都安静地待着。尼泊尔居民最普通的生活，就是幸福。
1:34:10|1:34:16|旅行结束，[程羽蒙]返回国内，她拖着行李走在机场航站楼中。
1:34:17|1:34:32|[程羽蒙]停下来，转过身，[王灿]从远处向她走来。[王灿]颠了颠手中的布袋，随即将布袋扔给了[程羽蒙]。[程羽蒙]伸手接住，她看了看布袋，疑惑地望向[王灿]。
1:34:33|1:34:59|[王灿]只是挥挥手便转身离开。[程羽蒙]看了看布袋，笑了笑，随即也离开了。回到居民楼，她拎着重重的行李爬上一层又一层楼梯。过道的灶台旁，邻居正在做饭。
1:35:6|1:35:27|他打开房门，将行李提了进去，进屋后拔掉钥匙关上房门。他将行李放在床上准备打开收拾，注意到[王灿]给的布袋，他拿起来好奇地看着。
1:35:33|1:36:2|随后，他来到阳台踩着凳子在挂着什么，又走进屋里静静地望着阳台上方。原来[王灿]送给他的是一个指引水牛回家的铜铃。看着这颗铜铃，[程羽蒙]渐渐露出微笑，就好像这颗铜铃将给他指引方向，再也不会迷路了。
1:36:12|1:36:22|西洋西夏时，成群的水牛走过野地，躺过小河，在铃声的指引下朝着回家的方向前进。
