0:0:34|0:0:41|影片开始，只见人们有序地验票进入马戏团场馆，来往观众络绎不绝，十分热闹。
1:18:24|1:18:44|一天被两个手下连拖带拽地丢出工厂。一天重重地摔在门口的铁皮板车上，他挣扎着想要起来，但实在伤得太重，一个猎界又顺着板车一路滚下去，晕倒在地上。此时家中，[沈 Tinyi]走进房间招呼众人。
1:19:23|1:19:28|一天回想起曾经在马戏团扮演小丑的日子。
1:20:5|1:20:23|[沈 Tinyi]一脸担忧地坐在桌边，[小丁]在窗外徘徊了一会儿，才迈着沉重的步伐走进来。[小丁]欲言又止，神情凝重地摇了摇头，[沈 Tinyi]心中已经明了。
1:20:25|1:20:30|[小梅]兴奋地推开门，但房间内沉重的气氛让她顿感不妙。
1:20:32|1:20:45|他忽然反应过来，向楼上望去，三步并坐两步往上跑，焦急地向[小兰]询问。[小兰]瞥了一眼他，没有回答，[小梅]快步跑向房间。
1:20:45|1:20:55|一天的脑子里走马灯似的回忆起马戏团的时光，那时小丑躺在地上装死，玩笑过后哈哈一笑又站起来，但这次玩笑却成真了。
1:21:4|1:21:21|寂静的夜晚被一阵凄凉的二胡声打破，一天最终还是没能挺过去，在[小梅]怀中撒手人寰。[沈师傅]神情悲怆地拉着二胡，望向天空的眼神中满是悲伤。不一会儿，他闭上眸子，似是在回忆和一天的点点滴滴。
1:21:22|1:21:34|台位上，一天是那样的意气风发，而躺在床上的她全面色枯黄毫无生气。[小梅]在火炉旁边给一天烧纸钱，她满眼泪水，用哭声压抑内心的痛苦。
1:21:36|1:21:49|忽然，一洞一脸愤怒地站起身来，其他人也纷纷响应，[沈师傅]放下二胡，带领一大家子气势汹汹地走出家门，他们神情坚定，没有一丝胆怯。
1:21:49|1:21:59|[唐队长]和几十名警察偷偷追上去，但到拐角处却停下脚步，这时，一个警员想继续向前追，却被[唐队长]拦住，他不解地问道。
1:22:8|1:22:13|[唐队长]捡赞队员后垂眸思考，随后画面来到老板娘这边。
1:22:27|1:22:42|老板娘眼神坚决，这时[沈师傅]一家已经走到烟厂，一南一西先翻进大门把锁打开，其余人正大光明地从这门进入。[丁美]走在最前面，目光刚毅，[丁美]要为丈夫报仇。
1:22:42|1:22:53|与此同时，老板娘正让人将各式各样的炸药绑在船上，这艘船对她来说已是身外之物。此刻，她只想尽一点微薄之力帮师兄一家报仇。
1:22:54|1:23:9|[沈师傅]一家走进场内，煞时间一众人将他们围住，但他们每个人的眼眸中射出的寒光让那些人节节后退。马力、[龙威]和欧文在二楼满脸不屑地看着他们，这时场内的打手举着大刀冲出来。
1:23:15|1:23:30|说吧，[Chiang Yitien]静止向[龙威]冲去，[沈师傅]负责马地，[丁岚]、[丁菊]和三个小朋友则负责清理场内其他人。[丁岚]抡动右臂，拳头猛然砸在敌人脸上，他出手又快又狠，拳锋呼呼入响。
1:23:30|1:23:47|丁[小丁]举起一西一北，三人像是一个旋转风火轮，所到之处敌人无一幸免，全部都挡得住，一男双手撑桌，重蹈力翻，一脚一个敌人干净利索，瞬间周围的敌人都被他们解决干净。
1:23:47|1:23:52|紧接着，丁[小丁]和三个小朋友紧密配合，用橡皮绳制作了一个大型弹弓。
1:23:53|1:24:6|一声令下，三个大箱子弹射而出，重重地砸在敌人脸上。[龙]威身子强壮，易东和他打得危险而吃力。他被一拳打在栏杆上，但他见招拆招，没让[龙]威占得先机。
1:24:6|1:24:19|丁[小梅]和[龙]武打了起来，不善武功的他腿脚看起来有些不够力，但极致的愤怒让他变得十分勇猛。打斗过程中没吃一点亏，七叔见状想要逃走，却被[沈]师傅一刀两截。
1:24:20|1:24:32|[龙]舞被丁[小丁]一推，猛地向后退去。丁[小梅]顺势抓起桌子上的玻璃瓶，将它磕成两半，举着它追向了[龙]舞。尖锐的玻璃划伤对方的脸，瞬间鲜血直冒。
1:24:32|1:24:43|丁眉沉重追击，掀翻桌子想将[龙舞]压住，谁知竟误打误撞地让他摔进了武器室。[龙舞]掀开箱子，抓起一把枪瞄准丁眉，笑得阴森恐怖。
1:24:44|1:24:59|就在他要扣动扳机之时，一把飞刀只插[龙舞]的动脉。沈师傅及时赶到，救下女儿。[龙舞]则挣扎了两下，便没了动静。此时，老板娘的船已装填完毕，水手收满绳，船缓缓启动。
1:24:59|1:25:7|这边，翼龙牵制住[龙威]的手，让他动弹不得。但下一秒，[龙威]就争扑束缚，将他踢出去好几米远。
1:25:7|1:25:24|易东嘴里全是血，嚣张的[龙威]准备乘胜追击，易东则顺手抓起一旁的凳子，朝[龙威]腿上砸去，这让[龙威]更加愤怒，抓起易东又是好几拳。这边，马力一拳打在沈师傅肚子上，[丁岚]慌忙将他踢开。
1:25:27|1:25:42|沈师傅还没来得及说话，就被[欧文]偷袭，重重摔下楼梯。[欧文]还想趁机解决[小丁]，但都被他一一躲过。[玛丽]抓住机会，对还没缓过劲的沈师傅一阵猛踢，沈师傅艰难地躲避。
1:25:42|1:25:49|[Chiang Yitien]重新转起身战斗，[龙威]见他如此顽强，轻蔑地摘掉墨镜，握紧拳头准备将他彻底制服。
1:25:49|1:26:0|[Chiang Yitien]转弓为首，面对[龙威]的猛烈攻击，他利用场内的射本轻松躲避，[龙威]见伤不到他，气得使出一招连环踢，[Chiang Yitien]一一的轻松躲开。
1:26:0|1:26:12|但最后，但最后一脚，[龙威]不按常理出牌，[Chiang Yitien]来不及反应，连着身后的桌子被踢出去好几米远，[龙威]蓄势待发活动腿抢，一脸傲慢，他打算一举击垮[Chiang Yitien]。
1:26:15|1:26:27|[Chiang Yitien]怒目窃耻，冲上去环抱住[龙威]的腰，想要控制他的行动，结果却被他用手肘猛击背部，又被他掐住脖子，引他推开，跌坐在地上，整个人狼狈不堪。
1:26:27|1:26:32|反观[龙威]，他正淡定地整理西装，神情狂妄跋扈。
1:26:32|1:26:48|面对这样的挑衅，[Chiang Yitien]气不打一处来，突然，他灵光一闪，从袖口伸出弹簧绳，利用它将木头竞速甩向[龙威]，紧接着把弹簧绳缠绕在[龙威]手腕上，借力飞向他，狠力地踹向他的胸口。
1:26:48|1:27:4|[龙威]反应极快，想利用弹簧绳反击，他拽着绳子将[Chiang Yitien]拉过来，但[Chiang Yitien]早有应对之策，他游刃有余地将绳子放长，[龙威]伤敌不成，反被绳子弹到下巴，他恼怒地冲向[Chiang Yitien]，又是一顿猛烈攻击。
1:27:6|1:27:22|易东如虎添翼，他用弹簧绳绕住[龙威]的脚踝、胯骨和腰，随后猛力一拽，[龙威]直挺挺地摔在地上，他几次想要站起来挡击，但刚一出招就被拽倒，他来来回回被摔倒了三四次，表情逐渐变得狰狞。
1:27:23|1:27:37|欧文紧追[小丁]，不给他一丝反击的机会，[小丁]自知打不过他，便只是一味闪躲。正当欧文准备痛下杀手时，[唐队长]破门而入，几下就将欧文踢打在地，他不忘给[小丁]说。
1:27:38|1:27:49|[小丁]心系父亲，[文言]赶忙跑出门去。欧文被[唐队长]逼到墙边，他自负地认为肯定能打负对方，于是重新调整姿势，冲向[唐队长]。
1:27:49|1:28:1|可即便如此，他也不是人家的对手，[玛丽]以为自己胜券在握，对[沈师傅]连连发动攻击。其实，[沈师傅]早有计谋，他踢翻放在制烟机上的烟草。
1:28:2|1:28:15|[玛丽]眼睛被唬住，战斗力直线下降，[沈师傅]趁机抓住她的腿往切割机下放，此后她闪到一边，按下启动键，随着机器启动，一声惨叫，响彻云霄。
1:28:15|1:28:24|此时，老板娘命令下人将酒撒在船的各个角落，她手握引信，出力在船头蓄势待发，兴奋之情溢于眼表。
1:28:26|1:28:40|另一边，易东将弹簧绳固定在木梁上，他抓着绳子荡来荡去。龙威是打也打不到，踢也踢不上，还多次被[Chiang Yitien]踹得趴倒在地上。刚才还猖狂的大块头，此时被打得毫无还手之地。
1:28:40|1:28:52|[Chiang Yitien]一阵连环踢，将龙威打进茶壶堆里。他紧跟其后，想用绳子将他捆住。却是，龙威恼羞成怒，抓着弹簧绳不松手。两人互相不退让，齐心拉扯。
1:28:54|1:29:4|[唐队长]正准备用正压腿将欧文拿下，却不想被他看穿，被迫改变动作，来了一个一字马。但紧接着，就一个扫腿将欧文绊倒在地。
1:29:4|1:29:17|欧文学[唐队长]扫腿，但每招招式均被破解，才站起身，想用二指缠去倒[唐队长]的眼睛。但[唐队长]根本不给他近身的机会，一招腾空踢脚将他狠狠踢远。
1:29:21|1:29:35|欧文想反击，但又被[唐队长]一招腾空摆连腿打了回去。正当他花拳臼腿准备姿势时，[唐队长]已经将局布好，但欧文冲过来，他故意使出刚才被他看穿的腿法。
1:29:35|1:29:48|欧文还想用老办法继续对付他，但[唐队长]早就悄悄地把鞋脱好，只见他迅速将腿收回并踩在欧文固定鞋子的手上。欧文来不及反应，就被[唐队长]踹出房间活活摔死。
1:29:50|1:30:0|此刻，[Chiang Yitien]已将弹簧绳传在了[龙威]身上，但两人实力悬殊，[Chiang Yitien]又被他踢倒在地，[龙威]利用绳子将他拽在身边继续挡。
1:30:0|1:30:5|[Chiang Yitien]见情况不妙，赶紧将另一根绳子绕在木梁上与其抗衡。
1:30:5|1:30:11|但[龙威]用力一拽，木梁断裂，[Chiang Yitien]重重地摔在地下，他看着[Shen Tinyi]，一时间即从中来。
1:30:15|1:30:29|他先是疯狂晃动绳子，让对方来回翻滚，随后把他拉起来，猛地踹他肚子，随即趁对方没反应过来，将绳子绕在对方脖子上，猛威将剩下的绳子搭在木梁上，随后拽着绳子飞升上楼。
1:30:31|1:30:42|[Chiang Yitien]就连胳膊也给捆上，任凭一身武功，却无用武之地。随着[龙威]的动作，[Chiang Yitien]逐渐双脚离地，他拼命挣扎，想要扯断弹簧绳，却无济于事。
1:30:42|1:30:50|龙威使出吃奶的劲，紧收绳子，甚至用脚蹬栏杆借力，眼看[Chiang Yitien]越吊越高，面目发白就快窒息的时候。
1:30:51|1:31:3|绳子穿过的木梁不堪重负，从中间折断，[Chiang Yitien]顺势掉在地上，而龙威却因为惯性，跌进了身后的大锅炉里，全身被火点燃。
1:31:3|1:31:13|幸运得救的[Chiang Yitien]坐在地上，捂着脖子大口地呼吸新鲜空气。这时，龙威惨叫着跑出来，他下意识地扑向[Chiang Yitien]，想和他同归于尽。
1:31:13|1:31:18|但[Chiang Yitien]见他被烧得可怜，反而拿起袋子不顾危险地帮他灭火。
1:31:19|1:31:31|就在这时，老板娘摔破煤油灯，潇洒离去。花船的炸药瞬间将橙子点燃，爆炸声震耳欲聋。就在这时，龙威咽下了最后一口气。
1:31:31|1:31:38|[Shen Tinyi]一家和[唐队长]听到声音之后迅速撤离，龙威等人最终葬身火海，罪有应得。
1:31:43|1:31:56|只见厂房像多米诺骨牌一般接连发生爆炸。一时间，烟场内火光冲天，黑烟滚滚。[沈师傅]一家健壮联盟向外跑去，工厂其他人也接二连三地跑出来。
1:32:1|1:32:11|[沈师傅]牵着一男一女跑在最前面，一队他们殿后。几人跑出来，看到老板娘那艘被烧得只剩窗户的花船，顿时便明白了一切。
1:32:15|1:32:33|这场荒唐事终于在大家的共同努力下结束了。时局恢复平静，长福大马戏团得到支持重登舞台。[沈师傅]带领大家一如最开始那样走上舞台，他们在聚光灯下和观众挥手示意，脸上皆是喜悦之色。
1:32:33|1:32:50|观众以热烈的掌声来，欢迎他们重新归来。此时的马戏团，[小丁]梅代替逸天当起小丑，老板娘和[沈师傅]再度合作表演魔术飞刀，而易东则和[小丁]岚一起表演空中飞人，众人皆得偿所愿。
1:32:50|1:33:2|[小丁]梅站在丈夫曾经演出的地方出场，她又想起逸天摔下装死的场景，她多么希望这一切只是一场梦，梦醒之后，小丑就会哈哈一笑重新站起来。
1:33:3|1:33:14|可这一切似乎都是幻想。[小梅]舒从回忆中醒来，笑嘻嘻地开始表演。她开始学着一天的样子，做让别人快乐的小丑。
