0:0:43|0:0:51|繁华的街景之上，只见一人一驴悠闲地走着。可突然，驴不听使唤，脱缰绳指冲前。
1:18:14|1:18:40|[岳梓馨]挥手，就要刺下去。少兵抬手将[岳梓馨]推开，夺下她手里的刀。傻灰踹开刘明，手持木棍击中少兵。[岳梓馨]被绑着，眼里全是无奈和崩溃，一遍一遍地呼喊着她的名字。
1:18:42|1:18:49|辽明轻微地用手托起他的头，只见他睁开双眼。
1:18:53|1:19:10|警车沿着道路呼啸而过，伴随着警笛声，[岳梓馨]和少兵被快速带到医院接受治疗。少兵在病房里坐着检查，刘明在门口焦急地等待。[岳梓馨]坐在走廊的凳子上，低着头，满脸焦急，眉头紧锁。
1:19:10|1:19:16|这时，少兵从病房里走出来，对着一旁的刘明敬了个礼。
1:20:14|1:20:17|[岳梓馨]一时语色，她愧疚地低下头，眉头紧锁，随后说道。
1:20:49|1:21:1|少兵牵着驴带着子欣往回走。可突然，三戒和傻徽从两旁窜出，直接横挡在驴的面前。
1:21:14|1:21:30|看到情况有变，他们企图转身逃跑，可警察岂会给他们机会？三辆警车从各个方向包抄，警察们纷纷从警车下来，开始分头追捕，三两下就将[岳梓馨]摁倒在地。另一边，[张绍斌]也被成功逮捕，落入法网。
1:21:32|1:21:46|当手铐戴上的那一瞬间，他们再也没有回头路。大伙看到坏人被抓捕，心里松一口气。警察押着他们两人，踉跄地来到大伙面前，[岳梓馨]喘着粗气。
1:21:59|1:22:7|[岳梓馨]和赏辉被缉拿归案，等待他们的是为自己所犯的过错买单。
1:22:45|1:22:49|听见这句话，子欣害羞得低下头。
1:24:24|1:24:53|两人就这样吵吵闹闹地回家了。第二天早上，[张绍斌]家里聚集了好多亲戚来看驴，大家一起热热闹闹。驴脸上蒙着布，[张绍斌]的爸爸带驴拉抹。连院墙外都站着三个小伙在看驴，[张绍斌]的爸爸更是笑得合不拢嘴。
1:24:57|1:25:19|少兵端着一盘新鲜的豆腐出来。他抬高胳膊，让紫心嗅着豆腐的香气。两人嘻嘻打闹，这一幕正好被[岳梓馨]妈看见。
1:25:33|1:25:38|这下子欣可纳闷了，看着[岳梓馨]妈的背影想了半天。屋内。
1:26:46|1:26:59|说完，爸妈就出去了，留下少兵一脸为难地坐在床边，此时，他才真正地明白自己的心意。夜晚降临，[张绍斌]家的桌上摆满了可口的菜肴。
1:27:29|1:27:43|少彬一个劲地给[岳梓馨]夹菜。[岳梓馨]也自然地给他夹菜。老两口看到这一幕，都有点面露难色。
1:27:59|1:28:4|[岳梓馨]脸上的笑容僵住，饭桌上气氛微妙，泪水在眼眶里打转。
1:28:13|1:28:16|他愣住，一时不知该怎么解释。
1:28:26|1:28:29|[岳梓馨]含泪看向他，嘴角挤出笑容。
1:28:38|1:28:41|他低下头哽咽，生怕被人察觉出异常。
1:28:45|1:29:2|夜深，明月高高挂起，[张绍斌]没有半分睡意，他站在小院里望着天上的月亮沉思着。接着，他低头看了看眼前的驴，此时，他的心中有万般无奈，万般不舍。
1:29:2|1:29:8|他走过去，伸手轻抚着驴脸，父母的所作所为让他的内心焦虑不堪。
1:29:10|1:29:26|他微微低下头注视着驴，好似想从他身上寻找一丝答案，又好似在回味着他们曾经发生的点点滴滴。新房内，[岳梓馨]蜷缩在墙角，过往的一切历历在目。
1:29:42|1:29:51|他嘴角微微勾起，可抬头看见眼前的喜字，悲伤又重新的涌上心头，回想起刚才的晚饭。
1:29:57|1:30:13|这句话像一根刺，一遍一遍地刺伤着[岳梓馨]。他环顾四周，看着新房内火红的装饰，内心的委屈和不解油然而生。眼前的一切都是那么真实，桌上布满精致的花朵，房顶上挂满了喜字。
1:30:13|1:30:21|这些时时刻刻都在提醒着他，容不得有半点遐想。他好像从一场睡梦中醒过来，却久久不愿离去。
1:30:22|1:30:40|眼神中再也没有曾经的向往和喜悦，流露出的只有无尽的悲伤。他脑袋里还一直回想着[张绍斌]父亲的声音，泪水像泉水一样再也忍不住，从心灵深处涌出。房间外，[张绍斌]在门口徘徊，却迟迟不敢进。
1:30:40|1:30:46|屋子里，[岳梓馨]也好像感受到了他的存在，轻轻转过湿润的面颊向门口看去。
1:30:47|1:31:1|[张绍斌]抬起手臂，正准备敲门的手将在半空中。[岳梓馨]也从床上坐起身来，侧耳倾听在门上等待着。门外的动静让她确信，前来的人正是[张绍斌]。
1:31:1|1:31:12|她以身靠在门上，脸上重新洋溢起笑容，等待着下一秒，心心念念的人就会推门而入。[张绍斌]在门外徘徊良久，也没了下一步的动作。
1:31:13|1:31:31|[岳梓馨]由一开始的惊喜，渐渐地变为失望。[岳梓馨]靠着墙，好像再也控制不住自己的情绪。眼泪再次顺着脸颊滑落，她的手握成拳，失声痛哭。此时，两人的内心都备受煎熬，都在等待着对方能够给一个解释。
1:31:31|1:31:42|[岳梓馨]缓缓地闭上双眼，默默流泪。少兵则不懂她流泪时，眼泪里包含了深深情意，爱而不得，却又无可奈何，这让她痛苦不堪。
1:31:43|1:31:53|门外的哨兵几度向抬手敲门，却都没能下定决心。他的表情焦虑，更不知道该怎么样去面对[岳梓馨]，更不知道还能说些什么。
1:31:54|1:32:13|一道门就这样阻断了二人，这道门也是说不清的误会，成为两人之间的隔阂，少兵思索半天，抬起头，眼神中全是无奈。[岳梓馨]漂亮，她深知自己配不上[岳梓馨]，最终狠下心，转头离开。
1:32:13|1:32:23|听到门外人离开的动静，[岳梓馨]被牵动起来的心，也再次沉入谷底，宛若冰霜。那些曾经的美好时光都变得虚无缥缈。
1:32:25|1:32:42|悲伤的情绪像是一股暴风雨，急迟而来，让他感受到十分失落。喜庆的新房内，他仰面痛哭，悬缩的身体微微颤抖着，秀气在脸旁被泪水浸湿。
1:32:42|1:32:54|屋内，[张绍斌]的爸妈等了半天，也不见[张绍斌]进屋睡觉，老两口坐在床边哀声叹气。窗边的灯笼随着微风舞动，今夜注定难眠。
1:32:57|1:33:3|清晨，[岳梓馨]已经开始工作。哨兵一家在旁边忙活着磨豆子。
1:35:29|1:35:37|他绕过大家，走到驴的身旁。
1:35:41|1:36:5|说着说着，她的眼泪不自觉地掉了下来。她贴近驴的耳朵，小声说道。就好像告诉身在一旁的[张绍斌]一样。她拂去脸上的泪水，转身告别离开。哨兵想追出去，却被母亲阻拦。
1:36:8|1:36:29|哎呀，你…邵斌愣傻傻在原地，二叔急忙转身出去挥手告别。看着紫心单薄的背影，他抬手擦去眼泪，跑着离开了，二叔更是一脸惋惜之情。房间内，[张绍斌]正靠着木柜发呆。
1:36:29|1:36:32|[张绍斌]没有丝毫要起身的意思，小姨找到房间门口。
1:36:38|1:36:42|这时，全家人都来到少兵的房间门口，二叔急忙问道。
1:37:31|1:37:36|听到熟悉的声音，哨兵一下从床上弹起，夺门而出。
1:37:36|1:37:51|这一刻，他再也等不及，迈开步子向自己坚定的内心狂奔转，他的脸上带着喜悦的笑容，阳光洒落在他奔跑的身影上，他再也无法压抑着自己内心的冲动，爱情的萌芽早已迸发。
1:37:52|1:38:9|过往的一幕幕如同电影在眼前闪过，他温柔地笑，他轻轻地依偎在自己的肩头，陪他一起欣赏海边的风景，这些回忆让[岳梓馨]的每一步都更加坚定，每一步都更加去信自己的选择。
1:38:9|1:38:15|这次，他终于不再因为所谓的世俗困扰，不再为自己是否能够配得上对方而苦恼。
1:38:16|1:38:37|他只因为他是紫心，为他心爱之人走狂奔，是墙上的紫心穿着一件新衣，早已在这里等候着。他的脸上挂满了笑容，静静地等待着[张绍斌]来到他的身旁。少兵跑过来喘着粗气，两人相识，不言而喻。
1:38:37|1:38:40|喘息声夹杂着喜悦之情，两人泪眼婆娑。
1:38:50|1:39:5|二人向前各走一步，激动的泪水在眼眶里打转，正打算拥抱之时，却被驴中巧挡在二人中央，两人抚摸着驴头。
