0:3:12|0:3:20|弄堂里，两个小男孩捏手捏脚地走到杂货店门口。弟弟小虫在冰柜前兴奋地停住了脚步。
1:18:0|1:18:14|他在他们一起跑死路的时候，小虫难过地盯着那双以前曾经给他穿过的红色运动鞋。
1:18:26|1:18:32|小虫用力地攥着那双鞋子上的红色鞋带，低着头哭出了声。
1:18:41|1:19:6|一间废旧的浴室里，弥漫着阴森的气息，天花板上昏黄的灯摇摇欲坠。[阿轩]从昏迷中醒来，发现自己赤裸上身，躺在一个满是血水的浴缸里。他忍痛跪坐起来，腰身上是一个长长的刀疤。
1:19:11|1:19:38|他意识到，怪医在他昏迷的时候已经取走了他的肾。[阿轩]嘶吼着，无力地倒下。想到小柯和女儿，他忍着痛抓住浴缸的一侧，用尽全身力气从浴缸里翻出来，拿起搭在洗漱台上的衣服，推开门跑出去。
1:19:38|1:19:40|家里，小柯正在哄女儿睡觉。
1:19:51|1:19:56|[阿轩]捂住伤口，跌跌撞撞地一路狂奔，跑到家门口用力砸门。
1:20:6|1:20:32|没有人给他开门，[阿轩]只好从窗户翻进去。他跑到婴儿床旁边，发现女儿不在里面，以为女儿遭遇了不测。他抓起女儿的衣物，把她们紧紧抱在身上，嚎啕大哭。这时，小柯推门进来了，[阿轩]紧紧地抱住他。
1:20:32|1:20:35|小柯摸到[阿轩]身上的血，大惊失色。
1:20:51|1:21:5|夜深了，小虫坐在出租车里喝啤酒。阿萱走过来，把手搭在车旁，弯着腰看着小虫。
1:21:15|1:21:33|[阿轩]紧盯着小虫，小虫带着哭腔失落地回答。
1:21:38|1:21:53|阿璇拿起一根铁棍爬到车的发动机盖上。阿璇用力地砸着挡风玻璃。
1:22:5|1:22:28|阿璇最后踹了一脚已经碎得七零八落的挡风玻璃，跳下车走开了。她不想看到小虫变得像她一样失去梦想，苟且偷生。白天，[小虫]来到孤儿院，看到院长正在带着小朋友们画画。
1:22:44|1:22:46|[小米]抱住了[小虫]。
1:22:50|1:23:6|[小虫]向外看，他似乎看到了沙漠里以前奔跑的背影，和夕阳下以前的剪影。一天，[小虫]和[阿轩]像小时候那样坐在高高的台阶上，[阿轩]一把搂住[小虫]，摸了摸他的脑袋。
1:23:14|1:23:22|[小虫]把[阿萱]的手拿开，笑着回应，[阿萱]也笑着用手怼了他一下。沙漠里，[小虫]遇到了一匹狼，狼腿上受伤了，痛苦地趴在地上。
1:23:44|1:24:13|[小虫]慢慢走过去，判断没有危险性，便取出包里的纱布给狼包扎。狼疼得一下子咬住了[小虫]的胳膊。狼好像听懂了[小虫]的话，松了口。包扎好之后，它舔着自己的伤口，记住了[小虫]的模样。小虫继续奔跑。
1:24:22|1:24:26|医院里，潘教练遇见了[阿轩]一家人。
1:24:52|1:25:10|[阿轩]顿时收起了笑容，神色紧张地看着潘教练。沙漠里，机场陆路的小虫趁着营地的主人进屋取东西，把外面的食物猛地塞进嘴里。
1:25:14|1:25:20|小虫拿起食物匆忙逃跑，主人举着枪朝他射击，小虫倒在了地上。
1:25:23|1:25:48|医院里，[周以晴]躺在病床上，看着电视报道落泪。未婚夫穿着衣裳的白大褂，走进来急忙把电视关机，坐在床边。
1:25:55|1:26:20|潘教练带着[阿轩]前来探望，潘教练对以前未婚夫说。以前未婚夫随[阿轩]走到病房外，[阿轩]揪住他的衣领质问道。以前未婚夫拿出证件给[阿轩]看。
1:27:6|1:27:25|潘教练和[阿轩]趁着医护人员不注意，偷偷把已情的病床推走。[阿轩]把他打倒在地。
1:27:30|1:27:57|一名医生走过来问，[阿轩]逼迫医生说出了心脏的地方，开车带引擎去找怪医。诊疗室里，女助手给怪医递了个葡萄，怪医白白手，没有吃。正喝着水，突然[阿轩]踹开门，把保镖踢到一边，把钱扔到一旁，对怪医说，
1:28:3|1:28:15|阿璇把乙晴推进来，她是要用这些钱让怪医帮乙晴换心脏。怪医换上手术服，连接好仪器，准备开始手术。
1:28:35|1:28:53|阿炫带好装备，出门对抗警察的武力搜捕，为以前的手术争取时间。看着黑暗的走廊尽头，警队手电筒的光照越来越近，他把废弃的病床用力推向对面，希望可以尽可能久地拖住警队。
1:28:55|1:29:12|沙漠中，重枪受伤被绑的小虫在枪口下咬牙站起来，用脚反击。小虫双手被绑，只能用脚和胳膊搏斗。由于重枪和长途奔波机长路，本就即将耗尽能量的小虫很快被对方两个壮汉打倒在地。
1:29:12|1:29:15|阵疗室外，[阿轩]独自一人和警队搏击。
1:29:15|1:29:29|昏暗狭窄的走廊里，[阿轩]抄起棍子，打倒前面一人，然后双手抓住门框跳起来，利用高度优势把后沙漠里，小虫救过的那匹狼突然冲过来把绑住小虫手的绳子咬断，在小虫身边冲着对方怒吼，和小虫并肩作战。
1:29:55|1:30:22|持枪的人朝狼开了几枪。小虫把另一个人暂时制服后，急忙赶来打掉枪，和对方徒手搏斗。在狼的帮助下，对方被赶走了。诊疗室内，[阿轩]用力抵住门，但警方力量太强大，他们持枪破门而入，制服了[阿轩]。
1:30:27|1:30:36|沙漠营地旁，小虫对着狼说。
1:30:42|1:30:48|狼跑远了，小虫看着狼在远处的沙丘上冲着天空嚎叫。
1:30:58|1:31:18|诊疗室里，怪医也被戴上了手铐，正在手术的病人停止了呼吸。跑过沙漠之后，是一望无际的草原。
1:31:41|1:32:2|孤儿院收到了越来越多的捐款。小虫跑到了藏区，在五色经幡旁，脑海里浮现出已情的回眸一笑。进藏和亲的文成公主雕像伫立在一旁。
1:32:9|1:32:22|夜晚，当他手脚并用地爬过山坡，在他最无力的时刻带给他力量的也是以情分柔的笑脸。他似乎就在高处看着小虫，等他追上。
1:32:57|1:33:2|熊鹰在天空翱翔，小虫在油菜花盛开的大地上奔跑。
1:33:6|1:33:19|不是为了赢任何人，跑着跑着，小虫似乎看到了以前在油菜花田里漫步的身影。
1:33:23|1:33:43|岩湖风景如画，只是物是人非。小虫奔跑着，看到岩湖旁蚁蜻的身影，它静静地看着湖水。小虫停下脚步，愣了片刻，随即冲进水里，站在那里的蚁蜻却消失不见了。
1:33:45|1:34:8|小虫被迫面对现实，它盯着空荡荡的空气，痛苦地蹲下身子，低下头，大口喘息着。在清澈的水面上，它似乎又看到了[周以晴]的倒影。它慢慢站起身来，发现[周以晴]就站在它的不远处，和它对视着。
1:34:11|1:34:28|[周以晴]温柔地笑着，一步步向他走来，伸出手抚摸他的脸颊，在他额头上印下一个吻。他们的额头靠在一起，一如当年。
1:34:35|1:34:54|或许对小虫而言，跑步真的能带他穿越时光，再看见所爱之人的笑容。回忆里的[周以晴]在沙漠里快乐地奔跑着，笑着回头向他招手，示意他赶紧跟上来。
1:34:54|1:35:1|在小虫跌倒的时候，[周以晴]永远都在一步之遥的地方，翻下腰向他伸出手。
1:35:12|1:35:30|夕阳下，小虫又一次爬上沙丘，道路绵绵长长，这是通往梦想的方向。夜幕降临，有人变成了星星守护着它前行，浩瀚星河，爱与梦，祝其永恒。
1:35:36|1:35:49|我们的电影到这里就结束了，感谢您的聆听。本片的音频讲述由中国传媒大学制作出品。不要着急离开，片尾还有一个彩蛋。
1:38:2|1:38:5|年，[方崇宇]的第12张个人专辑《十二星座》正式发行。
