0:1:45|0:1:50|[黑羽]族生活在天都城。
1:9:40|1:9:55|[雪猎]当即拔剑，领教一次。[雪猎]一把抓住剑刃，将其踹飞。风下双刀劈下，却被[江城子]从刀拦住。风下转头，踹飞[江城子]。而[雪猎]直奔[黑羽]而来，[泥空空]急忙丢下烟雾弹，带[黑羽]顿走。
1:9:55|1:10:1|另一边的赫利陷入苦战，而[黑羽]昏迷[泥空空]，逃出没多久，便被挥舞翅膀的[雪猎]拦住。
1:10:3|1:10:15|一[泥空空]飞身踹去，却被[雪猎]一拳砸了回去，[黑羽]挥剑直刺，却被[雪猎]专手接住，再一拳打在腹部飞了出去，[老元]跑来抱住[雪猎]。
1:10:15|1:10:29|[老元]一脚踹飞整壶撞到石洞机关，[黑羽]等人借机逃走，[雪猎]正扑[老元]将其一脚踹飞，[老元]趁机钻洞逃走，与此同时，[风啸]在[鹤影]手底下没占到便宜，见[雪猎]走来便上前领命。
1:10:33|1:10:52|这边，[黑羽]和[泥空空]通过机关来到一处石井里。[泥空空]发射钩索腾空，[黑羽]挥动翅膀起飞，两人脱离了困境。雪莉一出手，三拳两脚打飞[江城子]的手下。赫立和[江城子]姗姗来迟。
1:11:2|1:11:13|赫历挥刀而上，雪猎一跃而起，躲过之后潜入赫历的手腕，一脚而将其踹飞，将成为了钢铁场，又被雪猎凌空踹飞。
1:11:13|1:11:26|[风啸]双脚登出，踹飞[黑羽]，扭头一脚踹飞横木，横木撞上石洞的木头封顶，封顶顿时探他下落，挂在石洞上风的钩索，连带着[泥空空]掉入洞顶，没了动静。
1:11:29|1:11:34|新集的[黑羽]，飞身越过[风啸]的攻击来到洞顶。
1:11:50|1:12:3|[风啸]一跃朝着[黑羽]踢来，不料，[黑羽]展开双翼飞走。[风啸]不肯作罢，一跃跳上石门，又从石门上飞身扑下，抱住了飞行的[黑羽]，将其拖到地面，勒住脖子。
1:12:5|1:12:9|[黑羽]挥轴反击，[风啸]心生不警，猛击[黑羽]的翅孔。
1:12:36|1:12:53|[黑羽]抱着[风啸]一起扑下山崖，两人一同掉进山崖下的湖水中。[风啸]挣扎着想要回到水面，可[黑羽]却誓死不从。很快，两人到了湖顶，[风啸]一把抓住旁边摇曳的麻绳，伸手套在[黑羽]的脖子上。
1:12:54|1:13:7|[黑羽]不可思议地瞪大双眼。[风啸]手里的麻绳越勒越紧，[黑羽]渐渐支撑不住，张开嘴巴，湖水立刻灌了进去。脖颈的麻绳被[风啸]扯到了最紧，[黑羽]闭上眼睛昏了过去。
1:13:7|1:13:16|[风啸]在[黑羽]身上一阵搜索，从其中掏出盒子。[风啸]拿到盒子后，不顾昏迷的[黑羽]，直接游走。
1:13:21|1:13:41|[雪猎]单手掐着[贺力]的脖子，直到其失去意识。另一只手蓄力地抢打锋，[贺力]被打飞，撞在石柱上。石块坍塌，将虫子阵状直接扑过去，扑在[贺力]的身上。巨石掀起了阵阵尘土，[雪猎]颇为平静地看着这一幕。
1:13:51|1:14:1|[雪猎]满意地笑了，而[黑羽]沉入湖底，彻底失去意识。他紧闭双眼，往日活泼的翘脸上没有任何表情。
1:14:6|1:14:28|他甩开膀子奋力下潜，只为救下生命里最重要的人。[泥空空]在岸边轻轻拍打着[黑羽]的脸颊。失去意识的[黑羽]突然咳出了几口凶枪的积水。[黑羽]缓缓睁开双眼。
1:14:37|1:14:46|听到这话，[黑羽]立刻挣扎的起身，[泥空空]惊讶地看着[黑羽]，[黑羽]一跃准备飞翔，不料还没展开翅膀就摔了下来。
1:14:59|1:15:8|而赫利正奋力地将石堆下的[江城子]往外转，身受重伤的[江城子]眼看已经不行。赫利心急上前。
1:15:18|1:15:28|[泥空空]和[黑羽]闻声赶来，赫利查探一番[江城子]的情况。愤怒的[泥空空]捏住赫利的脖子，将他摁在[江城子]的尸体面前。
1:16:29|1:16:32|贺利拿起宝剑要走，却被[泥空空]拦下。
1:16:38|1:16:44|[黑羽]见如此消极的[泥空空]，心生不满。[泥空空]不敢和[黑羽]对视，犹豫了一番说。
1:16:49|1:16:51|一旁的同伴听到后有些惊讶。
1:18:1|1:18:16|赫利苦着脸，不情不愿地朝后退去，[泥空空]转身，看着满地的狼藉，心中泛起无边的苦楚，所谓的友谊化作一场泡影。夜黑风高，小船里点点灯，漂泊在江上，船上的赫利奋力地拉着帆。
1:18:18|1:18:33|[黑羽]来到船边，贺丽看到[黑羽]走来，不觉得停下手上的动作。两人顿时一眼，贺丽又开始埋头干活。[黑羽]往前走去，脚下踢到一个小水壶，这正是[泥空空]随身携带的。
1:18:33|1:18:44|[黑羽]犹豫了一下，弯腰将其捡了起来，[江城子]拂过[黑羽]的青丝。而[贺丽]固定好船帆，回首望去远处的石窟。心中不由惦念起[泥空空]来。
1:18:47|1:19:3|[江城子]顺流而下，愈飘愈远，堵雾斯人的黑雨，独立船头不敢回首，生怕惊扰了心中的那片愁绪。就这样，一夜很快过去，鸟鸣唤来了久违的朝霞，大江上飘起了晨雾。
1:19:4|1:19:18|[赫利]洗漱完毕，他十分注意形象，胆了胆身上的尘土，又理了理自己的衣领。收拾好仪容后，注意到了摇摆的风铃。他双手扶住风铃，让其不再发出声响。
1:19:18|1:19:25|扶稳之后，用余光瞥见了远处的天空中，有三只[飞龙]正朝小船的方向飞来。他急忙大声喊道。
1:19:43|1:19:53|[黑羽]听罢，也将目光聚焦到骑龙之人。随着[飞龙]越飞越近，[黑羽]二人才逐渐看清，原来骑龙之人正是名轰轰。
1:20:29|1:20:32|[泥空空]将[飞龙]停在岸边，和二人说道。
1:20:54|1:20:59|[泥空空]眼神紧紧盯着[黑羽]，可[黑羽]却故意视而不见，随后他说道。
1:21:3|1:21:12|[飞龙]顿时乖巧无比。[飞龙]顿时乖巧无比。[飞龙]顿时乖巧无比。[飞龙]顿时乖巧无比。[飞龙]顿时乖巧无比。
1:21:33|1:21:38|[黑羽]说吧，便骑上[飞龙]先行一步，[泥空空]紧接其后。
1:21:45|1:21:49|就这样，三人骑着[飞龙]翱翔在云端，颗粒激动地大喊。
1:22:27|1:22:31|霓虹虹又对板直脸的[黑羽]做了个鬼脸并说道。
1:22:52|1:23:5|夜晚的天都城灯火通明，上到皇宫下到街头，所有人都看着花灯和各样的节目。皇上心不在焉地与众人看着妖娆的舞蹈，片刻之后他低声说道。
1:23:23|1:23:36|在街头，各家各户的门前都挂着喜庆的灯笼。百姓们在街道的两边激动地看着表演节目的花车。壮汉们卖力敲击大鼓，所有人在这一刻都沉浸在节日的喜悦中。
1:23:36|1:23:52|表演节目的花车队伍十分庞大，除了里头的花车外，后面还有杂技，舞蹈等。但最令人捉摸不透的，就是一批穿着喜庆的衣服带着面具的神秘人。他们既不唱歌也不跳舞，只是跟随队伍环顾前进。
1:23:52|1:24:8|就这样，一路随着发车从城尾跟到了[皇帝]的城门前。与此同时，[血烈]的宫殿中也在举行着神秘仪式。做法的女婴念完咒语后，便开始诡异地移动起来。[血烈]将所有部下召集到一起，对他们说道。
1:24:26|1:24:49|[江城子]说吧，便眨眼飞到了天都城的上空。他与队伍中的神秘人相识一笑后，便满腻地朝皇宫飞去。得到指示的神秘人却下面具掏出武器，原来正是[风啸]和他的部下们。
1:24:52|1:25:5|手持士兵发现时，为时已晚。[风啸]手持双刀，如同砍瓜切菜一般，将冲来的士兵逐一解决。他丝毫不恋战，解决掉面前的士兵后，就静止朝城门执枪。
1:25:5|1:25:13|力量惊人的[风啸]，竟从一人之力，将数千精锐的城门推开，随后带领着众多羽人，朝城内杀去。
1:25:16|1:25:29|于是同时，皇宫内也不太平，刻意地趁着花车表演时，已经大领暗杀小队从城墙侧面用钩索攀了上去，轻松解决守卫后，便一路潜伏来到了大殿之中。
1:25:29|1:25:47|这时，皇城内顿时乱作一团，各路守卫急忙奔向皇宫救驾，就在部队刚踏上铁索桥时，[雪烈]点燃了护城巨石，将铁索桥直接砸断，救驾的部队也顺势掉了下去。这大殿之上，只有区区十几名皇上的贴身侍卫在苦苦支撑。
1:25:47|1:25:54|情况属实危机，皇上自己都不得不拔出手中宝剑，与众将士们一起参与到战斗中。
1:26:37|1:26:45|这一说话，极其兴奋的[泥空空]杀去，二人就此过招。与此同时，[杨震虎]和[风啸]几人来到了皇宫的密室。
1:26:47|1:26:59|[雪烈]飞到密室大门前，收回他身后的翅膀，随后拿出抢来的钥匙，放入大门的机关针，厚重的石门缓缓上升，[雪烈]等众人满脸期待的朝礼梦去。
1:26:59|1:27:8|就在这时，两支冷箭从[雪烈]的身后射来，[雪烈]迅速格挡，并将箭反弹回去，[杨震虎]带人及时赶到。
1:27:15|1:27:25|[雪烈]说吧，带着几名侍卫潇洒地朝密室里走去，留下[风啸]小队和[杨政府]展开激烈的厮杀，彻影武鹤立战斗时将飞镖射向[皇帝]。
1:27:30|1:27:44|这时，[雪烈]已经穿过密室曲折的走廊来到了大殿之上。这大殿阴暗至极，[泥空空]如也，但四周的装饰却格外精致，从各类石雕的精细程度便可看出这里曾经的辉煌。
1:27:44|1:27:59|[雪烈]似乎对这里十分熟悉，只见他展开双翅，跃到大殿中央的石柱前，随后将手中从郡王湖抢来的天空之眼嵌在了石柱上。一瞬间，石柱上方惊弓乍现，真正的天空之眼不见出来。
1:27:59|1:28:13|这时，霓虹宫和[黑羽]也来到密室门前，从[飞龙]身上一跃而下加入战斗。二人的到来无意让[杨震虎]司部队野虎添翼。这时，沙迪的[风啸]看到[黑羽]后，咬牙切齿地说道。
1:28:34|1:28:42|[杨政府]一口雾水，但看倪红红急切的样子，便跟着他走进了密室。二人刚走到走人内，便遭到了敌人的突袭。
1:28:55|1:29:13|二人解决掉面前的敌人，准备朝大殿走去。这时，又窜出数十名羽人将二人围住，一[泥空空]见状，急忙叫欧咖憋气，随后欧咖一个臭屁将众多羽人熏到直接晕厥。门外，功力得到提升的[黑羽]和[风啸]打得十分胶着。
1:29:13|1:29:23|连过了十几刀后，[黑羽]竟然占了上风，打得[风啸]只能被迫防守，甚至一度将其逼到了城墙边。皇宫内，在贺力的帮助下局势也成功扭转。
1:29:24|1:29:36|在消灭完羽人士兵后，赫利和皇上二人合力将[赫颖]活捉。[赫颖]被迫扔掉武器投降。另一边，[黑羽]无意间一脚将[风啸]踢到城墙的尖刺上。
1:30:6|1:30:13|在密室里，[血烈]准备打开胶珠和天空之眼融合。
1:30:16|1:30:28|欧咖砸了[血烈]一个措手不解，并迅速从他手中抢走胶珠。雪烈见状，朝欧卡追去，[杨震虎]一刀劈来。雪烈一个侧身躲过攻击，随后一脚将其击退。
1:30:28|1:30:35|[杨震虎]被雪烈的力量所震撼，他虽然难以置信，但情况紧急，只能全力投入到战斗中。
1:30:36|1:30:44|可[杨震虎]势大力成的攻击，皆被雪烈轻松躲过，并且还用骨刺将[杨震虎]的肩甲刺穿。
1:30:47|1:30:51|欧卡吊着胶珠开始逃跑，可怎么跑也跑不过飞行的雪猎。
1:30:55|1:31:11|[泥空空]接住胶珠转身就跑，可刚跑两步便被雪猎追上。他试图反抗，可雪猎仅一个重拳便将[泥空空]打出数秒之外。他紧咬牙关用全力爬了起来，可刚一抬头便见骨刺朝自己刺来。
1:31:12|1:31:23|就在骨刺要将他刺穿时，欧卡突然撞开了喷喷，自己却被刺中。雪猎收起骨刺，欧卡瞬间摔在地上，没了生机。
1:31:30|1:31:46|雪烈将焦珠的盒子打开，放在[天空之影]前。片刻后，焦珠便被[天空之影]吸入其中。在二者结合的瞬间，焦珠释放出巨大的能力。此时，霓虹虹顾不上焦珠何去何从，她抱着欧卡哭喊道。
1:32:22|1:32:39|胶珠和[天空之眼]经过短暂的时间融合在一起，胶珠的能量也彻底被激发，只见巨大的能量波动通过[天空之眼]聚汇到一起。下一秒，所有的能量化为光束射到空中，胶珠巨大的能量仿佛将天空撕开一个口子。
1:32:39|1:32:50|全程上下的人都无比惊讶看向天空，而只有[泥空空]无心看紧，他缓缓地将欧卡放在地上，最后将所有的愤怒化为力量，冲向雪面。
1:32:51|1:33:11|可宁空空毕竟是肉体翻开，虽有一枪愤怒，但在绝对实力面前，这些显得微不足道。雪猎普通的一拳，就又将宁空空打飞出去，这时，[黑羽]带着侍卫们匆匆赶来。
1:33:11|1:33:20|两名侍卫听命吼，丝毫不敢怠慢，直接伸手试图将焦珠拿下，可不料，二人被焦珠能量吸住的瞬间灰飞烟灭。
1:33:30|1:33:45|通过大殿的窗户，[泥空空]满怀期待地看着天空中的裂缝。只见裂缝愈发地耀眼，在能量注入之时，已有数十只飞沫从裂缝中钻出来，飞到天都城的各个角落。这飞沫体型如鸟，但形状怪异。
1:33:45|1:34:2|身体两侧掌有三对小翅，身体呈半透明状态，面部的嘴极为尖锐。百姓们从未见过飞沫便十分好奇，一男子目不转睛地盯着身旁的飞沫，甚至还想用手去摸。可下一秒，飞沫突然发难，直接钻入了男子的身体。
1:34:3|1:34:21|还没等男子反应过来，飞沫从他的心脏钻了出来，顿时，城中的百姓像炸开锅一般四散逃命，而城中的数百只飞沫，紧追其后不停地钻入百姓的身体，更可怕的事情发生了，只见从天空的裂缝中，飞出密密麻麻的飞沫。
1:34:21|1:34:26|犹如瀑布一般朝天都城袭来，飞沫飞速俯冲到天都城的大街上。
1:34:27|1:34:35|其破坏力，犹如蝗灾一般寸草呼生，飞沫体型小巧，速度极快，如此彪悍的特点集于一身，[皇帝]见此下令道。
1:35:4|1:35:8|[皇帝]刚要交代，却发现赫利骑着[飞龙]到天空中。
1:35:32|1:35:45|雪猎说吧，面带凶色地抽出自己的宝剑，朝[黑羽]赶去，[黑羽]拔剑抵挡。长出翅膀的[黑羽]和功力高强的雪猎短时间内打得不分上下，这不禁让雪猎大吃一惊。
1:35:45|1:35:57|[黑羽]抓住雪猎惊讶的剑势，一剑将雪猎左臂的铠甲劈掉，但同时自己也被一脚踹飞。[黑羽]顾不上疼痛，急忙从地上爬起继续战斗。
1:35:57|1:36:10|只不过，再次起身的[黑羽]逐渐处于下风，就在二人酣战之时，[泥空空]缓缓走到焦珠面前，看了看自己掌心的裂缝后，便直接伸手试图拿出焦珠。
1:36:10|1:36:17|本就能与焦珠产生共鸣的[泥空空]，并没有被焦珠的能量所吞噬，反而越来越靠近焦珠。
1:36:19|1:36:23|雪裂斩他双翅，飞到[泥空空]身边，一剑刺向他的胸膛。
1:36:30|1:36:48|宁空空被雪猎一脚踹飞，[黑羽]飞到雪猎的上胸进行攻击。这时，[风啸]突然出现，他舍身飞扑，一箭刺中雪猎的后背。雪猎扶伤，暂时撤出了战斗，[黑羽]和[风啸]急忙将[泥空空]扶了起来。
1:36:55|1:37:12|急性子的[黑羽]话音刚落，便再一次挥剑朝雪裂砍去，而[泥空空]深知自己的使命就是夺回胶珠，他飞身愉悦，将手伸向胶珠，用尽全力将手心朝胶珠靠近，这时，恶力也加入战斗，和[黑羽]一起帮[泥空空]争取时间。
1:37:12|1:37:30|雪裂剑爆发全力，先是一脚踢晕恶力，随后又将[黑羽]砍得节节败退，与此同时，天都城在飞沫的刺耳下已经千疮百孔，天空中的裂缝还在源源不断地涌出飞沫，甚至连厚重的城楼都抵挡不住飞沫的攻击而坍塌。
1:37:30|1:37:43|在密室内，[黑羽]和赫利虽然被雪猎一次又一次地击退，但为了争取时间，阻止雪猎的阴谋，为了保护天都城的百姓们，他们丝毫没有犹豫，一次又一次地站了起来。
1:37:43|1:37:57|虽然不是雪猎的对手，但哪怕能够多争取一秒钟，他们也会愤然不顾地冲上去。雪猎击退二人后，纵身一跃，一箭直直地刺向[泥空空]，飞羽和赫利飞扑过去想要阻止。
1:37:57|1:38:7|就在雪猎的箭印即将刺中[泥空空]时，他成功地将胶珠从天空之眼中拿了下来。一瞬间，巨大的能量波动将在场的所有人震飞。
1:38:7|1:38:24|也将城中肆虐的飞沫全部震碎，没了交出的能量，天空中的裂缝也逐渐关闭，剩余的飞沫被竞术吸了回去。经过一夜战斗，天都城再次迎来了清晨的第一缕阳光，可在密室的[黑羽]却躺在地上没了动静。
1:38:41|1:38:46|赫利将手指放到[泥空空]的鼻孔前，发现[泥空空]没了气息。
1:39:8|1:39:12|[黑羽]哭得伤心欲绝之时，[泥空空]却突然开口。
1:39:32|1:39:48|[黑羽]轻轻捶了一拳[泥空空]的胸口，[泥空空]顺势一把抓住他的手。而这次不同的是，[黑羽]并没有拒绝，反而和[泥空空]食指相扣。在这一刻，[泥空空]成为了[黑羽]心中不可或缺的人。几日后的皇宫内。
1:39:57|1:40:14|皇上从托盘中拿起属于太子的皇冠，为贺力亲手戴上，还散发着光芒的胶珠，也被[杨震虎]封在了振虎司最严格的密室中。
1:40:15|1:40:23|天都城又恢复了往日的繁华，[泥空空]几人带着欧咖找到了老袁。老袁拿出命药说道。
1:40:26|1:40:36|她之所以能活到现在，就是因为[血烈]释放焦珠能量的时候，她正好在旁边。
1:41:26|1:41:42|就在几人谈笑间，欧卡的手指轻轻地动了一下，手掌和[泥空空]一样泛起了光芒。他终于有了生命的迹象，午后经历了很多的黑雨，坐在山崖边，俯瞰着重新建成的天都城思考人生。
1:41:42|1:41:51|这时，[泥空空]从身后走来，轻轻地坐到[黑羽]的身边，两人对视一眼后都有些腼腆。[泥空空]主动问道。
1:42:26|1:42:41|[泥空空]话还没说完，[黑羽]便拉着他的手跳下山崖，随后又张开双翅，将[泥空空]紧紧地抱在怀中飞翔着。[泥空空]也同样紧抱[黑羽]不敢松手，二人一会儿在山谷间穿梭，一会儿又飞入云端。
1:42:44|1:42:50|[泥空空]逐渐不再害怕，温柔且幸福地看着[黑羽]。
1:42:50|1:43:5|这时，[黑羽]似乎也察觉到了他的眼神，二人互相深情地望着彼此，忽然间，[黑羽]垂直向上飞去，他带着[泥空空]穿过云端后停在了空中，最后，二人深深地稳在了一起。
1:43:5|1:43:12|[泥空空]凭借自己的真心与勇敢打动了[黑羽]，两人从此相濡以沫，厮守一生。
1:43:13|1:43:24|随着[泥空空]收获到了美好的爱情，奇幻之旅也要结束了。
