0:0:49|0:0:53|环境优美的山间，喇叭声响彻村里的各个角落。
1:8:37|1:8:59|[杨金三]看着他自嘲地笑了笑，然后低下头，小王见状直接跨过门槛走进房中。屋里阴暗潮湿，两个稍大一点的小女孩，一个站在桌前摘菜，一个蹲在地上生活。地面的垫子上还坐着一个看不清容貌的小孩，小王看向另一处。
1:9:0|1:9:5|还有一个小女孩在桌前写着作业，她走向门口问[杨金三]。
1:9:36|1:9:43|[杨金三]听了他的话，面容疑惑地问，小王被他的举动气得不知说什么话才好，只能在一旁干乱战。
1:9:46|1:10:3|然后他来到[杨懒]的家中，只见[杨懒]翘着二郎腿，靠在椅子上睡着了。[杨懒]被小王的声音吵醒，他睁开眼瞧了瞧，然后眼神随着小王的动作而移动。
1:10:3|1:10:13|只见小王先靠旁边房间的门帘，朝里面看了看，接着他又在整个房子里看了看，对着[杨懒]说道。
1:10:32|1:10:45|[杨懒]说完，又躺在摇椅上睡去。小王看着他的样子无可奈何，只好在他家里帮忙打扫卫生。他拿着拖把清理地上的灰尘，[杨懒]这时也醒了过来。
1:11:26|1:11:33|一遇，小王和杨家人都就在[杨英俊]的家里，[麻妹]递给[杨英俊]一杯水。
1:11:45|1:11:47|[杨英俊]听了这话，高兴的向着向，对着妻子说道。
1:12:37|1:12:43|养樱花带着众人来到了自己的田地里。他走到两个梯田的中央，只知一处田地向众人说道。
1:13:29|1:13:32|[杨英俊]惊讶地看向他问道。
1:14:1|1:14:7|养樱花说完笑了笑，众人看着这块地，[王申]率先说道。
1:14:38|1:14:41|[杨英俊]转身，不解地看向他。
1:14:46|1:14:53|众人回到[杨英俊]家里，伪坐在一起吃饭。[杨英俊]说完，一桌子人都看向小王。
1:15:21|1:15:31|[杨英俊]摇了摇头，小王听完后，也没能给出个具体方案。马妹一边收拾碗筷，一边说道。
1:15:43|1:15:51|马妹奉下马步去拿米，[杨英俊]喝了口水，继续说道。
1:16:43|1:16:52|马妹往竹篓里放了一袋米，接着又提了一桶酒，最后从瓦罐里拿出几条腌制好的鱼，让丈夫给[杨英华]拿去。
1:16:54|1:17:13|傍晚，村委会里围坐着一群帮扶的小伙，大家手里都拿着一大堆资料跟周围人讨论着，都在为了村民摆脱贫困而工作着。小王坐在一旁查着电脑，电脑里出现了十八栋村的地图信息。
1:17:13|1:17:48|另一边，[杨英俊]手拿一个塑料大桶蹲在自家的地里旁边，他拿着大勺舀了桶里的小鱼，将它们放入插好秧苗的泥水中。[杨英俊]抬起头一脸疑惑，但还是决定跟他去看看。
1:17:48|1:17:56|小王带着[杨英俊]开着自己停在村口的小轿车，二人开车驶过山间狭窄的公路，又路过了一旁的矿场。
1:17:59|1:18:13|最后一个拐弯将车驶入街道一旁的空旷地面上，车辆缓慢地开到空地的中央停了下来，车身都被泥土沾满了。二人从车上下来查看，[杨英俊]发出感叹。
1:19:19|1:19:34|接着，他手里拿着矿土站起身，左手手臂伸直，然后张开手任由矿土散落在地上。他抖了抖手，把矿土全部挥洒，最后看了看身旁的小王，拍了拍双手就离开了。
1:19:35|1:19:48|小王看着他离开的背影，双手掺腰，不知该说些什么，然后纠结了一会儿，也跟着离去。另一边，几个村民爬上山路，看着几个木棍横在路中央。
1:20:31|1:20:37|[杨英连]用手笔画着，示意让[杨英兰]发表意见。[杨英兰]无奈地说道。
1:20:46|1:20:50|[杨英兰]看了看他，然后舔了舔嘴唇说道。
1:20:55|1:21:25|陆续河呢，那里人多呢，[杨英兰]愣了几秒，转了转眼珠子思考了一会儿，然后摇了摇头，坚决地说道。[杨英兰]说完就站起身离开，[杨英莲]看着他离开，然后拧了鸣嘴，二话不说地起身离去。
1:21:27|1:21:43|二人走后，居委会里的一群人像双打的茄子一般没了生机，全部都陷入了沉浸中。这时，坐在一旁的[大爷]建议道。[大爷]说道。
1:21:48|1:21:55|他们一行三人来到[杨英兰]的家门口，以提意见的[大爷]为首，盯着坐在靠在门檐上的[杨英兰]。
1:21:57|1:22:3|[杨英兰]双目紧闭，明显不想看见来人。这时，[大爷]开口道。
1:22:21|1:22:26|话音刚落，站在一旁的[高歌大爷]也硬喝着说。
1:22:28|1:22:41|[杨英兰]看了看面前的三位[大爷]，接着又扭头看向前方。两久，站在一旁的[矮歌大爷]也说道。
1:22:45|1:23:1|[杨英兰]听了后摆正了身子，她看着眼前三个[大爷]的表情，然后微微点头。两久，[杨英兰]开口说道。
1:23:1|1:23:20|天空顿时雷声作响，狂风大作，攻击的羽毛在风中。[小王]带着[杨英俊]开车行驶在山间的路上，不一会儿二人就回到了村里。[麻妹]打开酒罐往碗里舀着，[小南瓜]骑着塑料小车在房间玩耍着。
1:23:22|1:23:41|屋外下着暴雨，[杨英俊]双臂交叉抱在胸前，矗立在门口，眼睛盯着外面的一处目不作声，心里不知在想些什么，连[小南瓜]在他周围一压压他都没有发现。[马妹]将装在碗里的酒倒入塑料桶。
1:23:41|1:23:49|夜晚，大雨终于停了下来，[杨英俊]拿着漆嘴装好酒的塑料桶，和杨英年一起走在村里的路上。
1:23:52|1:24:13|他们穿过条条小路，最终来到了[杨英兰]的家中。此时的[杨英兰]正在看电视，躺在破旧的单人沙发上，将二人直接走进自己的屋子，也没有主动说话。[杨英俊]提着酒桶，对着[杨英兰]说道。
1:24:13|1:24:35|[杨英兰]听后一脸无奈地走到桌子前。接着，他从别处拿出两个碗，放了上去，说道。说完，他将电视机关闭，坐在旁边的凳子上。[杨英俊]见状，将酒桶放在桌上，说道。
1:24:42|1:24:49|[杨英俊]将[杨英兰]束缚在椅子上，杀猪似的咆哮声给在街道上的小王吸引了过来。
1:25:6|1:25:21|[杨英年]往[杨英兰]的嘴里塞入了一团词疤后，就在一旁喘着粗气。二人干完了这事后，正打算离开，谁知在门外遇见了被叫声吸引过来的小[王申]。[杨英俊]看着他，用手笔画道。
1:25:29|1:25:48|小[王申]看着二人离开的背影没有说话，他在门外站了许久，终于走向[杨英兰]的家里，映入眼帘的是被绑在凳子上的[杨英兰]。小[王申]走到她的面前，看着她现在的样子也有些于心不忍。
1:25:48|1:25:57|而[杨英兰]则是将头扭向一边，生着气不愿意看她。小[王申]沉默了一会儿，然后开口说道。
1:26:19|1:26:39|小[王申]苦口婆心地劝说着，可[杨英兰]听着他的话，气得眼睛盯着他看，恶狠狠地想说些什么。可嘴里的词疤，使他根本说不出一句完整的话。另一边，[杨英俊]刚回到家中，妻子[麻妹]就上前问道。
1:26:41|1:26:45|[杨英俊]坐在凳子上，手里拍着孙女的玩偶说道。
1:27:0|1:27:9|画面转到[杨英华]的家里。此时，他嘴里的疤被拿掉。小王喂了他一口酒。
1:27:21|1:27:27|小王拿着碗愣在原地，接着他放下酒碗，拿起瓷芭。
1:27:38|1:28:1|说完，他的眼眶闪着点点泪光，嘴巴也微微地颤抖着。[杨英华]带着哭腔诉说了自己心里的害怕，她坐在凳子上抽气着，倔强地将头扭向一边。
1:28:5|1:28:14|小王见状，也没有继续刚才的动作，他低着头想了一会儿，然后拿起桌上的酒碗，将它伸到[杨英华]的嘴边。
1:28:20|1:28:25|[杨英华]低头喝了一口酒，已经进入深夜，村子里都已经陷入了寂静。
1:28:27|1:28:43|很快便到了第二天早上，[杨英俊]一大早就从家里出发来到了[杨英华]的家中。[杨英华]还和昨晚一样被绑在椅子上.此时，她和[王申]都躺在椅子上呼呼大睡。
1:28:43|1:28:48|[杨英俊]见状上前给杨英兰松绑，微弱的动静使杨英兰在睡梦中哼了一声。
1:28:52|1:29:6|这声响惊醒了睡在一旁的[王申]，[王申]睁开眼看见[杨英俊]的动作，吓得一脚踢飞的酒桶，他立马站起身阻止[杨英俊]的动作。
1:29:23|1:29:29|[杨英俊]将他松开后，转身走出房间，[王申]还站在原地，一脸的不知所措。
1:29:33|1:29:54|云雾渐渐弥漫在十八栋村的上空，一群村民站在空地上，在他们的中央支着一张桌子，上面摆放着一坛酒，以及多个装酒的小碗，桌子的前方还支着三根木棍，木棍的下面吊着一只鸡，上方则是放着一个圆形的生锈铁制品。
1:29:54|1:30:6|村民们都看向同一个方向，等着杨英兰的到来。两久，一个大爷看了看手腕上的表，然后开心地说道。
1:30:11|1:30:23|此话一出，周围村民的脸上都洋溢起开心的笑容，发出高兴的呼声。而另一边，[王申]一行三人开车来到上次的飞地。
1:30:26|1:30:48|车辆行驶到飞地的中央后停下，[杨英俊]立马下车喊道。小王文生立马下了车，[杨英俊]此时晕乎乎地从车上下来。他费力地将车门关上，还没走几步路，就倒在了车的引擎盖上。[杨英俊]走到他的面前。
1:31:29|1:31:43|刚刚还迷迷糊糊的[杨英俊]，看到周围的这一片空地时，立马清醒了过来。她没有听进去[杨英俊]的话，而是拨开了站在身前的小王，自己一边慢慢地向前走着，一边看着周围的环境。
1:31:47|1:31:59|其余二人看着他失魂落魄的样子都摸不着头脑。[杨英俊]漫无目的地向前走着，最终停在了一处。他跪在地上，弯下腰，双手捧起一堆矿渣。
1:32:29|1:32:34|[杨英俊]趴在地上，悔不当初，她痛苦地厮候着。
1:32:42|1:33:0|[杨英俊]和小龙见状也没有阻止，[杨英俊]则是继续喊道。他痛苦地哽咽着，一拳打在地上，喊着。[杨英兰]的头贴着地面趴在地上，痛苦地哭喊着。
1:33:13|1:33:33|两句，他撑起身子跪在地上，[杨英俊]和小王站在他的身后，默默地看着这一切。地上的[杨英兰]双手捧起矿渣看了看，又看了看周围的大片荒地。接着，他大声地说着自己今天的境地。
1:34:12|1:34:30|[杨英兰]在矿渣地上大声喊着。随后，三人开车行驶在山间的公路上。小王坐在驾驶位，[杨英俊]坐在副驾驶位。[杨英兰]在后面，眼神如鹰一般地盯着前方。突然，她拍了拍前方的[杨英俊]，喊道。
1:34:43|1:35:2|施佑成走在工友的前方，一看见来人，就赶紧转身向后方跑去。小[王申]三人见状，赶忙追了上去，工友们看着这架势都愣在原地，驻足在一旁观看。四人你追我赶地跑过一条外围写着井中长明的道路。
1:35:2|1:35:12|因为年龄的原因，[杨英俊]跑在了最后面，施佑成实在跑不动了，站在原地举手投降。[杨英兰]上前一把抓住他的肩膀。
1:35:26|1:35:35|[杨英俊]在后面喘着气说着，画面一转，天空已经渐渐暗了下来，小[王申]的车行驶在回村里的山间小路上。
1:35:37|1:35:52|[杨英莲]在家中蹲着生活，她吹着手中的竹筒，一股浓烟瞬间升起。而她不知道的是，女儿小[杨薇薇]此时站在门口观望，接着她怯生生地喊道。
1:35:52|1:36:3|[杨英莲]听见声音，先是愣了一下，她停下手中的动作，扭头向门口看了看。小[杨薇薇]背着背包，靠在门檐上看向她。
1:36:4|1:36:9|施又诚此时手里拿着两桶酒，走到门口。
1:36:10|1:36:17|[杨英莲]眼睛直勾勾地盯着二人，她没有吭声，微微颤抖的嘴角示意着她此时内心的不平静。
1:36:20|1:36:31|两个孩子站在门口，也不敢进去。[杨英莲]看着看着，眼里就蓄满了泪水。这时，小[杨薇薇]从门口走了进来，[杨英莲]喜极而泣。
1:36:57|1:37:10|施佑成拿着酒进入屋内，给[杨英莲]陪醉。夜晚，村民们都来到[杨英莲]的家中，他们围坐在桌子前，手里端着酒，个个的脸上都露出了笑容。
1:37:10|1:37:17|施佑成抱着酒桶，小[杨薇薇]拿着水缸给大家添酒，屋子里到处都洋溢着欢乐的氛围。
1:37:23|1:37:32|热闹的声音传到了村委会，一群小伙子在门口好奇地向生源处望去。两久，一个小伙子说道。
1:38:3|1:38:13|阳英连家里还在继续热闹着，众人都敞开心扉，唱歌、喝酒。另一边，[杨英俊]坐在自家的椅子上，哼着小曲。
1:38:32|1:38:45|[麻妹]坐在门口听见声响，转头微笑地看向丈夫，而后又看向远方，思绪回到了儿子离家的时候。当时，她看着房梁上的凳子说。
1:39:9|1:39:13|[麻妹]尴尬地看着丈夫，儿子抬头看了看，说道。
1:39:30|1:39:38|儿子面无表情地说出自己的想法，[麻妹]在一旁听到后，眼神看着他愣了愣，最终也没有说什么。
1:39:42|1:39:55|父子二人抬着梯子，将房梁上的凳子取下，[麻妹]坐在暗处默默地看着，她的眼里闪烁着泪光，火光照着她的脸一亮一暗。
1:39:55|1:40:3|[杨英俊]将凳子取下后，用抹布擦拭着，儿子坐在她的前面默默地看着，后面的墙上还贴着几张奖状。
1:40:7|1:40:29|[麻妹]看着这一幕，心里实在难受，眼泪从眼前处流下。她在一旁无声地哭着，擦拭好的三个凳子整齐地摆放在一排。时间很快就来到了第二天的清晨，儿子背着三个绑好的凳子离开了村子。他行走在山间的小路上。
1:40:31|1:40:50|[杨英俊]身上披着塑料布，头上戴着草帽，在后方矗立着。他的眼睛盯着儿子离开的方向，脸上的表情早已封不住，眼眶里也闪烁着泪光，最后他也没能跟儿子说上一句话。
1:40:50|1:40:58|画面回到现实，[杨英俊]坐在椅子上神游站，他眼睛无神盯着一处，心里不知在想些什么。
1:41:2|1:41:15|深夜，村民们都从[杨英华]的家中出来，往自己的家里走去。房间里还亮着灯光，[杨薇薇]坐在屋里，对着施佑成嘱咐道。
1:42:3|1:42:10|第二天清晨，施佑成在村口的井里舀了一碗水喝。[杨英俊]表示。
1:42:28|1:42:42|[杨薇薇]说了说自己的想法，[杨英俊]与妻子都露出了欣慰的笑容。这时，小南瓜突然冲过去抱住石佑城。妈咪赶紧上前将小南瓜抱回。
1:42:54|1:43:15|[麻妹]抱着小南瓜，微笑着回答了小薇薇的问题。[杨英俊]坐在一旁，双臂交叉在胸前，点头附和着。屋子里的人听了这话，都微微点头笑了笑，只有[杨英俊]面带苦涩地坐着，房间内弥漫着尴尬的氛围。
1:43:15|1:43:18|最后，[麻妹]宠溺地用手指点了点小南瓜的鼻尖。
1:43:21|1:43:51|[杨家人]来到矿渣地上，他们带着草帽，身后背着一筐一筐的土来填地。[杨金三]将筐里的土倒在地上，他看着空空的矿地感叹道。[杨英华]开玩笑地说着，[杨金三]的家中，小女孩坐在门口大声朗读书中的内容。
1:44:9|1:44:17|女儿们听到这话都看着她愣得愣。山间的公路上，一辆三轮车载着一个面带微笑的女人。
1:44:47|1:44:55|[杨金山]此时来到了家门口。[杨金山]的老婆从外面回来了，还给自己的四个女儿带了礼物。
1:45:10|1:45:24|她喜笑颜开地看着自己的丈夫现在拿锄头的样子，心里由衷地感到高兴，自己也终于不用在外面打工，维持家中的生计。
1:45:24|1:45:39|[杨家]的男人们将竹碑笼放在地上，他们手拿锄头和铲子在地里装土，然后抬着装满土的碑笼走到小货车边上，将里面的土倒入车的后面，就这样来来回回，直到货车装满。
1:45:43|1:46:1|众人坐在装满土的车上，开车前往矿渣地。他们一路上看着沿途的风景，中途没有任何交流，脸上却露出充实、恬静的表情。到了目的地，众人下车将土填在矿渣地上，然后返回原地。
1:46:1|1:46:8|夜晚，[杨英兰]三人到村口的井边，拿着洗领棚积水往自己身上拖，来消除一天的疲惫。
1:46:14|1:46:27|一日，[麻妹]背着竹篓，里面坐着小南瓜，爬上长长的台阶，来到[杨英莲]的家里。她将一条条小鱼处理完放入木桶中。小[薇薇]在一旁。
1:46:44|1:46:52|小南瓜在门外拉着竹笼瞎转悠，[麻妹]看见后放下心来。小[薇薇]接着。
1:47:13|1:47:32|小[薇薇]听了这话愣住了，她看着[麻妹]心里不是滋味。另一间屋子里的小南瓜已经独自跨过了门槛。她张开双手，蹦蹦跳跳地走过了有大人在的房间，自己一个人往树林深处走去。
1:47:32|1:47:37|而在房间里忙碌的[麻妹]和小[薇薇]都没有注意到小南瓜的去向。
1:47:42|1:47:46|二人将做好的鱼放入瓦罐中。
1:47:58|1:48:9|另一间屋子里没有任何的声响，[麻妹]这才感觉到不对劲，她赶紧出去查看。屋子里却没有了小南瓜的身影。
1:48:19|1:48:36|小[薇薇]先是稳住了[麻妹]，然后跑到屋子后面查看，发现到处都没有小南瓜的身影，顿时慌了神。[麻妹]下台阶回家去找，小[薇薇]上台阶边找电话。
1:48:42|1:48:59|马[妹]一路跌跌撞撞地来到家里，她跨过大门的门槛，双手推开房间的门，静止走向屋内，眼神看向房里的每一个角落，却还是没有小芒花的宣言。她着急地赶紧折回，跑到门口后，双手趴在门边。
1:49:7|1:49:22|而此时的小南瓜已经蹦蹦跳跳地来到了周围都是草丛、大树的环境里。它看着在眼前飞舞的小虫，一边跑去追，一边用手抓。走着走着就来到了百米高的悬崖边。
1:49:24|1:49:40|小南瓜丝毫没有意识到危险，只是一味地跟着小虫走。他停在了悬崖边上，双手向周围的小虫抓去。他高兴地蹦蹦跳跳，注意力全部都放在了抓虫上.玩到开心时，还开心地叫出了声。
1:50:18|1:50:38|[杨薇薇]和[麻妹]在树林里大声地喊着小南瓜的名字，村里的人们都开始帮他们寻找着。[麻妹]找着找着，心里感到一阵绝望，她抬头看了看太阳后，继续寻找着。
1:50:38|1:50:56|[杨薇薇]在阳光的照射下满头大汗，她焦急地寻找着小南瓜的身影，突然身后传来微弱的声响，他猛地一转身，看见了在草丛中小南瓜的身影。他弯着腰，看着小南瓜站在悬崖边上，心都提了起来。
1:51:1|1:51:19|[杨薇薇]瞪大双眼，像是定在原地一般。这时，[麻妹]和村里人出现在她的身后。[麻妹]看见这一危险的情景，立马就要上前。[杨薇薇]直接双臂打开将她拦住，然后右手食指放在唇边，比了一个虚的姿势。
1:51:19|1:51:26|二人的手握在一起，慢慢地朝着小南瓜的方向走去。村民们则是跟在他们的身后慢慢地走着。
1:51:33|1:51:48|他们尽量不发出声音，脚步轻轻地走向悬崖边。小南瓜还在那儿玩得开心，[麻妹]和小薇薇一把抓住小南瓜的身体，向后倒去。
1:52:38|1:52:52|天空下着小雨，小南瓜被[麻妹]带回了家。[杨英俊]抱着孙女坐在门口，[麻妹]跟他面对面的坐着，都对小南瓜说着自己的心里话。小南瓜听后开心地大笑着。
1:52:55|1:53:16|画面一转，小王和杨家的男人们在地里干着活。他们的衣服上都沾满了泥土，却没有一个人停下手里的动作，都在一刻不停地挖着泥土。杨英莲和女婿施又成，手握铲子往竹篓里铲土。杨英兰和杨金三也在奋力地干活。
1:53:16|1:53:33|小王也弯着腰挥舞着铲子继续干活。众人将多个竹篓装满后，他们将土倒在护车上，几人灰头土脸地坐在车上。到了地方之后，他们下车再把土倒在矿渣地上。
1:53:33|1:53:40|晚上，小王跟着[杨英俊]回到了家中，二人坐在桌前一边吃饭一边聊天。
1:55:24|1:55:30|[杨英俊]看着小王愣了愣，小王没有在意，而是继续说道。
1:56:32|1:56:35|小王说完低下头，他端起桌上的酒碗喝了一口。[杨英俊]和[麻妹]坐在对面，默默地看着他。
1:57:42|1:58:2|普普通通的坚持，小王向[杨英俊]诉说自己和父亲的故事。直到现在，他才理解父亲的良苦用心，也后悔自己没能赶回去见他最后一面。
1:58:4|1:58:23|温热的泪水从他的眼眶中流出，他抬起眼镜擦拭着脸上的泪水。[麻妹]被他感染，也在一旁默默地擦着泪水。时间渐渐地流逝，来到了黄昏。[杨英俊]坐在椅子上，叹了口气。
1:58:55|1:59:0|[麻妹]给[杨英俊]递水杯，[杨英俊]拿着它，看着小王笑了笑。
1:59:19|1:59:29|[杨英俊]一边说着，一边看向房梁上的凳子，[麻妹]也顺着他的眼神望了过去。一日清晨，村里的广播开始播放一条消息。
2:0:41|2:0:54|[麻妹]在家里做着小鱼，她将做好的成品放入瓦罐中，又将撒了盐的辣椒放入，接着又往里面加了水。完成之后盖好盖子，然后在盖子周围加入了一盆水。
2:1:6|2:1:22|[扶贫工作队队长]站在村委会房子里的黑板间，给少数村民们讲解村子里今后的发展规划。屋子里人来人往，络绎不绝，工作人员从房梁上取下被子，交给回来村子里的年轻人。
2:1:22|2:1:28|还有一些村民则是站在织布刺绣的大娘旁边观看着，小朋友们在房间里嬉戏打闹。
2:1:33|2:1:55|村子里正在举办大会，妇女们拿着鼓锤敲大鼓。别的村的村民们眼盛装打扮，来到十八栋村。[杨英华]站在热闹的大会上看着来人。这时，一个女人跟身边的朋友说着话，路过她的面前。[杨英华]的眼神立马追随着她。
2:1:55|2:2:17|当女人走出她的视线，她才想起来上前去追。可人来人往的村里，被大批外来人员堵得水泄不通。[杨英华]上前寻找着女人的身影，却发现怎么也找不到。她焦急地在人群中四处查看，突然一个回眸看到了一见钟情的女人。
2:2:17|2:2:25|她悄悄地来到女人的身后，用脚尖碰了碰她的脚背。女人回眸与[杨英华]对视，二人都腼腆地笑了笑。
2:2:32|2:2:42|一辆小型载人客车行驶站，车辆的上方绑着[杨英俊]儿子当时离家的三把凳子，看来杨家人这次要团圆了。
