0:2:44|0:2:48|[沈炼]看得是心头一紧。
0:53:4|0:53:29|这天清晨，[沈炼]穿过街巷，来到刚开门的清风茶楼，到此目的地，自然是赴[丁白缨]的约，进了门，这太师椅上端坐着便是她，[丁白缨]抬手示意，茶馆突然冒出十几个手下，当然也包括边军[丁泰]和女徒儿[丁翀]，
0:53:45|0:53:56|里屋的[北斋]透过缝隙瞄着大堂情况，[丁白缨]站起了身，拿起了手边宝刀，
0:54:8|0:54:32|锦衣卫出身的[沈炼]猜出背后另有主使，[丁白缨]不再废话，拔出宝刀，手下也蠢蠢欲动，[丁白缨]思索了一番，她不敢冒险，只能收回宝刀。出了茶馆，[沈炼]穿过热闹的街巷，径直奔着家中走去。
0:54:32|0:54:46|可这刚进门，院子里的黑猫就不安分了，温顺的猫儿竟弓着身子朝里屋里嚎叫，[沈炼]警惕了起来，他进了门，四处打量，不见异常，
0:54:48|0:54:56|关好门，握着刀朝屋里走去，这屋里[裴纶]竟和[北斋]在喝茶，
0:55:21|0:55:39|[沈炼]可舍不得[北斋]就这么走了，清汤寡水的一碗白面条，[裴纶]吃起来津津有味，连汤带面吃得一干二净，[裴纶]舒服地放下碗筷，
0:56:15|0:56:34|[裴纶]把纸条推给了[沈炼]，[沈炼]从桌上摸起纸条打开查验，这上写道，明时坊金陵楼，专候公公，落款不是旁人，正是眼前的[北斋]先生，
0:57:3|0:57:11|[沈炼]不由得紧张起来，这画如今就是党同谋逆的铁证，
0:57:48|0:58:1|[裴纶]不爽地起身，提着刀大步朝屋外走去，直到走出了大门。这前脚刚一走，[沈炼]便急忙跟上，一旁的[北斋]，这才松了口气。
0:58:36|0:59:7|[沈炼]忆起那晚，一时竟气不起来了，他内疚地抿着嘴，[沈炼]低下了眉，不再与[裴纶]对视，对方冷笑一声，转身大步出了门，[沈炼]只得咬着牙回到里屋，先找这两件案子的幕后主使，他拖着[北斋]进了书房，原本整齐的书房进门竟是满地狼藉，[沈炼]问道，
0:59:8|0:59:21|[北斋]撩起一把头发豁了出去，她嚣张的说话态度顿时勾起了[沈炼]的怒火，[沈炼]有的是办法治她，
0:59:23|0:59:32|湖面上[沈炼]坐在一艘小渔船前面，正在将[北斋]的双脚绑在船锚上，又撕开[北斋]嘴上的封条，
1:0:23|1:0:38|[沈炼]一脚踹下船锚，又拔出绣春刀，船锚的麻绳飞速下滑，[北斋]逝死如归道，
1:0:42|1:0:48|泫然欲泣的[北斋]眼神异常坚定，一副大义凛然的模样，
1:0:53|1:1:26|成卷的绳子呼啦啦地被拽下来，[北斋]被船锚拽下了水，[沈炼]竖目横瞪，恨铁不成钢地盯着船舱，心中涟漪渐渐平复，[沈炼]皱起了眉头，这不是他想要的结果，他握刀一跃，跳入湖中，伸着双手奋力下游，日光将湖水照地透亮，他搜寻着[北斋]的身影，
1:1:26|1:1:37|终于隔着如梦幻般的泡沫，似乎看到了她，便仗剑奋力划了过去。此时的[北斋]闭着双眼，发丝凌乱，像是睡着了一般。
1:1:37|1:2:2|[沈炼]靠近一手揽起她的胳膊，朝上游去，不多时，[北斋]被救上了船，[沈炼]扶着她缓缓躺到船舱里，他看着陷入昏迷的[北斋]说不出话，到了下午，两人坐在岸边的船舱里，
1:2:25|1:2:33|[沈炼]皱起了眉，心里免不了有一点内疚，
1:2:38|1:2:44|[北斋]抱着膝盖，凝眸望着远处的湖水，
1:2:57|1:3:11|而北镇抚司这边，[陆文昭]匆忙赶来，进了门，里面的锦衣卫士气低迷不敢抬头，几个千户也是垂头丧气。
1:3:15|1:3:25|北镇抚示意[陆文昭]看看[郑掌班]的情况，只见这临时搭的床榻上，[郑掌班]脸色苍白，脖颈全是淤血。
1:3:44|1:3:56|北镇抚一掌拍飞了千户敬来的茶，[陆文昭]注意到，好像这[郑掌班]的嘴唇似有嗡动，他上前凑近身子听了听，
1:4:3|1:4:39|镇抚大人掀开[陆文昭]，凑近听闻，可惜[郑掌班]这时已经彻底陷入昏迷了，什么也没能听到。[北斋]目光灼灼地盯着[陆文昭]，[陆文昭]心理素质强硬，愣是装地逼真，[北斋]见人已经伤到了脑子，也没指望有什么线索，案牍里，忙忙碌碌的锦衣卫收拾着残局，[裴纶]捡起地上的残卷翻看，他皱起眉思索着什么
1:4:39|1:4:43|他拿起残卷找到[陆文昭]，
1:5:18|1:5:51|[陆文昭]听着，不禁抿起了嘴，他十分感动地点着头，伸手替[裴纶]整理好衣襟，屋顶一跃而下的正是[丁白缨]——[丁白缨]，还有她的两位徒弟[丁翀]、[丁泰]，[裴纶]也不是善茬，一脸傲气地转过身拔出刀，这话没说完，竟被[陆文昭]背后捅了一刀，
1:5:51|1:6:18|[裴纶]痛苦地转过身，无力地挥出刀，被[陆文昭]轻松躲过，他捂着伤口，看着手上的鲜血，愤怒又不解地瞪道，[裴纶]转身望向[丁白缨]，[丁翀]闻声而动，跃起横踢，[裴纶]缩头躲过，竟又被盾牌砸中了，便向前扑去，又撞上了[丁泰]的狼牙棒当场吐血。
1:6:19|1:6:36|这两人一来一往，相互配合，受了重伤的[裴纶]更是招架不住，倒逼吐血的他，艰难地支起身子，[丁泰]走来，高高挥舞起狼牙棒，这一夜，
1:6:59|1:7:9|他一下子抓住了重要的线索，从船舱里坐了起来，隐隐约约发现了滔天的弑君阴谋，幕后的主使下了一盘大棋。
1:7:9|1:7:19|[北斋]、[陆文昭]、[丁白缨]定是一条线上的蚂蚱，至于他们几人私下是否认得，关系如何，那就犹未可知了。
1:7:19|1:7:44|[沈炼]望着石阶上的[北斋]，一时间思绪万千，面对[沈炼]，[北斋]内心也极为复杂，只好别过了头，看向了河水上游，这一望，影影绰绰中看到一个人影，竟顺着河水飘来，[北斋]起了身望去，[沈炼]也快步跑来，那人影便是死里逃生的[裴纶]，回到屋里二人照顾[裴纶]，
1:7:44|1:7:48|那狼牙棒在他身上留下了一片血窟窿。
1:7:48|1:8:7|当时[丁泰]奋力砸下，[裴纶]只得翻身躲避，可没跑两步竟然又被追了上来，一脚踹翻，就在[丁泰]准备结束战斗时，[裴纶]一发袖剑飙出，刺入[丁泰]的脖子，[丁白缨]上前扶住徒弟，可再一抬头[裴纶]已经趁机逃跑了。
1:8:7|1:8:21|屋里面色苍白，汗如雨下的[裴纶]猛然睁开眼睛，身手准备制敌，却才发现面前的是[沈炼][沈炼]扶着他缓缓躺下，一旁端着药粉的[北斋]，静若寒蝉。
1:8:30|1:9:4|[裴纶]茫然又痛苦的看着周围，[北斋]怕极了这位锦衣卫，埋头只管给伤口上药，听到这儿，[北斋]不由地一顿又望向了[沈炼]，身受重伤的[裴纶]，一听[北斋]，竟又来了精神，他挑着眉，耷拉着眼皮，不可思议地看着，门外忽然传来了动静。
1:9:4|1:9:20|[沈炼]锁好门走出来，但这院子里站着的便是他的顶头上司[陆文昭]，已经清楚来龙去脉的[沈炼]缓步上前，
1:10:8|1:10:17|[陆文昭]瞪着双眼，不爽地缓步走来，[沈炼]却是眼神坚定，寸步不让，
1:11:0|1:11:5|[沈炼]看着[陆文昭]搭在自己肩膀上的手，一时半会儿没说出话，
1:11:18|1:11:34|[沈炼]抓住了关键细节，那背后的主子定然是对[北斋]无比倾心，如此难堪的说法，竟出自[沈炼]之口。
1:11:34|1:12:1|机关算尽的[陆文昭]拔刀相向，[沈炼]只是目光灼灼地看着他，没有动手，道不同不相为谋，[陆文昭]虽有怨恨却说不出口，气急的他越走越快，收刀入鞘离开了这宅子，[沈炼]却没敢放松警惕，反而抬头望去了围墙上，突然围墙探出手持火铳的士兵，
1:12:3|1:12:19|[沈炼]果断俯身躲闪，小院落里散落的硝烟肆意弥漫。[沈炼]趴在巨石围城的小花园后不敢抬头，墙外士兵轮番清理火铳中淤积的炸药。
1:12:19|1:12:50|似是下定决心要将这宅子夷为平地，[陆文昭]背过身去，只是虚着眼睛一言不发，树上的黑猫竟被击中坠落，被火力压制，不敢动弹的[沈炼]心急如焚，这猫儿不知陪他度过了多少难挨的时刻，突然，这炮火声停了，可[沈炼]仍然不敢拖沓，他透过树杈望去，不见士兵踪影，
1:12:50|1:12:57|端着长串的士兵破门而入，[沈炼]快步抱起黑猫逃进屋里，刚要顶出门就被士兵合力掀开。
1:12:57|1:13:20|好在前面早有准备在门框上撒好了烈质，他砍断绳子推倒灯台，烈火形成了一道屏障，他趁机进了里屋，掀开炕头隔板，准备钻进地道，临行前不舍得轻抚黑猫，前屋已被烧毁，[沈炼]招呼，只见这密道里头，[北斋]掌灯，扶着重伤的[裴纶]，三人火速潜逃。
1:13:21|1:13:51|这夜空电闪雷鸣，街道上守夜的人驾着高头大马狂奔而过，谁也没有想到[沈炼]一众逃进了金陵楼，此刻他正端着灯思索着事情的来龙去脉，他随手翻看着宝船监造志躺在简易草席上的[裴纶]立刻认了出来，见他醒来，[沈炼]吹灭了灯，望了眼熟睡的[北斋]，随后才把监造志塞进怀里，安心躺下。
1:13:53|1:14:22|这场雨还是趁着夜色落尽了京城，一只手刚从[沈炼]怀里掏出监造志，就被[沈炼]牢牢擒住手腕，他端起灯一看，正是[北斋][沈炼]一把甩开她的手，[裴纶]跟着凑起热闹，[沈炼]斜着眼睛凶狠的看着他，[裴纶]悻悻作罢，回过头来
1:14:22|1:14:37|[北斋]活动着手腕，看来刚刚那一擒没有留情，[沈炼]起了身朝着客栈二楼走去，今夜注定难眠，[裴纶]不知什么时候也来到二楼，
1:14:54|1:15:27|可这楼梯上，[北斋]正悄悄坐着，偷听着两人的对话，[裴]轮替[沈炼]说出了心中的想法，突然楼下传来动静，[沈炼]快步下了楼，才发觉出了事，[北斋]跑了，又是一个雷雨交加的夜，[北斋]再一次在他眼皮子底下溜了，巷子里的[北斋]，听到马儿嘶鸣不敢前进，
1:15:27|1:15:54|不用想也是[陆文昭]派人搜寻三人，[北斋]心惊肉跳地回头，借着闪电的光，一瞬间，他看到[沈炼]那令她安心的面孔，[北斋]转过头刚要想逃，马蹄声再次响起，她紧紧地靠着墙，眼神中有些许的慌乱，趁着车马刚走，[北斋]冲进雨里穿过了这条大道，可[沈炼]刚到巷子口却听到
1:15:58|1:16:7|官兵们在前面驻扎了下来，[沈炼]和[北斋]只能隔着这条大道相望，雨水瓢泼而下，将两人淋得湿透。
1:16:7|1:16:27|[北斋]知道[沈炼]这一次没法追过来了，一条大道，如今就像一道天堑，[沈炼]只是皱着眉，眼神凶狠的望了一眼那边，官兵们正烤着火，在屋檐下躲雨，他眼神复杂地盯着[北斋]，对[北斋]难以言喻的情愫，
1:16:27|1:16:41|让他进退两难，可是追到了人又能怎么样呢？从怀里丢出的那本卷好的书，用力地丢了出去，丢在了[北斋]脚边，她疑惑地捡了起来，擦了擦上面的雨水，仔细一看。
1:16:41|1:16:57|正是那宝船监造志纪要，可等她再抬头，已然不见人影，望着那空荡荡的巷子，自己的心也突然空了起来，雷声渐起。[北斋]抹了一把脸上的雨水，转身朝着巷子深处跑去了。
1:16:57|1:17:6|次日大早，这东缉事敞的尘雾还未散，里面却出了大事，[魏忠贤]高坐在牌匾之下，
1:17:23|1:17:34|跪在地上的[陆文昭]缓缓抬起头看向[魏忠贤]见[魏忠贤]不语，他低下头打起了小算盘，装出一副深恶痛绝的样子
1:18:15|1:18:18|街上的[北斋]挤进人群，看着张贴的告示，
1:18:34|1:18:46|[沈炼]转过身，见重伤未愈的[裴纶]一急，脸上更是苍白。二人忽然听到了什么，急忙躲在了柱子后张望，这门被推开了。
1:18:46|1:19:4|[沈炼]提刀在手，时刻准备出击，可这进来的人竟是[北斋]，[裴纶]大大地松了口气，谈判的筹码总算是握回到了手上。厂公[魏忠贤]盘着手里的珠子，若有所思地看着跪在面前的[陆文昭]
1:19:22|1:19:40|[陆文昭]哪里是[魏忠贤]的对手？[陆文昭]不可思议地瞪着眼睛，[魏忠贤]缓缓站起身，他又连忙低下了头，
1:20:29|1:20:43|这是每个人的愿望，但是也都止于愿望罢了，没有几个人敢去做，也未必做得成。阉党这座大山能推得动的只有寥寥几人。
1:21:22|1:21:48|这天，清风茶楼内，[丁白缨]持刀赶来，堂厅里手下七扭八歪，自是[沈炼]所为，他拎着刀和刀鞘的双手侧举以示诚意，终归还是说服了[丁白缨]，到了晚上[沈炼]被蒙着眼送到了这府邸，[丁白缨]揭开他眼罩，又抽出刀给他松了绑，
1:21:52|1:22:0|收了刀后也跪在[沈炼]旁边，警惕却没有丝毫地放松，仍然提着刀提防着[沈炼]。
1:22:36|1:22:45|另一边，[裴纶]带着[北斋]来到了东厂门口，两人躲在旁边的巷子里，[北斋]刚探头就被[裴纶]拽回来，
1:22:52|1:22:58|信王拿起桌上的宝船监造纪要丢进了火盆里，
1:23:28|1:24:1|最终还是收了刀离开了，这屋子里，最终只剩下了[沈炼]和信王。一坐一站，中间隔着一个火盆，东厂门口的二人还在等待，[北斋]不知从哪里来的信心，听得[裴纶]一愣，[北斋]不屑地斜了他一眼，[裴纶]倒是大方捅破了这窗户纸，
1:24:24|1:24:41|信王缓缓蹲在[沈炼]旁边，紧紧盯着他，似要从他的眼里看出些秘密，想要继承大统的人显然没有那么好蒙，
1:24:52|1:24:58|信王已经得到了他要的答案，他起了身夺步说道，
1:25:1|1:25:24|信王说着抽出了宝刀，[沈炼]回忆了一下两人初遇的那天，这个理由足够正当，难得的是信王愿意相信，
1:25:34|1:25:53|[沈炼]伸手接到，可信王，却不愿意松开，[沈炼]瞪着眼睛看着信王，这回是他自己松了手，信王无奈地回过身，人间帝王自古无情，
1:26:2|1:26:44|信王挥刀直指[沈炼]的双眼，死人堆里爬出来的[沈炼]岂会怕这种阵仗，他起了身，走到刀前，看着刀尖又看看信王，信王眼神冷酷，可[沈炼]也不是吃素的，他伸手握住刀背夺刀，信王没能握住，说完他捡起了刀鞘，[沈炼]夺过令牌，似有暗号传来，
1:26:47|1:27:12|[沈炼]不敢大意，当即撞窗逃出，信王痛苦地闭上双眼，东厂外的[裴纶]站起身来，他提醒着[北斋]，[北斋]只能干着急。而信王府上[陆文昭]、[丁白缨]兄妹赶来，
1:27:22|1:27:59|大是大非，天下苍生，一个爱人哪里比得上？信王忍痛割爱闭上了双眼，[陆文昭]起身抱拳离去，信王低着个头，感性和理性冲击着他的内心，[丁白缨]面子上也有些挂不住，之前还替师兄[陆文昭]打包票，默默地跟上了师兄的步伐，迈出了府邸，只剩下孤单的信王，而火盆里的书烧地旺盛，
1:28:0|1:28:27|出逃的[沈炼]急急忙忙跑到东厂，生怕慢一步就酿成大错，到了约定地方，竟没见人影，当即拔刀上前，靠在墙边观察东厂情况，只见门口横站着这一排守卫，端着火把守着大门，他想去拼命，这声音定是[北斋]，[沈炼]缓缓回过身，正是[裴纶]和[北斋]，
1:28:27|1:28:44|[北斋]松了口气，眼神中的欣喜，自是藏不住，[沈炼]庆幸地一笑，时间不等人，第二天便登了船启程，船不大，更像是小舟，[沈炼]一生盔甲充当着船夫，[北斋]则是大家闺秀的模样。
1:28:44|1:28:52|[沈炼]摇着船，机警地打量着四周，
1:29:14|1:29:30|[沈炼]停下看着[北斋]，[北斋]自是想到，这个男人在小心翼翼地保护着自己的那颗心，[裴纶]百无聊赖地摸着自己的无常簿，封面柔软的皮革陪伴了他许久，
1:29:32|1:29:53|他不屑地冷吼一声将其丢进了湖里，也算是将其锦衣卫这身份彻底丢了。金鱼胡同里，[魏忠贤]的府邸来了位客人，一身华贵锦衣衬出他出尘的气质和那骚乱的白发下，垂垂老矣的[魏忠贤]不同，此人便是信王，
1:30:47|1:30:59|[魏忠贤]和王爷谈起了条件，信王连滚带爬都跪倒在[魏忠贤]面前，[魏忠贤]缓步走来，
1:31:8|1:31:25|悲痛欲绝的信王，霎时间泪水溢出，他抽动着嘴角竟说不出一句话来，只是啜泣着低下了头，身体不由自主地颤抖起来。
1:31:25|1:31:37|老谋深算的[魏忠贤]自然是不会轻信任何人，他走上前一把拽起[信王]胳膊，[信王]朝泪流满面地抬起头。
1:31:42|1:31:50|听到这儿[魏忠贤]才两只手搀扶起[信王]，起了身，
1:32:11|1:32:19|[魏忠贤]紧紧盯着他的眼神缓缓后退，转身来到椅子前坐下，
1:32:24|1:32:39|[信王]当即躬身抱拳，他把头埋得很低，这才忍不住凶相毕露。
1:32:43|1:32:49|[沈炼]撇了眼睡着的[北斋]，两人在看着地图选择路线，
1:33:15|1:33:25|骏马奔驰在小路上，三人踏上了逃亡的路途，过了荒野，路边竟然有人头骨，当然也少不了乌鸦，
1:33:27|1:33:39|三人放缓了速度来到了一所小镇，可这镇里荒无人烟，偶有几间开着门的屋子也已是累累白骨，架不住奔波的[北斋]昏倒了。
1:33:39|1:33:59|[沈炼]发现后急忙下马查看，夜色不知何时已经降临，小镇上竟没有一家灯火可见瘟疫的恐怖，三人在一户农家的屋里修着，灶前的炉火撑起屋里的温度，见[北斋]醒来，[沈炼]急忙上前，[沈炼]为她擦着汗，
1:34:18|1:34:25|[沈炼]皱着眉一脸认真，[北斋]缓缓抬起眸子，火光映在苍白的小脸上，她虚弱地说道
1:34:41|1:34:55|她用力地撑着那双憔悴的杏眼，[沈炼]则是无比关切地看着他，火堆旁的二人一个倚靠着柜子，一个撑着身子就这么对视着。[沈炼]忽然听到门外的动静，
1:34:58|1:35:18|他提着刀出门查看情况，月光清亮，院子无常，[沈炼]机警地朝门口走去，房梁上向忽然跃下一人，劈头盖脸向[沈炼]发难，正是[丁翀]，说着她挥刀砍下，忽然一根铁棍飞来砸在了[丁翀]头上，
1:35:30|1:35:56|[丁翀]自知不是对手，竟点燃了一个炸弹，准备和二人同归于尽。好在两人反应及时，波及较小，可这炸弹却为追兵提供了两人的位置，[沈炼]翻身上马，他载着[北斋]和[裴纶]朝着不同方向出发，林中小路，一道身影伏在马上，趁着夜色奔袭，暗中的蒙面人举起了火铳，
1:35:56|1:36:8|这身影中弹跌下了马，原来是[沈炼]用[丁翀]的尸体前来探路，蒙面人反应不及，[沈炼]弩箭已发，携风而来的箭带走蒙面人的生命。
1:36:8|1:36:33|[沈炼]怀抱着[北斋]，填充好弩箭，另几个蒙面人再度出手，[沈炼]倒是趁着火中的光芒锁定其，并将其射杀，追兵驾马嘶吼地冲来，[沈炼]也抽出了绣春刀，一记横劈袭来，[沈炼]按着[北斋]俯身躲过，回头一个上腰踢在马腿上，那追兵顿时人仰马翻地摔进了丛林，
1:36:33|1:36:45|不等[沈炼]喘息，手持长矛的追兵快速赶到，所谓一寸长一寸强，马上作战，又有[北斋]要顾及，[沈炼]自是难占上风，只得快马加鞭尽量拉开距离。
1:36:45|1:36:58|那长矛直指[沈炼]后心，关键时刻侧面杀出了[裴纶]，将其连人带马地撞翻，原来[沈炼]早有打算，眼瞅着会合地点近在眼前，选择避而不战。
1:36:58|1:37:22|虽然[裴纶]及时赶到解了围，可是追兵赶来只是时间问题，一行人仍然不敢放松，趁着月色继续前进，直到天亮了，[沈炼]拽住缰绳，三人忧心忡忡地望着前方，眼前看是一道峡谷，只有一道窄窄的树藤吊桥连接着对岸，[裴纶]把马儿往吊桥上拽，
1:37:22|1:37:34|马儿脚下像是生的铁钉一样不肯向前半步，[裴纶]扯着缰绳，无论怎么使劲，这马儿就是无动于衷。
1:37:34|1:37:58|裴纶望着这树藤条吊起的百米的吊桥，一时间竟有种穷途末路的感觉，他只得回头和[沈炼]商量对策，三人已然陷入了进退两难的境地。不远处的林子里传来了马儿阵阵嘶鸣，追兵要到了，他们持刀蒙面挎着骏马飞驰而来，
1:38:26|1:38:39|两人来到桥边，他轻推了一把[北斋]，[沈炼]急言厉色地催促道，[北斋]扭头上了吊桥，赌气似的大步往前，可还没到一半又停下了。
1:38:39|1:39:3|她回头喊道，刚转过身的[沈炼]一愣，他犹豫了一下，回过身，[北斋]认真道[沈炼]表情有些复杂，这个让他掏心掏肺的女孩，现在自己才知道她的名字，他咬牙喊出这句话，这一别不知何时能见，
1:39:5|1:39:12|看着她的背影，[沈炼]眼眶有些湿润，裴纶丢来宝刀，二人回身迎敌，
1:39:16|1:39:32|来者气势汹汹，裴纶暗中拉起了绊马索，[沈炼]助跑起跳，一刀砍飞了追兵的胳膊，蒙面人再度杀来，裴纶及时躲闪，对方竟冲下峡谷。
1:39:32|1:39:55|[沈炼]提刀走来，一个上腰，结果了因绊马索失足的敌人，[陆文昭]兄妹率军赶到，而另一边，天高云舒的皇宫里，信王一袭华服神色黯然，吊桥前裴纶百无聊赖地晃着棍子，
1:39:57|1:40:30|[陆文昭]下了马，抽出悬在马腹上的长刀，兄妹联手缓步上前，周围的士兵紧跟着，呈包围之势，裴纶嘬了一口烟斗收在腰间，那个女人已经过桥了，[陆文昭]小声道，[沈炼]自信地看了眼裴纶蒙面人举刀冲来，[沈炼]将刀一横左劈右踩，迅如猛虎下山，气若狼入羊群。
1:40:30|1:40:47|而裴纶一手金刚铁棒耍得虎虎生风，面对蒙面人合力下劈，裴纶双手再一挥，就将其掀翻。蒙面人见状抱住金刚铁棍，谁料竟将他拆出了短刀，一阵捅刺将其解决。
1:40:50|1:41:6|[裴纶]越战越勇，而[沈炼]牵制住敌人，那柄秀春刀搭在了蒙面人的脖颈前，鲜血泼洒，那人则是像烂泥一样地倒下。[沈炼]望着[丁白缨]和[陆文昭]，二人这才列开架势准备动手。
1:41:6|1:41:12|[沈炼]自是知道这对兄妹才是真正的敌人，三人蓄势待发。
1:41:14|1:41:28|这时山里的[北斋]挎着包袱夺路狂奔，不知多久她脚步逐渐慢了下来，她喘息着回过身，林子的另一边是刀剑相割，[北斋]犹豫了，
1:41:30|1:41:37|[沈炼]手持祖传绣春刀被二人压制地节节败退，他拉开距离抛出了弩箭，
1:41:39|1:42:1|[陆文昭]躲过，[丁白缨]欺身杀来，[沈炼]一弩一刀将其逼退，[陆文昭]趁机偷袭一刀，劈在了[沈炼]的后背，[丁白缨]再度杀到，划伤了[沈炼]的腹部，两人缠斗在一起[沈炼]凭借身法多次化险为夷[丁白缨]一刀劈来，两人角力，[陆文昭]横着长刀挥舞而来，[沈炼]慌忙招架。
1:42:1|1:42:24|[陆文昭]反手侧压长刀势如破竹，狠狠地砸在了[沈炼]的绣春刀上，[丁白缨]见机横刀而上，[沈炼]腾空一跃，躲开了致命的攻击，借势翻身爬起，而[裴纶]见其陷入绝战，将那柄短刀丢了，[沈炼]凌空接住，一手正握，一手反握，一攻一守摆开架势，
1:42:24|1:42:50|而这林中的[北斋]此刻却反身朝着吊桥跑回来，吊桥上，黑衣人合力压制着[裴纶]，却被他借力打击，送下了悬崖，吊桥上的[裴纶]靠着棍子势大力沉，将敌人扫下，[沈炼]则是借机单挑[丁白缨]，[丁白缨]故技重施倭刀术，而这一劈则砍到了绣春刀的刀背，[沈炼]顺势甩刀从右手换到了左手。
1:42:50|1:43:7|[沈炼]破解了倭刀术，每一次被刀背劈砍，[沈炼]都借机换手反击，咬牙切齿的[丁白缨]双手握刀竖劈，[裴纶]奋力地爬回吊桥，[沈炼]左手架在了右手手腕借力，彻底地压制了[丁白缨]。
1:43:7|1:43:15|[陆文昭]快步赶来，[裴纶]急忙跟上，[沈炼]丢出管刀，[陆文昭]扭头躲过身后的[裴纶]却将其牢牢握住。
1:43:15|1:43:40|[陆文昭]奋力一劈，刀刃却静止在[沈炼]的额前，原来接住管刀的[裴纶]先一步杀到，将[陆文昭]捅了个贯穿，[陆文昭]圆瞪着眼睛，一脸的不可思议，是罢，[裴纶]拔出来管刀，
1:43:51|1:43:57|[丁白缨]捂着师兄的伤口止血，
1:44:32|1:44:47|山谷传来声响，[沈炼]快步来到悬崖边，却见先前的小镇上来来往往不少官兵，骏马嘶鸣，在峡谷里回荡，鸟尽弓藏即将上演。
1:44:54|1:45:30|[沈炼]和[丁白缨]架着重伤的[陆文昭]，这地上属实没有什么掩体，小小的石头遮不住三人，[沈炼]就窜到了[裴纶]那边，恢弘的皇城中，信王依然守在门口，老太监[魏忠贤]热切地走来，信王忧心忡忡地转过身，信王泫然欲泣，而[魏忠贤]却眉飞色舞，
1:45:31|1:45:38|山崖边的阻击战还在继续，躲在石头后的兄妹二人战战兢兢，
1:45:50|1:46:26|[陆文昭]恍然大悟，他瞠目结舌一时间觉得有些慌，他不敢相信，从容之臣竟落得如此境地，[陆文昭]声嘶力竭地大喊着，他面容痛苦，五官快要拧成一团，[丁白缨]低着眼睛不敢看，他[陆文昭]抬手轻抚着师妹的眼睛，他主刀猛然起身，在众人惊异的眼神中，昂首挺胸地朝着官兵走去，
1:46:26|1:46:36|一发火炮没入他胸膛，他整个人差点翻倒，一旁的[丁白缨]紧张道，敌军汹涌而来，你推我撞。
1:46:36|1:47:5|蹒跚的[陆文昭]没有人放在眼里，这次他如命运一般，在这滚滚的洪流和动荡的时代中淹没，你一刀他一剑，[陆文昭]倒下，[丁白缨]血气翻涌，握起长刀起身迎敌，用生命书写最后的挽歌，[丁师傅]再无剑术，仅有豪情。
1:47:5|1:47:31|[沈炼]回过身，那道倩影回来了，士兵纷纷拔刀冲锋，[沈炼]慌了，他怎肯心爱之人冒此风险，他快步向前，
1:47:41|1:47:58|[北斋]停下了脚步，慌张的看着[沈炼]，[沈炼]单手举着刀堵在吊桥这头，[丁师傅]的惨叫，[裴纶]的苦战，还有[陆文昭]的尸体，昭示着这惨烈的结局。
1:47:58|1:48:32|[沈炼]挥刀劈在这树藤上，吊桥摇晃起来，他咬着牙双手握刀奋力劈砍，桥上[北斋]的身影摇晃苦苦哀求，眼看吊桥要断，[北斋]含泪跑了回去，可没两步又回头看向了[沈炼]，[沈炼]挥刀猛踢，横条树叶寸断，一刀又一刀砍断了自己的情思和牵挂。
1:48:32|1:48:57|[北斋]站在桥头一时间无语凝噎，[沈炼]不留退路，再次挥刀砍下，桥断了，紧紧关切着[北斋]的心思也断了。山崖上，[沈炼]背后是兵荒马乱，[北斋]背后兴许会是新时代的开辟。
1:48:57|1:49:18|[沈炼]最后看了眼[北斋]，拎着刀，带着那股无人匹敌的狠劲杀进了修罗场。[北斋]知道这个男人向来就是如此，她便背起了包袱朝着山里转去，此刻的厮杀酣畅淋漓，纵使身死在此也了无遗憾。
1:49:18|1:49:28|卧病在床的皇帝，伸着手招呼着弟弟，皇帝心满意足地笑了。
1:49:40|1:49:52|山崖上，灯枯油尽的[沈炼]躺在地上，挥舞着绣春刀，满身鲜血的[丁师傅]，手上的长刀已是犬牙差互，卷了刃，
1:50:9|1:50:29|[沈炼]猛然瞪大双眼，似是回光返照一般，整个人的精气神重新焕发，挥刀间气势如虹，宛如人间战神。弓箭手一箭射过他的大腿，[沈炼]只是微微晃动了一下身子，反手便将扎入大腿的弓箭拔出来，狠狠震慑了上前围攻的士兵。
1:50:29|1:51:2|胆大的士兵不信邪，找准机会一刀捅上，结果却是以命换伤，一鼓作气，再而衰，三而竭，已是强弩之末的他，却爆发出了如此强悍的战力，就足以让围剿的士兵心惊胆战，他拄着刀坐在地上大口喘息着，他脑海中浮现出这声音，像是生命尽头的呼唤，他跪在地上拧着眉瞪着眼，
1:51:2|1:51:23|士兵蓄力一击劈在他后背。裴纶不知何时已经靠在巨石上，叼着烟斗安详地睡了过去。力竭的丁师傅茫然地望着手上参差不齐的刀刃，[沈炼]倒了，半月后的北京城，
1:52:0|1:52:11|[魏忠贤]双手奉来一本名册，崇祯皇帝[朱由检]接过翻看着，他轻瞥了一眼身旁的[魏忠贤]，平静地开口说道，
1:52:30|1:52:51|年轻的[朱由检]，意气风发，抬头换以颜色。[魏忠贤]看了周围甲士和士官，竟无一人是自己党派，方才幡然醒悟，自己已经失了势，识时务的他，急忙躬身行礼，告退。这一仗魏党尽除，庙堂之上再无阉党。
1:52:51|1:52:57|三个月后皇帝割除[魏忠贤]一切职务，发配其往凤阳守陵。
