0:1:24|0:1:32|他伸出粗糙的手指抚摸着刻痕，每一道刻痕的背后都写满了生存的不易。
0:36:15|0:36:24|[姬地]喝完了神情都变了，这么特殊的水，他还是第一次喝到，他仔细地回味了一番，随后脸上慢慢露出笑容。
0:36:27|0:36:42|满脸通红地[嫫母]看着[姬地]满意地笑了起来，由于喝了太多酒，她摇摇晃晃地站起身打了一个饱嗝，掏出一个用粗麻布包裹的土块，[嫘祖]不解。
0:36:44|0:36:55|[嫫母]用石头敲了几下，待土块脱落之后，他拿起两个尖利的兽骨从中间向外拨开，当他把土块剥干净后，一整块还冒着烟的肥肉露了出来，香气瞬间散开。
0:36:55|0:37:3|大家看着眼前香喷喷的肥肉，不自觉地嘴角上扬，疯狂咽着口水，[嫫母]缓缓坐下来，指着肥肉。
0:37:6|0:37:13|[姬地]闭上眼睛仔细品味着肥肉的香味，[嫫母]看着他高兴地大笑起来。
0:37:15|0:37:31|香酒劲逐渐上头只见[嫫母]脸蛋通红，眼神涣散，突然一头倒在了桌子上，[嫘祖]一脸茫然地看向她。酒足饭饱的[姬地]来到河边，拿着一小块石头在大石块上规律地划着，[嫘祖]坐在石块旁，看着他划的痕迹。
0:37:58|0:38:6|姬地看着单纯的[嫘祖]露出笑容，随后点了点头。画面一转来到山林中，姬地左手扶着地上砍了一半的枯木，
0:38:6|0:38:34|右手拿着一块削尖的石头，一下下的凿着枯木，不一块枯木中就被凿出一个洞，他赶忙将旁边的枯树叶并列摆在洞的两列，随后拿出一个尖头硬木棒插进洞里，两手扶着快速旋转起来，让木棒与木头充分嫫擦，不一会儿嫫擦处开始冒烟，原来他要钻木取火，为了让火旺起来，他吹了一下，随后将一旁的枯树叶围在洞上，他又快速转动了几下硬木棒，烟雾越来越大。
0:38:34|0:38:40|他放下木棒，用手护着枯树叶，又轻轻吹了几下，火瞬间透过树叶冒出头来。
0:38:40|0:39:0|姬地长舒一口气，最后他拿起两根树枝放在火上面不一会儿就变成了两个火把，他将其中一个递给旁边的小男孩，小男孩慢慢悠悠地走到树堆旁，将火把扔了进去，瞬间山林中生去一大片烟雾，巨大的烟雾瞬间冲破了山林直逼天空。
0:39:6|0:39:25|有熊氏看到烟雾误以为是敌人故意放火，全族人拿起武器朝着烟雾的方向跑去，为了鼓足士气，族人边跑边叫喊着见众人跑来。姬地地看着大火故作神秘。
0:39:26|0:39:43|熊熊大火尽情地燃烧着族人静静地站在一旁，等待着火后的惊喜，时间一点点过去，藏在火中的东西也逐渐现出原形，只见又高又大的土黄色固状物体中间插着的枯树枝坚挺地立在地上，上下被火烧的已经变成黑色。
0:39:54|0:40:6|姬地拿起地上的长树枝搭在墙上面，族人学着他的样子，纷纷捡起长树枝错综的搭在上面，不一会儿一个简易的顶露出雏形，看着搭好的顶，走到族人面前正式介绍。
0:40:10|0:40:24|这时一位壮硕的族人将手中的武器递给旁边的人，随后走到墙边抬起脚狠狠的踹了上去，但墙丝毫不动摇，族人却后退几米摔倒在地上，众人轰下起来，族领却若有所思。
0:40:36|0:40:45|族人地目光全部看向姬地，他看着墙坚定地点了点头。
0:40:47|0:40:56|时光飞逝，[炎帝]，部落周围全部围上了墙，族人过上了短暂的安稳生活。
0:41:4|0:41:9|[嫘祖]笑着提了提肩上的草，[嫫母]看着他跟着笑了起来，随后两人走入家中。
0:41:9|0:41:25|[嫘祖]口中的粟和稷是[炎帝]的食物源泉，大片的粟地一眼望不到头，每一颗上面都长满了饱满的粮食，[炎帝]围在一起，其中一人用镰刀砍下一串，用手搓了搓露出可食用的小米，他捏起一个放进嘴里尝了一下。
0:41:31|0:41:51|正在众人庆祝时，诡异地笑声又响起了，只见雄虎貔貅全部出动，[炎帝]顿时慌乱起来，一边叫喊一边快速跑向部落熊虎豺狼遛着獠牙，发着恐怖地叫声紧追不舍，吹哨人站在树顶上不停吹着口哨，召唤更多的猛兽前去攻击[炎帝]，
0:41:53|0:42:15|[炎帝]族人互相帮忙，终于在野兽追上前跑进了部落，他们关上粗木头制作的大门，几人拿出闲置的木头横插在大门上，老虎想要攻击族人，一个猛扑却没能越过大门，所有的野兽全部被挡在门外，他们透过门缝向里面伸着爪子，[炎帝]用力抵着门拿着石斧抵抗，这时哨声又响起，野兽全部撤退，不甘心的猛虎突然停下回
0:42:15|0:42:37|头看了一眼撤退的哨声，让它不得不离去，没有了野兽的攻击，[炎帝]的脸上还是充满恐惧，原来[蚩尤]扛石斧走过来[炎帝]透过门缝观察他的一举一动，[蚩尤]发现不对劲，他向左右望去看见木门的两边全部都被黄泥组成的墙围了起来，墙与墙之间通过树干连接，方便人们进入他新鲜地观察着这一切。
0:42:37|0:42:57|门里的族人不知他地目的，害怕地躲在门后观察着，只见他扛着长柄师傅慢慢向左边的围墙走去，围墙上方露出的木头似乎在叫嚣，[蚩尤]看着泥墙走了几步，随后停下，他看着围墙冷笑一声，将长柄师傅拿在手里，脸部突然变得狰狞起来，伴随一声吼叫，他抡起师傅狠狠地砸向墙，
0:42:57|0:43:1|不料石斧顿时断裂，强除了有一点凹陷，其他处完好无损。
0:43:3|0:43:23|他扔掉手里断了的武器，双手抱起一块几十斤重的石头，他使出浑身解数将石头慢慢举过头顶，然后砸向木门，因为族人的支撑木门并无大碍，但由于受到惊吓族，人们害怕地向后退了几步，接着[蚩尤]又抱起一块巨石再次砸向木门，
0:43:23|0:43:31|木门不堪重力被砸出缺口，看着破坏的木门，堵门的[炎帝]再也按捺不住了，全部撤退向部落里跑去。
0:43:32|0:43:48|[蚩尤]乘胜追击，又抱起一块巨石砸向木门，木门变得不堪一击，瞬间倒在地上，木门隧道墙却完好无损，[蚩尤]惊讶地看着墙，他好奇地想知道墙是由谁制造，于是他踩着坏掉的木门，大踏步地走进有熊氏部落。
0:43:48|0:44:13|九黎族族人也随之赶来，看着来势汹汹的外族人，有熊氏害怕地躲在祭坛之后，[蚩尤]走到祭坛前，他抬头看了看挂在上面的兽皮，随后用力扯下有熊氏，卒领惊讶地瞪大了双眼，只见[蚩尤]将兽皮挂在了自己的脖子上，他整理好之后注意到门中心挂着的牛头标本伸出手摸了几下，不由得冷笑一声，
0:44:13|0:44:20|有熊氏族领神情严肃，默默将头偏向一边，[蚩尤]看了族领一眼，又扭头指着墙。
0:44:21|0:44:34|有熊氏族领抬头看着虽有裂缝，但坚固无比的墙。听到族领的回答，[蚩尤]满意地蹲下身看着族领继续问。
0:44:52|0:45:0|[蚩尤]低头思考了一会儿，然后慢慢地站起身环顾了一圈被压制的有熊氏族人，随后对族领说。
0:45:43|0:45:50|他笑着走开，族领却若有所思地看向[蚩尤]这墙是谁造。
0:45:56|0:46:19|[姬地]这时正在山林中打猎，只见一只鹿快速跳跃在山林中，[姬地]在后方追赶，他手里拿着弓箭准备随时发射，鹿跑到一片平地[姬地]，见机会来了，立刻举起弓箭拉动剑弦瞄准鹿射去，改良过的剑威力极大，被射中的鹿当场倒地，[姬地]正高兴时忽然后方传来一声老鹰的叫声，
0:46:19|0:46:44|他煽动庞大的翅膀朝着[姬地]俯冲过来，说时迟那时快[姬地]拿起一块石头向老鹰砸去，谁料老鹰张开爪子一把将石头扔在地上，在庞大的老鹰面前强壮的[姬地]显得格外娇小，他吓得坐到地上，老鹰趁机抓起地上的鹿向空中飞去，[姬地]猛然站起身拿起弓箭跟着老鹰跑了几步，瞄准目标之后使出浑身解数发出一件
0:46:44|0:47:6|被击中的老鹰扔下鹿身上插着一只箭仓皇而逃，与此同时怀孕的[嫫母]在山洞中生产，有雄氏全体女人在山洞外举行特殊仪式，只见他们整齐地分为三列，全部蹲坐在地上，手臂前后伸直，手心贴着前后两人的手心，随即自跪拜式地向下低头，随后直起身子抬头望天，
0:47:6|0:47:27|如此反复几次带头的[嫘祖]明显体力不支，她眉头紧皱，嘴唇发白，这时天空突然下雨，他的眼前开始出现重影，可为了[嫫母]不得不咬牙坚持，这时的[嫫母]跪在草垛上，双手紧紧抓着墙壁，由于疼痛他不停地叫喊着，就在仪式快要结束时，随着一声哭声，孩子终于出生了，
0:47:27|0:47:53|体力不支的[嫫母]险些晕倒，但当看到孩子时他发自内心地笑了起来，他注意到孩子连着脐带忍着疼痛，拿起脐带用尽全力用牙咬断，此时山林里也喜事，连连只见有熊氏，男人集体跑进山林，[姬地]走到猎物前发出一声吼叫，告知同伴自己狩猎成功
0:47:53|0:48:15|族人一遍遍地喊着[姬地]的名字，[姬地]将此去的肥路高高地举过头顶，这一次打猎成功让他的威望再次得到提升，虚弱的[嫫母]躺在铺满干草的山洞里，身上盖着兽皮，[嫘祖]慢慢将婴儿抱起看着小小的生命，他惊讶又高兴，随后他双手托着婴儿举过头顶，让他接受雨水的洗礼，
0:48:15|0:48:24|[嫫母]艰难地撑起身体，他伸出手想亲眼看看孩子的模样。
0:48:25|0:48:36|[嫘祖]点了点头，[嫫母]苍白的脸上顿时露出甜蜜的微笑，刚刚狩猎成功的[姬地]心情大好，他蹲在一朵野花前，情不自禁地摘了一朵并嗅了嗅花香，令人心旷神怡。
0:48:36|0:48:58|旁边的族人正在处理鹿肉，他们分工明确，只见一人用尖锐的石头分拨着皮和肉，他将剥好的肉递给一旁生火的同伴，同伴接过肉挂在火炉上方支起的架子上烤着，另一人负责将肉放进调好的酱料锅里腌制，这时族人分别扶着两位族领走来，[姬地]看见后立刻起身，有熊氏族[姬山长老]叹了口气，
0:49:33|0:49:39|[姬地]看着尖锐的刺枪一言不发，这时[姬山长老]拿着代表有熊氏的权杖走到[姬地]面前。
0:49:48|0:49:56|他将手中的权杖交给[姬地]，[姬地]看着权杖皱起眉头，他思索一会儿接过权杖，这时不远处突然传来急促地声音，
0:50:6|0:50:25|[姬地]突然紧张地皱眉，表情严肃，所有人诧异地看向[嫫母]画面来到了九黎族土做的简易房间里，燃烧着快要燃尽的火堆，怀孕的[嫘祖]坐在铺着兽皮的床上，由于害怕他一动不动，这时门外突然传来猥琐的笑声，只见九黎族族领站在门口看着[嫘祖]不怀好意得笑着，
0:50:25|0:50:37|他大手一挥，门口的侍卫全部离开族领，走到[嫘祖]的身边，一把扔下头上插着的羽毛，他兴奋地发出叫声并抖动自己的身体，受到惊吓的[嫘祖]扶着肚子艰难地站起身往反方向跑去，这让
0:50:37|0:50:49|族领更兴奋了。他跳上窗瞬间追上[嫘祖]，他从后方环抱住[嫘祖]一把将他扔到床上，族领笑得更加放肆，他两手抓住[嫘祖]的双腿想要掰开，这时族领注意到他凸起的腹部，
0:50:49|0:51:5|他伸手摸了摸，随后他掰开[嫘祖]的双腿，[嫘祖]努力地抽出一只手给了他一巴掌，又踹了他一脚，毫无防备的族领立刻倒在了地上，[嫘祖]见状想要爬走族领拽住他，拿起一块石头正要砸向她时，一只手突然出现将他抓住。
0:51:11|0:51:27|[蚩尤]抢走族领手中的石头，生气的脸部似乎有些抖动，惊魂未定的[嫘祖]扶着孕肚站起身来朝着门口摇摇晃晃地走去，族领想追回他，可一只手被[蚩尤]死死拉住，[蚩尤]轻蔑一笑。
0:51:31|0:51:50|画面一转来到户外，九黎族正举行着特殊仪式，远处的姬地瞄准目标放出一支箭，正好击中台上手舞足蹈的人，九黎族受到惊吓，立刻扭头看向射箭的方向，站在房顶的姬地射出第二支箭，这次稳稳地插在族人后方的祭祀台上，这时姬地从房顶跳下站在[蚩尤]对面，
0:51:50|0:52:17|[蚩尤]看了眼，他转身把死去族人头上的剑由于插得太深，他的手不自觉地抖起来，他将拔出的剑拿在眼前仔细观察，姬地剑术高超，[蚩尤]只好放出野兽，瞬间嘈杂地叫喊声出现，只见猛虎黑豹全部出笼，他们张着獠牙竖着尾巴，目光凶恶地朝姬地扑去，姬地尽力向前跑，时不时地回头看一眼野兽，虽然野兽异常凶猛，但姬地却丝毫不畏惧。
0:52:17|0:52:36|一脚勾起边上垂下的粗壮藤条抛向空中野兽追上之际，他突然起跳，顺势抓住藤条在空中旋转，猛兽们由于速度太快，全部冲下悬崖，发出一声声凄惨地吼叫，姬地抓着藤条在空中旋转一圈之后，他荡起藤条，右脚踩住悬崖边，顺势贴在悬崖壁上躲藏着。
0:52:36|0:53:0|不一会儿猛兽全部掉下悬崖，计谋得逞，姬地看着悬崖底露出笑容，夜幕降临，微风徐徐高高的草丛在风中摇曳着，发出沙沙的声响，[嫘祖]战在草丛中间向四处张望着，这时姬地从远处跑来，[嫘祖]迅速转身看着心爱的人跑来，突然有了安全感，姬地跑到[嫘祖]的面前停下脚步，他的眼里满是心疼，
0:53:0|0:53:21|他一把将[嫘祖]抱在怀里，故作坚强的[嫘祖]终于绷不住了，眼里瞬间充满泪水，兴奋过后的姬地慢慢冷静下来，他突然皱着眉头不明白为何[蚩尤]会放过他，他看着[嫘祖]似乎在寻找答案，[嫘祖]看着一脸疑惑的姬地瞬间明白了他的意思。
0:53:21|0:53:34|姬地转过头轻轻叹了口气，投降两个字对他来说永远不会实现，他转过身朝着[蚩尤]所在的方向走了几步，他眼里充满坚定，随后斩钉截铁地说道，
0:53:36|0:53:55|天色大亮有熊氏和九黎族之间的大战蓄势待发，两大部落分别站在对立面，姬地和[蚩尤]分别站在前线，只见九黎族族人身穿兽皮头戴兽骨，手里拿着尖锐的武器气势汹汹地走过来，大战开始前两边纷纷跳起了战舞，只见有熊氏族人将武器举过头顶，
0:53:55|0:54:16|踏着坚定且有规律的步伐，举着武器的双手同时晃动着尖锐的武器，对着敌人时而前后摆动，时而交叉旋转，仿佛面前站着一个无形的敌人，每一个动作都能刺中敌人的命脉，舞动的同时武器发出沙沙地声响，似乎在对敌人叫嚣，对面的九黎族也毫不示弱，他们的战武独具一格，霸气十足，
0:54:16|0:54:36|仿佛在和有熊氏进行一场特殊的比赛，手中的武器成了亮点，他们时而左右摆动做出刺杀的姿势，时而前后夹击伸出武器，脸上的兽骨无形中又增加了一份恐惧感，虽然看不到族人面部，但通过他们手上凸起的暴击以及坚定的步伐，可以看出族人的气势大大提升。
0:54:36|0:54:41|这时[蚩尤]带头举起手中的武器，同时发出一声有力的吼叫，回音四起。
0:54:43|0:54:48|他们展现的不仅是最华丽优美的舞技，也是最具有威力的舞姿。
0:54:48|0:55:13|战舞跳完激起了两大部落的战斗欲，每个人的眼神都是那么坚定，[嫘祖]拿着武器大口喘着粗气，眼里充满杀意，这时身后的族人走向前拿走他手里用于跳战舞的长枪，另一位族人迅速跑来将两把短柄石鼓送到[嫘祖]跟前，他看着凶神恶煞的[蚩尤]慢慢伸出手接过石斧举在面前做好与[蚩尤]一决高下的准备。
0:55:13|0:55:28|[蚩尤]也毫不示弱，他高高举起手中的长柄石斧随后发出一声吼叫，身后的族人也一同举起武器，[嫘祖]眼神坚定地慢慢走向[蚩尤]，跟随的族人将手中的武器放在胸前，做好随时战斗的准备。
0:55:28|0:55:42|此时九黎族也迅速调整姿势，握紧武器，不紧不慢地跟在[蚩尤]身后随时准备战斗。这时两大部落突然开始奔跑起来，大喊着举起武器大战一触即发。
0:55:43|0:55:55|九黎族率先攻击他们边跑边从腰部掏出圆形石头砸向有熊氏，他们毫无预料，1:30一时半会儿想不出解决办法，像热锅上的蚂蚁一样手足无措，只能灵活躲避。
0:55:55|0:56:16|原石的威力极大，被砸中的族人瞬间倒地，九黎族竟是更加放肆地投掷原石，有球是瞬间躺倒一片，眼看九黎族占了上风，[嫘祖]将手中的武器合并在一个手里，右手从腰部掏出尖锐的兽骨向九黎族抛去，[嫘祖]的臂力惊人，还没等[蚩尤]反应过来，就砸中他额头带的犄角。
0:56:16|0:56:28|头顶的头饰瞬间掉落，[蚩尤]彻底被激怒了，他大叫着举着武器向姬地砍去，姬地并不退缩，脸上充满了愤怒，两大部落瞬间厮杀在一起。
0:56:28|0:56:43|九黎族的枪刺太过锋利，被刺中的敌人鲜血瞬间涌出，一浪的攻势余波未进，后方的九黎族又如飓风般狂卷而至，但有熊氏也丝毫不差，他们的石斧威力巨大，一刀砍去敌人当场毙命。
0:56:43|0:56:56|族人们一个个冲上前去挥舞着石鼓浴血奋战，两派不相上下，为了部落的荣耀他们毫不退缩，干净的草坪顿时被鲜血染红，力气较弱的女人成了战争最大的牺牲品。
0:56:56|0:57:8|只见武器被打掉的马尾女人坐在地上节节后退，而面具男丝毫没有同情步步紧逼，他突然举起石斧，大喊着向女人砸去，女人吓得举起手臂做无力的防御。
0:57:8|0:57:24|就在快砸中时，姬地突然出现举起右手石斧，将面具男的武器砸飞，同时伸出左手石斧刺向他的颈部，姬地顾不上扶起马尾女，立刻去帮旁边的族人。九黎族族里见状对身边的吹哨人说道，
0:57:26|0:57:43|吹哨女人咬紧牙关发出一声动物般的吼叫，张开身体如同猛虎一般，四肢着地，冲着有熊氏猛扑过去，随后伸出手狠狠地挖着敌人的脖子，他的指甲异常锋利，只见那人的脖子上瞬间印出三道印子，随后鲜血喷涌而出，有熊氏长老在远处看着这一幕，
0:57:43|0:58:4|眉头不由得紧皱起来，九黎族杀红了眼，眼看着有熊氏就要败下阵来，这时只见三人一组有熊氏族人抬出重磅武器，用绳子绑在一起的两个尖锐的象牙，由于体型过大，敌人没有防御准备，只能等死，有熊氏对准目标，一下刺中敌人的胸膛，象牙瞬间被喷涌而出的鲜血染色。
0:58:26|0:58:38|姬地溅满鲜血的脸上青筋暴增，他砍出一条血路朝着[蚩尤]杀过去。[蚩尤]举起石斧准备出手，只见姬地一个滑步，俯身滑向[蚩尤]后方，拿起手中的武器看中他的后背。
0:58:38|0:58:59|[蚩尤]迅速回过神趁其不被砸向他的胸膛，姬地无力地瘫倒在地上，[蚩尤]乘胜追击举起石斧对着姬地砸下去，说时迟那时快，姬地一个转身成功躲过一劫，[蚩尤]正要发起二次攻击，姬地迅速拿起武器站起身与他正面对抗，由于[蚩尤]力量太强，抵挡不住的姬地只能闪躲，
0:58:59|0:59:13|眼看力气快要耗尽，姬地拿起石斧想要对抗，可瞬间又被打倒在地上。九黎族兴奋地叫喊着，[蚩尤]准备斩草除根，有熊氏长老担心地说，
0:59:14|0:59:34|姬地没有拼死对抗，只见他拿着武器向空地跑去，[蚩尤]在后方紧追不舍，瞬间两人跑出混战区域，有熊氏族人在不远处的草地里观察着这一切，原来他们早已布好了陷阱，不知情的[蚩尤]还在全速追击，姬地轻松跳过陷阱并引诱[蚩尤]跟过来带他跑到陷阱处埋伏的人大喊道，
0:59:43|1:0:5|这时姬地和另一族人分别拿着武器从两个方向跑来拿起武器不断地攻击他，[蚩尤]毫无还手之力只能硬扛，这时吹哨人似猛虎般跳涌而来，伸出尖利的指甲挖着敌人，最后他跳在[蚩尤]的身上，试图撕烂他身上的绳子，拉绳的有熊氏拿起旁边的树枝砸向吹哨人，强烈地疼痛让她叫喊着，
1:0:5|1:0:17|可她依旧不退缩，用力咬着绳网后方，咬断后，还跳到[蚩尤]的前方继续咬着绳网，拉绳人又抱起大石头一次次地扔向她，见她依旧没有停止咬绳网的动作。
1:0:17|1:0:43|拉绳人放下手中的绳子，拿起武器跑过来将他打倒在地上，这时绳网已经被咬断是由挣脱绳网，他看着身负重伤的吹哨人突然咬紧牙关抓住拉绳人手中的武器试图掰断，这时有熊氏几人合力抱起一个粗壮的树干向[蚩尤]撞去，[蚩尤]突然徒手将手中的武器掰成两段，一半插进拉绳人的腹部，然后举起手中的半截石斧进行抵御。
1:0:43|1:1:5|面对夹击力大无比的他咬牙坚持，只见他青筋暴出，使出蛮力竟然劈开了部分树干，抱树人见状立即向前推进，试图打倒[蚩尤]，[蚩尤]使出浑身力气竟把树干全部劈开，姬地顿时傻眼发出命令，好汉不吃眼前亏，姬地带着有熊氏族人迅速逃走，
1:1:7|1:1:19|被激怒的[蚩尤]怎会轻易放过他们，只见他确认有熊氏逃跑的方向之后，捡起地上被血染红的石斧大喊一声，这时九黎族族人冲过来要和有熊氏决一死战。
1:1:19|1:1:32|谁料他们早有准备，只见他们跑进树林，拉起大网围成一堵墙，九黎族无法破坏韧性极高的大网，只能眼睁睁看着他们逃跑，[蚩尤]拿起石斧砍向大王却是徒劳。
1:1:32|1:1:41|逃出来的族人为了不再被九黎族追杀，他们分工鲜明，争分夺秒得做着渡大河的木筏，只有渡过大河，他们才会暂时安全。
1:1:41|1:2:1|只见他们两人一组抬着架子运送充气皮囊，其余人正在制作木筏，[嫘祖]将做好的木筏竖起来，又将皮囊紧紧的绑在木筏上，他将皮囊绑好之后，为了使其更加坚固，使劲拉了拉绳子，正要绑第二个皮囊时，一位族人慌张地从远处跑来对[嫘祖]说道，
1:2:22|1:2:28|[嫘祖]停顿了一下，立刻转身向大河跑去，身后紧跟的族人。
1:2:37|1:2:51|不远处的山林里九黎族悄悄追杀过来，这时为了不拖累族人，两人扶着年老的姜炎正朝大河中间走去，众多年迈的族人拄着拐杖跟在姜炎的身边，[姬地]跑到河边看着这一幕。
1:2:53|1:3:6|准备天死的族人似乎没听到一样继续朝河里走去，[姬地]焦急地跳进河中，他抓住姜炎。
1:3:9|1:3:17|[蚩尤]的到来让正在做木排的有熊氏瞬间躁动起来，他们拿起正在制作的木排急忙逃走，成群的九黎族族人拿着武器叫喊着跑过来，
1:3:21|1:3:29|九黎族攻打进来，他们气势汹汹开始抢夺，没来得及逃跑的族人被敌人乱砍致死，躲在草垛后的[姬九]趁敌人不注意，
1:3:42|1:3:58|全部跳进大河之中，幸亏有皮囊护体，他们快速朝着河对面迎去，坐在木排上的[姬九]叫喊着让木排加快速度，这时追上来的九黎族无法下河，他们站在河中间开始扔武器，本以为可以逃过一劫的族人还是被武器射中，瞬间被河水淹没。
1:3:58|1:4:13|看着河中零零散散的有熊氏，[蚩尤]突然来了兴致，他捡起地上一块巨石使出最大的力气扔向河中，一个木排被砸中，中间露出一个大洞，瞬间浪花四起，木排上的族人全部跌入河中。
1:4:13|1:4:34|这时九黎族族人又递给[蚩尤]一块石头，他举过头顶面目狰狞地用力抛出，又一个木排被砸中，看着惊慌失措的有熊氏，九黎族发出了胜利般地吼叫，他们停止攻击，幸存的族人则抓住冲击皮囊，快速朝河对岸游去，渡过大河的[嫫母]，抱着孩子站在岸边。
1:4:34|1:4:52|基九在一旁蹲着看着河对岸，这时[姬地]和姜[炎帝]带领其余族众向他们走来，[姬地]走到[嫫母]的面前摸了摸她的肩膀，此后继续朝岸边走，去汹涌的大河在此刻慢慢安静，姜[炎帝]看着河对面被摧毁的家园。
1:5:10|1:5:35|姜[炎帝]看着[嫫母]怀中哭泣的婴儿，伸手轻轻地抚摸着他的脑袋，随后[嫫母]将孩子递给[姬地]，他伸出手慢慢接过孩子抱在怀里，他抱着孩子向前走了几步，看着河对岸被摧毁的家园，他的眼神突然变得坚定，随后将孩子高高举起，哭泣的婴儿不停扭动着身体，太阳的光芒照射在婴儿的身上，所有族众全部看向婴儿，仿佛看到了延绵不绝的后代。
1:5:35|1:5:57|他象征着有熊氏和神农氏共同的希望，夜幕慢慢降临，汹涌波涛的大河也变得异常平静，一艘绑着充气皮囊的木排正慢慢地向河对岸驶，来木排后面悄悄露出一个脑袋，原来是[姬地]，他小心翼翼地环顾着四周，确定周围没有危险时，他拿起皮囊上面的石斧。
1:5:57|1:6:3|然后推开木排上岸，他又回到了大河对面有熊氏原来居住的地方。
1:6:3|1:6:22|这里经过战争的洗礼，一片狼藉，残破的房屋，满地的木棍皮囊遍地躺着沾满鲜血的尸体，让人不由得胆战心惊，在生命的最后一刻，他们手里还紧紧攥着武器，身边零散的放着渡河的皮囊，凶狠的敌人，让他们最后一丝生存的希望都破灭了。
1:6:22|1:6:50|[姬地]游走在他们中间，看着曾经拼死奋战的族人变得手足无措起来，对尸体为之的祭坛也变得破烂不堪，[姬地]盯着祭坛，眼泪不由得在眼中打转，他不听使唤地扔下手中的武器，扑通一声跪在祭坛面前，虽然祭坛已不完整，但他的信仰却一点没见，他缓缓地将双手放在胸前，随后张开对着祭台虔诚地实行跪拜礼，他祈祷自己接下来的计划能够大获成功。
1:6:50|1:7:8|清晨，森林里的大树藤条相互缠绕，如同罩上了层层叠叠的大网，清冷的山林里一遍遍回荡着鸟的叫声，只见[姬地]左手拿着武器，右手放在嘴边模拟着鸟叫声，他穿过浓密的丛林和杂草丛一边向前走，一边四处观察。
1:7:8|1:7:22|这是有熊氏独有的相认暗号。这时不远处的一棵树后，有熊氏长老听到声音。带领一帮族众悄悄探出脑袋，随后小心地朝着鸟叫声方向走去，躲在另一处的族人听到叫声也慢慢地走出来。
1:7:22|1:7:40|他仔细观察在确定是自己人之后，他开口对身边的族人说到，此时九黎族族人还在睡梦中，突然房顶塌陷[姬地]从房顶一跃而下，落在卒里面前睡梦中的族领瞬间清醒，他一把掐住族领的脖子。
1:7:44|1:8:1|族领说不出话，他晃动脑袋指挥族人，这时一位女族人拿起尖锐兽骨插进[姬地]的后背，[姬地]痛得一拳砸向偷袭的人，族领拿起兽皮蒙住[姬地]的头，他刚揭开就见一个女人冲过来掐住他的脖子，将他放倒在床上，其余族人走上前对他拳打脚踢，族领在一旁欢呼着，
1:8:1|1:8:19|当族人拿着武器正要攻击时，[姬地]迅速抓住她的手将她扔出一米远，随后腾出手拿起身旁的陶瓷罐砸向掐他脖子的人，随后一脚将她踢开，族领吓傻了，他见无人帮忙准备逃跑，[姬地]拿起身边的武器向他扔去，他灵活闪躲。
1:8:19|1:8:38|[姬地]正要追出去，一个胖女人突然扑到他身上，[姬地]旋转一圈无法将他甩掉，跑出房屋的族领出门发现大批有熊氏族人拿着武器赶来，他手足无措地呆站在原地，这时[蚩尤]赶来推倒门口的梁士多砸中有熊氏族人听到声响的[姬地]猛地向后一掷。
1:8:38|1:8:47|胖女人狠狠地摔在了床上，他跑到门口看到[蚩尤]楞了几秒，脸上稍显畏惧之色，族领瞬间嚣张起来，
1:8:51|1:8:59|有熊氏瞬间全部撤退，[姬地]看了眼[蚩尤]随后也逃跑，不解气的族领看向[蚩尤]带上所有族众去，
1:9:4|1:9:22|话没说完，天空中突然出现一道雷，随后下起了倾盆大雨，夹杂着闪电雷鸣，大雨冲刷着每个部落，但部落间的战争却没有停止，只见九黎族族人拿着武器艰难地渡过湍急的溪流，他们裹着兽皮毫无防御，任凭雨水冲打着自己的身体。
1:9:22|1:9:37|不一会儿他们来到有熊氏部落，这里的尸体早已被收拾干净，只见四个有熊氏族人拿着弓箭从墙后跳出来，他们排列站在门口拉起弓箭瞄准入侵的敌人，[蚩尤]看着眼前的形势不由不由得后退一步。
1:9:39|1:9:54|[蚩尤]并没有选择逃跑，而是拿起武器准备战斗[姬地]淡定地对族人说到，他说完便转身消失在墙里，族人也收起弓箭转身跑开，[蚩尤]明知中计可还是发出命令，
1:9:56|1:10:17|九黎族气势汹汹地冲进有熊氏部落，谁料门口被草堆铺满了陆地，突然向两边打开，变成一个偌大的陷阱，[蚩尤]猝不及防地掉了进去。族人迅速停下脚步大声喊道，还没等族人行动起来，[姬地]带着人跑过来，拉起手中的弓箭射向入侵敌人。
1:10:26|1:10:43|[姬地]这才慢慢放下手中的弓箭，他走向提前铺好的陷阱前，只见[蚩尤]面目狰狞，大声吼叫着，[姬地]无情地将木头制作的盖子盖在上面，雨过天晴有熊氏又重新回归平静。
1:10:43|1:10:58|[嫫母]带着族人来到陷阱前，两位族人拿着武器在旁边候着，一位族人掀起盖子，陷阱里的[蚩尤]脸上全是干了的泥土，他警惕地抬头向上望去，只见[嫫母]将绳子绑着的篮子慢慢地递下来。
1:10:58|1:11:12|里面装着一份野果和水，[蚩尤]早已饿的前胸贴后背，他查看物品将装水的陶瓷罐拿在手里，看了看观里的东西，随后大口大口地喝了起来甘甜的水，让他感到不可思议，他仔细品尝了一下，
1:11:26|1:11:30|[嫫母]收回看[蚩尤]的眼神抬头望向远方。
1:11:35|1:11:43|[蚩尤]冷笑一声，这对他来说是不可能的事儿。此时姬地安静地半蹲在谷堆旁，目光呆滞，怀孕的[嫘祖]看出他有心事，
