0:3:38|0:3:47|热闹的街道上烟花礼炮齐鸣，而在这座酒店里，
1:2:11|1:2:19|裘庄的山崖空地上搭起了长桌，栏杆边是正在演奏的乐队，往前是舞动身姿的和服女人。
1:2:20|1:2:36|[吴志国]为起身发言的武田鼓掌。身穿西装的武田起身。说完，他端起一杯清酒一饮而尽。[王田香]抽着烟，眯着眼看向远方。远处，厨师长给瘸子分派任务，他说。
1:2:38|1:2:57|这是[王田香]早早就安排好的，他暗中观察着计划的进度。[李宁玉]正埋头买醉，洋酒大口往嘴里灌着。老陆叼着烟，端着托盘，一瘸一拐的朝着餐桌走来。他滑稽地晃动着身子，来到[吴志国]身边。
1:2:57|1:3:11|放下托盘，他弯腰去收拾骨碟。一旁[吴志国]熟视无睹地靠着椅子抽烟。老陆收好骨碟，又来到[金生火]旁边。他缓缓弯腰捡起一只地上的筷子，起身，
1:3:11|1:3:28|又将[金生火]手边的另一只筷子一并收进托盘。然后，他用双手端起剩菜盘子放回托盘。[金生火]还特地让出位置，而[王田香]始终盯着每一个小动作。这时，老陆又来到了[李宁玉]身边。
1:3:29|1:3:36|对面的[金生火]疑惑地看着她。
1:3:40|1:4:5|她朝着目光盯紧老陆的[王处长]大喊。老陆快速整理好托盘绕开[李宁玉]。面对[李宁玉]的眼神，王处长报之以微笑，[武田]叼起烟准备点火，[李宁玉]把一个又一个盘子掀到[武田]身上。
1:4:24|1:4:44|他无奈地丢掉火柴，啐了一口痰。回到屋子，[王田香]坐在桌前，窗帘旁，张望的[武田]回身走来。
1:4:55|1:4:58|[王田香]脸色难看，吞了吞口水。
1:5:44|1:5:54|[王田香]觉得自己抓住了机会，激动不已。
1:5:55|1:6:14|[武田]叼上香烟，坐在对面的[王田香]抓起火柴，猫着腰探身给[武田]点烟。待到香烟点燃后，[武田]咂吧了两口，盯着[王田香]的眼睛说道。特务突袭房间。
1:6:18|1:6:32|西楼审讯室里，众人围着一个长桌。桌上放着[白小年]的尸体。[王田香]绕桌踱步，目光扫过在场的军官。
1:7:2|1:7:9|[金生火]被这气场压倒，手足无措地说。
1:7:39|1:7:50|[金生火]掏出手枪恐吓特务和[王田香]。[金生火]害怕了，他举着枪的手忍不住微微颤抖。
1:8:1|1:8:10|[金生火]对准太阳穴开枪自杀。朝夕相处的同僚在此刻丧命，众人免不了感到沉重。
1:8:11|1:8:36|检查过尸体的[王田香]转身离开。留下众人都愣在原地。夜幕降临，黑夜很快会降临在这座小岛上。审讯室里横尸两人，短短两日，变故频发。原本高高在上的司令部军官将领，此刻不但失去了往日神采，
1:8:36|1:8:45|一个个更是疲惫又恐惧。这才刚刚开始。砸门声让审讯室的众人一惊。
1:8:57|1:9:23|[李宁玉]就这样被两个特务不由分说地带走。[顾晓梦]茫然地看着吴大队。被架出来的[李宁玉]穿过昏黄潮湿的通道，她没法反抗，更没能力反抗，就这样被一直拖行到拐角处。带头特务停下。[李宁玉]抖如筛糠。
1:9:25|1:9:31|警告过一番后，两名特务押送着[李宁玉]朝电梯走去。进入后，士兵拉上两扇电梯门。
1:9:37|1:9:55|电梯缓缓上升，将[李宁玉]带离这个人间炼狱。与此同时，楼上的办公室里，[王田香]和[武田]坐在沙发上。另一边，窃听员戴着耳机，时刻准备记录。
1:9:58|1:10:7|[武田]靠着沙发不说话，窃听机器里的磁带滴溜溜的转着。
1:10:57|1:11:4|[顾晓梦]被[吴志国]掐着脖子。
1:11:7|1:11:23|[王田香]端起木椅子砸晕了[吴志国]。会客厅里，[王田香]为[顾晓梦]端来一杯茶，坐下看着憔悴的[顾晓梦]。[顾晓梦]红着眼睛，嘴唇颤动。
1:11:24|1:11:47|连续几日的压迫让[顾晓梦]精神逐渐崩溃。[顾晓梦]抹了把眼泪，伸手从旁边外套摸出一个手帕。她轻轻打开手帕，里面裹着一只微皱的香烟。[王田香]伸手接过香烟，[顾晓梦]平复了一下心情，回忆道。
1:11:48|1:12:11|昨日餐桌上，香烟被[顾晓梦]用鞋跟踩住。开门声打断了两人的会谈。走进门的正是一身戎装的[武田]。他大踏步走上前，伸手接过[王田香]正拿着的香烟。随后，又掏出兜里的放大镜，凑上前去仔细查看。
1:12:11|1:12:19|烟身上有几个规律的小孔。[武田]凭敏感的职业嗅觉，猜测着。
1:12:27|1:12:42|阴森的行刑室内，[王田香]踱步走来。他举起那只香烟。[吴志国]被扒光了上衣，手脚被捆绑在柱子上。
1:12:45|1:12:55|他刚被动过刑，身上布满了伤痕。[吴志国]用沙哑的声音解释着。
1:13:5|1:13:30|周围特务纷纷抄起家伙，准备上前动手。[王田香]抬手阻止。领头的特务在示意下摇动电机，噼啪的电流穿过[吴志国]的身体。他痛苦极了，浑身的肌肉在电压下不受控制的抖动。特务变本加厉地摇动得更猛了。
1:13:41|1:13:59|[吴志国]的身体仍不受控制地抽搐着。[吴志国]低着头，咬着牙，喘着粗气。高强度的电击让他目光呆滞。
1:14:10|1:14:31|特务上前为[吴志国]松绑。刚解开脖子和双手的皮带，他整个人便倒下去。布网纹理上慢慢浮现出汉字：讯息是否传出，成败就在今日。字迹缓缓消失。屋子里，缝补衣服的[顾晓梦]用剪刀剪断细线，
1:14:31|1:14:46|重新捋好线头，穿针引线。楼下两名黑衣特务被守兵放行。窗前憔悴的[李宁玉]看到后，不由得恐惧后躲。她目光呆滞地呼唤着[顾晓梦]的名字。
1:14:46|1:14:55|转过身来和放下手里活的[顾晓梦]对视。她轻快走来，蹲到[顾晓梦]旁边，眼神空洞地望着他。
1:15:13|1:15:37|眼神呆滞的[李宁玉]伸手揽过[顾晓梦]的脖子，趴在她耳边轻声说道。亲如姊妹的两人头靠着头，表情十分冷静。[李宁玉]把头缓缓挪开[顾晓梦]的肩膀。[顾晓梦]低眉，始终视而不见。
1:15:37|1:15:53|[李宁玉]用毫无生机的眼神望着[顾晓梦]。[顾晓梦]把缝补好的旗袍给[李宁玉]披上。[李宁玉]起身，她蹲下帮[李宁玉]扣好扣子。[李宁玉]低头看着她，她迎上[李宁玉]的目光。
1:15:53|1:16:16|[顾晓梦]稍作思考，指了指桌下。[李宁玉]慢慢俯下身，朝着桌下望去。她微微一瞄，便看到一个圆形的小电子窃听器贴在茶几底面。[顾晓梦]快步走到角落柜子。她拉开抽屉，拿出胶布，随手扯下一截，
1:16:16|1:16:30|贴到书柜边安装的窃听器上。转而又快步走来，给茶几底面的窃听器也贴上胶布。[顾晓梦]并不打算结束。在[李宁玉]的注视下，又走到不远处的桌子前贴上胶布。
1:16:31|1:16:47|然后，她随手拿起桌上的香烟，朝着[李宁玉]招了招手。[顾晓梦]走到卫生间前，见[李宁玉]还愣在原地，又招了招手示意她过来。[顾晓梦]走进卫生间，[李宁玉]警惕地望着她的身影。
1:16:47|1:17:0|卫生间的[顾晓梦]来回踱步，[李宁玉]走进后，她轻轻关好了门，取出香烟叼上。[李宁玉]打量着四周，[顾晓梦]靠在门框上看着[李宁玉]。
1:17:2|1:17:10|说完，她掏出打火机给自己点上香烟。[李宁玉]缓缓偏过头，朝[顾晓梦]靠近。临到跟前说。
1:17:12|1:17:18|[李宁玉]空洞的眼神变得异常坚定。烟气在小小的卫生间里飘散。
1:17:20|1:17:30|这一切太出乎[顾晓梦]的意料了，她愣着甚至忘了抽烟。智者千虑必有一失，此时的[顾晓梦]她笑了。
1:17:34|1:17:45|牢房里，士兵打开房门请[顾晓梦]进来。[顾晓梦]猫着腰抱着盒子，脸上堆着笑容进来。一众特务围着台子，躺在台上半身赤裸的精壮男人便是[吴志国]。
1:17:53|1:18:9|[顾晓梦]满脸笑容跑到一旁小桌前，打开盒子。[吴志国]想要挣扎，却被特务死死摁住。[顾晓梦]在箱子里仔细挑选药水和银针。
1:18:36|1:18:43|只见[顾晓梦]拔出瓶塞，将选好的银针插入手指，轻轻搅动。
1:18:46|1:19:5|[顾晓梦]捏着银针靠近[吴志国]，银针猛地扎进[吴志国]脚踝的穴位。随着[顾晓梦]指尖轻轻捻动银针，[吴志国]瞪眼撑嘴，眼眶充血极为痛苦。[王田香]上前审问。
1:19:7|1:19:12|[吴志国]表情凝固，整个脑袋轻轻抽动着。
1:19:13|1:19:32|[顾晓梦]手指划过一根根银针，选出了一根如发丝纤细的针，轻轻沾了沾小药瓶，一针扎入其腰间。[吴志国]眼眶开始往外渗血，嘴角不自觉地抽动着冷静。
1:19:34|1:19:49|[顾晓梦]轻轻搓动银针。另一边，卫生间里，[李宁玉]目光灼灼地盯着[顾晓梦]。[顾晓梦]用力点了下头，[李宁玉]靠近，
1:19:50|1:20:6|[李宁玉]红着眼眶深恶痛绝地说着。[顾晓梦]轻轻弹着香烟，等待[李宁玉]的后文。[李宁玉]转而脸色缓和下来，打量着熟悉的这位同僚。[顾晓梦]吸了口烟。
1:20:8|1:20:15|[顾晓梦]舔了舔嘴唇，深吸了口气，有些无奈地说道。
1:20:27|1:20:45|[顾晓梦]诚恳地说道。[李宁玉]甩出清脆的耳光，打在[顾晓梦]脸上。[顾晓梦]缓缓低下头，[李宁玉]把她推到墙上。
1:20:48|1:21:2|她贴在[顾晓梦]脸上质问道。她绝望地再推了一把[顾晓梦]。眼前众叛亲离的[李宁玉]拽开卫生间门。
1:21:18|1:21:31|[李宁玉]矛盾极了，站在原地快要发疯。而站在门口的[顾晓梦]微笑地看着她，不多时，也忍不住痛哭起来。
1:22:4|1:22:33|两人坐在床边，终于袒露了心声。立场将亲密的两人分割，泪水毫不客气地在两个漂亮的脸庞决堤。行刑室里，又一根银针转动着插进[吴志国]太阳穴的青筋中。他几乎睁不开眼睛了，眼耳口鼻的血迹印证着这个男人的硬骨。
1:22:34|1:23:5|他狞笑着闭上了双眼。[王田香]靠近他耳边，[吴志国]仍在嘲讽着他。[王田香]愤怒地看向六爷，六爷赶忙上前试探着[吴志国]，在胸口上再扎一针。[吴志国]脖颈脑门筋骨突起，他顶着一口气，抬起身子喷出鲜血。
1:23:7|1:23:24|这边，[李宁玉]挂着眼泪劝说着[顾晓梦]。[顾晓梦]内疚着继续道。封闭的裘庄重兵把守，传出情报谈何容易。
1:23:34|1:23:40|[李宁玉]拽起[顾晓梦]，搂着她的脖子问道。
1:23:48|1:23:57|[顾晓梦]看着亲姐姐一般的人挂满泪珠，自己眼泪也落下。说着，[李宁玉]紧紧攥着[顾晓梦]的手。
1:23:58|1:24:12|[顾晓梦]勉强地挤出微笑，轻轻搂着[李宁玉]。生离死别的痛苦，让她装都装不出一个笑脸来。
1:24:28|1:24:52|[李宁玉]紧紧地抿着嘴唇轻轻摇头。与此同时，行刑室里，[吴志国]四仰八叉地躺着，一动不动。六爷上前检查了一番他的情况后汇报。他低头看着[吴志国]继续道。
1:24:56|1:25:10|六爷被问得瞠目结舌。反应了好一会儿，他咽了口唾沫蹲下身，盯着[吴志国]的头顶看了会儿。用手指了指百会穴，然后递出一个询问的眼神。[王田香]眯着眼点了点头。
1:25:10|1:25:30|六爷捏着沾过药水的细针，轻轻地俯下身子，缓缓调整好角度，找准穴位。这个位置对他来说很久都没有尝试过了。只见六爷轻轻拨开[吴志国]的头发，[王田香]也凑近了看着。门外传来声音。
1:25:33|1:25:44|六爷和[王田香]双双转头看去。士兵打开铁门，走来的正是[李宁玉]。她神色黯淡，步伐沉重，[王田香]抽着烟，有些疑惑的走来。
1:25:44|1:26:6|[李宁玉]挪步上前抬起手，她手心里攥着一个皱皱的烟盒。[李宁玉]缓缓摊开手掌说道。她微微带着哭腔，把烟盒交给[王田香]。[王田香]仔细端详着烟盒，这正是三炮台的烟盒。[王田香]这才醒悟。
1:26:6|1:26:22|医院里，护士推着担架，躺着的人正是被冤枉的[吴志国]。担架在医护人员的合力下快速推进手术室里。特务关好手术室的门，在门外守候。
1:26:22|1:26:30|医生和护士轻轻将[吴志国]从担架搬到手术台上，而后迅速戴好手套准备手术用品。
1:26:32|1:26:50|医生捏住脚踝拔下银针，接着是胸口的银针，腰部的银针，最后是太阳穴的银针。众医生合力将[吴志国]翻过身来。医生拿着镊子夹住[吴志国]背后折弯的银针，猛地拽出，
1:26:50|1:27:1|鲜血像小喷泉一样从针眼射出。半昏迷的[吴志国]哼起了小曲儿。
1:27:35|1:28:4|腥咸的海风吹过裘庄大楼。阴森的地下行刑室里，特务正用铁刷将悬挂着的粗麻绳打磨粗糙，地上靠坐着衣难蔽体的[顾晓梦]。一瓢凉水从她头顶浇下，湿漉漉的头发盖住了她的俏脸。
1:28:15|1:28:27|[王田香]一把拽住[顾晓梦]的头发，将她提起。[顾晓梦]大口地喘息着，意识模糊的她已经控制不了自己的身体，随着别人的拽动摇晃。
1:28:32|1:28:40|气急败坏的[王田香]一把甩开[顾晓梦]。
1:28:41|1:28:56|特务上前扶住[顾晓梦]，将其架到粗壮的麻绳旁，他们把[顾晓梦]的双腿分开，扶着[顾晓梦]让她骑在被打磨粗糙的麻绳上，推着她摩擦前行。[顾晓梦]的下体惨遭重创。
1:28:58|1:29:13|特务又推着她滑动回去。这是一种针对女人惨无人道的刑罚，绳刑。[武田]这时也赶到行刑室。悬挂的麻绳上鲜血淋漓，[王田香]望去也心有余悸。
1:29:14|1:29:33|[武田]抽来桌布，桌上物件散落遍地。他拿起桌布轻轻盖在倒地呻吟的[顾晓梦]身上，已是惊弓之鸟的[顾晓梦]，捂着下体朝后躲去。
1:29:39|1:29:46|一间昏暗的审讯室内，钟表正指向8:30。换过衣服的[顾晓梦]披头散发地靠着椅子。
1:29:47|1:29:58|她的双手被反铐在椅背上。她舔着干瘪的嘴唇，而[武田]的话也置若罔闻。
1:30:11|1:30:24|面色苍白，眼神清澈的[顾晓梦]抬头望着[武田]。[武田]期待地看着她，迫切想要得到情报。
1:30:34|1:30:56|[顾晓梦]越说，脸上的笑容越盛。[武田]居高临下，眼神凌厉地盯着这个阶下囚。他深呼吸背过身去，抽出一支香烟，继而又转过身来叼上香烟。他轻轻滑动着火柴。
1:31:4|1:31:18|[顾晓梦]气愤地盯着[武田]。[顾晓梦]心里冒出不祥的预感。
1:31:21|1:31:28|[武田]听了一会儿便放下听筒，然后看向时钟。
1:31:39|1:31:48|椅子上抓狂的[顾晓梦]奋力挣扎，却被特务死死摁住。[武田]把听筒放到[顾晓梦]耳边，
1:31:58|1:32:27|[顾晓梦]披散着头发，低着头轻声哭泣着。[武田]等待着她的回答。[顾晓梦]连连点头。[武田]放下抵在她头顶的枪，接起话筒。
1:32:34|1:33:0|[武田]说完把听筒递给手下，随后也关上了手枪的保险。[顾晓梦]调整情绪，摆正坐姿。[武田]也走到她正面等待她的供述。
1:33:1|1:33:21|她思考了一会儿继续道。[顾晓梦]没有拒绝，但也提出了要求。
1:33:26|1:33:31|随即，[武田]给旁边特务一个眼神，特务转身出门。
1:33:34|1:33:41|[武田]冷冷地看着[顾晓梦]，[顾晓梦]低眉凝望着地面，摇了摇头说道。
1:33:58|1:34:15|[顾晓梦]被反绑的双手抽出细针，背后的双手尝试开锁。[武田]气愤地盯着[顾晓梦]。
1:34:16|1:34:33|与此同时，司令一瘸一拐回到大楼。司令带着身后的亲卫，大步走进房间。[王田香]起身迎接。[王田香]一言不发地站着，惹怒了司令。
1:34:34|1:34:45|此刻，审讯室的[顾晓梦]用细针试图撬开手铐。背对她的[武田]无奈地抽着烟。
1:34:47|1:34:52|[顾晓梦]趁机激怒[武田]。
1:34:57|1:35:10|[武田]饶有兴致地看向[顾晓梦]。他拿下嘴上的香烟，凑近[顾晓梦]的脸笑着说道。
1:35:14|1:35:41|[武田]也发觉了[顾晓梦]激将法的意图。[顾晓梦]一面吸引着[武田]的注意，一面悄悄打开手铐。[武田]气急反笑，他一把抓住[顾晓梦]的脖子。
1:35:42|1:36:6|[顾晓梦]双手搂住[武田]的脖子，咬下他的耳朵。冲进来的[王田香]已经抠下了扳机，身中三枪的[顾晓梦]从[武田]身上滑下，倒在了冰冷的地板上。[王田香]和司令看着血泊中的[顾晓梦]，
1:36:14|1:36:26|在场的人在这一刻感受到了共产党人的决绝。[武田]发出无能的怒吼，[顾晓梦]也闭上了自己的双眼。
1:36:27|1:36:41|一位有着坚定信仰的共产党人，在机密情报和生命面前，她毅然选择了舍弃后者，维护组员，为了组织保全了力量。裘庄的魔鬼审讯会议就此结束。
1:36:41|1:36:58|审讯室里，[武田]坐在审讯椅上抽着烟。身披军大衣，拄着拐杖的司令缓缓走来，走到[武田]面前才开口。
1:36:59|1:37:16|愁闷的[武田]低头抽着烟，缓了一会儿说道。他眼神坚定地看着司令。
1:37:17|1:37:27|一旁的[王田香]听到后若有所思。司令开口道。
1:37:38|1:37:54|一旁的[王田香]听到这儿心生忐忑。他试探地说道。[王田香]料想自己可能就是替罪羊。
1:38:0|1:38:16|帽檐下，司令凶狠双眼盯着出门的[王田香]。司令突然掏枪，[王田香]从镜子的反射看到，躲过一劫。随后拎起钢管上去。他扑上前把司令摁在墙上。
1:38:26|1:38:46|[王田香]被击毙，尸体靠着司令缓缓滑下。开枪的人正是[武田]。靠着墙的司令惊魂未定，这才扶着墙角缓缓走出。[武田]缓缓放下举枪的胳膊，司令低头看着地上的[王田香]。
1:38:57|1:39:6|雪夜里，一辆辆汽车拐过路口，排着队停在了[百草堂]门口。雪势又大又急，
1:39:7|1:39:24|屋檐房顶都被白雪覆盖。车上走来一众日军高级军官，他们大踏步地朝着[百草堂]走去。[百草堂]内日军整齐列队，一支支锃亮的钢枪等待着共产党员。而[百草堂]外的汽车上，
1:39:24|1:39:41|司令坐在后排盯着门口，坐在前排的正是[武田]。窗外一片片雪花落下。今晚是他们孤注一掷的机会。次日清晨，汽车上盖着厚厚的积雪，一个小贩正推着卖货小车走过厚实的雪地。
1:39:46|1:40:5|街道上渐渐出现了早起的行人。而车里歪着帽子睡着的司令，眼睛忽然睁开。他张望着左右的车窗，拉着骆驼的商人这时经过。司令转头看向前座的[武田]，他知道他们唯一可以挽回的计划失败了。
1:40:5|1:40:25|这时，街道的广播传来歌声，[武田]早已昏睡过去。时间一转，已经是三个月后。下过雨的码头上道路泥泞，增援的日军列队扛枪走来。天空上雷声作响，军官指挥着部队前进。
1:40:25|1:40:41|一辆军用卡车驶过泥泞的码头。它停到一个小库房间，打开护栏。下车的高级军官中也包括[武田]。
1:40:42|1:40:59|一旁增援的日军列队离开，为高级军官留出地方。被遣返回日的军官们围上前签字，而手腕上拴着铁链的[武田]绕到屋檐另一边。他伸手从裤兜中掏出一包香烟，来到屋檐下，找到木箱子坐着。人群中，
1:40:59|1:41:6|走来一个背着军用背包、穿着雨衣的身影。他的脚步十分坚定。
1:41:7|1:41:20|经过[武田]时，他特意看了一眼，吸了口烟屁股，坐在[武田]身边。[武田]也不客气，拿过他点燃的香烟，给自己也点着。完事后，又把香烟归还给对方。
1:41:21|1:41:30|两人就这样坐在屋檐下避着雨。[武田]十分享受着咂吧了两口烟，顺便也打开了话匣子，
1:41:38|1:41:48|而那人只是自顾自地抽着烟，始终没有回答[武田]。武田也毫不在意，继续抽着烟。
1:41:50|1:42:5|他吐出烟气，打量了一番旁边的士兵，嗤之以鼻地说道。武田眼神复杂地看向雨中，深呼吸说道。
1:42:12|1:42:32|说到这，武田随即又忍不住露出笑容。他低头吸了口烟，旁边士兵的烟也抽完了。轮船的汽笛声传来。士兵拍着[武田]的肩膀说。[武田]刚抬头便被摁住，一柄小刀飞快划过[武田]的气管，
1:42:33|1:42:46|[武田]仰头圆瞪着眼睛。这位士兵不是别人，正是死里逃生的[吴志国]。[吴志国]还用他衣领遮盖住他脖子上的伤口，戴上兜帽朝雨中走去。
1:42:46|1:43:7|[武田]的身体不受控制地缓缓跪下，继而脖颈喷洒出鲜血，仰面倒在了泥地里。阴雨的码头上，不远处停着的就是那艘可以带他回家的轮船。不久后日军便宣布投降。宽阔的街道上人潮涌动，都在庆祝着这历史性的一刻。
1:43:7|1:43:23|马路上，日军将领军官乘车经过，人民欢呼雀跃，扭着秧歌，舞着狮子，用自己的方式表达着愉悦的心情。新时代的卷纸工厂里，挂着“努力生产”、“慰劳国军”的横幅。
1:43:23|1:43:44|车间主任领着西装笔挺的[吴志国]走来。两人来到一个流水线上，车间主任探头朝里面喊着。主任走近，[李宁玉]这才回过头，看到[吴志国]当场一愣。
1:43:44|1:43:51|街道上，[李宁玉]和[吴志国]走来，[李宁玉]面色蜡黄，神色黯然。
1:43:58|1:44:7|二人对坐在一家咖啡厅里，[吴志国]端起杯子喝了一口咖啡。
1:44:24|1:44:38|[李宁玉]也端起杯子喝了一口，[吴志国]掏出香烟给自己点上。[李宁玉]觉得有些莫名其妙。
1:44:39|1:44:47|[李宁玉]还是不明白，女人的旗袍有什么好看的。
1:45:1|1:45:8|[吴志国]抽了一口烟。而对面的[李宁玉]则是皱着眉，用力去回想那天晚上的事。
1:45:18|1:45:29|[吴志国]解释后，[李宁玉]若有所思地看着咖啡杯。裘庄短暂而又痛苦的日子，让她不得不铭记永生。[李宁玉]扶着额头回想着。
1:45:29|1:45:37|当晚，[吴志国]冲进[顾晓梦]的房间。[吴志国]拧着眉头瞪着[顾晓梦]，转而又微微一笑。
1:45:42|1:45:48|说着他伸手去摸周围的窃听器。彼时，[王田香]刚接入[顾晓梦]房间的信号。
1:45:49|1:45:56|[顾晓梦]装作不领情的样子，[吴志国]指了只耳朵，推倒[顾晓梦]。
1:45:58|1:46:5|[吴志国]用胶布粘住桌下的窃听器。
1:46:43|1:46:53|外面传来响声，留给他们的时间已经不多了。[吴志国]扯开[顾晓梦]的衣领，[顾晓梦]发现这位同志比她办事更为周到。
1:46:53|1:47:2|[吴志国]边走边弄乱自己的衣服。[顾晓梦]明白了其中的含义，来到镜子前弄乱自己的头发，伪装出[吴志国]欺辱她的样子。
1:47:24|1:47:41|[李宁玉]被带走审问后，屋子里当时只剩下[顾晓梦]、[吴志国]以及两具尸体。[吴志国]轻轻走到[顾晓梦]身边，抓起[顾晓梦]的手，在她掌心写字：今晚讯息不出，组织覆灭，我顶。
1:47:41|1:47:56|最后，[吴志国]伸手从兜里摸出一支香烟，正是后面被[王田香]惦记的三炮台。他把香烟放到[顾晓梦]手心，替她握紧。[顾晓梦]红着眼睛，轻轻摇头，泪水在眼眶中打转。
1:47:56|1:48:13|随后，[顾晓梦]在[吴志国]手上写道：你要活着，设法带讯息出去。[吴志国]摇摇头写道：我就是老枪，我命令你举报我。[顾晓梦]抿着嘴，含着热泪，望着这个既熟悉又陌生的同志。
1:48:13|1:48:21|两人紧紧攥着对方的手，眼神坚定地看着彼此。这是组织最后的希望，不成功便成仁。
1:48:22|1:48:40|[顾晓梦]看着[吴志国]，思索了一会儿，在其手心上写下：你要撑住，我有办法。[吴志国]眉头皱出来个川字。[顾晓梦]调整情绪，不让眼泪流出，然后平静地说。[吴志国]不得不陪她演。
1:48:54|1:49:0|咖啡厅里的[吴志国]抽着烟，诉说着当时的内心。
1:49:6|1:49:26|[吴志国]又吸了口烟回忆起来。那时候，医生把他搬到手术台上。唱腔拖的长短，暗示出摩斯密码。手术室的一名护士一边听着，一边手指轻点，翻译出来正是：情报是假，切勿行动。
1:49:27|1:49:35|明白其中意思后，小护士快步走出手术室。就这样，在[吴志国]用赌命的方式送出情报。
1:49:38|1:49:45|咖啡厅里，[李宁玉]又不解地问道。
1:49:49|1:50:5|[吴志国]沉思了一会儿，没有说话。他深深地吸了一口香烟，讲述起了[顾晓梦]当时的计划。裘庄的客厅里，[顾晓梦]抱着衣服拿着针，沉思着。
1:50:11|1:50:36|原来，先前布网纹理浮现出的汉字，正是[顾晓梦]留下的。画面来到[顾晓梦]被枪杀的时候，穿过她的外套，里面沾着血迹的布网透出汉字：情报是假，切勿行动，老鬼。画面一转，盖着白布的[顾晓梦]被抬出屋子。
1:50:42|1:50:50|回到咖啡厅里，[李宁玉]这才消化着其中的秘密。不久，[吴志国]随着[李宁玉]来到她家。
1:50:51|1:51:6|这是青砖旧民房，远不及[李宁玉]当时的奢靡生活。已经成为工人的[李宁玉]掏出钥匙，打开门锁。屋内，[李宁玉]踩着椅子打开衣柜上的皮箱，一番搜索，很快找到了当时的那件旗袍。
1:51:6|1:51:16|[李宁玉]把旗袍递给[吴志国]。
1:51:17|1:51:35|[吴志国]找到旗袍的缝线处，他拿着[李宁玉]的手放在一个个线扣上。[李宁玉]轻轻揉捏，立马把旗袍拿到怀里。她凑近了仔细一看，断断续续密密疏疏的缝线似乎很有规律。[李宁玉]边走边看，缓缓坐下。
1:51:35|1:51:42|长短不一，缝线组成了一封信件。旁边的[吴志国]补充道。
1:51:46|1:52:1|[李宁玉]自然已是看入了神。一道道缝线犹如魔法一般，在空中变成文字。“信息是否传出，成败就在近日。”[李宁玉]读懂了这个妹妹留下来的每一句话。她越看越急，越看越想知道，
1:52:1|1:52:22|这个天天喊着自己玉姐的妹妹，都留了什么心里话。这封特殊的信里写道：我不怕死，怕的是爱我者，不知我为何而死。我身在炼狱，留下这份记录，只希望家人和玉姐原谅我此刻的决定。[吴志国]沉重地看着[李宁玉]。
1:52:22|1:52:37|而[李宁玉]一面翻着旗袍，一面泪水颗颗砸下。她终于放下旗袍，轻轻地攥着。许久不抽烟的她颤抖着摸出一支香烟放到嘴上，[吴志国]适时地为她点上火。
1:52:37|1:52:56|她嘴唇不自觉地颤抖。她用手扶着香烟，像个久旱逢甘霖的瘾君子一样卖力的吸食，而他心中的瘾，正是那份对挚友对妹妹深深的思念。泪水鼻涕毫不吝啬流出，可她现在狼狈又痛快。
1:52:56|1:53:3|这封信，这份独白如今袒露在自己面前，便是姐妹两人心贴心的交流。
1:53:4|1:53:15|真正的悲伤是哭不出声的，只有眼泪在决堤。回到车上的[吴志国]神色庄重，眉头紧紧锁成一个川字。这个男人，身为上级的老枪，
1:53:15|1:53:33|作为组织的领导，在最危急的关头，是那位坚强勇敢的女同志站出来，用生命保护了他，保护了组织。曾经受尽刑罚的[吴志国]，不曾透露出半个字的铁汉，在这一刻饱含热泪。
