0:2:39|0:2:46|随着使者富有庄严气息的声音，外国使节[阿斯巴将军]一行人乘着马车来到大佛脚下，
1:6:34|1:6:52|画面一转来到皇城之中，[武则天]直接将面前棋盘掀翻在地，继而起身。看着刚刚传达了[狄仁杰]口信的[上官静儿]，质问道，[武则天]之威，恰如云中滚雷，变幻莫测，不知虚实，[上官静儿]跪伏于地，微微晃动，不敢言语。
1:7:14|1:7:35|听得[武则天]所言，[上官静儿]便知她已下定决心要铲除[狄仁杰]。但不知为何，现在的自己竟没有因为惹得[武则天]生气而惶恐，心中反倒生出一丝丝莫名的哀伤。画面来到城内集市之中，
1:8:10|1:8:24|街巷热闹非凡，[狄仁杰]与[裴东来]坐于马上推理案情，然而透过紧密人群望去，却见街口处琅琊王李宵率众等候多时，[裴东来]不同于[狄仁杰]，见到王爷只得翻身下马。
1:8:30|1:8:37|李宵只是坐于马上，一只手叉于腰间，直勾勾地盯着[狄仁杰]，而后便听他严肃地说道，
1:8:40|1:8:44|话音一落，便有家丁双手捧出一长条状物件。
1:8:46|1:9:0|[狄仁杰]看着家丁将那物件抽出定睛一瞧，正是先皇所赐之亢龙锏，于是急忙下马跪地，双手奉于头上，准备接亢龙锏，李宵走上前拿了亢龙锏对[狄仁杰]说道。
1:9:19|1:9:35|[狄仁杰]一时回忆汹涌，却也未曾失了理智。他抬眼看着李宵说道。
1:9:42|1:9:51|听得[狄仁杰]说如此话，李宵却也不紧不慢继续开口，
1:10:13|1:10:27|恰逢此时城中忽有一阵妖风烈烈，集市上黄沙弥漫，禽兽躁动，唯有[狄仁杰]将李宵之言纳入耳中，待到李宵撤去，听得此等消息的[狄仁杰]依旧跪地不起，难以平静。
1:11:8|1:11:15|话音刚落，正指着自己脑门炫耀的李宵，被不知从何地射出的一支箭矢击中，当时就摔在棋盘上没了动静。
1:11:19|1:11:24|场上能人宾客慌不择路，四处躲避，此时艳阳高照，而李宵与众人皆在府中露台上畅聊。
1:11:26|1:11:48|如今李宵中箭矢而亡，曝于阳光之下，不过片刻便周身烟雾弥漫，最后焚烧殆尽。想来这刺杀琅琊王李宵的应与前两场焚烧案的凶手为同一伙人，画面一转来到四方馆内，夜幕已然降临，而馆中依旧灯火通明，歌舞升平。
1:11:48|1:12:3|厅堂四周轻纱漫长，随微风摇坠，屋内众宾客，锦衣华服，吃山珍海味饮琼浆美酒。馆外庭院中，[狄仁杰]手持亢龙锏倚着墙而立，他轻抚锏身，作若有所思之状。
1:12:3|1:12:12|馆中侍女携灯笼穿行而过，火光照映在[狄仁杰]脸上，阴晴不定，待到庭院重归黑暗。他说道，
1:12:13|1:12:39|[狄仁杰]说完见一道人影从其身后台阶上走了出来。那人行至树下，折枝上玉兰花掩于面前停下脚步安身以待，仔细端详此人竟是当今大唐天后[武则天]。只见她拨开花枝，盯着亢龙锏开口问[狄仁杰]。
1:12:57|1:13:15|言出法随，[狄仁杰]手持亢龙锏力劈在身旁的石灯之上，只见那被击中之处有数道裂缝，并且逐渐蔓延至石灯各处。数息之间那石灯就如同被剥丝抽茧一般，零落成碎屑堆砌一地，
1:13:37|1:13:50|听到[狄仁杰]如此发问，藏身于暗处的[上官静儿]招手致意，御林军拉弓搭箭，准备射杀。而后天后喜怒不形于色，只是看着双手奉锏的[狄仁杰]开口淡淡说道。
1:14:8|1:14:15|[狄仁杰]听觉何其灵敏，弓弦紧绷之异响进入其耳中，他不动声色，静观其变。
1:15:3|1:15:18|见有御林军，[裴东来]便知天后在此，表明来意，随后翻身下马朝庭院走去，就在天后走到[裴东来]身边背朝[狄仁杰]时，[上官静儿]领着众人从暗处赶至天后附近拉弓搭箭，以备不患。
1:15:25|1:15:30|听到琅琊王李宵已死，一代天后，脸上亦有震惊之色，
1:15:36|1:15:46|值此空档，[狄仁杰]立刻抽身离去，御林军顿时一阵骚乱，天后转头而望，只见军士兵卒皆在寻找[狄仁杰]之踪迹，只有[上官静儿]
1:15:46|1:15:55|微笑望着他逃走的方向，并未多言。天后只是差遣[裴东来]连夜赶往工部侍郎贾颐之府邸，
1:16:11|1:16:20|贾夫人领着[裴东来]赶至书房，如今已是残桓断壁焦木横尘，
1:16:37|1:16:43|管家和丫鬟急忙照顾安抚，却听[裴东来]继续开口发问，
1:17:14|1:17:34|察觉到这条线索仍有发掘的余地，[裴东来]迫不及待招呼贾颐众人带路，于是一行人又匆匆赶至贾颐生前办公之厢房，[裴东来]率先跑了进去，在房中矮桌上一阵翻找，只见空旷，唯有那桌上有文房四宝图纸卷宗无数。
1:17:34|1:17:44|[裴东来]仔细翻阅查看，一图纸吸引了注意，他一展卷宗细细参阅之下，脸色不由得变得异常冷峻，似乎发现了一些不得了的
1:17:44|1:18:1|线索。收集相关物证之后，[裴东来]便准备离开贾颐，将那图纸卷宗包裹好，塞进马鞍一侧皮包之中，他又将自己发现的最为重要的线索送入怀中，警觉地朝四周望了望，这才翻身上马离去。
1:18:1|1:18:12|另一边一心探案，不论其他的[狄仁杰]终究还是趁夜色笼罩，潜入了无极观中寻找答案，抛掷铁索，勾连围墙，[狄仁杰]翻身而入。
1:18:12|1:18:31|行至大殿以外，便见殿前祭台上竖有青铜莲花大鼎一尊，升旗八杆，沿阶而下，又有生肖兽人雕像一座，庄严肃穆，但却空无一人，僻静非常，另一边[裴东来]策马驱使于街巷之中，预备将那些证据带回大理寺。
1:18:31|1:18:43|行在途中却总觉身后有人尾随他，时不时回头而望皆无所察身后有密集马蹄声传来，再次转头赫然与夜行者五人策马追逐。
1:18:43|1:18:54|[裴东来]失神之际又见前方路口，不知何时横出一辆马车，他立刻勒马急停飞落在地上，然不待他喘息，一名夜行者冲身而来，二人战作一团。
1:18:54|1:19:8|[裴东来]仓皇应战，而那人武功刚劲有猛虎下山之势，不得已只得拔剑而将其逼退。[裴东来]一剑挑出那夜行者掩面所用之黑纱，漏出一张黝黑的异国皮囊，竟是昆仑奴。
1:19:8|1:19:16|正当[裴东来]惊讶之时，其余夜行者凌空而上，投下一张铁索大网，将其牢牢困住动弹不得。
1:19:17|1:19:32|只见那昆仑奴一记扫堂腿将[裴东来]放倒在地，几把齿轮钢刀架在脖子上，电光火石之间，[裴东来]就已被生擒。另一边无极观内，[狄仁杰]仍在寻找国师所踪。正无头绪之时，却听观内一声鹿鸣传来，
1:19:32|1:19:39|随后便见一只梅花鹿出现在殿前祭台之上，
1:21:18|1:21:43|听得此言，对于青铜鼎上的国师就如汪驴一般，从脑后拔出数根长针，随即容貌大变，从一硬朗男性化为[上官静儿]之容颜。再看国师之装扮，血袍加身，右手执银蛇短剑，左手握玄色令旗，与那鬼面人无比相像，也怪不得[裴东来]当时会将之误认为国师。
1:21:43|1:21:49|看到国师恢复原貌，[狄仁杰]看着那副[上官静儿]面孔，方才继续说道。
1:22:34|1:22:45|[狄仁杰]说完，只见[上官静儿]双目布满血丝，眼角泪珠愤而流下，随即昂首发出一声长啸，随后便有树枝铃铛出现在无极观中。
1:22:48|1:22:56|青铜鼎上，[上官静儿]挥动令旗，所向之处正是[狄仁杰]，那几只灵鹿仿佛听其号令一般直冲台下广场。
1:22:56|1:23:9|[狄仁杰]抽身躲开第一只的攻击，随后拔出腰间亢龙锏，支在又一只鹿角上，哪知这鹿怪力无穷，[狄仁杰]一路倒退，指着碰到身后两俑停了下来。
1:23:9|1:23:21|看到灵鹿重来，他急忙避开，使得两鹿相撞，瘫死一旁，随后翻坐于兽人俑上，现有灵鹿踏空而来，便挥动抗龙锏被劈在鹿角上。
1:23:21|1:23:35|灵鹿吃痛摔下半空，撞翻香炉晕死在地上，随着香炉倒地滚动，此一方天地顿时烟雾弥漫，[狄仁杰]从兽人俑上跳下，捂住口鼻，惊讶道。
1:23:36|1:23:41|话音刚落就见青铜鼎上，[上官静儿]飞身一跃向着大殿之后跑去。
1:23:41|1:24:3|于是[狄仁杰]急忙冲出烟雾，跨上祭台追了上去，不知是迷魂香想起了作用，还是[上官静儿]对此施展了绝妙法术，[狄仁杰]忽然觉得精神有些恍惚，眼前那些绫罗绸缎好似有了生命一般活络起来，他不管不顾直冲而出，发现自己身处一间小院落当中，地面上会有八卦阵图。
1:24:3|1:24:15|[狄仁杰]踏步而上，只觉天旋地幻，整个院落像是由无数长蛇盘踞一团所成，方寸之间互不相连，站于其中，正与万蛇纠缠涌动，可怖至极。
1:24:15|1:24:31|就在[狄仁杰]心神不宁之时，[上官静儿]从身后杀出，挥动灵蛇短剑，攻其不备，[狄仁杰]有所反应，闪身堪堪躲过[上官静儿]的致命一击，然后在此幻境之下，她一身武艺多了八成，只得被动挨打，见招拆招。
1:24:31|1:24:46|电光火石交锋之后，竟让[狄仁杰]脚步虚步踉跄，冷汗浸湿衣襟，[上官静儿]见依旧难伤其分毫，便果断撤离战场，二人遥遥相望。[上官静儿]借迷魂香之药力，进而再度对其施展幻术。
1:24:46|1:24:53|只见四目相投之下宛若时空扭转，只是戊戌片刻，[狄仁杰]便沦落幻想之中。
1:24:53|1:25:6|此次幻术之强劲，[狄仁杰]难以抵挡，只觉目所能及之处皆作梦幻泡影，[上官静儿]孤身舞短剑来攻，在他眼里，却好似有成千上百个身影携力重来。
1:25:6|1:25:23|脚下地面再度归于动荡，[狄仁杰]难以保护其身，摔在地上，[狄仁杰]大吃一惊，急忙翻滚着，强撑自己站起，也就在他最虚弱之际，[上官静儿]发起攻势朝他冲来，这番动作在身中幻术的[狄仁杰]眼中却成了另一幅景象。
1:25:23|1:25:37|他只觉这座幻想之中，有一血色绸缎穿梭于自己身边，妖力无比，只见那绸缎接连卷动院中石柱朝[狄仁杰]砸去，[狄仁杰]只得竭尽全力躲开那些巨大石块的撞击。
1:25:37|1:25:56|此次交锋结束，[狄仁杰]喘息不止，难以站立，他插锏入地强撑着自己冷静下来，闭上眼睛慢慢均匀自己的呼吸，[上官静儿]立于石柱之上，仗剑而观，虽不知[狄仁杰]此举何为，但见其闭上了双目，只觉天赐良机，遂冲身而下。
1:25:56|1:26:11|此时[狄仁杰]已经完全冷静下来，正面迎上[上官静儿]那柄银蛇短剑，只见他大呼一声，[上官静儿]手中那银蛇短剑应声而断，就在二人不依不饶的缠斗之中，断掉的剑刃打在石柱上，竟然折了回来。
1:26:12|1:26:27|[狄仁杰]只觉剑光一闪，便知情况危急，推开[上官静儿]，自己躲闪不及，被断剑刺入胸脯，[上官静儿]并未察觉[狄仁杰]之善举，失手将其击晕，待到坐于其身上，才发现胸前这短剑，
1:26:38|1:26:53|看着身下昏迷的[狄仁杰]，[上官静儿]不由想起天后在宫内对他说的话，她内心无比纠结，以至于热泪盈眶，而后长啸一声双手握持断剑狠狠刺了下去。
1:26:53|1:27:10|这一番动作几乎耗尽其全身气力，但[上官静儿]之脸色却渐渐趋于平静。再看那断剑距[狄仁杰]上有几寸之距离，深入地面不见血污，[上官静儿]终究还是不够狠心，未能遵从天后旨意。
1:27:10|1:27:26|第二天一早，[上官静儿]简单处理了[狄仁杰]胸口的箭伤，便拖拽着他离开无极观，走入附近山林之中，脸上红妆已然晕开，带着[狄仁杰]藏身于山林博物之中，却依旧警惕周围动静。
1:27:39|1:28:7|却不知道触碰了何人在此处设下的陷阱，一根竹子在其腹部洞穿而过，[上官静儿]下身一软，整个人便向地上倒去，哪知又触碰到一条几乎看不见的丝线，于是，毛竹再度穿身而过，溅起鲜血无数，[上官静儿]两次受创无力支撑身躯跪伏于地上，不知过了多久，静谧山林中忽然有人开口说道，
1:28:19|1:28:35|于是一众人等快步离开了设伏区域，没过多久，只见[上官静儿]带着[狄仁杰]居然从薄雾笼罩的树梢上摔了下来，看看躲过一劫，[上官静儿]本就身受重创。经此一劫亦陷入昏迷，时至正午[狄仁杰]清醒过来。
1:28:35|1:28:55|[上官静儿]虚弱开口，[上官静儿]脸色惨白，气若游丝缓缓摇了摇头，
1:29:12|1:29:34|说完她伸手轻轻搭在了[狄仁杰]脖颈之上，[狄仁杰]也会意温柔地靠近其染色的唇边，于是[狄仁杰]带着[上官静儿]回到洛阳城里宫墙之外，寻一匹白马将[上官静儿]安置在其背上，他看着[上官静儿]落泪不止，却也只能一拍骏马身躯，送[上官静儿]入皇城。
1:30:14|1:30:29|霎时间宫中府中乱成一片，在一众内侍的簇拥下天后失了往日从容，急匆匆赶到明堂之上，却见殿前，街上有一具血躯横陈，正是无比虚弱不见往日风采的[上官静儿]，
1:30:40|1:30:45|天后将[上官静儿]揽在怀中，见她有话要说便屏退了左右，
1:31:1|1:31:39|[上官静儿]的话让她回忆起某些往事，她强笑着说道，天后与[上官静儿]交心而谈，她虽是一代帝后，但心非顽石，此刻痛苦万分，天后很不愿意回答，这时笑着整理[上官静儿]乱发，可怀中之人，问得干脆决绝。
1:31:39|1:31:45|天后坚定地回答了这一句，[上官静儿]随即瘫软下来，死在天后怀中。
1:31:45|1:32:11|对于久居深宫的[上官静儿]来说，爱一词她懵懵懂懂不知甚解，但毫无疑问，她爱天后，既因天后而生，愿为天后而死，她或许也爱[狄仁杰]，相遇时，百炼之钢已化作临别的绕指柔情，或许对[上官静儿]来说，这便是最好的结局，既未伤[狄仁杰]分毫，亦不负天后所托。
1:32:12|1:32:35|就在整个皇城都因天后之哀痛黯然失色之际，另一边[狄仁杰]小心潜入了四方馆内，推开卷帘，见[裴东来]所乘之马立于庭院内，[狄仁杰]稍一思索，认为其应当奉天后之命留守于此，于是他小心前往居所准备与之交谈，行在廊桥之上他放开五感。
1:32:35|1:32:50|今日四方馆格外寂静，心里暗自紧了紧神经。来到居所之外，[狄仁杰]谨慎地将门拉开，露出一道缝隙，却见屋内空空荡荡，只有一人浑身负有黑袍，又被铁链锁住掉于露台之上。
1:32:50|1:32:58|房门上设有绳索机关勾连门栏，待到房门打开有一人宽窄之时，绳索猛地拉扯木门。
1:33:4|1:33:15|正是[裴东来]，见他被困于木桩之上，面朝艳阳，[狄仁杰]立刻挥动亢龙锏冲上去，[裴东来]本就不喜阳光，如今身中金龟毒暴晒于露台之上更觉煎熬，他开始道。
1:33:21|1:33:31|正要将线索口述[狄仁杰]之时，只见[裴东来]身上已然泛出火光，七窍之中，烟幕升腾难以言语。
1:33:32|1:33:48|[狄仁杰]解开其身上，铁锁将其拖至屋内去，为时已晚，之后[裴东来]身上燃起火焰，痛不欲生。[狄仁杰]再次上前拖拽，只是大火焰已经燃至全身，他奋力拖拽却只能扯下一阶杏子。
1:33:48|1:34:2|在想上前救赎之时，[裴东来]周身方寸之间火星四射，炽人无比，已经难以挺身，[狄仁杰]只得眼睁睁地看着他扭曲不止，最后燃烧殆尽。然而即使是饱受着妖火焚身之痛楚，
1:34:2|1:34:17|[裴东来]也并没有如常人一样放肆呼号，只是握紧右拳，嘶哑着嗓子念叨什么，直至自己化作一团飞灰，[狄仁杰]目瞪口呆，他怎么也想不到凶手会用这般手段让自己看着同伴死去。
1:34:17|1:34:38|[裴东来]不喜光热，一生徜徉于黑暗之中，行事却磊落无垢，恰如其发肤之肃雪，照应其内心之长明。正是森森千丈松，虽磊落多节目，使之大厦，以为栋梁之材，可惜如今为奸人所害付诸一炬，令人惋惜。
1:34:38|1:34:56|[狄仁杰]跪伏于同僚灰烬之前瞑目以哀悼，却忽然想到[裴东来]临死前念叨的词句，他睁开双眼以长锏翻动地上焦尸碎块，随即在其中发现一枚马缰扣略微异响，便知这是[裴东来]有重要信息要传达与自己。
1:34:56|1:35:3|于是他扯下将那马缰扣拾起放在眼前，仔细端详并无藏匿信息之处。
1:35:3|1:35:27|画面一转，[狄仁杰]就来到庭院之中，走向[裴东来]所乘之马匹，他将那枚马缰扣握在手中，与骏马身前游离比对，发现一条由皮革将其锁至缰绳上，三个马缰扣只剩其二，便知玄机藏在此处。于是探手入马身下寻找不得所获，又往马鞍之下果真找到一叠黄纸。
1:35:27|1:35:36|正是当初[裴东来]放于自己怀中的那条重要线索，也不知被擒了之后，他费了多少心思才能将线索藏于此处。
1:35:36|1:35:51|[狄仁杰]迫不及待将那黄纸抽绳打开，细细而观之下立刻变了脸色，似乎从那纸上线索之中一言理顺了所有案情之疑难节点，脸上大有懊悔愤恨之意，凶手呼之欲出。
1:35:51|1:36:17|镜头一转来到皇城之内，一代天后[武则天]已然将[上官静儿]离世之悲痛压抑了下去，梳洗之后，以绫罗细纱罩体，她就以这副娇娥打扮立身于明堂之外，展目望向那那六十六丈通天浮屠，有睥睨天下之浩荡气势，兼具摘星夺月之万丈豪情，
1:36:18|1:36:24|她似乎在以这样的神情向天下昭示，女人亦可荣登大宝为九五之尊。
1:36:25|1:36:34|转身走入宫殿之中，只见数名内侍立身，或站立，或蹲伏，托举着天后明日登基所用之朝服。
1:36:34|1:36:58|那锦衣玉服之上，已不见象征地位的九爪金龙，取而代之的乃是一只冲天神凤，天后只顾沉浸在大同的喜悦之中，却不知就在那通天浮屠穹顶之中，有一道阴冷的眼神已经注视她许久，要谁也想不到，这人竟是大佛之监工，[狄仁杰]之旧友沙陀。
1:36:58|1:37:18|此时此刻他就立于佛陀双眼之内，背负监工图纸卷宗，俯瞰而下，平时遇弱畏缩早已不见踪迹，取而代之的是彻人入骨之阴冷。看到[武则天]走入殿宇中，[狄仁杰]一时转身来到棚阁边缘，将背上那个卷宗抛掷而下。
1:37:18|1:37:24|与此同时，浮屠底层一群人气势汹汹地走了进来，为首的正是俘虏了[裴东来]的那名昆仑奴。
1:37:26|1:37:43|随着[狄仁杰]一声令下，这些人便奔赴大佛内部各处暗藏玄机之地，有条不紊行动迅速，俨然一副训练已久的模样，他们推动巨大齿轮打开通心柱下焚烧炉，填入木料，少时便燃起熊熊烈火。
1:37:43|1:38:7|而就在这一切看似顺风顺水的时候，大风起，[狄仁杰]忽然听到身边有纸张掠过之声响，抬眼望去，只见正对面的木箱之中张贴了一张图纸，通晓了一切的[狄仁杰]忽然现身缓缓说道，
1:38:16|1:38:26|但是已难逃杀身之祸，[狄仁杰]既不争辩，亦不打断[沙陀]之推论，只是盯着他撩起袖口露出断手上那只铜钩，
1:38:37|1:38:52|[狄仁杰]说罢便见[沙陀]挥动手臂，直击在浮屠模型之上，按照比例缩小的大佛受他一击之力直冲冲地朝沙盘中的明堂倒去，看到明堂一瞬间倾塌，[狄仁杰]紧了紧神经，说道。
1:39:22|1:39:30|[沙陀]一抬基座，站在木箱中的二人便缓缓降下底层。
1:40:4|1:40:14|[沙陀]闭着双眼，似乎借着[狄仁杰]的言语在回忆着自己的种种计谋。
1:40:26|1:40:53|[狄仁杰]听到他说如此话，便知此人已是走火入魔。只见[沙陀]露出断手，淡然说道，他伸手捅破木箱顶层甲板，立刻抽身跃出半空，攀上了一旁的麻绳。木箱中[狄仁杰]抬头并见到破裂之处，无数赤焰金龟倾泻而下。
1:40:53|1:41:1|[狄仁杰]急忙翻身躲闪，跳出了木箱掉挂于半空，麻绳上[沙陀]奋起一脚，直逼[狄仁杰]摊开双手。
1:41:1|1:41:22|无奈之下，[狄仁杰]只得辗转腾挪，最终用双手苦苦攀在铜环之上，抬头却看见那沾染了赤焰金龟的清泉，正于木板缝隙中潺潺流出，箱底亦有无数毒虫攀爬，时不时就从[狄仁杰]身旁坠落而下，可谓是险象迭生。
1:41:22|1:41:42|[沙陀]受制于麻绳之长短，无法再对木箱下的[狄仁杰]有所作为，于是飞身抽走，而另一边，吊挂在箱下的[狄仁杰]身上已经落满了无数只赤焰金龟，借助微弱月光才发觉那金龟身披赤霞，又有百对触角一双煞是瘆人。
1:41:42|1:41:59|一掌拍死坠落于脸上的毒虫之后，[狄仁杰]又急忙闪身躲避着大佛底层[沙陀]属下射出的毒箭，而那[沙陀]顺着麻绳落地之后，到属下面前，抽出其腰上长剑又匆匆赶到控制木箱上下升降的机库所在。
1:41:59|1:42:16|[沙陀]毫不犹豫挥剑，直接将勾连木箱的绳索砍断掉，吊于半空中的[狄仁杰]霎时就被木箱顶着，飞速向地面过去。千钧一发之际，[狄仁杰]用尽全力攀附在木箱侧边找准时机冲着身旁连接通心柱的浮桥去。
1:42:23|1:42:31|此时便听一声巨响，是那木箱从高空坠落砸在地上的动静，其声势之浩大足见刚刚坠落之处高耸无比。
1:42:31|1:42:42|若是[狄仁杰]没有冒险跃出，单凭人的身体，断然无法承受这般冲击，就在[狄仁杰]安然落地之时，有两节管道缓缓落下，直入通心柱其里，
1:42:48|1:42:58|[狄仁杰]于心中默念，又展目以观众人动向，便知沙陀是要借岩浆之高温熔断通心柱，致使大佛倾塌。正欲设法阻拦之时，
1:42:58|1:43:15|却见那昆仑奴一声长啸，朝自己走来，事关登基大典，[狄仁杰]不愿与他纠缠迎敌，而后又抽身往管道之上，与灌注岩浆之敌人战作一团，沙陀见状唯恐计划有所耽搁，急忙飞身而上加以阻挠。
1:43:15|1:43:34|其时双方纠缠在一起，难舍难分，[狄仁杰]号称通天神探，一身武艺也不弱于人。先帝所赐亢龙锏得战，众人亦不露下风，只见他放锏于管道上，进退间大有一夫当关，万夫莫开之势。
1:43:55|1:44:14|沙陀遗恨在心早已走火入魔，[狄仁杰]之劝阻难抑其心，他奋起呼号，以断剑别开亢龙锏再开战局，逼退[狄仁杰]后沙陀招呼手下小卒释放熔浆，自己带着昆仑奴加以阻拦，现在一切已成定局，熔浆灌入通心柱，通心柱烧断后，
1:44:54|1:45:19|昆仑奴听闻此言，冲锋向前，直奔[狄仁杰]。盛世大唐，有万邦来朝，番邦一族与君无数，而所谓昆仑奴则是南海之外擒获的番奴。此等人体壮如牛，忠心可鉴，大户人家皆以其为奴，然纵使他绝世武力，[狄仁杰]也一律破之，仗以亢龙锏之锋利，击碎昆仑奴之颧骨，
1:45:19|1:45:33|十指连心，裂骨之痛，可想而知，沙陀手下再损一员大将，正无可奈何之际却见大佛穹顶处，有朝阳射入。此一番斗争竟不知不觉鏖战了一夜。
1:45:33|1:45:47|沙陀心急如焚，眼见时辰将至，距离天后登基之时近在咫尺，却还不能解决[狄仁杰]。又转念一想，随后计上心头，推开大浮屠内部各处窗口，阳光顺势而入。
1:45:47|1:46:9|[狄仁杰]见他做如此状，急忙查看周身伤口，果然在手臂上发现大大小小毒虫撕咬之痕迹，至此危急时刻[狄仁杰]也顾不得手下留情，转动亢龙锏基座，克敌薄弱，招招致命。霎时间，沙陀之手下便惨死一片，辗转腾挪之中，不经意间于一扇窗户之前穿身而过。
1:46:9|1:46:21|[狄仁杰]顿时眩晕如雨，燥热难耐，眼前查看，便见那毒虫撕咬之处已然焦黑，[狄仁杰]难以置信，再次将手伸往朝阳之下。
1:46:27|1:46:34|与此同时皇城内明堂中登基大典已然开始，
1:47:3|1:47:27|[狄仁杰]并不理会沙陀的叫嚣，只是立身于棚阁之上细细端详那两根流淌着熔岩的管道，只见滚滚熔岩由西南东南两个方向流入通心柱，控制了其断裂方向，确认方向，拟定计划可行后，他转动亢龙锏，削铁如泥勾连铁索，[狄仁杰]截断其中之一，而后冲沙陀大喊道。
1:47:30|1:47:40|说罢再劈再断，那浮桥坠落而下，直接在一根管道侧面将之撞翻在地，熔岩铁屑散落一地，霎时间火星四溅。
1:47:41|1:47:49|而那沙陀见[狄仁杰]此番作为，脸上愤恨呼之欲出，恨不得将其碎尸万段，哪还顾及曾经同僚之情。
1:47:50|1:47:56|[狄仁杰]远离笼熔岩之后，立身于棚阁之上，
1:48:6|1:48:18|怒火攻心，沙陀脸上青筋冒起，咆哮着发泄，随即捅破水缸，取其中毒虫，灌入金壶当中，封上壶口，说着。
1:48:19|1:48:46|他飞身坐上马匹继续开口叫嚣着，随后调转马头，引镖骑冲出通天浮屠，[狄仁杰]见状也立刻跨上一匹骏马紧随其后追击而出，见沙陀驭马前来属下叫喊推开铜门，
1:48:49|1:49:5|那通心柱被岩浆侵蚀已久，终于不堪重负，裂缝无数，整个大佛剧烈摇晃。[狄仁杰]策马冲出通天浮屠，才忽得想起自己身中金龟之毒，举头而望，好在一片阴霾。
1:49:5|1:49:12|略感心安之下，又即刻扬鞭冲着沙坨追去，二人在城中战场相遇，一前一后，
1:49:15|1:49:45|[狄仁杰]一边分识关注风云动向，一边追至沙陀身旁，他仍念及旧情，于是开口大喝道。沙陀几乎十年心魔已然将他曾经的灵魂燃烧殆尽，如今皆是怒火，四肢躯干只为复仇，于是二人就在那马的背上缠斗一团，沙陀复仇心切，唯恐与[狄仁杰]之争延误了时辰，便尽全力将其逼退，随后也不追击，
1:49:45|1:50:4|转身跨坐于马背之上，继续朝明堂奔去，与此同时熔浆于根基炸开，通心柱顿时难以直立，缓倾塌而下，浮屠内浮桥断如丝线坠落一地，浮屠外袈裟寸寸皲裂，大佛倾斜，直逼明堂。
1:50:4|1:50:17|宫中府中远观之侍卫正如沙陀所言，慌乱无比，不知所措，另一边沙陀不管不顾，依然全速朝明堂赶去，但见他所行之处朝阳灿烂，身后[狄仁杰]慌了神。
1:50:17|1:50:38|虽值此危难之际，[狄仁杰]仍不愿意放弃追击，只得藏身于马腹之下躲避阳光照射，明堂之中侍卫仓皇来报，此话一出，满朝文武内侍宫娥皆慌了神。
1:50:38|1:50:46|只有初登大宝的[武则天]缓缓站起，面色屹然不动，只是通天浮屠倾塌而来，整座皇宫地动山摇。
1:50:46|1:51:0|[武则天]冠冕上垂下之珠帘亦碰撞不止，摇晃不停，再看大佛庄严宝相已然裂开，足下莲花凋零殆尽，失了往日磅礴大气，乱了东都当下人心。
1:51:0|1:51:16|另一边藏身于马腹之下的[狄仁杰]，终于是等到风云罩日之时，于是翻身攀上沙陀之马匹。就在其即将到达台阶的时候，[狄仁杰]于马后攻击不备，直接揪住其胸前一击，全力拖拽至自己面前。
1:51:17|1:51:43|伸手打开了沙陀背负的壶，其中毒虫顿时倾泻而下，[狄仁杰]本身就身中金龟之毒，自是无所畏惧，而那沙陀，在混乱躲避时被[狄仁杰]找准时机一脚踹出马群，就在他准备拼死一搏时，低头却看到自己身上漫出浓郁黑烟，急忙扯开胸前一经查看便见数只赤焰金龟攀附其上，经受阳光照射，乌烟弥漫。
1:51:43|1:51:47|不过片刻[狄仁杰]身上便燃起熊熊大火，
1:51:54|1:52:3|临死前[狄仁杰]望着明堂吞吐鲜血放生嘶吼，透过那妖异火焰，似乎还能看到他癫狂的眼睛，
1:52:11|1:52:18|不知看到这相自己称帝的浩大塑像，于她登基之日轰然倒塌，[武则天]心中有何感想。
1:52:24|1:52:44|眼见大佛向明堂倾斜而来，众侍卫急忙搀扶着[武则天]向一旁躲避，只见大佛所至，烟雾弥漫，倾泻而下，整个皇城东都都为之一颤，佛陀落地竟将其头撞开脱落开来，只见半空中一张巨大佛脸笼罩了整个明堂。
1:52:50|1:52:57|护卫[武则天]的侍卫本就无比紧张，听闻此声而又烟雾弥漫，不见其人，于是拔刀相向。
1:52:57|1:53:12|[狄仁杰]此刻顾不上解释，只得抽出亢龙锏将侍从逼退到一旁，自己带着[武则天]躲避天上佛面，此举实属无奈，毕竟[狄仁杰]体内留有金龟之毒，若是行至[武则天]身边发生自燃，岂不是功亏一篑。
1:53:12|1:53:32|好在此时尘土飞扬，遮云盖日，那佛面又掩骄阳于半空，故此[狄仁杰]暂且安全。此时大佛完全倒地，皇城已被烟雾笼罩，不见帝王之家从前气度。明堂之前朝臣侍卫于废土中抽身而出，喊道。
1:53:37|1:53:50|[狄仁杰]以血肉之躯护卫[武则天]身上，此时的他已然恍惚。身下[武则天]依靠于附近碎石之上虚弱无比。
1:53:53|1:54:0|皇上众侍卫席卷而来，却见[武则天]安然无恙，
1:54:34|1:54:39|见[武则天]于废墟之中调兵遣将，从容有度，[狄仁杰]微微点头，轻笑几声说道。
1:55:10|1:55:18|女帝怒，愤而起身，一甩凤袍，喝退周身无数朝臣如潮水般退去，
1:55:25|1:55:31|[武则天]听召跪伏于亢龙锏之前，
1:55:50|1:55:58|只见[武则天]眼中有泪，珠如泉涌，开口道，
