0:4:28|0:4:37|说完转过头温柔地看了看[小安]问她，听到这里，[小安]用无声的眼神回答了父亲。
0:57:44|0:57:51|听着[小安]的指责，[毒贩]来到医院，望着病床上的孩子陷入沉思。
0:57:52|0:57:56|他们有的包住了整个头部，有的还在打吊瓶，
0:58:2|0:58:14|门外听到医生这么说，[毒贩]迅速回头看向对方，然后再次望向病床上的孩子们，[毒贩]问孩子家长在哪，后者回复他正在赶来。
0:58:15|0:58:46|听到这儿，[毒贩]低下头看了看地面，随后深吸一口气，问到需要什么帮助吗，[医生]回答说需要药品，随后他立刻转身走向停在外面的轿车上，向等着的手下命令他们去中国买药，之后，[毒贩]迅速绕过车头上了车，轿车行驶在茂密的树林间，车玻璃反光，看不清[毒贩]的表情，[毒贩]忘盖房子自己出了多少钱，
0:58:52|0:59:4|[毒贩]又问用了多少，后者依然不改口，[毒贩]掏出枪再问，后者回答五万，[毒贩]又问了一遍，后者说不到三万。
0:59:4|0:59:23|[毒贩]暴躁的双手扯住对方的短发，揪着他的领子，一拳一拳猛打他的肚子，[毒贩]开了四枪，每一枪都从他的肚子开到后背，回到车内[毒贩]的表情这次终于可以看清了。
0:59:24|0:59:44|车内因为路，车每一次晃动，[毒贩]的眼眶紧眯一回，四枪洞穿盖房人之后，[毒贩]看了看彻底坍塌的教室，又低头看了看自己的食指上因为早前划过的伤口，捏了捏上面的创可贴。
1:0:39|1:0:43|司机看着斜靠在车头的[毒贩]淡淡地说道，
1:0:44|1:1:8|[毒贩]回头看了看，站在身边吃苹果的司机眨了眨眼睛，然后又转回头看向教室这边，紧闭嘴唇，没有说话，但他下定了决心，画面一转来到之前，[黑帮]杀手等待着的勐秀车站，[毒贩]的司机放下自己的箱子后，拿起杀手的箱子转身就走，
1:1:10|1:1:25|司机停下，头也不回地说：说完继续提着箱子向前走去，司机眯着眼睛没有回答，画面一转，司机正在打电话，回头看了看，冲对方吩咐不用等了，
1:1:29|1:1:43|一个白天，树林间一辆车摇摇晃晃地向前开着，敞篷车的后方一男一女朝上躺着，两个小喽啰拿着冲锋枪指着他们。
1:1:43|1:2:2|车的前座是[毒贩]的那个司机，他一边开车还时不时地看向后方，[毒贩]正在齐腰的坑里，用铁铲向上上挖着土，坑边上是拿枪对准他的小喽啰和双手被绑在身后的[小安]。
1:2:2|1:2:33|看到新老大来到坑边，[毒贩]扔下了铲子，眨了眨被打肿的眼睛，央求对方放过[小安]，他看向[小安]一眼后，[毒贩]慢慢跪在坑里，然后再次向新老大乞求道，听到对方让自己上来，[毒贩]扶着坑边准备爬上来，刚摸到坑边就被新老大一脚踹回去，[毒贩]再次转身
1:2:36|1:2:56|[小安]看到后，跪在坑边心疼地望着[毒贩]，[毒贩]没有放弃，撑着坑底站了起来，艰难地转过身，他的头顶还有鼻腔里全部留下长长的血。再一次面对新老大之后，[毒贩]扒着他的裤腿，依旧祈求他放过[小安]。
1:2:58|1:3:12|司机在一旁低头看着[毒贩]，后者再次扒着新老大的裤腿求情，看着[毒贩]如此坚持，司机上前狠狠地踹着他的头部，[毒贩]还是想向前爬，可是最终体力不支，仰面倒了下去。
1:3:12|1:3:28|看到这样的[毒贩]，[小安]流下眼泪，然后摇摇晃晃地站起了身，她吐出一口气，[小安]向前了几步，然后蹲下身子跳进坑里。
1:3:28|1:3:38|她低头看着[毒贩]，[小安]回头冲新老大说：然后迅速躺在[毒贩]左边，将头靠在他肩膀上。
1:3:39|1:3:47|此时司机拿起铲子望着紧闭双眼的二人一铲一铲地向坑里抛着土，
1:3:52|1:4:24|土从四个方向扔来，一点点掩盖住夫妻二人胸口、腰部还有面庞，慢慢地二人被活埋了进去，巧合的是之前给[毒贩]送苹果的女学生看到了这一幕，她悄悄跑回家，此时到了女学生家中，家里老人正在捣鼓草药，耳边是女主人祈祷的声音，夫妻二人双眼紧闭被放在地上，
1:4:24|1:4:42|老人不断地捣鼓药，女主人不断大声祈祷，希望这对好心的夫妻可以痊愈。女学生盘腿坐在他们旁边，双手合十，希望他们没有大碍。
1:4:42|1:4:53|凌晨的河边，船夫正在焦急等待着，看到河岸上来了几个人，他急忙小跑奔向自己小船，开动了发动机。
1:4:53|1:5:26|原来河岸上来的是夫妻俩和学生一家人，[毒贩]摸了摸学生的头，扶着[小安]走上了小船，发动机的声音越来越小，小船上三人在夜色的掩护中驶向对岸，下船后[小安]和[毒贩]来到父亲家敲着门，父亲开门后看到[小安]，随后看到她身后的[毒贩]，
1:5:26|1:5:51|被父亲看到自己和[毒贩]穿得破破烂烂之后，[小安]低下了头，父亲后退一步，半转身子思考了一番，随后眨了眨眼睛，慢慢地又转了一半的身体，斜斜靠在门框上，这是父亲默认了，[小安]急忙看向[毒贩]，后者立刻拉着[小安]走了进去，
1:5:51|1:6:27|随后爸爸也跟进去关上了门。现在来到影片的第四章：往事。在一个灰暗的房间中，有个穿背心的男人，他坐在窗户边的桌子上吃着饭，吃了一会儿，他拿起手边的啤酒喝了一口，电话响了，
1:6:32|1:7:5|他拿着啤酒杯子走向了正在震动的手机，原来是那个[黑帮]杀手。[毒贩]在电话里冲杀手说道，杀手举着手机回答道：说完[毒贩]摁断了电话，[小安]在客厅直直看着他，[毒贩]没有说话，就那样站着，另一边被挂断电话之后，杀手也静静地看着手中的手机。
1:7:6|1:7:37|此时又回到刚开始，小狗疯疯和[警察妹妹]刚登场的时候，一人一狗，从楼道慢慢地向家的方向走去，然后又是疯疯在厕所盯着隔壁的画面，接着是[警察妹妹]和警察哥哥吵架后回家，最后是[警察妹妹]双手被绑在水管上，满脸包裹住了保鲜膜，在杀手家的厕所中疯狂挣扎着，
1:7:38|1:7:53|因为呼吸困难，[警察妹妹]干呕了一声，随后她左右晃动头部，再上下摆动身体，希望能够摆脱此时的局面。然而实在是太难了，[警察妹妹]忍不住，哭了。
1:7:54|1:8:21|此时警察哥哥拿着手机从[警察妹妹]家走了出来，杀手则在厕所看着[警察妹妹]挣扎，门外，哥哥从杀手家没关的窗户里看到，自己查到的圆头套，看了看周围没人便伸出了食指和中指，从窗户中掏出一个圆头套出来，掏出来时不小心碰掉其他东西，引起了杀手的注意。
1:8:23|1:8:52|杀手屏着呼吸，从厕所踮着脚走了出来，越过走廊，他探了探头，看到屋里窗户里掉落的圆头套，立刻意识到门外有人之后，杀手看向窗户方向，便关掉了灯，门外，哥哥看到灯灭了，扭头向窗户里望了望，杀手立刻退了一步，突然，哥哥发现门外的天花板上，
1:8:52|1:9:24|只有杀手家的顶上有一个亮着的灯，其他家的灯都是灭着的，随后哥哥心中有了一个大概的计划，屋里杀手缓缓地向后移动着，从腰后方掏出了手枪，屋外，哥哥横经过窗户小心翼翼地来到杀手门前，只不过，在距离门还有一步时，他停了下来，并且拉开了手枪，
1:9:25|1:9:31|随后他用脚蹬下了皮鞋，双脚踩在地上，然后慢慢弯下腰。
1:9:45|1:10:15|原来哥哥刚刚把皮鞋一只一只放在门的正前方，杀手就开了枪，透过门上的枪眼，杀手看到倒在地上的哥哥，随后放心地转身回屋，提起两个箱子后，杀手走到门边便打开了门，门一开，他看到地上的两只皮鞋，哥哥背靠在门的右侧，对准了杀手的太阳穴，哥哥急忙跑进厕所，
1:10:16|1:10:30|看到[警察妹妹]被缠着保鲜膜，哥哥立刻跪在地上一圈一圈撕开它们，[警察妹妹]躺在地上，终于能够大口呼吸的她，委屈地哭出了声。
1:10:30|1:10:46|扯干净保鲜膜后，哥哥在水管上方奋力地解着绑在[警察妹妹]手中的绳子，然后兄妹俩慢慢抱在一起。
1:10:48|1:10:57|[警察妹妹]局的审讯室里，杀手和哥哥一左一右面对面坐着，
1:11:2|1:11:15|之后哥哥将手机推到杀手面前，杀手拿起来拨了几个按键，[毒贩]问道：
1:11:34|1:12:1|[毒贩]在客厅里举着手机回答道：说完他挂断了电话，审讯室内，面对面坐着的两个人相互盯着对方没有说话，此时来到合唱队的排练厅，[警察妹妹]正趴在地上朝舞台底下看去，然后站起身拍了拍手，准备拉开其中一个舞台，
1:12:4|1:12:20|突然排练室的门开了，是哥哥走了进来，[警察妹妹]看了一眼，打算继续搬着舞台，力气小只拉开一点，她踩上去向下望了望，[警察妹妹]伤心地说道：
1:12:31|1:12:37|说着哥哥上前轻松地拉开了一个舞台，站上去向缝隙里看着，
1:12:40|1:12:48|没有发现后又挪回原位，继续拉下一个舞台，这里面还没有，[警察妹妹]说道：
1:12:53|1:13:34|哥哥把舞台挪回原位后又踩上去四处走了走，哥哥盯着脚下，后退一步后拉开这个舞台，拉开后从地上捡起一个东西，哥哥将东西扔到[警察妹妹]手中，[警察妹妹]抬头冲他笑着，[警察妹妹]听完低下头问道：她用眼睛斜看着哥哥的手，
1:13:37|1:13:56|哥哥将舞台归位后准备离开，[警察妹妹]叫住了向外走的哥哥，说完[警察妹妹]不再直视哥哥，而是搓着手指等着哥哥的答案，哥哥走过来坐在她身边，
1:14:58|1:15:38|听到这儿哥哥又转回了头，[警察妹妹]自嘲地叹了口气，哥哥听到后再次转过头看了看她，感觉到哥哥的视线之后，[警察妹妹]也回头看向对方，然后低下了头，哥哥看着她头一歪，深吸一口气，说完他低低笑了一声，听到笑声，[警察妹妹]看了他一眼也笑了，说完，
1:15:39|1:15:56|哥哥的双手撑着大腿站起来，很快离开了，[警察妹妹]看着第一次兄妹二人相见不是吵架，撅着嘴低声哭了出来，机场跑道上灯火通明，哥哥到了出差地，
1:16:25|1:16:52|[警察]向哥哥举起了酒杯，冲他祝福道，哥哥躺在诊所里，听到[牙医]的要求，哥哥坐了起来，哥哥漱完口后擦了擦嘴，转头问道：[牙医]洗着手回头说道：
1:17:4|1:17:11|[牙医]停下洗手的动作，回头看向哥哥，哥哥坐在诊所里直直望着[牙医]，
1:17:12|1:17:20|画面一转，在一家饭店里，杀手正在吸着米线。在他对面，哥哥也有一碗米线，
1:17:21|1:17:35|只是哥哥没有拿起筷子，他只是看着杀手狼吞虎咽，而后者看了他一眼说道：哥哥看着正在嚼米线的杀手，然后回头看向另一张桌子边的同事们，
1:17:39|1:18:15|晚上，监狱里杀手戴着手铐拨通电话说道：听到米线店这三个字，[毒贩]瞬间瞪大了眼睛，想起了自己十几年前的经历，然后开口道：听完杀手将电话从耳边放下，挂断它后将它递给哥哥，
1:18:17|1:18:35|后者看向他叹了口气，另一边坐在客厅里的[毒贩]挂断后也喘着粗气盯着电话看了好久。第二天勐秀车站前方，哥哥看了看四周的环境之后，又从一个二层楼高的旧楼中走了出来，
1:18:37|1:18:54|他走下矮矮的坡道之后，又转向旧楼的右方，他发现有个门被铁栏杆关着，使劲晃了晃，栏杆开了一半，然后再用力推开另一半，慢慢走了进去。
1:18:54|1:19:22|他一边向里面走着，一边打量着这间破旧屋子，停下后在原地转了一圈，发现窗户上焊接着一个门板，打开门板，阳光从外面照了进来，这时他看清了地上包装袋里的土豆，画面一转，又是之前哥哥在诊所和[牙医]聊天时的场景，两个人相互表明身份后，
1:19:22|1:19:45|没有说着什么，另一边，卧室里[毒贩]和[小安]并排坐着，[牙医]在哥哥走后双腿并拢，双手放在膝盖上，呆呆地看着地板，卧室里，[毒贩]从凳子上起来准备向外走，看到[毒贩]准备出去了，原本坐在他身边的[小安]开口说道：
