0:1:26|0:1:37|她按下录音键说。挂了电话，[小夏]跨出了门。
1:19:11|1:19:17|[老崔]着实没想到，心中不免有些感动，饭后[小夏]送别[老崔]。
1:19:34|1:19:43|[小夏]开玩笑地踢着[老崔]的屁股，一听之后踢不着了，两人一时间有些伤感，[小夏]拽起[老崔]的手搭在自己的肩膀。
1:19:45|1:19:53|[老崔]看向她有些胆怯，仍然放下了箱子，抿了抿嘴，把另一只手也搭在她的肩膀上，轻轻地搂了一下。
1:19:54|1:20:3|[小夏]漂亮的眼睛里泛起雾气，[老崔]也眨着眼，不让泪水夺眶而出。轻轻抱过后，[小夏]似乎有些不满。
1:20:7|1:20:15|[小夏]别过头，催促着[老崔]，而[老崔]则是俯下身子，靠近[小夏]的肚子，说道。
1:20:42|1:20:56|[小夏]再也绷不住了，伸手狠狠抹了一把眼泪。送君千里终须一别，重情的[老崔]也拎起箱子，迈步离开，[老崔]应声回头，拖着箱子走。
1:21:5|1:21:12|[小夏]赌气似地快步走来，拽下他手里的箱子，抽出拉杆。
1:21:13|1:21:22|憨厚的[老崔]点头答应，说完，就拖着箱子朝机场的方向走去。[小夏]望着他，突然背过身，
1:21:23|1:21:30|她把双手揣进大衣里朝家里走去，泪水不断划过她的脸颊。而[老崔]这边也到了机场。
1:21:31|1:21:50|候机厅里，他给新手机重新插上手机卡，装好电池盖上后盖，每一个动作都是那么小心又稳重，他打开手机看到壁纸里的肖像，可爱的猫咪铃声和漂亮的容颜，再次让[老崔]百感交集。
1:21:51|1:22:5|[老崔]把手机捧在手心里，这个命途多舛的老男人一时之间有些漠然，他嘘着眼睛空洞地望向不远处。泪水很快就装满了眼眶，饱经沧桑的面容上，不自主地泛起了愁苦。
1:22:6|1:22:19|短暂又意外的相识，却承载了丰富惊险的回忆，细数点滴，两个人从嫌弃到并肩作战和最后的依依不舍，[老崔]的眼泪流了下来。
1:22:20|1:22:26|另一边，[小夏]回到了家，可这一抬头阴影中却走出来一个人，正是自己的男朋友[大宝]。
1:22:27|1:22:37|[小夏]侧着头打量着他。灰头土脸的[大宝]沉默不语，突然门被关上了。
1:22:38|1:22:47|[小夏]猛然回头，原来门背后一直藏着[光光]。[光光]瞪着[小夏]，凶狠地走上前，将包里的假美金一把摔在桌子上。
1:22:52|1:23:7|机场的[老崔]正拉着行李箱朝通道走去，[老崔]双目无光，突然，电话铃声响了。一直握着手机的[老崔]看了一眼之后，立刻接通。
1:23:20|1:23:36|[老崔]瞠目结舌地愣在原地，反应了一会儿，突然转身拎着箱子，逆着人群朝出口跑去。城墙在夜色下略显阴森，[老崔]也赶到了角楼，他火急火燎地掏出手机。
1:25:2|1:25:9|[老崔]咆哮着冲来，迎上他的却是[光光]的匕首，两人将[老崔]倒挂在城墙边上，抓着他的腿缓缓往下放。
1:25:28|1:25:34|[光光]把[小夏]也往下推着，不料，突然传出警笛声。
1:25:48|1:25:55|[小夏]拽不住臃肿的[老崔]，[光光]和[大宝]被[唐金山]带人抓住了。
1:26:4|1:26:25|[唐金山]指挥着司机开走了车。城墙上的警报声渐渐小了，墙角处的拳头拿着喇叭鬼鬼祟祟地走出来，他东张西望一番，见周围没有什么情况，却不小心按错了喇叭按钮，他招呼[群头]。
1:26:35|1:26:42|[小夏]快拽不住了，[群头]合力把人拽了上来。
1:27:6|1:27:20|[老崔]跟着踹了一脚，将二人送进了密室里，而后谄媚地笑着走近唐金山，唐金山也让人把[老崔]塞了进去。
1:27:38|1:27:43|而回到家的[小夏]瘫坐在沙发里，[老崔]一屁股坐在她旁边，[小夏]关心道。
1:27:46|1:27:53|[老崔]正百无聊赖地用验钞灯照着美金，[老崔]没有立即回话，似是走了神，
1:27:55|1:28:13|可想了半晌，[老崔]也不知道该怎么办了。[小夏]缓缓转过头，眼神空洞道。[老崔]突然抬起头，眨了眨眼睛，似乎在盘算着什么，他将手上的验钞灯放回桌上。
1:28:14|1:28:23|[小夏]见他没有回应，神情有些丧气。[老崔]则是隐隐叹了口气，缓缓开口，有气无力道。
1:28:29|1:28:42|[小夏]异样地看了他一眼，心中略有不满。但这是[老崔]的最大让步了，他撅着嘴坐起身，拿起桌上的验钞灯，照着桌上的美金不由得露出了笑容。
1:28:42|1:28:57|手上的验钞灯一会儿照在这儿，一会儿又照在那，又像是两人这些日子东奔西走的足迹。疲惫的[老崔]缓缓把头埋在羽绒服的衣领里，细心的[小夏]突然发现了美金上的端倪。
1:29:12|1:29:31|两人将纸币的顺序平铺在地面上，枯燥的过程却吸引了他们，[老崔]打着验钞灯，[小夏]不断变换排列的位置和顺序。
1:29:31|1:29:51|[老崔]拿来铅笔，将钞票上的字一个个描出来，有的纸币上甚至是一些奇怪的线条，[老崔]却一丝不苟地瞄着。时间不知道过去了多久，桌上的纸币竟然拼成了一幅图。两人盘腿坐在地板上，仔细地看着这幅稀奇古怪的画。
1:29:51|1:29:55|虚线和实线纵横交错组成了这幅巨大的地图。
1:29:59|1:30:8|两人震惊地对视了一眼。
1:30:16|1:30:23|一众小弟冲上来，将[老崔]死死制住。[老崔]奋起反抗，却不是对手，小弟大喊着。
1:30:42|1:31:2|及时赶到的警察却意外成了两人的救星。一众人被押送下了楼，而门口的邻居绑着绷带，幸灾乐祸地嗑着瓜子。走在最后的[小夏]随手关了灯，锁上了门。
1:31:4|1:31:22|[老崔]回头望去，[老崔]和[小夏]对视一眼。[小夏]忍不住脸上的喜色，笑得格外灿烂。[老崔]急忙回过身，走上前，邻居突然警惕了起来，朝后躲去，[老崔]紧握她的手说道。
1:31:44|1:31:46|唐金山的公司里，警察听到了异响。
1:31:47|1:32:0|几位警察同志拉开衣柜的衣服，凑近听着。小黑屋里的老五已经被揍得鼻青脸肿，连衣服也被扒光了，他正用头撞着墙。
1:32:31|1:32:51|[老崔]拖着箱子，朝登机口走去。而当一切归于风平浪静之后，[小夏]也一个人失魂落魄地朝家里走去。
1:32:51|1:33:8|寂静的马路上车流不断，却又和她毫不相关，就在这时，一辆警车停在她的面前，车窗被摇下来，后座上竟是熟悉的面孔。
