0:2:1|0:2:11|小悠将藏宝图放在桌上，吸引了某种二人的目光。[胡子]立即拿出手机，一同拍摄。
1:15:32|1:15:49|[盟主]竟会这么好心，帮[冬瓜]解开了绳索。[冬瓜]顾不上被绑着的双脚，一路跳着往前跑。不料被[胡子]一脚踹倒在地，[冬瓜]看事态不对，吓得双脚往前爬行。
1:16:18|1:16:30|[盟主]一通威胁，吓得[冬瓜]快哭了出来，声音都变得颤抖。急忙拨通[安仔]的电话。[安仔]一看是[冬瓜]，急忙问道。
1:16:49|1:16:52|[盟主]一把将电话夺去。
1:17:16|1:17:34|飞机缓缓降落，[黑子]老大来到了神墓。他来的第一件事情竟不是去杨家拿剑，而是带着小弟游玩。[黑子]老大在沙滩上开着车，身后紧跟着四名小弟，毫不为风。
1:17:37|1:18:2|[安仔]与[沙沙]打定主意要去营救[冬瓜]。二人如约来到仓库，打算先看一下仓库内的情况，只见他们猫着腰躲在窗户下，朝屋内探头看去。[安仔]小心翼翼地趴在窗口，害怕被屋内的人发现。
1:18:2|1:18:7|映入他眼帘的是几个被五花大绑的熟人，与喝酒吃肉的[盟主]二人。
1:18:9|1:18:29|[冬瓜]被绑着手臂，蜷缩在墙角，旁边还有被倒吊着的[苗子]。[安仔]与[沙沙]商量解救计划。此刻，二人毫无头绪，不知如何是好。
1:18:39|1:19:0|[安仔]随即决定先等待时机，按兵不动。突然，远处传来一阵声响。等待之际，一辆汽车驶来。来车正好停在[安仔]车后，[安仔]二人顿时陷入危机。
1:19:2|1:19:19|好在[黑子]一心只有杨家剑，并未注意到异常车辆。[黑子]一行人气势汹汹地走进仓库，还不忘通知八哥一声。但杨家剑已经丢失，[盟主]又该如何应对？
1:19:30|1:19:45|只见手下打开保险箱，里面放的竟然是一堆[黄瓜]。[黑子]从中拿起一根，吃了起来。由此可见，[黑子]对于[黄瓜]真是情有独钟。
1:19:45|1:19:58|[黑子]一边吃[黄瓜]，一边带着一众小弟向仓库走去，一脚踹开仓库大门，接着向[盟主]等人步步紧逼，充满了压迫感。
1:20:12|1:20:27|[胡子]一把拉起坐在椅子上的仙仙，让他将位子让给了[黑子]。[盟主]随手一指，连搭在桌上的脚都不曾放下，便示意[黑子]落座。
1:20:33|1:20:37|[黑子]一听，顿时觉得自己的威严受到了蔑视。
1:21:8|1:21:18|一个示意，手下们便朝[肖啸天]走去。手下直接将[肖啸天]带到了[黑子]面前，对他教训起来。
1:21:26|1:21:58|这边的[肖啸天]被打得生不如死，另一边被吊着的[冬瓜]与[苗子]仿佛是没事人，两人还分着零食吃。[安仔]靠在墙边分析着仓库内的情况，眼前的一个小孩让他灵机一动，一个绝妙的想法在他脑海中呈现。
1:21:58|1:22:19|小孩按照[安仔]的指示跑进仓库。将一张纸条交给了[黑子]。[黑子]看完纸条，顿时感觉威严受到挑衅，将手中的黄瓜一扔，掏出手枪指向[盟主]。
1:22:40|1:22:46|[盟主]还没搞清楚发生了什么事，就被[黑子]的手下绑了起来。
1:22:50|1:23:5|事已至此，[盟主]仍然要维护自己最后的尊严。下一秒，还是与[冬瓜]几人一起，被绑在了墙角。画面略显心酸与好笑。[黑子]将仓库内的几人捆绑好，便带人离去。
1:23:5|1:23:20|[安仔]和[沙沙]怕被[黑子]发现，在车边与他们玩起了躲避游戏。只见他们绕道车前，冒着危险等待[黑子]一行人上车离开。[安仔]二人刚要进入仓库解救[冬瓜]。
1:23:26|1:23:38|不远处又是一辆汽车驶来，吓得他们慌忙继续躲在车前观察情况。从车内走下的是[张任发]和小倩，看来[张任发]为了得到杨家剑也是迫不及待。
1:23:38|1:23:55|[安仔]二人绕道车后，看着[张任发]一行人进入仓库，内心盘算着下一步计划，只见他们在车后紧盯[张任发]动作。[张任发]一走进仓库，就被仓库内的景象所震惊。
1:23:59|1:24:6|倩倩看着被倒吊在墙上的[苗子]，身体瞬间僵硬，不知如何是好。
1:24:15|1:24:20|[张任发]正在四处寻找[肖啸天]。只见[张任发]拿起棒球棒。
1:25:16|1:25:32|[张任发]还没有动手，只是将手中的棒球棍举起。[肖啸天]竟被吓得晕了过去。[张任发]带着手下走到被捆的众人面前。
1:25:43|1:25:52|[胡子]注意到被吊着的[苗子]，[沙沙]看着[苗子]内心慌乱不已。
1:26:5|1:26:11|[盟主]一听，内心充满疑惑。一听是秘密，[胡子]来得兴趣。
1:26:37|1:26:46|[胡子]此话一出，[张任发]转头看向[沙沙]，[沙沙]惊慌失措，眼神中充满恐惧。
1:26:55|1:26:59|[沙沙]没了刚才的假笑，目光凶狠。
1:27:24|1:27:28|[沙沙]只能按照[张任发]的话照做，蹲下身来。
1:27:52|1:28:8|[苗子]赶紧解释。小倩被[张任发]无情推开。[张任发]注意到[苗子]脖子上的器具。
1:28:18|1:28:27|小倩被吓得不知如何是好，[张任发]一把将电话夺了过去。
1:28:53|1:29:5|[张任发]转头看向小倩，显然她被小倩的这一举动彻底惹怒。
1:29:36|1:29:40|气愤地让手下将小倩也捆了起来。
1:29:47|1:29:51|[张任发]此时顾不上与小千算账，心中只有杨家剑。
1:30:1|1:30:19|留下米歇尔看守众人，便离去了。轰鸣的发动机，彰显着[张任发]的急切。见[张任发]走远，[安仔]二人才从车后走出来。[安仔]从身后掏出假枪，打算借此来威慑米歇尔。此刻，这把枪终于派上了用场。
1:30:19|1:30:23|[黑子]在等待中，渐渐发现事情不对劲。
1:30:38|1:30:49|立刻安排[盟主]，带两名手下返回仓库。米歇尔吓得高举双手。[冬瓜]连忙呼救。
1:30:55|1:30:58|[冬瓜]见到[沙沙]，连忙撒娇，让她给自己解开。
1:31:4|1:31:21|[安仔]发现，椅子上还有一个被捆的人，抬起他的头，发现竟是[肖啸天]。
1:31:24|1:31:39|看着[肖啸天]现在的凄惨状态，心中暗爽，只剩下[肖啸天]吓得不知所措。门外，[沙沙]带着两名小弟，正向仓库走来。[沙沙]正在端详宝剑，察觉到门外的声音，大喊道。
1:31:44|1:32:4|[安仔]和[冬瓜]见状，急忙一人拿起一根棒球棍，躲在仓库门口，准备偷袭。[沙沙]带着两名小弟走进仓库，[冬瓜]直接一棍，打晕了一名小弟。[安仔]见状，吓得[沙沙]尖叫着逃跑。
1:32:4|1:32:10|[黑子]见联系不上[沙沙]，气得开车返回仓库，墙角被捆住的众人略嫌喜剧。
1:32:52|1:33:0|仓库外再次响起车声，令[安仔]等人心头愈紧。[黑子]来了，[安仔]集中生智，想到应对办法。
1:33:5|1:33:21|让[沙沙]躲起来，远离危险，自己再次带着[冬瓜]藏在门口准备偷袭。[黑子]打开仓库门，察觉事态不对，谨慎地观察着进入仓库内。随着[安仔]一声，[黑子]被[安仔]一棍打晕。
1:33:21|1:33:26|[安仔]一些人看着墙角被捆得越来越多的人，心里很是无奈，不知如何处理。
1:33:34|1:33:55|[安仔]觉察到。门外，一辆熟悉的汽车驶来，原来是[张任发]回来了。[张任发]急冲冲地下车，便向仓库走去。[沙沙]见此熟悉的情景，很是自觉地给自己安排了任务。
1:33:55|1:34:0|[安仔]带领[冬瓜]决定故技重施，只见他们在仓库门口站定。
1:34:5|1:34:34|[胡子]一敬明，便被一棍打晕在地。[肖啸天]从裤子内侧掏出一把匕首，准备划开绳索自救。就在[安仔]三人决定放弃绑剑离开时，仓库外又一次响起了车声，警察们到了。
1:34:35|1:34:42|几辆警车稳稳地停在了仓库门口，随后，警察举起枪冲进了仓库内。
1:34:49|1:35:6|[安仔]等人还不知道情况的紧急，[沙沙]这次竟要求一起加入行动。他们丝毫没有注意到，原本被绑在椅子上的[肖啸天]已经跳窗逃跑，只见[肖啸天]将上衣翻面，另一面竟是一件警服。
1:35:11|1:35:15|警察的一句问话，让[肖啸天]得知自己已经被发现。
1:35:20|1:35:32|警察举起手枪，将墙角的众人团团围住，众人被警方一网打尽，听从警方的处理。至此，杨家剑盗窃一事终于落下帷幕。
