0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
0:56:53|0:57:0|盯着拳头想了一会儿，他又再次敲打自己的头，随后，一甩手将毒品扔到了地上。
0:57:1|0:57:8|然后，他猛地站起身，拿起水壶向杯中倒水，一饮而尽后，在房间中焦躁地转着圈。
0:57:10|0:57:26|此时，他看到了一捆麻绳，于是立刻用它将自己的手绑住，固定在床头。恍惚中，蜷缩在床上的他看到，不远处墙壁上，用粉笔画的小人走了下来，
0:57:28|0:57:40|然后飘在空中，随后，竟化身成[清水]爸爸的样子。[林凯]被吓得猛地一哆嗦，接着，就看到他甩着手帕，向自己的方向走来。
0:57:49|0:58:5|一转头，[林凯]又看到了[李建国]，紧接着，妈妈也出现了。看到妈妈，他终于忍不住崩溃大哭。而妈妈则扬起嘴角，慢慢走近，坐在了他的身边。
0:58:15|0:58:40|望着痛苦的[林凯]，妈妈轻柔地拍打着他的后背，接着，慢慢将头依偎进他的颈窝中。[林凯]像孩子般哭诉着。但这一切都只是[林凯]的幻想，抱住他的人并不是妈妈，而是[清水]。
0:58:41|0:58:57|看到[林凯]松开了自己，[清水]拧开药瓶，在他唇边滴了几滴药水。接着，又用毛巾温柔地擦拭着他的额头。很快，[林凯]抱着她的胳膊，逐渐停止了挣扎。
0:58:58|0:59:1|见此，[清水]用手抹去[林凯]痛苦的眼泪。
0:59:2|0:59:20|仿佛真的将自己当成了他的妈妈，轻轻抚摸拍打着。终于，[林凯]沉沉地睡了过去。而[清水]就这样坐在他身边，陪他度过一整晚。第二天，[林凯]浑身是汗地醒了过来。
0:59:20|0:59:39|他恍惚地眨了眨眼睛，扭过头后，发现枕头边放着昨晚用来捆自己的麻绳。然后又向床头望去，发现毒品还在后，叹了一口气。书桌前，[清水]正在收拾着桌上的画笔。
0:59:39|0:59:56|[林凯]则慢慢来到她面前，疑惑地问。[清水]停下手上的动作，没有回答问题，而是站起身，越过他向楼梯口的方向走去。[林凯]则牢牢盯着她，转身望向她的背影。
0:59:57|1:0:12|走出去一段路后，[清水]突然停下脚步站定，然后从裤子口袋中，掏出一张揉成团的纸。接着转身来到[林凯]面前，举着纸团说。
1:0:13|1:0:31|随即将其扔给[林凯]后，头也不回地离开了。望着已经走远的[清水]，[林凯]打开纸团，赫然发现，竟是自己画的那幅地图。正午时分，两辆轿车穿过曲折的林道，向前行驶。
1:0:31|1:0:48|[林凯]坐在第二辆车的后排，而[清水]则坐在他身边，面无表情地望着窗外。此时，[林凯]注意到，车上的GPS定位一直显示失灵。就这样开了很久，车队进入了一处隐秘的工厂。
1:0:48|1:0:59|[林凯]透过窗户，不动声色地向外张望着。此时，工厂一楼，工人们正有条不紊地加工制毒原料。
1:1:0|1:1:7|[清水]则带领[林凯]穿过人群来到二楼，掀开门帘后，[林凯]瞬间呆住了。
1:1:8|1:1:24|面前竟然出现了一座三层楼高的温室培养架，培养架上种植的，正是毒品的原材料，罂粟花。花的旁边不仅放着加湿器和检测仪，同时，过道中还有持枪把守的护卫。
1:1:33|1:1:40|[清水]爸爸走到[林凯]身边炫耀着。[林凯]扶着护栏回应道。
1:1:52|1:2:7|二人随即相视一笑，但很快，[清水]爸爸又望向培养架，扬起的嘴角瞬间消失。画面一转，回到云来市，[林凯]正驾着车，载着[清水]向前行驶着。后方，
1:2:7|1:2:23|[清水]小弟则带着兄弟，驾驶第二辆车紧紧跟随。突然，[林凯]从后视镜发现，[清水]小弟的车后方，跟着一辆企图超车的小轿车。收回目光后，他掏出一根烟叼在嘴里，
1:2:23|1:2:31|接着，拿出打火机点燃。一旁的[清水]看到后，不耐烦地降下副驾驶的车窗。
1:2:32|1:2:42|[林凯]注意后，也放下了自己这边的窗户。随后，漫不经心地将拿烟的手轻轻搭在车门外。
1:2:44|1:3:0|原来，那辆车里坐着[李建国]，他摘掉眼镜，拿出望远镜仔细观察，然后发现，[林凯]正在隐蔽，却有规律地敲击车身。[李建国]立刻吩咐同事。
1:3:2|1:3:18|然后神色轻松地带回眼睛。此时，轿车加速与[林凯]擦肩而过。[李建国]则在与他平行时，无意降下了车窗。仓库中，装满原木的卡车慢慢启动，向前开去。
1:3:18|1:3:40|宾馆里，[汪波]蜷缩在床上，双手被铐上手铐。随后，便衣警察将他唤醒，打开手铐后，带他离开了房间。另一边，[林凯]带着[清水]，来到一处破旧的楼内，穿过曲折又狭窄的过道，最终见到了拿文件袋的[汪波]。
1:3:41|1:3:49|入境关口处，[林凯]和[清水]带着装有原木的大卡车被拦下。
1:3:50|1:4:4|但持枪武警看到批文，便立刻盖下公章，将其放行。随后，车队来到一个木材加工厂中，工人们正不断从原木里，取出印有双鹰牌字样的毒品。
1:4:5|1:4:16|另一边，[清水]则监视着工人们将一捆捆美金堆满货车。接着，又打开一旁的箱子，数着里面金条的数量。
1:4:17|1:4:29|几天后，[林凯]再次带着车队，来到云来市。本次他与小北约好，还是像上次一样，先用卡车运来毒品，再将现金拉回金三角。
1:4:30|1:4:43|互相交换完卡车钥匙后，[林凯]带着手下们，先行离开了。随即，[李建国]慢慢从工厂深处走了出来，看了眼小北后，从口袋里掏出手机。
1:4:44|1:4:58|宾馆内，[林凯]及另外两人草草吃了方便面，就睡下了。夜半时分，睡得正香的他，突然满头是汗，脸不自然地抽搐。显然，这是毒瘾发作了。
1:4:59|1:5:21|于是，在急促的喘息下，他慢慢从熟睡中醒来。刚睁开朦胧的睡眼，就看到一股股烟，从宾馆门缝下方冒了进来。还没来得及反应，就再次沉睡过去。突然，房门被轻轻推开，随后，两个人找到[林凯]，将他抬了出去。
1:5:21|1:5:44|房间内包括[清水]等所有人，都对此毫无知觉。此时，[林凯]的头被按进水缸，窒息感很快让他清醒。随后，猛地抬起了头。竟然能听到关心的话，[林凯]猛地转身，赫然发现，[李建国]站在自己旁边。
1:5:45|1:5:55|随后，接过他扔来的毛巾，随便擦了擦被打湿的头发。听到这里，[林凯]停下擦头发的动作。
1:6:8|1:6:27|暴怒之下，[林凯]将毛巾狠狠摔在地上。水顺着他额前的湿发流进眼眶，但他却毫不在意，狠狠瞪向[李建国]。见此，[李建国]缓缓弯腰，捡起毛巾，重新扔到[林凯]手里。
1:6:29|1:6:39|说完，[林凯]撸了一把头发，大步越过[李建国]，来到天台边。随后，[李建国]走上前，与他并肩而立，
1:7:14|1:7:23|[李建国]皱紧眉头，十分震惊。叹了口气后，向[林凯]解释。
1:7:47|1:7:54|树林中，轿车突然侧翻，[李建国]直接被甩飞出去。
1:7:57|1:8:3|车内，他的战友[张海涛]，还没来得及爬出来，整辆车就直接炸了。
1:8:4|1:8:10|看着悲愤的[李建国]，[林凯]上前一步，严肃问道。
1:8:16|1:8:30|低头思考一阵后，[李建国]戴上眼镜，再次开口。
1:8:40|1:8:59|[林凯]吸吸鼻子，郑重回应，随后，看了一眼[李建国]，便快步离开天台。相安无事，回到金三角。[林凯]此时，正坐在肃穆的佛堂外，一根接一根地抽烟。随后，他被[清水]领着走进了佛堂。
1:8:59|1:9:7|此时，僧人正式开始祷告。愿佛祖能转化不幸，也愿能消除疾病，
1:9:17|1:9:25|才能获得长寿、貌美、快乐和健康。此时，僧人双手合十，对佛像深深鞠躬。
1:9:27|1:9:45|接着，转身示意大家，可以献上花环了。人群先向站在队伍最前方的[清水]爸爸鞠了一躬。接着，便陆续离开了佛堂。[清水]见状，一言不发地走到佛像面前，望着花环边玉楠的遗像，
1:9:45|1:9:53|她深深看了一眼，然后双手合十，闭上眼睛，真诚地鞠躬。[林凯]则好奇地站在后方。
1:9:55|1:10:7|此时，[清水]爸爸来到他身边，望着遗像，缓缓开口道。望着照片上的玉楠，他温柔地笑了笑。
1:10:8|1:10:15|随后眼神一变，转身盯着[林凯]。
1:10:17|1:10:44|[清水]爸爸听完，动了动被烧伤的左耳，接着，再次转身看向玉楠，勾起嘴唇，意味不明得笑了一下之后，慢慢向佛堂外走去。[林凯]则看着他的背影，若有所思。夜晚，他随着[清水]来到一个旋转石梯前，
1:10:44|1:11:1|接着，慢慢向下走去。透过墙壁上微弱的灯光，[林凯]发现，这是一个用岩石垒成的地下基地。此时，[清水]打开一扇门，二人随后进入一个酷似地牢的地方。
1:11:1|1:11:8|接着，[清水]停在一个持枪守卫的面前，轻轻点了点头，又一扇门被拉开了。
1:11:10|1:11:22|身穿西服的[清水]爸爸，正坐在长桌主位上，喝着红酒。待[林凯]走进屋中后，身后的铁门立刻关上。
1:11:34|1:11:56|[林凯]看着长老们打探的眼神，坦然回视后，礼貌性地点了点头。说完，[清水]爸爸用餐布擦擦嘴，随后起身，向[林凯]走去。
1:12:6|1:12:19|被[清水]爸爸搂着肩膀的[林凯]，意有所指的望向他。而长老们听完，则哄堂大笑。原来[李建国]说的[老鹰]，正是[清水]爸爸。此时，
1:12:19|1:12:26|他转身为[林凯]拉开身边的凳子，让其坐下，并亲自为他倒上已经醒好的红酒。
1:12:52|1:13:0|[老鹰]晃着酒杯，走到桌围，然后掏出一小袋粉末，展示给各位长老。
1:13:34|1:13:43|身穿西装的长老竟直接回绝了。[老鹰]饶有兴趣地吞下一块披萨后，又慢悠悠地绕回自己的座位。
1:14:14|1:14:30|[老鹰]打断他的话，站起来，用叉子将菜放进自己面前的盘子中。慢条斯理地将餐布摆在腿上后，低下头，自顾自地吃了起来。随即，饭局陷入死一般的沉寂。
1:14:32|1:14:44|画面一转，鸟群因为日光阵中的干扰器，迷失了方向。随后，西装长老顶着烈日，来到镇子中一个天台。
1:14:47|1:14:56|[老鹰]恍若未闻地，拿起竹筐里正在晾晒的罂粟闻了闻。[林凯]则跟着[清水]，穿过楼道，来到二楼的走廊里。
1:14:59|1:15:12|刚准备上楼，就看到西装长老头朝下，掉在露台上。一阵密集的扫射后，他就这样，当场毙命。[清水]看完，催促[林凯]道。
1:15:13|1:15:19|[老鹰]则站在天台边，望着尸体，用手帕擦了擦脸。[清水]叫了叫[老鹰]。
1:15:24|1:15:31|[老鹰]转过身，指着[林凯]说。说完，[老鹰]示意[林凯]上前。
1:15:48|1:15:58|[老鹰]甩甩手帕，示意[林凯]走到自己身边。
1:16:10|1:16:14|说完，他沉吟着转身，目光投向镇子远处。
1:16:23|1:16:31|[老鹰]坚定地说。[老鹰]抬头望天，又用帕子捂住双眼。
1:16:32|1:16:41|冲[林凯]吩咐完后，径直越过他，走下了天台。[林凯]不解地转身，但也只看到[老鹰]匆忙离开的背影。
1:16:42|1:16:59|于是，他不得不跟上，然后又来到那个地下基地中。此时，[老鹰]停在一间牢房门口，让守卫离开后，果断拉下了门上的小窗。半身赤裸的男人听到响声，立刻缩进墙角。
1:17:0|1:17:10|他的头发已经掉光，浑身都是烧伤，[林凯]不可思议地向里望去。
1:17:32|1:17:45|回忆中，[李建国]、[老鹰]还有怀孕的玉楠正在制毒工厂中忙碌。爆炸声过后，工厂的半面墙壁被炸毁，全副武装的警察迅速冲了进来。
1:17:45|1:18:5|[老鹰]急忙赶去搀扶妻子，并在两个毒贩的护送下，向屋外跑去。眼看着就要坐上车离开。身后却传来[李建国]警告的声音。夫妻二人震惊极了，于是，双双转身，死死盯着他。
1:18:6|1:18:25|[李建国]先解决掉两个毒贩，随后，一击击中[老鹰]的右肩。哪料，玉楠随即反击，打中了他的左臂。此时，[李建国]身体失去平衡，向后倒去，无意间扣动扳机，子弹瞬间穿进玉楠的胸口。
1:18:25|1:18:35|[老鹰]丢下枪，跑到玉楠身边。颤抖的手摸向她鼓起的肚子，接着，将头，
1:18:36|1:18:41|埋进她的颈窝。此时，张海涛急忙将[李建国]拉了起来。
1:18:43|1:19:1|随后，二人一起向前方望去，[老鹰]无力地跪在玉楠身边，周围全是举枪瞄准他的特警。接着，他慢慢直起身子，转过头，阴郁地盯着[李建国]。一切都似乎尘埃落定。
1:19:4|1:19:19|两辆车一前一后从工厂里驶出，为首车的后排上，[李建国]和张海涛分做[老鹰]两侧。随后，车队拐进了一处树林中，突然，一辆越野车从岔路口处追上来。一名毒贩探出身子，不断扫射。
1:19:21|1:19:30|后车的特警很快回击，一枪直中驾驶室里毒贩的心脏。此时，又出现了第二辆越野车。
1:19:31|1:19:41|一个毒贩直接用火箭筒，轰掉了特警的车辆。[李建国]震惊地向后望去，张海涛则死死按住[老鹰]的身体。
1:19:43|1:20:4|突然一个急转弯，车辆失去平衡，翻滚出去。[老鹰]惊恐地望着正在漏油的车，而张海涛则被压在座位上，亦是一片昏沉。随后，毒贩们急忙下车，率先将[老鹰]从已经开始着火的车里抬出来。
1:20:6|1:20:14|[老鹰]近乎癫狂地让手下将张海涛拉出来。而就在这个过程中，汽车终于受不住，
1:20:26|1:20:38|回忆结束，[林凯]回头向牢房里望去。张海涛正靠在湿滑的墙壁边，瑟瑟发抖。
1:20:52|1:21:9|然后定定地望向[老鹰]。此时[老鹰]拿起帕子，用力擦了擦自己烧伤的左耳。伸手不见五指的树林中，两辆车一前一后向前开着。
1:21:12|1:21:17|坐在副驾驶上，被蒙住双眼的[林凯]，十分好奇地问正在开车的[清水]。
1:21:48|1:21:56|随后，[清水]皱紧眉头，脑海里想起一个男人说过的话。
1:22:6|1:22:24|接着，一滴泪水顺着[清水]的眼眶，直直流留下，但车辆还是驶入了黑暗之中。画面一转，在一个阴郁的午后，[林凯]开车带人来到一个KTV的门口。不远处的室内球馆中，
1:22:26|1:22:43|[李建国]和几个便衣警察，正通过监视器观察着。接着，他坐到椅子上，将监听耳机，放在自己耳边。此时，[林凯]带着人走进了KTV。诺大的地方，就只有一个正在打扫卫生的保洁阿姨，和[汪波]。
1:22:43|1:22:58|长舒一口气，[林凯]放松地靠在[汪波]旁边的布艺沙发里。[汪波]则点了支烟。[李建国]瞬间愣住。
1:23:15|1:23:27|[林凯]听完站起身，揽住[汪波]的肩膀，坐在他身边，认真说道。
1:23:33|1:23:37|正在监听的[李建国]，难以置信地按住耳机。
1:23:46|1:23:53|此时，熊熊燃烧的车辆，张海涛的关切，立刻涌入[李建国]脑海。
1:23:55|1:24:17|一切的一切，都使其心如刀绞。接着，他皱紧眉头，将耳机缓缓从头上摘下。过程仿佛被放慢了一般，似乎快上一秒，就能让他用尽全身的力气。之后，他站直身体，突然又大吼一声，猛地拿起自己的椅子，奋力向前摔去，
1:24:18|1:24:24|引得同事们纷纷侧目。太阳东升西落，日子很快就过去。
1:24:25|1:24:37|阴郁的天气里，[林凯]驾车与[清水]停在小道旁，随后，一辆轿车缓缓驶来。接着，[汪波]打开后车门，来到[林凯]面前。
1:24:38|1:24:45|坐在副驾驶位置上的[清水]听完，若有所思地垂下了眼睛。
1:25:19|1:25:31|[李建国]站在室内球馆中，决然地切断了与局长的通话。随后他摘下眼镜，头也不回地离开了，脚步没有一丝一毫的迟疑。
1:25:32|1:25:41|很快，他就跟随[林凯]，来到宾馆一处房门外，连续被三个毒贩搜身。确认无误后，二人走了进去。
1:25:42|1:25:50|听到声响，原本坐在桌旁的[清水]，立刻站起身，目光一直追随着[李建国]。随后汪波说。
1:26:7|1:26:12|[李建国]拦住他后，[清水]则低头，拨通了[老鹰]的电话。
1:26:16|1:26:26|[李建国]看了[清水]一眼，接着，深呼一口气，从她手中拿过电话，放在耳边。
1:26:30|1:26:35|[老鹰]站在牢房中，背对着奄奄一息的张海涛，他欣喜地回答。
1:26:42|1:27:6|随后他转过身，将电话拉远，下属会意后，抽起棍子，就抡向张海涛。痛苦的呻吟通过听筒，传到电话另一头。[李建国]不忍心地闭上眼睛。随后，[老鹰]收回电话。
1:27:6|1:27:14|听到[李建国]的要求，[老鹰]突然颤抖起来，接着，想起自己死去的老婆孩子。
1:27:17|1:27:42|话语间，泪水在眼眶中打转。[李建国]刚要挂电话。闻言，[李建国]立刻看向[林凯]。
1:27:45|1:28:0|[清水]刚接过电话，就被[李建国]抽出腰间的手枪，随后，他回身一脚，踹向[林凯]胸口，并迅速放枪，导致[林凯]头朝下，从窗户掉下二楼。
1:28:1|1:28:17|说完，[李建国]越过[清水]，率先走出房门。汪波也要跟出去，却被一个毒贩用枪指着脑门拦住了。随后，一行人迅速上车，快速驶离了宾馆。
1:28:17|1:28:30|经过路口时，[清水]悲伤地看向[林凯]掉落的方向，直到彻底不见，才收回目光。此时，便衣民警迅速赶到，趴在面包车顶上的[林凯]，突然睁开眼睛，
1:28:30|1:28:50|盯着[李建国]离开的方向，不甘心地喘着粗气。此时，坐在车辆后排的[李建国]被蒙住双眼，特警正通过他手腕上的表，锁定他的位置。随后，车辆越过稻田，驶入一个茂密的树林中。
1:28:52|1:29:10|车身摇摇晃晃的，[清水]坐在[李建国]的身边，竟一直低垂着双眼。一缕阳光突然洒进车内，她向窗外看去，然后，回忆起了从前。[老鹰]扣动扳机。
1:29:13|1:29:29|小[清水]躲在地板下，透过缝隙看到，爸爸被[老鹰]亲自射杀。当[老鹰]离开后，[李建国]突然通过缝隙，发现了紧紧抱着玩偶的小[清水]。此时，[老鹰]正虔诚地站在天台上祭拜。
1:29:41|1:29:56|另一边，寂静的山路上，[林凯]正驾驶一辆摩托车飞驰而过。而[李建国]此时被毒贩抓着肩膀，拉下车，随后，向一栋小楼走去。[清水]则站在车边，眼神复杂地望向他的背影。
1:29:58|1:30:6|天台上方，原本盘旋在干扰器旁的鸟儿们飞走了，随后，[李建国]被卸掉眼睛上的布，走了过来。
1:30:7|1:30:41|原本正在祭拜的[老鹰]转过身，看到他之后，立刻走上前来，并且眼神一直黏在他身上。李建国也一直回望着。此时，[老鹰]在李建国不远处，停住了脚步。然后像个老朋友一般笑着说道。[李建国]打断他的叙旧。
1:30:46|1:30:56|[老鹰]原本上扬的嘴角僵住了，看了眼[李建国]后，他动了动嘴角，接着，他举起左手，弯了弯手指。
1:30:57|1:31:6|随即，一个毒贩压着[张海涛]，向二人的方向走来。然后，毒贩用力一踹他的膝盖，又扯下了他的帽子。
1:31:7|1:31:14|面目全非的[张海涛]，抬眼看见[李建国]，瞬间捂住脸颊，但无奈，被毒贩架开了双臂。
1:31:15|1:31:22|[李建国]想上前，却被身后的毒贩紧紧按住。
1:31:35|1:31:51|接着，他举起右手，后面的毒贩立刻递给他一把左轮手枪。随后，他将枪里的子弹全部卸下，挑出两颗，重新装填到弹夹里之后，走到[张海涛]的面前，缓缓蹲下。
1:32:4|1:32:10|[张海涛]瞬间瞪大了双眼。
1:32:26|1:32:42|张海涛听完，湿了眼眶。望着[李建国]，无助地颤抖着。随后，右手被[老鹰]强制塞进手枪。此时，毒贩放开了张海涛的双臂，他低头看向手里的枪，右手止不住哆嗦着。
1:32:43|1:32:55|[老鹰]原本正要大笑，哪料张海涛，突然抵住自己的下巴，[老鹰]一枪击中[李建国]左脚。
1:32:57|1:33:12|毒贩将张海涛拖到[李建国]面前，强迫他用枪指着对方的头，但他死死不愿开枪。[老鹰]用枪指向张海涛威胁。
1:33:14|1:33:32|无奈之下，他收紧食指，颤抖着，扣下扳机。千钧一发之际，[林凯]用火箭筒，接连击落信号干扰器。趁所有人注意力都被吸引过去，[李建国]和张海涛同时起身。[李建国]先抽出毒贩的刀，抹断两个人的脖子。
1:33:33|1:33:50|张海涛则翻身一滚，用枪解决另外两人。此时特警欣喜地发现，[李建国]的定位终于又出现在地图上。[林凯]扔掉火箭筒后，来到另一栋楼的天台，举枪向毒贩射击。
1:33:50|1:33:57|此时[老鹰]趁乱，一刀捅进[李建国]左肩，但随后被他一枪打中右膝。
1:33:58|1:34:6|而埋伏在楼顶的毒贩，立刻向[李建国]开枪，于是他猫腰一躲，拽着[张海涛]就向楼下跑去。
1:34:7|1:34:14|眼看着[老鹰]捡起一把枪就追上去，[林凯]立刻瞄准，乱枪扫射，命中他的左肩。
1:34:15|1:34:25|于是跑到门口的[老鹰]回身就射，看到[林凯]躲进墙壁，同时，毒贩前来帮忙后，立刻毫不恋战，转身离开了天台。
1:34:26|1:34:39|此时[李建国]两人来到一堵墙后，看到对面的[林凯]，使了个眼色。于是，他先将插入左肩的刀拔出，接着，拽起[张海涛]纵身一跃，踩裂房顶，掉入了平房。
1:34:43|1:34:48|两名毒贩刚从上方对其进行射击，就被对面天台的[林凯]，一一狙杀。
1:35:2|1:35:6|迎面碰上[清水]后，要求她将玉楠的骨灰坛抱走。
1:35:7|1:35:13|工厂内，成群结队的毒贩们，从柜子里拿出各种各样的武器。
1:35:14|1:35:31|[林凯]则在天台上，发现了一根绳子，于是，他将其拴在木杆上，打了一个死结。然后拽着绳子纵身一跳，落到了街道上。另一边，[李建国]抬手解决掉一个毒贩，
1:35:32|1:35:50|将手枪递给身后的张海涛，捡起毒贩的冲锋枪，来到了一个小巷。二人瞄准着四周，背靠背行进，随后，停在与街道相连的一扇门前。透过门上的小孔，[李建国]看到[老鹰]带着大批身背冲锋枪的毒贩，向前奔袭。
1:35:50|1:35:54|镇上的居民见状，纷纷避进家门。
1:35:55|1:36:3|随后，张海涛拉开车门率先走了出去。接着，[李建国]带着他，沿着道沿，继续前进。
1:37:7|1:37:18|迎着枪林弹雨，来到了队伍的正后方。接着，轻松地点掉了几个毒贩的脑，终于，队伍的毒贩清得差不多了。
1:37:20|1:37:35|他微微一瞄准，子弹从枪口破风而出，接连穿过两名毒贩的肩膀后，又再次直直插入[老鹰]的左肩。但[老鹰]仿佛练就了金刚不坏之身，丝毫没有停下扫射的动作。
1:37:36|1:37:48|突然，前方路口处驶来一辆车，里面的毒贩疯狂向[林凯]开枪。得到喘息机会的[李建国]见状，赶忙推着张海涛，钻进右前方的小道里。
1:38:3|1:38:17|[李建国]二人，来到了一个种满盆栽的小道，甚至后有追兵的他们，迅速分立矮墙两侧。毒贩刚一冒头，就被[李建国]击毙。随即，张海涛顺利解决掉紧跟而来的第二人。
1:38:18|1:38:29|发现仅有两个毒贩后，[李建国]迅速捡起地上的冲锋枪，突然，背后传来一声枪响，原来是[林凯]击毙了偷袭的人。然后他跑了过来。
1:38:34|1:38:44|张海涛点点头。随后，三人一起向路口走去。结果刚一露头，就被骑摩托车的毒贩开枪逼回墙根。
1:38:45|1:38:53|看到又有一辆轿车袭来，[林凯]一枪命中驾驶员心脏，又转身干掉摩托车上的两人。
1:38:56|1:39:0|[李建国]见状大吼，于是张海涛捂着头，向轿车的方向跑去。
1:39:1|1:39:9|拉开车门后，奋力将驾驶位上的毒贩扯到地上。[李建国]和[林凯]则背靠背，清理着面前的毒贩。
1:39:10|1:39:29|突然，[老鹰]的车狠狠撞向张海涛的车尾。原本在车前的二人，各自跳进两边的小巷，[老鹰]则不断带人火力压制。此时，[林凯]、[李建国]视线交汇，迅速扑向路口。身影相叠瞬间，打死两个毒贩。
1:39:30|1:39:35|趁着[老鹰]被死掉的毒贩压在身下，[李建国]急忙钻进驾驶座。
1:39:36|1:39:41|[林凯]见车辆迟迟打不着，于是将枪背在车上，用力推着车尾。
1:39:42|1:39:56|此时，[老鹰]用力掀开尸体，拿起枪，就冲[林凯]射去。无奈，身负枪伤没能打中。接着，他转身上车，轰大油门加速撞向三人的方向。
1:39:57|1:40:12|巨大的冲击刚好为[李建国]发动车辆提供了动力，于是，他迅速挂档，向前开去。闪身躲进道沿的[林凯]，看到他们加速离开，横跨上一辆摩托车后，紧紧跟在后方。
1:40:13|1:40:17|张海涛则艰难地举着手枪，对准车前，以备随时干掉，从前方而来的毒贩。
1:40:20|1:40:27|[老鹰]猛踩油门，想要超车，但没能如意后，只能烦躁地用手，捂住不断向外渗血的左肩。
1:40:28|1:40:39|此时[林凯]追着他们，来到路口，刚要转弯，就撞见了前来增援的毒贩，于是他调转方向，钻进一旁的楼道中，抬起车头，向上方开去。
1:40:44|1:40:56|暂时甩掉一众持枪毒饭后，他骑着摩托车，来到一个厨房里。一扭头，看到地上的煤气罐后，先用脚踹下阀门，接着，抬起车头撞碎窗户，向对面飞去。
1:40:58|1:41:11|仿佛后背长眼一般，他突然掏出手枪，回身击中煤气罐。于是，刚刚踏进厨房的毒贩们，立刻被炸得面目全非。
1:41:12|1:41:24|此时他受到爆炸的冲击，直直撞向对面宾馆的茶几。捂着腹部缓了一会后，他迅速起身，跨上摩托车，撞碎门板，向楼道驶去。
1:41:25|1:41:34|原本正要下楼，哪料，此时突然冲上来一群毒贩，于是，他猛轰油门，冲上楼梯，来到了天台上。
1:41:35|1:41:59|环视四周，还没来得及确定往哪开，对面天台的毒贩就发现了他。于是，他只能硬着头皮，直直向前奔去。对面天台的毒贩见状，便不断开枪，向其扫射。无奈，子弹总是从他身侧，擦边而过。终于，毒贩被惹恼了，
1:41:59|1:42:12|其中一人将火箭筒架在肩上，对准[林凯]的方向，发射出去。炮弹擦过[林凯]的车尾，精准命中其身旁的水箱，整个天台迅速被火舌以及大水淹没。
1:42:13|1:42:20|趁着毒贩视线被爆炸遮挡，[林凯]再轰油门，从天台飞出，来到另一栋楼的楼顶。
1:42:22|1:42:35|一低头，看见[李建国]和[老鹰]疾驰的车之后，迅速向二人的方向追去。此时，二人的车正一前一后，撞进菜市场。摊位上的水果全部被扫到地上。
1:44:30|1:44:40|眼看[老鹰]的车转过弯，依旧紧跟着[李建国]，[林凯]加速冲向路旁的轿车，借力腾入空中。随后，奋力一跃，抓住[老鹰]的车顶。
1:44:42|1:44:55|察觉到头顶有人，[老鹰]猛打方向盘，将[林凯]径直地甩到车前盖上。后座上的毒贩迅速开枪，不料，被[林凯]闪身扒住车门后，抬手击中胸口。
1:44:55|1:45:11|[老鹰]浑身一颤，立刻将车撞向路边的货车。挂在侧门的[林凯]刚爬到车顶，就被他一个刹车撞到面前的墙上。接着，[老鹰]迅速倒车，将[林凯]甩在地上，又猛踩油门撞向他。
1:45:12|1:45:29|好在[林凯]马上翻身，堪堪躲在墙壁与车头的正下方。但不巧的是，他正好卡死在前轮的位置，[老鹰]则生气地捏着枪，用力打开驾驶座车门，走了下来。
1:45:30|1:45:39|[李建国]则不断看向后视镜，观察是否还有车辆追踪。此时，[老鹰]吼向[林凯]。
1:45:41|1:45:52|说罢，就举起手里的冲锋枪，对准他的脑袋。正在要抠下扳机时，就被[李建国]高速驶来的车辆撞飞到了空中。
1:45:52|1:46:11|接着，[李建国]踹开车门，先用枪瞄准趴在地上的[老鹰]，随后，迅速来到[林凯]面前。[李建国]没听，而是立刻打开车门。哪料，刚钻进驾驶室，就被身后驾车而来的毒贩打中后脚。
1:46:12|1:46:17|此时车辆移开，[林凯]迅速跑到他身边。
1:46:20|1:46:31|驾车而来的毒贩，疯狂向横在路中央的轿车扫射，[李建国]躲在车后，强硬要求[林凯]离开。于是，他只能带着[张海涛]迅速撤离。
1:46:32|1:46:39|驶出一段距离，[林凯]透过后视镜看到，[李建国]牢牢守在车后，向前射击。
1:46:40|1:46:54|[张海涛]则转过身，眼睁睁看着他的背影，逐渐消失在视线当中。此时，[李建国]一枪将驾驶坐上的毒贩爆头，随后，猫着腰，悄悄命中跑过来的毒贩。
1:47:45|1:47:51|此时，一名毒贩冲着[林凯]的方向，打出一枚流弹，并恰好击中顶在前方的车辆。
1:47:52|1:48:3|但[林凯]丝毫不惧面前爆炸，熊熊燃烧的飞车直直顶着他撞开路口处的车子，躲开之后的毒贩见状急忙上车，加速向[林凯]追去。
1:48:6|1:48:13|回到小镇里，[李建国]正仰面躺在地上，捂着胸口，不断向外呕血。
1:48:13|1:48:31|趴在地上的[老鹰]突然醒了过来，艰难抬头看了看四周，发现离自己不远处，有一把冲锋枪，同时也发现了对冲锋枪虎视眈眈的[李建国]。于是面对面的二人，争相向冲锋枪爬去。
1:48:31|1:48:45|不巧的是，枪距离[老鹰]最近，因此，他拿到手后，直接打中[李建国]的左肩。看着痛苦的[李建国]，满脸是血的[老鹰]兴奋地问道。
1:49:8|1:49:27|[老鹰]听完，瞪大了双眼，左手撑在地上，右手却缓缓地将枪口抬起。接着，对准[李建国]的肺部，就是一枪。看到[老鹰]又将枪口对准自己，[清水]毫不犹豫扣动扳机，不料，子弹还是从自己胸前穿过。
