0:1:19|0:1:26|随着一声巨响，画面来到英岛IPT研究所人体实验基地。
0:58:16|0:58:22|猛烈的撞击，吓得[豆豆]从[夏天]斜后方坐到了正后方。[崔琥]对着手下安排道。
0:58:29|0:58:47|忽然，[夏天]一个猛火方向盘拐了个弯，[崔琥]等人也穷追不舍地继续跟上，几辆车驶入了岸边集装箱的边防地，[夏天]在一堆堆集装箱的周围反扑拐弯，却在一处碰上了架着箱子和叉车，因为驾驶速度过快，根本来不及闪躲。
0:58:47|0:58:52|还皱着门和刹车，却还是撞上去，[豆豆]抱着座位吐呼着。
0:58:52|0:59:6|很快，[崔琥]等人的两辆车追上了[夏天]，一个跟在后面，一个开到了侧边，侧边的车辆忽然向[夏天]这边猛打风向弹，[夏天]的车差点撞到另一边的集中箱上，车内的[夏天]和[豆豆]剧烈地放动着。
0:59:6|0:59:23|侧边的车辆继续挤过来，[夏天]的车就刮蹭着组装箱向前开转，眼看就要撞到前面的组装箱上，[夏天]连忙挤出撞动方向盘，没想到旁边还有一堆装着货物的木箱。一下撞开这些木箱，[夏天]的脸也磕在了方向盘上。
0:59:23|0:59:32|后面的催壶手下举着枪下车，[夏天]扶住脑袋又摸了摸嘴角，看了一眼后方。[夏天]调整档位，向后倒车。
0:59:38|0:59:50|[夏天]斜斜地撞向集装箱之后，和[豆豆]又一个猛的晃动，但[夏天]再次发动车朝前开去，带着毛线帽的手下连忙闪躲，跳上了开着车门的车内，手下们连忙上车继续追。
0:59:52|0:59:58|[夏天]看了一眼控制镜子的情况，却没注意到前方集装机正往下吊着一个集装箱。
0:59:58|1:0:11|等[夏天]注意到的时候，他只能紧闭双眼蒙踩油门，使上了木板铺的斜坡下来，而集装箱也放到了同一高度上，刚好夹住了[夏天]的车尾，整个车被慢慢压得翘起。
1:0:11|1:0:18|这时，后面车虎的手下也开着车，但没来得及刹车，斜斜地撞向了集装箱，后面又一辆车跟了上来。
1:0:19|1:0:36|被猛烈撞击的集装箱一边的抓手轰动，一头直直的砸向地面，另一头也即将脱开。[豆豆]紧紧抓住驾驶座后部的扶手，[夏天]一脚油门直接顶向木箱，只见[豆豆]能透过后窗，眼看着集装箱就要爬下来。
1:0:36|1:0:45|危机时刻，木箱被顶开，集装箱落在车尾之后，但显然，这次营救并没有成功，[夏天]再次回到了传送器内。
1:0:46|1:1:3|他在传送器内的[夏天]领则苍白，皱着眉睁开眼，眼中除了痛苦还有深深的恨意。他起头撑着胳膊起来，却因疼痛又低下了头，再次努力坐起身后，生息跪地的[夏天]又痴痛地沉下了脑袋。
1:1:3|1:1:9|[大雄]闻声跑过来，只见[夏天]手撑着传送器的门站起身来，眼神却变得凶狠起来。
1:1:10|1:1:17|脑海中浮现出第二时空[崔琥]的脸，只见他一只手握着方向盘，一只手伸出拿着枪。
1:1:17|1:1:29|想到这儿，[夏天]斜眼看向一边，下巴使劲撑起来，而[崔琥]扣动了扳机，子弹射出，打碎了第二时空[夏天]的前车窗，竟直向后座的[豆豆]射去。
1:1:29|1:1:38|[豆豆]的右胸被子弹击中，后背直接溅出血来，人也因为冲击力而向后倒去，[夏天]张开嘴巴转向后方。
1:1:39|1:1:53|回忆到这儿，第三时空的[夏天]已经充满了恨意。而记忆里，[崔琥]歪着脑袋，对着前方，看不出表情。第二时空的[夏天]，联盟解开安全带，呼唤着已经倒在后座上的[豆豆]。
1:1:53|1:2:3|第三时空，[大雄]担心地询问着，[大雄]拽住他的胳膊。
1:2:9|1:2:12|[夏天]竟然按着[大雄]的脖子，把他抵到墙上。
1:2:17|1:2:20|[夏天]依旧狠狠地掐住[大雄]，开口道。
1:2:28|1:2:36|说完，[夏天]甩手朝外走去，[大雄]叫着他，[夏天]，你别再这样冒险了，你别杀我！
1:2:40|1:2:51|[夏天]一把摔翻推车，扭头走进电梯，而[大雄]低下头后又看向[夏天]。画面来到数据中心，安保队长对[所长]说，
1:3:0|1:3:18|电梯门打开，一个安保走进来，[所长]却注意到了电梯监视器内的[夏天]，安保报告着，安保队长对接过眼球的[所长]说，
1:3:21|1:3:28|此时，第三时空的[夏天]正开着车打着电话。第二时空的[夏天]拿起手机。
1:3:40|1:3:56|第三时空的[夏天]没有回答，挂断了电话，他的脸上只有稳静，而高架桥上，村虎开着车，将手腕的手柄对准屏幕，屏幕上就出现了定位，他抬头靠远，便按照定位的方向，摆弯在环线的地下通道，
1:3:56|1:4:6|过广下云台小路，迎面拦住了第二时空的[夏天]。第二时空的[夏天]，看着定位运行的车辆，在下车车辆中超速，意识到对方根本不打算停车之后，
1:4:9|1:4:24|[豆豆]不解地在起身来，这时，[崔琥]却拿出了手枪。第二时空发生过的事，即斗斗被射中前面一路目，出现在第三时空下跌的脑海中。想到这些，他竟然从环线上打了方向盘，撞破了自己的腹部。
1:4:49|1:5:4|怀里的[豆豆]还在看着撞过来的汽车，第二时空的[夏天]，也边跑边回头地看去。而第三时空的[夏天]，头埋在安全气囊里，努力想办法让自己清醒过来。在最后一刻下了车的[崔琥]，却率先从地上爬了起来。
1:5:4|1:5:14|他扶着车，看向车座里。第三时空的[夏天]，又转头看向抱着[豆豆]正在离开的第二时空的[夏天]。最后，还是决定去追正在逃跑的二人。
1:5:15|1:5:27|香妍在高架桥的下方纵横奔跑着，[夏天]拉着[豆豆]绕过柱子，摆到了路边。等[崔琥]跟上来的时候，却只能看到小栗棠的荒草地，已经看不到[夏天]母井二人。
1:5:27|1:5:34|接着[崔琥]低头看了眼手表，又露出一丝笑容，朝前跑去。留在原地的第三时空的[夏天]，终于清醒过来。
1:5:35|1:5:46|他推开车门下了车，三人已经不见了踪影，但他却注意到了[崔琥]留在副座上的手枪。此时，第二时空的[夏天]，带着[豆豆]，跑进了一座废弃学校里。
1:5:50|1:6:5|[豆豆]在地上滑倒了一下，第二时空的[夏天]将她拉起后，带着她跑上了楼梯。废弃的学校里全都是铁的脚手架，两人朝里面跑去，找到一个隐蔽的房间。[夏天]将[豆豆]抱起放在桌上，弯下腰，双手放在桌上。
1:6:5|1:6:10|说完，她再次将[豆豆]抱住。
1:6:46|1:6:54|楼梯里传来脚步声，她向一旁看去。她透过破洞的窗户看向下面，只见[崔琥]正在走上楼梯。
1:6:56|1:7:3|正在她疑惑的时候，[豆豆]玩着手中的彩虹手表，刚要高兴地戴上，却发现了有些不对劲。
1:7:10|1:7:15|第二时空的[夏天]走过来接过手表，询问式地看向[豆豆]。
1:7:17|1:7:30|他又看了看手表，然后蹲下来砸破了手表的后盖。拿起来之后，竟然发现手表里还装着一个闪着光的零件。转了半天端详了一下，他明白了。
1:7:32|1:7:42|他抬起头转动着眼睛，不敢相信，无力地垂下手。研究所内，[所长]看着第一时空的[夏天]。
1:8:20|1:8:25|研究所马上就要爆炸了，必须抓紧，把数据全部都备份。
1:8:36|1:8:49|[大雄]松开扶着第一时空[夏天]的手，目送两人离去，废弃学校内，[崔琥]走上来。
1:8:49|1:9:11|结束对讲的[崔琥]看了看手表，然后抬起了头，一边的嘴角翘了起来，而楼上，被拆开的手表放在了桌上，[崔琥]推开门走进来，发现没人后，又看向自己的手腕，接着[崔琥]走到桌子旁，第二时空的[夏天]和[豆豆]躲在旁边看着他。
1:9:16|1:9:36|[崔琥]正拿起桌上的手表看着，忽然，身后传来响动，他的右脚被一根绳子圈住，整个人朝地方扭曲，旁边房间的下车和[豆豆]一起推着一下钢琴，被扑行的[崔琥]使劲地挣扎着，那边却已经将钢琴推到了旁边，在橱柜边倒挂了[崔琥]。
1:9:39|1:9:56|而[夏天]和[豆豆]使劲把钢琴推了出去，随着窗户玻璃破碎，钢琴掉了出去，最后整个人被拉起，靠在了墙上。赶来的第三时空的[夏天]，正好看到钢琴被推出窗外，拿着枪连忙向楼内跑去，脸上充满了担忧。
1:9:57|1:10:14|废弃学项目，[崔琥]还在挣扎，第二时空的[夏天]抱着[豆豆]跑出了房间，[崔琥]则双臂倒吊，缓了缓，拔出被遗忘的匕首，倒吊着弯着腰，双手扒住自己的腿向上使劲，用匕首划了一下，但没有成功。
1:10:14|1:10:25|此时，第二时空的[夏天]带着[豆豆]跑到了楼梯上，[崔琥]再次缓了一会儿，将匕首的刀尖抵在墙上，弯腰向上拱去，这一次他拖断了工作。
1:10:28|1:10:45|随着窗外钢琴的坠落，[崔琥]摔在了储物柜上后，接着摔到了地上，他趴在地上喘着气。楼道里，第二时空的[夏天]拉着[豆豆]往楼下跑去，[崔琥]缓过劲儿追了出去，才一脚踹碎楼梯里的消防玻璃，拿出了斧子。
1:11:3|1:11:27|边走边砸烂一边的储物柜，然后探头看进去，他笑了笑竖起食指，走了两步，他又一斧子砸进了储物柜里，第二时空的[夏天]在柜子里紧紧地抱住[豆豆]不敢出声，而[崔琥]停顿下来，仔细地听着，似乎有了方位。
1:11:27|1:11:29|[夏天]准备透过缝隙看看情况。
1:11:32|1:11:53|可能想，村虎的斧子直接砸了进来，他又猛砸了两下，这次砸出的裂缝不够大，他伸手进去，拉住了[豆豆]的衣领，[豆豆]害怕地挣扎着。[夏天]使劲推开柜门，柜子向对面挡去，夹住了村虎的手。
1:12:17|1:12:33|斗斗哭着向一边跑开，摧虎揪住[夏天]的衣领向上勒着，却在他窒息前松开了手，将他扔在了地上，倒在地上的[夏天]却向前爬着，力气减弱的摧虎靠着储物柜看到[夏天]如此，弯下腰去将他拉住，却没想到，
1:12:34|1:12:49|[夏天]在手里抓住了地上的木屑，朝自己扬了过来。崔虎连忙用胳膊挡了一下，却还剩五只眼睛挡在了地上。[夏天]趁此机会跑了起来，他从施工脚手架的一层跳下另一层，崔虎伸手利落地在后面追着他。
1:12:49|1:12:59|[夏天]边跑边回头看，却注意到崔虎的身影不见了。而崔虎将透过阔布看着[夏天]慢慢靠近，[夏天]却还扒着土篮杆向上张望着。
1:12:59|1:13:7|突然，被崔虎从下面抓住了脚外，他抓住土杆使劲晃动装甲，崔虎的胳膊趴上[夏天]这一层去抓住他。
1:13:9|1:13:26|一只哥哥挂着铁杆朝外翻去，另一只手紧紧地抓着铁杆，身子撞过来，脚慢慢地碰到了下面的铁杆，[崔琥]却再次抓住了他的脚腕，他使劲一蹬，[崔琥]松开手，但另一只手却牢牢地抓着铁杆，两人一高一低地向上爬去。
1:13:26|1:13:32|[夏天]爬到一层之后翻进去，跑向一边，却被爬上来的[崔琥]一把搂住了脖子。
1:13:33|1:13:41|看着[夏天]被勒得直咳嗽，他松开手往地上一推，倒在地上的[夏天]向前爬着，却被[崔琥]踩住了腿。
1:13:41|1:13:51|[夏天]坐起身来，却推着[崔琥]的腿，[崔琥]却抓起他的后衣领，一拳接着一拳地扯着下去，四拳下去，[夏天]倒在了地上。
1:13:53|1:14:6|哭着跑到教室的[豆豆]，看到了桌上一根闪着灯的数据线，拿起来看了看。而[崔琥]已经拉着[夏天]，离开了施工脚手架，一把将他扔在走廊上。鼻子呼了口气后说。
1:14:12|1:14:20|这时，第三施工的[夏天]赶到，开了几枪，打中了[崔琥]头顶的玻璃。他捡起地上的玻璃，勒住第二施工[夏天]。
1:14:31|1:14:37|第三时空的[夏天]举着枪靠近，[崔琥]用玻璃抵住了第二时空[夏天]的脖子。
1:15:2|1:15:7|说完，开一把推开第二时空的[夏天]，跳向一旁，顺着条幅向下滑去。
1:15:8|1:15:16|第三时空的[夏天]连开几枪之后，连忙躲闪着千虎手下的子弹，蹲到第二时空的[夏天]旁边。
1:15:27|1:15:31|第二时空的下车和第三时空的[夏天]解释到了。
1:15:43|1:15:55|说完，他转过头朝催唬的手下射击起来，第二时空的[夏天]则起身往教室跑去，子弹打到走廊的扶手上，第三时空的[夏天]一边躲避一边回击，退到对面翻了下去。
1:16:4|1:16:14|第二时空的[夏天]，接过[豆豆]手中的数据线。她揉了揉[豆豆]的头发，[豆豆]指着脖子说。
1:16:26|1:16:37|[夏天]转过头环视着四周，目光落在了窗边的逃生箱上。紧接着，他用绳索绑着自己和[豆豆]，双脚冲着墙边，一点点地朝地面挪去。
1:16:37|1:16:47|没过一会儿，两人平安地落到了地上，而室内，第三时空的[夏天]，一边下楼，一边射击对面吹火的手下，却被对面打中了胳膊。
1:16:47|1:17:3|对面的四个手下会和火的力加强起来，受伤的他朝后面跑去，想要回击，却发现手中的枪已经没有了子弹。四个手下看他没有动静，便跑过来在一堆杂物里搜寻着。一个光头手下看到旁边的储物柜。
1:17:9|1:17:26|没想到柜门打开，第三时空的[夏天]快速往他身上安了个炸弹，然后关上了柜门。储物柜被炸开，冲向了一楼，第三时空的[夏天]推开一角着火的柜子，平躺着缓了一下，然后爬了出来。
1:17:26|1:17:32|此时，第二时空的[夏天]已经将[豆豆]送进了医院，推着病床推车打电话。
1:17:36|1:17:40|[豆豆]被推进病房，[夏天]喘了场气。
1:17:44|1:17:51|[大雄]愣愣地放下手机，突然想起什么似的，看向门口。接着，他跑进了数据库，第一时空的[夏天]转过头。
1:18:6|1:18:9|你居然……[夏天]忙朝[大雄]跑过去。
1:18:20|1:18:24|蹲在地上的[夏天]抬起头看向[所长]。
1:18:28|1:18:31|[大雄]没了反应，[夏天]看向[所长]。
1:20:1|1:20:19|[所长]陷入回忆中，桌上放着家人的合照和一份他2025年11月1号卸任实验室总负责人的书面通知。他拿起桌上的药罐晃了晃，正准备全部搓下去，一只拿枪的手打掉了药罐。[所长]问道。这个人正是[崔琥]。
1:20:27|1:20:31|[崔琥]把玩着药罐，抬起眼看向[所长]，[所长]接着说。
1:20:37|1:20:41|听到这儿，[崔琥]坐直了身体，[所长]则歪着头狠狠地指着。
1:20:55|1:21:11|回忆结束，研究所的人们四处逃散。[崔琥]一进来，就用匕首解决了一个安保。他喘着气缓缓地抬起头，看了眼中央的雕塑。雕塑上的神像有着巨大的翅膀，双手环抱在胸前，仿佛也在盯着[崔琥]。
1:21:11|1:21:23|数据库内，数据模块合成完毕，自动腾出。[所长]转过身，走到操作台中央。他转过头看着[夏天]。
1:21:31|1:21:47|说吧，[所长]立马掏出了枪，对准了第一时刻的吓声。这时，[崔琥]走了进来，直接将匕首甩出，打中了[所长]握枪的手腕。[夏天]转过头，看向这个凶狠的男人。[崔琥]也看了看[夏天]，走到[所长]的面前。
1:21:47|1:21:51|[所长]还想去捡被伤的枪，却被[崔琥]抓住他的手，一把抢过。
1:22:1|1:22:9|[崔琥]说着，就扣动了扳机，他缓缓放下手低下头，看向倒在血泊中的[所长]，另一边，医院内.
1:22:9|1:22:20|第二时空的[夏天]，在病床前摸着[豆豆]的脸，抬起头，看到了桌上盘子内的那根数据线，画面回到数据库，[崔琥]走向第一时空的[夏天]。
1:22:48|1:23:6|[夏天]流着眼泪想出饭前，却被[崔琥]用枪指着脑袋。[夏天]只能无力地痛哭着，[崔琥]弯曲手臂，过来抓住他的衣服。枪就顶在第一时空的[夏天]的下巴处。
1:23:6|1:23:17|但听到这话，他也思索起来，忽然，通风管道的一个盖子被打开，一分时空的[夏天]冲了出来，隔着玻璃就朝[崔琥]射了一枪，打中了[崔琥]的大臂。
1:23:18|1:23:35|[崔琥]抱住受伤的地方连开几枪，第一时空的[夏天]被吓得抱头尖叫着，第三时空的[夏天]则以柱子作为掩体，等待片刻之后回击过去，[崔琥]躲在操作台内，准备先去拿收据模块，却被第三时空的[夏天]一枪打飞了模块。
1:23:35|1:23:37|[崔琥]的眼神一下变得凶狠起来。
1:23:38|1:23:52|第一时空的[夏天]坐在台阶台上看着两人，只见[崔琥]怒气冲冲地走向第三时空的[夏天]。第三时空的[夏天]从柱子后面突然冒出来，还没开枪，就被[崔琥]打中了手，枪也掉了出去。
1:23:52|1:24:2|就在[崔琥]经过台阶时，第一时空的[夏天]扑了过来，抱住[崔琥]的腿就仰了上去。第三时空的[夏天]，趁机冲上来，一把按住了[崔琥]受伤的大臂。
1:24:3|1:24:21|鲜血直往外涌，[崔琥]抓住第三时空的[夏天]将他推倒，他却捡起了地上的匕首，刚好第一时空的[夏天]从后面勒住了[崔琥]，第三时空的[夏天]上前一刀捅进了[崔琥]的胸膛，另一只手则紧紧掐住他的脖子，[崔琥]的脸因为充血开始胀起来。
1:24:22|1:24:35|而第三时空的[夏天]，只是冷冷地瞪着[崔琥]。第一时空的[夏天]，被这一情况吓得松开手，连连后退。第三时空的[夏天]，手上却还在用力。渐渐地，[崔琥]手中的枪滑落到地上。
1:24:35|1:24:45|而第三时空的[夏天]，也松开了手。[崔琥]捂着伤口，坐靠在了数据台旁。医院内，第二时空的[夏天]，找到一台可分析数据的电脑。
1:25:5|1:25:19|[崔琥]陷入回忆，他往前被植入了数据线。刚好这时，医院内第二时空的[夏天]将数据线插进了电脑里，屏幕上出现一个外国人正在说着，实验记录装置已经植入你的体内。
1:25:46|1:25:50|第二时空的[夏天]听着，屏幕里的人对[崔琥]说。
1:26:5|1:26:8|离开电脑前，护士问第二时空的[夏天]。
1:26:16|1:26:30|[夏天]接过签字笔，却注意到自己手上的斑点。护士走后，她拉起袖子，果然，胳膊上也有不少斑点。她想起向东的话。
1:27:6|1:27:11|第三时空的[夏天]，斜眼看向第一时空的[夏天]，飞虎歪过脑袋。
1:27:43|1:27:59|爆炸声响起，第一时空的[夏天]趁机一把推开了第三时空的[夏天]。第三时空的[夏天]，赶忙朝往出跑的他开枪，第一时空的[夏天]被打到腿倒在地上。这时，枪内却没有了子弹，他连忙爬起来穿过港运门。
1:28:55|1:29:5|此时，第二时空的[夏天]举着枪走了进来。第三时空的[夏天]放下胳膊，转过去望着他，朝前走了一步。
1:30:6|1:30:27|两人同时开枪，第二时空的[夏天]被打中左肩，第三时空的[夏天]被打中心脏，皱着眉盯着前面，然后还想看看后面，身体却不由自主地跪倒在地上，接着就斜坐在了地上，第二时空的[夏天]强忍着肩膀的疼痛，不敢松懈。
1:30:28|1:30:41|此时，第三时空的[夏天]抬起了头，刚往前挪了两步，嘴里便引出鲜血，接着不受控制地往出吐了两口鲜血，身体微微摇晃着，随其彻底趴在了地上。
1:30:45|1:30:59|第二时空的[夏天]看着他流下了泪水，捂住自己的伤口不忍心再看着他，头一边低下一边摇了摇。第一时空的[夏天]站在后面，恍惚地喘着气，愣在了原地。
1:30:59|1:31:4|第三时空的[夏天]趴在地上，手枪吊在手边，胸前渗出大片的鲜血来。
1:31:7|1:31:27|研究所内各处开始爆炸，水泥从高空落下，随时都有可能打它。第一时空[夏天]，拖着受伤的腿，走到第二时空[夏天]面前，想要看看它的伤口，却被第二时空[夏天]侧身躲了过去，它自己捂住还在流水的肩膀，低着头。
1:31:47|1:32:1|第二时空的[夏天]，推着第一时空[夏天]的胳膊。第一时空的[夏天]流着眼泪，看了眼传送器，又看了看他，往电梯口走去。打开电梯门的她，转过头。第二时空的[夏天]，已经站在了传送器里。
1:32:12|1:32:31|第一时空的[夏天]走进电梯，按下楼层。视线里，第二时空的[夏天]在传送器内抬头看了看。火海里，整座大楼外，越来越多的部位开始坍塌。第一时空的[夏天]冲出电梯，扶着旁边的推车，又挪到灯柱。
1:32:46|1:32:59|[大雄]一拳撑在地上，受伤的腹部还流着血，第一时空的[夏天]连忙将他的胳膊搀扶住。医院内，[豆豆]在病床上醒了过来，他坐起身来看了看两边。
1:32:59|1:33:12|传送室内，第二时空的[夏天]回过神来，脸上的血迹已经半干，长呼了一口气之后，他转过身，眼里已经泛起了泪水，他眨了眨眼后，点击了屏幕上的重组例子。
1:33:13|1:33:30|屏幕上确认按键已经不可点击，只有百分之零还亮着。他清楚百分之零，屏幕全部变白，开始闪烁。他的手停在半空中顿了顿，下定决心之后抿了抿嘴唇，沾满血液的手慢慢靠近屏幕。
1:33:30|1:33:35|这时，口袋里的手机突然震动起来，他愣了愣神，显然有些意外。
1:33:36|1:33:53|他低下头，手缓缓地放进了口袋里，手机屏幕上显示着[豆豆]来电，握住手机的手不由自主地紧了紧。他抬起手，却又看了看屏幕，最后还是又滑了接听键。此时，[豆豆]在医院的病房外，手上还连着吊瓶架。
1:35:38|1:35:50|此时，第二时空的[夏天]已经满脸的泪水，笑着对[豆豆]说完后，立马变成了伤心的表情。她随即挂断了电话，[豆豆]则一直盯着手机。
1:35:50|1:35:59|高架桥上，坐在救护车里的[黄晨]，看到第一时空的[夏天]，搀扶着[大雄]走过来。[黄晨]跳下车。
1:36:2|1:36:6|两人一左一右，在医护人员的帮助下，将[大雄]放在了车上。
1:36:54|1:37:11|第二十天的[夏天]，向传送器下面过去，他张开双臂，再次落入了那个如另一个世界一般的地方。这一次，他平静地深躺其中，发丝在他的脸庞晃动着，含着泪水的眼眶里涌现出那些关于[豆豆]的画面。
1:37:11|1:37:15|在床上给[豆豆]读书时，两人欢乐逗笑的场景。
1:37:16|1:37:30|[豆豆]和自己的笑脸都很清晰，想到这，他闭上了双眼，眼泪滑落的同时，很快就开始消散。回忆到他和[豆豆]在山顶，又是对着飞行器挥手，又是追逐着。
1:37:30|1:37:35|[豆豆]拉着他指着飞行器，他一手拿着手机，一手抱住[豆豆]。
1:37:37|1:37:55|随着越来越多的泪水飘在空中，她的脸庞从边缘开始逐渐消散，紧接着是她的衣服，她的四肢，越往下却是火一般的光线。第二时空的[夏天]逐渐与那道光线融为一体，消失不见。
1:37:55|1:38:3|医院内，[豆豆]正坐在大厅等待着，第一时空的[夏天]扶着墙跑进楼道口，手捂着受伤的腿，看到[豆豆]就喊，豆豆！
1:38:14|1:38:25|[豆豆]立马起身，推着吊瓶车跑了过去，[夏天]也蹲下来张开双腿。他看到[豆豆]的脖子已经被包扎好，再次将[豆豆]抱住，摸着他的头。
1:38:29|1:38:42|这次，[夏天]捧着[豆豆]的脸，看着他露出了笑意，然后又紧紧地将[豆豆]抱住，眼泪流了下来。[豆豆]则抱着[夏天]，将头靠在他的肩膀上，也露出了笑容。
1:38:42|1:38:51|母子二人在医院的走廊内，[夏天]跪在地上，紧紧地抱着拼命救回来的儿子。画面渐渐黑了下来。
1:38:55|1:39:7|画面逐渐亮起，时间来到一年之后，山顶上，一辆房车停在薄薄的积雪上，车前面放着两张椅子，还有一张桌子和一些露营的用具。
1:39:24|1:39:27|[夏天]捧着一个小蛋糕从车里走出来。
1:39:56|1:39:58|[夏天]看着故事书，高兴地笑了。
1:40:9|1:40:13|[豆豆]放下书，坐到[夏天]的怀里。[夏天]用毯子包住了[豆豆]。
1:40:28|1:40:32|[夏天]轻推桌上的水杯，又快速地抓住。
