0:1:6|0:1:11|此时，他们正围着训练场进行体能训练。
1:5:7|1:5:24|脑海中又闪过儿时的回忆。[杨卉]的妈妈走下台阶，此时[杨卉]和[刘立]玩得起劲。
1:5:31|1:5:43|[刘立]和[杨卉]你追我赶，跑过狭长的石阶，为了不让[杨卉]拿到鸡蛋，[刘立]直接一个倒立，死死地贴在墙上。[杨卉]气喘吁吁地，一屁股坐在地上。
1:5:48|1:5:58|杨卉瞟了一眼[琉璃]，随即拿起她的箭来回敲了三下，上下打量一番，嘴巴撅起，一副嫌弃的样子，随后丢在地上，转头就走。
1:6:4|1:6:18|思绪拉回现实，眼前冰封大地，天地交界白茫茫的一片。宽阔无垠的马路上，飞驰过一辆白色轿车，[琉璃]坐在主驾驶上。此时，她正急匆匆地开车赶往训练场地。
1:6:18|1:6:31|而另一边，杨卉在雪地里奔跑，她穿着厚厚的羽绒服，每一步都显得十分笨重，在雪地中格外显眼。[琉璃]开车行驶到停车场，方向盘打到底，熟练转弯，随后将车停下。
1:6:32|1:6:44|他戴着一副墨镜，围着一条高级围巾，身穿牛仔裤和皮靴，十分干练。[琉璃]下车，大步向雪地里走去，广袤的大地中只有他一人的背影。
1:6:44|1:7:2|而翻过这个山坡，杨卉仍然向前冲刺，长长的马尾辫来回摇晃，也不知道她的目的地是何处。相比之下，[琉璃]干净利落得多，直到[琉璃]走到山坡的正中央，她才看到杨卉在雪中奔跑，她思考片刻，低下头。
1:7:4|1:7:20|琉璃没有喊住[杨卉]，而是站在原地不动，双眼坚定地凝视远方。大地一片银白，一片洁净，厚厚的冰层让人感到刺骨的寒冷。此时，[杨卉]多少有点疲惫，她停下脚步喘着粗气。
1:7:20|1:7:27|一回头，她和琉璃的眼神相撞，儿时的回忆如同走马灯一般，又一次在脑海里放映。
1:7:30|1:7:47|记得他俩小时候和伙伴们一起玩耍，那是一个冰天雪地的冬天，[杨卉]提着一篮子鸡蛋，追逐打闹中意外滑倒，鸡蛋碎了一地，其他伙伴拿起地上的鸡蛋，就往别人身上扔，唯独[刘立]俯下身，耐心地帮她捡起鸡蛋。
1:7:48|1:7:52|[杨卉]的手由于摔倒，形成了一块很大的擦伤，一抬手都是血。
1:8:3|1:8:12|即便琉璃再怎么拉扯，得到的也只有[杨卉]潇洒推开的背影。儿时的回忆一幕幕地浮现在眼前。
1:8:15|1:8:35|画面一转，韩冰出现在琉璃爷爷的家中。韩冰站在门口观望时久，室内的陈设很是老旧，她推开门，依旧是一副双手插兜的样子.韩冰走进屋里，此时[刘立]的爷爷正在练书法，韩冰向前走了几步。
1:8:44|1:8:58|韩冰思考了片刻，眼神飘忽地扫视着书架上摆放的陈设和书画，缓缓走到[刘立]爷爷身旁。[刘立]爷爷放下手中的毛笔，等着他开口。韩冰边说边拿起桌上的围棋下了起来。
1:9:14|1:9:31|韩冰的眼神如古井无波，[刘立]爷爷说完这句话便向别处走去。他们是地质队员，当年雪山勘察，刚去了香格里拉就遇上了雪崩，走的时候[刘立]才五岁，[刘立]。
1:9:47|1:10:2|画面一转，是舞台上众模特走秀的场景。眩晕的舞台光照得地面一片花影。模特们身穿夸张气派的礼服，在舞台中央展示自己。流利的脸轮廓分明，在强光的照射下更显魅惑。
1:10:43|1:10:57|外面倾盆大雨，[刘丽]连伞都没有打，急忙向公司外冲去。最后她停下脚步，只见爷爷穿着雨衣，花白的胡子上挂着几滴水珠，手上拿着一把伞，却没有撑，独自站在雨中。
1:10:57|1:11:2|[刘丽]看到爷爷，便飞快地跟在他后面，全然没有舞台上嚣张跋扈的气势。
1:11:18|1:11:28|[刘丽]的脸颊出现两道清晰的泪痕，她颤抖着回答。[刘丽]盘坐在爷爷正前方，颤抖地喊了一声爷爷，响起当年爷爷对自己和杨卉的教诲。
1:11:54|1:11:57|[刘丽]的眼神中透露着倔强，抬头说道。
1:12:29|1:12:45|爷爷匆匆地走了。时过境迁，[刘丽]站在曾经习武的滑冰场上，身边围着一群小孩拿着剑相互比武。就在这时，杨卉迎着冬日的寒风，拖着一瘸一拐的步伐向[刘丽]走来。[刘丽]背过身去，不愿直面。
1:12:59|1:13:10|琉璃无法反驳，世界好像悄然静止。杨卉走到他的身后，用力地嘶吼。
1:13:14|1:13:33|杨卉猛地冲到琉璃面前，抢过她手中的剑和行李包，由于体型差异悬殊，推搡之中，琉璃挡在地上。杨卉拿过琉璃的行李就走，只剩琉璃一个人呆呆地站在原地。琉璃的大衣领口被冷风吹开，身上还粘着几片未完全消融的积雪。
1:13:33|1:13:38|她呆呆地处在原地，身旁走来一个小男孩，和当年琉璃的年纪相仿。
1:13:42|1:13:46|此时，杨卉正向琉璃爷爷的墓碑走去。
1:14:49|1:14:52|[刘立]被推倒在地，刘海随意地散落在眼前。
1:15:1|1:15:23|表情十分痛苦，将杨卉扶起，身体微微一颤。她将杨卉的头靠在自己胸口，轻声安慰。两人相互依偎，[刘丽]轻抚[杨卉]的头。迟到回家，[杨卉]许是着凉，全身发抖，高烧不退。[刘丽]将毛巾弄好。
1:15:26|1:15:39|[杨卉]面色惨白，几乎说不出话。接过毛巾后，[刘丽]又脱下围巾给她戴上，双手紧紧握在一起。[刘丽]一脸担心地盯着她，忽然，[杨卉]将[刘丽]拉住。
1:15:42|1:15:45|[杨卉]一脸绝望，说着流下两横泪水。
1:15:49|1:15:57|他的目光移到[刘丽]身上，似乎话里有话。[刘丽]头以坚定的目光夹杂着泪水。
1:16:0|1:16:5|[刘丽]扭过头去，顿了顿，接下来的话更加出人意料。
1:16:14|1:16:30|杨卉听到这话绷不住了，紧紧攥着[刘莉]的手不放开，抽气了起来。[刘莉]将她的手放在自己耳边，两人紧紧贴住，相互依偎。次日，[刘莉]真的推着杨卉来到了这个她曾经无比熟悉的训练场上。
1:16:30|1:16:37|其他学员都年纪较小，就像当年的自己一样。而此时，韩冰站在训练场上，观望他们训练。
1:16:38|1:16:58|一声又一声的呐喊中，那种熟悉又陌生的感觉涌上心头。琉璃缓缓上前，韩冰恰好回头，看到了琉璃和杨卉的身影。她的神情中并没有闪过一丝惊讶或诧异，仿佛是意料之中。然而她又立刻转过身去，装作没看到，继续训练。
1:16:58|1:17:7|琉璃站在她的身后，跑到台上直勾勾地盯着她的背影。韩冰似乎还是在专注地带学员训练，于是[琉璃]将她缓住。
1:17:10|1:17:25|韩冰回头看了一眼，面无表情，神色冷漠。杨卉独自坐在轮椅上，在不远处看着韩冰和[琉璃]对话。随后，韩冰走到[琉璃]身边，然后环绕了一圈上下打量一番。
1:17:25|1:17:39|[琉璃]则是用誓死如归的表情回应她，但看起来还是一副满不在乎势均力敌的架势。韩冰的发问让[琉璃]哑口无言，无地自容。她回避韩冰的话语，眼眸低垂。
1:18:28|1:18:45|画面一转，训练场上，杨卉坐在轮椅上，[琉璃]则是一声一声的吆喝，正在进行体能恢复的训练。[琉璃]的头上是自由组合的哑铃，左右两边各一片，她用尽全身力气抬起最后一下，随后又投向另一项训练中。
1:18:46|1:19:1|[刘立]抱着哑铃片，身体左右快速旋转，通过核心和腹部的力量，她已经挥汗如雨。随后她在脚上绑好绷带，跑到训练场的另一边，开始了踢腿训练。杨卉则是在她身后急速转。
1:19:16|1:19:21|[刘立]筋疲力尽地准备起身，由于重心不稳，差点摔倒。
1:19:24|1:19:34|[刘立]将哑铃一丢，大口地喘着粗气，哑铃摔在地上由于惯性自由滚动。隔天，韩冰又带着她和学员们一起训练。
1:19:41|1:19:52|1，2，3，4，5，6，7，8，9，10。学员们脚步整齐划一，以韩冰为中心，围成一个圈。[刘立]也是其中的一员，她头上绑着发带。经过韩冰时，两人对视一眼，却相对无言。
1:19:52|1:19:57|最后，韩冰走到角落，手上拿着苗表，将[刘立]喊了过来。
1:20:7|1:20:30|[刘立]利索的居立义工，正要离开，又回头说了一句。我忽然觉得对韩彬充满了愧疚，为了这一天的到来，他不知道付出了多少心血，承受了远比我们更多的压力。当他带着一副伤残的躯体，常年累月和我们一起训练时。
1:20:42|1:20:51|十千飞士转眼来到了奥运会开幕式的当天，终于辉煌的时刻到来了，同时也牵动着十三亿男女老少的心。
1:20:51|1:21:8|盛大的开幕式进行时，体育馆中的鸟儿欢呼雀跃。先是由各国代表骑着马送来应有五环票，在各种灯光的映衬下，宏伟、壮观、气势磅礴的鸟巢显得格外的璀璨独木。
1:21:8|1:21:24|运动员正式入场，竞显世界五大洲风格的乐队轮番奏响不同大陆的经典乐曲。还有小女孩在空中表演自由芭蕾，陆续入场的运动员各个朝气蓬勃，精神抖擞，不时微笑地看向观众挥手示意。
1:21:24|1:21:28|而现场观众也用热烈的掌声和欢呼欢迎他们的到来。
1:21:29|1:21:43|在琴瑟和民的声音中，来自不同国家的使者们穿过夜空一路向北，在鸟巢表演了不同难度的开场秀。灯光照在他们的身上，最后形成了一支和平鸽的形状，代表世界和平。
1:21:43|1:21:58|直到圣火点燃的那一瞬间，巨大的火炬顿时燃起喷薄的火焰，熊熊燃烧的奥林匹克圣火将体育场的上空映照得一片辉煌，绚丽的焰火同步而起，在体育场上空辉映成青色彩虹。
1:21:59|1:22:7|奔放的音乐，热烈的欢呼声震耳欲聋，现场的气氛达到了最高潮，而[刘立]也不会放弃最后一刻的机会。
1:22:34|1:22:51|刘丽来到[刘立]的正对面，像正式比赛那样，两人互相居立一弓，以示尊敬。刘丽先是走到训练场的正中心，站定后，在空中来了一个空翻，没想到却被韩冰叫停，让她不要做动作。
1:22:51|1:22:56|随后，[刘立]在空气中想象对手的样子，右脚蹬地，髋关节向左旋转。
1:22:57|1:23:16|随后紧握双拳置于体侧，以左脚为轴，右脚脚跟离地，脚掌蹬地，迅速向前提膝，脚背拱直，奋力地向前弹出。随后，在空中换腿出拳，身体向后旋转180度，不时发出喊声，力度和速度同时在线。
1:23:16|1:23:32|这一幕幕，韩冰都看在眼里。他双手抱胸，看着[刘立]一次次的出拳。两人的影子在路灯下，一长一短。训练结束后，韩冰帮[刘立]放松肌肉。此时的[刘立]身上只盖着一块浴巾，静静地趴在按摩台上。
1:23:32|1:23:47|韩冰双手涂抹精油，搓热之后，掌心紧贴她的肌肤。从[刘丽]的脖子开始，用力向下摩擦直到下颚，随后将发力点移至手臂。[刘丽]的表情并不像别人那般享受，而是有些惶恐和焦虑。
1:23:48|1:24:5|韩冰按了好一会儿之后，[刘丽]才渐入佳境，但不难看出她有心事。[刘丽]将头侧向一边，双臂张开，韩冰拉起[刘丽]的小腿，容捏放松后又抬起拉伸，但[刘丽]没有丝毫放松的感觉，而是盯着某一处一直发呆。
1:24:5|1:24:10|回到入住的酒店后，杨卉正帮她梳头发，见[刘丽]心不在焉的样子，便开口问道。
1:24:23|1:24:28|杨卉点点头以示肯定，把玩至手上的梳子。
1:24:42|1:24:53|随后，[刘丽]躺到杨卉的双臂上，她似乎放松许多，眼睛望向天花板发呆，嘴角微微上扬，俊美的脸颊似乎有些消瘦。
1:24:53|1:25:1|决赛当天，由中国队的使者带领[刘丽]、杨卉和韩冰入场，全场沸腾，一旁的解说开始对[刘丽]简单介绍。
1:25:13|1:25:23|他的对手是来自俄罗斯的著名选手赖斯。他曾经多次获得过欧洲比赛冠军、世界比赛冠军。
1:25:35|1:25:40|中国运动员[刘丽]，她的特点是动作速度快，攻势凌厉猛烈。
1:25:41|1:25:58|[刘立]曾经获得本年度世界跆拳道锦标赛冠军，也多次在世界大赛当中获得最佳的成绩。[赖斯]是一位力量非常强的选手，据说[赖斯]是一位欧美混血儿。
1:26:5|1:26:12|比赛开始，[刘丽]和[赖斯]相对战兵，[刘丽]一上来就先出腿，重心稍稍向后。
1:26:12|1:26:22|[赖斯]以为自己得到了可乘之机，便开始向[刘丽]出腿，怎料[刘丽]一个后闪躲过了[赖斯]的进攻，随后一个迅速的换角踢中了[赖斯]的后檐。
1:26:23|1:26:33|[赖斯]重重地打在了地上，出了界。为了反击，[赖斯]重心进行了微妙的变化，适当的后移更有利于反击，这一招骗过了[刘丽]。
1:26:33|1:26:42|正当[刘丽]打算出腿时，[赖斯]一个颠簸，一个踢腿，[刘丽]被踢倒在地，两人同样都不停地发出给自己振作士气的声音。
1:26:43|1:26:48|韩冰看到这里更是激动，直接在场下对着[刘丽]指导用头。
1:26:50|1:26:58|刘丽的危机感上来，她的爆发力比蓝丝更强，所以比较擅长借用爆发力快速准确地展开进攻。
1:26:58|1:27:13|但莱斯恰恰相反，他的打法往往是消耗对手的体力，只要莱斯不将重心放在中央，就能不露出破绽的欺骗对手，比如摆出要反击的重心，忽然偷一道钱，展开骑袭，打得对方触手不及。
1:27:13|1:27:28|而从前场比赛来看，莱斯显然更占优势，流利多次被提挡境外，全场观众更加沸腾，毕竟这两位选手的实力是不相上下的。正当[刘立]又一次站起来时，莱斯仿佛和他之间形成了一种湘西的磁场。
1:27:28|1:27:43|两人一旦站在同个截面内，就算裁判在中间阻拦，也架不住两位跆拳大手的剑拔脸张。一见面就要掐架的气势，[刘立]又一次被踢倒在地，莱斯一个后踢，随后右脚沿人力线迅速收回。
1:27:43|1:28:0|[刘立]不但被踢倒在地，左手手臂还与地面剧烈相撞，韩冰和杨卉在台下急得来回跺脚。即便[刘立]一次次被踢倒，但她还是重复着跌倒在爬起的节奏，直到莱斯又一次攻击她受伤的手臂，剧烈的疼痛感袭来。
1:28:0|1:28:8|[刘立]倒在地上无法起身，将手臂藏在腹胸里捏起来，横入骨髓的感觉席卷全身，使得[刘立]在地上疯狂打滚。
1:28:31|1:28:39|随着[刘立]的一声尖叫，她的思绪拉回现实，当时的韩冰有多么的冷酷无情，比赛现场就有多么热血激昂。
1:29:48|1:30:4|经过一番思想斗争，[刘立]的左手的疼痛使他感到麻木，他的右手紧紧捆住自己的左手，朝着天空悲壮地叫了一声，仿佛是在给自己送行。连对手莱斯都没搞清楚他的状况，裁判甚至在一旁替他加油。
1:30:5|1:30:24|韩冰在场下一脸担心，[刘立]攥着拳头隔空和韩冰奋力一挥，趁对手不备狠狠地来了几脚，原先只是踢到身体，现在却直接对着头出击，[刘立]的头盔早已被闷得全是汗水，这一脚下去，汗水也直接往外飞，脑袋发懵。
1:30:24|1:30:27|直到意识到自己被一脚又一脚地出击后。
1:30:28|1:30:40|[刘立]才反应过来，台下的观众看到这一幕，更加的群情激昂，甚至还有的观众为[刘立]喝彩欢呼，希望[刘立]能狠狠地反击。
1:30:40|1:30:49|就在这时，[刘立]的表情更加狰狞，瞳孔放大，死死盯住对手，恍惚间，他脑海里回想起爷爷说的话。
1:30:56|1:31:11|对手此时还未意识到[刘立]接下来要干什么，有些松懈。然而，随着一声声的呐喊，[刘立]将自己的手臂往护胸铃一捏，缓过弦来，疯狂踢腿，一跃而起，最后一个踢腿，莱斯被折服了。
1:31:12|1:31:25|裁判马上跑到莱斯身边，对着全场倒数，可惜莱斯挣扎着起不来。随后，裁判又给出了失败的手势，[刘立]由于过分激动，重心不稳，体力不支，直接跪倒在擂台上。
1:31:25|1:31:32|对着场外的[杨卉]和[韩冰]挥舞着自己的右手拳后，她摘下头盔，汗水和泪水交织在一起。
1:31:32|1:31:49|依然分不清是汗还是泪，[刘丽]缓了一换神，喜悦已经冲昏了她的头脑，脸上绽放的笑容，依旧捂着左手手臂，但她缓缓直起身来，对着全场观众深深鞠了一躬，她超越了自己，激动地尖叫一声。
1:31:49|1:31:57|随后，[韩冰]和[杨卉]进入场内，[刘丽]深情地拥抱了他们，全场观众都为她欢呼，[刘丽]喜极而泣。
1:31:58|1:32:12|比赛的末尾，师徒三人紧紧地拥抱在一起，体育场馆的上方荡漾着耀眼的灯光，仿佛都是在为[刘立]喝彩。这一次，[刘立]不仅超越了敌人，同时更加超越了自己。
1:32:12|1:32:17|他也向奥林匹克精神致敬，那是一种绝对不会被敌人打倒的精神。
1:32:18|1:32:33|影片的最后是[刘力]拿着金牌的画面，身后是代表中国的五星红旗。她的脸上洋溢着那种青春的朝季蓬勃，以及运动员的坚毅和坚定。
