0:0:46|0:0:50|这天，[悖亲王]正十万火急地前往神机营。
0:57:27|0:57:39|[陈玉娘]回过头，看着这个虽然有些呆傻但又极其单纯的傻小子，又想到今日他为自己击打特洛伊之事，便关上窗户，对他说道，
0:57:42|0:57:49|[陈玉娘]说罢，便走向绣床，可回头却发现[杨露禅]在地铺上不知所措。
0:57:50|0:57:59|再次得到指令之后的[杨露禅]，这才放心钻出被窝睡到床上。在床上的[陈玉娘]背对[杨露禅]，片刻之后，却发现[杨露禅]没有动静，
0:57:59|0:58:17|于是她便娇羞地转过身去，可转身过来的[陈玉娘]看到的却是[杨露禅]的一双脚。显然没有听懂[陈玉娘]话中之意的[杨露禅]转身过来之后却说道，
0:58:19|0:58:25|[陈玉娘]说罢，便摘下发卡，并用发卡弹灭了屋中的灯笼。
0:58:32|0:58:46|随后，[陈玉娘]便主动扑在[杨露禅]身上，二人便开始了这原本早该发生的夫妻之事。在隔壁房内正熟睡的[陈长兴]听到些许动静之后，突然睁大双眼，有些不敢确定地看向[陈玉娘]漆黑的房间。
0:58:46|0:58:52|经过这一夜之后，[陈玉娘]与[杨露禅]练功变得更加心灵相通。
0:59:3|0:59:20|说话之间距离二人同房已过去数日有余，在这期间，[陈玉娘]终于从[方子敬]的感情中走了出来，并且将真心全部交付给[杨露禅]。[陈玉娘]不分昼夜地陪着[杨露禅]练功，以助于他能更快参透陈家拳中的精髓。
0:59:23|0:59:38|而一直在暗处观察着二人的[陈长兴]见[杨露禅]的拳法一天比一天精进，夫妻二人的关系一天比一天亲密，他高兴地将唱片放入留声机内听着音乐。而[杨露禅]在[陈玉娘]的细心教导和阴阳调和之下，
0:59:38|0:59:45|功力也是突飞猛进，他如今的拳法虽然不及掌门[陈长兴]，可在村中已再无敌手。
0:59:45|1:0:2|就在[杨露禅]还在用心参透陈家拳的奥义之时，谁都没想到的是，陈家沟的劫难正在悄然靠近。一日清晨，在通往陈家沟那条幽深的峡谷之中，[方子敬]正率领大军前来。只见[方子敬]身穿四品官服，骑于马上，
1:0:2|1:0:19|其面色阴沉，凶恶的眼神中透露出无尽的怨恨。他的身后便紧随着神机营数十名全副武装的软甲骑兵，穿过骑兵营，便能见到那三门高大威武，霸气十足的德式克虏伯炮。这重若千斤的巨炮
1:0:19|1:0:31|需要足足12人使出全力才得以缓缓推动。在一个时辰之后，大批军队便已在[陈家村]门口集结完毕，三门重炮也已并列于阵前，而此时的[陈家沟]村民们还
1:0:31|1:0:40|还沉浸在睡梦之中，没有丝毫的察觉。待全部准备完毕之后，神机营队长向[方子敬]问道，
1:0:51|1:1:6|只见三枚炮弹应声而出，因高温推射，炮弹在空中划出三道抛物线之后精准地落于村内。炮弹手每次放完一轮之后，都会对大炮稍作调整，再次填装炮弹，以确保每颗炮弹轰炸的地方都各不相同。
1:1:6|1:1:25|就这样，[陈家沟]的众村民们遭受着无差别的轰炸，原本美丽祥和的[陈家沟]霎时间残墙断壁，房屋坍塌。虽然村民皆习得陈家拳，可此刻也只有逃跑的份。[陈玉娘]夫妇疏散众人逃跑之时，却发现[陈长兴]立于数米高的牌楼之上。
1:1:33|1:1:48|[杨露禅]听后丝毫不慌张，反而面带笑意地高高跃起，在柱子上连蹬数脚之后站上牌楼。待[杨露禅]站稳之后，[陈长兴]突然发现他头上的三花聚顶已完全消失。
1:1:49|1:1:55|[陈长兴]满意地点了点头之后，看向正在被摧毁的村庄，随后问到[杨露禅]，
1:2:8|1:2:20|此时，在村外的神机营队长看着满目疮痍的陈家沟问道，
1:2:28|1:2:42|本就如同废墟一般的陈家沟，在[方子敬]的复仇之心驱使下即将被夷为平地。神机营队长骑马冲到村口大喊道，
1:2:47|1:3:0|在这万分危难的时刻，[陈长兴]和[杨露禅]却很淡定地在吃早饭。此时，[陈有直]跑进来说道，
1:3:9|1:3:25|待[陈有直]走出之后，[陈长兴]仍然保持一副从容自若之态，并没有着急吩咐应对之策，而是不慌不忙地先吃完了碗中的饭。随后，才看着二人缓缓说道，
1:3:57|1:4:5|说罢，[陈长兴]拍案而起，其速度之快，功力之厚，竟使其外衣仍然保持人形，立于桌上。
1:4:6|1:4:12|二人起身走到父亲面前后，双手抱拳。
1:4:18|1:4:35|[陈长兴]说罢，便将一个八卦镜模样的令牌交于[杨露禅]手中，担此重任的二人对视一眼之后，便和[陈长兴]一同朝村口走去。三人刚走出屋，先前的餐桌便被炮弹炸得粉碎，房屋也被接踵而至的炮弹轰塌。
1:4:35|1:4:51|片刻之后，村口大门缓缓打开，只见三人大步流星般并肩前行，其面容之坦然，气势之鼎盛，使得数千敌军都不禁屏息敛气，汗出如浆。三人并没有丝毫停留，径直走向大军阵前。
1:4:51|1:5:7|[方子敬]见三人越靠越近，一股不安感油然而生，于是下令，阵前，数十名官兵各手持火枪，瞄准三人，并缓缓向前靠近，就连[方子敬]身边的软甲骑兵也紧随其后，欲将三人拦于百米开外。
1:5:7|1:5:20|片刻之后，三人便被数十把火枪抵住脑门，团团围住，官兵们虽手持火枪，可面对眼前三人丝毫不敢有所懈怠，皆全神贯注，手指扣于扳机之上，随时准备开枪。
1:5:20|1:5:32|可围得似乎太过紧密，使得[陈长兴]都无法看到骑在马上的[方子敬]，于是他便轻轻拨开面前的火枪，可不料官兵毫不领情，又将火枪抵在他的面前。
1:6:34|1:6:40|只见[方子敬]话音刚落，三人便以迅雷不及掩耳之势冲出火枪手的重重包围。
1:6:42|1:6:58|三人在开枪前的瞬间平地跃起，骑兵应声倒下，夫妻二人嘱咐完之后相视一笑，便各自为伍。此时残余的骑兵队手持利刃，面色凶狠地朝三人冲去，他们虽然人高马大，似有踏平一切之势，可灵活性极差。
1:6:58|1:7:4|[陈长兴]看准时机，如贴地滑行一般避其锋芒，双指重击马腹，使得骑兵纷纷摔落。
1:7:4|1:7:28|此时的骑兵阵型大乱，[杨露禅]夫妇也从边缘将其余骑兵尽数解决，见大事不妙的[方子敬]大喊道，骑兵队长得令之后抽出马刀，全力冲向[陈长兴]，只见[陈长兴]灵活一闪，紧接着单手抬起马嘴，便使战马翘起前蹄，随后抓住时机，再次重击马腹，队长因此被甩飞出数米远。
1:7:30|1:7:40|[方子敬]一声令下，数千名官兵手持长矛利刃顿时涌向[陈长兴]。[陈长兴]一阵推手之后，将先锋官兵全部击倒在地上，可面对源源不断冲向自己的官兵，
1:7:40|1:7:58|他只能逃离地面，跳到大炮之上。而此时还在地面的[杨露禅]夫妇则陷入苦战，二人虽然一拳一个，可无奈双拳难敌四手，不一会儿便陷入了敌军的包围圈。[陈长兴]为助二人摆脱困境，便从大炮上一跃而起，跨过官兵，
1:7:58|1:8:9|来到了[方子敬]面前。官兵们见状，反应迅速地手持长矛，一同刺向[陈长兴]，[陈长兴]随即揪起[方子敬]的衣领原地旋转，将刺来的长矛全部踢掉。
1:8:9|1:8:19|就在官兵们都没反应过来时，[陈长兴]将包围圈最靠近自己的一排官兵点穴，并将长矛在他们肢体中的缝隙穿插着。这时的[方子敬]冷汗直流，
1:8:19|1:8:33|因为他发现这排官兵不但动不了，还将大批援军挡在身后，而这一方空地在此刻仿佛成为二人的决斗场。就在[方子敬]紧张地左右踱步之时，夫妻二人从人丛外面飞进包围圈。
1:8:35|1:8:46|[陈长兴]说罢便连续推出几拳，[方子敬]犹如木桩一般任其宰割，紧接着[陈长兴]用尽全力，一拳就将[方子敬]击飞到人群之外。
1:8:53|1:9:1|冲出包围圈的众官兵如猛兽般再次刺向三人，可这种攻击在三人眼中看似凶猛，实则破绽百出。
1:9:1|1:9:13|三人仅用灵活的推手便突出重围，可即使在此番神技的加持之下，三人面对四面八方，毫无章法刺来的长矛也陷入苦战中。经过半天的休息，[方子敬]也缓了过来，
1:9:16|1:9:29|他一把抢过官兵手中的火枪，站在高处，瞄准人群中的[陈玉娘]，可毕竟是以前的相好，不忍下手。在犹豫片刻之后，又将枪口对准了[杨露禅]，[陈长兴]看到之后，急忙喊道，
1:9:30|1:9:39|就在[方子敬]即将扣动扳机之时，天空中传来引擎发出的巨大轰鸣声，众人还没看清，数颗炮弹便从空中落下。
1:9:40|1:10:2|没错，正是[陈栽秧]所驾驶天威翼前来救驾，天威翼投射的一颗颗炮弹将官兵炸得七零八落，顿时大批官兵倒下，剩下的官兵也都慌不择路，不知所措。地面的官兵们再也无心与三人战斗，而是不停地张望着空中，这时吸引了所有人注意的天威翼却直冲云霄，消失了在人们的视野之中。
1:10:2|1:10:8|就在人们以为结束之时，天威翼竟盘旋一周后，从后方杀了回来。
1:10:18|1:10:25|在一番射击之后，并未伤及天威翼分毫，[方子敬]愤怒地扔掉火枪，对炮兵说道，
1:10:26|1:10:43|炮兵听命之后，急忙爬上大炮装填炮弹。[陈栽秧]见敌人架起了大炮，便转动手柄，将自制的子弹倾囊射出，手持长矛的官兵如同待宰的羔羊一般，毫无反手之力，只能应声倒下。
1:10:43|1:10:53|此时的[陈长兴]看着天空中任意翱翔的天威翼，久久说不出话来。这时，[陈栽秧]还在不停地向下投射炮弹以掩护三人撤退。
1:10:54|1:11:10|[方子敬]见到天威翼飞快掠过众人之后，再次指挥着炮兵，[陈长兴]见天威翼朝人群中俯冲而来，便大声喊道，
1:11:12|1:11:21|而此时，大炮也已掉头并调好高度对准天威翼，还好[陈栽秧]灵活地闪避，躲开了炮弹。[陈长兴]解决掉面前的官兵之后，对夫
1:11:23|1:11:28|妻二人说道，二人抓住时机，朝官兵防守最薄弱的地方冲去。
1:11:31|1:11:34|就在这时，只见空中的天威翼一改之前的飞行姿态变成侧翼飞行，
1:11:34|1:11:47|巨大的机翼贴着地面滑翔。片刻之后，便来到二人身后，机翼从[杨露禅]和[陈玉娘]中间滑过时，二人精准一跃，稳稳地抓住了机翼，众多官兵只能眼睁睁看着二人从身边飞
1:11:47|1:11:55|走却无计可施。可[方子敬]见状却无比愤怒，他不允许这样的事情发生，于是对手下大喊道，
1:11:56|1:12:11|[方子敬]接过枪之后瞄准几人，而[陈栽秧]却大声嘲讽道，说完，便将为[方子敬]专门定制的最后一颗炮弹扔下，炮弹在空中翻转数周之后，精准地落在了[方子敬]的面前。
1:12:11|1:12:25|当他反应过来想跑时却为时已晚，被炸飞的[方子敬]倒在地上，不省人事，而天威翼之上的三人则在空中尽情翱翔，越飞越远。[陈长兴]见三人得以逃脱之后，也终于长出一口气。
1:12:25|1:12:35|面对所剩无几的残兵，此刻的他如果逃跑，绝无人能拦其去路。可为了村中的百姓所想，他还是选择不做反抗，被缉拿归案。
1:12:35|1:12:48|此刻，在机翼上的[杨露禅]夫妇也并不是一帆风顺，因高速飞行带来的强大气流使得二人寸步难行。偏偏在这时，刚才还是可以平稳飞行的天威翼突然变得摇摆不定。
1:12:48|1:13:12|[陈栽秧]发现天威翼的异况之后，又身提机械铠甲强撑着，使其保持平衡。在机翼上的二人也看准时机，紧紧抓住栏杆，这时天威翼仿佛达到了极限。[陈栽秧]看着机械部件问题频出，便大声喊道，
1:13:22|1:13:32|说完，[陈栽秧]竟毫不犹豫地纵身一跃，跳下天威翼。从这千米高空摔落，任凭是大罗神仙也难逃一死。
1:13:33|1:13:39|可就在二人绝望地看着牺牲的大哥之时，[陈栽秧]将胸前铁环用力拽下，
1:13:39|1:13:50|只见一张硕大的降落伞突然升起。[陈栽秧]虽然保住了性命，可数十名官兵早已在他脚下等待着他的降落，落地之后的[陈栽秧]面对包围，刚摆出战斗的架势，便
1:13:50|1:14:0|被头上的降落伞所罩住，官兵们见状一拥而上，对[陈栽秧]拳打脚踢。另一边在京城府上，洋人正在给惇亲王拍着照片，
1:14:1|1:14:12|闪光灯刺眼的光芒将王爷闪得睁不开眼。洋人见照片中是闭着眼睛的，便对王爷的手下说，
1:14:23|1:14:32|王爷思索片刻之后，不但没有生气，反而大笑起来。
1:14:45|1:14:54|就在这时，一位大臣慌慌张张地走到[陈有直]身边，附耳低语，
1:15:5|1:15:17|[陈有直]打发大臣之后，便对[Very Wong]说道，搞笑的是这张[陈有直]和李师父一同闭上了眼睛。
1:15:18|1:15:23|再次回到陈家沟，[陈长兴]被带走之后，[菲林明]公爵也驾车赶到。
1:15:24|1:15:37|[菲林明]公爵在官兵的指引下走进一间简易的木棚，浑身是伤的[方子敬]奄奄一息地摊靠在长椅上，他虽然官服破烂，狼狈不堪，但表情仍然十分愤怒。
1:15:52|1:15:58|与此同时，在隔壁村中，天威翼一头栽在了房顶上，而[杨露禅]和[陈玉娘]二人则躲在了一旁的马厩之中。
1:16:1|1:16:10|听着[陈玉娘]的问题，[杨露禅]一时也想不出好的办法。就在这时，一匹马将头伸到二人面前，[杨露禅]看了看马后，对着[陈玉娘]邪魅一笑。
1:16:12|1:16:30|于是[杨露禅]便骑上马，带着[陈玉娘]一路马不停蹄地朝京城飞奔而去，身担重任的二人纵使再累再乏也没有丝毫停歇，因为他们深知自己是全村人的希望。傍晚时分，在大牢中，狱卒压着[陈栽秧]走了进来。
1:16:44|1:17:2|被推倒在地的[陈栽秧]起身之后，愤怒地喊道，他转身刚说完话，便看到自己的父亲[陈长兴]正在闭目养神，静心打坐。[陈栽秧]看到父亲后下意识地低下头，他害怕又愧疚地挪到角落里。这时，[陈长兴]开口说道，
1:17:6|1:17:14|[陈栽秧]早已习惯了这种教训的话，便说道，
1:17:30|1:17:39|[陈栽秧]听着这话，难以置信地看向父亲。[陈长兴]诚恳地说道，
1:18:32|1:18:50|[陈长兴]愤怒地将撕碎的图纸扔在地上，残破的图纸上所写“天威翼”三字仍然清晰可见，[陈栽秧]颤颤巍巍地捡起地上的碎屑，缓缓起身后，心如死灰般地看着[陈长兴]。
1:18:53|1:19:8|[陈栽秧]看着毁了自己梦想的人，边退后边说道，他大吼完便转身朝院外跑去。[陈长兴]见状也知道自己说的话重了，他看着儿子的背影，一时间也有些不知所措。
1:19:8|1:19:17|可一向严厉的[陈长兴]并没有追上去，在大牢中[陈长兴]发自内心地说，
1:19:22|1:19:33|他看着面前泪流满面的儿子，轻声喊道，说完，[陈长兴]朝儿子缓缓伸出双手，[陈栽秧]见状高兴地急忙上前握住。
1:19:34|1:19:46|当双手触碰的一瞬间，[陈栽秧]再也难掩心中的委屈，趴在父亲身上嚎啕大哭，他这么多年的努力与坚持终于在这一刻得到了父亲的认可。
1:19:47|1:19:52|此时此刻，就连严厉了数十载的[陈长兴]眼中也不禁泛起泪花。
1:19:55|1:20:5|在车水马龙的京城之中，大街小巷尽显繁华二字，大小商铺数不胜数，往来客人络绎不绝。[陈长兴]虽然身担重任，
1:20:6|1:20:19|但见此情景，仍不禁左顾右盼。这时，[陈长兴]前方的公告牌前围起了大批人群，[陈长兴]也好奇地上前查看，可走到跟前时，却发现张贴在公告牌上的正是夫妻二人的通缉令。
1:20:19|1:20:31|见此情景，[陈长兴]便知时间紧迫，于是按照先前交代，来到了八卦门兑字掌门人的钟表铺前，[陈长兴]在装修华贵精致的钟表铺前愣了片刻之后，便走了进去。
1:20:31|1:20:41|此时，掌柜正在僻静的二楼专心致志地修理着怀表，不一会儿，得知夫妻二人意图的小二急匆匆地跑了上来。
1:20:51|1:21:6|说完，小二将[陈长兴]托付给[杨露禅]的信物双手呈上。掌柜见此信物，顿时放下手中工具，与小二一同下楼并说道，
1:21:19|1:21:32|[杨露禅]说完也摆好招式，[陈长兴]比武，一触即发。身为兑字掌门人，自然是功力深厚，身经百战，他仅从[杨露禅]那淡定自若的架势来看，便知此人绝非等闲之辈。
1:21:32|1:21:40|他迟迟不肯出手，还其左右许久之后，看准时机，击出一掌，可[杨露禅]瞬间闪身并同时攻其肋骨，将掌门人推开。
1:21:40|1:21:57|可不料，掌门还没站稳，便迅速一掌拍向[杨露禅]的胸前，避闪不及的[杨露禅]顺势后仰，以[陈家拳]的内功将此击泄力，随后紧接着一记借力打力，将兑字掌门击退数米，高手过招，到此为止，便已分清胜负。
1:22:9|1:22:21|正如兑字掌门人所说，八卦门共有八位掌门人，除兑字掌门之外，还分别有乾字、坎字、艮字、震字、巽字、离字、坤字等七位掌门人。
1:22:21|1:22:35|随后在兑字掌门人的指引之下，[杨露禅]手持八卦碟前去讨教，为的便是可以见到总掌门人[李师父]。其余七位掌门人知道[杨露禅]的目的之后，皆拿出看家本领，以礼相待。
1:22:35|1:22:43|这八位掌门人虽然师出同门，可所使招数却大相径庭，至阴至阳，各不相同，有的霸道无比，有的笑里藏刀。
1:22:45|1:22:52|可即便如此，在[杨露禅]用心领悟的[陈家拳]面前，这些变幻莫测的招式皆如孩童把式一般。一番切磋之后，这些完全可以独当一面的掌门人
1:22:54|1:23:6|不但未伤及[杨露禅]分毫，反而还被其处处留手。[杨露禅]也将中华武术的点到为止发挥得淋漓尽致，连一旁围观的百姓看后都纷纷拍手叫好。
1:23:6|1:23:19|在击败坎字掌门人之后，[杨露禅]也成功闯到了第七关。这时，在[悖亲王]府中的后厨之上，[李师父]早早派去暗中观察的士兵前来报信，正在监管后厨的[李师父]背对门口。
1:23:50|1:23:57|刘掌门即将从二楼重重跌下时，[杨露禅]急忙将其扶稳。
1:24:1|1:24:10|刘掌门说完，便带着[杨露禅]夫妇来到惇亲王府。[李师父]接到二人之后一路带到后厨，并与其说道，
1:24:32|1:24:39|说话间，一名厨师端着盘子转身，[李师父]刹那间侧身躲避，并灵活地滑步到其身前。
1:24:57|1:25:9|[李师父]仍然一言不发地向前走去，他虽是王爷身边的红人，但因此事重大，他也难以左右。[杨露禅]二人见[李师父]不停地穿梭在后厨之中，便心急地同时跪地抱拳。
1:25:9|1:25:23|可当他们抬起头时，却发现[李师父]以同样的姿势跪地，只不过[李师父]所跪之人正是二楼的惇亲王。见王爷出来后，[李师父]底气十足地说道，
1:25:32|1:25:46|惇亲王听后并未立刻给出答复，而是缓缓抬起权贵之手，手心朝上，四指轻挑，说道，听到王爷的声音之后，后厨所有人立刻弯腰站好。
1:26:35|1:26:44|[杨露禅]仅一个抱拳的瞬间，便在众目睽睽之下将桌上的芝麻饼悄然拿走。王爷听此答复甚是满意，便说道，
1:27:1|1:27:16|切磋不成问题，可[陈玉娘]看着锅炉和桌椅排列紧凑的厨房顿时感到疑惑，她环视一周之后，不解地问道，[杨露禅]刚转身跟随[李乾坤]，[陈玉娘]则担心地抓住他的手腕。
1:27:25|1:27:37|[李乾坤]说着便朝楼梯上走去，并在转角将手上沾满了白面，待走到楼梯中间时，突然跳上扶手，以绝顶的轻功踏在锅炉之间的木质屏风之上。本就用来分离锅炉的屏风，
1:27:37|1:27:52|其宽度也仅三指有余，一般人根本难以直立，更别说在此比武。就这一会儿的时间，[杨露禅]已经将偷偷拿走的芝麻饼神不知鬼不觉地吃净。见[李乾坤]摆好架势之后，他便同样踏上屏风。
1:27:52|1:28:2|只见[杨露禅]的轻功与[李乾坤]不相上下，脚下所踏屏风稍有摇晃，但其上盘却分毫未动，稳如泰山。说话之间，便在屏风上环[李乾坤]一周之后，
1:28:4|1:28:13|立于面前并摆好架势。[李乾坤]看着[杨露禅]的身手，甚是满意，刚要动手，却发现脚下没了动静，数十名厨师们都纷纷抬头，看向二人。
1:28:28|1:28:44|二人四目相对许久之后，[李乾坤]按捺不住，率先出手。双手在身前交错佯攻，下一秒便一个箭步踢到[杨露禅]肩上。[李乾坤]见[杨露禅]挨了自己一脚之后还能立于屏风之上，便紧接着直击面门，攻击上路。
1:29:4|1:29:15|片刻之后，二人瞅准时机，一掌击向对方胸膛，受力的二人顿时都向后飞去。飞回到原位的二人重新气运丹田后，这第一回合的试探才算结束。
1:29:19|1:29:28|楼上的王爷看后夸赞道，这时[李乾坤]换了个架势，再次出手，也曾对[陈家二嫂]拳有所顿悟的[李乾坤]，欲用[陈家拳]对付[杨露禅]。
1:29:28|1:29:40|二人的身法招式、攻击防守完全相同，一时之间难分胜负，并且二人皆悟出[陈家拳]与自然生活融会贯通之理。正如此时在油锅中翻腾的鱼一般，
1:29:40|1:29:52|屏风上的二人也旋转着再次出手。[李乾坤]身为外村人，仅经过数次切磋，便将习得[陈家拳]之精髓。虽未能伤及[杨露禅]，但[杨露禅]的攻击也被[李乾坤]尽数化解。
1:29:52|1:30:2|[杨露禅]一记掩手平拳被[李乾坤]的推手所轻松化解，并立刻送上一记单边，没等[杨露禅]防守结束，[李乾坤]又一记白鹤亮翅横扫上路，
1:30:2|1:30:18|[杨露禅]虽然及时躲避，但也有些猝不及防。可就在[李乾坤]出招的瞬间，让[杨露禅]抓住了破绽，一记旋风脚险些将[李乾坤]踢下屏风。好在[李乾坤]下盘奇稳无比，仰伸小腿便重回屏风之上。
1:30:19|1:30:27|随后二人再次互相击出一掌，向后飞去。在高手林立的京城中，稳坐头把交椅的[李乾坤]几个回合下来
1:30:27|1:30:37|虽然未处下风，但也未多占得一分便宜。就在二人分开运气之时，脚下的糖醋鲤鱼也恰好出锅，这诱人的香气顿时弥漫整间后厨。
1:30:38|1:30:51|[杨露禅]闻了之后，不禁咽了咽口水，听到[陈玉娘]训斥之后的[杨露禅]重新将注意力全部集中到比武之上。在这一刻，似乎参透了万物相生相应之理。此刻，在旁人看来他是原地不动的，
1:30:51|1:31:3|可只有他自己用心看见了二人接下来比武的场景。几番交手下来，[李乾坤]的招数也被[杨露禅]洞察得十有八九，片刻之后，他终于看见了可以击败[李乾坤]的办法。
1:31:4|1:31:17|楼上的王爷看着迟迟不肯动手的二人心生疑惑，但作为看客，并没有出言打扰。片刻之后，精气融为一体的[杨露禅]单脚立于屏风之上，并以金刚捣锤的招式变换成楔形。
1:31:18|1:31:26|[李乾坤]见对方变招，自己也做好了应对之策。这次，[杨露禅]率先出手，他猛地冲向[李乾坤]，就在刚要动手之时，只见[杨露禅]突然变向，
1:31:28|1:31:39|飞到[李乾坤]左侧身后，迅速一记凌空飞踹，直击[李乾坤]面门，被打得猝不及防的[李乾坤]并未慌张，闪躲之后转身一记云手，同样直击要害。
1:31:39|1:31:51|[杨露禅]未躲此招，在空中旋转数圈。可刚一落地便被经验老道的[李乾坤]抓住空档，再一记撇身锤击向耳侧，[李乾坤]本以为此击必中，可不料[杨露禅]霎时间如同水中
1:31:51|1:32:5|鲤鱼一般灵活，腰腹一软便轻松躲避。就在[李乾坤]惊讶的瞬间，[杨露禅]便一掌击向其腹部，[李乾坤]察觉时已经无法躲避。可不料[杨露禅]突然收手，紧接着借力在空中旋转，
1:32:5|1:32:17|在翻转时[杨露禅]双手沾下自己胸前带面粉的掌印，并击在[李乾坤]的胸前。接下来参透真理的[杨露禅]势不可挡，见招拆招，[李乾坤]的攻击不但尽数被其化解，
1:32:17|1:32:24|反而[杨露禅]又开始处处留手，[杨露禅]轻推一掌之后，二人重新运气，这时脚下传来了铃铛声。
1:33:50|1:33:59|[王爷]听后便问到[杨露禅]，
1:34:18|1:34:26|战胜了[李乾坤]并且还得到[王爷]的认可，高兴的夫妻二人激动地抱在了一起。
1:34:53|1:35:11|父子二人衣衫褴褛地走到[陈家沟]的山上，而得知消息的众人早早来到山头迎接。众子女见到父亲兄长虽然蓬头垢面，但都平安无事，便难掩心中喜悦。[陈长兴]再次见到儿女和长老等人，眼眶也变得湿润，
1:35:11|1:35:19|感情甚好的[陈栽秧]夫妻更是相拥而泣。就在一大家人沉浸在团圆的气息中，小女孩对大家喊道，
