0:0:53|0:0:59|听完这话[蒋浩龙]伸手拿过[曼迪]手中的衣服袋子，
1:36:31|1:36:49|[余春娇]抬起眼睛深呼吸后吐了一口气，舒缓了一下情绪，但泪痕依然在脸颊上，[余春娇]流泪看向[Sam]，她欲言又止，
1:36:59|1:37:8|[余春娇]苦涩地把头低下，情绪再次起伏，
1:37:21|1:38:4|[Sam]一言不发地听着[余春娇]讲述，[余春娇]忍着泪水摇了摇头，[余春娇]边说着边看向[Sam]，她没有让泪水在[Sam]面前留下，而是转过头去，两个人低头陷入沉默当中，[Sam]没有说话，远处传来广播员的声音，
1:38:5|1:38:20|机场的吵闹让一切回到现实当中，[余春娇]抬眼看向[Sam]，[Sam]微笑地看着她，突然间，抬手摸了摸她的脑袋，这让原本哭泣的[余春娇]哭得更厉害了。
1:38:20|1:38:35|[余春娇]把电脑装进包里，随后起身离开，[张志明]此时依旧在出租车上，火车站内，[余春娇]一手推着行李箱，一手拎着包低头前行着。
1:38:35|1:38:44|这边[张志明]一进车站就在大厅里迅速跑上电梯，在电梯上他也是拼命奔跑，仿佛在跟时间赛跑。
1:38:44|1:38:59|上到2楼他四处张望着，焦急地在人群中寻找[余春娇]的身影，一遍又一遍地辨认，最后他有些颓废地来到进站口，抱着一丝希望等待[余春娇]的到来。
1:38:59|1:39:14|正当他有些动摇准备放弃的时候，转身那一刹那他惊呆了，他正正地看向远处眼里绽放出光芒。
1:39:18|1:39:36|马路对面[余春娇]推着行李箱，背着单肩包出现在[张志明]的视线当中，[张志明]狂奔到她面前，四目相对，两人顿时热泪盈眶，他们静静注视着彼此没有说话。
1:40:54|1:41:6|两个人对视，[余春娇]翻了个白眼，被[张志明]逗笑，[张志明]双手捧住她摇晃的脑袋，一把将她搂入怀中，紧紧抱住。
1:41:36|1:41:52|[张志明]搂着[余春娇]的肩膀推着行李箱前行着，影评到这里就要跟您说再见了，感谢您的聆听。
