0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
0:50:29|0:50:48|At this moment, [Chun Qin] led [Chen Yunqiao] behind the screen with a thin veil. However, when the two emerged, the veil was unexpectedly wrapped around [Chun Qin]'s neck by [Chen Yunqiao]. [Kong Hai] and [Bai Letian] hurried to intervene, but [Chen Yunqiao], as if possessed by a supernatural force, leaped and pulled [Chun Qin] with the veil onto the guests' table, shattering the dishes and utensils.
0:50:48|0:50:55|Suddenly the curtains rolled up, the doors and windows closed, red smoke rose, and the guests were scared and fled in all directions, leaving only the musicians playing more and more intensely.
0:50:56|0:51:2|[Chen Yunqiao] dragged [Chun Qin] onto the drum, which seemed to have a magical power, and it sucked the table over and arranged it neatly.
0:51:2|0:51:11|He knocked [Chun Qin] down, his body pressing tightly against [Chun Qin], and said in his mouth.
0:51:21|0:51:28|[Kong Hai] stood quietly on the side, observing everything with a cold gaze. The more frenzied the musicians played, the more [Chen Yunqiao] went crazy and strangled [Chun Qin].
0:51:28|0:51:37|[Kong Hai] arrived at the musician and gently touched the musician who was holding the pipa. The musician immediately turned around, the strange light in his eyes disappeared instantly, obviously they were both under the illusion of the demon cat.
0:51:37|0:51:45|The musician fainted, the music stopped, and [Chen Yunqiao] finally regained his senses. He suddenly realized that he was strangling [Chun Qin].
0:51:45|0:51:57|Seeing [Chun Qin] lying on the drum, struggling for breath, he panicked and quickly let go. Unfortunately, it was already too late.
0:51:57|0:52:4|[Chun Qin] said in a weak voice at last.
0:52:8|0:52:15|She stared with her eyes wide open as she was strangled to death by her own husband. [Chen Yunqiao] wiped away her tears with the hem of her clothes, as if speaking to herself and to others at the same time.
0:52:17|0:52:23|After saying goodbye to [Chen Yunqiao], he turned and left as if nothing had happened. Suddenly, another cat's meow was heard.
0:52:28|0:52:38|Outside the house, Bai Letian saw Chen Yunqiao sitting on a tree, throwing money down. Witnessing the tragic end of the Chen family, Bai Letian said indignantly.
0:52:48|0:52:57|But [Kong Hai] was inspired by this and pressed [Bai Letian] for more information.
0:53:18|0:53:24|Upon hearing Master Konghai's judgment, Bai Letian's face turned extremely ugly.
0:53:27|0:53:51|He angrily interrogated [Kong Hai], who remained silent. [Bai Letian] turned and left. [Kong Hai] looked at [Bai Letian]'s almost frantic accusations with pity in his eyes. Suddenly, [Bai Letian] turned back and continued speaking. [Bai Letian] slammed the door and left [Kong Hai] alone.
0:53:52|0:53:58|The sky above Chang'an City is still shrouded in dark clouds. To uncover the truth, [Kong Hai] once again visits the home of [Bai Letian].
0:53:58|0:54:4|Upon entering, he saw the unwashed dishes of [Bai Letian] on the stove, with spoiled leftovers attracting flies buzzing around.
0:54:4|0:54:13|[Bai Letian] is sitting at his desk, lost in thought. His room is filled with books, and even the walls are covered with paintings.
0:54:20|0:54:36|[Kong Hai] saw a painting on the ground and picked it up. Looking around, he realized that it was a portrait of the woman on the entire wall, she was [Yang Yuhuan]. [Bai Letian] hurriedly got up, wanting to tear down the painting on the wall.
0:55:27|0:55:37|After [Kong Hai] took the painting of [Yang Yuhuan] from [Bai Letian] and left the room, hoping to give [Bai Letian] some time alone, but [Bai Letian] was not grateful.
0:55:37|0:55:43|[Kong Hai] had just walked out of the room when he closed the door behind him. The more he thought about it, the angrier he got, and finally couldn't help but say to [Kong Hai] through the wall,
0:57:18|0:57:24|The love story of "Changhen Ge" told by [Kong Hai] is fake, completely shattering the last defense line in [Bai Letian]'s heart.
0:57:24|0:57:36|He stood in front of the door, and it took a long time before he turned around to face [Master Konghai], tears in his eyes as he spoke.
0:58:44|0:58:52|The master looked at [Kong Hai] with a reassuring gaze.
0:59:16|0:59:22|[Kong Hai] bid farewell to his deceased master, shouldered his luggage, leaned on his cane, and wore wooden clogs.
0:59:22|0:59:26|Trudging through the snowy white, thus began the journey to the Tang Dynasty.
0:59:26|0:59:34|Throughout the journey, he had to climb over steep mountain peaks and sail across vast oceans in a small boat. Unfortunately, he encountered a fierce storm at sea, with waves as high as 10 meters.
0:59:43|0:59:44|A moment of wailing filled the air.
0:59:44|0:59:53|Facing the threat of death, [Kong Hai] showed signs of panic, but a woman beside him remained calm, soothing the child in her arms with a peaceful expression.
0:59:53|0:59:55|[Master Konghai] couldn't help but ask.
1:0:4|1:0:12|As [Kong Hai] looked at the woman in confusion, suddenly the sea water rushed into the boat. Eventually, the small boat couldn't withstand the sea storm and sank to the bottom of the sea, dragging everyone into the water.
1:0:12|1:0:19|Fortunately, [Master Konghai] had learned to swim. He struggled to swim out of the boat, but the wind and waves did not stop, instead becoming more violent.
1:0:19|1:0:27|The waves crashed heavily layer by layer on the sea, and due to exhaustion, he was still swept into the sea.
1:0:36|1:0:43|Just as [Kong Hai] was about to be drowned, a sudden thought crossed his mind.
1:0:56|1:1:4|[Bai Letian] was moved by [Master Konghai], and the two set out on a journey to find the truth once again.
1:2:43|1:2:48|After the two bid farewell, Mama came to the loom as usual and wove white silk.
1:2:48|1:2:54|She was weaving when suddenly a cat jumped onto the loom. The maid was startled at first, then stopped her work.
1:2:54|1:3:0|Then strangely, a cat suddenly appeared. The cat turned its head and stared at her intently.
1:3:0|1:3:11|After a while, a fierce voice came out of its mouth. The demon cat then cut the white thread on the loom with its sharp claws, and all the threads wrapped around the nanny's neck. And that's how it happened.
1:3:11|1:3:14|The nanny was strangled to death by the white silk she had woven.
1:3:14|1:3:19|At the same time, [Bai Letian] and [Master Konghai] were discussing the suspicious points of the death of the imperial concubine on the road.
1:3:43|1:3:49|In the midst of their conversation, the two suddenly realized that Nanny might be in danger and hurried back.
1:3:50|1:3:57|At this moment, the nanny had indeed fallen in front of the loom, her neck wrapped in white thread. Seeing the tragic death of the nanny, [Bai Letian] couldn't help but blame [Kong Hai].
1:4:0|1:4:7|Another life was taken by the demon cat, Bai Letian angrily pounded his hand against the wall.
1:4:10|1:4:18|To uncover the truth, [Bai Letian] brought [Kong Hai] back to the Imperial Library. [Bai Letian] handed the documents to [Kong Hai], but he accidentally dropped them.
1:4:19|1:4:26|With a loud crash, the documents scattered all over the floor, catching the attention of [Master Konghai] with a list of missing names waiting to be filled in.
1:4:59|1:5:5|[Bai Letian] blurted out, [Kong Hai] quickly stopped him to prevent the demon cat from hearing. In order to arrive at [Bai Ling]'s house before the demon cat could strike, the two hurried through the rain.
1:5:6|1:5:15|[Bai Ling], a Japanese woman, stood in front of the house with a friendly expression to greet them.
1:5:17|1:5:24|Master Konghai walked into the room, bowed to Bai Ling, and started conversing with her in Japanese.
1:5:57|1:6:5|[Bai Ling] lowered her head and hesitated for a long time before finally speaking.
1:6:51|1:7:0|[Bai Ling] finished speaking and then smiled bitterly. [Master Konghai] saw the helplessness and sadness in [Bai Ling]'s eyes and said.
1:7:0|1:7:8|She didn't answer, silently turned around and led the two into the courtyard. The rain outside had stopped at some point.
1:7:8|1:7:15|[Bai Ling] walked to the grave of her husband, Mr. [Abe Nakamaro], with [Master Konghai] behind her, bowing deeply towards [Nakamaro]'s tomb.
1:7:32|1:7:38|Perhaps it was Bai Ling who was moved by Master Konghai's words. She returned to her room and took out her husband's diary to give to Master Konghai, telling him about the contents of the diary.
1:8:4|1:8:11|[Master Konghai] and [Bai Letian] sat on the city tower and began to read, following the diary as if they had traveled back to the Xuanzong era 30 years ago.
1:8:11|1:8:19|That day, the crowd in Chang'an City was bustling and lively. [Abe Nakamaro] rode a spirited horse through it, looking particularly dazzling.
1:8:55|1:9:3|At this moment, [Yang Yuhuan] was draped in a light gauze, wearing a splendid peony on her head, swaying on a high swing in the lingering sunset.
1:9:3|1:9:17|She not only received the admiration of the people in Chang'an City, but also stirred the heart of [Abe Nakamaro], all because of a glance at [Yang Yuhuan], planting a seed of love in his heart. [Abe Nakamaro] decided to confess his love to [Yang Yuhuan].
1:9:26|1:9:32|Following Abe Nakamaro's diary, Bai Letian and Kong Hai discovered that 30 years ago, in order to celebrate Yang Yuhuan's birthday,
1:9:32|1:9:39|The extravagant Paradise Feast hosted by [Tang Xuanzong]. At that time, the city of Chang'an was brightly lit.
1:9:39|1:9:41|Fireworks in the sky bloomed freely,
1:9:41|1:9:48|The tinkling laughter echoed in the ears. A dreamlike phoenix carriage slowly moved along Chang'an Street in the city.
1:9:48|1:9:53|This is just the prelude to the feast of paradise, and we can already see [Abe Nakamaro] enraptured.
1:9:53|1:10:0|He followed Feng Luan through the crowded people, and soon arrived at the location of the banquet, the Huaxi Hall.
1:10:0|1:10:5|[Abe Nakamaro] is about to meet [Yang Yuhuan] here, and he can hardly contain his excitement.
1:10:5|1:10:16|Suddenly, two mischievous little girls appeared in front of the building. They had drawn mustaches on their mouths, pretending to be men, and peeked out from the doorway with a smile, watching the continuous stream of visitors outside.
1:10:16|1:10:28|[Abe Nakamaro] was amused by these two little girls, so he followed them through the crowd and finally arrived at the banquet hall. Above the hall, there were dancers with various expressions, like a painting unfolding before everyone's eyes.
1:10:29|1:10:38|Just as everyone marveled at how the dancer was flying in the sky and staying still, suddenly the wine pot hanging in the air poured out wine on its own, which then flowed into the dancer's mouth.
1:10:38|1:10:43|The dancer hadn't even had a chance to taste it properly when the wine jug brushed against something and fell to the ground, shattering into pieces.
1:10:43|1:10:48|The strange thing is that the fragments slowly grew into flowers. Then even more miraculous things happened.
1:10:48|1:11:3|The sea of flowers on the ground unexpectedly turned into a canvas, which was lifted by someone, and red wine slowly overflowed from underneath. In no time, a wine pool appeared. Above the wine pool, a flute suddenly appeared, lightly tapping it twice. A [White-robed Maiden] leaped out of the wine pool.
1:11:3|1:11:10|[The White Girl] reached out to grab the flute, but the mischievous flute flew higher and higher. Unwilling to give up, [The White Girl] stepped on the auspicious clouds and followed it up.
1:11:10|1:11:16|They flew higher and higher, until they reached the sky. Finally, she grabbed the flute in the clouds.
1:11:16|1:11:24|The flute had no choice but to obey, and soon the sound of the flute came from the sky. However, along with the melodious flute sound, raindrops began to fall slowly.
1:11:25|1:11:31|Some people were suddenly startled by the rain, some clapped and cheered, while others danced in the rain.
1:11:31|1:11:35|Abe Nakamaro was once again amazed by the fantastic performance in front of him.
1:11:35|1:11:45|It's strange, the [girl in white] playing the flute is clearly in the clouds, how come there's a shadow reflecting on the water surface, and the shadow is even separating from the [girl in white], suddenly turning into a water droplet falling rapidly downwards.
1:11:45|1:11:48|Just before landing, he transformed back into a man.
1:11:48|1:11:56|The crowd was startled, thinking the man had accidentally fallen from above. Suddenly, the man somersaulted and landed steadily on a red line.
1:11:56|1:12:13|Using the bouncing power of the rope, the man soared into the sky again and pulled the girl playing the flute down. The two of them suddenly plunged into the wine pool, and the dancers beside the wine pool waved their sleeves together. The two of them transformed into two golden carps and rushed out. They intertwined in the air and gradually turned into two graceful young men.
1:12:13|1:12:23|Even more peculiarly, the young man's clothes changed from the red Ni Chang to a white feather robe, and their wonderful performance pushed the atmosphere to a climax, everyone couldn't help but applaud.
1:12:23|1:12:32|Abe Nakamaro was completely captivated by this spectacular fantasy performance. Just as he reached out to touch the dancer, she suddenly turned into a wisp of green smoke and disappeared.
1:12:32|1:12:41|The performance came to an end, but the most exciting moment began as [Yang Yuhuan] appeared.
1:13:8|1:13:11|[Yang Yuhuan] did not answer, but instead asked [Gao Lishi].
1:13:11|1:13:18|As she walked forward, suddenly her skirt was stepped on by someone. When she turned around, she found that person was the Emperor.
1:13:18|1:13:26|The Emperor covered half of his face with the hem of his robe, making everyone laugh heartily. The Empress was also amused by the Emperor, and the two of them walked to the center of the hall together.
1:13:29|1:13:40|A Taoist priest stood in front of the emperor and the empress, tossing a piece of origami into the air. The origami instantly transformed into a fierce tiger, causing the guests to flee in all directions.
1:13:42|1:13:56|As the tiger leaped into the crowd, it suddenly transformed into pink petals floating in the air, shocking everyone once again with the scene before their eyes. The Taoist performer concluded the act and explained to the Emperor and the Empress.
1:14:20|1:14:24|They would snatch the grapes that were almost in someone's mouth when no one was paying attention, and then take away the fine wine from a rich man's hand.
1:14:26|1:14:32|After finishing the wine, he casually threw the wine cup into the Taiye Pool, unexpectedly the cup turned into a magpie and flew away.
1:14:32|1:14:40|The two ran past [Abe Nakamaro] and even threw him a bunch of grapes.
1:14:47|1:14:55|The two young men transformed into white cranes as they soared above the Huaye Xianghui Tower, undoubtedly adding a vivid touch to the feast of paradise.
1:14:56|1:15:10|Watching the white crane youth flying in the air, everyone was surprised, even the noble concubine. Reading this, [Bai Letian] was surprised to find that the demon cat had also appeared at the banquet.
1:15:22|1:15:28|Li Bai got drunk and was forcibly carried by Gao Lishi to the side of the Taiye Pool.
1:16:40|1:16:54|[Gao Lishi] didn't want to be framed by [Li Bai], so he grabbed [Li Bai]'s boots and pulled them off. Seeing his plan succeed, [Li Bai] happily crawled to the nearby wine pool, stuck his head in, and started drinking.
1:17:3|1:17:14|The two were discussing the Empress's emerald hairpin when, upon turning around, they found the Empress standing behind them. In order to prove his identity and to show off, [Dan Long] intentionally transformed into a white crane in front of the Empress.
1:17:24|1:17:33|The noble concubine greatly admired the handsome young man in front of her. [Dan Long] could only reluctantly offer his hands.
1:18:55|1:19:8|He recited while writing, slowly leaning back as if his thoughts flew to the sky nine thousand miles high. With tears in his eyes, he continued to recite.
1:19:18|1:19:24|After reciting these two lines of poetry, a tear suddenly fell from the corner of his eye. He lifted his brush and continued writing behind [Gao Lishi].
1:19:24|1:19:33|Li Bai's crazy and frenzied state attracted many guests to watch. Finally, he made a bold stroke and said to Gao Lishi.
1:19:37|1:19:43|Li Bai threw his brush into the wine pool.
1:19:50|1:19:54|After leaving [Gao Lishi] aside, he leaned against a rock and fell asleep, soon snoring loudly.
1:19:55|1:19:59|On this side, [Bai Letian] and [Master Konghai] also found the Huaye Xianghui Building 30 years later.
1:19:59|1:20:8|Time flies, years have passed, the once magnificent palace has now turned into a deserted place overgrown with weeds.
1:20:8|1:20:17|The two pushed open the long-sealed door, searching around the hall. Finally, [Kong Hai] found something in the dried-up Taiye Pool and quickly called [Bai Letian] over.
1:20:19|1:20:26|It's a broken pen. [Bai Letian] carefully picked it up and showed it to [Kong Hai] with excitement, tears welling up in his eyes.
1:20:34|1:20:40|In his dream, [Li Bai] was awakened by [Gao Lishi]. In a daze, he suddenly realized that Yang Yuhuan was approaching him, which startled him.
1:20:40|1:20:46|Fortunately, the noble concubine did not mind [Li Bai]'s awkward entrance, but instead gently spoke to him.
1:21:25|1:21:32|The empress did not get angry, but instead walked over to him to remind him. It was when Li Bai was putting on his shoes.
1:21:43|1:21:48|Li Bai was stunned by the Empress's praise, watching her departing figure, Li Bai suddenly recited the poem he had just written.
1:22:36|1:22:41|The bright moon was already hanging high in the sky at some point, and in the blink of an eye, the feast in paradise was coming to an end.
1:22:42|1:22:50|At this moment, the Empress is accompanying the Emperor in the waterside pavilion by the lake, practicing calligraphy, away from the bustling banquet, enjoying the wonderful time together.
1:22:51|1:22:59|The moment was interrupted by the sudden visit of [Abe Nakamaro], causing the Emperor to stop his pen and look at [Abe Nakamaro] in surprise, creating a tense atmosphere.
1:23:41|1:23:58|The Emperor put down his pen, walked up to [Yang Yuhuan], grabbed her shoulder, and looked at her face. [Abe Nakamaro] watched the Emperor gaze at [Yang Yuhuan] with such affection, feeling a myriad of emotions but not knowing where to begin.
1:25:1|1:25:9|The emperor beat the drum and fought with An Lushan, who wielded a curved knife. Everyone was worried that he would be injured by An Lushan, but he was completely unconcerned.
1:25:18|1:25:26|Indeed, An Lushan did not harm the emperor at all, but engaged in a passionate martial arts battle with His Majesty. The feast of extreme joy came to an end in such revelry.
1:25:29|1:25:37|The scene shifts to 30 years later, where [Bai Letian] and [Kong Hai] continue to explore the truth of the past following the diary of [Abe Nakamaro].
1:25:37|1:25:45|They rowed the boat to Yanqiu Gate. Before the boat even stopped, [Bai Letian] excitedly ran ashore and stood in front of Yanqiu Gate, pointing ahead to [Kong Hai].
1:25:59|1:26:15|Following the direction pointed by [Bai Letian], the time has once again returned to 30 years ago. In the distant sky, billowing smoke filled the air, soldiers with long spears in hand were fleeing with their families from all directions, among them was Emperor Li Longji.
1:26:15|1:26:22|Who would have thought that the proud emperor at the feast of paradise would only last for ten days and then flee from the imperial palace in such a sorry state.
1:26:22|1:26:40|Walking forward with the support of the guards, he suddenly stopped for no apparent reason, remained silent for a while, then slapped the hat off the guard next to him. The guard quickly bowed in a gesture of apology, but he knew in his heart that the emperor was venting his anger on him.
1:26:41|1:26:50|This sentence is both addressed to the 100,000 soldiers and to oneself. Finally, they arrived at Ma Wei Inn overnight.
1:27:5|1:27:24|At this moment, the Emperor is standing on the dilapidated city wall, looking at the soldiers in the distance. Upon hearing the report from [Huang He], he slowly turns around, his gaze sharp, and as soon as he enters the room, he gives orders to the guards. With one command from the Emperor, the guards open all the doors.
1:27:24|1:27:31|General Gao Lishi quickly walked towards the emperor with a plate in his hands, and soon presented it in front of the emperor.
1:27:31|1:27:38|The Emperor lifted a red silk cloth, revealing the blackened head of [Yang Yuhuan].
1:27:38|1:27:42|[Gao Lishi] pretended to remain calm and continued to pass on the message.
1:27:59|1:28:3|Abe Nakamaro behind him hurried forward when he heard the conversation between the two.
1:28:7|1:28:18|Abe Nakamaro approached the Emperor and whispered something. The Emperor looked towards the direction of the Empress upstairs, his eyes filled with sadness but a hint of a smile on his lips.
1:28:21|1:28:26|The emperor turned around and asked [Huang He] to leave the hall. Abe, unwilling to give up, decided to try his luck and headed towards the direction of the second floor where the concubines were.
1:28:27|1:28:32|She was sitting on a broken chair at the moment, quietly listening to [Bai Long] playing music.
1:28:32|1:28:39|She heard footsteps and suddenly turned around to see Abe Nakamaro.
1:28:42|1:28:48|She agreed to Abe's request, and the two of them moved to the side.
1:28:56|1:29:3|She remained silent for a moment before turning around and saying.
1:29:13|1:29:21|Instead of meeting Abe's gaze, [Ma Dongmei] slowly walked past him.
1:29:23|1:29:32|As the Emperor said, he lost.
1:29:32|1:29:40|[Yang Yuhuan] refused his request. Abe didn't say anything more, he bowed and turned to leave. Suddenly, [Yang Yuhuan] called out to him, tears welling up in her eyes.
1:31:50|1:31:55|Just when everyone was at a loss, [Huang He] presented a plan to the emperor.
1:31:55|1:32:1|He ordered [Dan Long] to lie on the stone slab in front of everyone, then took out a silver needle and inserted it into [Dan Long]'s neck.
1:32:1|1:32:11|Before long, [Dan Long] fell into a deep sleep, as if he had died. [Huang He] explained to everyone.
1:33:10|1:33:16|While the Emperor was talking to [Yang Yuhuan], [Huang He] pulled out the silver needle from the neck of [Dan Long], and Dan Long's eyelids immediately twitched.
1:33:19|1:33:23|[Huang He] finished speaking, and [Dan Long] did indeed manage to get up, but he hadn't taken two steps before falling to the ground.
1:33:23|1:33:31|Bai Long quickly helped up Dan Long. Huang He explained to everyone.
1:33:35|1:33:41|Although Huang He said there was no major problem, Bai Long had some doubts in his heart. At this moment, Gao Lishi hurriedly offered his advice.
1:33:58|1:34:5|In the distance, a long sobbing sound could be heard, and [Yang Yuhuan] looked at the emperor expressionlessly.
1:34:5|1:34:9|The emperor dared not look at her, he lowered his head and asked [Huang He] softly.
1:34:13|1:34:20|Huang He's response was like a reassuring needle, the Emperor walked up to Yang Yuhuan.
1:34:36|1:34:52|[Bai Long] heard their discussion and immediately stepped forward to stop everyone. However, [Huang He] unexpectedly struck his left leg heavily with a stick. He leaned against a stone slab, hoping [Yang Yuhuan] would resist her fate, but she seemed to be a bystander, calmly watching everything.
1:34:59|1:35:7|[Kong Hai] was convinced that they were going to bury the noble consort alive, which [Bai Letian] couldn't accept. And 30 years ago, [Yang Yuhuan]
1:35:7|1:35:13|Watching her beloved man in front of her just lightly nodded, even trying to squeeze out a smile.
1:35:13|1:35:22|After obtaining her consent, the Emperor immediately poured her a glass of wine. Without any hesitation, she picked up the glass and drank it all in one gulp before turning and heading upstairs.
1:35:23|1:35:36|Just as she took a few steps, she suddenly stopped, as if remembering something. She took out a sachet embroidered with the words "Jade Slave" from her sleeve and handed it to the Emperor. Her gaze followed the sachet to the Emperor, then to the crowd, filled with love and reluctance.
1:35:36|1:35:49|She immediately withdrew her gaze, afraid that if she looked for too long, she would no longer be willing to accept her fate.
1:35:59|1:36:18|As if dead, Yang Yuhuan lay on the cold stone slab, just as the old nanny said, she looked like she was asleep, even more beautiful than when she was awake. Looking at her body, Huang He asked Gao Lishi.
1:36:32|1:36:36|Huang He finished speaking and Gao Lishi pointed at him anxiously.
1:36:43|1:36:55|[Gao Lishi] turned around, intending to plead with the Emperor for justice. But when he saw the Emperor's expression, he realized that it was actually the Emperor's intention. He could only bow his head and remain silent.
1:36:55|1:37:2|The next morning, Commander of the Imperial Guards [Chen Xuanli], who is the father of [Chen Yunqiao], was summoned to examine the body of [Yang Yuhuan].
1:37:2|1:37:7|He walked into the dilapidated palace where the emperor was currently residing, holding a sword, under the gaze of thousands of generals.
1:37:7|1:37:12|The roof leaks, the walls offer no protection from the wind, and the floor creaks underfoot, with the possibility of collapse at any moment.
1:37:13|1:37:21|He arrived on the second floor under the gaze of [Bai Long] and [Dan Long]. There, [Yang Yuhuan], dressed in a long skirt, lay quietly on the stone slab, as if she had not yet woken up.
1:37:21|1:37:30|He couldn't help but admire her beauty and at the same time expressed doubt about her death. He looked at [Dan Long] and [Bai Long] who were accompanying the noble consort.
1:37:30|1:37:37|Just then, the wailing of [Gao Lishi] came from downstairs.
1:37:39|1:37:50|He looked in the direction of the sound and saw that the Emperor was beating [Gao Lishi] with a stick. Each strike made [Gao Lishi] roll on the ground. Amidst [Gao Lishi]'s cries,
1:37:59|1:38:4|Finally, after repeated strikes, Gao Lishi fell unconscious, leaving Tang Xuanzong stunned by the scene before him.
1:38:11|1:38:28|[Tang Xuanzong] was in a panic when he saw this scene. He rushed downstairs, threw away his sword, and knelt in front of the emperor, hugging his legs, begging for forgiveness.
1:38:37|1:38:44|He hysterically roared at [Master Konghai].
1:39:9|1:39:17|The rebellion ended with the death of [Yang Yuhuan].
1:39:56|1:40:4|Accompanied by the mournful meowing, the door of the ancient tomb was shut heavily, and [Bai Letian] stared blankly, asking with sadness in his voice, "Why is it raining so heavily?"
1:41:0|1:41:8|[Master Konghai] wanted to find the tomb of [Yang Yuhuan], so the two followed the clues left in [Abe Nakamaro]'s diary, crossed a forest in the water, and indeed found an ancient tomb.
1:41:8|1:41:16|[Bai Letian] just arrived at the door and was met by a large group of flies pouring out. Behind him, [Master Konghai] decisively spoke up.
1:41:28|1:41:40|Just as the two were puzzled about why the stone door was opened, the eyes of the stone statue on the wall suddenly moved slightly. [Bai Letian] sensed something was wrong, so he quickly ran to the statue to check, but found nothing unusual. He was scared and hurried to call [Master Konghai].
1:42:6|1:42:14|The coffin was empty, and [Bai Letian] excitedly said to [Kong Hai].
1:42:18|1:42:23|Just as [Bai Letian] was getting excited, [Kong Hai] suddenly lay down in the coffin, leaving [Bai Letian] puzzled as he asked him.
1:42:33|1:42:43|Watching the determined look in [Kong Hai]'s eyes, [Bai Letian] had no choice but to follow suit. He struggled to close the coffin, leaving [Kong Hai] alone inside. Holding up a candle, [Kong Hai] carefully examined as if he had discovered something, suddenly a sound came from inside the coffin.
1:42:43|1:42:52|The sound of heavy blows. This frightened Bai Letian outside the coffin, and he exerted all his strength to finally push open the coffin lid.
1:42:52|1:42:55|[Master Konghai] rushed out from inside and quickly hid behind the stone coffin.
1:42:56|1:43:13|He, holding a lantern, came to [Kong Hai] and suddenly found that [Kong Hai] was crying. [Kong Hai] immediately avoided his gaze, turned his back, and pushed the coffin lid. Without asking too much, [Bai Letian] had to help him push it together. The coffin lid was overturned by the two of them, revealing streaks of blood inside.
1:43:24|1:43:32|Both [Bai Letian] and [Kong Hai] cried as they looked at the bloodstains on the stone coffin lid.
1:43:33|1:43:49|The two looked in the direction of the sound, only to find that the demon cat had also appeared in the ancient tomb at some point. The demon cat spoke as it jumped onto a coffin. Without answering Kong Hai's question, Bai Letian asked at this moment.
1:44:5|1:44:12|Listening to the tale of the demon cat, [Bai Letian] and [Kong Hai] were already in tears.
1:44:12|1:44:21|At this moment, the demon cat turned its head, and the two saw at the cave entrance the scene of [Bai Long] limping with a torch being held by [Dan Long] as they entered the ancient tomb 30 years ago.
1:44:21|1:44:32|They hurried forward, and after Bai Letian, Kong Hai, Bai Long, and Dan Long exchanged glances across time and space, Bai Letian finally realized that this was just another illusion created by the demon cat.
1:44:41|1:44:51|Just as [Bai Long] and [Dan Long] approached [Bai Letian] and [Kong Hai], the illusion of the young [Huang He] suddenly disappeared, and a hint of sadness appeared on the face of the demon cat at this moment.
1:44:52|1:44:58|[Bai Letian] and [Kong Hai] are searching everywhere for the missing [Bai He] youth. At this moment, the demon cat behind them speaks again.
1:45:15|1:45:21|The demon cat once again uses illusion, and the scene returns to 30 years ago. Inside the ancient tomb, [Yang Yuhuan] lies covered in blood.
1:45:22|1:45:39|Bai Long and Dan Long looked at each other in shock. Without much time to think, Bai Long pulled Yang Yuhuan out of the tomb and the illusion disappeared. The demon cat jumped in front of the two, Bai Letian asked excitedly. The demon cat did not answer.
1:45:41|1:45:49|At this moment, the scene shifts to a waterfall hanging on the edge of a cliff, with a cave on the side of the cliff, which is where [Bai Long] hides [Yang Yuhuan].
1:45:49|1:45:56|[Bai Long] carefully fed water to [Yang Yuhuan] with leaves, and [Dan Long] behind him couldn't bear it and stepped forward to speak.
1:47:39|1:47:47|After Bai Long dragged his left foot, he turned and walked into the cave. Dan Long called out to him from behind.
1:48:0|1:48:7|[Bai Long] looked at [Yang Yuhuan] lying on the stone bed and answered confidently. When [Kong Hai] inquired about [Dan Long],
1:48:7|1:48:12|The demon cat showed a look of loss, and the scene returned to 30 years ago.
1:48:28|1:48:37|After [Dan Long] bid farewell to [Bai Long] in the sunset, the white crane youth was never seen in this world again.
1:48:38|1:48:42|[Bai Long] returned to the cave disappointedly, staring blankly at the body of [Yang Yuhuan] for a long time.
1:48:43|1:48:48|He knew that in this world, besides the corpse of [Yang Yuhuan], there was also the imperial cat that could accompany him.
1:48:49|1:48:58|Seeing this, [Kong Hai] couldn't help but want to comfort the cat demon in front of him with his hand, but the demon cat was not grateful and turned away after leaving claw marks on [Kong Hai]'s hand.
1:49:0|1:49:5|[Kong Hai] did not blame the demon cat, because he knew it carried too much bitterness in its heart.
1:49:5|1:49:16|[Master Konghai] further approached to ask him about what happened next. Later, [Yang Yuhuan]'s body began to decay.
1:49:16|1:49:19|Just like what [Yu Lian] had on at that time.
1:49:19|1:49:26|This really scared Bai Long. He nervously checked Yang Yuhuan's body, saw her festering wound, and couldn't help but touch it.
1:49:26|1:49:34|He was bitten by the venomous insects inside by accident.
1:49:35|1:49:44|[Bai Long] needed a piece of raw meat, so he looked at the imperial cat next to him and pulled out a dagger. The imperial cat seemed to sense its fate and closed its eyes.
1:49:44|1:49:50|Bai Long's knife approached Yumao bit by bit, but at the last moment, Bai Long softened his heart and put away the dagger.
1:49:51|1:50:0|Suddenly he felt like there were worms squirming in his hand. Oh no, he realized he had just touched the body of [Yang Yuhuan], and he was also poisoned.
1:50:0|1:50:8|He stood up in a panic, his survival instinct telling him to leave quickly to find fresh meat, maybe he could still survive. But if he left, what about [Yang Yuhuan]?
1:50:8|1:50:17|Finally, he made a bold decision, taking out a dagger to cut open [Yang Yuhuan]'s skin, and then using his mouth to suck out the worms on her body.
1:50:18|1:50:40|It turns out that [Bai Long] was using his own body as live bait to draw out the worms in [Yang Yuhuan]'s body. After a heart-wrenching scream from [Bai Long], the poison in [Yang Yuhuan]'s body finally disappeared. He excitedly reached out to touch [Yang Yuhuan]'s face, only to find that his hand had already decayed.
1:50:40|1:50:50|He quickly tore open his shirt in fear, his body already gnawed by the insects to a bloody mess. Looking at his decaying body, he was extremely frightened.
1:50:50|1:50:55|But he only had one thought in his mind.
1:50:59|1:51:3|A strong wind suddenly rose, leaving [Bai Long] in excruciating pain from the insect bites.
