0:1:57|0:2:0|Dong Xianzhou teaches the young [Dong Haichuan] martial arts step by step.
1:25:31|1:25:36|[Bikong Abbess] also quickly made a move, forcefully throwing the floating dust in her hand towards [Biyun Taoist].
1:25:36|1:25:42|[Taoist Biyun] dodged several times, but Master Tai's arm technique was extremely fast.
1:25:42|1:25:54|[Taoist Biyun] was forced to retreat repeatedly, seeing the situation turning unfavorable. Seizing the opportunity, [Taoist Biyun] leaped into the air using the tree stump behind him, and while airborne, kicked out his right foot towards the wrist of [Nun Bikong].
1:25:54|1:26:12|The nun, caught off guard, slid back several meters. She quickly regained her composure and the two engaged in combat once again. The sound of fists and floating dust in the air was deafening, and the fight became increasingly intense. Both sides repeatedly tested each other, unable to determine who had the upper hand.
1:26:13|1:26:22|After speaking, [Master Biyun] wrapped the floating dust in [Master Bikong]'s hand around his arm, dragging her arm backwards like a swift arrow for about 10 meters.
1:26:22|1:26:29|The right foot swiftly kicks [Bixiao Master]'s scapula, [Bixiao Master] shows no weakness, swinging the floating dust in her hand.
1:26:29|1:26:40|Every time she went towards [Master Biyun]'s vital point. However, the situation was difficult to reverse, [Master Biyun] exerted all his strength to break the floating dust with one palm, and then slapped her against a tree with the other hand.
1:26:40|1:26:49|[Elder Bikong] hit her waist against the tree, let out a miserable cry, and then fell to the ground, spitting blood and unable to get up.
1:28:46|1:28:56|After listening to the words of [Master Biyun], [Princess Ziyun] took out her jade pendant, and [Dong Haichuan] also took out the jade pendant of [Xuelian]. The two jade pendants turned out to be identical.
1:28:56|1:29:4|[Dong Haichuan]'s eyes were filled with tears.
1:29:56|1:30:9|[Dong Haichuan] smiled knowingly and left Xishan, leaving [Ziyun] standing there with a heart in turmoil.
1:30:35|1:30:42|[Dong Haichuan] behind him heard all this, his ambitious nature revealed.
1:32:34|1:32:40|Yin Fu, wearing iron handcuffs, and [Dong Haichuan] found a clearing and stopped.
1:32:40|1:32:46|Iron Bracelet [Yin Fu] clenched his hands tightly in front of his chest, exerted a little force, and then rushed towards [Dong Haichuan].
1:32:46|1:32:53|But after just a few moves, [Dong Haichuan] struck him on the back of the head, and he fell to his knees with a thud. Refusing to accept defeat, he rolled over and looked up.
1:32:53|1:33:2|With a fierce kick, trying to bring down [Dong Haichuan], [Dong Haichuan] turns around and hangs, then both palms strike at the same time, hitting him solidly in the chest.
1:33:2|1:33:8|[After falling to the ground, [Yin Fu]'s forehead bulged with blue veins as he struggled to stand up, holding his painful chest.]
1:35:52|1:36:7|At the Huayang International Kung Fu Competition organized by the Eight-Nation Alliance, the drums and gongs by the arena were deafening, with foreign martial arts groups and talented warriors from the Qing Dynasty seated on both sides, while Emperor Xianfeng and royal ministers sat on the high platform.
1:36:7|1:36:13|A person with braids cut off, wearing Western-style clothes, walked slowly to the center of the stage.
1:36:25|1:36:44|The crowd under the stage formed a circle, with noisy voices and chaos all around. Sitting on the platform, [Prince] was full of confidence towards the Qing Dynasty generals, while only [Dong Haichuan] looked worriedly at the bare-chested Western strongman on the stage, full of provocation and disdain in his expression as he looked at the opponents about to fight.
1:36:50|1:36:54|With the sound of the gong, the competition on the stage officially begins.
1:36:54|1:37:2|The foreigner rubbed his hands in excitement, but the Qing Dynasty warrior showed no weakness, delivering a fierce punch and then kicking the foreigner in the stomach.
1:37:16|1:37:32|The foreigner raised his hands in victory and shouted, then a Qing Dynasty warrior rushed onto the stage. He displayed powerful martial arts moves with his fists and feet, causing the foreigners in the world kung fu troupe to burst into laughter.
1:37:32|1:37:36|The audience below whispered about the upcoming battle.
1:37:36|1:37:59|The sound of gongs and drums rang out again. The newly arrived Qing Dynasty military officer launched an attack, but before getting into position, he was knocked down by a foreigner. Faced with another failure, the atmosphere among the audience dropped to freezing point. [Fourth Prince] and many royal ministers showed a worried expression, while only [Prince Xiao] remained calm and composed, sitting steadily among them.
1:38:2|1:38:27|Emperor Xianfeng frowned anxiously as he looked at the audience below. Fortunately, another Qing Dynasty general stepped forward to challenge the opponent, but the opponent was too strong. After just a few moves, he was knocked down by the foreigners. Watching the generals being defeated one after another, [Dong Haichuan] could no longer sit still. He stood up straight and walked onto the stage in front of everyone's eyes.
1:38:27|1:38:32|Seeing [Dong Haichuan] take the stage, the royal minister seemed to have been injected with a shot of adrenaline.
1:38:32|1:38:40|The foreigner who was defeated by [Dong Haichuan] on the street realized the situation was not good. He knew clearly that [Dong Haichuan] was not someone to mess with.
1:38:50|1:39:2|[Dong Haichuan] and the foreigner's confrontation began. At the start, the foreigner sneered mockingly, then pressed forward step by step, with fierce punches, each move made with total disregard for his own safety.
1:39:3|1:39:14|The move may not be very exquisite, but the inherent killing intent is enough to be frightening. [Dong Haichuan] calmly responds, then leans back and throws two punches, each drawing an arc in the air.
1:39:14|1:39:24|Successive strikes were unleashed, with powerful palm winds accompanied by a shout. The foreigner staggered back instantly, to the astonishment of the crowd below.
1:39:34|1:39:37|The audience in the audience was thrilled to see this scene, applauding and cheering.
1:39:37|1:39:43|Emperor Xianfeng saw the situation turning around and the gloom on his face also lessened.
1:39:43|1:39:51|Another shirtless muscular foreign strongman enters the scene, [Dong Haichuan], facing the enemy head-on amidst the cheers of the crowd.
1:39:55|1:40:8|Having circled around the foreign strong man a few times, without understanding the opponent's tactics, [Dong Haichuan] chose to cautiously attack. Unexpectedly, while dodging backwards, he exposed a weakness and took a solid punch from the man.
1:40:8|1:40:21|Obviously, this foreigner's martial arts skills are not weak. His boxing is powerful and swift. [Dong Haichuan] seized the opportunity and struck out with a palm, countering the foreigner's previous punch. The foreigner's face became even more unsightly, but he continued to charge forward recklessly.
1:40:21|1:40:28|After several rounds of competition, [Dong Haichuan] seemed to have figured out the foreigner's palm technique. He was methodical in his offense and defense, playing it safe and steady.
1:40:28|1:40:33|Leaving clear marks on the foreigner's bare upper body, [Ma Dongmei] takes advantage of the foreigner's evasion.
1:40:33|1:40:48|[Dong Haichuan] knocked him down with one move, the foreign strong man flipped in the air to get up, furious like a bull. But before he could get close to [Dong Haichuan], he was struck by a palm on the neck, followed by another palm straight to his chin.
1:40:48|1:40:54|The burly foreigner's body soared into the air, and [Dong Haichuan] pressed him down with another palm.
1:41:8|1:41:14|The audience below is even more excited, shouting his name loudly after this battle.
1:41:14|1:41:23|[Dong Haichuan] not only lifted the people's spirits, allowing the Qing government to hold its head high, but also received a plaque personally inscribed by Emperor Xianfeng, naming him the Grandmaster of Baguazhang.
1:41:23|1:41:45|The crowd is banging gongs and drums, [Dong Haichuan]'s disciple is holding a plaque and parading through the streets, hanging the plaque on the gate of the martial arts school. The sound of gongs and drums is incessant, mixed with the crackling of firecrackers, creating a lively atmosphere. A large number of disciples gather in front of the martial arts school, lining up on both sides.
1:41:49|1:41:56|[Dong Haichuan] clasped his hands together and bowed to the disciples around him, then said something meaningful to them.
1:42:7|1:42:24|He looked at the disciples with a knowing smile. Today, he finally fulfilled Master Bai's wish, integrating various martial arts into one, creating his own Baguazhang style and becoming a martial arts grandmaster of his generation. He is also gradually promoting the martial arts of Wudang.
