0:0:26|0:0:31|A sedan is driving on a small road, with three men in the car dressed in neat Zhongshan suits.
1:19:43|1:19:46|The skinny disciple placed the clappers back on the table.
1:19:51|1:19:59|The skinny disciple hesitated for a moment, then reached out to gather the clothes and stuffed them into his pants, adjusting the elastic band on the pants.
1:19:59|1:20:1|After tidying up, he glanced at Gao Fengshan in front of him.
1:20:4|1:20:7|The skinny disciple looks towards the door.
1:20:13|1:20:17|The skinny disciple was a bit at a loss and walked out of the door.
1:20:17|1:20:24|Another chubby disciple carefully watched Gao Fengshan.
1:20:24|1:20:32|The reprimanded chubby disciple became even more uneasy, [Gao Fengshan] glanced at the chubby disciple beside him with a sidelong glance.
1:20:32|1:20:38|The chubby disciple was about to leave when the skinny disciple walked in, placed a bug on the table, and wiped the sweat off his forehead with his sleeve.
1:20:40|1:20:44|He looked at [Gao Fengshan] with a silly smile on his face.
1:20:44|1:20:50|[Gao Fengshan] picked up the bug on the table and placed it in his palm.
1:20:50|1:20:54|Gao Fengshan stood up and waved his hand at him.
1:20:54|1:20:57|He looked at the bug in his hand without saying a word.
1:21:0|1:21:5|The skinny disciple couldn't stop shaking his body, [Gao Fengshan] raised his eyebrows at the chubby disciple.
1:21:5|1:21:14|The chubby disciple pulled out his clothes and shook out the bugs, gasping for breath, looking at Gao Fengshan with a terrified expression.
1:21:14|1:21:19|[Gao Fengshan] raised his hand to signal the skinny disciple, who then reached behind to scratch his back.
1:21:34|1:21:38|[Gao Fengshan] looked at him helplessly, and in the blink of an eye, some time had passed.
1:21:40|1:21:43|[Gao Fengshan] sits at the table with his martial arts brothers.
1:22:9|1:22:14|As soon as the words fell, Xiao Li followed Xizi out of the room.
1:22:14|1:22:18|The senior brothers left [Gao Fengshan]'s house with Little Li.
1:22:27|1:22:46|After speaking, the senior brother turned and left. Xiao Li lowered his head and quietly looked at the money in his hand. In the courtyard, a ceremony was held to pay respects to the master. [Gao Fengshan] and his wife stood at the forefront, bowing deeply to the master's portrait, then turned back to their positions.
1:22:49|1:23:2|Xiao Li stood up and walked towards [Gao Fengshan] and the senior martial sister.
1:23:2|1:23:5|[Gao Fengshan] sits with his wife, his face serious.
1:23:30|1:23:33|The child picked up the clapperboard on the table, but was sternly reprimanded.
1:23:33|1:23:37|[Gao Fengshan] turned around and sat back in his chair, his face stern as he spoke.
1:23:39|1:23:45|One hand tapping on the table, [Gao Fengshan] stared at it, gradually getting lost in thought.
1:23:53|1:23:56|In the scene where his brother performs fast-paced board-clapping, [Gao Fengshan] admires it vividly.
1:23:56|1:23:59|His wife walked up to him with a teapot and looked at him.
1:24:4|1:24:8|[Gao Fengshan] weakly leaned back in the chair and slowly closed his eyes.
1:24:36|1:24:43|[Gao Fengshan] turned his head to the side, tears streaked down his face, his brother's disappearance was a forbidden area in his heart.
1:24:43|1:24:55|After countless days and nights, [Gao Fengshan] pushed his bicycle into the courtyard, looking at his wife and children. His wife was sitting in the center of the courtyard washing clothes.
1:24:55|1:25:1|[Gao Fengshan] walked towards the center of the courtyard, next to his wife, a smile uncontrollably appearing on his face.
1:26:15|1:26:21|Accompanied by the applause of the audience, [Gao Fengshan] stepped onto the stage and walked to the center, with the clappers in his hands starting to sound.
1:26:31|1:26:38|Gao Fengshan sits in the sedan.
1:26:38|1:26:43|This time, [Gao Fengshan] had nothing more to say, just leaning out to look out the window.
1:26:43|1:26:50|Passing by, it is the former residence of [Gao Fengshan]'s master.
1:26:57|1:27:3|The only scenes flashing through Gao Fengshan's mind, he sighed, closed his eyes, and shook his head.
1:27:46|1:27:53|[Gao Fengshan] and the third senior brother walked out of the gate together, the senior brother turned back and sighed as he looked at [Gao Fengshan].
1:29:56|1:29:59|Suddenly opened his eyes and looked out the window.
1:30:5|1:30:9|[Gao Fengshan] walked aimlessly with a small teapot in his hands.
