0:0:44|0:0:50|The woman sat on a chair in the bank and placed the mynah bird in her arms on the ground.
1:5:21|1:5:29|Wang Xiaopo woke up and took his foot out, leaning against the tree trunk with his body sideways, making noises with his mouth, observing how deeply Wang Xiaopo was sleeping.
1:5:34|1:5:48|Wang Xiaopo didn't move, with one hand holding onto the tree trunk and the other feeling under the rain cover. Not finding anything, he knelt down, carefully moving his other leg from behind the tree to the front, circling around from the top of Wang Xiaopo's head to his side.
1:5:48|1:5:59|While moving, he accidentally bumped into the leg of [Wang Xiaopo], who quickly propped himself up with one hand and raised the other, about to apologize out of habit. [Wang Xiaopo] shifted his leg and crossed his arms in front of his chest to shield his eyes.
1:6:0|1:6:11|Zhongjing sat on the ground, with his legs outstretched and his body leaning towards the rainproof cloth. He found that he couldn't exert any force, so he turned over and propped up his buttocks, kneeling and lying down.
1:6:11|1:6:22|He felt around under the armored vehicle, lifted one leg to reach out, suddenly stood up straight, confirmed the surroundings, then crawled forward two steps, legs inward, hiding completely under the car.
1:6:24|1:6:27|It turns out that it was Mrs. Zheng who rushed over from home.
1:6:27|1:6:33|She saw [Wang Xiaopo] asleep, standing beside her, kicking her with her foot.
1:6:36|1:6:41|[Wang Xiaopo] was woken up and stood up after rubbing his eyes with the back of his hand.
1:6:41|1:6:43|Mrs. Zheng points at herself.
1:6:45|1:6:48|Mrs. Zheng suddenly showed off and grabbed Wang Xiaopo's shirt pattern.
1:7:5|1:7:6|A police car happened to pass by.
1:7:6|1:7:8|Officer Zhang gets out of the car.
1:8:2|1:8:5|Officer Zhang quickly got into the car, waved towards Wang Xiaopo, and pointed straight with his index finger.
1:8:5|1:8:7|The scene shifts to the TV, where [Zhang Li] and her colleagues are watching the news.
1:8:27|1:8:30|On the other side, [Reporter Chen] walked into the office with bandages on his head.
1:8:52|1:8:54|Colleagues gathered around.
1:10:40|1:10:48|Stop telling me this, Xiaotang helped [Tan Limei] tidy up, she answered the phone.
1:10:53|1:10:55|She suddenly widened her eyes and stood up.
1:11:58|1:11:59|[Wang Xiaopo] points at himself.
1:12:2|1:12:3|Mrs. Zheng grabbed him again.
1:12:43|1:12:47|With one hand on his hip, [Wang Xiaopo] anxiously waited for the call to connect.
1:12:49|1:12:51|[Da Xu] is holding a cellphone in the hospital lobby.
1:13:0|1:13:5|He hung up the phone and immediately dialed again, looking down at the address book as he walked out.
1:13:5|1:13:10|Wang Xiaopo slightly stepped aside to let the nurse entering the door, then walked to the outside of the hospital, frowning and waiting for the other person to answer the phone.
1:13:10|1:13:11|He walked down the steps in front of the hospital, then slowed down his pace.
1:13:35|1:13:39|He listened while rolling his eyes.
1:13:47|1:13:49|[Da Xu] stood still, blinking his eyes incessantly.
1:13:54|1:13:55|Return to the side of the armored vehicle.
1:14:0|1:14:1|Wang Xiaopo's face immediately fell.
1:14:1|1:14:5|[Wang Xiaopo] rubbed his head, wrinkled his face, and suddenly sighed.
1:14:33|1:14:36|Mrs. Zheng saw him finish the call and pulled him aside.
1:14:44|1:14:51|The scene cuts to a place under a radio tower, with Wang Xiaopo holding a safety helmet and waiting. He sees a taxi and walks up to open the door.
1:14:51|1:14:53|[Wang Xiaopo] got out of the car and walked away.
1:14:54|1:14:55|He stopped and turned around.
1:15:1|1:15:7|In a blink of an eye, the two have climbed to the top of the tower, with [Wang Xiaopo] handing the insulator to his apprentice.
1:15:14|1:15:19|[Wang Xiaopo] reached for his phone with one hand, but accidentally dropped it.
1:15:19|1:15:24|The phone shattered into three pieces, and both of them looked down. [Wang Xiaopo] shouted angrily.
1:15:32|1:15:35|He turned his head while holding onto the iron tower with both hands, and then fiercely punched it.
1:15:35|1:15:39|On the other side, [Da Xu] rode his bicycle back to the repair shop.
1:16:0|1:16:1|Shen Yan stopped Da Xu and asked.
1:16:1|1:16:3|Reporter Chen is taking photos.
1:16:9|1:16:10|Shen Yan nodded.
1:16:11|1:16:13|Reporter Chen looked around.
1:16:42|1:16:47|An aunt rushed up, questioned, turned around and left, and the old man with a beard followed out in confusion.
1:17:14|1:17:19|Uncle Wu pointed at the iron tower in a daze, while Aunt Shunzhi looked over.
1:17:19|1:17:30|At this moment, [Da Xu] rode his bicycle back to the roadside where the armored vehicle was parked. He got off and pointed at [Mrs. Zheng], who took a step back nervously.
1:18:19|1:18:20|[Da Xu] fiddled around.
1:18:26|1:18:31|You... you... [Da Xu] touched his nose and looked around.
1:18:44|1:18:48|He took two steps towards the rear of the car.
1:18:48|1:18:52|Saying that, he took out his phone, swiped the screen, and started dialing.
1:18:52|1:18:56|Mrs. Zheng was still pulling at the branches from behind, trying to remove them.
1:18:56|1:19:0|[Da Xu] put the phone to his ear, but no one answered.
1:19:0|1:19:2|After turning around, he said to [Mrs. Zheng].
1:19:6|1:19:10|He called [Zhang Li] again, and she answered the phone at the sales department entrance.
1:19:59|1:20:12|[Da Xu] frowned at the screen of his phone, while [Zhang Li] returned to the front desk and closed her flip phone.
1:20:12|1:20:17|He leaned his arm on the table, his gaze shifting to the tank model he had just taken out, reminiscing.
1:20:50|1:20:56|He recalled what Wang Xiaopo had said, and thought of Da Xu's words, then he opened his phone and dialed a number.
1:20:56|1:21:4|After waiting for a while, he closed his phone and frowned, poking the tank model with his index finger.
1:21:4|1:21:9|The scene cuts back to the armored vehicle, where Mrs. Zheng continues to struggle to move the branches.
1:21:9|1:21:11|At this moment, journalist [Zhang Li] and [Da Xu] walked over.
1:21:17|1:21:25|Both of them looked at the armored vehicle in surprise. [Da Xu] took out a camera from his bag to take a picture, while [Officer Zhang] pulled out his phone and turned to answer a call.
1:21:29|1:21:32|[Da Xu] stopped taking photos and turned to Officer Zhang's side.
1:21:48|1:21:50|Mrs. Zheng squatted on the ground, listening as well.
1:22:1|1:22:3|Mrs. Zheng leaned in.
1:22:57|1:23:8|Someone is waiting for the sun with one hand, someone has their hands on their hips, and others are talking. Everyone's eyes are focused on the iron tower. Behind the crowd, the police car has arrived.
1:23:8|1:23:11|Officer Zhang pushed through the crowd, followed closely by his colleagues.
1:23:14|1:23:17|The three police officers [Officer Zhang and his brother] pushed the crowd backward.
1:23:17|1:23:23|Officer Zhang faced the iron tower, looked up at it, took the megaphone from his colleague's hand, and adjusted it.
1:23:30|1:23:32|The figure on the iron tower started to move.
1:25:11|1:25:12|The fire truck drove over and stopped.
1:25:23|1:25:32|Officer Zhang's voice gradually weakened.
1:25:32|1:25:35|Beside the car at the Zhuang family's house, Mrs. Zheng finally pulled out the bag from the Zhuang family's house.
1:25:44|1:25:51|Mrs. Zheng took out money wrapped in paper from her bag, Shen Yan patted Reporter Chen, and Mrs. Zheng took out a stack of money.
1:26:32|1:26:35|In the lean meat department, [Zhang Li] looks at the report.
1:26:38|1:26:40|[Da Xu] answers the phone.
1:26:40|1:26:48|His one arm was leaning against the car, holding a phone in one hand, blinking his eyes while listening to [Zhang Li].
1:26:48|1:26:54|His body straightened up a bit, and his eyes quickly darted around.
1:27:8|1:27:16|Reporter Chen dragged [Zhang Li] over, while she and Officer Zhang quickly ran out and anxiously set off to find [Wang Xiaopo].
1:27:16|1:27:18|Next to the iron tower, the elevator has already risen.
1:27:20|1:27:29|[Wang Xiaopo] looked at the elevator slowly approaching, with two firefighters wearing helmets on top looking at him. He opened his mouth and turned his head, feeling very helpless.
1:27:52|1:27:57|The helicopter slowly descends, and on the ground, [Zhang Li] is about to cross the police line.
1:27:59|1:28:1|[Da Xu] rushes directly towards the blind beggar's home.
1:28:45|1:28:53|Da Xu drove the armored vehicle quickly, while Chen, pretending to be a reporter, leaned out of the car roof and waved to the passersby.
1:28:53|1:29:4|At the intersection just passed by the armored vehicle, a young man riding a bicycle turned the corner. However, a grease powder fell from the scaffolding next to him onto his head, causing the young man to lose his direction and cry as he fell onto the chess table of two elderly people.
1:29:6|1:29:11|An auntie on the second floor was walking towards the car, but her bright underwear was caught by the armored vehicle and taken away.
1:29:11|1:29:17|Reporter Chen, completely unaware, stood on the roof of the car, first clasping his hands in a fist and then waving, smiling happily.
1:29:17|1:29:25|Kids on the street chasing after the armored vehicle, a few stopped to watch a young man fall, two old men playing chess grabbing the young man with oil all over his head.
1:29:26|1:29:30|The armored vehicle under the bed has already taken another route.
1:29:30|1:29:34|On the wide road by the river, the armored vehicle slowly drives on the non-motorized lane.
1:29:34|1:29:39|The police car caught up, turned at the intersection, and forced the armored vehicle to stop.
1:29:39|1:29:45|Reporter Chen made a stop gesture above, and Officer Zhang and Wang Xiaopo got off the car one after another, while Da Xu hurried over.
1:30:17|1:30:24|On the other side, [Zheng Jin] was at home, sitting on the sofa with a frown on his forehead, holding a newspaper and flipping it back and forth.
1:30:24|1:30:30|At this moment, Mrs. Zheng pushed open the door, Zheng Jin closed the newspaper and busily got up, flipping over from between the two sofas, and asked.
1:30:40|1:30:45|Mrs. Zheng sat wearily on the sofa, while Zheng Jin massaged her shoulders.
1:30:48|1:30:49|[Zheng Jin] bent down and asked.
1:30:53|1:30:55|Zheng Jin thought for a moment.
1:30:56|1:30:58|[Mrs. Zheng] rolled her eyes.
1:31:2|1:31:12|Money is an unknown thing, as long as our family's Wang Xiaopo comes back safely, stops massaging properly, sits back on the sofa, and Mrs. Zheng looks at him without saying a word.
1:31:12|1:31:15|At this point, Officer Zhang has already taken everyone back to the police station.
1:31:19|1:31:21|Daughter [Zhang Li] stood at the far right and spoke.
1:32:0|1:32:3|Reporter Chen nodded as he wrote in his notebook.
1:32:24|1:32:30|Officer Zhang said to his newly arrived colleague that Zhang Li wanted to educate her father, but Officer Zhang had already walked out.
1:32:42|1:32:51|On the other side, [Zheng Jin] in pajamas can be seen squatting next to the street lamp, picking up the plastic bag underneath, all of which is seen by [Mrs. Zheng].
1:32:51|1:33:0|[Zheng Jin] opened the plastic bag, took out the money and tucked it into her bosom, all the while glancing around to see if anyone was watching. Then she tiptoed back home.
1:33:2|1:33:10|[Mrs. Zheng] was already lying on the bed. [Zheng Jin] carefully approached the bedside and sat down, took off his glasses, and slowly lay down on the bed.
1:33:10|1:33:16|She scratched her arms, rubbed the corners of her eyes, and then touched the wound on her neck.
1:33:16|1:33:24|Mrs. Zheng then turned her head to look at her, smirked, rolled over, and pulled up one side of the blanket to cover her.
1:33:29|1:33:32|The camera pans up to a photo of the two on the wall above the head of the bed.
1:33:32|1:33:45|In the group photo, Zheng Jin sits with a puppy-like pose, with both hands placed like claws on his chest, while [Mrs. Zheng] has her hands resting on her shoulders, and their heads are leaning against each other.
1:33:45|1:33:50|Back at the police station, Officer Zhang walks in.
1:34:34|1:34:37|After speaking, [Da Xu] shrugged and walked out.
1:34:40|1:34:43|Let's go, pulling him out.
1:34:48|1:34:53|Upon entering, the journalists interviewing [Zheng Jin] saw Wang Xiaopo running up one after another.
1:34:56|1:34:58|Wang Xiaopo lowered his head and thought for a moment before saying.
1:35:40|1:36:6|But I think, as long as we have the determination and work hard to pursue our dreams, they will come true. [Zhang Li] also holds [Wang Xiaopo]'s hand. My mom always worries that you can't give me a happy and safe home. Indeed, you don't have a big house or a good job. The two embrace tightly, and the people around them applaud.
1:36:24|1:36:31|The scene cuts to a grassy field, with the applause of the crowd, the bride, carrying the train of her wedding dress, slowly walks up the steps.
1:36:31|1:36:36|Officer Zhang is linking arms with his daughter, showing his teeth, and smiling happily.
1:36:36|1:36:44|The armored vehicle is parked in the front left of the carpet, while the groom Wang Xiaopo is waiting for his bride, quietly adjusting his suit.
1:36:44|1:36:48|Officer Zhang hands Zhang Li's hand to Wang Xiaopo, and the two exchange a glance.
1:36:56|1:37:9|Zheng Jin bent down and looked to the side, everyone fell silent for a moment. [Mrs. Zhang] held onto [Officer Zhang] and began to speak. A few people laughed and also said a few words. Everyone listened attentively.
1:37:10|1:37:25|Looking at [Wang Xiaopo] again, [Wang Xiaopo] listened to Officer Zhang's words, nodded vigorously, while [Zhang Li] lowered her head with relief. After speaking, Officer Zhang covered his eyes, turned sideways, and everyone started applauding. At this moment, [Da Xu] stood up and spoke.
