0:0:53|0:1:4|Chubby [Sun Yue] is wearing a Fuwa headgear.
1:18:21|1:18:23|The misunderstanding is finally resolved, and the truth is revealed.
1:18:23|1:18:34|At the party, cheerful music is playing, the girls are beautifully dressed in gorgeous gowns, guests are chatting happily on the grass, and the men are clasping their hands together to thank the guests.
1:18:34|1:18:37|Journalist Ai Lun is still upholding professional ethics, crouching down to secretly film.
1:18:41|1:18:45|Mr. Bean walked over wearing long socks.
1:18:45|1:18:49|[Guo Degang] gestures for [Mr. Bean] and [Yue Yunpeng] to learn Chinese.
1:19:10|1:19:15|[Mr. Bean] and [Guo Degang] waved goodbye, [Yue Yunpeng] walked up to him with ill intentions.
1:19:15|1:19:21|[Mr. Bean] shook his head.
1:19:35|1:19:40|Mr. Han looked puzzled and turned to [Guo Degang], who then blushed and said shyly.
1:19:53|1:19:59|Saying that, [Yue Yunpeng] then bent down and bowed to Mr. Han Dao, who affectionately patted his lowered head.
1:20:6|1:20:19|Mr. Han spread his hands, dancing with [Guo Degang], who disdainfully rejected his white hands.
1:20:19|1:20:26|Mr. Han Dao looked at [Yue Yunpeng] in confusion, then suddenly, as if remembering something, he fumbled around and actually pulled out a clapperboard from his pocket.
1:20:26|1:20:31|Following that, Mr. Han Dao proudly started to perform a fast-paced comic dialogue, with [Guo Degang] helplessly saying.
1:20:31|1:20:57|This is useless, you don't speak Chinese. Mr. Hanno in Huaying Mountain Town... ignores [Guo Degang]'s advice and continues to perform his fast-paced routine. However, the board unexpectedly slips from his hands and hits [Guo Degang] right in the chest.
1:20:57|1:20:59|Mr. Hanno saw the situation and ran away directly.
1:21:1|1:21:16|On the other side, [Zhang Xiaofei] seemed to have learned her lesson this time. She reached out her hand and waved it in front of the handsome guy in sunglasses.
1:21:16|1:21:22|The man slowly put down his glass, coolly took off his sunglasses, and asked.
1:21:22|1:21:29|[Zhang Xiaofei] was mesmerized by the handsome guy, but it's okay, [Zhang Xiaofei] awkwardly smiled, then he turned around and excitedly opened his mouth wide.
1:21:38|1:21:39|The handsome guy takes out his business card.
1:21:46|1:21:54|[Zhang Xiaofei] was about to take the business card when Mr. Handou suddenly snatched it away. [Zhang Xiaofei] had no choice but to chase after Mr. Handou with [Yue Yunpeng].
1:21:54|1:22:4|At this moment, [Ai Lun] next to him is watching the little boy in front of him perform magic. The boy makes the cloth in his hand disappear directly. [Ai Lun] is attracted by the boy's magic and can't help but clap his hands, even kneeling down and shouting.
1:22:34|1:22:41|Tai Wei and Sun Yue reached out to grab the camera from the journalist Sha Seng, Mr. Hano pushed Sun Yue from behind.
1:23:3|1:23:9|The team just disrupted the joyful atmosphere at the gathering.
1:23:9|1:23:11|The team members chased Han Dou and ran at the party.
1:23:33|1:23:51|[Guo Degang] and Manager Wang looked helplessly at the team members. Mr. Handan fell to the ground, and Yueyunpeng pressed down on him. The team members and the journalist Sha Seng also piled on top. Sun Yue, who was at the bottom, was pressed down the most by Yueyunpeng and kept shouting in pain. Zhang Xiaofei was the last one to be pressed on top. [Guo Degang] looked shocked at the mischievous team members.
1:23:51|1:23:58|Mr. Hando, who should have been at the bottom, ran to the front of the camera instead, smiling cunningly, and then turned around gracefully.
