0:0:43|0:0:47|On the bustling street, only Yue Zixin and Zhang Shaobin were seen leisurely walking with a donkey.
1:1:0|1:1:6|He nodded with a smile, gazing unwaveringly at the man in front of him, feeling a warm surge in his heart. 
1:1:6|1:1:12|His hair danced in the sea breeze, bringing a rare sense of comfort to [Yue Zixin].
1:1:12|1:1:17|He gently leaned his head on the sentinel's shoulder, and the two of them sat on the rocks by the sea, enjoying the sea breeze.
1:1:19|1:1:26|On the road behind, [Zhang Shaobin] watched as the van stopped on the side of the road, with Sanjie leaning against it, gazing at the two figures not far away.
1:1:26|1:1:35|Yue Zixin took the cigarette, held it in her mouth, and Shaohui helped her light it. She took a deep drag and exhaled a thick cloud of smoke.
1:1:35|1:1:41|At this moment, Yue Zixin, riding a bicycle, hurriedly arrived as well. He glanced at the van and then hid beside a nearby car.
1:1:55|1:2:7|Yue Zixin tried to come up with a solution, but noticed Liu Ming following them through the rearview mirror, so she quickly turned around to check.
1:2:25|1:2:28|Reluctantly, the two of them had to discuss the matter at length.
1:2:28|1:2:31|Liu Ming saw the van leaving and rode his bike to catch up.
1:2:31|1:2:37|On the other side, [Zhang Shaobin] is walking by the seaside with a donkey, accompanied by Zixin.
1:2:41|1:2:46|Zixin waved to the person inside, only to see a woman stepping out of the luxury car, looking at the donkey in surprise.
1:2:53|1:3:0|[Zhang Shaobin] was also shocked to hear this, but Zixin, riding on the donkey, proudly patted the donkey's head.
1:3:19|1:3:22|Yue Zixin takes out a jar of cash directly from the bag.
1:3:22|1:3:26|The sentry saw this and went to lead the donkey away directly.
1:3:48|1:3:59|Madam excitedly mounted the donkey. The sentry led the donkey, carrying Zixin and Madam, strolling leisurely on the road by the sea, with smiles on everyone's faces.
1:4:23|1:4:28|Facing the invitation, [Zhang Shaobin] looked at [Yue Zixin], who nodded repeatedly to leave a good impression on [Zhang Shaobin].
1:4:33|1:4:35|[Zhang Shaobin] lowered his head and asked the donkey, and the donkey nodded in agreement.
1:4:37|1:4:40|She then led the donkey towards the direction of the coffee shop.
1:4:40|1:4:44|In the coffee shop, beautiful music is playing as [Yue Zixin] enjoys a delicious piece of cake.
1:4:44|1:4:51|The woman took out water and sprayed it on her face, which caught the curiosity of [Yue Zixin], who kept her eyes fixed on her.
1:4:51|1:4:55|Yue Zixin then took out a powder puff and lightly patted it on her face, with graceful movements.
1:5:34|1:5:39|He looked out the window and saw the van appear in his line of sight again.
1:5:39|1:5:43|He hurriedly lowered his head and covered his face, [Zhang Shaobin] noticed the mud and asked.
1:5:43|1:5:47|He didn't answer anything, still maintaining the posture of covering his face.
1:5:47|1:5:57|At this moment, [Yue Zixin] dropped the utensils in his hand, pushed away the chair, and ran out.
1:5:57|1:5:58|The sentry also chased after them.
1:5:59|1:6:12|Yue Zixin and Zhang Shaobin sat quietly by the sea, with the brilliant twilight glow falling on the sea surface. The donkey beside them seemed to understand the owner's melancholy, and stayed quietly.
1:6:12|1:6:19|[Yue Zixin] slowly opened her eyes, her gaze dim and heavy, she let out a long sigh and said.
1:6:45|1:6:50|His eyes were filled with shock, as if struck by something.
1:6:54|1:6:55|[Yue Zixin] grabbed Shaobin's sleeve.
1:7:0|1:7:7|The sentry helped [Yue Zixin] up, brushed off the sand on her, and then set off again leading the donkey.
1:7:7|1:7:11|By the roadside, Shaohui searched for a long time but couldn't find the figure of [Yue Zixin].
1:7:45|1:7:54|Yue Zixin and Zhang Shaobin decided to try their luck at Shanhaiguan first. Last time the gate closed, the van started, and they set out on the road to find the Star of Death once again.
1:7:54|1:8:0|In the police station, Liu Ming looked at the photo of the missing donkey and the analysis of the case, trying to find some clues from them.
1:8:2|1:8:11|He seemed to have discovered a clue, casually picked up the train of thought diagram, circled the word "gang" and marked a question mark next to it.
1:8:11|1:8:15|He picked up the blueprint, determination shining in his eyes.
1:8:15|1:8:18|He smiled with a meaningful expression at the corner of his mouth.
1:8:18|1:8:25|Shanhaiguan, as the sky gradually darkens, the moon rises in the night sky, surrounded by the sound of cicadas.
1:8:25|1:8:30|[Zhang Shaobin] was seen with his arms crossed, leaning against the van, his eyes slightly opening.
1:8:40|1:8:48|Shahui pushed the person he caught down the hill, the young man slid down to the bottom of the slope, staggered to [Zhang Shaobin], and knelt down with a thud.
1:10:3|1:10:13|In the stone cave, Shaobin and Zixin lit a bonfire here, the fire illuminated the walls of the cave, Shaobin put the wood in his hand on the fire, and Zixin asked with a smile.
1:11:56|1:12:3|On this quiet night, the sentinel's singing was gentle and soothing. Yue Zixin tried several times, secretly resting her head on his shoulder.
1:12:7|1:12:17|Shaobin trembled slightly, and at that moment, the world seemed to quiet down. He was still murmuring the next lyrics in his mouth, but quickly fell silent.
1:12:17|1:12:28|He lifted his arm, gently took the guitar away and placed it aside, afraid that any slight movement would wake Zixin up. Then he bent his legs slightly and rested his arm on his leg.
1:12:30|1:12:35|He lowered his head slightly and looked at the curled up Purple Heart, feeling a sense of peace and contentment in his heart.
1:12:35|1:12:41|He helped [Yue Zixin] tighten the coat on her body, with a gentle touch as if treating a beloved treasure.
1:12:41|1:12:54|He looked down at [Yue Zixin] sleeping peacefully, a faint smile on his lips, unaware that the flickering golden light of the campfire was shining upon them. Zhang Shaobin also gradually drifted off to sleep, until the early morning of the next day.
1:12:55|1:12:59|Only the crowing of the rooster was heard as the sun rose far on the horizon.
1:12:59|1:13:4|In the stone cave, the two of them were pressed against the wall, seemingly still in deep sleep. 
1:13:4|1:13:8|Compared to last night, the bonfire has gone out, and the donkey on the side is nowhere to be seen.
1:13:8|1:13:17|At this moment, Shaobin slowly woke up from his dream, his eyes squinted slightly, then he yawned and turned to look at [Yue Zixin] beside him, a lingering smile still on his lips.
1:13:19|1:13:23|He then turned his head towards Yue Zixin's direction, only to find it empty.
1:13:23|1:13:27|He turned around to help [Yue Zixin] with her clothes, then immediately got up to find the donkey.
1:13:27|1:13:44|He stumbled on a stone, and his loud voice woke up [Yue Zixin]. He looked up at the sentry in confusion and asked,
1:13:44|1:13:48|Both of them ran out of the stone cave in a hurry, looking left and right. [Yue Zixin] noticed,
1:14:2|1:14:9|As soon as Shaobin left, [Yue Zixin] was grabbed by a pair of ruthless hands covering her mouth and dragged away, while struggling to pull the resisting donkey.
1:14:9|1:14:11|At this moment, Yue Zixin caught up with Shaobin.
1:14:13|1:14:28|Zhang Shaobin shouted at him, scaring the young man into letting go of the donkey and running away. However, the experienced soldier Zhang Shaobin quickly caught up with him and easily subdued the young man from behind.
1:14:28|1:14:32|Shaobin turned around when he heard the noise, only to see the police officer [Zhang Shaobin] coming with his companions.
1:14:48|1:14:57|The soldier just got up when the thief took the opportunity to run, but luckily another police officer quickly subdued him.
1:14:57|1:14:59|[Liu Ming] took out his identification from his pocket.
1:15:37|1:15:39|Then they took that girl away.
1:15:47|1:15:54|Upon hearing the news, [Yue Zixin] hurriedly rushed over.
1:15:54|1:15:56|Following closely, [Yue Zixin] followed up.
1:15:56|1:16:4|In an abandoned factory, [Yue Zixin] is tied to a large cart, surrounded by dust, garbage, and the stench of decay, making her feel extremely uncomfortable and panicked.
1:16:4|1:16:10|Her hands and feet were tied up and she couldn't move. [Yue Zixin] dodged back and forth in front of them, staring at her with a deadly look.
1:16:23|1:16:39|Zixin shook her head slowly, and Yue Zixin once again circled around Zixin.
1:16:39|1:16:44|Zixin stared at [Yue Zixin] with a look of resentment, then lowered her eyes and turned her head to the other side.
1:17:4|1:17:8|Shaohui held a wooden stick in his hand, ready to strike as he raised his arm.
1:17:8|1:17:14|At this moment, [Yue Zixin] raised her hand to stop, glanced at the bound Zixin, then pulled Shaohui to the side, her face full of confusion as she spoke.
1:17:31|1:17:41|Shaobin and Liu Ming arrived in time, with Yue Zixin leading the way, placing the knife at Zixing's neck.
1:17:45|1:17:51|Shaohui rushed forward with a stick, but was quickly subdued by the refugees.
1:18:14|1:18:16|[Yue Zixin] waved his hand, ready to strike down.
1:18:16|1:18:22|Shaobin pushed Yue Zixin aside and took the knife from her hand.
1:18:22|1:18:35|Shaohui kicked Liu Ming away and hit Shaobin with a wooden stick.
1:18:35|1:18:40|[Yue Zixin] is tied up, with a look of helplessness and despair in her eyes, calling out her name over and over again.
1:18:42|1:18:49|Yue Zixin gently lifted his head with his hand, and saw him open his eyes.
1:18:53|1:19:0|The police car roared along the road, accompanied by the sound of sirens, [Yue Zixin] and Zhang Shaobin were quickly taken to the hospital for treatment.
1:19:0|1:19:5|Zhang Shaobin sat in the ward checking, while Liu Ming waited anxiously at the door.
1:19:5|1:19:10|[Yue Zixin] sat on a bench in the corridor, head down, with a look of anxiety on her face and a furrowed brow.
1:19:10|1:19:16|At this moment, Zhang Shaobin walked out of the ward and saluted Liu Ming who was standing beside him.
1:20:14|1:20:17|[Yue Zixin] hesitated for a moment, feeling guilty as she lowered her head, furrowing her brows, and then said.
1:20:49|1:20:53|Zhang Shaobin led the donkey and walked back with Zixin.
1:20:53|1:21:1|Suddenly, Yue Zixin and Zhang Shaobin rushed out from both sides, blocking the donkey directly in front.
1:21:14|1:21:19|Seeing the situation change, they attempted to turn around and escape, but how could the police give them a chance?
1:21:19|1:21:27|Three police cars surrounded from different directions, and the police officers quickly got out of the cars and started chasing. In just a few moments, they managed to pin [Yue Zixin] to the ground.
1:21:27|1:21:30|On the other side, [Zhang Shaobin] was also successfully arrested and fell into the hands of the law.
1:21:32|1:21:36|When the handcuffs were put on, there was no turning back for them.
1:21:36|1:21:40|Everyone breathed a sigh of relief when the villain was captured.
1:21:40|1:21:46|The police escorted the two of them, stumbling, to the front of the crowd, with [Yue Zixin] gasping for breath.
1:21:59|1:22:7|[Yue Zixin] and Zhang Shaobin were captured and brought to justice, awaiting the consequences of their mistakes.
1:22:45|1:22:49|Upon hearing these words, [Yue Zixin] blushed and lowered her head.
1:23:23|1:23:24|Zixin smiled happily after Zixing finished speaking.
1:24:24|1:24:36|The two of them went home bickering like this.
1:24:36|1:24:42|The next morning, a lot of relatives gathered at [Zhang Shaobin]'s house to see the donkey, and everyone had a lively time together.
1:24:42|1:24:48|The donkey's face is covered with a cloth, [Zhang Shaobin]'s father leads the donkey to pull the cart.
1:24:48|1:24:53|Outside the courtyard wall, three young men are standing watching the donkey, and [Zhang Shaobin]'s father is laughing so hard that he can't close his mouth.
1:24:57|1:25:1|Zhang Shaobin came out with a plate of fresh tofu.
1:25:1|1:25:5|He raised his arm, letting Zixin smell the aroma of the tofu.
1:25:5|1:25:19|The two of them were playfully joking around, and this scene happened to be seen by [Yue Zixin]'s mother.
1:25:33|1:25:38|Yue Zixin was puzzled, staring at her mother's back for a long time.
1:25:38|1:25:38|Indoors.
1:26:0|1:26:1|Shaobin looked helpless.
1:26:46|1:26:56|After they finished speaking, Yue Zixin's parents left, leaving Zhang Shaobin sitting on the bed looking troubled. It was at this moment that he truly understood his own feelings.
1:26:56|1:26:59|Night falls, and the table at [Zhang Shaobin]'s home is filled with delicious dishes.
1:27:29|1:27:35|Shaobin kept serving dishes to [Yue Zixin] non-stop.
1:27:35|1:27:39|[Yue Zixin] also naturally serves him some dishes.
1:27:39|1:27:43|The elderly couple both looked a bit uncomfortable when they saw this scene.
1:27:59|1:28:4|[Yue Zixin]'s smile froze on her face, the atmosphere at the dining table became awkward, tears welled up in her eyes.
1:28:13|1:28:16|He stood there, at a loss for words, unsure of how to explain.
1:28:26|1:28:29|[Yue Zixin] looked at him with tears in her eyes, a smile squeezing out at the corner of her mouth.
1:28:38|1:28:41|He lowered his head, choked up, afraid of being noticed for any abnormality.
1:28:45|1:28:54|Late at night, with the bright moon hanging high in the sky, [Zhang Shaobin] couldn't fall asleep at all. He stood in the courtyard, gazing at the moon above, lost in thought.
1:28:54|1:29:2|He then lowered his head and looked at the donkey in front of him, feeling a thousand regrets and a thousand reluctances in his heart.
1:29:2|1:29:8|He walked over and gently stroked the donkey's face, his parents' actions causing unbearable anxiety in his heart.
1:29:10|1:29:21|He lowered his head slightly and looked at the donkey, as if trying to find some answers from it, and as if reminiscing about the bits and pieces that had happened between them.
1:29:21|1:29:26|In the new house, [Yue Zixin] curled up in the corner, memories of the past vividly in sight.
1:29:42|1:29:51|He slightly smirked, but when he looked up and saw the character "喜" in front of him, sadness surged back into his heart, recalling the dinner just now.
1:29:57|1:30:1|This sentence is like a thorn, stabbing [Yue Zixin] over and over again.
1:30:1|1:30:7|He looked around, gazing at the fiery red decorations in the new house, feeling a sense of grievance and confusion in his heart.
1:30:7|1:30:13|Everything in front of me feels so real, the table covered with delicate flowers, and the character "喜" hanging all over the ceiling.
1:30:13|1:30:18|These moments constantly remind him that there is no room for any fantasies.
1:30:18|1:30:21|He seemed to have woken up from a dream, but was reluctant to leave for a long time.
1:30:22|1:30:28|There is no longer the longing and joy in the eyes, only endless sadness is revealed.
1:30:28|1:30:36|He kept replaying his father's voice in his head, tears uncontrollably flowing from the depths of his soul, just like a spring.
1:30:36|1:30:40|Outside the room, [Zhang Shaobin] hesitated at the door, but hesitated to enter.
1:30:40|1:30:46|In the room, [Yue Zixin] seemed to sense his presence, gently turning her moist cheeks towards the door.
1:30:47|1:30:51|[Zhang Shaobin] raised his arm, the hand that was about to knock on the door hanging in midair.
1:30:51|1:30:57|[Yue Zixin] also sat up from the bed, listening attentively while waiting at the door.
1:30:57|1:31:1|The commotion outside the door made her certain that the person who had come was [Zhang Shaobin].
1:31:1|1:31:9|She leaned against the door, a smile spreading across her face, waiting for the person she had been longing for to walk in at any moment.
1:31:9|1:31:12|[Zhang Shaobin] lingered outside the door for a long time, unsure of what to do next.
1:31:13|1:31:16|[Yue Zixin] went from being pleasantly surprised at the beginning to gradually becoming disappointed.
1:31:16|1:31:20|[Yue Zixin] leaned against the wall, as if unable to control her emotions any longer.
1:31:20|1:31:25|Tears once again slid down her cheeks, her hands clenched into fists, crying out in pain.
1:31:25|1:31:31|At this moment, both Yue Zixin and Zhang Shaobin were in great agony, waiting for each other to provide an explanation.
1:31:31|1:31:34|[Yue Zixin] slowly closed her eyes and silently shed tears.
1:31:34|1:31:42|Shaobin didn't understand when Zixin shed tears, the tears contained deep affection, love but unattainable, yet helpless, which made her suffer unbearably.
1:31:43|1:31:47|The sentry outside the door raised his hand several times to knock, but hesitated each time.
1:31:47|1:31:53|His expression was anxious, not knowing how to face [Yue Zixin], and not knowing what else to say.
1:31:54|1:32:6|A door stood between the two, a door that represented an inexplicable misunderstanding, becoming a barrier between them. Shaobin pondered for a while, then lifted his head, his eyes filled with helplessness.
1:32:6|1:32:13|[Yue Zixin] is beautiful. She knows she is not worthy of [Zhang Shaobin], so she finally makes up her mind and walks away.
1:32:13|1:32:21|Upon hearing the sound of someone leaving outside the door, [Yue Zixin]'s heart, which had been stirred, sank once again, as if encased in frost.
1:32:21|1:32:23|The once beautiful moments have become elusive and ethereal.
1:32:25|1:32:33|The sorrowful emotion was like a storm, coming swiftly and making him feel extremely lost.
1:32:33|1:32:42|In the joyous new house, [Zhang Shaobin] lay on his back and cried in pain, his curled-up body trembling slightly, his delicate face wet with tears.
1:32:42|1:32:51|In the room, [Zhang Shaobin]'s parents waited for a long time, but they didn't see [Zhang Shaobin] coming in to sleep. The elderly couple sat by the bed, sighing sadly.
1:32:51|1:32:54|The lantern by the window swayed with the breeze, tonight destined for a sleepless night.
1:32:57|1:33:0|In the early morning, [Yue Zixin] has already started working.
1:33:0|1:33:3|The sentry family is busy grinding beans on the side.
1:33:26|1:33:27|Uncle Yue Zixin looked disdainful.
1:35:29|1:35:37|He walked past everyone and approached the donkey.
1:35:41|1:35:47|Her tears fell uncontrollably as she spoke.
1:35:47|1:35:54|She leaned close to the donkey's ear and whispered softly.
1:35:54|1:35:57|Just like telling [Zhang Shaobin] who was standing beside.
1:35:57|1:36:2|She wiped away the tears on her face, turned around and bid farewell as she left.
1:36:2|1:36:5|The sentry wanted to chase after, but was stopped by [Yue Zixin].
1:36:8|1:36:16|Oh, you... Shaobin stood there dumbfounded, while Er Shu quickly turned around and waved goodbye.
1:36:16|1:36:23|Watching Yue Zixin's slender figure, he wiped away his tears, ran away, and Uncle Er was full of regret.
1:36:23|1:36:29|In the room, [Zhang Shaobin] is leaning against the wooden cabinet lost in thought.
1:36:29|1:36:32|[Zhang Shaobin] showed no intention of getting up, as Auntie Yue arrived at the door of the room.
1:36:38|1:36:42|At this moment, the whole family gathered outside Shaobin's room, and Second Uncle hurriedly asked.
1:37:31|1:37:36|Hearing a familiar voice, [Yue Zixin] sprang up from the bed and rushed out the door.
1:37:36|1:37:51|At this moment, he couldn't wait any longer, taking big strides towards his resolute heart, a joyful smile on his face. The sunlight fell on his running figure, unable to suppress the impulse in his heart any longer, the sprout of love had already burst forth.
1:37:52|1:38:9|Scenes from the past flashed before his eyes like a movie. He smiled gently, leaning lightly on his shoulder, accompanying him to admire the seaside scenery. These memories made every step of [Yue Zixin] more determined, more confident in his choices.
1:38:9|1:38:15|This time, he finally no longer troubled by the so-called worldly concerns, no longer agonizing over whether he is worthy of the other person.
1:38:16|1:38:26|He ran madly for his beloved one just because he is Yue Zixin, the one on the wall in new clothes, already waiting here.
1:38:26|1:38:32|His face was full of smiles, waiting quietly for [Zhang Shaobin] to come to his side.
1:38:32|1:38:37|Zhang Shaobin ran over panting, the two recognized each other without saying a word.
1:38:37|1:38:40|The sound of panting mixed with joy, tears welled up in the eyes of [Yue Zixin] and [Zhang Shaobin].
1:38:50|1:39:5|Yue Zixin and Zhang Shaobin took a step forward, tears of excitement swirling in their eyes. Just as they were about to embrace, they were blocked by the donkey in the middle, and both of them touched the donkey's head.
