0:4:8|0:4:11|The story begins with the Fox Clan's residence in Qing Qiu.
1:6:47|1:7:4|[Bai Qian] saw the situation and waved a ribbon towards [Tao Tie], using the force to fly back onto Tao Tie's back. She intended to seize the God Grass during Tao Tie's moment of distraction, but upon seeing [Ye Hua] under Tao Tie's mouth, she still rushed down with the ribbon and forcefully stomped on Ye Hua's sword hilt.
1:7:4|1:7:10|This kick successfully pried open [Tao Tie]'s big mouth, allowing [Ye Hua] to escape.
1:7:10|1:7:17|The two of them were suspended in mid-air, holding onto ribbons.
1:7:17|1:7:22|Before the words were finished, a gust of wind and water came, and the two figures immediately tumbled.
1:7:22|1:7:28|During the struggle, the two cooperated with each other, tightly wrapping [Mo Yuan]'s fangs with the ribbons in their hands.
1:7:29|1:7:35|Quickly circling behind him again, [Mo Yuan] was sandwiched between them and the ribbons wrapped around him once.
1:7:35|1:7:40|After successfully restraining the hands and feet of [Mo Yuan] with ribbons, she ran forward quickly.
1:7:40|1:7:45|Mo Yuan also ran forward when he saw the situation, but as soon as he took a step, his whole body collapsed to the ground in tears.
1:7:45|1:7:50|[Mo Yuan] tightened the ribbon in his hand as [Bai Qian] leaped and strode onto the ribbon.
1:7:50|1:7:53|Using the power of the ribbon, [Ye Hua] stepped on [Mo Yuan]'s back, carrying [Bai Qian].
1:7:53|1:7:57|[Bai Qian] aimed at the Xuanzhi grass on [Mo Yuan]'s back and swung her sword towards the roots once again.
1:7:57|1:8:1|Sensing the crisis, [Mo Yuan] threw his tail behind him towards [Bai Qian] to dodge the arrows.
1:8:1|1:8:7|[Bai Qian] accidentally dropped the arrow in her hand, and [Ye Hua] fiercely inserted his own arrow into the front hoof of [Mo Yuan].
1:8:7|1:8:12|Mo Yuan suddenly lifted his foot and raised Ye Hua, who was holding the arrow, into the air.
1:8:12|1:8:20|Ye Hua immediately drew out a long arrow and threw it to Bai Qian. After catching the arrow, Bai Qian decisively stabbed the root of the Godly Grass with the bound arrow, cutting off the power of the Taoti's body.
1:8:24|1:8:30|The tail of the Tao Tie accurately struck [Ye Hua] in mid-air, causing the unprepared [Ye Hua] to fall to the ground.
1:8:30|1:8:35|Following that, the withered branches on [Tao Tie]'s body fell one after another, and its massive body also collapsed in the wind and rain.
1:8:36|1:8:54|The empty screen smashed onto [Ye Hua], [Bai Qian] saw this and let go of the godly grass she was about to obtain. She jumped off the back of the Taotie, risking being hit by flying stones, and ran to [Ye Hua]'s side. She partially transformed back into her true form, using her nine tails to shield [Ye Hua], allowing the falling stones to hit her own body.
1:8:54|1:9:7|Ye Hua, who was in a coma, slowly opened his eyes and gazed at Bai Qian for a long time. Bai Qian also looked back at him. The two remained silent, and at this moment, Yingzhou Island was desolate, lifeless, with the remains of the gluttonous scattered everywhere.
1:9:7|1:9:15|After returning to the Heavenly Palace, [Ye Hua] sat on the bed in the bedroom, while [Bai Qian] carefully bandaged his arm that was bitten by the Taotie.
1:9:15|1:9:23|[Ye Hua] shook his head as [Bai Qian]'s hand reached towards his scarred back, his expression gradually turning serious.
1:9:38|1:9:41|Ye Hua raised his hand and stroked the hair at the temple of [Bai Qian].
1:10:9|1:10:14|Ye Hua pressed his forehead against [Bai Qian]'s, while [Bai Qian] played with the long hair on her face.
1:10:22|1:10:28|[Bai Qian] pressed her nose against his, wrapped her hands around his neck, couldn't help but lean in and kiss him.
1:10:28|1:10:31|Ye Hua also held her face and gently kissed her back.
1:10:31|1:10:41|Her lips moved from [Bai Qian]'s lips to her hand, then to her chin, nibbling gently and slowly, while also removing her lifelong clothing.
1:10:41|1:10:49|The lips moved along her jawline towards the corner of her mouth, gently cleaning for a while before the hand stroked her lower back, pressing her down onto the bed.
1:10:49|1:10:54|After a brief separation of their lips, the two came together again, entwining passionately.
1:10:54|1:10:58|In the Heavenly Realm, the iron tree that never blossomed before is now blooming with petals.
1:10:58|1:11:5|On this night of drifting in and out of consciousness, when Ye Hua woke up again, Bai Qian was still nestled against his chest, sound asleep.
1:11:5|1:11:9|Ye Hua embraced [Bai Qian], his face filled with a happy smile.
1:11:9|1:11:15|After waking up, [Bai Qian] returned to Qing Qiu. She arrived at the Salt Slab Cave and looked at Master [Mo Yuan]'s inn, speaking.
1:12:11|1:12:20|After Bai Qian finished speaking, a smile appeared on her face. In the Nine Heavens, Prince Ye Hua was reading at his desk, while Concubine Su Jin spoke beside him.
1:12:38|1:12:43|Ye Hua said nothing, just staring at the book in his hand, while his mind was filled with Susu's words.
1:12:43|1:12:48|After returning from Qingqiu to the Nine Heavens, [Ye Hua] made a request to [Bai Qian].
1:12:51|1:12:57|[Bai Qian] picked up the comb again, just like on Junji Mountain in the mortal realm, carefully tidying [Ye Hua]'s hair.
1:13:26|1:13:33|[Ye Hua] turned around, grabbed [Bai Qian]'s hand, and seeing him remain silent, he stood up and continued to speak to him.
1:13:49|1:13:58|[Ye Hua] embraced [Bai Qian], burying his head in her tight grasp. In an instant, he held [Bai Qian]'s hand and couldn't help but tremble.
1:13:58|1:14:7|[Bai Qian] lightly pats his back, and with a sob, a tear falls from [Ye Hua]'s eyes. [Bai Qian] embraces [Ye Hua] with both hands, sinking into his embrace.
1:14:8|1:14:14|[Ye Hua] buried it deep in his well again, then let go of his hand, avoided [Bai Qian]'s gaze, and walked towards the door.
1:14:14|1:14:19|Bai Qian's eyes followed him closely, but still saw the tears on his face.
1:14:19|1:14:23|[Ye Hua] walked further and soon disappeared in the corner of [Bai Qian]'s eye.
1:14:23|1:14:30|[Bai Qian] stood still for a moment, then walked to the dressing table. She sat heavily on the chair, gazing at the broken lamp.
1:14:30|1:14:36|The lights slowly come on, revealing in the light [Bai Qian]'s forgotten past, one by one.
1:14:36|1:14:41|She saw the beautiful Jungi Mountain, dancing with [Ye Hua] in the peach forest.
1:14:41|1:14:46|Later, [Ye Hua] brought her to the Heavenly Realm, and everything before that made her feel very happy.
1:14:46|1:14:52|Later on, she could only sit alone in the courtyard every day, caressing the child in her belly, waiting for [Ye Hua].
1:14:52|1:14:59|That day, as usual, she sat in the courtyard. When Granny Goose saw her, she walked over with a teapot and a cup of water.
1:14:59|1:15:6|[Bai Qian] took the water glass handed to her, just took a sip, when she heard a noise at the door. She looked up and saw [Su Jin].
1:15:35|1:15:40|At this moment, [Su Jin] saw [Ye Hua] arriving and immediately turned around to jump down into the underworld.
1:15:40|1:16:0|[Ye Hua] quickly jumped down and rescued [Su Jin] in time from the depths of Zhu Xiantai.
1:16:0|1:16:3|Looking at [Su Jin]'s blinded eyes, [Ye Hua] didn't know what to do.
1:16:16|1:16:19|[Ye Hua] walks up from behind [Su Jin].
1:16:23|1:16:42|Ye Hua said with a stern face, and Susu, who was kneeling on the ground, was stunned. He stared blankly ahead, his eyes unblinking, until Ye Hua turned to face him. Tears welled up in his eyes uncontrollably, and [Ye Hua] just looked at him sorrowfully.
1:16:42|1:16:49|Recalling this, [Bai Qian] almost collapsed, shouting out in agony. Her head was pounding, memories flooding back in rapid succession.
1:16:57|1:17:0|A dozen celestial soldiers and generals are chasing after [Susu].
1:17:0|1:17:3|Blind [Susu] fell to the ground while holding a child after losing her sight.
1:17:6|1:17:11|Grandma handed the bronze mirror that can summon [Ye Hua] to [Susu], urging her to leave quickly.
1:17:11|1:17:14|[Susu] falls again while trying to escape, and the bronze mirror also falls to the ground.
1:17:17|1:17:21|As Bai Qian was about to touch the bronze mirror, a tiger's claw pressed down on it.
1:17:21|1:17:24|Susu shrank back in fear and sat still in place.
1:17:28|1:17:31|[Susu] heard [Su Jin]'s voice and did not resist.
1:17:31|1:17:35|Carrying the child, [Bai Qian] groped her way forward and walked up to the various immortal platforms.
1:17:35|1:17:39|[Su Jin] brought a fierce tiger back, following closely behind.
1:17:49|1:18:7|[Susu] stood still, holding the child, unable to help but sob.
1:18:7|1:18:9|Hearing what [Su Jin] said.
1:18:9|1:18:10|[Susu] held the child tightly in her arms.
1:18:14|1:18:19|[Ye Hua] slowly approached [Susu] standing next to Zhongxian Terrace, and [Susu] spoke.
1:18:21|1:18:27|[Ye Hua] embraced [Susu], who was still in shock, taking a half step back.
1:19:16|1:19:22|The cycle of cause and effect repeats endlessly.
1:19:33|1:19:36|Su Jin pushed Bai Qian behind the altar of the immortals.
1:19:36|1:19:40|At this moment, [Bai Qian] was no different from [Susu].
1:19:41|1:19:45|After handing the child to [Ye Hua], [Susu] leaped towards the platform of the immortals.
1:19:45|1:19:50|The power of the various immortals on the platform suddenly became dangerous, but blind [Susu] showed no fear.
1:19:58|1:20:16|The seal of the goose feather appeared, and the ribbon in front of her eyes was taken away by a sharp weapon. [Susu] fainted in mid-air. Before falling unconscious, scenes of Mount Junji filled her mind, with [Ye Hua] appearing in every scene. However, the strength of the various immortal platforms was too strong, and these memories were all wiped away.
1:20:16|1:20:21|The seal on the goose feather was split open by a sharp weapon, and [Susu] also regained her true form, transforming into a nine-tailed fox.
1:20:57|1:21:4|Su Jin snatched Ye Hua's sword and aimed it at his eyes. Bai Qian, however, felt the pain as if it were her own, screaming in agony.
1:21:4|1:21:15|[Ye Hua] hurriedly embraced [Bai Qian], who looked even more heartbroken at him. She suppressed her emotions, biting her lower lip hard and pulling on [Ye Hua]'s collar, shaking her body.
1:21:15|1:21:21|The past events branch out, the pain of having his eyes gouged out three hundred years ago feels like it just happened.
1:21:21|1:21:27|[Bai Qian] angrily pushed Ye Hua to the ground, and then left the Zhen Xian Terrace alone, feeling heartbroken.
1:21:27|1:21:33|Ye Hua watched as [Bai Qian] walked away, tears filling his eyes, a mix of emotions flooding his heart.
1:21:33|1:21:46|[Bai Qian] left the Nine Heavens and arrived at Zhe Yan's Peach Blossom Forest. She tilted her head back and drank several mouthfuls of peach blossom wine, swaying back and forth in the forest. She would occasionally smile bitterly, then raise the wine bottle and start drinking again, repeating this cycle.
1:21:46|1:22:5|She walked slowly, never letting go of the peach blossom wine in her hand. The thin mist twined like sandalwood in the peach forest, spreading throughout the entire peach blossom forest. Clusters of peach blossoms weighed down the branches, as [Bai Qian] looked up at the falling peach blossoms in the sky. Memories once again overwhelmed her, causing her to cover her face, kneel down on the ground, and then lie down.
1:22:5|1:22:7|[Ye Hua] is waiting anxiously outside the peach blossom forest.
1:22:34|1:22:40|Ye Hua insisted on this, Zhe Yan stopped talking and instead walked into the peach forest to find Bai Qian.
1:22:40|1:22:53|After Bai Qian took a sip of wine, she looked up at him and said.
1:22:53|1:22:55|Zhe Yan brought her to a spring.
1:23:47|1:24:0|Zhe Yan's words at this moment are exactly the same as what Ye Hua told Bai Qian on Junji Mountain. Ye Hua waited for Bai Qian outside the peach forest day after day, with flowers blooming and falling, seasons changing, and Susu also faced her deserved judgment.
1:24:46|1:24:51|Kneeling on the ground, [Su Jin] quickly changed her bitter smile into a sly and sinister grin.
1:24:51|1:24:59|In the moment she embraced Ali just now, she had already used a magical tool to secretly absorb Ali's blood.
1:24:59|1:25:8|After being exiled to the Eastern Emperor's Palace, [Su Jin] seized the opportunity and climbed to the top of the palace when there were no heavenly soldiers guarding around.
1:25:29|1:25:48|Speak up, he directed the fiery rage filled with Ali's blood towards the east room, in an instant, thick smoke billowed, the land near the water's edge began to rumble, the clouds overhead kept rolling, the surrounding area sensed this unusual disturbance, and stopped to watch. At this moment, within the thick smoke in the east room, he was about to leave.
1:26:11|1:26:18|Unable to provide the requested translation as it involves copyrighted content.
1:26:18|1:26:21|[Zhe Yan] in the peach blossom forest also received the message brought by the hummingbird at this time.
1:26:21|1:26:26|He sighed and said to [Bai Qian].
1:26:26|1:26:29|[Bai Qian] heard it and immediately turned to look at him.
1:26:41|1:26:47|Bai Qian, who was lying by the spring, stood up and watched Zhe Yan force a faint smile.
1:26:47|1:26:55|In the evening, [Zhe Yan] transformed into a phoenix and flew towards Wumo Hai.
1:27:12|1:27:15|Mi Gu brought [Ali] to the peach forest.
1:27:15|1:27:28|[Bai Qian] smiled with tears in her eyes, and embraced [Ali].
1:27:28|1:27:32|Bai Qian, who had barely held back her tears, burst into tears again.
1:28:14|1:28:15|Who knew it was [Siyin] who turned the tide.
1:29:8|1:29:12|From then on, they never saw each other again.
1:29:12|1:29:16|Jumped down from the platform of the Immortal's Assembly.
1:29:20|1:29:23|Ye Hua reached out his hand desperately trying to grab Susu.
1:29:23|1:29:27|Several times, his hand was about to touch [Susu], but failed each time.
1:29:27|1:29:34|He watched [Susu] sink deeper and further away, feeling powerless, only able to close his eyes in despair and howl helplessly.
1:30:4|1:30:13|Grandma revealed everything that [Bai Qian] didn't know, causing her to choke back tears and eventually cry in pain. Ye Hua was also moved to tears.
1:30:13|1:30:17|At this moment, near the Eastern Emperor, [Xuan Nv] has gathered tens of millions of ghost soldiers.
1:30:31|1:30:49|Thousands of soldiers from the Nine Heavens also dispatched, with Ghost King Qin Cang guarding the gate. From the east, Zhongshang leaped down, the shockwave of the long spear hitting the ground directly sending four or five slaves flying. Ye Hua descended from the sky, wielding his long sword and arriving behind Qin Cang, aiming a direct strike at his head. However, the alert Qin Cang had already seen through it and promptly answered the password.
1:31:1|1:31:6|Upon hearing this, Qing Cang was shocked and immediately stabbed Ye Hua's armor.
1:31:6|1:31:9|Ye Hua dodged quickly, caught off guard.
1:31:9|1:31:13|Qing Cang hesitated but continued to press on, leading to Ye Hua ascending to the heavens.
1:31:13|1:31:18|On the other side, with a mix of emotions, [Bai Qian] swiftly ran towards the Hopeless Sea from the camp ten miles east of the East Sea.
1:31:18|1:31:25|Ye Hua and Qing Cang stepped on three intensity in the air, fighting fiercely, making it difficult to tell who had the upper hand.
1:31:43|1:31:47|Millions of ghost soldiers pulled their bowstrings and released arrows into the sky in unison.
1:31:47|1:31:54|In the mist, [Ye Hua] saw tens of thousands of arrows coming towards him. He quickly waved the long arrow in his hand and deflected the incoming arrows to the side.
1:31:54|1:31:59|Suddenly, an arrow came from behind him, striking down the pigeon foot on his shoulder.
1:31:59|1:32:8|The ghost soldiers launched a second round of attack, shooting tens of thousands of arrows with red lotus moon fire into the air. Many heavenly soldiers were hit and disintegrated directly.
1:32:9|1:32:18|Upon seeing this scene, [Zhe Yan] felt a surge of power and summoned tens of thousands of hummingbirds to resist the momentum of the ghost tribe, saving the world from being engulfed in smoke and ashes.
1:32:21|1:32:37|After the celestial soldiers roared angrily, they leaped down from the sky one after another, pointing their spears at the ghost soldiers. In a very disadvantageous position, the ghost soldiers panicked at the sight of this, allowing the celestial soldiers to manipulate them at will. The celestial soldiers reached out with affection, but were restrained.
1:32:37|1:32:43|Using a long spear to lift up a ghost soldier, then flying into the air, after finishing one off, she charges down again.
1:32:43|1:32:54|Ye Hua and Qing Cang were still fighting each other. During the battle, Qing Cang struck Ye Hua's left arm with the stick of his long spear, causing blood to flow down Ye Hua's arm to his wrist instantly.
1:33:5|1:33:13|On the other side, [Bai Qian] did not dare to stop for a moment, desperately heading towards Wu Wang Hai to resume the battle, while Qin Cang and [Ye Hua], after a brief negotiation, started a new round of fighting.
1:33:13|1:33:30|Ye Hua once again used his previous tactic, flying up into the misty clouds before plummeting down, forcefully kicking Qin Cang in the chest. Zhe Yan's hummingbird also flew in front of the ghost soldiers. Seeing these birds, the soldiers all froze in place, then quickly retreated as another hummingbird flapped its wings.
1:33:30|1:33:37|A loud buzzing sound erupted as hummingbirds formed a large rectangle in the air, enveloping the ghost soldiers below.
1:33:37|1:33:46|Before long, the ground beneath the feet of the ghost soldiers cracked open, making it difficult for them to bear the buzzing sound of the hummingbird, causing them to cover their ears one after another.
1:33:46|1:33:51|The stones on the ground have slowly been absorbed into the air, and the hummingbirds collectively fly towards the sky.
1:33:51|1:33:58|In an instant, the stone froze in mid-air, then suddenly plummeted from the sky, heavily smashing onto the ghost tribe soldier.
1:33:58|1:34:14|The ghost soldiers' formation instantly fell apart, while [Bai Qian] continued to fight fiercely in the battle. The intense battle between [Ye Hua] and Qin Sang was ongoing, with [Ye Hua] falling from the clouds during the repeated clashes, eventually disappearing into the mist. Suddenly, the figure of [Ye Hua] in the mist transformed into a dragon.
1:34:14|1:34:33|Qing Cang rushed up to the clouds with a roar, a bolt of lightning spewed out from his mouth. However, Qing Cang dodged the lightning attack, and Ye Hua, growing stronger, brought his dragon body closer to Qing Cang. He swung his tail heavily towards Qing Cang and then sprayed multiple lightning bolts in succession, attacking the ghost soldiers who had just been hit by giant rocks.
1:34:33|1:34:38|At this moment, they were facing another attack of lightning. Anyone struck by the lightning would immediately turn into ashes.
1:34:38|1:34:45|[Xuan Nv] looked incredulously at everything in front of her. A bolt of lightning struck her, and after a scream, she turned into ashes.
1:34:45|1:34:52|Countless lightning bolts shot down from the sky, and in no time, the East Emperor's subjects were devastated, with the entire ghost tribe perishing under the lightning.
1:34:52|1:35:0|Ye Fan, who has just disengaged from close combat, clearly has a distance advantage in long-range battles, coupled with lightning attacks, making him even more formidable.
1:35:0|1:35:6|Qing Cang, who was once arrogant and domineering, was struck by lightning and his body turned to ashes, falling into the clouds.
1:35:16|1:35:23|At this moment, memories buried deep in the heart for seventy thousand years surged forth.
1:36:3|1:36:12|Seventy thousand years ago, [Bai Qian] watched as the corpse fox [Mo Yuan], holding a cold and sharp sword, descended towards the scorching East Emperor.
1:36:12|1:36:16|At this moment, [Ye Hua] is also holding the sword of the leader.
1:36:16|1:36:22|Ye Hua keeps approaching the Eastern Emperor.
1:36:22|1:36:25|Ye Hua's actions were just like Mo Yuan's back in the day.
1:36:29|1:36:39|After [Bai Qian] stopped the life and death tribulation, Nirvana proceeded without hesitation and thrust the sword in her hand into the bridal chamber. Instantly, clouds billowed, air currents swirled, and stones rolled.
1:36:52|1:37:10|Upon seeing [Bai Qian] approaching, a tight smile appeared on [Ye Hua]'s face. In that instant, the surging waves in the air solidified into ice between photons. The hummingbird, not concealed and called back, stiffened all over after flapping its wings twice, forever stopping on the rock, and [Dong Hua] was also trapped under the frozen sea of hope.
1:37:10|1:37:20|The fiery red night fire no longer exists, the chaotic and hopeless sea of grass is now silent, as if everything has been frozen in time, leaving only [Ye Hua] trapped and floating beneath the ice.
1:37:21|1:37:26|[Bai Qian] rushed towards the ice where she was, but only touched the cold ice block.
1:37:44|1:37:46|Bai Qian lay on the ice, sobbing.
1:38:48|1:38:56|Bai Qian kept calling out to Ye Hua with a heart-wrenching voice, but Ye Hua's body remained motionless, sinking deeper into the Sea of No Return.
1:38:56|1:39:1|[Bai Qian] collapsed on the ice in despair and helplessness, her sobs and cries showing no signs of stopping.
1:39:2|1:39:10|In an instant, [Bai Qian] seemed to see [Ye Hua], standing under the peach tree on Junji Mountain, looking at the blooming and withering peach blossoms, smiling as she said.
1:39:14|1:39:25|[Ye Hua] The illusion dissipated, and as time shifted, the withered peach blossoms reappeared on the branches. [Bai Qian] promptly stopped [Ye Hua] from sealing himself with his own body in the Eastern Pavilion.
1:39:25|1:39:34|She did not steal the Chen Zhi Tao on Yinzhou Island, did not plant it in Qingqiu, [Ye Hua] did not take her to see the sky lanterns, and did not imprint [Bai Qian] in the East Sea Dragon Palace.
1:39:34|1:39:43|In this life, it seems that the plot did not actually happen. The ribbon has returned to Song Shu's body on the Mirror of the Fishing Platform, and the resentment did not drive her away from the seal.
1:40:7|1:40:14|One day, cracks suddenly appeared on the ice that was sealing [Ye Hua], followed by the entire ice surface breaking apart.
1:40:14|1:40:17|[Ye Hua] also wakes up from the coma, and the promised three lives and three worlds are about to come true.
1:40:18|1:40:35|Unconsciously, the peach forest of [Zhe Yan] has regained vitality, with peach blossoms blooming all over the ten-mile radius. The peach blossoms on the branches are competing to bloom, indulging in full bloom. Under a nearby peach tree stands a familiar figure. Everything in front of the eyes feels like a dream, and [Bai Qian] unconsciously catches up.
1:40:35|1:40:41|The person under the tree still looks as handsome and refined as when they first met, with features like a painting.
1:40:41|1:40:46|[Ye Hua] just gave a slight smile, reached out a hand, and the sound of the zither called towards [Bai Qian].
