0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
0:46:37|0:46:49|[Wu Fuchun] knelt on the ground, desperately pulling up a fish of two or three decimeters from the ice hole in Weixian County. [Wu Fuchun] ecstatically pounced on it, holding the fish and examining it non-stop.
0:46:51|0:46:58|[Wu Fuchun] caught a slippery sea fish, the smile on his face couldn't be hidden, and soon he returned with a full load.
0:46:58|0:47:4|Suddenly there was a loud noise around him, and soon his smile froze on his face. 
0:47:4|0:47:9|Suddenly, a two-meter-wide crack opened up beneath him, and he fell down without any warning.
0:47:9|0:47:16|[Wu Fuchun] kept sinking, he clumsily crashed into the rocks, and finally fell heavily onto a platform.
0:47:16|0:47:29|[Wu Fuchun] lay on the snow on his side, completely unconscious. The snow slowly slid down his temple, and on the other side of the platform was a bottomless abyss, just like what he was facing now, with no end in sight.
0:47:29|0:47:40|After an unknown period of time, [Wu Fuchun] finally regained some consciousness. His eyelids trembled slightly, then suddenly shook violently as if in a nightmare. Finally, [Wu Fuchun] woke up.
0:47:40|0:47:46|He tried to prop himself up and stand up, causing the accumulated snow on his body to shake off with his movements.
0:47:46|0:48:7|It is obvious that he has been unconscious for a long time. He found himself sitting on the ground in front of a deep cliff, scared. After a while, he realized that the platform he was on was at least a dozen meters away from the ground where he fell. But [Wu Fuchun] did not give up completely. He gritted his teeth, stood up, and looked around for a way out.
0:48:7|0:48:17|The platform was not large. [Wu Fuchun] easily found the only passage, but his previous injury had not healed. He could only limp in, hugging his body.
0:48:17|0:48:47|In the crevice, every step is unknown. The passage he is in can only accommodate one person at a time, and beyond the passage is a wide platform. Without hesitation, [Wu Fuchun] continues forward to the next passage, moving through it with both hands and feet. He is shocked by the sight before him, finding himself in a hollow area with an extension of a platform of only 10 square meters at the mouth of the cave, resembling the cold and eerie atmosphere of the Spider Cave in Journey to the West.
0:48:47|0:48:54|This is an unknown space that he has never encountered before, in front of him is a natural glacial cave.
0:48:54|0:49:5|[Wu Fuchun] trembled forward two steps, stood at the edge, mustered up the courage to look down at the abyss below, so dark that the camera couldn't capture it.
0:49:5|0:49:28|The external world is still in a snowstorm, and the wooden house appears particularly small on the vast Antarctic wilderness. [Jing Ruyi] wrapped in fur shivered and lay on the bed watching the electric heater in the study, which she never turned on when alone. At this moment, [Wu Fuchun] walked deeper and deeper, and the light became darker. He squeezed through a strange hollow with his body tilted.
0:49:28|0:49:37|Wu Fuchun sighed as he found himself at a dead end, looked around, then retraced his steps to search for the next exit.
0:49:37|0:49:48|Twenty-eight days have passed in the blink of an eye, and the temperature inside the wooden house has remained at -5 degrees Celsius. At this moment, [Wu Fuchun] still hasn't found a way out, and no sunlight can penetrate the dim ice cracks.
0:49:48|0:49:59|Mental and physical exhaustion forced him to lie on the ground, but he knew the consequences would be unbearable if he continued like this. Thinking of this, [Wu Fuchun] summoned up his spirits and tried to sit up.
0:49:59|0:50:3|He leaned against the ice wall with his legs crossed.
0:50:6|0:50:12|[Wu Fuchun] crossed his legs and stared fiercely ahead for a long time, then pointed to the fishing rod beside him.
0:50:25|0:50:34|[Wu Fuchun] stared at the fishing rod in silence for a long time, then looked up at the faint light shining through the ice.
0:50:38|0:50:50|In this isolated corner, the response [Wu Fuchun] desires is not forthcoming. [Wu Fuchun] purses his lips, watching the sunlight filtering through the ice, then lowers his head in contemplation. Suddenly, a sound behind him catches his attention.
0:50:50|0:51:4|[Wu Fuchun] turned his head alertly and saw a huge hole above. He quickly stood up and, upon seeing the full extent of the hole, couldn't help but open his mouth in shock. On the other side, [Jing Ruyi] was lying on the bed covered in fur, clearly sleeping restlessly.
0:52:54|0:53:13|Outside, the blizzard was raging, causing the wooden door to creak and the chandeliers inside the house to sway constantly. The small rods of the generator outside finally gave way and flew out, breaking the wires that connected to the wooden house. The generator stopped working in an instant, as time passed by slowly.
0:53:13|0:53:45|At this moment, a silence fell, the sound of heartbeats clear and strong. [Wu Fuchun] was pinned under thick snow, unable to speak. After a long time, he finally managed to push open a weak space around him, allowing him to move his body slightly. In this pitch-black depth where he couldn't see his own hand in front of his face, he instinctively took out a lighter. The faint light from the lighter gave [Wu Fuchun] a glimmer of hope. With one hand holding the lighter and the other constantly climbing forward, his backpack on his feet was difficult to drag through the snow.
0:53:46|0:53:58|The lighter suddenly went out, [Wu Fuchun] frantically rubbed the lighter. The more anxious he was, the harder it was to light the lighter. After a while, the lighter finally lit up, and [Wu Fuchun] continued to crawl forward anxiously.
0:53:58|0:54:11|However, as soon as he made a slightly larger movement, the accumulated snow would fall continuously, extinguishing the flames again. In this way, [Wu Fuchun] kept lighting and extinguishing the lighter, switching back and forth between climbing forward.
0:54:11|0:54:23|At this moment, [Wu Fuchun] held up his right hand in the hope of creating hope for himself with his left hand. Thick frost clung to the tips of his hair and eyelashes, and every time the lighter went out, it brought him great fear.
0:54:23|0:54:29|[Jing Ruyi] lay on the bed, holding the Guanyin pendant solemnly in the palm of her hand.
0:54:42|0:54:48|[Wu Fuchun] lit the lighter again, holding a pickaxe and continuously poking the accumulated snow in front.
0:54:48|0:55:0|Every action brought him infinite hope, yet filled with unknown despair. Later, he voluntarily extinguished the lighter, and used both hands to pick up the pickaxe, continuously shoveling the accumulated snow in front.
0:55:0|0:55:6|The snow in front of him had long since turned into ice, and no matter how much he shoveled, very few fragments fell down.
0:55:6|0:55:17|[Wu Fuchun] finally couldn't resist the anxiety in his heart, he lit the lighter again. Holding the lighter in his right hand, his speed of chiseling the ice with one hand slowed down a lot, and the flame went out again.
0:55:17|0:55:29|[Wu Fuchun] shed tears of despair, his hands frozen in place. He then dropped the lighter and began chiseling desperately with a pickaxe. Through the ice, a faint glimmer could now be seen.
0:55:29|0:55:39|The temperature in the small wooden house remains at minus 5 degrees Celsius. [Jing Ruyi], with her lower body exposed, drags her weary legs towards the shelf against the wall where canned goods are placed.
0:55:39|0:55:50|[Jing Ruyi], holding her breath, supporting herself with her left hand on the ground and grabbing onto a piece of floorboard with her right hand, trying hard to stand up. However, the floorboard, which has been neglected for many years, is unable to withstand the strength of an adult.
0:55:50|0:55:57|[Jing Ruyi] stood up and immediately tumbled over, cans rolling all over the floor. [Jing Ruyi] fell to the ground again.
0:55:57|0:56:3|Outside the window, the snow continued to fall without any sign of stopping, [Jing Ruyi] leaned against the shelf with her legs stretched out.
0:56:4|0:56:10|Crying and eating canned food, [Wu Fuchun] looked nothing like his usual self.
0:56:10|0:56:23|[Jing Ruyi]'s food fell out of her mouth as she cried, with no sign of the weather improving outside. The snow on the roof had already exceeded half a meter in thickness, and the sound of frost forming on the windows was unusually clear.
0:56:23|0:56:30|[Jing Ruyi] turned around in confusion, only to see the frost on the glass getting thicker and thicker, making it impossible to see the outside of the house.
0:56:30|0:56:36|She crawled out of the wooden house with her legs dragging behind, the temperature inside and outside was incomparable.
0:56:36|0:56:42|[Jing Ruyi] crawled through the snow with bare legs, mustering all her strength to make her way towards the generator.
0:56:42|0:56:48|When [Jing Ruyi] finally reached it, she found the rope and pulled it out with the last bit of her strength.
0:56:53|0:57:3|[Jing Ruyi] is too weak to ignite the generator. She grasps the rope with both hands, grits her teeth, and pulls hard outward. The rope is unexpectedly torn apart.
0:57:3|0:57:8|She was thrown to the ground by a huge force, still holding a rope that had been pulled and broken in half.
0:57:8|0:57:19|On the other side, a pickaxe emerged from the snow, and [Wu Fuchun] finally crawled out from the crevice. He turned around and, with his last bit of strength, pulled his backpack out from under his feet.
0:57:19|0:57:30|The big storm has stopped, the sunlight is shining unobstructed on the ground, [Jing Ruyi] leans against the generator, looking up at the sky in a calm yet despairing manner.
0:57:30|0:57:37|After a long time, she looked at the discarded tin cans on the wooden box, the sharp cans opening their mouths recklessly.
0:57:37|0:57:48|She stared blankly at the can lid, a different idea forming in her mind. Before long, [Jing Ruyi]'s arm went limp and dropped down, still holding the sharp can lid.
0:57:48|0:58:7|After completing all this, [Jing Ruyi] leaned against the wall with her head tilted, gently closed her eyes, and her other hand lay paralyzed on the ground. The absence of [Wu Fuchun] made her completely desperate, and her failed attempt at self-rescue left her with no courage to live on. She didn't know that she was now the only hope left in [Wu Fuchun]'s heart.
0:58:7|0:58:22|Once out of the ice crack, [Wu Fuchun] rushed back without stopping for a moment, not daring to pause until he joyfully burst into the open doorway, only to find no trace of [Jing Ruyi]. He immediately ran towards the generator and saw the figure that haunted his dreams.
0:58:22|0:58:28|At this moment, [Jing Ruyi]'s face was unusually tranquil, leaning quietly to one side with her body askew.
0:58:28|0:58:37|[Wu Fuchun] rolled and crawled to her side, then lifted her wrist to see the bloody wound that had been cut open.
0:58:39|0:58:50|In the hopeful gaze of [Wu Fuchun], [Jing Ruyi] slowly opened her eyes. Upon seeing [Wu Fuchun]'s face, she revealed a faintly relieved yet weak smile.
0:58:54|0:59:5|[Wu Fuchun] listened to these words and was so sad that he was about to cry. He bent his back and held [Jing Ruyi] tightly in his arms, refusing to let go. From this moment on, their hearts were tightly entwined.
0:59:5|0:59:7|Leaned against each other, never wanting to be separated again.
0:59:7|0:59:16|[Wu Fuchun] fixed the generator and cooked a pot of soup with a small electric stove, while [Jing Ruyi] wrapped herself in a blanket and fur coat and sat back on the lower bunk.
0:59:16|0:59:23|[Wu Fuchun] withdrew her gaze and carefully carried the packed lunch box to the bedside, sitting on the stool next to the bed.
0:59:27|0:59:38|After the robbery, [Jing Ruyi] who was reborn seemed not joyful. She lowered her eyes, her face filled with disappointment. After a long time, she slowly reached out her hands to take the fish soup.
0:59:38|0:59:49|She stared blankly at the lunchbox in her hand, without any desire to eat. Finally, she averted her gaze and slowly placed the fish soup on her lap, [Wu Fuchun] looked up with a sense of grievance.
0:59:52|1:0:1|She chuckled self-deprecatingly with her head down again, and [Jing Ruyi]'s eyes finally focused in this moment as she lifted her head to gaze steadily at [Wu Fuchun].
1:0:2|1:0:8|[Wu Fuchun] looked at [Jing Ruyi] earnestly, with a hint of tears in his eyes.
1:0:10|1:0:19|At this moment, [Jing Ruyi] was already in tears, unable to look into the eyes of [Wu Fuchun]. [Wu Fuchun] held back his tears, his eyes filled with determination and refusal to give up.
1:0:19|1:0:26|The snowstorm finally stopped, the dark clouds slowly dispersed, and in front of the wooden house came the long-awaited calm.
1:0:27|1:0:37|[Wu Fuchun] packed his bags again and prepared to leave. He looked back at the bed uneasily, while [Jing Ruyi] lay motionless on the side facing the wall.
1:0:37|1:0:48|[Wu Fuchun] knew she was still upset about his late return. Thinking about this, [Wu Fuchun] placed his backpack on the table and sat by it, staring expressionlessly at the figure in front of him.
1:1:1|1:1:9|After saying these words, [Wu Fuchun] quietly waited for [Jing Ruyi]'s response. [Jing Ruyi] remained motionless, slowly opening her eyes.
1:1:9|1:1:20|[Wu Fuchun] walked out of the house without looking back after picking up his backpack, while [Jing Ruyi] silently pondered every word he had said, imagining everything [Wu Fuchun] had experienced that day.
1:1:20|1:1:31|All that was done for the survival of the two of them.
1:1:31|1:1:40|Wu Fuchun, who narrowly escaped death, returned to the wooden house. He carefully inventoried all the remaining supplies in the house while also taking care of the weakened Jing Ruyi.
1:1:54|1:2:1|The thirty-fourth number on the wall has also been marked, and time is running out for them on the shoe stool.
1:2:1|1:2:12|[Wu Fuchun] walks in the snow, viewed from above, only a small black dot can be seen. His nose, without a mask, has turned bright red from the cold, and his eyes are showing signs of discomfort.
1:2:12|1:2:22|Wu Fuchun blinked hard, trying to ease the discomfort, then squinted and looked around. Holding a pickaxe, Wu Fuchun walked forward slowly.
1:2:22|1:2:33|His discomfort in the eyes grew stronger, eventually forcing Wu Fuchun to stop and squint hard. His eyes continued to ignore the light, and upon closer inspection, one could see that his eyelids were red.
1:2:33|1:2:44|Conjunctival congestion, in order to relieve the pain, he grabbed two clumps of snow and pressed them against his eyes in an attempt to alleviate it. When he put down the snowballs, his eyes could hardly open.
1:2:44|1:2:56|He tried to squint his eyes, only to find his vision blurred, unable to see clearly, tears streaming down uncontrollably. He stared ahead in confusion, realizing after a while that he couldn't even recognize the direction.
1:2:56|1:3:7|Thinking of this, [Wu Fuchun] immediately crouched on the ground in a panic, searching for the pickaxe. In front of him was a downhill road, but [Wu Fuchun] was completely unaware. He slipped and rolled down directly.
1:3:7|1:3:15|At this moment without a pickaxe, he could only let inertia take him downhill, the heavy backpack made [Wu Fuchun] stand up after half a day.
1:3:15|1:3:30|Antarctica has extremely high visibility on sunny days. From the small wooden house, [Wu Fuchun] can clearly see that he hasn't left the house for long. Anxious to return, he stands in place for a while, lost in thought.
1:3:30|1:3:54|Finally identifying a direction, [Wu Fuchun] cautiously took a step forward, extending one leg tentatively. After confirming the stability of this step, he dared to tremble and step out with the other leg. He widened his eyes trying to discern the general direction of the wooden house, looking around in confusion and uncertainty, although the wooden house should have been within his sight.
1:3:54|1:4:4|He couldn't find his way home, with the red thread on his woolen hat swaying back and forth, coupled with this tearless expression, he looked like a child who couldn't find his way home.
1:4:40|1:4:52|The response was like a beam of light, and he suddenly turned around and ran wildly in the direction of the sound.
1:5:13|1:5:23|[Wu Fuchun] finally let go of all his fears at this moment. He reached out and held [Jing Ruyi]'s hand, kneeling on the stairs by the wooden door, slowly moving closer to her.
1:5:23|1:5:33|[Jing Ruyi] reached out and cupped [Wu Fuchun]'s face in her hands. She looked at his wind-chapped cheeks and stared into his lifeless eyes for a long time.
1:5:33|1:5:42|In the end, she gently embraced him, [Wu Fuchun] leaning on [Jing Ruyi]'s shoulder like a child.
1:5:42|1:5:50|[Wu Fuchun] The pain and grievances of this period finally burst out unabashedly at this moment.
1:5:58|1:6:5|She wrapped a snowball in gauze and gently pressed it against [Wu Fuchun]'s eyes.
1:6:14|1:6:22|[Wu Fuchun] has been exhausted recently. He closed his eyes and fell asleep right after speaking.
1:6:25|1:6:32|[Jing Ruyi] looked at [Wu Fuchun]'s face and gently stroked his hair.
1:6:32|1:6:39|The former flamboyance and emotions have been worn away in this disaster, but life still goes on.
1:6:39|1:6:44|That day, [Wu Fuchun] used the snow on the spot and poured it into the pot used for cooking rice.
1:6:49|1:6:54|[Wu Fuchun] obediently turned a corner, bypassed the pillar in front, and continued walking forward.
1:6:56|1:7:1|[Wu Fuchun] followed the command, changed direction again, and continued walking while kicking.
1:7:4|1:7:14|[Wu Fuchun] poured all the hot water from the pot into the basin in front of [Jing Ruyi], then placed the basin on the wooden table nearby and leaned against the table corner to rest.
1:7:23|1:7:29|[Wu Fuchun] glared indignantly at [Jing Ruyi] before turning around and striding forward with quick steps.
1:7:31|1:7:42|[Jing Ruyi] watched as [Wu Fuchun] clumsily moved, a small smile involuntarily appearing on his lips. Then, without hesitation, he picked up a small pair of scissors and cut off his own hair.
1:7:42|1:7:51|For [Jing Ruyi] and [Wu Fuchun], it was a new beginning. She picked up the jar and poured the hot water from the basin over her head, then closed her eyes lightly.
1:7:51|1:8:1|Feeling the warmth left by the hot water. After washing her hair, she squeezed out the water, then sat on the bench with her legs bent, wiping her shins with a towel.
1:8:1|1:8:9|She secretly glanced at [Wu Fuchun], only to see [Wu Fuchun] obediently squatting at the door with his back to her, which made her feel a hint of unusual emotion.
1:8:9|1:8:19|After discovering some red spots on the inside of his arm, [Jing Ruyi] had [Wu Fuchun] sit back on the bench after a quick bath, and carefully trimmed his beard.
1:8:33|1:8:45|[Jing Ruyi] stopped her movements, looking gently into [Wu Fuchun]'s eyes, unaware that [Wu Fuchun] could already see her eyes clearly through the gauze strip. A smile appeared on his face.
1:8:45|1:8:54|Infected, [Jing Ruyi] also smiled. [Wu Fuchun] carefully touched [Jing Ruyi]'s face, pushed aside her stray hair, and nervously swallowed saliva.
1:8:54|1:8:59|Bending down slowly, [Wu Fuchun] held the face of [Jing Ruyi], who furrowed her brows.
1:9:2|1:9:6|[Jing Ruyi] felt embarrassed and plunged headfirst into [Wu Fuchun]'s chest.
1:9:9|1:9:16|On that day, Wu Fuchun, who had lost his sunglasses, acquired a new piece of equipment, which was Jing Ruyi's underwear.
1:9:16|1:9:25|[Wu Fuchun] fastened the underwear over his eyes.
1:9:28|1:9:36|Ruyi chuckled indulgently, then lowered her head to earnestly write and draw on the notebook.
1:9:47|1:9:59|Ruyi raised her head in surprise, only to find Wu Fuchun's gaze fixed on her chest. She quickly sat up straight and covered her open collar, but in fact Wu Fuchun was not looking at her chest.
1:9:59|1:10:10|With a solemn expression, he knelt down with his body straight, hands clasped together in front of him, devoutly closed his eyes, only to realize that [Wu Fuchun] was looking at the Guanyin pendant hanging on her neck.
1:10:10|1:10:15|She was moved as she looked at the man in front of her who was devoutly worshiping, holding the pendant in her hand.
1:10:15|1:10:19|She composed herself and solemnly held up the pendant in front of [Wu Fuchun].
1:10:19|1:10:37|[Wu Fuchun], after getting enough rest, packed up his belongings and headed towards the door. At this moment, a snowstorm was raging outside. Suddenly, [Wu Fuchun] reached out towards the door latch but hesitated and pulled back his hand. He took a few steps back and ended up standing where Ruyi could see him. Ruyi was sitting on the bed, looking towards [Wu Fuchun].
1:10:39|1:10:48|[Wu Fuchun] stood at the door without saying a word, but the words were like a shot of adrenaline, lodging in his heart. He opened the door without hesitation, and the strong wind and snow immediately blew the wooden door open.
1:10:56|1:11:7|[Wu Fuchun] stood in front, braving the snow as he walked out of the wooden house. He buttoned his undershirt over his eyes, acting as sunglasses, and [Wu Fuchun] looked around, getting used to the environment in front of him.
1:11:7|1:11:18|Heading in the planned direction, with less and less time left for them, he had to seize every opportunity to go out. This time, [Wu Fuchun] was much slower.
1:11:18|1:11:30|He walked cautiously in the snow, not knowing how long had passed. The seabirds around caught the attention of [Wu Fuchun]. He saw the seabirds circling briefly on the mountain peak before flying further away.
1:11:30|1:11:41|[Wu Fuchun] continued to walk in the direction where the seabirds flew, basking in the warm sun. As he climbed a hill and looked down, he spotted a round-headed seal, which showed no fear of humans.
1:11:41|1:11:52|Even when seeing [Wu Fuchun], he just lazily pats his tail [Wu Fuchun], sits down next to the seal, lifts his eye mask and blinks hard, then lazily lies down in the snow.
1:12:30|1:12:37|[Wu Fuchun] looked affectionately at the seal twisting and turning beside him, holding onto his gloves.
1:12:42|1:13:0|The seal seemed to understand Wu Fuchun's muttering, raised its head and gave him a disdainful look. Inside the wooden house, Jing Ruyi was sitting on the bed, holding a small mirror and carefully examining herself. Her lips were already dry and peeling, and the dark circles under her eyes were getting worse, even so.
1:13:0|1:13:8|She still tried to raise a smile, while [Wu Fuchun] curiously looked at the fish swimming under the ice with his buttocks sticking out.
1:13:8|1:13:19|In order to see more clearly, he crouched quite low, these sea fish were ready-made food in the eyes of [Wu Fuchun], but when he saw a giant whale swimming close to the ice surface.
1:13:19|1:13:33|His face turned ashen in an instant, [Wu Fuchun] remained motionless, quietly lying on the ice waiting for the departure of this massive creature. The ice, already cracked, shattered under the tail swipe of a giant whale.
1:13:33|1:13:42|[Wu Fuchun] didn't have time to escape at all. He sat on the ground, nervously shuffling backwards a few steps, and then fell directly into the water. The sea water was turbulent and unfathomable.
1:13:42|1:13:51|The eye-protecting bra and knitted hat were washed away, and to make matters worse, [Wu Fuchun]'s shoe also fell into the deep sea and disappeared without a trace.
1:13:51|1:14:8|But at this moment, [Wu Fuchun] was too preoccupied to care about these. He exerted all his strength to swim to the uppermost level, but due to the refraction of light causing visual distortion, he brushed past the ice cave and collided with the ice layer. Helpless, he had to swim to another place to continue searching for an exit.
1:14:8|1:14:20|However, no matter how many times he tried, he could only hit the ice surface and couldn't see the exit clearly. [Wu Fuchun] had never been so desperate, and the prolonged apnea caused his brain to lack oxygen.
1:14:20|1:14:28|He exhaled his last breath, [Wu Fuchun] helplessly staring with his eyes wide open, hands still raised above his head, slowly sinking towards the seabed.
1:14:28|1:14:36|Suddenly, some magical creatures resembling torpedoes swiftly entered the seabed, swimming agilely. They circled around [Wu Fuchun] in a circle.
1:14:36|1:14:44|Lying on his body rushing towards the ground, he looked up in confusion to see these penguins all rushing in the same direction.
1:14:44|1:15:7|That was the exit, [Wu Fuchun] seemed to see the hope of life, desperately swinging his arms towards the direction of the penguins, holding his breath, he managed to swing his limbs with sheer willpower, swimming upstream. These little penguins easily leaped out of the ice, waddling forward, and with their help, [Wu Fuchun] finally clung to the ice, panting for several breaths.
1:15:7|1:15:16|Still struggling to climb out, [Wu Fuchun] curled up on the ice, shivering with arms crossed, with his hat, backpack, and shoes all gone.
1:15:16|1:15:43|It has become extremely difficult for [Wu Fuchun] to survive here. He is seen stumbling forward barefoot, holding his arms. He hurriedly opens his coat pocket and takes out a few fruit candies. [Wu Fuchun]'s hands are already frozen, unable to open the candy wrappers. Accidentally, he drops the candy on the ground. He struggles to kneel down, picks up the candy, and tremblingly puts it into his mouth to chew. These fruit candies are his only source of energy at the moment.
1:15:43|1:15:52|In the blink of an eye, amidst the wind and snow in Antarctica, [Wu Fuchun] had no idea how long he had been walking, and once again crossed a hill to walk onto a plain.
1:15:52|1:16:0|Without the protection of anti-slip boots, [Wu Fuchun]'s right foot has already frozen stiff, and his clothes have been frozen into a block by the wind and snow.
1:16:0|1:16:18|With frost on his eyebrows and eyelashes, his face stiff and eyes unfocused, [Wu Fuchun] relied on sheer willpower to subconsciously sway his body. He knew he couldn't collapse, as someone was waiting for him to come home. And so, [Wu Fuchun] braved the biting cold wind, step by step, making his way home.
1:16:19|1:16:28|At this moment, [Jing Ruyi] was lying on the bed pretending to sleep, suddenly awakened by the sound of the generator outside. She opened her eyes and looked at the electric stove.
1:16:30|1:16:46|[Wu Fuchun] trembled as he walked into the room, closing the door and leaning on the shelf. Limping through the entrance, [Wu Fuchun]'s face had turned a dark purple from the cold. Upon seeing [Jing Ruyi] safe and sound, he could no longer hold on and collapsed straight to the ground.
1:16:55|1:17:8|[Jing Ruyi] knelt beside [Wu Fuchun], immediately helping him remove his clothes and gloves as he lay unconscious on the ground. Allowing [Jing Ruyi] to manipulate him, [Jing Ruyi] propped up [Wu Fuchun]'s upper body and threw off the ski suit frozen into an ice shell.
1:17:8|1:17:19|On the other side, she pulled off the damp down jacket from inside, then she untied [Wu Fuchun]'s shoes, took off his socks, and his right foot, without a shoe, had already frozen into a dark purple color.
1:17:19|1:17:31|At this moment, [Jing Ruyi] looked at [Wu Fuchun] with worry and fear in her eyes. She calmly took off her coat, realizing that the only way to save him at this moment might be to keep each other warm.
1:17:32|1:17:50|[Wu Fuchun] changed like this for himself. [Jing Ruyi] stripped off all her clothes, pressed her naked body against [Wu Fuchun]'s red chest that was frozen, leaned her head on his chest, slowly transferring her body temperature to him. [Jing Ruyi] closed her eyes, hugged [Wu Fuchun] tightly, and fell asleep.
1:17:50|1:18:4|The snow stopped, the dark clouds dispersed, and the sun once again hung high in the sky over the Antarctic. The wooden cabin was bathed in warm sunlight, and the electric heater was still glowing. [Jing Ruyi] and [Wu Fuchun] lay on the floor next to the square table, still asleep.
1:18:4|1:18:17|[Jing Ruyi] carefully laid a blanket on the ground and covered both of them with it. At this moment, the chill on [Wu Fuchun]'s body had faded away, returning his skin to its normal color. He opened his eyes in confusion and stared blankly for a moment.
1:18:17|1:18:29|After confirming that he was still alive, [Wu Fuchun] took a deep breath and stared blankly at the ceiling. In these few short seconds, he had already replayed everything that had happened in his mind.
1:18:29|1:18:39|Without moving his body, he quietly turned his head to look at the girl lying naked next to him, still sound asleep. [Wu Fuchun] abandoned his usual arrogant demeanor.
1:18:39|1:18:52|Indulgently gazing at the sleeping face of [Jing Ruyi], he couldn't help but smile slightly, then nervously swallowed his saliva, inching his head closer to [Jing Ruyi], but just as [Wu Fuchun] was about to kiss [Jing Ruyi].
1:18:52|1:19:4|Suddenly smelling an unknown odor, Wu Fuchun rushed up to the ski suit next to the electric heater. He hugged the ski suit into his arms and saw a large hole burned on the shoulder.
1:19:4|1:19:15|Through this big hole, he saw the awakened [Jing Ruyi]. [Wu Fuchun] looked at the hole that had already started to fly away with a heartache, responding to [Jing Ruyi] with an puzzled look, after [Jing Ruyi] turned her head away as if avoiding suspicion.
1:19:15|1:19:33|He understood the look in [Jing Ruyi]'s eyes just now, quickly covering his lower body with clothes. The two looked at each other in silence. With his ski suit torn, [Wu Fuchun] could only wrap himself in a thick blanket. On that day, he kept digging in the snow with a shovel. Gradually, a black sole of a shoe emerged. [Wu Fuchun] stopped moving.
1:19:38|1:19:44|[Wu Fuchun] carefully used both hands to cover Natasha's feet with snow again.
1:19:44|1:19:53|And Natasha's boots were taken off by [Wu Fuchun] and put on his own feet, a pair of inconspicuous non-slip boots that were crucial for their survival.
1:19:55|1:20:14|The sudden knock on the door startled [Wu Fuchun], who immediately stood up in alarm and rushed to the door, leaving his lunchbox behind. [Jing Ruyi] also stood up anxiously. As [Wu Fuchun] opened the wooden door, he was instantly chilled to the bone. He carefully scanned the surroundings but found nothing.
1:20:14|1:20:18|[Jing Ruyi] looked worriedly at the door, leaning against the table.
1:20:18|1:20:30|While [Wu Fuchun] stood at the door looking around for a long time, he didn't see a single soul. He was wearing a sweater that couldn't withstand the cold wind at the door, and after a moment, he slowly closed the door.
1:20:31|1:20:38|[Jing Ruyi] anxiously shifted her gaze from the doorway to the window.
1:20:42|1:20:54|Ruyi furrowed her brows and suddenly remembered the shoes of the little deer.
1:20:56|1:21:6|The two of them stared at the door without blinking, but when the wooden door was blown open, they were so scared that they lost their wits. [Wu Fuchun] jumped onto the table and curled up into a ball.
1:21:6|1:21:18|Ruyi pulled [Wu Fuchun] and buried her head tightly in his arms. [Wu Fuchun] then picked up the lunchbox beside him and held it above his head, bravely staring at the door without blinking. At this moment, their nerves were stretched like bowstrings.
1:21:18|1:21:29|At any moment it could break, a gray figure can be seen through the frame, passing through the entrance, walking towards the room, a chubby little penguin appears in front of the two.
1:21:29|1:21:50|[Wu Fuchun] and Ruyi burst into laughter when they see the little penguin, who shows no fear at all. As the humans wobble towards the center and look around, the penguin walks around the room. [Wu Fuchun] quickly jumps off the table, picks up the clothes on the table, and carefully approaches the penguin, who is curiously observing.
1:22:5|1:22:12|Wu Fuchun looked at the chubby penguin in front of him unwillingly, then glanced at Jing Ruyi.
1:22:12|1:22:29|Dejectedly throwing the clothes on the ground, sitting at the end of the bed in a huff, the silly penguin curiously looked at the clothes in front of it, stretched its neck and stuck its head in. [Wu Fuchun] looked eagerly at the little penguin covered with clothes, unable to help but blink his eyes.
1:22:34|1:22:41|The little penguin hit a pillar and fell down in a mess, [Wu Fuchun] looked at the penguin helplessly.
1:22:51|1:23:2|[Wu Fuchun] frowned and looked disapprovingly at Ruyi, then shifted his gaze to the penguin. The little penguin stood obediently in front of [Wu Fuchun], who looked back at Ruyi with a face full of coquettish and pleading expressions.
1:23:26|1:23:33|[Wu Fuchun] tried to reach out and touch the chubby one, but got pecked instead. However, it hopped over to [Jing Ruyi] and let her pat its head.
1:23:36|1:24:0|[Wu Fuchun] looked at the chattering bird and person with a smile on his face. Time waits for no one. [Wu Fuchun] once again set out to find the Antarctic research station. [Jing Ruyi]'s leg had improved after a long period of rest. In his spare time, [Wu Fuchun] even made a simple crutch for him to use. The chubby penguin successfully joined the family and mischievously wandered around while [Wu Fuchun] cooked.
1:24:0|1:24:12|Pecking at his legs, a game that the two of them often play with great joy. Every time they are at home together, they will find a direction and redefine it. [Wu Fuchun] will also offer some constructive suggestions based on experience.
1:24:12|1:24:24|[Wu Fuchun] still slept on the upper bunk, and every time [Jing Ruyi] woke up, the look in his eyes towards the upper bunk was no longer cold and indifferent, but filled with tenderness. He reached out his hand and quietly touched the fingertips of [Wu Fuchun] hanging down.
1:24:24|1:24:35|Time flies, [Jing Ruyi] can finally stand steady with a cane. With the help of [Wu Fuchun], [Jing Ruyi] took a few steps with the cane, and 48 days passed in the blink of an eye.
1:24:35|1:24:44|[Wu Fuchun] stood on the mountaintop, looking out. He brought a sled and had [Jing Ruyi] sit on it, pushing her quickly up the slope towards the peak.
1:24:59|1:25:7|Xiao Pang still likes to peck [Wu Fuchun]'s butt while he is cooking, during this time the two are not fixated on finding the research station.
