0:0:44|0:0:47|[Qi Jia] boarded a bus with a vacant look in her eyes.
1:2:8|1:2:18|In another shopping mall, the female CEO in an exquisite houndstooth suit walked towards the mall entrance. [Yuan Xiaoou] happened to park her car at the door, and she quickly got out of the car to open the passenger door for General Manager Li.
1:2:23|1:2:30|[Yuan Xiaoou] reached out to protect President Li's head, and after President Li elegantly sat down, she ran back to the driver's seat in an extraordinary manner.
1:2:30|1:2:35|Mr. Li put on his sunglasses, fastened his seatbelt, and [Yuan Xiaoou] started the car and drove away.
1:2:35|1:2:38|Inside the mall, Qi Jia and Lin Shuer hurriedly chased after.
1:2:49|1:2:51|[Qi Jia] furrowed her brows, looking somewhat uneasy.
1:2:51|1:2:53|In a high-end restaurant.
1:2:54|1:2:55|[Yuan Xiaoou] took the waiter's tray.
1:4:29|1:4:32|[Qi Jia] blinked and put down the fork.
1:4:36|1:4:38|Lin Shuer glanced at [Qi Jia].
1:4:42|1:4:45|[Yuan Xiaoou] had a distracted look in her eyes, with yogurt smeared on her lips.
1:4:45|1:4:48|Lin Shuer let out a soft sigh.
1:4:48|1:4:57|[Yuan Xiaoou] touched the Eiffel Tower-shaped diamond ring in her hand, silently putting it back into her pocket.
1:4:57|1:5:6|In the Gulf Park, [Yuan Xiaoou] is pushing [Qi Jia] to run.
1:5:6|1:5:7|The two of them ran into the campus.
1:5:13|1:5:18|Qi Jia's gaze was firmly locked on the ancient tree by the roadside.
1:5:18|1:5:30|[Qi Jia] gazed at the ancient tree, under which was the place where he and Liu Chong had their first kiss.
1:5:30|1:5:35|Yuan Xiaoou's gaze starts to dodge.
1:5:35|1:5:37|[Yuan Xiaoou] pulled [Qi Jia] towards the tree.
1:6:5|1:6:12|[Yuan Xiaoou] slowly approached [Qi Jia], her hands resting on the tree trunk, gently and tenderly kissing [Qi Jia]'s lips.
1:6:13|1:6:20|[Qi Jia] suddenly opened her eyes, her eyeballs frantically rolling around, while the branches gently swayed in the warm breeze.
1:6:20|1:6:27|Before long, [Qi Jia] closed her eyes, and her tense body gradually relaxed, immersing herself in this long moment.
1:6:27|1:6:34|The students sketching nearby stood quietly in front of their easels, watching the lovers under the tree as their affectionate gazes intertwined.
1:6:34|1:6:37|[Qi Jia] blinked, turned her face to the side, and ended the kiss.
1:6:38|1:6:45|He looked up at [Yuan Xiaoou], pushed aside her arm reaching out to him, and walked away from the ancient tree alone.
1:6:45|1:6:48|[Yuan Xiaoou] regained consciousness and quickly caught up.
1:6:48|1:6:54|The sunlight filtered through the canopy, casting shimmering rays that seemed like a barely visible diamond hanging from the tree.
1:6:56|1:7:12|[Qi Jia] walked briskly with hands in pockets under the continuous canopy of trees, with [Yuan Xiaoou] silently following closely behind. The lush tree crowns above connected, blocking the sky completely, while the light danced through the gaps between the branches as they walked.
1:7:12|1:7:33|[Qi Jia] and [Yuan Xiaoou] briskly walk across the campus, with lush greenery on the small hill. [Qi Jia] puts her hands in her pockets, occasionally looking back to make sure [Yuan Xiaoou] is following. [Yuan Xiaoou] foolishly imitates her by putting her hands in her pockets and looking back. The two walk to the bridge by the river, [Qi Jia] casually stretches her arms, and [Yuan Xiaoou] behind her follows suit.
1:7:33|1:7:48|The two figures disappeared on the other side of the bridge, as the tranquil lake was suddenly hit by a heavy rain. The fine raindrops created ripples on the entire lake, and mist quickly enveloped the area under the bridge. The rain became even more intense after a muffled thunder.
1:7:48|1:8:0|The students sketching by the river were caught off guard and drenched, they quickly grabbed their palette, picked up their drawing boards and easels, and fled the exposed embankment. Meanwhile, [Qi Jia] and [Yuan Xiaoou] strode forward along the riverbank.
1:8:5|1:8:14|[Qi Jia] crossed the street without looking back, while [Yuan Xiaoou] followed her, half-raising her coat.
1:8:14|1:8:16|Lin Shuer saw them in the car.
1:8:22|1:8:27|[Qi Jia] saw Lin Shuer looking out of the car window and immediately ran to the side of the car.
1:8:27|1:8:32|[Yuan Xiaoou] stood still for a moment, then grabbed the clothes and chased after him. They both got into the back seat of the car.
1:8:38|1:8:42|The two glanced at each other, then looked away, creating an awkward atmosphere.
1:8:42|1:8:46|Lin Shuer immediately sensed that something was wrong and turned to examine the expressions of the two.
1:8:56|1:8:58|No one answered the phone in the car.
1:9:10|1:9:21|Lin Shuer opened the umbrella and pushed open the car door. Outside, there was thunder and lightning, heavy rain pouring down. The water flooded up to his ankles. He stretched out his long legs, placed them in front of the car, and kicked it hard.
1:9:24|1:9:28|Seemingly not satisfied, [Qi Jia] kicked again before continuing to move forward.
1:9:28|1:9:33|In the car, [Yuan Xiaoou] turned to look at [Qi Jia], who quickly averted her gaze.
1:9:33|1:9:35|He took the lead in breaking the deadlock and instructed [Qi Jia].
1:9:41|1:9:42|[Qi Jia] nodded.
1:9:44|1:9:46|He thought for a moment and continued.
1:9:53|1:9:54|The atmosphere froze once again.
1:9:54|1:9:57|[Yuan Xiaoou] swallowed and [Qi Jia] spoke.
1:9:59|1:10:3|[Yuan Xiaoou] widened her eyes and took a deep breath.
1:10:9|1:10:13|[Yuan Xiaoou] smiled foolishly, and a smile also appeared on [Qi Jia]'s face.
1:10:14|1:10:20|[Qi Jia] looked at [Yuan Xiaoou] firmly, and [Yuan Xiaoou]'s smile spread across her face.
1:10:20|1:10:23|Rainwater seeped into the car, soaking the feet of the two without them realizing.
1:10:33|1:10:35|Lin Shuer stood in the water and made a phone call.
1:10:47|1:10:50|The rain was beating down on the car roof, [Qi Jia] was feeling a bit anxious.
1:10:50|1:10:53|[Yuan Xiaoou] tried to open the car door, only to find it locked, which made her feel uneasy.
1:11:7|1:11:9|The water level outside the car has risen to the window.
1:11:37|1:11:41|Qi Jia's [Ex-Boyfriend] lay on the roof of the car and drifted to Lin Shuer's front.
1:11:41|1:11:43|In the car, [Qi Jia] is leaning against the water.
1:12:9|1:12:16|Lin Shuer and [Ex-Boyfriend] continued to argue over the phone, and [Yuan Xiaoou] couldn't reach his mobile phone no matter what.
1:12:16|1:12:18|[Yuan Xiaoou] had to leave a message for him.
1:12:55|1:12:59|[Qi Jia] waved her hands aimlessly in the air, with her legs curled up to her chest.
1:13:1|1:13:4|[Qi Jia] pushed [Yuan Xiaoou] away with her hand.
1:13:12|1:13:21|[Qi Jia] kept staring straight ahead, not getting a response for a while. He then turned his head to look at [Yuan Xiaoou], who was sitting in the water without moving.
1:13:25|1:13:30|[Qi Jia] realized what [Yuan Xiaoou] was doing, rushed over and pried open her mouth, but [Yuan Xiaoou] kept her mouth tightly shut.
1:13:38|1:13:41|[Yuan Xiaoou] finally couldn't hold it in and gasped for air.
1:13:45|1:13:50|[Qi Jia] leaned back against the car window, sitting upright against the door, and the two looked at each other.
1:13:50|1:13:52|[Yuan Xiaoou] wiped her face and leaned in towards [Qi Jia].
1:13:54|1:14:0|He cradled [Qi Jia]'s face, resting his forehead against hers, and weakly uttered the words that had been weighing on his heart.
1:14:4|1:14:8|The cold and lack of oxygen made [Yuan Xiaoou] shiver all over.
1:14:10|1:14:16|[Qi Jia] couldn't help but smile and opened her arms to hug [Yuan Xiaoou] proactively, and [Yuan Xiaoou] immediately embraced her gently.
1:14:22|1:14:27|Lin Shuer belatedly realized that her car was missing, so she hung up the phone and opened a messaging app.
1:14:33|1:14:37|Ling Shuer turned around abruptly and walked towards the car with difficulty.
1:14:37|1:14:42|At this moment, [Qi Jia] and [Yuan Xiaoou] in the car are embracing each other tightly with their necks intertwined.
1:14:42|1:14:49|Several firefighters and [Ling Shuer] rushed towards the car, [Ling Shuer] threw away the umbrella and jumped to the window.
1:14:49|1:14:53|The firefighter comforted them loudly, and [Qi Jia] and [Yuan Xiaoou] were finally rescued.
1:14:54|1:15:5|At midnight, the rain has stopped, and the water from the alley flows down from above. [Qi Jia] and [Yuan Xiaoou] walk side by side up the steps of the alley, heading towards their homes.
1:15:5|1:15:11|The street lamp illuminated the faces of the two, with [Yuan Xiaoou] looking down but unable to hide the smile at the corner of her mouth.
1:15:11|1:15:16|[Qi Jia] wrapped herself in [Yuan Xiaoou]'s coat, hugging her arms tightly, looking magical yet somewhat numb.
1:15:16|1:15:20|Soon, the two of them arrived at the residential building.
1:15:20|1:15:22|[Yuan Xiaoou] called out softly to [Qi Jia] as she watched her back.
1:15:25|1:15:27|[Qi Jia], [Qi Jia] turned around.
1:15:35|1:15:40|[Qi Jia] listened, lowered her head to think for a moment, then raised it to answer.
1:15:44|1:15:49|[Yuan Xiaoou] stood still, gazing at [Qi Jia] for a long time, with many feelings of reluctance in her eyes.
1:15:49|1:15:54|[Qi Jia] saw that he didn't speak, so she reached out and opened the small iron gate of the residential building, and walked in with a stride.
1:15:55|1:16:2|[Yuan Xiaoou] stood alone at the door for a while, then walked into the building decisively, closing the iron gate behind her.
1:16:2|1:16:8|In the narrow alley deep inside, foam boxes are placed to catch the rainwater, and the lane returns to silence.
1:16:8|1:16:14|The next day, with the gentle breeze fluttering the curtains, [Qi Jia] naturally woke up in the city's white noise.
1:16:14|1:16:18|She sat up, feeling an indescribable change in her body.
1:16:19|1:16:24|[Qi Jia] was momentarily stunned, let out a soft sigh, and her eyes cleverly darted around.
1:16:24|1:16:28|He looked down at his abdomen and immediately shouted.
1:16:28|1:16:33|He didn't get a response.
1:16:33|1:16:39|[Qi Jia] shouted as she got up to check, rushing to the door of [Yuan Xiaoou]'s bedroom, only to find a letter lying on the floor in front of the door.
1:16:41|1:16:46|[Qi Jia] squatted down, picked up the letter, and found a blank space on the envelope.
1:16:46|1:16:50|[Qi Jia] stood up straight and opened the letter, unfolding the paper along the creases.
1:16:50|1:16:55|At the same time, the phone placed on the bedside table by [Qi Jia] happened to ring.
1:16:55|1:17:2|The screen displays a voice call invitation from [Yuan Xiaoou].
1:17:2|1:17:8|[Qi Jia] cautiously pressed the answer button, and [Yuan Xiaoou]'s voice came through.
1:17:58|1:18:4|[Qi Jia] pulled open the kitchen drawer, and all the knives were wrapped in floral-patterned paper by [Yuan Xiaoou].
1:18:32|1:18:38|[Yuan Xiaoou] placed the cactus on the windowsill before leaving, sighing with loneliness.
1:18:38|1:18:47|Currently, [Qi Jia] came to the window, where a cactus bloomed delicate flowers. As she reached out to touch it, her finger was pricked by a thorn.
1:18:47|1:18:53|She looked at the blood beads seeping from her fingertips, smiling and speaking as if it represented her body's rebirth.
1:18:54|1:19:6|In the neighborhood, [Qi Jia] crossed the road diagonally, unaware of a large truck honking not far away, which came to a steady stop behind him.
1:19:6|1:19:12|[Qi Jia] stood still in shock, then moved to the side of the road to let the car pass, as a large truck rushed by.
1:19:13|1:19:18|Qi Jia noticed a huge poster of an art exhibition on Lu Dun's face.
1:19:18|1:19:23|He walked up to take a closer look, the main body of the poster was an oil painting of an ancient tree.
1:19:23|1:19:30|Below it reads, facing the sea, spring blossoms, the 10th Xiamen City Primary and Secondary School Students' Sketch Exhibition.
1:19:30|1:19:35|Qi Jia walks in the exhibition hall, carefully looking at the paintings displayed on the wall.
1:19:35|1:19:39|Suddenly, his eyes became puzzled as he leaned in closely to a painting.
1:19:41|1:19:58|The painting depicts a couple kissing under a huge ancient tree. He looks surprised and walks on to see the next piece of work. Every painting that follows shows a short-haired girl and a boy kissing under a tree. The entire corridor is filled with this scene.
1:19:59|1:20:4|[Qi Jia] looked at these paintings, tears welled up in her eyes without her realizing it.
1:20:4|1:20:9|She stood quietly in the corner, tears streaming down her face.
1:20:9|1:20:16|In front of the painting, the girl closed her eyes, knowing that the person in the painting was herself and [Yuan Xiaoou].
1:20:16|1:20:22|[Qi Jia] can no longer suppress the sadness, as if awakened, she looks at the painting in front of her.
1:20:22|1:20:25|She lowered her head, memories flooding in, all of them about [Yuan Xiaoou].
1:21:6|1:21:11|Qi Jia walked towards the exit of the exhibition hall, leaving behind the replica of Yuan Xiaoou and her memories.
1:21:32|1:21:37|[Yuan Xiaoou] escorts the foreign client into the elevator, her expression immediately relaxing.
1:21:37|1:21:43|She walked into the company with her hand on her forehead, and as the members saw her coming in, they all stood up and looked at her eagerly.
1:21:43|1:21:47|Colleagues from all directions surrounded her, scratching her head and standing still.
1:21:59|1:22:3|The crowd cheered and rejoiced, gathering in groups of three or five to celebrate.
1:22:3|1:22:6|[Yuan Xiaoou] turned around and answered a phone call.
1:23:1|1:23:6|The irritable [Yuan Xiaoou] scared all her colleagues around her so much that they dared not move.
1:23:6|1:23:12|A luxurious SUV screeched to a halt at the entrance of the hospital, and [Yuan Xiaoou] got out of the car and rushed into the hospital lobby.
1:23:12|1:23:19|She hurried to the dressing table to ask, but her attention was drawn to a slim short-haired girl not far away.
1:23:19|1:23:23|The girl with short hair stood in the sparse crowd, looking at something, then lowered her head and walked away.
1:23:24|1:23:32|The glass curtain wall in the lobby reflects the empty scene of the hospital, as well as the figure of the girl with short hair.
1:23:32|1:23:40|The short-haired woman took the elevator to the second floor, and [Yuan Xiaoou] immediately followed. She ran into the elevator, taking three steps at a time to reach the second floor.
1:23:40|1:23:48|Wearing a hospital gown, the short-haired woman touched her neck and walked to the front desk of the inpatient department. [Yuan Xiaoou] was about to catch up with her, but stopped in her tracks.
1:23:49|1:23:55|The hospital lobby was bustling with people, most of whom were patients wearing the same hospital gowns as the short-haired woman.
1:23:55|1:24:2|[Yuan Xiaoou] looked at the figure in front that resembled the short-haired woman, following her from a distance.
1:24:2|1:24:8|The woman with short hair turned slightly and then turned right into a small garden, followed by [Yuan Xiaoou].
1:24:8|1:24:13|Her gaze followed [Yuan Xiaoou] as the short-haired woman sat down, while she herself walked towards her step by step.
1:24:13|1:24:18|[Yuan Xiaoou] squatted down in front of her with a look of tenderness in her eyes.
1:24:18|1:24:37|Qi Jia, the short-haired woman, stopped her hand from lighting a lighter. She was holding a cigarette, but it was taken away by [Yuan Xiaoou].
1:24:37|1:24:40|[Yuan Xiaoou] flicked her ears with both hands and spoke in Korean.
1:24:42|1:24:46|The short-haired woman still looked at him askance, shaking her head slightly.
1:24:46|1:24:48|[Yuan Xiaoou] said dejectedly.
1:24:51|1:24:56|She gazed into the eyes of the short-haired woman, then bowed her head in repentance.
1:25:16|1:25:22|Qi Jia's voice suddenly rang out.
1:25:22|1:25:25|[Yuan Xiaoou] turned her head, and Qi Jia was right behind her.
1:25:27|1:25:29|Qi Jia stifled a laugh, watching Yuan Xiaoou.
1:25:29|1:25:32|[Yuan Xiaoou] looked at Qi Jia in front of her, unable to say a word for a moment.
1:25:47|1:26:3|Qi Jia had barely finished speaking when [Yuan Xiaoou] pulled her in, fiercely pressing her lips against hers. Qi Jia wrapped her arms tightly around [Yuan Xiaoou]'s waist, closing her eyes and getting lost in this delicate moment.
1:26:4|1:26:11|[Yuan Xiaoou] wrapped one arm around Qi Jia's waist, while the other hand supported the back of her head, kissing her deeply.
1:26:11|1:26:17|The two were lost in a kiss, with [Yuan Xiaoou] pressing her forehead against [Qi Jia]'s, then pursing her lips and standing up straight.
1:26:18|1:26:23|[Yuan Xiaoou] carried a hint of tears with difficulty, while [Qi Jia] was also teary-eyed.
1:26:23|1:26:30|[Yuan Xiaoou] rummaged through his pockets, then dug into the vest pocket, and pulled out the diamond ring he had bought a year ago.
1:26:39|1:26:47|[Qi Jia] looked at the ring in front of her, apologizing half-heartedly.
1:26:47|1:26:51|[Yuan Xiaoou] knelt down and took [Qi Jia]'s hand.
1:26:51|1:27:1|[Qi Jia] looked at [Yuan Xiaoou] nervously and moved, her eyes filled with tenderness, she choked out.
1:27:4|1:27:11|[Yuan Xiaoou] devoutly places the ring on the ring finger of [Qi Jia]'s left hand, and the miniature Eiffel Tower on the ring shines brightly.
1:27:11|1:27:22|[Qi Jia] burst into tears instantly, covering her mouth to stifle a sob, and was then tightly embraced by [Yuan Xiaoou]. With their eyes closed, the two held each other tightly, unable to help but chuckle sweetly.
1:27:22|1:27:29|[Yuan Xiaoou] spins around in place with [Qi Jia], the two of them seeking fame for their good deeds, laughing happily and brightly.
1:27:29|1:27:31|The screen fades to black, directed by Guo Zairong.
1:27:53|1:28:0|On the day of graduation, [Yuan Xiaoou] sat among the graduates in the audience and witnessed the entire proposal process of [Qi Jia].
1:28:0|1:28:6|Ling Shuer supported [Qi Jia] out of the auditorium, like her classmates around her, watching [Qi Jia] leave.
1:28:6|1:28:7|She bit her index finger, feeling deeply hurt.
1:28:33|1:28:39|A group of boys asked the auntie in the girls' dormitory to let them in, but they were all ruthlessly stopped by the auntie at the stairs.
1:28:39|1:28:45|Yuan Xiaoou, who was drunk, crawled into the main room and made her way to Qi Jia's dormitory door.
1:28:45|1:28:54|She was about to knock on the door, but the door wasn't closed, causing her to fall to the ground.
1:29:3|1:29:19|[Yuan Xiaoou] pushed herself up from the ground, while Lao Bai quietly climbed onto Qi Jia's bed and reached out a hand to pull [Yuan Xiaoou] onto the bed.
