0:2:22|0:2:25|This is a rural area in North China.
1:19:36|1:19:37|Eating them will keep us alive and enable us to seek revenge.
1:20:2|1:20:11|Disheveled [Xi'er] struggled to push aside the snow at the entrance of the cave, walking through the snow with difficulty.
1:20:11|1:20:15|Finally, at night, [Xi'er] arrived in front of her grandmother.
1:20:32|1:20:40|There are two incense burners lying on the ground, covered with thick snow, looking like they haven't been used for a long time.
1:20:45|1:20:50|Smoke was rising in the innermost room.
1:20:50|1:20:54|Xi'er walks over.
1:20:54|1:21:2|The room was very dilapidated, with the paper on the doors and windows almost falling off, covered in layers of cobwebs.
1:21:26|1:21:34|Fortunately, there were still some offerings on the table, and the incense in the censer had not been extinguished.
1:21:54|1:22:13|[Xi'er] carefully picked up the incense stick, protecting the flame all the way, and brought the fire back to the cold cave.
1:22:13|1:22:16|With the fire, [Xi'er] can finally keep warm.
1:22:24|1:22:36|The raging fire illuminated Xi'er's emaciated face.
1:22:36|1:22:41|He swung his homemade axe, chopping firewood and making the fire burn brightly.
1:22:57|1:23:12|In spring, the snow melts, the snow water gathers into streams, rivers, and eventually becomes a rushing river. The weather is clear, and the flowers are blooming beautifully.
1:23:17|1:23:41|People saw that the offerings placed in the Grandma Temple were missing, thinking that it was the work of the gods. Therefore, they came to the temple one after another, offering incense and paper money in the outer hall, filling the inner hall's altar with offerings, lighting a few sticks of incense in the censer, and then respectfully bowing down on the ground, praying for the blessings of the gods.
1:23:56|1:24:0|A group of people surrounded an old man holding a cigarette gun, asking curiously.
1:26:13|1:26:15|Upon saying this, [Xi'er], [Auntie Wang], [Huang Shiren], [Da Chun], and [Mu Renzhi] were all stunned.
1:26:38|1:26:45|The people around listening to the story felt both curious and scared, not knowing what was going on.
1:26:45|1:26:54|From then on, the incense in the temple became more and more prosperous, and those who visited the White-Haired Immortal to seek blessings could kneel from the main hall to the front door.
1:27:2|1:27:9|We see [Xi'er] climbing a steep cliff, searching for something to eat.
1:27:9|1:27:12|At this point, her hair had turned completely white.
1:27:14|1:27:37|[Xi'er] had nothing to eat, so he had to search bird nests, catch animals, gather wild fruits, and sometimes go to his grandmother's temple to get offerings in order to sustain his life.
1:27:37|1:27:53|In the cave, there is a fire pit, with [Xi'er] sitting beside it, his face as pale as his long white hair.
1:27:53|1:27:59|The sky was covered with dark clouds, while Japan invaded on the ground.
1:27:59|1:28:9|The Marco Polo Bridge Incident broke out in Japan, and shells landed in the valley, causing people working there to flee in panic.
1:28:17|1:28:28|Thanks to the Eighth Route Army, they bravely repelled the invaders and achieved victory.
1:28:28|1:28:39|Da Chun fought in the Eighth Route Army.
1:28:39|1:28:42|He fought bravely and fearlessly, even when injured, at the forefront.
1:28:50|1:29:16|On a rainy night, Xi'er and Huang Shiren ran to the gate of Grandma's Temple, their umbrellas blown away by the strong wind.
1:29:16|1:29:19|Huang Shiren and Mu Renzhi ran into the inner hall to take shelter from the rain.
1:29:26|1:29:43|Outside the temple, the wind and rain are raging, while inside, it is dark and eerie, looking very terrifying.
1:29:43|1:29:53|Suddenly, there was a loud thunder outside, with flashes of lightning. Two people knelt on the ground in fear, and [Xi'er], with white hair, burst in from outside.
1:30:18|1:30:23|[Huang Shiren] was scared out of his wits, running ahead.
1:30:23|1:30:27|In order not to be caught up by [Xi'er], he rolled down the hill.
1:30:27|1:30:29|[Xi'er] looked down the mountain, speaking bitterly.
1:30:48|1:30:57|In the pond is the Palace Street of Xi'er, the wild valley on the mountain.
1:31:27|1:31:33|In the pouring rain, [Xi'er] with white hair all over her head, ran back to the cave.
1:31:37|1:31:45|On the river bank across, there is a person riding a white horse, while on this side of the river, a farmer is cutting grass.
1:31:45|1:31:50|He saw the army in the distance, dropped the grass, and ran away in fear.
1:31:50|1:31:59|The person from the opposite bank rode a white horse and chased over.
1:32:4|1:32:12|The person riding the horse turned out to be soldier [Da Chun], who saw the old man herding sheep in the distance muttering to himself.
1:33:9|1:33:16|Auntie Wang looks at her son in military uniform.
1:33:48|1:33:54|Auntie Wang started crying while holding her son.
1:34:7|1:34:11|Auntie Wang gently placed her hand on her son's face.
1:34:21|1:34:24|Uncle Zhao stepped forward and said.
1:34:46|1:35:0|The villagers warmly welcome the Eighth Route Army, offering them water and continuously stuffing dry rations into their pockets.
1:35:3|1:35:6|In Huang Shiren's home, Mu Renzhi suddenly rushes into the room.
1:35:26|1:35:29|[Huang Shiren] and Mu Renzhi secretly hid to watch.
1:36:4|1:36:6|Auntie Wang walked into the room at this moment.
1:36:15|1:36:28|Auntie Wang opened the bundle in her arms and took out a pair of shoes made by Xi'er, placing them in Auntie Wang's hands.
1:36:43|1:36:46|For a moment, everyone fell into silence.
1:37:10|1:37:11|Mu Renzhi eavesdrops outside the house.
1:37:36|1:37:42|[Huang Shiren] nodded, took out a handkerchief from his sleeve, and wiped the cold sweat from his forehead and face.
1:37:45|1:37:53|[Huang Shiren] stood up from the stool, hands tucked into his sleeves, looking timid and shy as he greeted softly.
1:38:3|1:38:10|While everyone was busy putting out the fire, [Mu Renzhi] secretly posted a talisman on the tree.
1:38:10|1:38:28|The house was burned down, and [Da Chun] sat angrily on the ground.
1:38:28|1:38:30|Everyone saw that talisman.
1:38:58|1:39:19|In the middle of the night, [Da Chun] and [Da Suo] hid in a corner of the Grandma Temple, waiting for the appearance of the White-Haired Fairy.
1:39:19|1:39:23|Da Chun couldn't bear it and wanted to go out to take a look, but Xi'er held her back.
1:39:26|1:39:38|Soon, a tall figure appeared at the door, it was the white-haired [Xi'er].
1:39:38|1:39:46|As usual, she rushed to the altar when she made sure no one was watching.
1:39:46|1:39:50|She stood on the offering table to take the offerings.
1:39:50|1:39:55|[Da Chun] jumped out and swung his knife, causing [Xi'er] to flee in panic from Grandma's Temple.
1:40:0|1:40:10|[Da Suo] and [Da Chun] are holding torches and long knives, chasing after.
1:40:10|1:40:18|Da Chun fired a few shots from a distance.
1:40:18|1:40:20|[Xi'er] was startled and ran even faster.
1:40:27|1:40:32|Da Chun and Da Suo ran to the foot of the cliff, looked up, and saw Xi'er had already climbed to the edge of the cave on the mountaintop.
1:40:55|1:41:19|[Da Chun] and Dasuo followed [Xi'er] to the entrance of the cave, holding torches as they walked in.
1:41:19|1:41:24|Inside the cave, it was dark and cold, with [Xi'er] curled up in a pile of leaves.
1:41:43|1:41:51|To avoid being searched by Da Chun and Dasuo, Xi'er hid in a dark corner above a cave.
1:42:4|1:42:18|Da Chun and Da Suo walked to the place where Xi'er had just avoided, and found an unburned fire pit on the ground.
1:42:27|1:42:30|Upon hearing the sound, [Da Chun] and Auntie Wang both looked up to search.
1:42:37|1:42:43|[Xi'er] peeked out from the corner with tears in her eyes.
1:42:43|1:42:50|[Da Chun] took the torch and walked towards the direction of the sound.
1:42:50|1:42:58|The firelight illuminated the face of [Xi'er], the once youthful and beautiful face now looking incredibly weathered.
1:43:3|1:43:16|[Da Chun] approached with a torch in hand, and saw the person he had been longing for day and night. [Xi'er] cried out in tears.
1:43:19|1:43:22|[Xi'er] fainted because she was too excited.
1:43:22|1:43:26|[Da Chun] hurriedly held him in his arms, calling his name repeatedly.
1:43:33|1:43:39|[Xi'er] woke up, weakly looking at [Da Chun] with tears in his eyes.
1:45:22|1:45:34|In front of the people, the two troublemakers who acted against the concubines, [Mu Renzhi] from the royal family, were taken away for execution. The royal merit monument and various plaques hanging were all knocked down.
1:45:38|1:45:46|People lit a big fire, burning the rented items and signs to ashes, everyone clapped and cheered.
1:45:55|1:46:4|It's another sunny day. Passing through the trees with blossoming flowers, we can see Da Chun and Xi'er tying up straw.
1:46:4|1:46:10|Auntie Wang watched the loving couple and couldn't stop smiling.
1:46:10|1:46:15|[Xi'er] took off the scarf on her head, revealing her shiny black hair.
1:46:15|1:46:19|She handed the handkerchief to [Da Chun] and watched the villagers working hard in the distance.
1:46:26|1:46:34|[Da Chun] carried two bundles of straw in front, with [Xi'er] holding a bunch of straw following behind.
1:46:34|1:46:41|He laughed happily, his eyes filled with hope and anticipation for a better life in the future.
