0:0:57|0:1:2|Although it is already spring, the trees are still bare, without a single leaf.
0:58:25|0:58:34|[Zhang Zhichen] was a bit nervous, reaching out to stop [Zhou Yuwen] from leaving, but [Zhou Yuwen] ignored his actions.
0:58:34|0:58:39|[Zhou Yuwen] opened the door and prepared to leave, but then leaned against half of the door frame and peeked into the room.
0:58:45|0:58:48|[Zhou Yuwen] jokingly left these words before leaving.
0:58:48|0:58:53|[Zhang Zhichen] leaned weakly against the table after he left, lost in thought for a long time.
0:58:53|0:58:57|[Dai Liyan] leaned against the couch in the room, waiting for [Zhou Yuwen] to bring the medicine.
0:59:3|0:59:6|[Zhou Yuwen] walked into the room carrying a tray of medicine.
0:59:6|0:59:9|[Dai Liyan] was slightly distracted when he heard his rejection.
0:59:15|0:59:18|[Zhou Yuwen] sat down slowly next to the agent.
0:59:28|0:59:32|Zhou Yuwen didn't answer half of the questions that were not asked.
0:59:32|0:59:36|He placed the cup in his hand on the small table.
0:59:39|0:59:43|[Zhou Yuwen] looked at Dai Liyan in confusion.
0:59:47|0:59:50|Dai Liyan changed his posture and closed the distance with [Zhou Yuwen].
0:59:53|0:59:58|[Zhou Yuwen] looked at the agent Yan beside her.
1:0:48|1:0:50|After Dai Liyan finished speaking, he looked at [Zhou Yuwen].
1:0:50|1:0:53|[Zhou Yuwen] nervously clasped her hands together.
1:0:55|1:0:59|Dai Liyan looked at Zhou Yuwen with some confusion.
1:1:7|1:1:11|[Zhou Yuwen] placed her hand on Dai Liyan's hand.
1:1:11|1:1:16|Dai Liyan nodded as he saw him persisting.
1:1:16|1:1:22|[Zhou Yuwen] saw him relax his grip and then put her hand down.
1:1:22|1:1:24|[Zhou Yuwen], after receiving the answer, prepared to leave.
1:1:31|1:1:38|Please, [Dai Liyan] grabbed the arm of [Zhou Yuwen], but she ignored his request, pushed away his arm, and stood up.
1:1:39|1:1:43|[Zhou Yuwen] didn't hesitate for long and left on her own.
1:1:43|1:1:49|Dai Liyan's gaze followed Zhou Yuwen's figure until she walked out of the door and disappeared into the night.
1:1:49|1:1:53|[Dai Liyan] sighed heavily and lowered his head, lost in thought.
1:1:55|1:1:59|At the break of dawn, Zhou Yuwen arrived early at the city wall.
1:1:59|1:2:3|He was still wearing that simple cheongsam, carrying a basket of vegetables.
1:2:3|1:2:8|Having waited for a long time, [Zhang Zhichen] saw him appear and hurriedly went up to greet him.
1:2:8|1:2:14|[Zhou Yuwen] had already anticipated half of it, ignored him, and walked forward as if no one else was there.
1:2:14|1:2:17|He placed the basket on the stone bricks and glanced at [Zhang Zhichen] behind him.
1:2:30|1:2:36|The spring breeze tousled Zhou Yuwen's hair, a smile on his face as he slowly walked towards the ancient tree by the road.
1:2:36|1:2:41|After stopping, she turned her head to look at the profound Zhang Zhichen.
1:3:33|1:3:37|Li Yan, have you ever thought about how young your sister is?
1:3:39|1:3:42|Upon hearing this, [Zhang Zhichen] looked somewhat bewildered.
1:3:42|1:3:45|It took a long time before he finally spoke with a smile.
1:3:48|1:3:51|[Zhou Yuwen] looked at [Zhang Zhichen] with a touch of sadness.
1:3:53|1:4:0|[Zhang Zhichen] finished his recollection, and [Zhou Yuwen] could no longer maintain the calm makeup on her face, looking around with a hint of loneliness.
1:4:6|1:4:9|[Zhou Yuwen] slowly approached [Zhang Zhichen].
1:4:18|1:4:26|Zhang Zhichen sighed and walked weakly to the edge of the wall, leaning somewhat helplessly against the stone wall.
1:4:50|1:5:3|Zhang Zhichen's words made the atmosphere somewhat heavy, and for a while no one spoke again. It was not until later that Zhou Yuwen finally spoke.
1:5:3|1:5:24|Zhang Zhichen turned around in frustration, sighed heavily, and Zhou Yuwen glanced at him. Seeing that Zhang Zhichen was ignoring her, she silently walked over to him. Zhang Zhichen noticed her approaching, moved aside without looking at Zhou Yuwen, who didn't mind his actions and just silently lingered on the path.
1:5:38|1:5:41|At night, everyone is celebrating Little Sister's birthday.
1:8:40|1:8:42|[Zhou Yuwen] picked up the wine glass and drank it all in one gulp.
1:9:29|1:9:42|Xiao Mei took the wine glass, took a sip, looked at his wife on behalf of [Dai Liyan], and said, the two of them picked up the wine glasses and drank them all.
1:9:47|1:9:57|[Zhou Yuwen] quickly helped [Dai Liyan] calm down, then picked up the wine glass and refilled it.
1:10:0|1:10:3|[Zhou Yuwen] picked up the wine glass and walked towards Zhang Zhichen.
1:10:32|1:10:36|When Zhang Zhichen was drinking, Dai Liyan's expression was somewhat displeased.
1:10:50|1:10:53|[Zhou Yuwen] took the wine jug and poured wine for Zhang Zhichen personally.
1:10:53|1:10:56|Dai Liyan stood up and left the table.
1:11:25|1:11:30|In the flickering candlelight, [Zhou Yuwen] and [Zhang Zhichen] drank cup after cup, with [Zhang Zhichen] boldly finishing his drink in one gulp.
1:11:37|1:11:43|The two raised their glasses joyfully.
1:11:43|1:11:50|While everyone was playing dice and drinking in the room, [Zhang Zhichen], [Dai Xiu] quietly walked alone into the backyard garden.
1:11:52|1:12:1|The night was dark and heavy, like thick ink hanging in the sky, seemingly echoing the loneliness of [Dai Liyan], with only a few stars scattered sparsely.
1:12:1|1:12:7|In the moonlight, he slowly wandered on the path, his steps extremely slow, leisurely wandering in the night.
1:12:7|1:12:16|At this point, it had been night for a long time. Relying solely on the moonlight, they couldn't see the road clearly. However, Dai Liyan did not bring a lantern, and instead groped his way forward slowly.
1:12:18|1:12:26|The garden was not large, [Dai Xiu] walked along the corridor to the side of the rockery, leaning weakly against it to catch her breath.
1:12:26|1:12:28|In the moonlight, taking advantage of her lonely figure.
1:12:31|1:12:36|After a while, she slowly turned around, swaying her steps, and silently walked back the way she came.
1:12:36|1:12:45|But Li Yan's expression was somewhat absent-minded. Clearly, her condition had improved under the care of [Zhang Zhichen], but now it seemed to have worsened.
1:12:45|1:12:50|The hunched body and slow pace of Zhou Yuwen made her look like a dying old person.
1:12:52|1:13:4|He quietly walked along the small path to the corner of the garden where the old tree stood, running his fingers gently over the patterns on the trunk. With a somewhat melancholic look, he gazed at the front yard, his eyes filled with sorrow and pain.
1:13:4|1:13:12|He raised his hand to hold the treetop, tightly embracing the branches in front of him as if they could give him warmth.
1:13:12|1:13:16|He tightly embraced the old tree, finally unable to help but sob helplessly.
1:14:5|1:14:10|[Dai Liyan] vented his helplessness and hardship alone like a child.
1:14:10|1:14:15|He sobbed softly, the usual facade of magnanimity and calm finally crumbling at this moment.
1:14:15|1:14:18|In a deserted corner, he murmured his pain softly.
1:14:20|1:14:25|In the front yard, the drunken [Zhang Zhichen] started singing a lovely song, "A Rose".
1:15:34|1:15:38|[Zhang Zhichen] sang until he was a little tired, leaning against the wooden door and dozing off.
1:15:38|1:15:46|[Zhou Yuwen] and [Dai Xiu] are preparing to leave with lanterns.
1:16:34|1:16:36|But [Dai Xiu] looked at [Zhou Yuwen], and then glanced at [Zhang Zhichen].
1:17:17|1:17:29|[Dai Xiu] pulled [Zhou Yuwen] out of the pocket, leaving only [Zhang Zhichen] to sing the song for the longest time. He leaned against the door panel and sang with tears in his eyes.
1:17:29|1:17:35|Finally, [Zhang Zhichen] couldn't hold on any longer, his body slowly sliding down the door panel.
1:17:58|1:18:3|[Zhou Yuwen] is lying on the bed in the room, poking the fire softly.
1:18:3|1:18:6|He turned over, lying face up on the bed, unable to stop gasping.
1:18:6|1:18:17|Tears fell silently, arms hanging weakly by the side, resembling a butterfly with broken wings, as if the person who was about to drink and gamble with [Zhang Zhichen] in the previous story was not him at all.
1:18:19|1:18:27|Suddenly, he seemed to have remembered something, and with great difficulty, he propped himself up with his arms and weakly walked towards the dressing table not far away.
1:18:27|1:18:35|He took small steps towards the half-height mirror, looking at himself in the mirror, [Zhou Yuwen] constantly touching his own face.
1:18:35|1:18:38|Seeing the tears on his face, he wiped them away resolutely.
1:18:40|1:18:47|[Zhou Yuwen] looked around at the surroundings, picked up the bronze hand mirror beside her, and meticulously illuminated her own face inch by inch.
1:18:47|1:18:53|He held the mirror with a silly smile, then chuckled lightly, suddenly put down the mirror, and walked back.
1:18:53|1:19:0|He suddenly opened the wardrobe, as if he had made a firm decision, like a king, inspecting the belongings in his wardrobe.
1:19:1|1:19:7|[Dai Liyan], who had just returned from the backyard, met [Zhou Yuwen], who had changed into a new outfit, as he walked onto the carved corridor.
1:19:7|1:19:11|There are traces of tears on [Zhou Yuwen]'s face.
1:19:11|1:19:16|She saw [Dai Liyan] approaching, who didn't speak or look at her, but stared straight ahead.
1:19:16|1:19:25|[Dai Liyan] broke the somewhat awkward atmosphere. [Zhou Yuwen] did not respond. He took a deep breath and slowly released the handkerchief he was clutching.
1:19:25|1:19:33|The moonlight shines on him, making him look like a lifeless jade beauty, cold and inscrutable.
1:19:33|1:19:39|[Dai Liyan] saw his reaction and, somewhat helplessly, walked away with his hands behind his back, hunching his body.
1:19:39|1:19:44|[Zhou Yuwen] saw his figure disappear at the end of the corridor, and then immediately walked towards the direction of the study.
1:19:51|1:20:1|Under the cover of night, the entire courtyard was quiet, with only the sound of Zhou Yuwen's footsteps echoing on the stone bricks, slowly fading away into the peaceful night.
1:20:1|1:20:9|[Zhang Zhichen] was in the room, wiping his face with water. He was now very awake, as if the person who just sang love songs to [Zhou Yuwen] was not him.
1:20:46|1:20:56|[Zhou Yuwen] finished speaking, pushed [Zhang Zhichen] who was blocking the door, stubbornly entered his room, and stood in front of the desk inside the room.
1:20:56|1:21:1|[Zhang Zhichen] saw that he was a bit stubborn, so he sat on the bed helplessly, rubbing his hair in frustration.
1:21:4|1:21:10|[Zhou Yuwen] suddenly had a hint of a smile on her face, but the smile was icy and did not reach her eyes.
1:21:10|1:21:16|He turned his head to look at [Zhang Zhichen], then suddenly twisted his slender waist and walked towards him.
1:21:16|1:21:22|[Zhou Yuwen] slowly approached [Zhang Zhichen], sat down beside him, and buried her face slowly into [Zhang Zhichen]'s shoulder.
1:21:23|1:21:33|[Zhang Zhichen] did not refuse at first, but a few seconds later, he couldn't bear the condemnation of his conscience. He pushed [Zhou Yuwen] away and hurriedly ran towards the desk as if fleeing.
1:21:33|1:21:40|[Zhou Yuwen] did not get angry after being pushed away. He walked slowly towards [Zhang Zhichen] and stood by his side without saying a word.
1:21:44|1:21:49|[Zhou Yuwen] suddenly grabbed [Zhang Zhichen] by the collar, staring at him fiercely.
1:21:49|1:21:54|Zhang Zhichen was a little flustered by his sudden move, but immediately reacted.
1:21:54|1:21:57|Zhang Zhichen suddenly picked up Zhou Yuwen around the waist and walked towards the bed.
1:21:58|1:22:4|In the growing candlelight inside the room, the hurried movements of the two appeared so clumsy.
1:22:4|1:22:8|Suddenly, Zhang Zhichen paused and stopped to look at the face of [Zhou Yuwen].
1:22:8|1:22:12|Li Zhi suddenly came to his senses and slowly put down the person in his arms.
1:22:12|1:22:17|He ran out suddenly, locked the door with a bolt, isolating [Zhou Yuwen] from himself.
1:22:17|1:22:24|[Zhou Yuwen], trapped in the house, felt a bit at a loss. He wanted to get closer to [Zhang Zhichen], but Zhang Zhichen was hesitant to indulge him.
1:22:25|1:22:29|[Zhou Yuwen] helplessly knocked on the glass of the carved door.
1:22:29|1:22:35|Zhang Zhichen ignored him and silently walked to the other side, burying his head weakly in the corner of the wall.
1:22:35|1:22:44|[Zhou Yuwen] increased the intensity of knocking on the glass. Seeing that Zhang Zhichen ignored him, [Zhou Yuwen] suddenly raised his hand and shattered the glass, then decisively took the door lock and entered the room.
1:22:44|1:22:48|The sound of glass shattering is even louder in the quiet night.
1:22:48|1:22:55|Dai Liyan was ready to go to sleep. He heard a sound by the bed and remained silent for a long time before slowly blowing out the candle by the bed.
1:22:56|1:23:3|Dai Liyan couldn't sleep soundly, constantly adjusting her sleeping position, looking restless and burdened with worries.
1:23:3|1:23:9|In the study, [Zhang Zhichen] saw [Zhou Yuwen] prying open the lock on the glass door, hurriedly entered, and checked her injuries.
1:23:9|1:23:20|[Zhang Zhichen] half knelt beside her, gently picked up [Zhou Yuwen]'s soft hoof, buried his face in her hand back, they were as quiet as the night at this moment, no one wanted to break the peace of this moment.
1:23:20|1:23:24|[Zhou Yuwen] ignored him, took her hand back inch by inch, and walked out of the study.
1:23:25|1:23:33|After Zhou Yuwen left, Zhang Zhichen sat dejectedly on the floor, with an infinite sense of regret, the candlelight shining on his peaceful face.
1:23:33|1:23:40|In his usually well-tailored suit, now wrinkled and draped on him, he didn't care about it at the moment.
1:23:40|1:23:47|[Zhou Yuwen] has returned to the room. Sitting alone in front of the dressing table, he lights a candle. After bandaging his wounds, [Zhou Yuwen] spends a long time in front of the vanity.
1:24:10|1:24:16|He slowly got up, walked around the shelf with a vase, and reached out to turn off the lights in the room.
1:24:16|1:24:26|Inside the room, enveloped by the night, [Zhou Yuwen] did not immediately push the door open. He leaned quietly against the door frame, his body rising and falling with rapid breaths.
1:24:27|1:24:31|He carefully examined the furnishings in the room, not willing to miss a single detail.
1:24:31|1:24:36|[Zhang Zhichen] sat on the floor in the study, lost in thought.
1:24:36|1:24:40|At this moment, he no longer looks as spirited as before.
1:24:40|1:24:48|His expression was dull, his face filled with melancholy and despair, looking completely different from his previous confident self.
1:24:48|1:24:52|His hands lay weakly between his spread legs, looking extremely decadent.
1:24:53|1:25:1|The room fell silent again. [Zhou Yuwen] walked to the door, but then hesitated, leaning against it, unsure whether to go out or not.
1:25:1|1:25:7|After taking a deep breath, [Zhou Yuwen] still stood in front of the door in silence.
1:25:7|1:25:14|In [Dai Liyan]'s room, he had already laid down and the quiet room was suddenly interrupted by a series of urgent knocks on the door.
1:25:14|1:25:18|[Dai Liyan] did not get up, but looked up with a puzzled expression and asked towards the door.
1:25:26|1:25:32|Zhang Zhichen gently pushed the door open and entered the room.
1:25:41|1:25:49|In the dimly lit room, Zhang Zhichen, guided by the moonlight filtering in, fumbled his way to the table, bent down and slowly searched for medicine in the drawer.
1:25:49|1:25:53|He found it quite easily and soon picked up a medicine bottle, pouring out a few pills into his hand.
1:26:5|1:26:12|When Zhang Zhichen hurried to the door, he looked back at Dai Liyan with some concern, opened his mouth as if to say something, but in the end, he left without a word.
1:26:29|1:26:35|Dai Liyan saw him leave and was about to go to sleep. Footsteps were heard outside the door again, and the person did not knock but pushed the door open with a bamboo stick.
1:26:35|1:26:37|Upon hearing the voice of [Zhou Yuwen], Dai Liyan suddenly sat up and turned on the desk lamp, looking at him with a puzzled expression.
1:27:21|1:27:26|[Zhou Yuwen] sat slowly on the edge of the bed, but her gaze never met Dai Liyan's.
1:27:26|1:27:34|Dai Liyan, as if not noticing her evasion, leaned her arm on the small table at the head of the bed and slowly said to Zhou Yuwen.
1:28:22|1:28:25|[Zhou Yuwen] heard this and silently lowered her head.
1:28:25|1:28:28|Dai Liyan continued to speak.
1:28:30|1:28:33|At this point, Dai Liyan seemed a bit lost in thought.
1:28:38|1:28:42|[Zhou Yuwen] looked up in surprise, but still did not meet [Dai Liyan]'s gaze.
1:28:46|1:28:50|[Zhou Yuwen] was a bit absent-minded, shaking his head gently in denial.
1:28:50|1:28:54|[Dai Li] gently took his hand when she saw his reaction.
1:28:55|1:29:0|[Zhou Yuwen] said nothing, but used his hand to pull [Dai Li] away from him.
1:29:0|1:29:3|Dai Liyan finally saw the wound on his hand clearly.
1:29:13|1:29:19|[Zhou Yuwen] wanted to speak up and refuse, but before he could say a word, [Dai Liyan] had already hurriedly stood up.
1:29:19|1:29:25|[Zhou Yuwen] saw his reaction and turned away, ignoring his anxious search for medicine.
1:29:25|1:29:36|[Dai Liyan] skillfully came to the cabinet, opened the drawer, found the white medicine, took it and quickly came to the bedside, pulled [Zhou Yuwen]'s hand, carefully removed the previously improperly bandaged wound.
1:29:42|1:29:48|[Dai Liyan] carefully unwrapped the bandages as if holding a precious treasure, afraid that [Zhou Yuwen] would be hurt again.
1:29:54|1:30:2|Dai Liyan furrowed his brows, tenderly helping Zhou Yuwen apply medicine. Zhou Yuwen couldn't stop choking back tears because of his actions, and his eyes gradually became moist.
1:30:2|1:30:8|Dai Liyan saw him crying, gently blew on his wound, and held the cotton swab in his hand with a gentle touch.
1:30:8|1:30:13|[Zhou Yuwen] sat down slowly beside him, tears streaming down her face as she watched Dai Liyan's gentle movements.
1:30:14|1:30:33|At this moment, the two of them forgot everything that had happened before, just like an ordinary couple. Dai Liyan carefully applied ointment to [Zhou Yuwen], and [Zhou Yuwen] gradually calmed down because of his gentle actions. The early morning light illuminated the Dai family's courtyard. Dai Liyan held a book, accompanied by the chirping of birds, sitting in a daze in the pavilion in the garden.
1:30:33|1:30:41|Zhang Zhichen walked along the corridor and saw Dai Liyan. He didn't speak, but leaned against the railing and stared blankly at the ground.
1:31:22|1:31:28|Zhang Zhichen turned his head with a guilty look, his gaze somewhat uneasy, no longer meeting the eyes of the agent.
1:31:36|1:31:43|Dai Liyan's expression was somewhat strange. He avoided Zhang Zhichen's charming gaze and awkwardly changed the subject.
1:31:55|1:31:59|Zhang Zhichen lost in thought, staring at Dai Liyan, and remained silent for a long time.
1:31:59|1:32:6|By the city wall, [Zhou Yuwen] walked silently along the desolate path outside the river in early spring, carrying a basket.
1:32:6|1:32:10|In the distance, the rice fields that can be vaguely seen still exude a hint of vitality.
1:32:10|1:32:16|[Zhou Yuwen] stood by the river, gazing into the distance. The cold morning wind wrapped around his slender body, making him appear so cold.
1:32:17|1:32:21|He stood silently, no one knew what he was looking at, what he was thinking. 
1:32:21|1:32:32|The gentle breeze ruffled his skirt, but he paid no attention. Rather than walking, he seemed to be wandering, like a helpless duckweed, quietly drifting above the small town.
1:32:44|1:32:51|In the courtyard, [Dai Liyan] appeared in [Zhou Yuwen]'s room, contrary to his usual behavior.
1:32:51|1:32:56|She lowered her head and walked through the carved wooden door of the outer room, slowly making her way to the inner room.
1:32:56|1:33:17|The half-height round mirror on the dressing table reflected her figure. After looking around, she finally sat in front of the dressing table. The room of [Zhou Yuwen] was decorated very elegantly, with flourishing orchids on the shelf and a delicate teapot on the small table, all showing the owner's elegance and knowledge.
1:33:17|1:33:22|[Dai Liyan] observed the surroundings, lowering his head to look at the cosmetics placed on the dressing table.
1:33:23|1:33:32|Suddenly reaching out and picking up the snow cream with a portrait of a beauty on it, she skillfully unscrewed the lid, put it to her nose and sniffed, the strong fragrance made her cough uncontrollably.
1:33:32|1:33:40|She had to tighten the snowflake ointment and put it back in place, then slowly got up after taking a look around the room, walking through the tall screen to the inner room.
1:33:41|1:33:45|The room was not large, with nothing but a bed inside.
1:33:45|1:33:51|The agent sat by the bed, carefully examining them as if trying to etch them deeply into his mind.
1:33:51|1:34:1|By the bedside, the thin gauze curtains were fluttering in the wind. Dai Liyan gazed at the dancing gauze for a while before slowly getting up and leaving through the back door of the factory.
1:34:2|1:34:10|He walked slowly along the corridor, his arms straight down by his side, his eyes staring blankly at the road, looking absent-minded.
1:34:10|1:34:18|The sunlight fell on him, not adding any vitality to his figure, but instead highlighting his loneliness and lack of joy.
1:34:19|1:34:24|He slowly moved his feet until his figure gradually disappeared at the end of the carved corridor.
1:34:24|1:34:27|The scene cuts to Dai Liyan back in his own room.
1:34:27|1:34:32|He walked to the cabinet and reached into the second drawer, searching for something.
1:34:32|1:34:35|When he turned around again, he was already holding a small vial in his hand.
1:34:36|1:34:51|His movements were extremely slow, like an old man who had weathered many storms, slowly walking to the small table by the bed. He raised his hand to pour himself a glass of water, then slowly approached the bed, sitting down slowly with the help of the table, and opened the medicine bottle after sitting down.
1:34:52|1:35:1|The flower poured out a pill, not bothering to count how many pills were in her hand at the moment. Perhaps she herself didn't know how many she needed to take.
1:35:1|1:35:11|She held the pill in her hand without any hurry, first carefully surveying the old and quaint little house, then looking up at the ceiling in a leisurely manner.
1:35:11|1:35:18|After doing all this, she suddenly put the pill into her mouth, took the water on the small table, drank a big mouthful, and then put down the water glass.
1:35:20|1:35:27|After all this, he slumped his shoulders heavily as if he had no strength left in his body.
1:35:27|1:35:31|He sat motionless on the bed like a clay sculpture for a long time.
1:35:35|1:35:40|After an unknown period of time, she slowly reached out and lowered the raised bed curtain.
1:35:40|1:35:49|The bed curtain fell apart as Dai Liyan moved, allowing the sunlight to shine through the window into the room, only to be blocked back by the scattered curtain.
1:35:49|1:35:58|She gazed blankly at the untied curtain, slowly stood up from the bed, moved to another corner where the curtain was still tied, and gently untied it.
1:35:58|1:36:4|As the curtain was slowly pulled back, there was no hope of even a glimmer of light in the airtight bed.
1:36:6|1:36:12|[Dai Liyan] didn't care. She slowly drew back the curtain and rushed towards the desperate world she had created with her own hands, without hesitation.
1:36:15|1:36:26|Outside the Dai family's courtyard, the sun was already high in the sky, but there was not a soul in the small town, only the silent scene of crumbling walls and ruins, silently announcing the loneliness and decay of the city.
1:36:26|1:36:33|[Zhou Yuwen] appeared on the street with a basket in hand, but did not bring much vitality to this lonely alley.
1:36:33|1:36:40|The desolate wind tousled his hairline, and he leisurely took his steps, disappearing into the old courtyard of Dai Liyan's house.
1:36:42|1:36:47|In the courtyard at home, [Lao Huang] carried a wooden tray and walked along the carved corridor towards the agent's room.
1:36:47|1:36:52|He crossed the high threshold between the outer and inner rooms with ease and familiarity.
1:36:52|1:36:56|The room was empty, with no sign of Dai Liyan.
1:36:56|1:37:0|[Lao Huang] looked around in confusion, but didn't see anything unusual.
1:37:0|1:37:6|He slowly placed the tray in his hand on the small table, and smiled lightly at the bed surrounded by curtains.
1:37:13|1:37:15|Seeing no response, [Lao Huang] pulled back the bed curtain.
1:37:20|1:37:25|[Lao Huang] leaned half of his body into the bed and called out loudly for the agent.
1:37:28|1:37:31|[Lao Huang] realized that something was wrong and ran outside in a panic.
1:38:6|1:38:12|[Zhou Yuwen] quickly pulled back the bed curtain and sat on the bed, leaning forward to observe the situation of the agent.
1:38:12|1:38:16|Suddenly, he saw a bottle of sleeping pills on the small table next to the agent's bed.
1:38:18|1:38:25|He reached out and took the medicine bottle, clutching it tightly in his hand, then continued to look at [Dai Liyan], afraid of missing any of his reactions.
1:38:25|1:38:28|The agent still slept heavily.
1:38:28|1:38:32|[Zhou Yuwen] finally couldn't control her emotions, tears fell from her eyes.
1:38:32|1:38:37|[Zhang Zhichen] strode over the high threshold like the wind and rushed into a room.
1:38:37|1:38:41|[Zhou Yuwen] saw him coming and quickly got up to hand him the bottle of sleeping pills in her hand.
1:38:42|1:38:47|[Zhang Zhichen] took the medicine bottle, glanced down at it, and then hurried towards Dai Liyan lying on the bed.
1:38:47|1:38:55|[Zhang Zhichen] felt Dai Liyan's pulse, then reached out to touch his artery, carefully examining Dai Liyan's physical condition at the moment.
1:38:55|1:38:59|He turned on the bedside lamp to conduct a more thorough inspection.
1:39:6|1:39:8|Zhang Zhichen opened Dai Liyan's eyelids and observed.
1:39:11|1:39:14|They together placed the agent flat on Zhang Zhichen's legs.
1:39:14|1:39:18|Zhang Zhichen clapped the agent's back with both hands pressed together.
1:39:22|1:39:26|[Zhou Yuwen] quickly turned around and took a pair of rubber gloves from Zhang Zhichen's suitcase.
1:39:26|1:39:31|After getting it, he handed it over non-stop to Zhang Zhichen, who was helping the agent induce vomiting.
1:39:40|1:39:45|Zhang Zhichen hesitated for a moment.
1:39:45|1:39:55|With Zhang Zhichen's rescue efforts, Dai Liyan spat out some sleeping pills. He continued to vigorously pat Dai Liyan's back, but Dai Liyan didn't spit out anything else.
1:39:55|1:40:2|[Zhou Yuwen] quickly took out a handkerchief, carefully wiped the agent, and then the two of them together laid the agent back on the bed.
1:40:2|1:40:7|Compared to Zhou Yuwen's anxiousness, Doctor Zhang Zhichen's calm demeanor is evident at this moment.
1:40:8|1:40:14|After helping Dai Liyan back to bed, he took off the rubber gloves and calmly started to tidy up the first aid kit.
1:40:14|1:40:23|[Zhou Yuwen] looked a bit flustered, constantly pacing by the agent's bed, twisting the handkerchief in his hand into a ball, never stopping his sighing movements.
1:40:23|1:40:34|He bent down sitting beside Dai Liyan, his fingers tangled together constantly spinning, sometimes feeling Dai Liyan's pulse, sometimes reaching out to touch Dai Liyan's cheek, appearing anxious and helpless.
1:40:37|1:40:42|In the silence between them, the sound of footsteps suddenly came from outside the door.
1:40:42|1:40:45|It turns out that [Lao Huang] brought the little sister from school back.
1:40:45|1:40:46|Dai Xiu burst into the room like a gust of wind.
1:41:6|1:41:9|[Zhang Zhichen] walks towards Xiaomei.
1:41:17|1:41:20|Zhou Yuwen looked helplessly at [Zhang Zhichen].
1:41:28|1:41:31|[Zhang Zhichen] walked away dejectedly, while the two younger sisters continued to cry and shout.
1:41:40|1:41:50|It's already night, but the courtyard is not as quiet as usual. The lights are still on, and the whole family is gathered in the room of [Dai Liyan], unable to close their eyes.
1:41:50|1:42:1|The agent was still not awake, and Dai Xiaomei was a little tired, half-leaning in front of the bed but forcing herself not to sleep. [Zhang Zhichen] sat at the table rubbing the dust off the sun, his exquisite suit all wrinkled.
1:42:1|1:42:9|[Zhou Yuwen] sat at the foot of the bed, staring fixedly at the agent, not wanting to miss any of his reactions, and no one spoke to break the tense atmosphere.
1:42:9|1:42:15|The thoughts of everyone fluctuated with the agent, and the room maintained an eerie calm.
1:42:15|1:42:21|[Lao Huang] walked in from outside with a hot towel, shook his head, and slowly approached [Zhou Yuwen], whispering softly.
1:42:25|1:42:35|[Zhou Yuwen] heard the sound but didn't turn her head. She raised her hand and pushed aside the tray handed over by [Lao Huang], staring at Dai Liyan in a trance, not even glancing at [Lao Huang].
1:42:35|1:42:39|Dai Xiaomei stared blankly at her brother with closed eyes, and [Lao Huang] had to leave.
1:42:42|1:42:50|[Zhang Zhichen] was brought back to reality by the voice of [Lao Huang]. He took the hot towel handed to him by [Lao Huang], casually wiped his hands, and then passed the towel back to [Lao Huang].
1:42:50|1:43:5|At this moment, the originally quiet agent made a move, surprising Dai Xiaomei who raised her arm in astonishment. Zhou Yuwen quickly leaned over, and Dai Xiaomei exclaimed in surprise at the agent.
1:43:5|1:43:19|Three people gathered around the agent's bed, as the agent slowly woke up and turned his head to look at them. [Zhou Yuwen] and [Zhang Zhichen] locked eyes, and [Zhang Zhichen] nodded at her.
1:43:19|1:43:22|Dai Liyan turned his head and slowly looked towards Zhou Yuwen at the foot of the bed.
1:43:29|1:43:34|Dai Liyan closed her eyes and slowly nodded.
1:43:34|1:43:39|[Zhou Yuwen] held [Dai Liyan]'s hand, leaning helplessly against the bed, unable to hold back her tears.
1:43:44|1:43:48|Her emotions finally erupted, crying as she leaned towards [Dai Liyan].
1:43:55|1:44:3|Dai Liyan's voice gradually softened as he looked down at Zhou Yuwen leaning against his chest, reaching out to gently stroke Zhou Yuwen's embroidered hair.
1:44:3|1:44:7|Dai Xiaomei saw her brother wake up, and her nervous expression gradually relaxed.
1:44:9|1:44:19|A new day begins, outside the gate of the Dai family courtyard, [Lao Huang] skillfully steps out and pours the dregs from the medicine pot onto the small path outside the gate, then slowly walks back into the courtyard with the empty pot, and closes the gate again.
1:44:19|1:44:20|In the room, [Zhou Yuwen] is helping Dai Xiaomei, who is dressed in new clothes, to carefully dress up.
1:44:20|1:44:20|[Zhou Yuwen] paused her movements.
1:44:41|1:44:50|Dai Xiaomei's face showed no sign of joy.
1:44:50|1:44:56|Dai Xiaomei looked up and glanced at Zhou Yuwen in the mirror.
1:44:56|1:44:59|[Zhou Yuwen] was taken aback by her refusal, her hands paused momentarily.
1:44:59|1:45:2|Dai Xiaomei pondered for a while, then turned around and took Zhou Yuwen's hand.
1:45:11|1:45:19|Upon hearing Dai Xiaomei's straightforward question, [Zhou Yuwen] hesitated for a moment, then turned her around and gently guided her back to the dressing table to sit down.
1:45:19|1:45:26|Both of them had subtle expressions, with Dai Xiaomei realizing she had said the wrong thing. She opened her mouth but did not explain.
1:45:26|1:45:31|[Zhou Yuwen] sighed and didn't even look at her, carefully combing Dai Xiaomei's short hair with a comb.
1:45:33|1:45:40|The two of them fell silent for a long time after Dai Xiaomei's slip of the tongue just now. Dai Xiaomei stared straight at the mirror where [Zhou Yuwen] was combing her hair for her.
