0:2:20|0:2:29|In the city, tall buildings stand densely, with crowds of people flowing continuously.
0:54:47|0:54:55|[Xiong Dun] sat on the bed, biting his fingers, staring blankly at the fruits on the table placed by [Xia Meng]. Seeing this, [Xia Meng] picked up the fruit basket and brought it in front of [Xiong Dun].
0:54:57|0:55:4|[Xiong Dun] bit his finger, showing a look of being flattered, and tremblingly took out a small bunch of grapes.
0:55:6|0:55:15|[Xiong Dun] once again immersed herself in her own fantasy. She imagined herself in an ancient palace, wearing Qing Dynasty clothing.
0:55:15|0:55:23|She knelt on the ground, carefully aiming ahead. [Xia Meng] was dressed in gorgeous attire, with two palace maids standing beside her, she raised her delicate fingers,
0:55:23|0:55:30|Picked up a bunch of grapes from the table and threw them on the ground.
0:55:32|0:55:39|[Xiong Dun] looked up and saw Xia Meng, startled, he quickly bent down and crawled over to pick up the grapes.
0:55:42|0:55:52|[Xia Meng] rolled her eyes disdainfully, the scene shifted back to reality. [Xia Meng] was lying on the bed wearing headphones and reading a book. [Xiong Dun] felt [Xia Meng]'s gaze and smiled as he handed her a bunch of grapes.
0:55:52|0:56:1|[Xia Meng] coldly turned her head away, ignoring her. Due to the chemotherapy, [Xiong Dun] began to vomit continuously. She squatted by the toilet, coughing from being choked by her own vomit.
0:56:1|0:56:8|She curled up, her face as white as a sheet of paper. After emptying her stomach, [Xiong Dun] walked out of the bathroom looking haggard.
0:56:8|0:56:13|She walked forward weakly, but a familiar voice appeared in her ear.
0:56:22|0:56:27|[Xiong Dun] saw his parents carrying big and small bags, holding back tears and smiling. The scene then shifted to a few days ago,
0:56:52|0:57:0|[Xiong Dun's Father] and mother saw their daughter, the three of them looked at each other in silence.
0:57:35|0:57:43|[Doctor Liang] finished explaining [Xiong Dun]'s condition to [Xiong Dun's parents]. They sat in silence on the chairs, with tears glistening in [Xiong Dun]'s mother's eyes.
0:57:43|0:57:47|[Xiong Dun's Father] also looked absent-minded on the side. Afterwards,
0:57:47|0:57:53|[Xiong Dun's Parents] walked out of the office, with [Xiong Dun]'s mother looking dazed, as if she had lost her soul, and she left first.
0:57:53|0:58:3|[Xiong Dun's Father] nodded slightly at [Doctor Liang] and followed. [Doctor Liang] stood at the office door, watching the lonely figures of the two elderly people, feeling sorry in his heart. [Xiong Dun's Parents] stopped halfway.
0:58:3|0:58:8|Both of them were trying hard to control their tears.
0:58:10|0:58:21|[Xiong Dun's Father] turned around with red eyes, found an excuse and left. [Xiong Dun's Mother] stood still, unable to control herself anymore, and started to sob. Then, she quickly wiped away her tears, forced herself to stay calm, and walked forward.
0:58:21|0:58:22|In the supermarket,
0:58:22|0:58:31|[Xiong Dun's Father] stood in front of a row of shelves, carefully selecting snacks for his daughter. Various types of potato chips were displayed on the shelves, and he casually picked up a bag.
0:58:31|0:58:35|Squinting with his presbyopic eyes, furrowing his brow, he looked back and forth at the words above.
0:58:35|0:58:41|After watching for a while, he finally put it into the shopping bag with relief, then picked up another one. He picked up another bag of potato chips.
0:58:41|0:58:46|Slowly reaching out in front of his eyes, studying the words on it, he couldn't hold back anymore.
0:58:46|0:58:55|The moment of strength he had built up earlier crumbled, as he slowly put down the bag of potato chips and began to cry silently, while his other hand weakly supported the nearby shelf.
0:58:55|0:59:1|It seems like if he doesn't do this, he won't be able to hold on and will collapse. He sobbed, his shoulders shaking violently with each cry.
0:59:1|0:59:10|He seemed to age a lot in an instant. The little girl next to him saw Xiong Dun's Father, who was choked with sobs, and cast a concerned look at him, but dared not approach, so she turned and left.
0:59:10|0:59:14|Afraid of disturbing him, the people around also turned back curiously to look.
0:59:14|0:59:23|I don't know why this old man is crying. [Xiong Dun's Father] cried for a while, then wiped his tears, put the potato chips back into the basket, adjusted his emotions, and turned to leave.
0:59:43|0:59:48|[Xiong Dun] nodded perfunctorily. [Xiong Dun] turned his head to look at his mother with a pretended calmness.
0:59:48|0:59:52|Sticking out his tongue to lick the candy stains off the corners of his mouth, [Xiong Dun's Mother] angrily pushed him away.
1:0:32|1:0:38|[Doctor Liang] entered the room with a group of interns. Upon seeing [Doctor Liang], [Xiong Dun] immediately sat up straight, pretending to be a lady.
1:0:40|1:0:46|A young doctor picks up the file in his hand.
1:0:47|1:0:53|[Xiong Dun] sat on the hospital bed, feeling secretly delighted.
1:2:58|1:3:3|The man rode away on a motorcycle without mercy, with [Xia Meng] following behind, shouting loudly regardless of her image.
1:3:3|1:3:9|Pedestrians hurriedly passed by on the street, [Xiong Dun] leaned against the window, shocked by everything. In the evening,
1:3:9|1:3:13|[Xia Meng] sat dejectedly by the window, where a pile of beer cans sat on the sill.
1:3:13|1:3:21|She cried while picking up a beer to drink. [Xiong Dun] slept soundly with an eye mask on, but was awakened by [Xia Meng]'s movements. [Xiong Dun] took off the eye mask.
1:3:21|1:3:28|Glancing at [Xia Meng], she noticed [Xiong Dun]'s gaze, covered her eyes, put down the beer in her hand, and stood up again.
1:3:28|1:3:32|Carrying several unfinished cans of beer in his arms, he turned around and walked out.
1:3:32|1:3:48|[Xiong Dun] stared intently at [Xia Meng]'s every move, feeling uneasy. She immediately lifted the blanket, got out of bed, grabbed the coat on the chair, and hurried out without even taking off her eye mask. She followed [Xia Meng] stealthily to the rooftop. [Xia Meng] placed the beer can by the parapet, preparing to climb up.
1:4:6|1:4:12|[Xia Meng] finished speaking and started drinking by herself. [Xiong Dun] looked on eagerly. She glanced at [Xiong Dun] and said.
1:4:15|1:4:21|[Xiong Dun] grinned widely, infecting [Xia Meng] as well. The two of them hit it off immediately and began their own night of revelry.
1:4:21|1:4:26|The scene shifts, [Xia Meng] is wearing a cool leather jacket, a helmet on her head, riding a motorcycle,
1:4:26|1:4:33|[Xiong Dun] sat behind her, excitedly opening her arms and shouting. The two of them were speeding through a tunnel filled with parked cars.
1:4:33|1:4:41|Releasing long-suppressed emotions, casting aside illness and worries, on this special night, indulging oneself freely.
1:5:0|1:5:7|[Xiong Dun] was at a loss for words and could only pick up a beer can, drinking continuously.
1:6:18|1:6:23|Revealing their innermost thoughts, they gradually established a friendship.
1:6:23|1:6:30|[Xiong Dun] finished his drink, leaned against the railing of the overpass, looked up at the sky, and joyfully shouted. The camera gradually zoomed out.
1:6:30|1:6:34|At their feet lay a large pile of empty beer cans, the cold wind blowing their scarves.
1:6:34|1:6:41|The next day, [Xiong Dun] sat in front of the mirror in the dressing room, reluctant to touch his thick hair, sighing.
1:7:5|1:7:9|[Xia Meng], with a shaved head and holding a pair of scissors, gently touched [Xiong Dun]'s head to comfort her.
1:7:9|1:7:28|[Xiong Dun] pouted in grievance, although her tone was light, her heart was very reluctant. She closed her eyes and imagined herself with long flowing hair, tossing a beautiful red curly hair, happily running on a grassland. [Xia Meng]'s technique was very skillful, in no time, [Xiong Dun]'s hair had turned into a short bob.
1:7:28|1:7:33|Cut off the messy hair, falling down one by one, lightly landing on the ground.
1:7:33|1:7:43|[Xiong Dun] tightly closed his eyes, unable to help but start to imagine what he would look like with various hairstyles. It was at this moment of losing his hair that he suddenly realized he had never properly cared for it.
1:7:43|1:7:56|In Xiong Dun's imagination, she switches between having elegant big waves, neat short hair, and handsome silver-gray hair. The imagined self is confident and beautiful, laughing happily and running forward.
1:7:56|1:8:5|The sunlight shines through the trees onto the grass, illuminating the bright and lively Xiong Dun, who in reality has grown into a young man with short hair.
1:8:5|1:8:21|The usually carefree [Xiong Dun] who is not afraid of taking medicine, injections, or chemotherapy, becomes anxious and unsettled when facing the imminent loss of her hair. In her imagination, [Doctor Liang] stands before her, raising his hand to gently stroke her hair. There is a look of love in [Doctor Liang]'s eyes.
1:8:23|1:8:30|[Xiong Dun] slowly opened his eyes, and in the mirror, he saw five bald heads, with [Lao Zheng], [Ai Mi], and [Xiao Xia].
1:8:45|1:8:55|In this way, [Xiong Dun], [Xia Meng], [Ai Mi], [Lao Zheng], and [Xiao Xia], all shaved their heads, and the five of them walked confidently on the street, not afraid of the eyes of the people around them.
1:8:55|1:9:15|They arrived at a bridal shop, looking at the various wedding dresses inside with excitement. [Xia Meng] was the first to pick a dress to try on. As she lifted the curtain, everyone was amazed and opened their mouths in surprise. Looking at [Xia Meng] standing there, elegant and noble in the wedding dress, [Ai Mi] also put on a wedding dress and struck a sweet pose. Even the tomboy [Lao Zheng] put on a dress for the first time.
1:9:15|1:9:26|Shortly after, [Xiong Dun] changed into a stylish wedding dress and mischievously stuck out his tongue at [Lao Zheng] and the others. In the underground passage, a group of young people were singing and playing the guitar, and as [Xiong Dun] and his group passed by,
1:9:26|1:9:28|Excitedly joining in, he started dancing.
1:9:28|1:9:38|Later, the five of them arrived at a wig shop, ready to dress up. [Xiao Xia] took on the role of photographer, capturing their various strange outfits with her camera.
1:9:38|1:9:48|[Xiao Xia] was not content with just being a photographer, so she quickly ran up and joined them, setting the camera timer. The five of them laughed heartily in front of the camera. As night fell, they arrived at a high-end restaurant.
1:10:16|1:10:22|[Xiao Xia] finished using the restroom and was washing her hands at the sink when a man walked past behind her. [Xiao Xia] took a closer look.
1:10:22|1:10:30|The person discovered turns out to be Xiong Dun's ex-boyfriend, Xiao Chuan. Xiao Chuan admires himself in the mirror, touches his greasy hair, whistles, while Xiao Xia looks at him thoughtfully.
1:10:36|1:10:43|[Ai Mi] hesitated with the hand holding the bottle, shocked as she glanced at [Lao Zheng] beside her. She put down the bottle and looked around with [Lao Zheng].
1:10:52|1:10:58|[Xia Meng] raised a glass of water and took a sip, with a meaningful expression.
1:11:0|1:11:7|[Xia Meng] stood up, hugged the bewildered [Xiao Xia], and turned to leave. [Xia Meng] and [Xiao Xia] found a foreign waiter and the three of them huddled together, discussing something in low voices.
1:11:17|1:11:22|[Xia Meng] cautiously pushed open the door to the men's restroom. The waiter stood on either side of the door, watching out for her, and let her in.
1:11:22|1:11:31|[Xia Meng] slipped in, and the waiter pretended to be serious, crossing his arms and standing at the door. [Xia Meng] hid behind the wall and looked into the bathroom, finding it empty, so she walked in confidently.
1:12:35|1:12:40|Xiaoguan's girlfriend looked at [Xiao Xia] with a mixture of belief and doubt, her face turning ugly. [Xiao Xia] continued speaking.
1:12:44|1:12:47|[Xiao Xia] showed an expression that was hard to describe, and Xiao Chuan's girlfriend was scared and lost her color.
1:12:47|1:13:3|On the phone, [Xiong Dun] was amused by [Xiao Xia]'s superb acting, while on the other side, [Xia Meng] walked out and squeezed a bunch of hand sanitizer into her hand. Taking advantage of Xiao Chuan's distraction, [Xia Meng] smeared the hand sanitizer on Xiao Chuan's pants, revealing a malicious smile. Xiao Chuan widened his eyes, at a loss for what to do.
1:13:5|1:13:11|At this moment, Xiong Dun's girlfriend completely believed Xiao Xia's words, her eyes filled with killing intent as she stood up and left her seat.
1:13:11|1:13:19|[Xia Meng] walked out of the men's restroom and said to the waiter. The waiter nodded confidently and walked into the restroom.
1:13:19|1:13:28|Xiao Chuan's girlfriend marched aggressively towards the men's restroom, while Xiao Chuan was struggling to wash the hand sanitizer off his pants at the sink.
1:13:29|1:13:36|The waiter on the side was playing with his cuffs, teasing and smiling at Xiao Chuan. [Xia Meng] deliberately made things difficult for Xiao Chuan's girlfriend at the door.
1:13:39|1:13:45|Xiao Chuan's girlfriend pushed [Xia Meng] aside and rushed into the men's restroom. [Xia Meng] disdainfully pursed her lips, shook her head, and walked away.
1:13:45|1:14:1|Xiao Chuan's girlfriend walked into the restroom and saw Xiao Chuan with the waitress. The waitress turned shyly to glance at Xiao Chuan's girlfriend, then turned back to Xiao Chuan, patted his butt, whispered something naughty in his ear, and left with a mischievous smile on her face. As she walked away, she even bumped into Xiao Chuan's girlfriend's shoulder.
1:14:8|1:14:15|The girlfriend saw everything and no longer believed Xiao Chuan's explanation.
1:14:18|1:14:23|Five people cheerfully walked out of the hotel door.
1:14:23|1:14:26|Everyone suddenly looked outside with a face full of surprise, their eyes shining.
1:14:26|1:14:32|In just the time of a meal, heavy snowflakes began to fall outside, covering the ground with a thick layer of snow.
1:14:32|1:14:39|Everyone laughed and ran forward together, rushing into the heavy snow as if trying to shake off all the unhappiness of this period of time.
1:14:39|1:14:46|She stood in the snow, having a snowball fight with [Ai Mi], [Lao Zheng], and [Xia Meng].
1:14:48|1:15:1|[Xiao Xia] stood at the door, watching the four of them playing around. She couldn't help but laugh, tears glistening in her eyes. But the next moment, she shouted and rushed into the snow, leaping down the steps and landing straight on the snow, using her hands to draw and pull the snow around her.
1:15:1|1:15:8|[Xiong Dun] and the sisters were playing around, throwing the snow in their hands towards [Xiao Xia] on the ground. The five of them were having a great time in this world of ice and snow.
1:15:20|1:15:31|[Xiong Dun] looked up at the sky, snowflakes falling on her face, hair, and scarf. She opened her arms, closed her eyes, and had a happy expression on her face, savoring the joy of the moment.
1:15:31|1:15:42|The scene fades into darkness, entering Xiong Dun's nightmare. In the dream, Xiong Dun is wearing a hospital gown, panting heavily as she runs through a forest as if something is chasing her from behind.
1:15:42|1:15:50|Just then, a zombie appeared in the mist of the forest. [Xiong Dun] was so frightened that he stumbled and fell, and at that moment, the heart rate monitor suddenly started to sound an alarm.
1:16:3|1:16:11|Xiong Dun's nightmare continues as the zombie lunges at her while she's lying on the ground, gnashing its teeth and gripping her neck. Xiong Dun struggles in pain.
1:16:20|1:16:24|Doctor Liang began to resuscitate Xiong Dun, while anxiously watching the electrocardiogram on the side.
1:16:24|1:16:30|He put down the defibrillator and started performing CPR directly. Finally, there was a slight fluctuation on the ECG.
1:16:38|1:16:54|[Doctor Liang] once again defibrillated [Xiong Dun], his eye sockets slightly reddened, looking anxious. However, every time he looked up, the ECG showed no response. He pounded on [Xiong Dun]'s chest with all his might, desperately trying to save his life. [Xiong Dun] was still trapped in her own nightmare, unable to break free, being choked by a zombie and unable to move.
1:16:54|1:17:3|In the dream, [Doctor Liang] held a crossbow, stood behind a tree not far away, aimed at the zombie's head and shot. The zombie was hit in the forehead by the arrow, releasing the grip on [Xiong Dun]'s hand.
1:17:3|1:17:5|Rolled his eyes and fell to the ground.
1:17:5|1:17:11|[Doctor Liang] slowly puts down the crossbow in his hand, while the rescued [Xiong Dun] keeps coughing incessantly.
1:17:13|1:17:21|[Xiong Dun] sat up, breathing heavily in shock, looking at [Doctor Liang] in the distance. [Doctor Liang] looked at her and smiled, with a smirk on his face.
1:17:28|1:17:40|[Doctor Liang] was panting heavily, unable to even find his pen. The nurse beside him reminded him, and he took the pen down, but his hand trembled uncontrollably as he signed. The nurse beside him was also frightened by his appearance.
1:17:40|1:17:48|Xiong Dun's condition has stabilized. She is lying on a nearby hospital bed, with a nurse holding an oxygen mask over her face to help her breathe.
1:17:48|1:17:52|[Doctor Liang] hurriedly fled from the emergency room, unable to recover for a while.
1:17:52|1:17:58|He walked unsteadily in the corridor, his eyes unfocused, as if the one who had just experienced life and death was himself.
1:18:2|1:18:10|Finally, he pushed open the door to the bathroom and stumbled in. Inside, a man smoking was startled by Doctor Liang.
1:18:10|1:18:17|[Doctor Liang] ignored the man's greeting and quickly washed his face. He asked the man for a cigarette, wanting to relax after the tension just now.
1:18:17|1:18:21|The usually dignified Doctor Liang has now turned into an out-of-control middle-aged man.
1:18:21|1:18:30|[Doctor Liang], leaning against the toilet door smoking, suddenly felt unbearable. He coughed and immediately turned around, rushing into the toilet cubicle, kneeling in front of the toilet, and started vomiting.
1:18:30|1:18:36|The man smoking was startled, standing cautiously at the door and asking.
1:18:36|1:18:42|[Doctor Liang] waved his hand quickly to indicate that he was fine. The camera then shifted to the hospital room.
1:18:44|1:18:50|[Xia Meng] bites into an apple and asks the pale-faced [Xiong Dun]. [Xiong Dun] weakly lies in bed and shakes his head.
1:19:10|1:19:17|[Xiong Dun] showed a fascinated smile, turned her head to look at the ceiling, recalling the nightmare she had just had. She imagined herself still in that forest,
1:19:17|1:19:22|Facing the doctor who saved him, [Doctor Liang], they stood still and locked eyes, sparking the flame of love.
1:19:34|1:19:38|[Xiong Dun] immediately turned his head to adjust his wig, holding an unfinished lollipop in his hand.
1:19:39|1:19:42|[Doctor Liang] raised his hand and touched her head.
1:19:46|1:19:53|[Doctor Liang] smiled indulgently, as [Xiong Dun] asked. [Xiong Dun] extended an invitation to [Doctor Liang].
1:20:27|1:20:34|[Xiong Dun] said, looking at [Doctor Liang] with a proud expression on his face.
1:20:51|1:20:58|[Xiong Dun] looked at [Doctor Liang] beside him, and their eyes met. At that moment, [Doctor Liang]'s phone suddenly rang, displaying a message that said,
1:21:5|1:21:11|[Xiong Dun] took the disinfectant handed by [Doctor Liang] and rubbed his hands. He looked up and said to [Doctor Liang].
1:21:17|1:21:22|[Doctor Liang] smiled shyly as he let [Xiong Dun] apply hand cream on his hands.
1:21:24|1:21:30|[Doctor Liang] did not refuse and gladly accepted the gift from [Xiong Dun]. He stuffed the hand cream into his own pocket.
1:21:36|1:21:43|Doctor Liang did not answer her, just kept smiling. He suddenly looked up and gazed into the distance. Xiong Dun followed his gaze.
1:21:43|1:21:52|A group of nurses in the distance were seen standing together, sneakily watching Xiong Dun and Doctor Liang. Doctor Liang cleared his throat uncomfortably, patted Xiong Dun on the shoulder, and then turned and walked away.
1:21:58|1:22:4|[Xiong Dun] watched [Doctor Liang] walk away and started to daydream again. [Doctor Liang] entered the elevator, and the doors closed slowly.
1:22:4|1:22:11|He saw his face reflected on the side of the elevator door, so he slowly bent down to observe carefully. He remembered what Xiong Dun had once said to him.
1:22:11|1:22:18|He grinned and made faces in the mirror for no reason. Then he practiced his smile in front of the elevator door. Suddenly, the elevator door opened.
1:22:18|1:22:25|[Doctor Liang] regained his seriousness in a split second and walked out.
1:22:27|1:22:33|[Xiong Dun's Mother] stood outside the ward making a phone call, sounding anxious. Then she walked in with a worried expression on her face.
1:23:7|1:23:14|[Xiong Dun] looked at his mother, and his mood instantly plummeted.
1:23:14|1:23:22|The next day, [Xiong Dun] appeared at the door of [Doctor Liang]'s office with a bowl of dumplings in her hands. She knocked on the door cautiously, but there was no response.
1:23:22|1:23:29|She had just placed the bowl of dumplings on Doctor Liang's table when voices were heard outside the corridor. Xiong Dun quickly picked up the dumplings.
1:23:29|1:23:38|Hiding in the corner of the office, he pulled down the curtain.
1:24:46|1:25:2|She took off her hat and wig without any hesitation, revealing her bald head. Finally, like an injured kitten, she lay on the bed with her back to [Lao Zheng] and others. The words of [Doctor Liang] were like a slap in the face, waking her up.
1:25:38|1:25:40|The scene shifts, with [Xiong Dun] walking alone on the street.
1:25:40|1:25:48|She stood by the sweet potato stall, holding a steaming hot sweet potato in her hand, eating it while staring into the distance. Back in the ward, [Xia Meng]...
1:25:48|1:25:56|She took out the scarf she knitted for [Doctor Liang].
1:26:14|1:26:18|The atmosphere became awkward, [Doctor Liang] nodded slightly and then turned and left.
1:26:18|1:26:25|[Lao Zheng] and [Xiao Xia] helped [Xiong Dun] pack his luggage to prepare for discharge. Unable to resist, [Xiong Dun] looked towards the door. At that moment, [Xia Meng] walked over and sat by the bed.
1:26:27|1:26:35|Hugging [Xiong Dun], he looked at [Xia Meng] and smiled.
1:26:41|1:26:49|[Doctor Liang] and a nurse were talking about something as they walked by. [Xiao Xia] and [Lao Zheng] waved enthusiastically at [Doctor Liang], who waved back in response.
1:26:52|1:27:2|[Xiong Dun] coldly glanced at him, then quickly looked away and gazed elsewhere. [Doctor Liang] didn't know why [Xiong Dun] was ignoring him, stood foolishly on the side, watching them leave.
1:27:2|1:27:11|[Xiong Dun] and his group entered the elevator. [Doctor Liang] was not far away, looking at [Xiong Dun]. When he saw [Xiong Dun] raise her head, he quickly waved at her, trying hard to get her response.
1:27:11|1:27:17|The elevator doors were about to close, but [Xiong Dun] just stood there, looking at him with resentment and reluctance in his eyes.
1:27:17|1:27:26|[Xiong Dun] was deeply hurt by the words she heard in [Doctor Liang]'s office. She stubbornly believed that [Doctor Liang] was treating her just like any other patient.
1:27:26|1:27:32|In the evening, [Lao Zheng] was driving, with [Xiao Xia] sitting in the passenger seat, and [Xiong Dun] alone in the back seat.
1:27:32|1:27:39|She leaned against the window, chin in hand, enjoying the long-lost night view, her gaze drawn to the person on the street holding a red balloon.
1:28:8|1:28:16|At this moment, [Xiong Dun] barged in with [Lao Zheng] and [Xiao Xia], ignoring the security guard at the door. Do you speak Chinese?
1:29:8|1:29:13|In the corridor, [Xiong Dun] held [Xiao Xia]'s arm and listened silently to [Ai Mi]'s accusations.
1:29:47|1:29:54|[Xiong Dun] looked at [Ai Mi] with red eyes, unbelievably. She suppressed her grievances and anger, turned around without looking back, and quickly walked away.
1:30:3|1:30:8|At that moment, there was only [Ai Mi] left in the corridor, standing still in place.
1:30:8|1:30:16|Back at home, [Ai Mi] was packing her luggage alone, while [Xiong Dun] was in another room holding a doll, lying on the bed drawing, listening to [Ai Mi]'s movements.
1:30:16|1:30:25|[Ai Mi] pulled the suitcase and stopped at the door of [Xiong Dun]'s room, reaching out to knock. [Xiong Dun] put down the paintbrush, sitting up excitedly.
1:30:25|1:30:38|Xiong Dun waited expectantly for Ai Mi's next move, but Ai Mi hesitated, put her hand down, picked up her luggage, and left. Xiong Dun heard Ai Mi leaving, her expression gradually becoming lost. She looked serious, as if she had made a decision.
1:30:38|1:30:49|Picking up her phone to dial, she had a mournful look on her face as she placed the phone to her ear and said. In the blink of an eye, the plane landed.
1:30:49|1:30:54|[Xiong Dun] returned home, and his parents prepared a table full of delicious food to welcome him back.
1:30:54|1:31:0|The whole family sat around the dining table, happily raising their glasses, while [Xiong Dun] sat absentmindedly in the middle.
1:31:0|1:31:6|She forced a smile to accompany her family, trying hard to make herself happy. She started exercising and wrapped herself up tightly.
1:31:6|1:31:11|Wearing a woolen hat and gloves, with earphones on, he gets up early to go for a morning run.
1:31:11|1:31:23|She returned home and saw the door frame covered with wood grain, marking her childhood height. She couldn't help but reach out to touch it, lost in thought. She then found her childhood pencil case, filled with various erasers and small toys.
1:31:23|1:31:31|She took out an old cassette tape, with "Michael Jackson" written on it. After flipping through it, she then took out a strawberry-shaped eraser from the box.
1:31:31|1:31:38|She placed it under her nose, then under the desk lamp, where it emitted a faint light. [Xiong Dun's Mother] was preparing the meal.
1:31:38|1:31:46|Turning her head with a smile, she looked at [Xiong Dun]. [Xiong Dun] stood by the door, measured her height at the moment, and wrote down "29 years old" above. Shortly after, she returned to Beijing.
1:31:54|1:32:2|[Xiao Xia], [Lao Zheng], and [Xia Meng], holding flowers, congratulate [Xiong Dun] on his return. The room is filled with balloons, ribbons, and colorful paper.
1:32:2|1:32:10|[Xiong Dun] embraced his friends with a happy smile on his face. Everyone's life had fallen into place, even [Xia Meng] had started her career as a model.
1:32:10|1:32:18|At this moment, [Ai Mi] was sitting alone in a small restaurant in Japan, looking vacant, while [Xiong Dun] absentmindedly lay on the table drawing.
1:32:21|1:32:27|She opened the email, it was an animation video made by [Xiong Dun]. The little girl in the video had the same hairstyle as [Xiong Dun].
1:32:27|1:32:35|Being beaten alternately by a cactus and a stick, lying on the ground crying, with the words written on top, "I can have my heart broken 10 times, but I can't lose you once."
1:32:36|1:32:43|[Ai Mi] had tears in her eyes, revealing a long-lost smile. [Xiong Dun] leaned against the window, with a solemn face, waiting for [Ai Mi]'s reply.
1:32:45|1:32:49|She picked up her phone, and [Ai Mi] replied to her, "You better live well for your mother."
1:32:49|1:32:58|[Xiong Dun] looked at the message, feeling a sudden sense of relief. Tears glistened in her eyes as she placed her phone on her chest. The two good friends finally untied the knot in their hearts.
1:32:58|1:33:7|The scene cuts to [Xiong Dun] lying on the bed drawing cartoons, suddenly, he starts coughing violently.
1:33:17|1:33:25|The constant coughing made it difficult for her to breathe, and she stood up unsteadily, walking towards the living room. She gradually became unable to stand firmly.
1:33:25|1:33:32|She bent down to support the shelf holding the fish tank. The shelf swayed under her, wobbling back and forth, and soon couldn't hold on any longer.
1:33:32|1:33:35|The shelf fell to the ground, and the fish tank also crashed to the ground.
1:33:35|1:33:47|The fish tank shattered on the ground, Xiong Dun began to feel weak and lost consciousness. At this moment, Lao Zheng rushed in, grabbed the almost falling Xiong Dun, Xiong Dun glanced at Lao Zheng, then closed his eyes and passed out.
1:33:47|1:33:56|[Lao Zheng] kept shouting [Xiong Dun]'s name loudly, but [Xiong Dun] couldn't hear. The scene transitioned to a black screen, and then [Xiong Dun] was once again taken to the hospital.
1:33:56|1:34:3|In the hospital corridor, [Xiong Dun's Father], [Xiong Dun's Mother], and [Lao Zheng] are sitting on chairs, while [Xiao Xia] stands silently by the wall.
1:34:3|1:34:11|Anxiously waiting for Xiong Dun in the emergency room, Xiong Dun's Mother sat hunched in a chair, unable to hold back her tears. Inside the ward,
1:34:11|1:34:18|[Xiong Dun] lay on the hospital bed, unconscious, while [Doctor Liang] fiddled with the chemotherapy equipment beside the bed. At that moment, [Xiong Dun] opened his eyes.
1:34:18|1:34:28|Struggling to endure fatigue and pain, [Xiong Dun] looked at [Doctor Liang] in front of him and spoke.
1:35:8|1:35:17|[Doctor Liang] smiled and reached out his hand to signal [Xiong Dun] to fist bump with him. [Xiong Dun] weakly raised his arm and extended his fingers towards [Doctor Liang].
1:35:17|1:35:24|A smile spread across the pale face. [Doctor Liang] looked at [Xiong Dun] with a smile on his face.
1:35:26|1:35:32|[Doctor Liang] finished speaking and then turned to continue working busily. [Xiong Dun] weakly opened his eyes, but his gaze kept following [Doctor Liang].
1:35:32|1:35:40|[Doctor Liang] was busy recording data, while [Xiong Dun] was busy observing [Doctor Liang]. As he watched, [Xiong Dun] fell asleep with a satisfied smile.
1:35:40|1:35:47|Shortly after, [Xiong Dun] was pushed into the MRI room for examination. [Doctor Liang] and another doctor were outside observing the imaging on the computer.
1:35:47|1:35:53|[Doctor Liang] frowned, looking at the computer screen, then worriedly raised his head and looked through the glass at [Xiong Dun] inside.
1:35:54|1:36:2|The scene cuts back to the hospital room, where Doctor Liang is flipping through Xiong Dun's sketchbook. In the sketchbook, Xiong Dun has drawn Doctor Liang with remarkable accuracy.
1:36:2|1:36:10|With his serious and unsmiling demeanor, as well as his exhausted look leaning against his forehead while sleeping, Doctor Liang glanced at Xiong Dun lying on the hospital bed.
1:36:10|1:36:16|Sitting cautiously on the stool, [Xiong Dun] sleeps restlessly, breathing heavily and occasionally tossing and turning.
1:36:16|1:36:23|[Doctor Liang] watched her attentively, paying attention to her every move, while continuing to flip through her sketchbook. The sketchbook revealed balloons and little figures once again.
1:36:23|1:36:25|Doctor Liang finished admiring the painting,
1:36:26|1:36:33|He lovingly touched the cover of the album, turned his head, and placed it on the bedside table. [Xiong Dun] gradually woke up.
1:36:33|1:36:44|She noticed someone next to her. She saw [Doctor Liang] and immediately smiled happily.
1:37:6|1:37:16|Upon hearing Xiong Dun's words, Doctor Liang fell silent. Xiong Dun noticed this.
1:37:19|1:37:31|Doctor Liang glanced at the handbag filled with balls of yarn and handed it to Xiong Dun.
1:38:22|1:38:31|[Xiong Dun], with red eyes and a choked voice, gathered up the courage to ask this question.
1:39:15|1:39:31|Doctor Liang's voice trembled uncontrollably, tears swirling in his eyes. Upon hearing this answer, Xiong Dun's tears welled up.
1:40:48|1:40:57|Upon hearing Xiong Dun's words, Doctor Liang fought back tears and nodded slightly.
1:41:20|1:41:29|With their hearts wide open, the two people, at this moment, no longer restrain themselves and laugh heartily. [Xiong Dun] bites his lip, looking at [Doctor Liang], his eyes filled with joy.
1:41:29|1:41:33|[Doctor Liang] is no exception, never before has he laughed so heartily.
1:41:33|1:41:37|The next day, [Xiong Dun] sat on the bed and watched a boxing match with [Xiao Xia] featuring [Lao Zheng].
1:42:15|1:42:24|[Xiong Dun] is standing on the stage in a beautiful dance costume. She pinches the hem of her skirt and gestures a beautiful dance move.
1:43:11|1:43:17|[Xiong Dun], dressed in travel gear and carrying a large backpack, gazes at the magnificent and colorful aurora in front of him, shining brightly.
1:43:17|1:43:21|The ever-changing beautiful light streaks across the night sky, mysterious and dreamlike.
1:43:21|1:43:28|Finally, [Xiong Dun] reached the summit of a mountain.
