0:2:44|0:2:48|Shen Lian's heart tightened as he watched.
0:48:26|0:49:3|The suspicious Chief Zheng hurried towards the document room, Shen Lian grabbed a document and quickly flipped through it. Without verifying his thoughts, he heard a commotion outside. He extinguished the candle in his hand, crouched down, and hurried to the window. Peering outside through the crack, he saw that the courtyard was empty.
0:49:4|0:49:22|Turning back to look at the incense burner, the incense was already more than half burned. Shen Lian, who received the document, gave up setting fire to the archives, put on a mask, and quickly walked out the door. But before he had taken a few steps, he found himself being watched. Chief Zheng, who was discovered behind the lamp post, walked out slowly.
0:49:34|0:49:58|[Shen Lian] heard the fast footsteps and ran straight towards the gate. [Chief Zheng], who had anticipated this, blocked his way at the door. [Shen Lian] dodged and escaped again. Suddenly, a fiery meteor-like evil wind attacked towards the back of his head. He had to crouch and dodge. [Chief Zheng] took advantage of this and closed in. With a flying kick, he missed, but closed the distance. The two engaged in close combat, with [Chief Zheng] aiming directly for the face mask. The spiked gloves lifted [Shen Lian]'s mask several times. [Shen Lian] tried to block, but was caught by him.
0:49:58|0:50:28|One push and one pull, [Chief Zheng] was unexpectedly knocked away. Without waiting to catch his breath, the fire meteor rushed in again, forcing [Shen Lian] to retreat repeatedly. When he reached the wall, he had to draw his precious sword. [Chief Zheng] swung the fire meteor fiercely, but [Shen Lian] managed to dodge it, causing it to hit the wall. [Chief Zheng] used his knee and leg to strike continuously, while [Shen Lian] kicked up a pile of sand and stones, splashing them towards [Chief Zheng] and taking the opportunity to slip away. Little did he know that the fire meteor was coming even faster.
0:50:28|0:50:35|[Shen Lian] dodged, the blade struck the iron chain of the fire meteor. [Chief Zheng] turned around and raised his hand to hook, the arm naturally couldn't twist past the thigh.
0:50:35|0:50:42|The ignited fire meteor struck [Shen Lian]'s chest, unable to get up in time, [Shen Lian] rolled to the side, dodging another blow.
0:50:42|0:51:3|Taking advantage of Chief Zheng's just finished move, Shen Lian leaped and kicked horizontally, forcing the opponent to turn his head to dodge. Shen Lian engaged in close combat, but Chief Zheng blew a flame from the hollow meteor, sparks flying everywhere. Shen Lian had to crouch and dodge, almost being seen clearly by Chief Zheng. Shen Lian re-tied her veil, while Chief Zheng swung the iron chain to release the meteor, which was caught by Shen Lian this time.
0:51:3|0:51:13|Chief Zheng lunged to grab the steel ball at the other end of the meteor hammer, but missed, only sparking a fire on the wall. Just as Shen Lian was about to escape, he was hit hard by the fire meteor hammer, knocking over the lamp post in the courtyard.
0:51:13|0:51:39|[Shen Lian] fled to the document room, but [Chief Zheng] was a step behind. Unable to climb through the window, he used a fire meteor on his foot to smash open the front door. Inside, [Chief Zheng] searched around but found no trace of [Shen Lian]. He prepared himself for an ambush, lifting the hollow meteor and blowing on it to use the sparks to survey the surroundings. Suddenly, [Shen Lian] attacked from the shadows.
0:51:39|0:51:46|Chief Zheng was caught off guard and his helmet was split open, causing a spark to ignite the alcohol on the ground.
0:51:46|0:52:1|In an instant, the fire spread rapidly, shocking the two with the scene before them. [Shen Lian] shot a cold arrow, Chief Zheng dodged it, and the sword was nailed to the bookshelf behind. With a pull, Shen Lian knocked down the bookshelf, narrowly missing Chief Zheng.
0:52:2|0:52:9|He kept knocking down bookshelves one after another, while Chief Zheng threw out a fire meteor hammer, but it got entangled firmly on the bookshelf.
0:52:9|0:52:34|He picked up the steel ball at the end of the attack, [Shen Lian] used the force to strike, nailing it into the bookshelf. However, [Chief Zheng] lifted the veil, [Shen Lian] chopped at the chief's wrist guard with a knife. Seeing the situation was not good, [Chief Zheng] ran away, [Shen Lian] picked up the fire meteor and chased after. The guards outside the door came for another patrol, [Chief Zheng] stumbled out with support, and as the incense at the door was about to burn out, [Chief Zheng] was just a step away from the door.
0:52:34|0:52:38|As soon as he opened the door, a fire meteor immediately flew in and hit him on the back of his head.
0:52:38|0:53:3|[Shen Lian] caught Chief Zheng who fell to the ground, then gently closed the outer door. Surprisingly, the guards on patrol did not notice anything unusual. [Shen Lian] was needlessly alarmed. When he turned around, he saw Chief Zheng foaming at the mouth on the ground. Meanwhile, the fire in the document room nearby was getting more intense. It was not safe to stay there for long.
0:53:4|0:53:29|On this clear morning, [Shen Lian] walked through the streets and alleys to the newly opened Qingfeng Teahouse. His destination was naturally the appointment with [Ding Baiying]. As he entered, she was seated on the grand master's chair, [Ding Baiying] gestured with her hand. Suddenly, a dozen henchmen appeared in the teahouse, including the border general [Ding Tai] and the female disciple [Ding Chong].
0:53:45|0:53:56|In the inner room, [Bei Zhai] peered through the crack to observe the situation in the hall. [Ding Baiying] stood up, picked up the precious sword beside him.
0:54:8|0:54:26|Shen Lian, a member of the Embroidered Uniform Guard, guessed that there was another mastermind behind the scenes. Ding Baiying no longer hesitated, drew out her precious sword, and her subordinates also became restless. After some consideration, Ding Baiying didn't dare to take risks and could only retract her precious sword.
0:54:26|0:54:32|Leaving the teahouse, [Shen Lian] walked through the bustling streets and headed straight home.
0:54:32|0:54:46|But as soon as he entered, the black cat in the courtyard became restless. The docile cat arched its back and howled towards the inner room. [Shen Lian] became alert. He entered the room, looked around, and saw nothing unusual.
0:54:48|0:54:56|Close the door, holding a knife, walked towards the room, where [Pei Lun] and [Bei Zhai] were actually drinking tea.
0:55:21|0:55:39|[Shen Lian] couldn't bear to see [Bei Zhai] leave like this. The plain bowl of white noodles was delicious to [Pei Lun], who ate it all up, soup and noodles, feeling comfortable as he set down his chopsticks.
0:56:15|0:56:34|[Pei Lun] pushed the note to [Shen Lian], who picked it up from the table and opened it for inspection. The note read, "Mingshifang Jinling Building, waiting for the official, signed not by others, but by the present Mr. [Bei Zhai]."
0:57:3|0:57:11|Shen Lian couldn't help but feel nervous. This painting is now solid evidence of the party's conspiracy.
0:57:48|0:58:1|[Pei Lun] stood up unhappily, carrying a knife, and strode out of the room until he reached the gate. As soon as he took a step forward, [Shen Lian] hurried to catch up, while [Bei Zhai] on the side finally breathed a sigh of relief.
0:58:36|0:59:7|[Shen Lian] recalled that night, feeling a sudden loss of anger. He guiltily pursed his lips, lowered his brows, and stopped making eye contact with [Pei Lun]. With a cold laugh, Pei Lun turned and strode out the door. Shen Lian had no choice but to grit his teeth and return to the inner room. He first needed to find the mastermind behind these two cases. Dragging [Bei Zhai] into the study, they found the once tidy room now in complete disarray. Shen Lian asked,
0:59:8|0:59:21|[Bei Zhai] tossed her hair back and spoke arrogantly, which immediately ignited the anger of [Shen Lian]. [Shen Lian] had ways to deal with her.
0:59:23|0:59:32|On the lake, [Shen Lian] sits in front of a small fishing boat, tying [Bei Zhai]'s feet to the anchor and tearing the seal off [Bei Zhai]'s mouth.
1:0:23|1:0:38|[Shen Lian] kicked the anchor off the ship, then drew the Embroidered Spring Knife. The anchor's hemp rope slid rapidly down as [Bei Zhai] embraced death with a sense of returning home.
1:0:42|1:0:48|With tears welling up in his eyes, [Bei Zhai] looked resolute, displaying a righteous and determined demeanor.
1:0:53|1:1:26|The coiled rope was pulled down with a swish, dragging [Bei Zhai] into the water by the anchor. [Shen Lian] stared straight ahead, his eyes filled with determination as he glared at the cabin. Gradually calming his inner turmoil, [Shen Lian] furrowed his brow in dissatisfaction. This was not the outcome he desired. With a leap and a firm grip on his knife, he plunged into the lake, vigorously swimming downstream with outstretched arms. The sunlight illuminated the lake water, and he searched for [Bei Zhai]'s figure.
1:1:26|1:1:32|Finally, separated by a dreamlike bubble, he seemed to see her, and then he wielded his sword and paddled over with all his might.
1:1:32|1:1:37|At this moment, [Bei Zhai] had his eyes closed, with disheveled hair, looking as if he were asleep.
1:1:37|1:2:2|[Shen Lian] approached and took her arm, heading upstream. Before long, [Bei Zhai] was rescued onto the boat. [Shen Lian] helped her lie down slowly in the cabin. He looked at the unconscious [Bei Zhai] and couldn't say a word. In the afternoon, the two sat in the cabin by the shore.
1:2:25|1:2:33|[Shen Lian] frowned, feeling a bit guilty in his heart.
1:2:38|1:2:44|[Bei Zhai] sat with knees drawn up, gazing into the distance at the lake.
1:2:57|1:3:11|On the side of the Beizhen Fusi, [Lu Wenzhao] hurried over. Upon entering, the Jin Yiwei inside were in low spirits and dared not lift their heads, while several captains also looked dejected.
1:3:15|1:3:25|The Deputy Commander Bei Zhai gestured for Lu Wenzhao to check on Chief Zheng, only to see Chief Zheng lying on the makeshift bed with a pale face and bruises all over his neck.
1:3:44|1:3:56|Bei Zhai slapped away the tea brought by Qianhu Jinglai with one palm, and Lu Wenzhao noticed that Chief Zheng's lips seemed to be moving. He stepped forward, leaned in, and listened carefully.
1:4:3|1:4:39|The Lord Commander lifted [Lu Wenzhao]'s head and leaned in to listen, but unfortunately, [Chief Zheng] had already fallen into a deep coma at that moment and couldn't hear anything. [Bei Zhai] stared intently at [Lu Wenzhao], who remained composed and acted convincingly. Realizing that the person had suffered a brain injury, [Bei Zhai] didn't expect to find any clues. Inside the case files, the Jinyiwei were busy cleaning up the aftermath. [Pei Lun] picked up a piece of paper from the ground and examined it, furrowing his brow as he pondered.
1:4:39|1:4:43|He picked up the scroll and found [Lu Wenzhao].
1:5:18|1:5:51|[Lu Wenzhao] listened, couldn't help but purse his lips, nodded very moved, reached out to tidy up [Pei Lun]'s collar, and the one who leaped down from the roof was [Ding Baiying] - [Ding Baiying], along with her two disciples [Ding Chong] and [Ding Tai]. [Pei Lun] was not easy to deal with either, turned around with a proud face and drew his sword. Before finishing his words, he was stabbed in the back by [Lu Wenzhao].
1:5:51|1:6:18|[Pei Lun] turned around in pain, weakly swung his knife, easily dodged by [Lu Wenzhao]. He covered his wound, looked at the blood on his hand, angrily and puzzledly stared, then turned to [Ding Baiying]. Hearing the sound, [Ding Chong] leaped up and kicked horizontally. [Pei Lun] dodged by shrinking his head, but was hit by a shield, then lunged forward and collided with [Ding Tai]'s spiked club, spitting blood on the spot.
1:6:19|1:6:36|The two of them moved back and forth, cooperating with each other. The severely injured [Pei Lun] couldn't hold on any longer, spitting blood as he struggled to prop himself up. [Ding Tai] approached, wielding his spiked club high, on this night,
1:6:59|1:7:9|He grasped an important clue all of a sudden, stood up from the cabin, vaguely discovered the monstrous conspiracy to assassinate the emperor, and realized that the mastermind behind the scenes was playing a big game.
1:7:9|1:7:19|[Bei Zhai], [Lu Wenzhao], and [Ding Baiying] must be like grasshoppers on the same line. As for whether they know each other privately and what their relationship is, that remains unknown.
1:7:19|1:7:44|[Shen Lian] looked at [Bei Zhai] on the stone steps, his mind filled with thoughts. Faced with [Shen Lian], [Bei Zhai] also felt extremely conflicted, so he could only turn his head away and gaze upstream at the river. At that moment, a figure could be vaguely seen in the distance, floating down the river. [Bei Zhai] stood up to get a better look, while [Shen Lian] hurried over. The figure turned out to be the miraculously surviving [Pei Lun], who was taken back inside by the two of them for care.
1:7:44|1:7:48|The wolf's teeth club left a bloody hole in him.
1:7:48|1:8:7|At that moment, as Ding Tai swung down with all his might, Pei Lun had to roll to avoid it. But before he could run a few steps, he was chased down and kicked over. Just as Ding Tai was about to end the fight, Pei Lun swiftly shot out a hidden sleeve sword, stabbing into Ding Tai's neck. Ding Baiying rushed forward to support his disciple, but when he looked up again, Pei Lun had already taken the opportunity to escape.
1:8:7|1:8:21|The room was pale, and Pei Lun, sweating profusely, suddenly opened his eyes, ready to defend himself, only to find Shen Lian helping him lie down slowly, while Bei Zhai stood by with medicine powder, calm as a cicada.
1:8:30|1:9:4|[Pei Lun] looked around in confusion and pain, while [Bei Zhai] was extremely afraid of this Jinyiwei, focusing on treating the wounds. Hearing this, [Bei Zhai] couldn't help but look towards [Shen Lian]. Despite being seriously injured, [Pei Lun] perked up upon hearing [Bei Zhai], raising his eyebrows and drooping his eyelids in disbelief. Suddenly, there was a commotion outside the door.
1:9:4|1:9:20|[Shen Lian] locked the door and walked out, only to find his immediate superior [Lu Wenzhao] standing in the courtyard. With a clear understanding of the situation, [Shen Lian] approached slowly.
1:10:8|1:10:17|[Lu Wenzhao] walked over with a displeased look in his eyes, while [Shen Lian] remained resolute, not giving an inch.
1:11:0|1:11:5|Shen Lian looked at the hand resting on his shoulder by Lu Wenzhao and remained silent for a moment.
1:11:18|1:11:34|[Shen Lian] seized upon a crucial detail, indicating that the master behind must have a deep affection for [Bei Zhai]. Such an embarrassing statement unexpectedly came from [Shen Lian].
1:11:34|1:12:1|The cunning [Lu Wenzhao] drew his sword, facing off against [Shen Lian], who just stared back at him without making a move. Their paths diverged, and despite harboring resentment, [Lu Wenzhao] couldn't voice it out. Frustrated, he quickened his pace, sheathed his sword, and left the premises. [Shen Lian], however, remained vigilant, looking up at the wall. Suddenly, a soldier with a musket appeared on the wall.
1:12:3|1:12:9|[Shen Lian] decisively crouched down to dodge, and the gun smoke scattered in the small courtyard filled the air recklessly.
1:12:9|1:12:19|[Shen Lian] crouched behind the small garden surrounded by giant rocks, afraid to lift his head, while soldiers outside took turns clearing the accumulated gunpowder in the firelocks.
1:12:19|1:12:50|Seemingly determined to level this house to the ground, [Lu Wenzhao] turned his back, his eyes vacant and silent. The black cat on the tree was hit and fell, suppressed by the firepower. [Shen Lian], anxious as ever, had shared many difficult moments with this cat. Suddenly, the gunfire stopped, but [Shen Lian] dared not delay. Peering through the branches, he saw no trace of the soldiers.
1:12:50|1:12:57|Soldiers carrying long spears burst through the door. [Shen Lian] quickly picked up the black cat and fled into the house. Just as he was about to push the door closed, the soldiers forcefully pushed it open.
1:12:57|1:13:20|Fortunately, preparations had been made earlier by sprinkling gunpowder on the door frame. He cut the rope, knocked down the lampstand, and the raging fire formed a barrier. Seizing the opportunity, he entered the inner room, lifted the kang headboard, and prepared to enter the underground passage. Before leaving, he couldn't bear to lightly stroke the black cat. The front room had already been burned down. [Shen Lian] called out, and only in this secret passage, [Bei Zhai] held the lamp, supporting the seriously injured [Pei Lun], and the three of them quickly fled.
1:13:21|1:13:51|On this stormy night with lightning flashing across the sky, the night watchmen on the streets rode their horses wildly, but no one expected that [Shen Lian] and his group would escape into the Jinling Tower. At this moment, he was holding a lamp, pondering over the situation. He casually flipped through the Shipbuilding Records lying on a simple mat, and immediately recognized [Pei Lun]. When he woke up, [Shen Lian] extinguished the lamp, glanced at the sleeping [Bei Zhai], and then tucked the Shipbuilding Records into his arms before lying down peacefully.
1:13:53|1:14:22|The rain fell as night descended on the capital city. A hand was just pulled out of Shen Lian's arms, holding a construction record, only to be firmly caught by Shen Lian's wrist. He lifted the lamp to take a look, and it turned out to be Bei Zhai. Shen Lian pushed her hand away, and Pei Lun joined in the commotion. Shen Lian glared at him fiercely, and Pei Lun backed off, feeling disgruntled, and turned away.
1:14:22|1:14:37|[Bei Zhai] moved his wrist, it seemed that the previous capture was ruthless. [Shen Lian] stood up and walked towards the second floor of the inn. It was destined to be a sleepless night. [Pei Lun] appeared on the second floor at some point.
1:14:54|1:15:27|But on the stairs, [Bei Zhai] was quietly sitting, eavesdropping on the conversation between the two. [Pei] took over for [Shen Lian] and expressed his thoughts. Suddenly, there was a commotion downstairs. [Shen Lian] quickly went down the stairs and realized something was wrong. [Bei Zhai] ran away. It was another stormy night, and [Bei Zhai] slipped away right under his nose once again. In the alley, [Bei Zhai] heard the horses neighing and dared not move forward.
1:15:27|1:15:54|It's no surprise that [Lu Wenzhao] sent people to search for the three of them. Startled, [Bei Zhai] turned back and, in the flash of lightning, caught a glimpse of the reassuring face of [Shen Lian]. Just as [Bei Zhai] was about to flee, the sound of hooves rang out again. She pressed tightly against the wall, her eyes showing a hint of panic. Seizing the moment when the carriage had just passed, [Bei Zhai] dashed into the rain and crossed the road. But just as [Shen Lian] reached the entrance of the alley, she heard...
1:15:58|1:16:7|The soldiers stationed in front, [Shen Lian] and [Bei Zhai] could only face each other across the road, pouring rain drenching them both.
1:16:7|1:16:27|[Bei Zhai] knew that [Shen Lian] wouldn't be able to catch up this time. The wide road now seemed like an insurmountable barrier. [Shen Lian] just furrowed his brow and cast a fierce glance in that direction. The soldiers were huddling under the eaves, warming themselves by the fire and seeking shelter from the rain. He gazed at [Bei Zhai] with a complex expression, unable to express his feelings towards [Bei Zhai].
1:16:27|1:16:35|Forcing him into a dilemma, but what can he do even if he catches up with the person? The book thrown out from his arms was thrown out with force.
1:16:35|1:16:41|Left at the feet of [Bei Zhai], she picked it up with a puzzled expression, wiped off the rainwater on it, and took a closer look.
1:16:41|1:16:52|It was the moment when the construction plans of the treasure ship were revealed, but when she looked up again, the figure was nowhere to be seen. Looking at the empty alley, her heart suddenly felt empty, as the thunder began to roar.
1:16:52|1:16:57|[Bei Zhai] wiped the rain off his face and ran towards the depths of the alley.
1:16:57|1:17:6|The next morning, while the dust from the Eastern Investigation Office had not yet settled, a major incident occurred inside. [Wei Zhongxian] was seated high under the plaque.
1:17:23|1:17:34|[Ling Wenzhao] on the ground slowly lifted his head to look at [Wei Zhongxian]. Seeing [Wei Zhongxian] silent, he lowered his head and started to calculate in his mind, pretending to look extremely disgusted.
1:18:15|1:18:18|[Bei Zhai] squeezed into the crowd on the street, looking at the posted notices.
1:18:34|1:18:46|[Shen Lian] turned around and saw [Pei Lun], who was still heavily injured, looking even paler. Suddenly, they heard something and quickly hid behind a pillar to look out, as the door was pushed open.
1:18:46|1:18:57|[Shen Lian] held a knife in his hand, ready to strike at any moment, but the person who entered turned out to be [Bei Zhai]. [Pei Lun] breathed a sigh of relief, finally regaining the bargaining chip in negotiations.
1:18:57|1:19:4|Minister Wei Zhongxian twirled the beads in his hand, looking thoughtfully at Lu Wenzhao kneeling in front of him.
1:19:22|1:19:40|[Lu Wenzhao] is no match for [Wei Zhongxian]. [Lu Wenzhao] incredulously stared, while [Wei Zhongxian] slowly stood up, then quickly lowered his head.
1:20:29|1:20:43|This is everyone's wish, but it only stops at being a wish. Not many people dare to do it, and it may not be achievable. Only a few people can move the great mountain of the eunuch party.
1:21:22|1:21:48|That day, in the Qingfeng Teahouse, [Ding Baiying] arrived with a knife, his men in the hall were in disarray, all because of [Shen Lian]. He held up his hands with the knife and scabbard to show sincerity, eventually persuading [Ding Baiying]. In the evening, [Shen Lian] was blindfolded and taken to this mansion, where [Ding Baiying] removed his blindfold and loosened his bindings with a drawn knife.
1:21:52|1:22:0|Kneeling next to [Shen Lian] after receiving the knife, [Bei Zhai] remained vigilant without any relaxation, still holding the knife to guard against [Shen Lian].
1:22:36|1:22:45|On the other side, Pei Lun brought Bei Zhai to the entrance of the East Factory. The two of them hid in the nearby alley. As Bei Zhai was about to peek out, Pei Lun immediately pulled him back.
1:22:52|1:22:58|King Xin picked up the construction record of the treasure ship on the table and threw it into the brazier.
1:23:28|1:24:1|In the end, he took the knife and left. In the room, only [Shen Lian] and the King of Xin were left. One sitting and one standing, with a brazier in between, the two men from the East Factory were still waiting. [Bei Zhai] seemed to have come from nowhere with confidence, which caught [Pei Lun] off guard. [Bei Zhai] disdainfully glanced at him, while [Pei Lun] boldly broke the ice.
1:24:24|1:24:41|King Xin squatted slowly beside [Shen Lian], staring at him intently, as if trying to see some secrets from his eyes. It was obvious that those who wanted to inherit the throne were not so easily deceived.
1:24:52|1:24:58|King Xin has already received the answer he wanted. He stood up and said,
1:25:1|1:25:24|King Xin drew out his precious sword, [Shen Lian] recalled the day they first met, the reason was legitimate enough, and rare was King Xin's willingness to believe.
1:25:34|1:25:53|[Shen Lian] reached out and received it, Trustworthy Wang, but was unwilling to let go. [Shen Lian] stared at Trustworthy Wang with his eyes. This time, he let go himself. Trustworthy Wang turned back helplessly. Emperors in the world have always been ruthless.
1:26:2|1:26:44|The King of Xin pointed his sword directly at [Shen Lian]'s eyes. [Shen Lian], who crawled out of the pile of dead bodies, was not afraid of this situation. He stood up, walked to the front of the sword, looked at the tip of the sword and then at the King of Xin. The King's eyes were cold, but [Shen Lian] was not to be trifled with. He reached out and grabbed the back of the sword, snatching it from the King of Xin's hand. As the King failed to hold on, he picked up the scabbard. [Shen Lian] took the token and seemed to receive a secret signal.
1:26:47|1:27:5|[Shen Lian] didn't dare to be careless, immediately crashing through the window to escape. Prince Xin closed his eyes in pain. Outside the East Factory, [Pei Lun] stood up, reminding [Bei Zhai], who could only feel anxious.
1:27:5|1:27:12|Lu Wenzhao and Ding Baiying, siblings from the Xing Wang Mansion, rushed over.
1:27:22|1:27:59|Right and wrong, the well-being of the world, what can compare to a loved one? The King of Xin reluctantly closes his eyes, [Lu Wenzhao] stands up and bows before leaving. The King of Xin lowers his head, emotions and reason conflicting in his heart. [Ding Baiying] also feels embarrassed, having previously vouched for his senior brother [Lu Wenzhao], silently following his footsteps as they leave the mansion. Only the lonely King of Xin remains, while the books in the brazier burn brightly.
1:28:0|1:28:27|Fleeing Shen Lian hurriedly ran to the Eastern Depot, afraid of making a big mistake if he was a step too slow. When he arrived at the agreed place, he saw no one. Drawing his sword, he approached and leaned against the wall to observe the situation at the Eastern Depot. He saw a row of guards standing at the door, holding torches and guarding the gate. He thought of fighting to the death; the voice must be Bei Zhai. Shen Lian slowly turned around, only to see Pei Lun and Bei Zhai.
1:28:27|1:28:44|[Bei Zhai] breathed a sigh of relief, the joy in his eyes could not be hidden. [Shen Lian] smiled thankfully, knowing that time waits for no one. The next day, they boarded the ship to set sail. The boat was not large, more like a small skiff. [Shen Lian] spent his life as a boatman in armor, while [Bei Zhai] had the appearance of a refined lady.
1:28:44|1:28:52|[Shen Lian] rocked the boat, vigilantly surveying the surroundings,
1:29:14|1:29:30|[Shen Lian] stopped and looked at [Bei Zhai]. [Bei Zhai] knew that this man was carefully protecting his own heart. [Pei Lun] absentmindedly touched his Book of Changes, the soft leather cover had been with him for a long time.
1:29:32|1:29:53|He disdainfully shouted and threw him into the lake, completely abandoning his identity as a Jin Yi Wei. In the Golden Fish Alley, a distinguished guest arrived at the mansion of [Wei Zhongxian], exuding an otherworldly aura in his luxurious attire. Unlike the aging [Wei Zhongxian] with his disheveled white hair, this man is none other than Prince Xin.
1:30:47|1:30:59|[Wei Zhongxian] discussed the terms with the prince. The prince knelt before [Wei Zhongxian] in desperation. [Wei Zhongxian] walked towards him slowly.
1:31:8|1:31:25|The grief-stricken King of Xin, tears welled up in an instant. He twitched his mouth but couldn't utter a word, just sobbing and bowing his head, his body involuntarily trembling.
1:31:25|1:31:37|The cunning [Wei Zhongxian] naturally wouldn't easily trust anyone. He stepped forward and grabbed [King Xin]'s arm, causing [King Xin] to lift his tear-streaked face.
1:31:42|1:31:50|Upon hearing this, [Wei Zhongxian] helped [Prince Xin] up with both hands and helped him to his feet.
1:32:11|1:32:19|[Wei Zhongxian] slowly backed away, his gaze fixed firmly on him, before turning around and sitting down in front of the chair.
1:32:24|1:32:39|[King Xin] immediately bowed with folded hands, burying his head low, unable to contain his anger any longer.
1:32:43|1:32:49|[Shen Lian] glanced at the sleeping [Bei Zhai], the two of them were looking at the map to choose a route.
1:33:15|1:33:25|The spirited horses galloped along the path as three individuals embarked on their escape journey. Passing through the wilderness, they encountered human skulls by the roadside, accompanied, of course, by a flock of crows.
1:33:27|1:33:39|Three people slowed down and arrived at a small town, but the town was deserted, with a few houses with open doors already filled with white bones. Overwhelmed by exhaustion, [Bei Zhai] collapsed.
1:33:39|1:33:59|[Shen Lian] dismounted in a hurry to check, realizing that night had fallen without a single light visible in the small town. The three of them were repairing in a farmhouse, the fire in the stove warming up the room. When [Bei Zhai] woke up, [Shen Lian] quickly approached her, wiping the sweat off her face.
1:34:18|1:34:25|[Shen Lian] frowned seriously, [Bei Zhai] slowly raised her eyes, the firelight reflected on her pale face, and she weakly said
1:34:41|1:34:52|She propped up her weary almond eyes with force, while [Shen Lian] looked at him with great concern. The two by the fire, one leaning against the cabinet, the other supporting their body, just stared at each other like this.
1:34:52|1:34:55|Shen Lian suddenly heard a commotion outside the door.
1:34:58|1:35:18|He carried a knife and went out to check the situation. The moonlight was bright, the courtyard was unpredictable. [Shen Lian] alertly walked towards the door. Suddenly, a person leaped down from the roof beam and attacked [Shen Lian] aggressively. It was [Ding Chong]. As she swung her knife, suddenly an iron rod flew in and hit [Ding Chong] on the head.
1:35:30|1:35:56|[Ding Chong], knowing he was no match, ignited a bomb, intending to die with the two. Fortunately, the two reacted in time, minimizing the impact. However, the bomb revealed their location to the pursuers. [Shen Lian] mounted his horse, carrying [Bei Zhai] and [Pei Lun] in different directions. In the forest path, a figure lay low on a horse, taking advantage of the night to attack. The masked figure raised a musket in the dark.
1:35:56|1:36:8|The figure falling off the horse in the scene turned out to be [Shen Lian], using [Ding Chong]'s body to scout ahead. The masked man was caught off guard, and before he could react, [Shen Lian]'s crossbow arrow had been released, taking the masked man's life with the wind-carried arrow.
1:36:8|1:36:33|[Shen Lian] embraced [Bei Zhai], loaded the crossbow bolts, and several masked men once again attacked. Taking advantage of the fire's light, [Shen Lian] locked onto one of them and shot him dead. The pursuers on horseback charged forward with a roar, and [Shen Lian] drew his embroidered spring knife, delivering a horizontal strike. [Shen Lian] leaned down to dodge, then turned around to deliver a kick to the horse's leg. The pursuer tumbled into the jungle, falling off the horse.
1:36:33|1:36:45|Without waiting for [Shen Lian] to catch his breath, the pursuers with spears quickly arrived. As the saying goes, inch by inch is strong, they immediately engaged in battle. With [Bei Zhai] to consider, [Shen Lian] found it difficult to gain the upper hand and had to spur the horse to try to increase the distance.
1:36:45|1:36:58|The spear pointed directly at the back of [Shen Lian], but at a critical moment, [Pei Lun] rushed out from the side and knocked him down along with his horse. It turned out that [Shen Lian] had already planned for this, seeing that the rendezvous point was within reach, choosing to avoid fighting.
1:36:58|1:37:22|Although [Pei Lun] arrived in time to break the siege, it was only a matter of time before the pursuers caught up. The group dared not relax, continuing to move forward under the moonlight. As dawn broke, [Shen Lian] grabbed the reins, and the three of them anxiously looked ahead. In front of them was a canyon, with only a narrow vine bridge connecting the two banks. [Pei Lun] urged the horses onto the bridge.
1:37:22|1:37:34|The horse's feet seemed to be made of iron nails, refusing to take a single step forward, [Pei Lun] tugged at the reins, no matter how hard he tried, the horse remained indifferent.
1:37:34|1:37:51|Pei Lun looked at the hundred-meter suspension bridge hanging from the vine, feeling a sense of desperation. He had to turn back and discuss countermeasures with [Shen Lian]. The three of them were already in a dilemma.
1:37:51|1:37:58|Not far away in the woods, the sound of horses neighing could be heard. The pursuers were approaching, masked and armed with swords, riding swiftly on their steeds.
1:38:26|1:38:39|The two arrived at the bridge, where he gently pushed [Bei Zhai]. [Shen Lian] urged in a stern tone, and [Bei Zhai] turned and walked onto the drawbridge. In a huff, he took big strides forward, but stopped halfway.
1:38:39|1:39:3|She turned back and shouted, [Shen Lian], who had just turned around, was taken aback. He hesitated for a moment, turned back, and [Bei Zhai] said seriously. [Shen Lian]'s expression was somewhat complicated. Now he only knew the name of this girl who had touched his heart. He gritted his teeth and shouted this sentence. When will they meet again after this parting?
1:39:5|1:39:12|Watching her back, [Shen Lian] felt a bit teary-eyed. Pei Lun threw the precious sword to them, and the two turned around to face the enemy.
1:39:16|1:39:32|The newcomer came aggressively, Pei Lun secretly pulled up the trip rope, [Shen Lian] ran up to jump, and cut off the pursuer's arm with a knife. The masked man attacked again, Pei Lun dodged in time, and the opponent unexpectedly rushed down the gorge.
1:39:32|1:39:55|[Shen Lian] walked forward with a knife, made a move to the waist, and took down the enemy who stumbled due to the horse rope. [Lu Wenzhao] and his sister rushed in with their troops. On the other side, in the majestic imperial palace, Prince Xin, dressed in luxurious attire, looked despondent. Pei Lun idly twirled a stick in front of the drawbridge.
1:39:57|1:40:30|[Lu Wenzhao] dismounted, drew the long knife hanging on the horse's belly, and the siblings advanced slowly together, with the surrounding soldiers following closely in a encircling formation. Pei Lun took a puff of his pipe and tucked it at his waist. The woman had already crossed the bridge. [Lu Wenzhao] whispered, [Shen Lian] looked confidently at Pei Lun. The masked man raised his knife and charged. [Shen Lian] swiftly slashed left, stepped right, as fast as a tiger descending a mountain, fierce as a wolf among sheep.
1:40:30|1:40:39|Pei Lun wielded his iron staff skillfully, creating a fierce wind. Faced with the combined attack of the masked men, Pei Lun swung his hands again and overturned them.
