0:0:26|0:0:31|The family consists of thirteen members, and today is the annual New Year's Day.
0:58:18|0:58:23|Worried that her daughter's self-esteem would be hurt, [Mother] Mrs. Cheng spoke up for her daughter first.
0:58:40|0:58:50|Cheng Ping's tone was mixed with pleading and helplessness.
0:58:50|0:58:52|At this moment, [Mother] Mrs. Cheng also spoke up for him.
0:59:3|0:59:4|Facing the persuasion of the children.
0:59:4|0:59:8|[Father] Uncle Cheng remained indifferent throughout, not even changing his posture.
0:59:8|0:59:12|At this moment, [Younger Son] Cheng Yong woke up and quickly ran to another room to wake up Xiao Feng.
0:59:19|0:59:28|Xiaofeng slowly got up in a daze, poking her head out from under the blanket. Then, Ding Tu walked into the room and took out something from his hand, intending to give it to Xiaofeng.
0:59:28|0:59:32|She sneaked in while Xiaofeng was combing her hair, took out two round boxes from the pocket of her suit.
0:59:36|0:59:43|Xiaofeng shook off the person and ran out in a hurry, while Bingtu secretly placed two round boxes on the table.
0:59:43|0:59:49|In the house, the innocent Nao Nao didn't know what had happened, so he quietly whispered in the ear of [Mother] Mrs. Cheng.
0:59:51|0:59:58|Mrs. Cheng looked up and saw a few tears sliding down Mr. Cheng's face, forming a clear boundary with his dry skin.
0:59:58|1:0:3|Uncle Cheng spoke, his tone mixed with shock, as Cheng Ping's expression changed.
1:0:3|1:0:11|The other family members were all extremely happy. Cheng Yuan was the first to run out to inform Father Qian, who had been standing outside for a long time and was frozen.
1:0:12|1:0:16|Cheng Yuan ran towards [Da Chuan] in a hurry.
1:0:16|1:0:19|[Da Chuan] threw his hat and quickly led the motorcycle into Chengjia.
1:0:19|1:0:24|He had been waiting for this moment for too long, and the heavy motorcycle now seemed incredibly light.
1:0:24|1:0:29|Cheng Yuan helped [Da Chuan] carry things, and when the car stopped, [Da Chuan] walked into Cheng's house.
1:0:41|1:0:44|Uncle Cheng heard the sound and walked out of the room.
1:0:44|1:0:48|The road wasn't long, but Father's steps became heavier.
1:0:48|1:0:52|He stood still for a moment, then walked into the crowd.
1:0:57|1:1:4|The moment the words fell, a lively firecracker sound suddenly came from the roof, turned out to be lit by [Father] and [Mother].
1:1:4|1:1:15|Uncle Cheng's emotional knot finally untied, the family then took a group photo in front of the chessboard. After the laughter and joy, everyone rushed to the wedding sedan chair, and they all embraced each other.
1:1:15|1:1:21|[Cheng Ping] and [Da Chuan] then took out a coat they had prepared in advance to give to [Mrs. Cheng], who felt a little embarrassed as she held the coat.
1:1:41|1:1:45|Everyone praised [Mother Cheng] for looking good in her outfit, and then [Father Chuan] took out two bottles of wine.
1:1:55|1:2:0|Later, [Father] took out two pieces of fine fabric.
1:2:48|1:2:51|Uncle Cheng slammed the table, leaving everyone stunned.
1:3:1|1:3:11|Everyone felt puzzled and dared not disobey his orders, so they could only retreat quietly. [Middle-aged Woman] was still worried, afraid that [Middle-aged Man] would scold the Second Daughter again.
1:3:11|1:3:29|Mrs. Cheng closed the door and stood outside, struggling to tiptoe. Unfortunately, the window was covered with paper, so she couldn't see or hear anything. She had to take off her coat and leave. Inside the house, Mr. Cheng spoke first. Cheng Ping and Da Chuan then walked to Mr. Cheng's left and right, sitting with their backs to him.
1:3:32|1:3:40|Glancing back from time to time, the expression on [Mother]'s face was solemn and fearful.
1:4:0|1:4:3|Uncle Cheng immediately asked.
1:4:3|1:4:14|Qian [Dachuan] answered confidently.
1:4:14|1:4:17|Outside the door, upon hearing this number, [Sister-in-law] couldn't help but exclaim in astonishment.
1:4:23|1:4:28|Although everyone was sitting in the living room, they all unconsciously paid attention to the conversation happening in the room.
1:4:28|1:4:37|[Da Chuan] raises his hand and places it on the table.
1:4:37|1:4:43|[Da Chuan] couldn't stand it anymore, he suppressed his anger and replied.
1:4:43|1:4:48|Chong [Uncle] lowered his head dejectedly.
1:4:54|1:5:9|This speech left [Father] speechless, and he nodded in self-reproach, pursing his lips and pulling a bitter smile.
1:5:9|1:5:12|Cheng [Uncle] looked skeptical.
1:5:20|1:5:22|Cheng [Uncle] stood with nothing to say, his back turned.
1:5:22|1:5:26|Had to call in reinforcements.
1:5:26|1:5:32|At this moment, [Father] is examining the small objects in the living room, then he stands up and walks solemnly towards the room.
1:5:42|1:5:48|Uncle Cheng was obviously dissatisfied with [Ding Tu]'s answer, his mouth moved slightly, indicating disappointment.
1:5:48|1:5:51|[Ding Tu] swaggered out with his hands in his pockets.
1:5:54|1:6:3|In the living room, [Mother] got up, Xiao Feng couldn't help but laugh on the side. Seeing no movement in the room, [Mother] shrugged off her coat and walked unsteadily into the room.
1:6:3|1:6:9|In the living room, no one paid attention, everyone was doing their own thing, but she called for [Ding Tu] and he followed her in.
1:6:9|1:6:15|Inside the house, [Father] sat cross-legged, while [Big Brother] looked curiously at the new son-in-law, a gentle smile on his face.
1:6:32|1:6:42|[Qian Dachuan] didn't hide his feelings, [Cheng Dashu] just smiled and didn't say anything, picking up the cigarette box on the table and shaking it.
1:6:48|1:6:53|Chen Ping took out a match, gently struck it against the flint, and [Uncle Chen] lit a cigarette.
1:6:53|1:7:2|Later, Chen Ping passed the lighter to [Big Chuan], [Uncle Chen] took a puff of smoke and started checking the household registration again.
1:7:2|1:7:5|Uncle Chen's face, covered in wrinkles, broke into a smile.
1:7:17|1:7:28|Da Chuan was relaxed, and a small figure appeared, it turned out to be [Nao Nao].
1:7:28|1:7:39|[Nao Nao] happily takes the toy and the scene shifts to Mrs. Cheng asking about Ding Tu [Da Chuan]'s true situation.
1:7:52|1:7:59|Ding Tu carried the New Year goods, draped in a British overcoat. Before he went far, he turned back and called out to Mother Cheng.
1:8:10|1:8:18|With the promise from his mother-in-law, Ding Tu finally felt at ease, walking confidently towards the outside, occasionally looking back at Sister-in-law Cheng.
1:8:18|1:8:22|In the snowy field, [Father] is diligently chopping firewood for tonight.
1:8:22|1:8:32|[Da Chuan], tall and strong, split the firewood into two pieces with one swing of the axe, while the women inside the house were eating fruit and admiring the robust figure of [Da Chuan] in front of them.
1:8:33|1:8:41|Unintentionally, a hint of fascination appeared on the faces of the women, while [Father], who was focused on chopping firewood, completely did not notice the few women standing by the window.
1:8:41|1:8:46|In the kitchen, Mother Cheng is preparing the annual reunion dinner for everyone.
1:8:53|1:9:1|Wang Mei offered to help, which was very comforting, until she saw something in Mrs. Cheng's hand. She took a closer look and saw it was a gold ring.
1:9:1|1:9:5|Wang Mei shook the water off her hands and pulled Mrs. Cheng's hand over.
1:9:22|1:9:28|Mom, this is great. [Wang Mei] is holding onto Sister-in-law Cheng without letting go. At this moment, Cheng Ping goes outside and calls out to Big Brother [Cheng Zhi].
1:9:32|1:9:36|[Big Brother] hurried away, leaving only Dachuan to handle all the meat.
1:9:36|1:9:45|The two figures grew smaller and smaller, as Da Chuan deftly packed all the meat into the basket. The scene then returned to the kitchen, where [Wang Mei] was trying hard to conceal the gleam in her eyes.
1:10:20|1:10:23|Chengzhi left dejectedly with his hands behind his back and his head bowed.
1:10:23|1:10:32|[Wang Mei] began to talk about the store in a secretive manner.
1:10:32|1:10:37|Chengrong and Chengping are next door, both understanding Wang Mei's intentions.
1:10:37|1:10:48|Upon hearing the voice of [Wang Mei], Cheng Ping couldn't sit still.
1:10:48|1:10:49|Chengrong also joined the conversation.
1:10:55|1:10:59|Xiaofeng and Cheng Yong leave the kitchen.
1:11:23|1:11:36|In the next room, Cheng Yong brought in a radio to interrupt the conversation between [Wang Mei]. Cheng Yong turned the music up to the maximum volume, causing both Cheng Yong and Xiao Feng to cover their ears and flee in the end.
1:11:36|1:11:48|In the snowy field, [Father] was still diligently chopping wood, [Mother] walked into the house and exchanged a few words with him.
1:11:48|1:11:51|In the gap of the conversation, [Cheng Ping] walked out of the door.
1:11:55|1:11:56|[Ding Tu] took two steps forward contemptuously.
1:12:15|1:12:27|[Ding Tu] looked disdainful, showing no intention of backing down.
1:12:27|1:12:31|[Ding Tu] finished speaking and turned to leave, but [Qian Da Chuan] grabbed his British-style overcoat.
1:12:36|1:12:40|[Qian Dachuan] exerted a little force, and [Ding Tu]'s skinny figure was pushed a meter away.
1:12:40|1:12:43|His defiant expression was seen by [Cheng Ping] not far away.
1:12:43|1:12:49|[Cheng Ping] carefully walked towards the snowy slope, [Ding Tu] still caring for him.
1:12:49|1:12:53|[Cheng Ping] ignored it and just glanced back before walking straight towards [Da Chuan].
1:13:13|1:13:23|[Da Chuan] walked home with [Cheng Ping] arm in arm, while [Wang Mei] was lying on the kang cracking melon seeds, as if lost in thought. She casually spat out the melon seed shells onto the ground after finishing.
1:13:23|1:13:26|Just then, [Cheng Ping] arrived by [Wang Mei]'s side.
1:13:32|1:13:36|[Wang Mei] helps [Cheng Ping] take off his shoes while smoothing out the bedding for him.
1:13:53|1:13:55|Every night before going to bed.
1:14:42|1:14:54|Welcome, [Wang Mei] gestured for [Cheng Ping] to lie down, slowly bending down with her ear gently pressed against [Cheng Ping]'s belly. Meanwhile, in the kitchen, [Da Chuan] quietly approached [Cheng Da Niang].
1:15:31|1:15:36|[Wang Mei] just said "sorry" a second ago, and the next second she opened the box, exclaiming in surprise.
1:15:58|1:16:15|[Qian Dachuan] had a big smile on his face, took off his clothes and put them on the chair. [Wang Mei] watched him walk out of the room, touched the gold ring that couldn't be taken off with her hand, then leaned over to [Cheng Ping] and whispered, giggling uncontrollably, even jokingly patted [Cheng Ping].
1:16:15|1:16:23|In the kitchen, [Father] appeared to be the image of a househusband, bustling around in an apron, tending to the stove and chopping vegetables.
1:16:23|1:16:24|Middle-aged Woman stood behind and asked, "..."
1:16:28|1:16:35|Mrs. Cheng cracked eggs while chatting with Mr. Qian Da Chuan.
1:16:35|1:16:44|[Mrs. Cheng] paused for a moment, then added.
1:17:23|1:17:27|The [Big Brother] in front is chatting without forgetting to chop vegetables.
1:17:27|1:17:31|He looked up, his face full of gratitude and sincerity.
1:17:31|1:17:35|In the living room, everyone was lively and bustling, more than just a festive atmosphere.
1:17:35|1:17:41|Nana and Xiaofeng hung lanterns together. After the adults set up the round table, an action by [Wang Mei] caught everyone's attention.
1:18:24|1:18:27|In the kitchen, [Big Brother] is stirring the pot over a high flame.
1:18:44|1:18:52|Mom, let's have a peaceful and harmonious year this year, and set off firecrackers outside, the grandfather and grandson are doing it together.
1:18:52|1:18:56|Cheng [Father] always has a friendly smile on his face when interacting with his children.
1:18:56|1:19:3|Before long, the family gathered around to welcome the arrival of the new year.
1:19:3|1:19:6|Before long, [Big Brother] brought his specialty dish to the table.
1:19:10|1:19:16|Xiao Feng led the applause, brought Da Chun to sit down, and finally everyone was present. Cheng [Father] leisurely lit a cigarette.
1:19:16|1:19:27|When Nao Nao was about to pick up the dishes, [Wang Mei] moved her hand away and quietly reminded her.
1:19:27|1:19:28|Naonao agilely jumped off the table to pay New Year's greetings.
1:20:20|1:20:31|[Cheng Yong] took out a set of small landlord's robes for him to put on, along with a cute little hat.
1:20:31|1:20:34|Nao Nao kowtowed to everyone for half a year.
1:20:52|1:20:59|Naonao stood on the kang with a proud look, causing everyone to burst into laughter. At this moment, [Cheng Yong] raised his glass.
1:21:10|1:21:15|He paused, pretending to be relaxed.
1:22:8|1:22:13|[Ugly Mother-in-law] had a flush on her face, raised her glass and drank it all in one gulp, then covered her mouth and chuckled.
1:22:13|1:22:14|The two elders' wine glasses were just emptied.
1:22:42|1:22:56|He poured wine for the elderly couple, amidst a mix of worries and lights, [Father] held up his wine glass hand slightly shaking, [Mother] with a kind smile, [Father] took over the conversation and opened up his heart.
1:23:12|1:23:20|[Mrs. Cheng] watched anxiously from the side as the adults drank and made a ruckus. She took a sip secretly, and then [Cheng Yong] spoke up.
1:23:44|1:23:48|At this moment, [Cheng Yong] gestured for Xiaofeng to go to the room and get something.
1:24:7|1:24:11|[Cheng Yong] jokes around with everyone while holding a box with a national flag and the words "donation" on it.
1:24:18|1:24:21|Unfortunately, no one responded, leaving [Cheng Yong] feeling embarrassed.
1:24:23|1:24:26|[Cheng Yong] pointed to the comical donation box while speaking.
1:24:33|1:24:38|It's [Wang Mei]'s turn.
1:24:38|1:24:47|Da Chuan shyly offers a toast, while [Wang Mei] flatteringly raises her glass to him.
1:24:47|1:24:50|The three of them looked at each other and [Wang Mei] wiped her mouth clean with her hand.
1:24:50|1:24:54|Just as Dad was about to say something, [Wang Mei] interrupted him.
1:25:0|1:25:7|Cheng Zhi was drinking alone, and Cheng Yuan also stood up.
1:25:21|1:25:30|As soon as these words were spoken, the crowd began to discuss it. [Uncle Cheng] seemed to perk up, slowly exhaling smoke, and asked disdainfully.
1:25:50|1:25:57|At this moment, [Big Brother] stepped forward.
1:25:57|1:25:59|Cheng Yuan defended himself indignantly.
1:26:45|1:26:48|The two brothers started to argue, with neither willing to give in to the other.
1:27:7|1:27:13|Big Brother's originally kind face darkened, and Ding Tong spoke.
1:27:13|1:27:14|Cheng Yuan looked defiant.
1:27:31|1:27:39|Father's words had just fallen, and Big Brother's eyes, which were lowered, showed a hint of sharpness. The smile on his originally sun-darkened face couldn't be sustained, only pursing his lips.
1:27:41|1:27:50|Cheng Ping echoed in agreement, the wrinkles on Father's face becoming more pronounced. Everyone remained silent, and Big Brother, sensing the situation was not right, stood up first.
1:28:14|1:28:19|Father was seen holding an empty plate, rummaging through the drawers in the room.
1:28:19|1:28:23|On the other side, everyone watched as [Younger Son] got drunk and fell asleep in a daze.
1:28:23|1:28:32|Before long, [Uncle Cheng] came out carrying a plate filled with banknotes, placing it right in the center of the table. Everyone stared in astonishment at the money.
1:28:40|1:28:44|[Uncle Cheng] sat down heavily, not answering his question.
1:28:44|1:28:46|Everyone looked at each other in silence, no one dared to speak.
1:28:46|1:28:50|Only [Wang Mei] was staring at the money, licking her lips and blinking.
1:28:57|1:29:1|Speak up, [Uncle Cheng] picked up the wine and filled his own cup.
1:29:1|1:29:6|At this moment, there was a noise outside the door. [Middle-aged Woman] pointed to the window, indicating for [Cheng Yong] to go and open the door.
1:29:6|1:29:12|In the dark night, an old woman is seen standing outside the door, holding a basket.
1:29:25|1:29:36|[Ding Tu] walked out in confusion.
1:29:36|1:29:41|[Cheng Rong] heard the noise, abandoned pity and walked to the door, with a look of pain and unease in his eyes.
1:29:41|1:29:47|At the door, he caught a glimpse of [Cheng Rong] hiding on the side eavesdropping, while the old lady still remained kneeling.
1:29:47|1:29:48|Cheng Rong saw the situation and quickly helped him up.
1:30:21|1:30:25|Cheng Rong looked at the New Year goods in the hands of [Middle-aged Woman], which turned out to be prepared by their own family.
1:30:25|1:30:37|His chest felt as if it were being crushed by an invisible boulder, his mouth trembling uncontrollably, trying to hold back tears as he ran into the house.
1:30:37|1:30:40|Cheng Rong closed the door with all his might, and [Middle-aged Woman] let out a heavy sigh.
1:30:40|1:30:45|Upon returning to the room, [Cheng Rongyi] collapsed on the sofa and burst into tears.
1:31:7|1:31:9|And at this moment, [Mother] stood outside the door, at a loss.
1:31:14|1:31:17|Cheng Yong couldn't swallow this anger and started fighting with [Ding Tu].
1:31:17|1:31:23|[Ding Tu] in his former days of being well-dressed, was directly pressed to the ground and rubbed in the snow, while [Xiao Feng] watched on the side.
1:31:31|1:31:39|[Little Feng], who doesn't mind getting involved in trouble, wanted to help Cheng Yong. Unexpectedly, he jumped up, lost his balance, and the three of them fell into the snow together.
1:31:39|1:31:51|[Ding Tu] took the opportunity to press Cheng Yong and [Xiao Feng] to the ground. [Xiao Feng] cried loudly, and the three of them formed a human pyramid. Cheng Yong at the bottom was pressed down and couldn't get up, so he had to use the snow at hand to hit [Ding Tu]'s eyes.
1:31:54|1:31:58|Upon hearing such a commotion outside the door, [Father] all rushed out.
1:31:58|1:32:3|Qian Dachuan first separated [Ding Tu] from the two, then [Cheng Ping] quickly pulled up Xiaofeng.
1:32:40|1:32:43|[Ding Tu] looked down at the wig that had been pulled off the ground.
1:32:56|1:33:16|When Teng Yong and [Ding Tu] were about to fight, [Uncle Cheng] walked out of the house. The sound of him closing the door made everyone freeze in place. The angry voices and persuasions all stopped abruptly, as if the world had been frozen. He slowly walked down the snowy slope, hands behind his back, and bent down to pick up [Ding Tu]'s wig.
1:33:16|1:33:20|His suit jacket also shook as he walked up to [Ding Tu], then said.
1:33:26|1:33:34|[Ding Tu] took the wig and coat with a look of regret, then left without looking back, leaving [Uncle Cheng] standing there with a puzzled expression.
1:33:34|1:33:39|Inside the house, [Cheng Ping] had already cried into a tearful mess.
1:33:39|1:33:52|He took a few breaths and looked at [Mother Cheng].
1:33:52|1:33:52|He pursed his lips.
1:34:12|1:34:18|[Cheng Ping] raised his absent-minded eyes and looked at [Mrs. Cheng], she didn't say anything, just hugged her daughter.
1:34:18|1:34:23|At this moment, Big Brother [Cheng Zhi] walked out unsteadily, holding a glass of white wine.
1:34:33|1:34:42|[Cheng Rong] leaned on [Cheng Danni]'s shoulder, crying. [Cheng Danni]'s eyes gradually became dull and cloudy.
1:34:42|1:34:50|[Cheng Zhi] finished the white wine in his hand in one gulp, about to approach [Cheng Rong] to say something, but hesitated and went back alone.
1:35:18|1:35:25|At this moment, [Cheng Zhi] sat at the table, looking at the dishes on the table, wiped his nose, feeling really uncomfortable.
1:35:33|1:35:37|Shortly after, [Cheng Rong] walked straight out of the house.
1:35:50|1:35:56|[Cheng Rong] pushed away the hands of [Cheng Yuan] and [Tian Ge], and walked out of the house on his own, while everyone tried to stop him.
1:35:56|1:35:59|[Cheng Rong] walks down the snowy slope, [Wang Mei] tries to link arms with him, but gets shrugged off.
1:35:59|1:36:4|[Cheng Yong] and [Cheng Ping] stood on either side, about to reach out and grab his hand, but were also pushed away.
1:36:4|1:36:9|[Cheng Yuan] and [Tian Ge] were worried about him walking alone, so they ran forward, ready to send him back.
1:36:9|1:36:16|The scene shifts, with [Father] still holding onto the bottle of alcohol. [Mother] feels uneasy and quickly snatches the bottle from his hand.
1:36:22|1:36:28|[Wang Mei] starts searching the house for the dish she just made.
1:36:28|1:36:35|Cheng Zhi grabbed [Wang Mei]'s collar.
1:36:35|1:36:41|Father and Mother from the Cheng family rushed over to grab Cheng Zhi.
1:36:41|1:36:46|Cheng Zhisheng fought with all his might, but [Wang Mei] looked smug as she casually adjusted her collar.
1:36:49|1:36:56|Cheng Zhi, who had always been obedient, unexpectedly started a fight this time and gave him a loud slap in the face.
1:36:56|1:37:6|One wave after another, just as things were calming down, how could [Wang Mei] bear this anger? She grabbed the dishes and bowls nearby, smashed them on the ground, and menacingly moved forward, aiming to grab Cheng Zhi's hair.
1:37:6|1:37:12|Cheng Yong stood in front, holding his hands, unexpectedly Cheng Zhi wanted to scratch [Wang Mei]'s face by himself, pushing Cheng Yong aside.
1:37:17|1:37:26|It was clear that the adults' chaotic voices were of no use, disturbing Nao Nao who was sleeping next to them. He simply rubbed his eyes and went back to sleep.
1:37:44|1:37:47|[Wang Mei] was thoroughly enraged and started smashing things again.
1:37:47|1:37:51|Tired from the beating, she sat down to catch her breath, and Cheng Yong continued to provoke her.
1:38:2|1:38:16|Wang Mei, like a clown being toyed with, really picked up a plate and, amidst screams, completely smashed the mirror that only had a crack, along with the table of reunion dinner, causing the exquisitely framed family portrait on the wall behind her to tilt and fall.
1:38:16|1:38:21|After the curtain falls, this farce comes to an end, and the families disperse amidst grumbling and complaints.
1:38:22|1:38:31|The only [Middle-aged Woman] left standing in this mess, the entire ground is no longer accessible, making it difficult to find a place to stand.
1:38:31|1:38:34|At this moment, [Father] and [Big Brother] brought brooms to clean up, but [Middle-aged Woman] said.
1:38:46|1:38:50|Hearing this, [Chengping] and [Dachuan] exchanged a glance, remaining silent.
1:38:50|1:38:56|[Madam Cheng] slowly swallowed, looking at the leftovers on the ground, while the lantern on the wall still emitted light.
1:38:56|1:39:6|The next morning, a figure appeared at the entrance of the [Chengjia] house. He kept walking towards the outside of the door, his figure getting smaller and smaller, until he gradually disappeared.
1:39:6|1:39:12|Early in the morning, the [Father and Mother] decided to leave home. Before they left, [Mother] tearfully said goodbye to [Big Brother].
1:39:17|1:39:26|[Mrs. Cheng] was still wearing the coat that [Mr. Cheng] had given her. The elderly couple both looked back at the small western-style building from the carriage, then [Mr. Cheng] instructed the coachman without looking back.
1:39:29|1:39:35|[Cheng Daniang] still leaned on the railing and looked into the distance, unable to shift her gaze away from the home where she had lived her whole life.
1:39:35|1:39:45|Uncle Cheng didn't even look back, the carriage's figure gradually disappeared in this snowy landscape, blocked by layers of trees, making it even harder to see the trace of the old couple.
1:39:45|1:39:50|The [Father and Mother] of the family swayed on the carriage, while the small western-style building was slowly covered by snow and ice.
1:39:51|1:40:0|The originally magnificent walls were wrapped in silver decorations, blending with the surroundings. In fact, what [Father and Mother] looked forward to the most was this day of the New Year.
1:40:0|1:40:9|Especially after the big fight last year, this year brings them more anticipation. No matter what each person's purpose is, today the whole family finally gathers together.
1:40:10|1:40:16|This is the happiest day for [Mother], but in the end, only [Younger Son] had a good New Year in the whole family.
1:40:16|1:40:24|This absurd farce ultimately ends with [Mr. and Mrs. Cheng] bravely laying down their burdens and pursuing their own happiness in old age.
1:40:24|1:40:29|Although the plot is somewhat exaggerated, it realistically makes people dare not face it.
1:40:29|1:40:32|At the end of the story, there is a conversation between the [Old Couple].
