0:0:22|0:0:25|Night falls, and the entire town seems to fall into a deep sleep.
0:50:7|0:50:13|The steward [Fang Pian] and the mistress, who were just arrogant, suddenly became timid and started banging the table in anger at [Wang Damao].
0:50:34|0:50:40|Mrs. Wang Damao said indignantly.
0:50:40|0:50:44|[Wang Damao] lifted up the sneaky face of [Fang Pian] with his hand and said.
0:50:55|0:50:59|[Wang Damao] flicked the face of [Fang Pian] the steward with his hand, sat up straight, and addressed everyone.
0:51:18|0:51:22|[Wang Damao] turned around and looked at the people in the room, then spoke.
0:51:27|0:51:39|He bent down and looked at the kneeling butler [Fang Pian], then said ominously.
0:51:39|0:51:42|Fang Pian's steward, after hearing these words, fell straight to the ground.
0:51:47|0:51:52|[Wang Damao] glanced at the big lady, then took a few steps forward and spoke to [Shun Zi] and [Chun Tian].
0:52:36|0:52:43|[Wang Damao] kicked the steward of [Fang Pian] to the ground, while [Shun Zi] and [Chun Tian] were talking in the corner.
0:53:17|0:53:28|The soldiers kicked open the door of Wang's mansion, then a large number of soldiers entered the mansion. At the end of the team, with two soldiers, the deputy officer in the middle shouted.
0:53:28|0:53:35|[Shun Zi] walked in front wearing a luxurious robe, followed by [Wang Damao] and others, with the adjutant looking at them and asking.
0:53:54|0:53:56|The soldiers who had been to Wang's house before pointed at [Shun Zi].
0:54:1|0:54:7|[Shun Zi] looked at the deputy firmly, and the deputy walked up to him, patting his shoulder, saying.
0:54:18|0:54:24|[Shun Zi] was about to be taken away by the soldiers, when [Chun Tian] stepped forward and called out to him.
0:54:24|0:54:36|[Shun Zi] turned around and looked at [Chun Tian] after hearing, while [Chun Tian] ran towards him regardless, the two embraced tightly in front of everyone's eyes, as if this parting was a farewell forever.
0:54:36|0:54:42|Wang Damao looked at the scene in front of him with a pale face and lowered his head, while the steward of [Fang Pian] shook his head with a look of regret.
0:54:43|0:54:47|The two embracing figures looked like a beautiful yet tragic painting.
0:54:59|0:55:3|Step back from the embrace of [Chun Tian], [Shun Zi] decisively turns and leaves.
0:55:3|0:55:6|Shortly after, a large number of soldiers also left Wang's residence.
0:55:6|0:55:9|[Chun Tian] stood still, tears in her eyes, watching the back of [Shun Zi].
0:55:9|0:55:15|Who knew, just after [Shun Zi] and Soldier Jia left, [Wang Damao] started to have some crooked ideas like many others.
0:55:26|0:55:33|At night, in a mansion guarded by many soldiers, there is a tiger in the center of the courtyard chained with an iron chain.
0:55:33|0:55:38|Facing him directly, a man stood in the prison cell enduring the lashes of the whip.
0:55:38|0:55:42|On the other side, [Wang Damao] sat in front of a room with the character for "happiness" on it, drinking.
0:55:42|0:55:46|He, who was about to enter the bridal chamber, burst into laughter joyfully.
0:55:46|0:55:49|The servants in the house were all bare-shouldered and relatively silent.
0:55:49|0:55:54|[Chun Tian] is in the room, playing the pipa as if going to die.
0:55:54|0:56:1|With the sound of the pipa fading away, in another room, the man who was beaten lifted his head, revealing the leader of all the soldiers, [Old K].
0:56:28|0:56:31|Old K and Shun Zi kneel down together facing the gun barrels.
0:56:33|0:56:49|Old K slammed the wine in front of him, and Shun Zi turned his head in confusion and asked him, General.
0:57:11|0:57:14|The servants stood bare-shouldered in Wang Damao's courtyard.
0:57:14|0:57:19|[Wang Damao] sat in the center of the courtyard, listening to the butler [Fang Pian] holding the dowry sent by everyone.
0:57:19|0:57:24|Mrs. Liu is in the room, pouring the gold gun cloth into the wine while cursing.
0:57:36|0:57:40|[Chun Tian] is dressed in festive attire, kneeling in front of her father's pipa, crying and pleading.
0:57:40|0:57:44|Outside the door, [Wang Damao] is still immersed in the joy of his new marriage.
0:58:19|0:58:29|A large number of soldiers rushed into Wang Damao's house, with the deputy officer leading Shun Zi in with a smile, looking at the "happiness" characters posted everywhere in the courtyard.
0:58:29|0:58:32|[Fang Pian] the steward quickly stepped forward and bowed to the deputy, saying.
0:58:36|0:58:38|The deputy officer looked at [Shun Zi] in surprise.
0:58:42|0:58:58|The deputy suddenly turned his head towards Wang Damao after hearing the steward Fang Pian's words.
0:58:58|0:59:4|He walked steadily towards him with sharp eyes, then bent down and stared at him, asking.
0:59:17|0:59:30|The steward of Fang Pian was startled by these words, and the deputy looked at the crowd in the yard, pointing at Shun Zi. The crowd looked in the direction the deputy pointed without saying a word. Impatiently, the deputy shouted, "That's right."
1:0:0|1:0:4|[Wang Damao] voiced his opposition, and immediately the deputy threatened.
1:0:5|1:0:8|[Wang Damao] had to agree under the sternness of the deputy officer.
1:0:13|1:0:18|The deputy's gaze turned to the wine glass on the table, and he picked it up and asked [Wang Damao].
1:0:23|1:0:29|Lifting the wine glass and finishing it in one gulp, Mrs. Wang was stunned by his boldness.
1:0:46|1:0:53|[Fang Pian] the steward led the deputy and two soldiers to the backyard, while the deputy whispered instructions to his subordinates as they walked.
1:1:46|1:1:57|[Wang Damao] stopped [Shun Zi] who wanted to confess, then walked to his side and paused, took two more steps, looked outside the door, and finally stood in front of [Shun Zi], looking anxious, and said.
1:1:59|1:2:4|Wang Damao then turned to the lady of the house and the servants at home.
1:2:19|1:2:26|Mrs. Wang Damao wanted to retort, but after a moment's thought, she shyly and hesitantly said.
1:2:26|1:2:42|Mrs. Damao finished speaking, shyly shook her fan and twisted her waist as she left the room. Wang Damao looked at her in confusion. In the backyard house, Chun Tian, who had been rescued, lay on a fainting bed. She woke up groggily and, upon opening her eyes, found three people in military uniforms in front of her, causing her to sit up in shock.
1:2:58|1:3:4|Shuntian was pressed down by the soldiers in the room where [Wang Damao] and [Shun Zi] were located.
1:3:4|1:3:6|He turned his head to look when he heard someone calling his name.
1:3:8|1:3:13|[Chun Tian] pushed away [Chun Tian]'s hand and then put his arm around his shoulder, walking towards the soldiers.
1:3:41|1:3:47|[Chun Tian] looked at the soldiers in front of him and immediately understood what [Shun Zi] meant, then reluctantly hugged him.
1:4:12|1:4:15|[Chun Tian] leans on Shengzi's shoulder and talks to him.
1:4:27|1:4:29|The deputy officer outside the house launched an attack.
1:4:29|1:4:34|His body was overheated, fanning himself was no use, so he could only resort to hitting the wall to relieve it.
1:4:34|1:4:37|He suddenly realized that the wedding wine he drank today was not right.
1:4:44|1:5:1|As soon as the words fell, [Wang Damao] walked past with her arms bare and wearing a bellyband. The adjutant's eyes stared straight at [Wang Damao]'s back, and he secretly leered at her from behind until his face turned red. He stopped, still looking in the direction she left, his lips trembling slightly.
1:5:1|1:5:4|The hand holding the fan naturally hangs down.
1:5:4|1:5:17|Coincidentally, a comical scene appeared on the ground, with the shadow of the fan perfectly imprinted on her crotch. At this moment, [Wang Damao] was sitting cross-legged on the bed in a bad mood, while [Mrs. Damao] walked towards her, fanning herself, showing concern.
1:5:38|1:5:44|The deputy officer who entered the room saw this scene and his nose started bleeding.
1:5:44|1:5:55|The scene cuts to [Shun Zi], who is frowning as he sits in the main seat. He turns to look at the deputy officer sitting next to him, who is bleeding from the nose and then shouts loudly.
1:5:55|1:5:58|He continued slowly while sitting in the chair.
1:6:4|1:6:9|The deputy officer pulled out a pistol and handed it to [Shun Zi] with a sharp look.
1:6:11|1:6:21|[Shun Zi] picked up the gun on the table and aimed it directly at the kneeling [Wang Damao], but unexpectedly turned the gun towards the deputy officer, startling everyone.
1:6:29|1:6:30|Then look at [Wang Damao].
1:7:1|1:7:6|[Wang Damao] was sweating profusely while pulling the wood, but the steward [Fang Pian] was standing aside with a smile on his face.
1:7:6|1:7:9|Finally, he collapsed to the ground in tears and fell asleep.
1:7:9|1:7:15|Just as he entered the wooden box, someone spoke up and woke him up.
1:7:15|1:7:22|He woke up from his sleep, looked up with a bewildered expression at the newcomer, only to see that Xianxian's jade hand was holding out a steamed bun to him.
1:7:24|1:7:31|[Wang Damao] looked at the steamed bun in front of him, swallowed, then picked it up with both hands and said, tilting his head.
1:7:35|1:7:39|[Chun Tian], dressed in luxury, slowly squatted down and said.
1:8:1|1:8:4|[Chun Tian] pushes away [Wang Damao]'s hand and says.
1:8:38|1:8:53|[Wang Damao] spoke heartfelt words to [Chun Tian], promising to give him a good life. Unaware that he had been tricked, he believed that his hidden wealth couldn't be found by anyone, but on that very day, [Shun Zi] received a tip-off and had the treasure dug up.
1:8:53|1:8:59|[Shun Zi] divides the money among the poor servants who have long been exploited by [Wang Damao], allowing them to take the money back and live a better life.
1:9:0|1:9:17|Night falls, [Hong Tao] dressed in gorgeous clothes and a bright robe, sneaks out of her room. She looks around cautiously, then quietly makes her way to the kitchen. Swiftly, she opens the door and steps inside, carefully closing it behind her.
1:9:18|1:9:29|When making sure that no one was watching, Wang Damao turned his head to look at the people in the room. He saw the butler Fang Pian standing there shirtless, with a long bell hanging around his neck, wearing large underpants, and a hat on his head, facing away from Hong Tao.
1:9:29|1:9:35|She slightly lowered her head, one hand holding onto her hat, while the other hand naturally hung down, freezing the posture.
1:9:35|1:9:43|At this moment, the vinyl record player starts playing music. She throws her hat off directly and then her body starts moving to the music.
1:9:43|1:9:47|[Hong Tao] watched his dancing figure, and her body started to sway along.
1:9:47|1:9:52|[Fang Pian] turned around to look at [Hong Tao], and threw a flirtatious glance at her.
1:9:52|1:10:0|[Hong Tao] stood with one hand on her hip, the other hand lightly brushing past her own lips in a seductive gesture, while the butler [Fang Pian] excitedly swung a long bell.
1:10:0|1:10:4|[Hong Tao] also flicked the hat in her hand and hooked it with a finger.
1:10:4|1:10:9|Next, the two climbed onto the dining table and started moving towards the center from both sides.
1:10:9|1:10:28|As they climbed and made gestures to seduce each other, just as the two were about to get close, suddenly a pistol appeared in front of them. The deputy head, wearing the hat that [Wang Damao] had just thrown, exclaimed in shock.
1:11:4|1:11:8|The deputy officer immediately took out a knife and started cutting a cucumber, which frightened [Fang Pian] into screaming.
1:11:8|1:11:10|The next day, the soldiers reported to the deputy officer.
1:11:23|1:11:27|The deputy drank the wine in the bowl and then rinsed the bowl on the table.
1:11:33|1:11:38|The scene shifts, with Old K glaring fiercely at Shun Zi, gritting his teeth.
1:12:1|1:12:19|[Wang Damao] and [Fang Pian] were talking face to face, with the distressed [Fang Pian] looking down at his crotch and bursting into tears.
1:12:19|1:12:24|[Wang Damao] crawled on the ground towards [Fang Pian], the two of them struggling to conspire a rebellion.
1:12:41|1:12:52|The two of them reached an agreement and looked in the same direction, their faces one thin and one round, forming a contrast like yin and yang. They saw a curved wood-cutting knife at the place where their eyes were fixed.
1:13:1|1:13:7|[Old K] points a gun at [Shun Zi].
1:13:7|1:13:11|At this moment, [Wang Damao] and [Fang Pian] burst into the room with curved knives.
1:13:11|1:13:15|The two of them knelt down and offered the curved knives with both hands.
1:13:58|1:14:9|[Old K] menacingly threatened [Wang Damao] and [Shun Zi], as he had rigged a fist-sized landmine on the ceiling beam and tied [Shun Zi] and [Wang Damao] to pillars on either side of the landmine.
1:14:9|1:14:17|As the fuse of the landmine was lit, [Wang Damao] became more and more anxious. In the moment before the landmine was about to explode, he gasped for breath, screamed, and closed his eyes.
1:14:18|1:14:21|Half a howl, but the imagined explosion did not occur.
1:14:21|1:14:27|[Wang Damao] and [Shun Zi] opened their eyes, only to see the burning fuse in front of them, while the landmine remained unharmed.
1:15:10|1:15:16|[Fang Pian's butler] nodded in agreement, watched as [Wang Damao] left, then turned his eyes around and stared hard at [Shun Zi].
1:15:40|1:15:53|[Shun Zi] was tied to a beam in the courtyard by the steward [Fang Pian], while the mistress [Hong Tao] was dressed in a blue and white porcelain cheongsam, draped in a short silk cape, holding a sharp knife in her hand. She walked towards the two with a determined gaze, her flowing embroidered hair swaying gently in the breeze.
1:16:55|1:17:4|The furious [Fang Pian steward], disregarding everything, fiercely competes for the dagger in the hands of the mistress, intending to use it to kill [Shun Zi] and end the recent absurd feud.
1:17:4|1:17:12|The lady, moved by the sincere love of [Shun Zi] and [Chun Tian], also exerted all her efforts to protect the love she never had but longed for deeply.
1:17:12|1:17:18|The two were pulling each other in the courtyard, but unexpectedly, in a moment of carelessness, the dagger pierced into [Hong Tao]'s body.
1:17:18|1:17:28|Housekeeper Fang stared blankly at the injury of [Hong Tao], watching the flowing blood and the slow passing of Mrs. Wang's [Hong Tao] life.
1:17:28|1:17:31|Mrs. Damao leaned softly in the arms of Mr. Fang, the steward.
1:18:7|1:18:10|Shun Zi looked at the scene and sighed with a furrowed brow.
1:18:25|1:18:29|With the butler Fang's roar, the scene shifts to the Wang family ancestral grave.
1:18:31|1:18:35|To their surprise, the bodies of two soldiers who had died from poisoning were among them.
1:19:4|1:19:8|He then walked slowly and solemnly towards the bed with a serious expression.
1:19:8|1:19:13|[Old K] and his men also raised their guns, vigilantly following behind [Wang Damao].
1:19:13|1:19:24|Approaching the bed, [Wang Damao] hesitated for a moment, then as if making a firm decision, suddenly pulled back the bed curtain and took out a rifle from the dark drawer beside the bed, screaming as he turned and aimed at [Old K].
1:19:24|1:19:28|The soldiers present were shocked into silence by this sudden turn of events.
1:19:29|1:19:36|Seeing the man in front of him, sweating profusely and unable to catch his breath, Old K knew that the desperate [Wang Damao] was capable of anything.
1:20:40|1:20:46|Following Shun Zi's memories, the scene cuts to the moment when Fang Pian's steward swung a knife towards himself.
1:20:46|1:20:49|The sword was swung, but the arm froze in mid-air.
1:20:58|1:21:8|Turning to look at the gate, we saw the other servants of [Wang Damao] bare-chested, each holding tools in their hands, such as shovels, sickles, hammers, and wooden sticks.
1:21:8|1:21:12|Seeing this scene, [Old K] walked towards them with a short knife in his hand.
1:21:12|1:21:18|On ordinary days, the servants who usually bow and scrape before him now faced his fierce gaze without fear.
1:21:32|1:21:42|Wang Damao rushed out of the room and stopped in front of Shun Zi. He looked to both sides and found that everyone was shirtless and holding weapons.
1:21:43|1:22:1|They gathered in large numbers, menacingly behind [Shun Zi]. [Wang Damao] was frightened by this formation, silently retreating backwards. Seeing the timid [Wang Damao] in front of him, [Shun Zi] glared angrily and continued to approach him. The mediocre people behind him also followed step by step, feeling the overwhelming momentum in front of them.
1:22:1|1:22:8|Fearless [Shun Zi] and the ordinary people, [Wang Damao] tremblingly raised the rifle above his head and then knelt down in submission.
1:22:8|1:22:10|Upon seeing this scene, [Old K] inside the house shouted angrily.
1:22:12|1:22:24|Old K gave a command, and his henchmen around him immediately raised their long spears to form a barrier in front of him.
1:22:24|1:22:32|Shun Zi faced such a serious situation without a trace of fear on his face, but instead crossed his hands in front of his chest like a surging bamboo.
1:22:32|1:22:47|The gaze of [Old K] was fixed on, although he was holding a gun, he dared not act rashly, only confronting each other. [Chun Tian] was on top of a tall building, watching the scene in front of him, and also playing the pipa. This music made the already tense confrontation even more severe.
1:22:48|1:22:54|At this moment, the servants blocking the door dispersed to both sides in unison, creating a passage in the middle.
1:22:54|1:22:58|[Old K] fixed his gaze and saw that the newcomer was none other than the [Butler of Fang Pian], who was bare-chested.
1:22:58|1:23:7|He was seen wearing a top hat, holding a grenade the size of a head in his hand, swaggering towards [Old K].
1:23:7|1:23:9|In the sunlight, his figure appeared particularly majestic.
1:23:10|1:23:15|He walked slowly towards [Wang Damao] under everyone's gaze, and casually tossed his hat aside.
1:23:15|1:23:21|Under the gaze of [Old K], he placed the landmine in his hand on the head of [Wang Damao] who was kneeling on the ground.
1:23:21|1:23:25|Wang Damao, who was already in a state of defeat, was even more frightened and dared not move when he saw this scene.
1:23:25|1:23:29|[Fang Pian] the butler, after placing the landmine, calmly warmed himself on the side.
1:23:29|1:23:33|He moved his wrist and then bent down to touch the soil on the ground with both hands.
1:23:34|1:23:40|Next, he stood up straight, clapped his hands, and shouted, picking up a landmine from [Wang Damao]'s head.
1:23:40|1:23:49|In full view of everyone, [Fang Pian] the butler fearlessly aimed at his own several long spears, and like throwing a thousand balls, he threw grenades towards [Old K]'s direction.
1:23:50|1:24:2|Just as the landmine was still rolling in the air, [Shun Zi] acted swiftly and kicked the gun on top of [Wang Damao]'s head into the air. Then, he somersaulted in the air a few times and skillfully caught the gun.
1:24:2|1:24:11|[Shun Zi], like a sharpshooter, actually pulled the trigger, aimed, and fired in one fell swoop as soon as he landed, accurately shooting a bullet towards the flying landmine.
1:24:12|1:24:24|The bullets chased the landmine in the air, and when the landmine reached Old K, the bullets behind also hit it just right. Amid the screams of Old K and his many henchmen, the landmine was detonated.
1:24:24|1:24:29|With the explosion of the landmine, it also heralded the victory of the people led by [Chun Tian].
1:24:29|1:24:38|After going through numerous hardships, they finally defeated the foreign powers, and a proud expression gradually appeared on their faces.
