0:2:21|0:2:33|Mr. Qian also shouted, then used a calculator, and then wrote in a notebook, saying to [Li Guofu],
1:7:27|1:7:36|Turning to look at Manager Wang who walked to the front of the car. Manager Wang opened the door and sat in the car, while [Li Guofu] stood by, anxiously asking with a smile on his face,
1:7:51|1:7:55|Then he opened the car door and thanked [Li Guofu] again.
1:8:0|1:8:11|In the car, Manager Wang looked at Li Guofu walking towards his home with a sense of emotion. Li Guofu, who was attentive, was afraid of his son finding out that Manager Wang came to deliver money because of him.
1:8:11|1:8:18|So Li Guofu got off the car and walked to the door without rushing in, instead pacing at the entrance. In order to protect his son's self-esteem, [Ping Wa].
1:8:18|1:8:26|In the cold winter in the north, the elderly [Li Guofu], despite dressing warmly, still needs to walk back and forth to ensure the temperature of his body.
1:8:26|1:8:38|[Li Guofu] clutched the suona with his arms, constantly rubbing his hands, and occasionally peeked through the crack in the courtyard door into the house. He wanted to go in but hesitated, as if the longer he waited, the less likely he would be discovered.
1:8:38|1:8:46|Suddenly, the neighbor came out of the outhouse in the yard with his pants in hand and asked [Li Guofu], who was standing there,
1:9:10|1:9:16|To cover up the lie, [Li Guofu] awkwardly pretended to be exercising in the yard, stretching his arms and moving around.
1:9:17|1:9:29|Seeing the neighbor enter the house, [Li Guofu] gently pushed open the door and walked in. Walking into the inner room, he nervously looked at his son watching TV.
1:9:32|1:9:40|Later, [Li Guofu] saw the money Manager Wang had sent on the table and pretended to just find out, saying to [Ping Wa],
1:11:8|1:11:14|[Ping Wa] wiped away tears and stood up excitedly, saying, "What's the use of just talking big? If you're so capable, go on TV and brag about it!"
1:11:19|1:11:25|[Li Guofu] watched as [Ping Wa] promised tearfully with a sense of inferiority.
1:11:39|1:11:46|[Li Guofu] defiantly made a bold statement. At this point, the relationship between the father and son working together hit rock bottom once again.
1:11:49|1:12:6|A few days later, Li Guofu and Ping Wa finished collecting scrap as usual in the evening. Riding their tricycle on the way back home, the engine stalled again. Ping Wa, as usual, started pushing the tricycle, but after a few steps, he let go of the handle and stood still.
1:12:6|1:12:33|In the car, [Li Guofu] noticed something unusual and sat there with a vacant look, deep in thought. After the car was pushed for a while, [Li Guofu] stepped on the brake, slowly turned to look at [Ping Wa] who was standing still in a daze. The son was feeling low, gazing at the roadside, reminiscing about their experiences during this period. They both came from the countryside, and he, being disabled, could only rely on collecting scrap for a living in the city with his father.
1:12:33|1:12:56|Any decent matter has nothing to do with oneself. Thinking about these, [Ping Wa] looked despairingly and helplessly into the distance. After staring at his despondent son for a while, [Li Guofu] turned back. He knew why his son was like this, but as a father, he didn't know how to talk to his son. Instead, he sat on the tricycle with his head down in frustration. The two of them appeared particularly desolate on the deserted road.
1:12:56|1:13:1|After some time, one evening, [Li Guofu] was helping out at the hair salon.
1:13:3|1:13:20|[Ping Wa] had just finished washing a regular customer's hair and was blow-drying it. [Li Guofu] added charcoal to the stove and sat on the sofa watching [Ping Wa]. While washing the hair, an old customer named Wang invited [Ping Wa] to join a party. After blow-drying Wang's hair, [Ping Wa] politely declined, saying,
1:13:48|1:13:54|Wang Ge turned around and looked at Li Guofu on the sofa, saying to Ping Wa,
1:14:5|1:14:14|After Wang Ge finished speaking and walked out of the store, Ping Wa, who was reluctant to go, was afraid of offending the old customers. With a sullen face and head lowered, he eventually compromised.
1:15:30|1:15:35|And she just kept changing positions on the sofa, taking photos without paying attention to [Li Guofu]'s intentions.
1:15:42|1:15:50|Feeling bored, [Li Guofu] stood up and walked out of the private room to go to the restroom. Inside the room, no one even bothered to look up at him, continuing on.
1:15:53|1:16:1|[Li Guofu] shuttles through the corridor of the KTV, looking for the restroom, while the sound of songs from other private rooms still echoes in his ears, creating a noisy atmosphere.
1:16:2|1:16:25|[Li Guofu] walked into the restroom and closed the door. At that moment, the cleaning lady knocked on the door and asked, then pushed it open to find [Li Guofu] in the middle of using the toilet. [Li Guofu] hurriedly pulled up his pants, and the cleaning lady, annoyed, complained as she walked away. Inside, [Li Guofu], now fully dressed, was breathing heavily in anger.
1:16:30|1:16:37|After a moment, he turned around and quickly walked back into the private room.
1:16:40|1:16:46|Back in the private room, [Li Guofu] felt a surge of grievance and anger.
1:16:52|1:17:0|After Wang Ge finished speaking, [Li Faqun] couldn't help but stand up, pick up the full bottle of white wine on the table, and drink it in big gulps with his head tilted back.
1:17:2|1:17:26|[Li Guofu] had tears in his eyes, even though he couldn't swallow the white wine. He still held up the bottle. Throughout the night, everyone remained silent and looked at [Li Guofu]. At this moment, [Ping Wa] came over and snatched the bottle from him. [Ping Wa] had a serious expression and sharp eyes as she looked at [Li Guofu]. After glancing at [Ping Wa], [Li Guofu] lowered his head with a vacant look and gasped for breath heavily.
1:17:26|1:17:34|He, who was drunk, was then helped home by [Li Li].
1:17:46|1:18:18|At this moment, [Li Guofu] walked out of the door. [Lili] said apologetically, but [Li Guofu] didn't say a word. He grabbed [Ping Wa], who was about to fall, and held him in his arms. Then he gave a fierce look at [Lili], slammed the door shut heavily. [Lili] stood alone at the door, staring blankly. When they got home, [Li Guofu] helped [Ping Wa] lie down on the bed, took off his clothes, and tucked him in.
1:18:18|1:18:53|Drunk [Ping Wa] occasionally hummed in his mouth. [Li Guofu] walked over and took his son's hearing aid. He looked at [Ping Wa], then at the hearing aid. With a sigh, [Li Guofu] stared blankly, seeing [Ping Wa] lying on the bed next to him, constantly humming. Helplessly, [Li Guofu] placed the hearing aid on the table and sighed deeply.
1:18:53|1:18:58|He sat in front of the table in a dejected manner, wearing a coat with a fur collar.
1:18:58|1:19:10|In a simple room with dim lighting, [Li Guofu] looked somewhat weary. He recalled all these things and his son's self-deprecating words in silence. Refusing to give up, he glanced at his son lying on the bed.
1:19:10|1:19:22|Recalling his own promise, he became even more determined to appear on TV. The next day, accompanied by [Liu Guilan] and the yangko dance team, he arrived at the TV program audition venue to encourage [Ping Wa].
1:19:22|1:19:31|Outside the door, all the contestants were actively preparing.
1:19:39|1:19:46|[Liu Guilan] handed a egg to [Li Guofu] who was eating with his mouth full.
1:19:55|1:19:58|After listening, he started eating heartily again.
1:20:5|1:20:23|[Li Guofu] was eating and drinking while swallowing water. Mmm, oh yeah, eat, eat me, hahaha. [Li Guofu] struggled to finish the sixth egg and kept burping non-stop.
1:20:23|1:20:30|Everyone gathered around him, giving him advice. As the time drew closer, other contestants outside were nervously practicing.
1:20:30|1:20:33|Only [Li Guofu] is still eating the eggs.
1:20:33|1:20:48|After a hot and sexy lady finished her dance, [Li Guofu] slowly walked down from the stage, timidly holding a suona. He bowed to the judges, and one of them spoke up,
1:20:55|1:20:59|The two judges below exchanged glances and smiled, saying,
1:21:50|1:21:58|[Li Guofu] scratched his nose in confusion,
1:22:34|1:22:52|He then placed the suona on the ground and cleared his throat. He hunched over, a bit hesitant, and struck a rock star pose, singing the lyrics in his head to the beat.
1:23:29|1:23:45|[Li Guofu] bowed and walked out. Outside the door, everyone asked anxiously, looking at each other without saying a word.
1:23:47|1:23:53|[Li Guofu] did not understand the implicit meaning of the judges, and started practicing day and night at home.
1:23:53|1:24:51|Li Guofu assembled instruments such as big cymbals, small cymbals, big drums, and small drums with steel wires and rollers, connected them with a homemade pedal, and used both hands and feet to strike them. His son, who was about to lie down to sleep, was disturbed by the noise, tossing and turning in bed. He then went out to the hair salon, where he continued to help Ping Wa with miscellaneous tasks as usual.
1:24:52|1:25:4|[Li Guofu] stood on a chair, focused on fixing the leaking water heater with a wrench. After tightening the screws and testing the switch, [Ping Wa] who was watching nearby, said to [Li Guofu], "It looks almost fixed."
1:25:10|1:25:39|Hearing this, [Li Guofu] put down the work in his hands, and after saying that, he patted [Ping Wa] on the shoulder, then walked to the seat to prepare the hair washing products. [Li Guofu] sat on the seat, staring blankly at the mirror. [Lili] was behind him, washing his hair like other customers, spraying water on the hair, applying shampoo, and ten fingers kept moving on [Li Guofu]'s scalp.
1:25:39|1:26:2|[Li Guofu] looked expressionless, with hollow eyes staring ahead, constantly thinking about [Ping Wa]'s imminent departure. There were too many words left unsaid in his heart, and the emotions of parting spread in [Li Guofu]'s heart. As he thought, his head lowered more and more. [Ping Wa] lifted [Li Guofu]'s lowering head and looked at him through the mirror. Despite appearing indifferent, [Ping Wa] also had a mix of emotions, with a thousand thoughts running through her mind.
1:26:2|1:26:19|In the emotional moment of parting, both of them remained silent. [Li Guofu] bid farewell to him in her own way, even though his attention was not on getting a haircut. She massaged him in a way that made him swallow saliva, causing his body hair to stand on end as he tightly gripped the armrest of the chair.
1:26:19|1:26:30|[Li Guofu] calmly looks at [Lili] in the mirror, cherishing the last few days together more and more. Gradually, a hint of tears appears in [Li Guofu]'s eyes.
1:26:34|1:26:42|As time passed, the broadcast time was getting closer. After hanging up the phone in the recording office, the staff said to the judges,
1:27:11|1:27:16|At this moment, the program director looked at the computer for the day's recording.
1:27:18|1:27:24|The staff then pressed pause, freezing the frame on the face of [Li Guofu]. Meanwhile, [Li Faqun] arrived at the shopping mall.
1:27:43|1:27:49|The salesperson watched as [Li Faqun] walked away quickly. Meanwhile, [Li Guofu] was nervously preparing backstage for the competition.
1:27:56|1:28:6|Liu Guilan handed the suona to [Li Guofu] and then took off her sunglasses, the two of them smiled slightly intimately and awkwardly.
1:28:6|1:28:12|At this moment, the stage crew has already placed the frame assembled by [Li Guofu] in the center of the stage. The host says,
1:28:41|1:28:48|Keep it up. Liu Guilan looked at the back of [Li Guofu] on stage with joy and excitement, her face filled with indescribable emotions towards [Li Guofu].
1:28:48|1:29:9|In the dimly lit waiting area, [Li Guofu] in a leather jacket, holding a suona, nervously takes deep breaths, thinking about his insecure son. [Li Guofu]'s anxious expression gradually turns resolute, as he slowly puts on sunglasses. The light in front of the stage shines through the cracks onto [Li Guofu]'s cheeks, giving him a somewhat old rock star look.
1:29:11|1:29:17|The gate of the waiting area gradually opens at this moment, and in front of the stage, the spotlight generously shines on [Li Guofu].
1:29:17|1:29:35|[Li Guofu] stood confidently with his head slightly raised, showing no trace of fear. He knew that he carried a love for music, his son's insecurity, and the expectations of Liu Guilan and everyone else. As the door opened completely, [Li Guofu] looked through his sunglasses at the dazzling spotlight, then walked slowly towards the stage.
1:29:35|1:29:47|When [Li Guofu] walked energetically to the center of the stage, applause erupted. After a deep bow to the audience, [Li Guofu] sat down in front of the drum set.
1:29:47|1:29:53|When [Li Guofu] was ready to start, everyone quieted down. Then [Li Guofu] picked up the suona and the performance was about to begin.
1:31:5|1:31:8|At this moment, [Li Guofu] walked up to the hair salon holding cosmetics.
1:31:15|1:31:24|Lili waved to [Li Guofu] to come in. When he entered, he looked at the TV in surprise and saw his father.
1:32:6|1:32:20|The audience was infected by the music of the old man on stage wearing sunglasses and gradually graying hair. Everyone waved their glow sticks in unison, and the judges on the judging panel nodded along to the rhythm. Backstage, [Liu Guilan] clapped her hands with tears of joy.
1:32:21|1:32:29|The neighbors in front of the TV were also swaying to the music, while [Li Guofu] stood there in shock, watching his father who was actually on TV.
