0:0:37|0:0:44|The film begins with a group of adorable puppies eagerly nursing from their mother.
1:12:30|1:12:34|Xiao Q recognized Zhiqiao, just like Xiangyu, she gently licked Zhiqiao's face.
1:12:42|1:12:47|Li Qi returned to the original home again, excitedly familiarizing himself with the environment.
1:12:47|1:12:56|He ran from the garden into the house, saw Mrs. Chen, Mr. Chen, and [Chen Zhiqiao] who was making the bed for him.
1:13:12|1:13:18|Later, he ran to the cabinet under the TV and tried to open the cabinet door.
1:13:18|1:13:23|At this moment, [Chen Kangyaner] walked over.
1:13:28|1:13:32|[Chen Kangyaner] opens the cabinet door, revealing the starlight lamp inside.
1:13:41|1:13:44|Mrs. Chen called Little Q over.
1:14:19|1:14:22|At night, [Chen Zhiqiao] took out all of Little Q's toys.
1:15:13|1:15:20|Afterwards, Xiao Q and [Chen Zhiqiao] started living together again.
1:15:20|1:15:22|In the morning, she would jump on Chen Zhiqiao's bed to wake him up.
1:15:29|1:15:44|He lazily plays with the robotic vacuum cleaner, accidentally dropping a piece of dog food on the floor. Before little Q can eat it, the vacuum cleaner sucks up the dog food, leaving little Q puzzled.
1:15:44|1:15:46|They will go to the park where they used to play together.
1:15:59|1:16:1|Xiao Q will swing on the swing with [Chen Zhiqiao].
1:16:28|1:16:33|Zhiqiao and Chen Qi took a taxi home, passing by the park where Li Baoting often stays.
1:16:38|1:16:46|Little Q looked excitedly out the window. The bench was empty now, and he probably remembered the time playing with [Li Baoting].
1:16:46|1:16:51|One day, when Little Q went missing, the security guard spoke to [Chen Zhiqiao] and [Simon].
1:17:2|1:17:4|Xiao Q ran towards [Chen Zhiqiao].
1:17:11|1:17:16|Before long, [Chen Qi] returned to squat by the bed again.
1:17:16|1:17:26|In the past, Li Baoer waited for Little Qi to come back after playing.
1:17:50|1:17:55|After that, Zhiqiao often took little Q to the factory to bask in the sun.
1:17:55|1:17:57|Li Qi was quietly lying down, while Zhiqiao was reading a book.
1:18:5|1:18:19|And so, as time slowly transitions from summer to autumn, the leaves of the trees by the bench fall one by one, the weather turning colder day by day, until the whole world becomes bare.
1:18:19|1:18:26|Time passed slowly, and Xiao Q's body gradually weakened, but Li Baoting still did not return.
1:18:38|1:18:41|One morning, [Chen Zhiqiao] came down from upstairs.
1:18:56|1:18:59|She found that there was no less dog food in Little Q's bowl. Is she going to be busy?
1:19:0|1:19:0|Just put a leash on Little Q and take him to the bathroom.
1:19:0|1:19:1|Ke Xiaoqiu refused to stand up.
1:19:1|1:19:2|No matter how she hugged him, he remained unmoved.
1:19:2|1:19:2|Something just doesn't seem right when you look at this.
1:19:28|1:19:32|The scene shifts, and the veterinarian [Ryan] is examining him.
1:19:40|1:19:44|Because it walks more than the average dog, its wear and tear will be more severe.
1:20:10|1:20:16|Li Qi put on protective gear, with two wheels supporting his belly to reduce the strain on his legs.
1:20:16|1:20:28|[Chen Zhiqiao] is telling a story to Little Q on the bench.
1:20:28|1:20:32|In the evening, [Li Baoting] returned home after school.
1:21:8|1:21:24|Xiao Q looked at the precious photos on the cabinet, there were group photos with the instructor, with the [Li Baoting] family, photos of Donggu, and Xiao Q's handprint.
1:21:24|1:21:28|He slowly drifted off to sleep.
1:21:28|1:21:35|As the days went by, Li Baoer's health deteriorated gradually, and he went for another check-up.
1:21:49|1:21:50|The situation with [Chen Qi] is indeed not very optimistic.
1:22:17|1:22:25|He said slowly, feeling extremely heartbroken.
1:22:41|1:22:44|Xiao Q is still waiting for Li Baoting to come back.
1:22:44|1:22:53|The day has finally arrived, and Chen Qi seems to sense Li Baoting's arrival, staring fixedly at the door.
1:22:53|1:23:0|He struggled to stand up, his left hind leg unable to touch the ground.
1:23:0|1:23:2|He walked unsteadily towards the door.
1:23:15|1:23:24|[Li Baoting] tenderly caressed Little Q.
1:23:34|1:23:45|Li Baoting licked Li Baoting's face, tears in his eyes, reunited after a long separation, he hugged Little Q tightly.
1:23:45|1:23:47|Li Baoting brought Little Q back home.
1:24:28|1:24:46|[Li Baoting] and Chen Qi reunited, living together again. The empty house didn't feel lonely.
1:24:46|1:24:51|Xiao Q pushed the guide saddle next to [Li Baoting], trying to guide him once again.
1:25:4|1:25:28|[Li Baoting] caressed Little Q, and then left with Little Q. On the nighttime sidewalk, Little Q walked slowly but still meticulously guided [Li Baoting] along the way.
1:25:34|1:25:40|Approaching the intersection, they stood quietly waiting for the traffic lights.
1:25:40|1:25:46|The city was empty and quiet at night.
1:25:46|1:25:56|Li Baoer's body is very weak, and she must sit down to rest even when waiting for the traffic lights.
1:25:56|1:25:58|On the quiet road, only faint vehicles could be heard.
1:26:3|1:26:24|The green light came on, [Li Baoting] struggled to get up. Instead, he heard the words "move forward" that [Li Baoting] had said countless times. They slowly passed through the intersection, memories from the past flooding into [Li Baoting]'s mind bit by bit. Reluctance, heartache, touched, all turned into tears sliding down his cheeks.
1:27:7|1:27:21|[Chen Qi] wearily lay down, resting his head on [Li Baoting]'s lap, while [Li Baoting] sat on the ground stroking [Chen Qi].
1:27:27|1:27:40|In the pet hospital, Li Baoting is trying to save Little Q, performing CPR on him. Outside the emergency room, Li Baoting and others are anxiously waiting for the outcome.
1:27:40|1:27:46|Seeing a guide dog leading a blind person passing by, [Chen Kangyaner] said.
1:28:47|1:28:49|[Chen Qi] has been successfully rescued.
1:28:49|1:28:52|He lay exhausted with a respirator.
1:28:52|1:28:54|Everyone gathered around him.
1:28:54|1:29:1|[Li Qi] also watched them quietly.
1:29:1|1:29:7|Finally, Li Baoting decided to take Li Baoer to the island again for some fun.
1:29:7|1:29:11|At this point, Li Baoer could no longer walk.
1:29:16|1:29:23|Mr. Li, supported by [Li Baoer], carries Little Q forward, with the paper bridge beside them.
1:29:23|1:29:35|Li Baoer looked at the familiar small island and the familiar river.
1:29:35|1:29:38|Walking to the riverbank, Mr. Li settled Little Q into a chair.
1:29:56|1:29:59|Li Baoting stood up and sighed.
1:30:16|1:30:22|Mr. Li took the phone from [Li Baoer]'s hand, and a few people gathered around Little Q to strike a pose.
1:30:55|1:31:3|A group of people are playing with their dogs on the lawn in the distance.
1:31:3|1:31:11|Li Baoting looked at the people playing in the distance with his eyes wide open, feeling the emotions of Little Q as he touched him.
1:31:23|1:31:33|Chen Qi is helped to the grass.
1:31:46|1:31:59|Li Qi dragged his heavy steps slowly towards the crowd playing in the distance.
1:31:59|1:32:4|Halfway there, he turned around and looked at Mr. Li.
1:32:10|1:32:12|He turned his head and walked towards the crowd.
1:32:14|1:32:18|People in the distance noticed Little Q and lovingly caressed her.
1:32:39|1:32:41|[Li Baoting] is lost in imagination and memories.
1:32:46|1:32:52|He imagined Little Q running, jumping, and having a great time.
1:32:52|1:32:55|In the sunshine, [Chen Qi] is full of vitality.
1:33:0|1:33:13|He recalled the time spent with Chen Zhiqiao at the Guide Dog Association, watching the paper sheath welcome and train new guide dogs.
1:33:15|1:33:23|He sunbathed on the bench with [Chen Qi], only scratching [Chen Qi] to make her laugh. They played baseball together in the snow.
1:33:36|1:33:47|It's Xiao Q's birthday, and people have prepared a baseball-shaped cake for him.
1:33:47|1:33:52|And then, [Li Baoer] blindfolded, ran under the guidance of Little Q.
1:33:52|1:33:54|[Li Baoting] took Little Q to the pet hospital for a check-up.
1:34:16|1:34:23|And that time, instead of secretly hiding the baseball bat, he gave the children money to buy the baseball bat.
1:34:32|1:34:45|On the night of their first encounter, Xiao Q was driven under the car by [Li Baoting], and it was the [Bar Owner] who fed Xiao Q. [Li Baoting] himself also did not sleep all night.
1:34:45|1:34:51|Before meeting Li Baoting, Xiao Q was patiently trained and bathed by Chen Zhiqiao at the guide dog association.
1:34:56|1:35:5|Moving back in time, it turns out that [Chen Zhiqiao] and [Li Baoting] used to secretly play baseball with little Q after [Chen Kangyaner] left.
1:35:5|1:35:16|Sometimes, [Chen Kangyaner] blow-dries [Li Baoting]'s hair, and [Li Baoting] helps blow-dry [Chen Zhiqiao]'s hair. When [Chen Zhiqiao] takes care of the hair for Donggu and Little Q together, the family is harmonious and happy.
1:35:16|1:35:19|[Chen Zhiqiao] and Little Q playing in the park scene is still vivid in my mind.
1:35:28|1:35:51|In the end, [Li Baoting] also remembered how little Qi looked when he was a child, like a little ball of fur. Back then, he was with his siblings, who would all grow up to be excellent guide dogs. Little Qi still had a red collar around his neck, crawling with a birthmark on his belly, like a seagull spreading its wings.
1:35:54|1:35:58|After Xiao Q passed away, Li Baoting was seen only tending to the flowers in the courtyard.
1:35:58|1:36:4|Suddenly, he found the baseball in the soil.
1:36:5|1:36:10|Little Q, holding a baseball bat, buried it.
1:36:10|1:36:11|Li Baoting smiled with relief.
1:36:18|1:36:30|[Li Baoting] did not want a second guide dog. He came to the familiar little island for camping alone, holding the baseball that Little Q liked tightly in his hand.
1:36:30|1:36:44|Then he forcefully threw the baseball out, and it rolled to a stone with the words "Chen Qi, your footprints will always remain in my heart" engraved on it, next to the nostalgic guide saddle.
