0:3:40|0:3:44|On the other side, the female lead [Sha Lu] is wearing a pair of exquisite high heels.
1:19:6|1:19:13|Xiang Shaolong and Sha Lu walked to the street corner, smiled at each other, and stopped in their tracks.
1:19:13|1:19:15|[Xiang Shaolong] looked at [Sha Lu] and said solemnly.
1:19:33|1:19:40|Speak up, [Sha Lu] opened his arms, and the two embraced tightly, spinning around together.
1:19:40|1:19:46|The scene shifts, [Xiang Shaolong] in pajamas, standing in [Sha Lu]'s room, fiddling with a lamp.
1:19:46|1:19:50|After turning on the light, [Xiang Shaolong] affectionately rubbed [Sha Lu]'s face.
1:19:50|1:19:53|The scene shifts, [Xiang Shaolong] arrives at a new real estate agency to work.
1:19:58|1:20:3|He took the food handed to him by his colleagues, and ate it carefully.
1:20:3|1:20:9|On the other side, [Very Wong] sat at the company entrance, handing out property advertisements to passersby.
1:20:9|1:20:17|[Ahei] is working in the construction site, pulling goods from the city and countryside with the Nangongs. [Sha Lu] is standing in front of the blackboard teaching, with the blackboard covered in English writing.
1:20:17|1:20:25|Sitting below are a group of middle-aged and elderly students dozing off. Suddenly, a notice of debt appears in front of the camera, with the words clearly written on it.
1:20:37|1:20:46|[Sha Lu] handed a paper bag to [Xiang Shaolong], who changed into new pajamas and walked up to [Sha Lu].
1:20:46|1:20:52|He kissed [Sha Lu] and pushed her down in his nursery.
1:21:6|1:21:10|With only two days left until the closing date, Xiang Shaolong, Sha Lu, and Very Wong are having a barbecue on the rooftop.
1:21:10|1:21:15|[Xiang Shaolong] and [Sha Lu] had their arms around each other, while [Very Wong] confessed his feelings to [Ah Hei].
1:21:15|1:21:21|The scene shifts, [Sha Lu] arrives at [Xiang Shaolong]'s company to deliver food.
1:21:21|1:21:22|At this moment, [Very Wong] suddenly received a phone call.
1:21:44|1:21:50|When [Sha Lu] and [Xiang Shaolong] arrived at the airport, many intermediaries had been waiting for a long time and were blocked by security guards in the aisle.
1:22:1|1:22:10|Xiang Shaolong and Sha Lu were arranged to leave from the back door immediately by the accompanying staff, while a group of intermediaries followed closely behind, with Very Wong and Very Wong at the back of the crowd.
1:22:10|1:22:13|Turning around, [Xiang Shaolong] saw Aunt Jiang standing behind him.
1:22:14|1:22:18|Aunt Jiang looked at [Sha Lu] next to him, and the three of them felt a bit awkward.
1:22:18|1:22:27|Later, Aunt Jiang used her own public transportation card to swipe open the glass door beside her, turned back to [Xiang Shaolong], and glanced at Mr. Shi who had already walked far away.
1:22:31|1:22:35|[Sha Lu] also casually picked up a bottle of mineral water from the table.
1:22:35|1:22:36|Xiang Shaolong and Sha Lu intercepted the road by taking a shortcut.
1:22:41|1:22:56|[Sha Lu] handed the water to Mr. Shi, while they ran and talked.
1:22:56|1:23:0|Followed by a group of people holding real estate ads, Xiang Shaolong rushes forward economically.
1:23:0|1:23:4|A group of people ran over, and a piece of advertisement fluttered to the ground.
1:23:10|1:23:13|Sha Lu lifts up the cage, Mr. Shi runs away.
1:23:13|1:23:15|Two of them were knocked down to the ground by a group of people.
1:23:18|1:23:22|A car stopped in front of [Mr. Shi], and several people quickly got in.
1:23:22|1:23:29|[Xiang Shaolong] pushed away a group of real estate salespeople with all his might.
1:23:29|1:23:33|The driver turned out to be [Ah Hei].
1:23:33|1:23:37|He made a sharp turn and left the group of real estate agents far behind.
1:23:37|1:23:46|[Ahei] goes against traffic, narrowly avoiding two cars, and scares [Xiang Shaolong], [Sha Lu], and [Mr. Shi] in the car, along with the assistant, with a mysterious and terrifying dragon face, screaming in violation of the rules.
1:23:50|1:23:59|With the roar of the engine and the intimidating black smoke from the exhaust, Xiang Shaolong, like driving a race car, chased after him, even forcing the oncoming vehicles to stop.
1:23:59|1:24:5|[Ahei] drove to a bridge and saw through the rearview mirror a line of cars crazily chasing behind.
1:24:5|1:24:10|[Ahei] remains calm, smoothly shifting gears and accelerating ahead in the group of cars.
1:24:39|1:24:44|Other real estate agents' cars followed closely behind, and [Ah Hei] smoothly turned into a roundabout.
1:24:44|1:24:49|At this moment, a McLaren cut in from the side and forced the other vehicles to stop in the convoy.
1:24:49|1:24:57|[Very Wong] drove the McLaren alongside [Sha Lu] and [Ah Hei], pointing outside the window in surprise to [Xiang Shaolong], as the others in the car turned to look at [Very Wong].
1:24:57|1:25:3|[Ahei] gave a thumbs up to [Very Wong], who ran his thumb across his nose and made a cool gesture.
1:25:4|1:25:13|Following that, [Ah Hei] pointed to his own eyes and then gestured towards the back, indicating [Very Wong], who then drove out along the roundabout.
1:25:13|1:25:33|[Ahei] had a smooth journey here. When he met up with [Very Wong], without stopping the car, [Very Wong] opened the door and got into the passenger seat. They headed towards the road that must pass through Wushuangtai. Workers were diligently coloring the original lines on the ground.
1:25:35|1:25:55|The useless road signs were also removed, and a large poster of the councilor was hung up behind the road, with the words "Successfully improved traffic congestion in Banshan, changing the one-way road sign to two-way, lowering the minimum speed to 70 mph, and painting over the stop lines on the road. The female councilor stood on the side of the road waving and greeting passersby.
1:25:55|1:25:59|The cameraman is also shooting on the side.
1:26:13|1:26:19|Between [Xiang Shaolong] and [Sha Lu], Mr. Shi picked it up in the car.
1:26:21|1:26:23|Xiang Shaolong, Sha Lu, and Very Wong arrived at the Wushuang Platform.
1:26:42|1:26:45|The two assistants sat on the side, looking at the documents.
1:26:45|1:26:47|Xiang Shaolong and [Sha Lu] opened the balcony door.
1:27:4|1:27:20|Mr. Shi held Xiang Shaolong's face, kissed it, kissed it again, and smiled, saying.
1:27:20|1:27:26|Mr. Shi looked at his assistant sitting beside him, who gave him an OK gesture, and he reached out his right hand to [Sha Lu].
1:27:37|1:27:48|As the two were about to embrace, Xiang Shaolong intervened.
1:27:48|1:27:55|Xiang Shaolong excitedly embraces [Sha Lu] and spins around in place.
1:28:2|1:28:6|After Xiang Shaolong finished speaking, the remaining three people stared quietly at his face.
1:28:19|1:28:25|Everyone laughed happily and embraced each other, cheering joyfully.
1:28:25|1:28:30|The scene shifts, with an African beauty sitting at the back of an open truck.
1:28:30|1:28:34|[Very Wong] and [Sha Lu] were waving their hands at the truck while wearing tank tops.
1:28:48|1:28:54|The camera pans to a lakeside far away from the city, surrounded by several three-story small buildings.
1:28:54|1:29:0|[Sha Lu] looked through the letters inside and smiled happily.
1:29:0|1:29:7|She handed two postcards to Xiang Shaolong, who was watering the plants, then opened a letter and took out an advertisement paper filled with housing listings.
1:29:12|1:29:18|[Xiang Shaolong] took the advertisement from his hand, [Sha Lu] smiled at him and walked away.
1:29:18|1:29:22|He crumpled the advertisement into a ball and threw it into the nearby trash can.
1:29:22|1:29:28|Later, the two of them rolled up in sleeping bags together, with many outdoor items still on the table in front of them.
1:29:28|1:29:32|The two of them playfully bickered while happily packing their bags.
1:29:52|1:29:59|They packed their bags and ran happily on the slope, arriving at a lush lawn for camping.
1:29:59|1:30:4|Sha Lu walked out of the tent and sat on a small chair opposite Xiang Shaolong.
1:30:15|1:30:20|The two of them ran freely hand in hand on the grass.
