0:2:50|0:2:58|The unruly steed continued to gallop forward, and the group turned towards another intersection.
0:58:1|0:58:28|[William] absentmindedly rummaged through his clothes, [William] furrowed his brow in thought for a moment, while straightening his clothes, he said: Facing the questioning gaze of [Dian Shuai], he nodded and said: [William] gazed at [Dian Shuai], then turned to look at the black powder in his fingertips.
0:58:31|0:58:41|[William] nodded, looking at [Dian Shuai] with confusion.
0:58:58|0:59:17|[William] finished speaking and looked towards [Dian Shuai]. In the dim light, [Dian Shuai] had a complex expression, nodded in agreement, then stood up and looked at [William] solemnly, saying: [William] gazed at [Dian Shuai], who did not respond. [Dian Shuai] then turned around and walked away briskly.
0:59:17|0:59:20|[William] looked at the figure's back with some confusion.
0:59:20|0:59:27|At night, the city walls were lit with fire, and inside the iron cage, the beast roared. Outside the iron cage, heavily armed soldiers stood facing each other with long spears.
0:59:27|0:59:49|Counselor Wang, holding a long pole with a magnet attached at one end, slowly approached the iron cage. Inside, the ferocious beast roared and violently slammed against the cage. Counselor Wang stopped, extended the pole with both hands, allowing the magnet to slowly approach the beast in the cage, which immediately quieted down.
0:59:49|0:59:58|The censor on the side showed a pleased expression, and [Dian Shuai] and the surrounding generals and soldiers were extremely surprised, while the censor clapped and cheered.
1:0:13|1:0:23|On the night-colored city street, soldiers in iron armor marched in formation. The high-ranking official sat on his chair and saw the iron cage behind him, a smile creeping onto his lips.
1:0:24|1:0:33|The sound of hooves fades away as the convoy disappears into the night. In the stone corridor, [William] stealthily approaches, passing by a room where a young soldier is washing dishes.
1:0:33|1:0:45|The young soldier looked up at [William], who nodded affirmatively. The soldier looked puzzled, but [William] nodded again before turning around and striding away.
1:0:45|1:1:0|William stopped in front of the wooden door, pushed it gently, stepped into the room where his friend Pero was sitting. William looked at Pero, who ignored him. William casually closed the door.
1:1:0|1:1:20|After glancing at [Pero], he walked into the room. [Pero] coldly said, [William] sat down with a thud, staring at [Pero] and said, [Pero] sneered at this, and [William] felt he had gone too far.
1:2:18|1:2:25|[William] grabbed [Pero] by the chest and forcefully pushed him against the wall, holding a dagger to his throat.
1:2:29|1:2:49|[William] put away his fierce look and set down the dagger, casually sticking it into the table. Then he walked out, as an announcement came from the Great Wall in the night.
1:3:1|1:3:19|On the city wall, cavalry lined up and galloped, their hooves shattering the calm night. The torches in the hands of the Forbidden Army spread light along the wide Great Wall. Suddenly, the outer city wall was illuminated as a giant fire lamp was dropped down by an iron chain, followed by soldiers swiftly descending from the wall with flying ropes.
1:3:19|1:3:26|Shuttles of arrows were launched, figures flashed by, and the vertical outer wall of the city looked like a walk in the park for the Imperial Guards.
1:3:26|1:3:38|Further down the steep cliff, there were stone trees and hemp ropes falling. The Imperial Guard descended along the hemp ropes to the cave at the bottom of the cliff. Beside them, Counselor Wang held a torch to explore, while inside the stone chamber, Balade opened a gap in the wall.
1:3:38|1:3:48|[Pero] approaches the candle and quickly removes it.
1:3:48|1:3:56|In the cave, hundreds of imperial guards held torches, illuminating the huge cave which was five to six meters wide and seemingly bottomless.
1:3:57|1:4:3|[William] walked into the stone room, looking around at the empty space, [William] realized that something was amiss.
1:4:4|1:4:11|In the corner of the wall, the gap is particularly eye-catching. In the city, two disguised soldiers are secretly observing behind a stone pillar.
1:4:11|1:4:21|After the soldiers left, the two of them quietly followed, sneaking past the small soldiers in the kitchen, hiding and dodging along the way, until they arrived at a large iron gate.
1:4:21|1:4:30|[Balade] put down the burden, took out the prepared black powder from it, untied the rope and hung it on the iron chain. He gently straightened the fuse.
1:4:40|1:4:53|The match in the stone room lit up, the fuse ignited, [Balade] quickly retreated, while [Pero] also hid behind the iron roof and peeked out to look at the iron door. The fuse was about to burn out but didn't explode, only emitting a few sparks before going silent.
1:4:57|1:5:35|Behind the bronze tripod, two figures poked their heads out again. Upon hearing the words, [Pero] walked forward, while [William] ran towards another passage. The soldier washing dishes in the kitchen stopped, untied his apron, and nervously rushed out, catching up with [William] in quick steps. He hesitated briefly at the stairs, then hurried off again. The entrance was a mess, with [Pero] and the others sitting on the ground. [Balade] patted [Pero].
1:5:45|1:5:51|Balade casually comforted [Pero], throwing the sack to him, and the two cooperated to fill the bag with gunpowder.
1:5:51|1:5:57|[Pero] suddenly stopped and looked towards the door, Balade followed his gaze and saw it was [William].
1:6:50|1:7:5|Balade cut the rope near the wall corner, causing the black powder hanging high to hit [William]. They both carried sacks of black powder and left the cave.
1:7:41|1:7:57|In the desert, two men and three horses gallop wildly, reaching a hill where they both stop their horses and look back at Chang'an, the ancient eastern dragon. Just as dawn breaks over Bianjing City, the imperial convoy of fast horses rushes through the Meridian Gate towards the palace.
1:7:59|1:8:11|At a glance, the majestic imperial city with its grand city gates, towering walls, wide roads, and exquisite pagodas, the palace adorned with carved beams and painted rafters, the young emperor curiously stepped down from the dragon throne.
1:8:13|1:8:20|The concubines on both sides and civil and military officials slowly approached, covered with iron cages wrapped in sackcloth, emitting bursts of sobbing.
1:8:20|1:8:39|The young emperor descended the steps, and the [Imperial Guard Commander] pulled aside the cloth, revealing a terrifying appearance that made the officials gasp and retreat. The young emperor gave a questioning look to [Officer Shen], who then gestured for the emperor to come forward and inspect closely. Frowning, the young emperor approached to carefully examine the sharp teeth and claws of the terrifying creature.
1:8:59|1:9:8|General Wu shouted angrily in the military camp, William was twisted and thrown to the ground, and General Dian Shuai walked over quickly with an unhappy expression.
1:9:9|1:9:17|[William] was tied up with his hands behind his back, sitting on the ground, while [Dian Shuai] rushed over, trembling with anger.
1:10:5|1:10:15|[Dian Shuai] turned to look at [William], unable to help but consider whether what [William] had just said was true.
1:10:16|1:10:23|The young soldier was just about to speak when he was lifted up by [General Wu].
1:10:25|1:10:30|General Wu angrily pushed away the young soldier and looked towards Dian Shuai, as Dian Shuai made up his mind.
1:10:33|1:10:39|He looked at [William], who met his gaze with a determined expression, while General Lin [Dian Shuai] looked away.
1:10:43|1:10:47|He finished speaking and walked away quickly.
1:10:49|1:10:57|The huge prison gate opened, [William] was thrown into the cell, and [William] sighed unwillingly.
1:10:57|1:11:22|On the desert, [Balade] and [Pero] rode horses carrying black powder. They reached a crossroads, with [Pero] looking around. [Balade] pointed upwards, and [Pero] dismounted and climbed up the rocky slope. As [Balade] watched the figure in the distance, he pulled the reins and ran off with the black powder.
1:11:24|1:11:43|[Pero] was furious. Soldiers on the city wall poured black powder into the bellows, pulled the handle, and created a rough hot air balloon that slowly took off.
1:11:43|1:12:11|Black smoke rises along the entire Great Wall, fierce winds blowing each hot air balloon. [William] hears a strange noise and quickly gets up to look out the window. A massive hot air balloon crashes, debris scattering in all directions. Another balloon explodes in the sky, soldiers falling from the air. General [Dian Shuai] commands the troops.
1:12:18|1:12:29|The hot air balloon swayed as it floated towards the distance, with [William] standing on it, overlooking the majestic Great Wall. Fires were blazing, and numerous hot air balloons were falling with thick smoke.
1:12:34|1:12:44|The young soldier at the prison door anxiously unlocks the door, pulls the latch, and opens the cell. [William] walks out slowly from the cell, and the soldier smiles at him.
1:12:45|1:12:52|[William] runs through the crowd on the city wall, and hurries to find [Counselor Wang].
1:13:7|1:13:15|Counselor Wang looks at the hot air balloon flying into the distance.
1:13:33|1:13:55|[Counselor Wang] said helplessly, [William] turned and left after a moment of contemplation, but stopped abruptly after taking a few steps. He looked back at the few scattered hot air balloons floating in the sky, a sudden realization dawned on him - perhaps they were carrying the last hope of the people.
1:14:4|1:14:13|General hands over the armor and arrows with both hands, William takes them.
1:14:18|1:14:31|[Counselor Wang] sought the opinion of [William], while in the wilderness [Balade] was holding three wild horses. Suddenly, the voices of the Khitan people could be heard approaching. In the blink of an eye, dozens of riders had already arrived, surrounding [Balade].
1:14:31|1:14:40|In the grand hall, [Officer Shen] slowly takes out a magnet from the iron cage.
1:14:52|1:15:21|[Officer] slowly retreated with a magnet in hand, marking down nine feet. The fierce beast in the cage suddenly caught sight, flew towards [Officer] with the iron cage, and threw it out. The beast used the brown fur on its back to pass on information. On the wilderness, the beast army was galloping, and the beast king suddenly stopped, raised its horns to send a signal. Thousands of beast army suddenly changed direction and ran eastward.
1:15:22|1:15:32|Leading the way are [William] and [Balade], this team is vast and mighty, advancing like a tide, heading towards Bianliang.
1:15:32|1:15:44|In the bustling city, unaware of the impending disaster, the beast in the iron cage struggled on the grand hall. The [Officer Shen] on the ground threw a magnet, which stuck to the iron cage, finally calming the beast down.
1:15:44|1:15:53|The huge hot air balloon gently drifted down from the sky, with [Counselor Wang] tightly holding onto the direction while the young soldiers worked hard to operate the bellows.
1:15:53|1:15:58|[William] looked at the dilapidated town beneath his feet, with flames soaring into the sky, furrowing his brow involuntarily.
1:16:7|1:16:36|By the desert campfire, the Khitan people poured gourds filled with gunpowder together. Beside them, [Balade] had his mouth blocked and couldn't warn about the danger of the gunpowder. The Khitan people tossed the gourds back and forth until one rolled into the fire. [Balade] panicked as the fuse was quickly ignited, and the explosion startled [Pero] in the distance.
1:16:37|1:16:57|He got up and ran towards the direction of the explosion. Dozens of hot air balloons were coming with the wind in the sky above Bianliang. Groups of gluttons were running wildly on the imperial city road, climbing walls and leaping from rooftops to pounce on the hot air balloons.
1:16:57|1:17:5|The Forbidden Army shooting arrows actually attracted the siege of the gluttons. The gluttons leaped up, dragged down the archers, and they died immediately upon landing.
1:17:5|1:17:14|The Taotie, having tasted the sweetness, became more ferocious and pounced towards the sky. [Dian Shuai] stabbed with his spear to stop the Taotie's attack, but ended up falling to the ground himself.
1:17:14|1:17:17|The soldiers jumped down one after another to assist in the battle.
1:17:25|1:17:35|The female soldier kicked the wall and retreated, then made a move with a backstabbing spear, killing the glutton but being carried away by the airborne glutton. [Dian Shuai] pursued, only to be surrounded by more gluttons.
1:17:36|1:17:45|The Taoties slowly tightened the encirclement, [Dian Shuai] slowly retreated with a spear in hand, and the voice of [William] came from the hot air balloon.
1:17:45|1:18:1|[Dian Shuai] raised the spear with one hand, [William] grabbed the spear in mid-air, lifted [Dian Shuai] into the air, and ignited the thunder bomb.
1:18:7|1:18:14|[Dian Shuai] took over and threw, shattering five or six Taoties.
1:18:15|1:18:31|[William] took the opportunity to drag [Dian Shuai] into the hot air balloon. Looking down, the beasts formed a circle, feeding the beast king in the center.
1:18:39|1:18:47|The hot air balloon was torn by the eaves, swaying and falling into the crowd behind the hall, and the rolling hot air balloon was pierced by a spear.
1:18:53|1:19:10|[Dian Shuai] and others stood up to find themselves surrounded by the [Imperial Guard Commander]. [Dian Shuai] took out the military token, and the hall was already in chaos. Leading the troops through the front hall, [Dian Shuai] proudly arrived in front of the hall, with palace maids fleeing on both sides of the dragon throne.
1:19:18|1:19:26|The old eunuch walked to the dragon throne and called for the young emperor to come out. The young emperor, dressed in a dragon robe and a golden crown, slowly emerged half of his body, frowning and shouting loudly:
1:19:52|1:19:56|The old eunuch carefully helped the emperor sit back on the dragon throne.
1:20:17|1:20:31|In the desert, [Pero] is playing with the black gunpowder he picked up, with three spirited horses dragging the gunpowder beside him. He sits alone in the desert.
1:20:31|1:20:39|Further away, a pair of shadowless Imperial Guards came galloping towards them. [Pero], whose eyes were still blinded by greed, had not yet realized the seriousness of the situation.
1:20:54|1:21:2|The Qilin is covered in black powder bombs, with the Imperial Guard Commander leading the way in the dungeon, William at the front.
1:21:2|1:21:10|The Forbidden Army pushes a small cart, on which a Taotie is tightly bound by iron chains. Suddenly, a voice comes from above.
1:21:14|1:21:24|[Counselor Wang] signaled to stop, and everyone looked up through the sturdy net to see the Taotie running above their heads. [Dian Shuai] gestured for everyone to remain silent.
1:21:24|1:21:33|Counselor Wang waved his hand to signal everyone to move forward slowly, not to startle anyone. Everyone cautiously walked forward and finally arrived at a doorway, stepping in gently.
1:21:33|1:21:37|Everything suddenly became clear inside.
1:21:39|1:21:51|Inside was a pagoda, with spiral staircases on both sides. Looking up, it was eight or nine stories high. Suddenly, a monster reached through the bars and grabbed the soldiers in the dungeon.
1:21:52|1:21:58|The soldier was hoisted high up, [William] vigorously swung his spear, cutting off the monster's arm. The soldier fell down, and everyone rushed forward to check the situation.
1:22:2|1:22:6|Counselor Wang rushes to the injured young soldier beyond the carriage.
1:22:6|1:22:14|The young soldier struggled in pain, the blood on his shoulder staining the iron armor red. [William] crouched down and gently opened the torn armor.
1:22:21|1:22:25|[Dian Shuai] nodded, and everyone stood up and left.
1:22:25|1:22:40|Inside the pagoda, two small carts, one carrying a gluttonous beast and the other carrying pork, slowly come to a stop. The people approach and crouch down to untie the beast, while cries can be heard from the dungeon passage.
1:22:41|1:22:44|The crowd picked up their weapons and got ready.
1:22:44|1:22:52|The soldier in the corner slowly climbed up, picked up a string of exploding arrows, lit the fuse, and left behind a smile as he turned around.
1:22:53|1:22:56|Just as [William] launched an attack,
1:22:59|1:23:13|A huge explosion sent rocks flying everywhere. As everyone looked on, the passage to the dungeon was completely blocked by the rubble, leaving everyone staring sadly at the pile of stones. Underneath the pile lay the young warrior who would never return.
1:23:13|1:23:32|[Counselor Wang] lifted the latch, slowly opened a crack, and peered through it as the gluttonous figure roamed around. [Dian Shuai] signaled for [Counselor Wang] to open the door wide. [Counselor Wang] gently picked up a magnet, held his breath, slowly stepped back, and moved around to the side of the crowd.
1:23:32|1:23:56|He exchanged glances with [Dian Shuai] and took two steps back, the three of them staring at the glutton on the cart. It suddenly opened its eyes, moved its body, slowly stood up, turned its head to glare at the three of them, howled and stepped forward. [William] raised his hand and drew an arrow to guard against any sneak attacks.
1:23:57|1:24:6|Counselor Wang held the magnet, intimidating the Taotie from advancing.
1:24:9|1:24:19|The Taotie growled and climbed onto the cart, [William] put away his bow and arrow, and everyone watched the Taotie warily as it sniffed the pork in front of it and took a big bite.
1:24:29|1:24:37|The three of them ran out of the door and looked around at the trace of the Taotie.
1:24:37|1:24:42|The Beast King is surrounded by thousands of gluttons on the square.
1:24:44|1:24:51|The Female General acted as a guard, the strong Female General grabbed it and examined it closely before throwing it to the ground.
1:24:51|1:24:55|It retracts the bat, clears the way, and allows it to deliver food to the beast king.
1:24:55|1:25:0|Suddenly, a Taotie noticed the three of them, and [Counselor Wang] held up a magnet to deter it.
1:25:0|1:25:8|The crowd hurriedly retreated and closed the gate. It was only a matter of time before they were discovered and attacked. The three of them looked up at the top of the tower simultaneously.
1:25:10|1:25:15|The sound of the door being smashed came, [Counselor Wang] quickly walked to the door and raised the magnet.
1:25:17|1:25:26|[Dian Shuai] picked up the grappling hook, grabbed a spear and followed [William], while [Counselor Wang] held a magnet in one hand and a knife in the other, watching the two go upstairs.
1:25:26|1:25:33|They walked through the magnificent staircase to the window, opened a gap and looked down.
1:25:33|1:25:47|Groups of gluttons fed the Beast King, [William] drew his exploding sword, pulled back his hard bow one after another, lit the fuse, and shot an arrow.
1:25:51|1:25:57|The bat demon spread its wings and deflected the arrows, the explosion startled the beast king who was eating.
1:25:57|1:26:1|The Taotie looked around for humans and quickly closed the window.
1:26:3|1:26:15|After the two of them finished speaking, they rushed up the stairs. On the square, the Beast King looked around, trembling its horns, giving orders. Groups of gluttons attacked two high towers, while inside one tower stood [Counselor Wang] guarding the entrance.
1:26:16|1:26:22|The Taoties broke in from above, and [Counselor Wang] knew that guarding the gate was meaningless.
1:26:24|1:26:31|After saying that, he threw the magnet up, and [Dian Shuai] extended his spear to attract the magnet.
1:26:31|1:26:39|Dian Shuai looked tearfully at the already fallen base of the pagoda as more and more gluttons broke in through the windows on the lower floors.
1:26:39|1:26:47|[William] no longer hesitated, quickly walked upstairs, arrived at a window, opened it, and locked onto the location of the bomb-devouring monster.
1:26:47|1:26:53|He pulled the bowstring with a determined look, lit the fuse, and released the arrow.
1:26:54|1:27:3|The sword whistled past and struck the bomb on the Taotie, only to be deflected once again by the spread wings.
1:27:5|1:27:11|The angry Beast King looked up at [William] on the rooftop, signaling the Taotie to attack.
1:27:11|1:27:16|Thousands of Taotie creatures surged towards the pagoda of [William].
1:27:28|1:27:47|[William] stepped forward and pulled the magnet off the spear, the two of them gathered together to straighten the flying rope, lit the fuse, swung out the pagoda. And at that moment, countless demons rushed in and pounced on the two in the air, the rope drawing graceful arcs in the sky.
1:27:47|1:27:51|Ten bloodthirsty mouths flew towards them, but did not harm the two of them in the slightest.
1:27:51|1:28:18|[William] raised the magnet and threw it into the heart of the beast pack, followed closely by spears tied with black powder. The magnet prevented the wings from spreading, the spear pierced the beast king, biting it off, all the bombs detonated simultaneously, overturning the core of the beast pack. [William] and [Dian Shuai] crashed through the window, rolling down from the eaves. In the urgency, [Dian Shuai] grabbed the eaves with one hand and caught [William] in mid-air with the other hand.
1:28:21|1:28:31|[William] struggled to turn in the air and grabbed onto the eaves with one foot. With [Dian Shuai] pulling hard, [William] clung on with both arms tightly, and with [Dian Shuai]'s assistance, the two of them climbed onto the eaves.
1:28:31|1:28:35|But [William] accidentally stepped on a tile and smashed it onto the glutton.
1:28:36|1:28:47|The 10-meter-high army of gluttonous beasts collapsed like a mountain landslide. [Dian Shuai] showed a look of relief, signaling the success of the plan to kill the Beast King. As recorded in historical documents, after the Beast King's death,
1:28:47|1:28:49|The Taotie stopped moving.
1:28:49|1:29:1|The stiff and tough tao tie at the moment is the best proof, they saved the people and the world in times of crisis, the nine states will no longer suffer from their disturbance, and the world will be stable.
1:29:4|1:29:14|The warhorse galloped in the yellow sand, heading towards the majestic Great Wall. The leader of the pack, a tall and majestic horse, is none other than [William].
1:29:14|1:29:20|They walked towards the prison gate, the soldier unlocked the door, [William] looked at [Pero] bound in iron chains.
1:29:21|1:29:25|[Pero] slowly looked up and saw [William], he's still alive!
1:29:28|1:29:37|[William] pursed his lips and walked forward, looking at [Pero] with a complex expression. He smiled and said:
1:30:32|1:30:40|[William] smiled and took out a key, walking up to unlock the door for [Pero].
1:30:48|1:31:2|[William] suddenly stopped, it turned out to be Lin [Dian Shuai] walking towards him on the stairs, [Pero] looked around anxiously. Saying that, [Pero] returned to the cell, and casually closed the cell door behind him.
1:31:2|1:31:11|Lin [Dian Shuai] climbed up the steps in armor and stood before [William].
1:31:30|1:31:36|Pero's complaint made the two of them unable to help laughing.
1:31:42|1:31:47|[Dian Shuai] lowered his head and remained silent for a moment.
1:31:49|1:31:59|Lin [Dian Shuai] nodded, and the procession of carriages and horses outside the Great Wall moved forward in a line, winding along the narrow path, exuding a majestic aura.
1:31:59|1:32:17|The troops of the Great Wall marched with such grandeur, the procession slowly came to a halt. Leading the way, [William] and [Pero] looked back at the Great Wall with mixed emotions. The former Female General on the wall has now been promoted to the rank of Female General of the Cavalry.
