0:1:9|0:1:13|In a wide alley, the sunlight shines particularly bright on the street.
0:48:19|0:48:32|Speak up, Jingde pulled out a sword from the waist of Prince Qi, after five swords, he unbuttoned his shirt, revealing the long scar on his back. [Li Shimin] was shocked and speechless, while there were still scars of varying depths on Jingde's chest and arms.
0:48:32|0:48:36|Li Shimin spoke as he saw the Crown Prince Leng Heng.
0:48:43|0:48:48|[Li Shimin] and the soldiers knelt down one after another to beg for mercy for Jingde, which greatly offended the Crown Prince and his king, leading to a final decree.
0:49:4|0:49:7|Li Shimin bid farewell to Jingde in the mountains as the sun set in the west.
0:49:36|0:49:47|Yuchi Gong knelt down solemnly in front of [Li Shimin], his knees hitting the ground and raising a cloud of dust. Then, with great respect, Yuchi Gong bowed to [Li Shimin] and performed the kowtow ceremony.
0:49:47|0:49:52|Li Cheng, [Li Shimin] couldn't contain his emotions, he touched Jingde's hands and helped him up.
0:49:52|0:49:57|The two of them, Yuchi Gong and Su Yumei, looked at each other with reluctance, tears already welling up in their eyes.
0:49:57|0:50:4|In De's eyes were full of gratitude, grateful for the mercy in the midst of war, grateful for the monarch's discerning grace.
0:50:5|0:50:9|Li Shimin's eyes were filled with guilt, but more with reluctance.
0:50:9|0:50:17|Ashamed of not giving General Yuchi Gong the treatment he deserved, reluctant to let go of the pillar he had nurtured, he was about to leave and wander the world.
0:50:17|0:50:24|Even the usually carefree Yuchi Gong couldn't bear to watch such a sad scene, he turned around and walked away with his head down.
0:50:24|0:50:29|Jingde, seeing the situation, quietly took the black horse's reins and left.
0:50:29|0:50:32|Jingde led his sweat-blooded horse, which had accompanied him in battles for many years, back to his hometown.
0:50:54|0:51:0|This is the place where he forged weapons, and also the starting point of his battlefield conquest.
0:51:37|0:51:41|The Heavenly King's eyes looked puzzled and thin, as if he could see through the affairs of the world.
0:51:58|0:52:3|He then stood up and respectfully placed the iron whip on the offering rack in front of [Yuchi Gong].
0:52:3|0:52:9|Leaving the Heavenly King's Palace and walking towards home, Jingde witnessed the hardships of the world, with streets covered in sand and dust.
0:52:9|0:52:12|The old man carrying a burden on his shoulders, pouring into the sorrow of life.
0:52:13|0:52:19|Jingde returned to the dilapidated blacksmith shop, the merciless dust seemed capable of blowing the shop down to pieces.
0:52:19|0:52:26|He looked at the crooked signboard and the smoke-filled ground, the blacksmith shop was already a wreckage, lifeless. 
0:52:26|0:52:34|In Jingde's eyes, tears welled up, but in a blink of an eye, it seemed as if his wife was still smiling sweetly at him after preparing a meal.
0:52:34|0:52:39|His wife in his eyes was calling the family to dinner, and Jingde was about to go up to her.
0:52:39|0:52:45|Upon another look, the figure in front of me had disappeared, and the blacksmith shop had returned to its current dilapidated state.
0:52:45|0:52:49|He reached out to grab his wife, but couldn't touch her, no matter how hard he tried.
0:52:49|0:52:55|Jingde lowered his head and saw that the ground was covered with broken bowls and dishes, a mess that was unbearable to look at.
0:52:55|0:53:3|Under the chaotic stack of hay, he picked up a familiar fragment and examined it carefully. It was the large bowl his wife used to serve him meals years ago.
0:53:4|0:53:13|Memories flooded back, the bowl that once held steaming hot meals, now shattered and scattered on the cold ground.
0:53:13|0:53:21|[Yuchi Gong] tried hard to suppress his sadness, picked up the fragments and walked slowly into the room. But when he pushed open the door, all that greeted [Yuchi Gong] was the merciless dust.
0:53:22|0:53:26|The room was filled with dust, as if shrouded in a layer of shadow.
0:53:26|0:53:30|[Yuchi Gong] walked slowly, suddenly his feet were tripped by something.
0:53:30|0:53:34|Under the thatched roof, [Yuchi Gong] saw the buried scissors.
0:53:34|0:53:42|He bent down, carefully pushed aside the straw, picked up the scissors that had fallen on the ground, and gently brushed off the dust attached to the scissors.
0:53:57|0:54:3|At this point, [Yuchi Gong]'s tears couldn't be stopped anymore, holding the scissors full of memories, he broke down and cried uncontrollably.
0:54:3|0:54:10|The mighty and undefeated General [Yuchi Gong], a seven-foot tall man, is now crumbling in memories and breaking down.
0:54:18|0:54:24|Time has not diminished the sorrow in [Yuchi Gong]'s heart, and his longing for his wife and children has only grown stronger over the past twenty years.
0:54:24|0:54:31|No one knows how Yuchi Gong spent these twenty years, and no one knows the inner vulnerability of this invincible hero.
0:54:32|0:54:40|In the distance, within the territory of the Turks, a young warrior hangs upside down with one leg on the side of a horse, while two Turk soldiers with long spears confront the young warrior.
0:54:40|0:54:51|With a swing of his sword, the soldiers were unable to block, the young warrior galloped on horseback and shot arrows, hitting the bullseye, simultaneously shooting two arrows, each hitting the center of two targets.
0:54:51|0:54:58|The Khan and the soldiers watching cheered, but the young warrior clearly was not satisfied with such archery skills and applause.
0:54:58|0:55:2|He continued to ride forward on horseback, already ten meters away from the target.
0:55:2|0:55:9|In the midst of the audience's confusion, the young warrior bent down and shot an arrow backwards, hitting the bullseye directly from behind the target.
0:55:14|0:55:16|After the defeat of the Turkic soldiers.
0:55:29|0:55:36|The young warrior Yuchi Gong shouted joyfully.
0:55:36|0:55:42|[Li Shimin] stood on the city wall, looking at the back of the young warrior leading the troops away, and asked the strategist beside him.
0:55:52|0:56:0|Both of them remained silent, [Li Shimin] looked down at the city with concern, quietly contemplating, his eyes gazing into the distance.
0:56:20|0:56:23|[Li Shimin] apologized with a guilty expression.
0:56:25|0:56:29|After a moment of contemplation, [Li Shimin] said.
0:56:31|0:56:36|[Li Shimin] and [Cheng Yaojin] arrived at Jingde's hometown, where the village had regained its former vitality.
0:56:36|0:56:37|Li Shimin sighed.
0:56:59|0:57:9|In the blacksmith shop, an apprentice saw someone approaching from afar and ran inside to report to Jingde. After the apprentice came out, he continued to stoke the fire. Yuchi Gong walked closer and asked with a smile.
0:57:17|0:57:31|[Cheng Yaojin] and [Li Shimin] followed the apprentice into the house to find Jingde.
0:57:31|0:57:37|The apprentice led the two to the backyard.
0:57:37|0:57:39|[Cheng Yaojin] was hit in the face with mud and fell to the ground.
0:57:56|0:57:57|Jingde hugged the big goose and sat down.
0:58:19|0:58:37|[Li Shimin] asked, [Cheng Yaojin] with a face full of dirt, angrily said.
0:58:37|0:58:42|[Li Shimin] stood up in sorrow and anger, the two looked at each other, and then he left in disappointment.
0:58:42|0:58:48|Jingde looked at Goose in silence, standing in place with a silly smile, while the apprentice followed behind the two muttering.
0:58:52|0:58:57|[Li Shimin] followed [Cheng Yaojin], but [Cheng Yaojin] stopped and walked towards the stable of Jingde.
0:58:57|0:59:0|The apprentice followed in astonishment, staring at [Cheng Yaojin].
0:59:0|0:59:2|[Cheng Yaojin] looked at the horse and sighed.
0:59:37|0:59:46|[Li Shimin] gave the apprentice a silver ingot and left. The apprentice held the silver, feeling somewhat guilty as he watched the two figures walk away.
0:59:46|0:59:52|[Li Shimin] and [Cheng Yaojin] walked their horses on the street. [Li Shimin] hung his head and sighed constantly, lamenting.
1:0:8|1:0:13|[Cheng Yaojin] suddenly turned around, took down the wine gourd hanging on the horse, and ran towards the Jingde family.
1:0:13|1:0:18|[Li Shimin] was a bit puzzled. In a moment, [Cheng Yaojin] arrived at the backyard of the Jingde family with wine in hand, calling out.
1:0:42|1:0:58|Jingde arranged seeds into a pattern, and [Cheng Yaojin] filled two bowls with wine.
1:0:58|1:1:1|Cheng Yaojin drank up in one gulp, and [Yuchi Gong] also drank heavily.
1:1:1|1:1:6|Cheng Yaojin seized the opportunity to snatch the handkerchief from [Yuchi Gong]'s clothes, and [Yuchi Gong] stood up to take it back.
1:1:6|1:1:8|Cheng Yaojin laughed heartily until [Yuchi Gong] spoke.
1:1:36|1:1:39|[Li Shimin] helps up [Yuchi Gong].
1:1:57|1:2:5|Stunned by Cheng Yaojin's question, [Yuchi Gong] stood still, tears in his eyes, trembling corners of his mouth expressing the bitterness and unwillingness that [Yuchi Gong] could not put into words.
1:2:5|1:2:13|[Yuchi Gong] looked ahead with red eyes, then [Yuchi Gong] went to the Hall of the Heavenly Kings, opened the door, and placed the iron whip at the offering place of the Heavenly King.
1:2:13|1:2:17|[Yuchi Gong] respectfully looked at the Heavenly King, and said earnestly.
1:2:33|1:2:35|[Yuchi Gong] picked up the iron whip, and dust rose in the air.
1:2:35|1:2:39|Yuchi Gong looked at the weapons that had accompanied him in battles from all directions with some excitement.
1:2:39|1:2:43|The statue of the Heavenly King overlooks from a high position, as if his eyes can see everything.
1:2:43|1:2:47|[Li Shimin] and Cheng Yaojin also arrived at the Heavenly King's Hall to observe the Jingde.
1:2:47|1:2:51|After making all the necessary arrangements, the three of them returned to Bailiang Pass to lead the troops into battle.
1:2:51|1:2:55|The unpredictable storm, outside Bailiang Pass, marks the beginning of a great battle.
1:2:56|1:3:7|Tang soldiers and Turkic soldiers are engaged in a fierce battle under the towering mountains and steep ridges, with war drums thundering, military flags fluttering, and thick smoke obscuring the sky, the sound of drums echoing powerfully.
1:3:21|1:3:24|Jingde looked at Baolin, feeling both surprised and very familiar.
1:3:33|1:3:37|Jinde and Baolin locked eyes, with a look of anger and determination to win in Baolin's eyes.
1:3:38|1:3:42|Jing De tightened the reins of the horse, while Bao Lin gripped the iron whip in his hand.
1:3:42|1:3:48|Almost simultaneously, Jingde and Pauline rushed towards each other on horseback, and the duel began.
1:3:48|1:3:52|Both of them swung their weapons, and both fell off their horses and rolled to the ground.
1:3:52|1:3:56|With weapons in hand, [Yuchi Gong] and [Su Yumei] struggled to stand up.
1:3:56|1:4:2|[Yuchi Gong] was shocked and stunned as he stared at the bell pendant hanging on [Su Yumei]'s iron whip.
1:4:2|1:4:5|[Su Yumei], after adjusting her stance, charged towards [Yuchi Gong] with an iron whip.
1:4:6|1:4:11|[Su Yumei] has tremendous strength and extremely fast attack speed, forcing [Yuchi Gong] to retreat repeatedly.
1:4:11|1:4:21|[Yuchi Gong] struggled to block [Su Yumei]'s iron whip, he looked at [Su Yumei]'s iron whip and asked.
1:4:21|1:4:30|[Yuchi Gong] took the opportunity to knock the bell off the iron whip of [Su Yumei], caught the bell carefully and rang it, [Yuchi Gong] asked [Su Yumei] in shock.
1:4:34|1:4:42|[Su Yumei] angrily attacks [Yuchi Gong], while [Yuchi Gong] holds an iron whip, restraining [Su Yumei].
1:4:42|1:4:50|In the midst of the struggle, after the two forcefully separated from each other, [Yuchi Gong] raised the iron whip and carefully examined it, only then did he remember that his son's name was engraved on the whip.
1:4:56|1:5:8|[Yuchi Gong] knelt joyfully on the ground, [Su Yumei] regained her strength and stood up, wielding an iron whip to strike at [Yuchi Gong], who lost consciousness in his joy.
1:5:8|1:5:16|Bao Ling swung the iron whip towards Jingde, who closed his eyes to welcome his son's attack. After Bao Ling hit Jingde, she stood stunned in disbelief.
1:5:16|1:5:23|Blood flowed down Jingde's left arm, Baoling felt extremely puzzled, slowly put down her hand, the Turkic soldier with an arrow in his mouth shouted.
1:5:26|1:5:46|The Turkic soldiers surged forward, with [Li Shimin] leading the Tang army to meet them. Warriors charged ahead, wielding their swords and spears, fighting bravely and shedding blood on the battlefield. Life seemed so insignificant in the midst of battle, as the soldiers shouted slogans with great sorrow. In the intense and chaotic melee, Jingde remained kneeling in place, while Bolin stood opposite him.
1:5:46|1:5:50|Cheng Yaojin, holding an axe, charges forward to attack Baolin.
1:5:50|1:5:56|Baolin used an iron whip to confront Cheng Yaojin, knocking him off his horse, stepping on him, and raising the iron whip to threaten him.
1:6:4|1:6:9|The Tang soldiers were in disarray, with a sense of impending danger lingering in their hearts.
1:6:9|1:6:12|Fleeing in panic, they ran back into the White Tower Pass, where the Turkic army achieved a great victory.
1:6:13|1:6:35|Bao Ling, who had achieved a great victory, did not feel the unprecedented satisfaction. She lay on the rocks outside the city, looking at the vast sky. The iron whip stood in front of her, witnessing the tragic past of Bao Ling's separation from her mother.
1:6:35|1:6:39|Years ago, a mother was holding a baby to escape from a group of soldiers' pursuit.
1:6:43|1:6:51|The mother exchanged Baoling for tree branches on the ground, and Baoling hid in the bushes with an iron whip.
1:6:51|1:6:53|The mother ran to the edge of the cliff, with no way to escape.
1:6:57|1:7:3|The young Baoling cowered in silence on the side, while her mother, looking at the cliff behind her, was forced to retreat step by step.
1:7:3|1:7:12|She suppressed her tears and leaped into the cliff, leaving her mother with a disfigured face, only to find branches wrapped in the fortress.
1:7:12|1:7:18|Baoling thus saved her life. The thought of this made Baoling extremely heartbroken, unable to lift her head.
1:7:18|1:7:21|[Yuchi Gong] also cherishes the past.
1:7:45|1:7:50|[Yuchi Gong] felt a myriad of emotions as he hung the bell he had taken on the iron edge.
1:7:50|1:7:54|The gentle call of his wife as she hangs a bell on the edge of the bowling alley together.
1:8:2|1:8:8|[Yuchi Gong] focused on hanging the bell on the iron edge, quiet, unaware of the unusual surroundings.
1:8:9|1:8:13|A arrow suddenly shot out from a distance, piercing into the tree trunk beside.
1:8:13|1:8:19|Jingde carefully examined the arrows, then looked in the direction they were shot from, but did not see the archer.
1:8:19|1:8:28|So he pulled the arrow from the tree trunk and found a piece of paper tied to the arrow, with calligraphy written on it in scrolls.
1:8:55|1:9:0|Speak, Jingde bid farewell to [Li Shimin] on horseback and ventured into the woods alone.
1:9:0|1:9:10|[Li Shimin] and the soldiers watched Jingde's back with some anxiety, but Jingde did not look back, riding alone into the depths of the forest to rescue Cheng Yaojin.
1:9:10|1:9:18|Upon entering the forest, a layer of mist pervaded the air. Yuchi Gong cautiously looked around, seeing no one in sight. He still did not dare to let his guard down.
1:9:18|1:9:23|Suddenly, Baolin rode out from the haystack on horseback, wielding an iron whip and charging towards Jingde.
1:9:27|1:9:30|Baolin is on horseback, looking down at him as he speaks.
1:9:53|1:9:59|[Baoling] dismounted and stood on the ground, looking directly at Jingde, then rushed forward the next second.
1:9:59|1:10:18|Jingde raised his left hand and resisted with his right hand. While the two were in close combat, not far away on the cliff, a group of soldiers ambushed by the Turkic Khan. The two were completely unaware. Jingde asked while fighting against [Baoling], who pushed Jingde away and angrily said.
1:10:24|1:10:27|[Baoling] was instantly enraged, Jingde was knocked aside.
1:10:51|1:11:11|During the argument between the father and son, Cheng Yaojin was hanging on a tree shouting slogans. The Tang army, led by [Li Shimin], performed with drums and horns sounding in unison. [Li Shimin] drew his sword to boost morale, and the soldiers raised their arms high and cheered, launching an attack on the Turkic army. Turkic soldiers rushed forward to engage in battle, with both sides evenly matched and the fighting intense.
1:11:11|1:11:13|Heart-pounding and thrilling.
1:11:13|1:11:20|While hanging on a tree in the woods, [Cheng Yaojin] watched as [Jingde] and [Baoling] fought below, still shouting for a turn.
1:11:25|1:11:30|Turkish soldiers had already set up an ambush formation on the distant mountains, aiming their bows.
1:11:30|1:11:34|At the foot of the mountain, [Bao Lin] restrains [Jing De]'s weapon on a tree trunk.
1:11:46|1:11:50|The weapon left a crack on the tree trunk, [Bao Lin] pushed [Jing De] onto the tree.
1:11:58|1:12:2|[Li Shimin] shouted, and [Yuchi Gong] swung the iron whip towards [Li Shimin]'s head.
1:12:2|1:12:6|The scene cuts back to the battlefield where the two armies are engaged in fierce combat.
1:12:6|1:12:9|[Li Shimin] is surrounded by several Turkic cavalry soldiers.
1:12:9|1:12:14|During the chaos of the battle, a fallen soldier was heavily pushed onto the Tang army war drum, then collapsed on the ground.
1:12:17|1:12:31|[Li Shimin] is still fighting against the Turkic army, while in the depths of the forest, [Su Yumei]'s hand holding the whip stops at the most tense moment. The Turkic Khan on the mountain sees the actions of the two clearly. [Su Yumei] turns around and looks up at the sky.
1:13:1|1:13:6|[Su Yumei] slowly stopped the horse, standing between the Khan and Jingde father and son.
1:13:6|1:13:9|He glared down at the Turkic soldiers, raising his whip.
1:13:9|1:13:16|[Su Yumei] pointed at the soldiers, and finally glared at the Khan.
1:13:16|1:13:19|[Su Yumei] whipped and shot at the soldiers, while the Khan used a hidden weapon to hit [Su Yumei].
1:13:27|1:13:30|Bao Ling knelt on the side, with [Su Yumei] looking pained.
1:13:33|1:13:45|[Su Yumei] had blood dripping from the corner of her mouth, she looked at Jingde with pain and affection. With all her strength, [Su Yumei] slowly raised her hand, trying to hold Jingde's hand, but could only touch it lightly, unable to grasp it.
1:13:45|1:13:51|Finally, she exhausted all her strength, blood trickling from the corner of her mouth, and closed her eyes in agony.
1:13:55|1:14:3|Bao Ling pulled out the small hidden weapon from [Su Yumei], carefully examining the sharp hidden weapon resembling a small comb, and suddenly realized.
1:14:3|1:14:7|She stared at the Turkic Khan, whose expression was sinister and eerie.
1:14:7|1:14:11|Bao Ling stood up, raised a hidden weapon, and confronted the Khan.
1:14:23|1:14:32|After Pauline exposed the truth, [Yuchi Gong] smirked cunningly and spoke slowly.
1:14:32|1:14:40|The Turkic warrior [Khan] charged towards Baolin with his sword, while Baolin also rushed towards him with a whip, managing to break the arrow stuck in his chest and assist Baolin.
1:14:42|1:14:48|The Turkic soldier fled, and the father and son forced the Khan to the large tree that had been split before.
1:14:48|1:14:55|The Khan's knife is stuck in the tree, [Su Yumei] squats down and uses an iron whip to bind him to the tree trunk.
1:14:55|1:15:5|Bao Linjian's sword struck, hitting Khan's chest heavily, like chopping wood, one after another, the tree trunk had already broken, Khan's back also seemed to be broken.
1:15:5|1:15:8|With Baolin's final blow, he fell to the ground, bending over with the tree trunk.
1:15:20|1:15:23|[Khan] spits out blood and is killed by Baolin.
1:15:23|1:15:30|Baolin and [Su Yumei] finally resolved their estrangement, their eyes filled with deep affection as they gazed at each other earnestly.
1:15:46|1:15:53|The two looked at the hanging Cheng Yaojin on the tree together, Baoling helplessly laughed and went forward to rescue Cheng Yaojin.
1:15:53|1:16:1|At night, the father and son who ended the great war returned to [Su Yumei]'s home together, their iron whips placed side by side on the shelf, showing great affection.
1:16:2|1:16:6|Sitting by the window, [Su Yumei] sat behind him.
1:16:6|1:16:10|[Su Yumei] carefully applied medicine to the wound on Jingde's shoulder.
1:16:10|1:16:17|With a steady gaze ahead, [Yuchi Gong] shows a determined look on his calm face, revealing no hint of inner turmoil.
1:16:17|1:16:22|Yuchi Gong quietly savored the rare moment of peace and reunion between father and son.
1:16:22|1:16:27|[Su Yumei] put down the ointment plate and looked uncomfortably at the wound on her father's body.
1:16:27|1:16:30|The bond between father and son is stronger than blood, and [Su Yumei] finally called out,
1:16:39|1:16:48|The first time when [Su Yumei] called herself "dad", a complex mix of joy and emotion surged in Jingde's heart.
1:16:48|1:17:5|After carefully applying the ointment, [Su Yumei] gently helped her father put on his robe. Jingde tightly held the handkerchief close to him, looking solemnly at the wrapped handkerchief, his thoughts drifting back to the past, reminiscing about his deceased wife. Seeing his father so absorbed for the first time, [Su Yumei] sat upright next to him.
1:17:6|1:17:12|Watching her father treasure the handkerchief in his hand, [Su Yumei] was filled with curiosity and confusion.
1:17:12|1:17:21|After a long silence, [Yuchi Gong] slowly spoke to Su Yumei.
1:17:27|1:17:33|Yuchi Gong slowly reached out and handed the handkerchief to Su Yumei, who stared at it and took it carefully.
1:17:33|1:17:38|She carefully observed, afraid of damaging anything inside.
1:17:38|1:17:41|She carefully examined it, hesitating to open the handkerchief.
1:17:41|1:17:49|At this moment, Yuchi Gong quietly left, leaving Baoling alone to give her some private space, as Baoling slowly unfolded the handkerchief.
1:17:49|1:17:53|Engrossed in the moment, Su Yumei did not notice her father leaving. Baoling slowly unfolded the handkerchief.
1:17:54|1:17:58|I just saw that the handkerchief was wrapped with a strand of my mother's long hair.
1:17:58|1:18:7|The Doulus person, this strand of long hair was cherished by the father, tied with a rope and a bell, carefully wrapped in a handkerchief, carried close to the body.
1:18:7|1:18:12|Baoling finally understood that her father had always been concerned about the two of them, mother and son.
1:18:13|1:18:18|Thinking of this, looking at her mother's belongings, Baoling was already in tears, unable to speak.
1:18:18|1:18:24|Tears wet Baoling's cheeks, she gently wipes the tears with the handkerchief.
1:18:24|1:18:27|The night was deep, the people were quiet, only a few names were left to be remembered.
1:18:27|1:18:33|Jingde was alone in the room reviewing bamboo slips, while several suspicious figures in black lurked on the eaves.
1:18:33|1:18:39|A group of black-clad individuals with masked faces, unable to see their identities, exerted force to hook onto the nearby tree branches.
1:18:40|1:19:1|Killing time, a few dark figures swiftly pass by, leaping off the roof, entering the Jingde Courtyard, and walking quickly towards Jingde's room. Sensing something unusual outside the room, Jingde closes the letter and the masked men arrive at the door of Jingde's room, one on each side. Inside the room, Jingde quietly lifts the iron whip on the shelf and walks towards the door, while outside, the masked men also raise their large knives.
1:19:1|1:19:15|Quietly approaching Jingde, inside the room, outside the room, tense and exciting, Jingde suddenly opens the door, but there is no one outside. The next day, with the sky already bright, [Li Shimin] enters Xuanwu Gate alone.
1:19:15|1:19:22|At first glance, the Xuanwu Gate was empty, and just as [Li Shimin] was puzzled, the gate suddenly closed.
1:19:22|1:19:30|In the blink of an eye, the city gate tower of Xuanwu Gate was filled with archers, who had set up multiple ambushes to welcome Li Shimin, greeted by the Crown Prince and Prince Qi.
1:19:33|1:19:42|The conflict between King Qin [Li Shimin] and the Crown Prince Li Jiancheng and Prince Li Yuanji finally erupted.
1:19:50|1:19:53|A fierce battle unfolds at Xuanwu Gate between [Yuchi Gong] and [Su Yumei].
1:19:59|1:20:5|This is the famous Xuanwu Gate Incident in history.
1:20:5|1:20:12|Yuchi Gong carried the head of the Crown Prince Li Jiancheng out of Xuanwu Gate, leaving Li Shimin feeling a mix of emotions.
1:20:12|1:20:21|[Jingde] raised the prince's head above his own head, showing it to the soldiers of the Tang Dynasty. The soldiers surrounding [Li Shimin] were strong and dared not show any disrespect towards him.
1:20:22|1:20:23|[Li Shimin] ascended to the throne.
1:20:40|1:20:45|Just as the war ended, after [Li Shimin] charged forward, everything settled as the dust cleared.
1:20:45|1:20:58|On a normal night, [Li Shimin] had already gone to bed. A cold wind blew, causing the curtains by [Li Shimin]'s bed to flutter continuously. The candlelight in the room went out, creating a dim and eerie atmosphere.
1:20:58|1:21:5|Two men in white robes with long hair slowly descend from the air to the bedside of [Li Shimin], approaching him while shouting.
1:21:34|1:21:38|[Li Shimin] woke up, his forehead covered in large beads of sweat.
1:21:38|1:21:44|It turned out that [Li Shimin] saw the souls of the Crown Prince and the Prince of Qi in his dream, trying to strangle him to death.
1:21:44|1:21:53|The scene in the dream was so vivid, but the faces of the Crown Prince and the Prince of Qi were terrifying, and [Li Shimin] felt a strong sense of helplessness and fear.
1:21:53|1:22:0|He gasped for breath heavily, finally waking up from his dream, while outside the house the birds were chirping loudly.
1:22:31|1:22:42|Cheng Yaojin bid farewell to [Li Shimin], with the setting sun in the west. The next night, Cheng Yaojin prayed towards [Li Shimin]'s bed.
1:22:52|1:22:57|Cheng Yaojin retires, Jingde and Shubao face each other, while Duan is guarding [Li Shimin] outside the door.
1:22:58|1:23:6|Jingde carried a big knife, while Shubao held a long spear. The two of them tightly gripped their weapons all night without any slack.
1:23:6|1:23:14|In the quiet night, time passed slowly as they stood guard, and the sun gradually rose, replacing the darkness of the night.
1:23:14|1:23:22|The next morning, [Li Shimin] pushed open the door, feeling refreshed and energetic, sweeping away the fatigue of the past, and leisurely stretched his body.
1:23:22|1:23:28|Cheng Yaojin, Jingde, and Qin Shubao stood guard outside the door, with Cheng Yaojin anxiously asking.
1:23:34|1:23:38|[Li Shimin] stretched and said with a sigh of relief and satisfaction.
1:24:21|1:24:25|[Li Shimin] affirmed Cheng Yaojin's strategy with joy after hearing it.
1:24:25|1:24:32|The portraits of Yuchi Jingde and Qin Shubao are lifelike, posted outside the palace gate of [Li Shimin], guarding the peace.
1:24:32|1:24:40|From then on, the portraits of Yuchi Gong and Qin Qiong became the door gods of China and were passed down among the people.
