0:1:28|0:1:34|The driver got out of the car and headed straight for the entrance of the club.
0:51:55|0:52:3|Facing the perfunctory nod from [Lu Li], [Lin Chong] rolled his eyes speechlessly, feeling somewhat embarrassed in the face of [Lin Chong]'s lingering resentment.
0:52:18|0:52:23|[Lu Li] pointed angrily at [Lin Chong] while scratching his head, and [Lin Chong] turned around with a mocking smile.
0:52:28|0:52:34|[Liang Cong] looked at [Lu Li] with some dissatisfaction, and [Lu Li] quickly reached out to pat [Liang Cong]'s head.
0:54:0|0:54:4|[Lu Li] frowned and glanced at [Lu Xiaoxing], then looked silently out the window.
0:54:4|0:54:16|The water from the shower head kept spraying out, [Lu Xiaoxing] sat blankly in the bathtub, staring ahead without focus. Suddenly, the alarm went off, [Lu Xiaoxing] numbly got up from the edge of the bathtub, took down the alarm and turned off the shower.
0:54:16|0:54:25|She didn't know the meaning of her actions, whether she was causing trouble or genuinely trying to help. She closed her eyes and heard [Lin Chong]'s angry words echoing in her ears.
0:54:44|0:54:51|[Lu Xiaoxing] weakly raised her arm, embarrassedly covered her eyes, while numerous shallow and deep cuts were visible on her arms and wrists.
0:54:51|0:54:58|[Lu Xiaoxing] sits in the water, tightly hugging her arms, as if this is the only way to give herself a tiny sense of security.
0:54:58|0:55:1|The phone screen on the table suddenly lights up, still showing unknown.
0:55:1|0:55:12|Lu Xiaoxing, wearing a bathrobe, carefully stepped out of the bathroom, feeling her way to the table. She picked up the phone, took a deep breath, and held it to her ear.
0:56:33|0:56:41|The man greedily stared at the diary, with his phone placed on the table. [Lu Xiaoxing] was already in tears, she despairingly put down the phone, finding it hard to accept for a moment.
0:56:41|0:56:48|The phone rang inside the car, showing a call from [Lu Xiaoxing], while at that moment [Lu Li] was discussing the case with [Jingkuang] at the crime scene outside the car.
0:57:14|0:57:20|He refused to move forward, no matter how much he looked up.
0:57:27|0:57:32|[Lin Chong] plugged in his phone to charge, the long message displayed on the screen made him furrow his brows.
0:57:32|0:57:44|Dozens of messages all came from [Lu Xiaoxing], almost all of them were dangerous, asking him not to leave the hospital now. As soon as the words fell, [Lu Xiaoxing] brought [Liang Cong] to the ward, leaving [Lin Chong] incredulously turning back.
0:58:19|0:58:28|[Lin Chong] broke free and walked away without looking back, while his companions sneaked past [Lu Xiaoxing] with their bodies turned sideways.
0:58:28|0:58:33|[Lu Xiaoxing] slowly put down her hand, unaware that the man in the corner not far away had already set his sights on her.
0:58:41|0:58:58|[Lin Chong] looked in the direction of his companion and saw [Liang Cong] carefully boarding a bus on the opposite side of the street. [Lin Chong] disdainfully lowered his head, then suddenly straightened up in alert as he noticed the man following closely behind [Lu Xiaoxing] boarding the same bus. [Lin Chong] hesitated and took two uncertain steps forward.
0:58:58|0:59:6|He saw a man on the bus gradually approaching [Lu Xiaoxing] and [Lin Chong], bowing his head, tightly gripping his phone, and making a decision in a moment.
0:59:13|0:59:29|[Lin Chong] rushed to the other side of the road, flagged down a bus and quickly got on. He anxiously put on his headphones and looked ahead at the bus where [Lu Xiaoxing] was sitting. His phone vibrated, and [Lu Xiaoxing] calmly raised the phone to his ear.
0:59:37|0:59:42|At this moment, [Lin Chong] was extremely anxious, constantly looking ahead, while [Lu Xiaoxing] was clueless, still listening to instructions and putting on headphones.
1:0:2|1:0:14|[Lu Xiaoxing] didn't realize that the man had been watching her every move without any disguise, [Lin Chong] kept staring at the front with his phone, only to find the bus he was on suddenly turning right, leaving [Lin Chong] watching helplessly as the front bus drove away.
1:0:14|1:0:19|Hastily running towards the rear door of the bus, he stared at the bus where Lu Xiaoxing was sitting.
1:0:20|1:0:26|The bus came to a stop just in time at the station. [Lin Chong] hurriedly got off the bus and ran towards the intersection, while [Lu Xiaoxing] pretended to be calm and stood up.
1:0:39|1:0:47|[Lu Xiaoxing] walked forward stiffly, while [Lin Chong] held up his phone and could only see the car door through the camera.
1:0:50|1:0:58|[Lin Chong] was extremely anxious, his feet skating faster and faster. The bus quickly arrived at the stop and parked by the roadside. A man stood to the right rear of [Lu Xiaoxing], following her slow steps down the stairs.
1:1:7|1:1:18|The man followed [Lu Xiaoxing] closely, with a knife pressed tightly against her waist, showing no signs of relaxation. [Lu Xiaoxing] slowly moved onto the blind path, carefully walking forward. She slowly lowered her phone and reached into her bag to search for something.
1:1:18|1:1:26|The man stared alertly at the side of [Lu Xiaoxing], but paid no attention to her hand movements. Suddenly, [Lu Xiaoxing] took out a pepper spray and sprayed it backward after taking a deep breath.
1:1:50|1:1:58|[Lu Xiaoxing] quickly turned into a street under the guidance of [Liang Cong] and [Lin Chong]. [Lin Chong] anxiously stared at his phone, his pace getting faster and faster, while [Lu Xiaoxing] had already reached the end of the road.
1:2:0|1:2:8|[Lu Xiaoxing] hurriedly stopped and felt the patterns on the floor. The man quickly caught up and followed [Lu Xiaoxing] into the mall, rubbing his eyes continuously.
1:2:10|1:2:15|[Lu Xiaoxing] immediately turned the corner and started running along the right passage. The man walked faster and glanced back, his expression becoming even more ruthless.
1:2:18|1:2:26|[Lu Xiaoxing] rushed into the stairwell, losing control and hitting the wall. [Lin Chong] slid forward in increasing urgency, while [Lu Xiaoxing] stumbled down the stairs.
1:2:26|1:2:38|The man walked briskly in the mall, glancing around fiercely. At this moment, Lu Xiaoxing successfully walked down the stairs and continued to run along the tactile paving. Liang Cong ran faster and faster, while Lu Xiaoxing was already exhausted, stumbling and falling to the ground.
1:2:54|1:3:3|[Lu Xiaoxing] felt the tactile paving under her feet, and the path ahead seemed to become clearer in her mind. At this moment, the man rushed towards the staircase, and [Lu Xiaoxing] stood up, feeling her way with her phone.
1:3:4|1:3:12|[Lin Chong] looked at Lu Xiaoxing in the video with a worried expression, while Lu Xiaoxing followed the route in her mind, holding her phone in one hand and feeling her way forward as she ran.
1:3:12|1:3:20|The pace is gradually picking up, the man plunges into the stairwell and rushes downstairs, [Liang Cong] sniffing the scent of [Lu Xiaoxing] on the ground, quickly running towards [Lu Xiaoxing].
1:3:20|1:3:32|[Lu Xiaoxing] dared not stop, running forward quickly. [Liang Cong] finally caught up with [Lu Xiaoxing], sprinting behind her, with the man appearing at the back at this moment.
1:3:32|1:3:36|Upon seeing [Lu Xiaoxing], his expression became more ferocious, and his speed increased.
1:3:38|1:3:46|[Lu Xiaoxing] ran quickly, closely followed by [Liang Cong]. The man was only 100 meters away from them. [Lu Xiaoxing] followed the blind path up a slope and rushed into a first-floor parking lot.
1:3:49|1:3:55|[Lu Xiaoxing] followed [Lin Chong]'s instructions and ran straight to the elevator, while [Liang Cong] also ran into the parking lot and headed towards [Lu Xiaoxing].
1:3:55|1:4:2|[Lu Xiaoxing] stumbled and lunged towards the elevator door, pressed the elevator button, and as she just crawled into the elevator, [Liang Cong] also rushed in.
1:4:3|1:4:21|At this moment, a man also entered the parking lot. [Lu Xiaoxing] hurriedly climbed to the door and pressed the button. The door immediately closed, but the man reached his arm into the elevator, opening the door. He looked viciously at [Lu Xiaoxing], took out a syringe from his pocket, removed the needle cover, grabbed [Lu Xiaoxing]'s chin, and pushed the syringe into [Lu Xiaoxing]'s neck.
1:4:21|1:4:31|Soon, [Lu Xiaoxing]'s eyes became unfocused. Just as the man pulled out the syringe, he was pounced on by [Liang Cong], who bit onto his clothes. [Liang Cong] then roared as he dragged the man out of the elevator shaft, refusing to let go.
1:4:31|1:4:42|Lu Xiaoxing subconsciously covered her neck and weakly fainted in the corner of the elevator, while Liang Cong bit down on the man's clothes and couldn't let go. The man then took out a surgical knife from his pocket without hesitation and stabbed towards Liang Cong.
1:4:42|1:4:55|Blood splattered all over the faces of the men and [Lu Xiaoxing]. [Liang Cong] sobbed, but still refused to let go. As the elevator doors slowly closed, the man could only watch helplessly as [Lu Xiaoxing] left. Inside the elevator, [Lu Xiaoxing] unconsciously furrowed her brows, but ultimately did not wake up.
1:4:55|1:5:0|The man vented all his grievances on [Liang Cong], who finally ran out of strength and weakly let go.
1:5:0|1:5:5|The elevator successfully reached a floor, and [Lu Xiaoxing] was temporarily saved.
1:5:5|1:5:12|[Liang Cong] lay on the ground, covered in blood, already at the end of his rope. The man gritted his teeth fiercely and gave [Liang Cong] a fierce glare.
1:5:12|1:5:20|Crossing over its body and running upstairs, at this moment, [Liang Cong] with eyes tightly closed, collapsed on the ground, bravely finishing his life.
1:5:29|1:5:35|A janitor was mopping the floor when she saw [Lu Xiaoxing], covered in blood, in the elevator, and she collapsed in fear.
1:5:35|1:5:49|[Lu Xiaoxing] was seen slumped in the corner of the elevator, completely unconscious. A police officer rushed into the elevator to help [Lu Xiaoxing] up, while another officer ran towards the door. A man peeked his head out from the corner, quietly observing the scene before him.
1:5:49|1:5:58|[Lu Xiaoxing] lay on the hospital bed, the scars on her wrist particularly striking, while [Lin Chong] sat by the bed with a worried expression written all over his face.
1:6:6|1:6:9|[Lu Li] hurriedly grabbed [Lu Xiaoxing]'s hand, looking helplessly to the side.
1:6:50|1:6:56|Lu Xiaoxing's hand was frozen in midair, unable to move for a moment, while Lin Chong looked at Lu Xiaoxing with tears streaming down her face in distress.
1:6:56|1:7:5|Lu Li turned around with a furrowed brow, unable to bear it, while Lu Xiaoxing's lips trembled, and her nostrils slightly flared as her emotions deepened.
1:7:5|1:7:12|Her shoulders couldn't help but tremble, [Lu Xiaoxing] tightly holding the leash in her arms, constantly rubbing the dog tag that resembled [Liang Cong].
1:7:12|1:7:20|She closed her eyes in pain, and with a powerless bow, [Lu Xiaoxing] cried and cried, sliding directly from the sickbed to sit paralyzed on the ground.
1:7:20|1:7:29|She tightly pressed the leash against her chest, as if trying to merge [Liang Cong] into her life, [Lu Xiaoxing] let out a weak roar, almost out of breath.
1:7:45|1:7:54|[Lu Li] covered his mouth and remained silent, looking out the window, while [Lin Chong] stood by, head down and speechless. The only thing they could do at this moment was to silently accompany each other.
1:7:54|1:8:1|In the busy scene at the police station, an undercover police officer hurriedly walked towards the office of [Lu Li] with a file in hand.
1:8:48|1:8:54|[Lu Li] gave the order, and the police officers hurried to their respective positions. On the other side, [Lin Chong] carefully described the man's appearance.
1:8:54|1:8:59|Soon, a suspect's portrait appeared on the screen, bearing an 80% resemblance to the man.
1:8:59|1:9:5|At this moment, the man is checking the news on the computer, where the detailed description of the night's incident is shown in the news column.
1:9:5|1:9:13|The news reported that the public security department has launched a search based on information from eyewitnesses. The man here has a fierce look on his face, with the corners of his mouth twitching slightly.
1:9:13|1:9:20|He collected himself and quickly typed on the keyboard to search for more information, while the police station was still brightly lit at night.
1:9:37|1:9:42|[Lin Chong] suddenly stood up, instantly attracting countless eyes in the office. He quickly opened his phone and played a song.
1:9:57|1:10:4|On the screen, the singer of the song "Insects Flying" is [Liang Cong].
1:10:19|1:10:27|[Lu Li] excitedly pounded [Lin Chong]'s chest a few times, then grabbed his shoulders and shook him hard.
1:10:34|1:10:40|He approached [Lu Xiaoxing], proudly thumping his chest, while [Lin Chong] frowned and propped up his chin.
1:10:52|1:11:2|[Lu Xiaoxing] held the traction rope and looked lost to one side. [Lin Chong] knew he had misspoken, his excitement vanished completely, and he nervously pursed his lips.
1:11:2|1:11:9|He pondered for a moment, then suddenly got up and gently took Lu Xiaoxing's hand. Lu Xiaoxing, at a loss, let go of the reins and stood up straight.
1:11:9|1:11:15|Lin Chong bent over, holding Lu Xiaoxing's hand with one hand behind his back, looking sincerely into Lu Xiaoxing's eyes.
1:11:18|1:11:26|[Lu Xiaoxing] stared blankly at [Lin Chong], not knowing what he was up to. At night, [Lin Chong] took [Lu Xiaoxing] to an outdoor roller skating rink and taught her how to skate.
1:12:0|1:12:3|As if infected by the emotions of [Lin Chong], [Lu Xiaoxing] also showed a rare smile.
1:12:3|1:12:9|The two of them skated hand in hand leisurely in the roller skating rink, with the ceiling lights resembling stars twinkling above.
1:12:9|1:12:17|Lu Xiaoxing's roller skating skills are not proficient. Every now and then, she stumbles forward, but it doesn't affect her rare moment of relaxation.
1:12:28|1:12:42|A man walked slowly into the basement, where two girls lay unconscious on the hospital bed with IV drips. One of the girls, dressed in white, had her limbs tied to the bed and her face was covered in lines drawn by a plastic surgeon.
1:13:44|1:13:50|The man bent down to turn his sister over and cradled her head, only to find a large patch of blood on the back of her head. He shook his sister's body in panic.
1:13:54|1:14:16|A man in the basement walks slowly towards the girl in the projection, looking at her obsessively. He recalls the scene of that rainy night when he was lying on the ground crying with his sister in his arms. Looking up at the girl in the photo wearing a white dress and smiling brightly, the man's expression reveals endless memories. That night, he sat on the ground holding his sister's body for a long time, the weather mirroring his mood.
1:14:16|1:14:18|It has never been sunny again.
1:14:18|1:14:26|It was still night. The man stood by the French window, looking quietly outside for a long time before turning around and walking slowly towards the desk.
1:14:26|1:14:33|He casually opened the drawer, revealing a dozen identical phones inside, with a dozen SIM cards scattered in the corner.
1:14:33|1:14:39|The man randomly took out a mobile phone and inserted a SIM card, then pressed the power button expressionlessly.
1:14:39|1:14:54|The screen illuminated his gloomy face, then he installed an app on his phone. At the same time, [Jingkuang] was still sitting in front of the computer at the police station, the guy's new ID had already logged in, and [Lu Li] immediately rushed to the screen.
1:15:6|1:15:9|A taxi pulled up in front of the villa where [Lu Xiaoxing] used to live.
1:15:9|1:15:26|After getting off the car, [Lu Xiaoxing] hesitantly reached out and grabbed [Lin Chong]'s arm. While [Lin Chong] led [Lu Xiaoxing] forward, he curiously looked up at the luxurious villa. Meanwhile, [Lu Li] drove the car with [Jingkuang] on the highway. He hung up the phone and looked at [Lu Li].
1:15:44|1:15:53|[Lin Chong] cautiously pushed open the big door, revealing a dark interior. He supported [Lu Xiaoxing] as they walked slowly into the hall, while [Lu Xiaoxing] felt along the wall and turned on all the lights in the room.
1:15:53|1:15:59|[Lin Chong] was amazed when he saw the full view of the villa, his mouth wide open in astonishment, looking around like a curious baby.
1:16:4|1:16:19|[Lu Xiaoxing] felt his way along the wall, slowly climbing the spiral staircase on the side. Meanwhile, [Lin Chong] excitedly walked into the living room, threw himself onto the sofa, patted the firm cushion, and then rolled over to lie down on the other side, stretching out his arms in a very relaxed manner.
1:16:19|1:16:26|[Lu Xiaoxing] then came to [Liang Cong]'s room and searched for something. When she touched [Liang Cong]'s photo frame, she smiled with relief.
1:16:26|1:16:44|Later, she found the ukulele placed in the middle of the cabinet, took it down and held it in her arms, gently stroking it. [Lin Chong] flipped over the photo frame on the table, inside was a family photo of [Lu Xiaoxing] and her family of four.
1:16:48|1:17:3|[Lin Chong] suddenly frowned and leaned in to look closely at the photo of [Liang Cong]. He immediately picked up another frame on the table and then turned to look at the photo on the wall. [Lu Xiaoxing] held the ukulele and forced a smile.
1:17:3|1:17:11|She brought [Lin Chong] to the basement, and in [Lin Chong]'s eyes, there was an excitement and joy that could not be concealed.
1:17:14|1:17:23|[Lin Chong] ran down the stairs excitedly and stood in the center of the basement, looking around. Posters of bands were plastered everywhere, and in front of him was a drum set.
1:17:28|1:17:31|[Lin Chong] excitedly tapped out a rhythm, then looked at [Lu Xiaoxing] with a smile.
1:17:31|1:17:44|[Lu Xiaoxing] looked melancholic, standing quietly by the stairs. Upon seeing this, [Lin Chong] quickly set aside the drumstick and stood in front of [Liang Cong], lighting a match and then three incense sticks. He respectfully bowed three times towards the photo of [Liang Cong].
1:18:10|1:18:19|[Lin Chong] looked at [Lu Xiaoxing] with concern, unable to respond for a moment. At this moment, [Lu Li] and [Jingkuang] also arrived at the Fuhua Mountain Villa. A single street lamp illuminated the entrance of the villa.
1:18:19|1:18:33|Appearing particularly eerie, [Lu Li] and [Jingkuang] got out of the car and looked cautiously towards the villa where everything seemed dark and deserted, as if no one had been there for a long time. The two of them skillfully climbed over the courtyard wall, leaped into the yard, [Lu Li] rubbed his knee, and then pulled out a handgun from his pocket.
1:18:33|1:18:40|[Jingkuang] immediately took out a gun and looked around vigilantly, then took off the decorative glasses and put them into his pocket, following behind [Lu Li].
1:18:40|1:18:55|Lu Li and Lu Xiaoxing silently sneaked into the villa, with Lu Li tapping the window lattice cautiously in the central hall. Liang Cong immediately hid in a corner of the corridor, while Lu Li raised a flashlight to investigate the situation.
1:18:55|1:19:17|[Jingkuang] followed closely behind, holding a flashlight in his left hand and a gun in his right hand, cautiously surveying the surroundings with a crouched posture. Suddenly, [Lu Li] turned around and nodded at him, [Jingkuang] nodded in agreement, then turned to check the other side. [Lu Li] took a few more steps forward, scanning a row of bookshelves. The bookshelves were filled with Tang Zheng's trophies and photos. [Lu Li] reached out and picked up a photo frame, showing a pair of siblings aged seven or eight, both holding up a trophy. He furrowed his brow and examined it closely for a long time.
1:19:17|1:19:29|Carefully placing the photo frame back in place, on the other side [Jingkuang] arrived at a staircase leading downwards. He used a flashlight to scan the surroundings continuously, carefully stepping down the stairs. Soon, the large iron door of the basement came into view.
1:19:29|1:19:32|[Jingkuang] cautiously used his mouth to hold the flashlight and fumbled to unlock.
1:19:32|1:19:56|At this moment, [Lu Li] quietly pushed open a door, walking forward cautiously with a flashlight scanning around. Suddenly, he stared in one direction for a while, fumbling to turn on the switch. The light came on, [Lu Li] frowned and scanned around, his gaze fixed ahead. In front of him was a Golf 6. [Lu Li] relaxed his brows, couldn't help but smile. He opened a cabinet, and a pile of license plates fell out.
1:19:58|1:20:3|[Lu Li] focused on the license plate, waved back, the figure behind did not argue, and walked slowly towards [Lu Li].
1:20:3|1:20:13|[Lu Li] suddenly sensed something was wrong. He turned around and saw Tang Zheng. [Lu Li] had just stood up when Tang Zheng kicked him against the wall. [Lu Li] raised his gun, but was subdued by Tang Zheng and once again slammed into the wall.
1:20:13|1:20:20|Soon after, Tang Zheng threw [Lu Li] to the ground.
1:20:23|1:20:32|[Lu Li] took a wrench from Tang Zheng, hugged his waist tightly, and was pushed several meters away by Tang Zheng before pouncing on him again. [Lu Li] then seized Tang Zheng's arm and performed a shoulder throw.
1:20:32|1:20:55|He lunged at Tang Zheng and wrestled with him again, even breaking the beads. Tang Zheng, unwilling to show weakness, flipped over and threw a punch at [Lu Li]. [Lu Li] blocked with one hand and forcefully pressed Tang Zheng against the shelf. Tang Zheng fiercely flipped over again, throwing [Lu Li] to the other side. Then he grabbed a piece of chain, put it around [Lu Li]'s neck, and pulled back hard. [Lu Li] instantly couldn't breathe, frantically spinning around the shelf.
1:20:55|1:21:6|The structure suddenly collapsed, trapping Tang Zheng underneath. [Lu Li] gasped for breath, took off the iron chain around his neck, and pounced again. In desperation, Tang Zheng grabbed a wrench nearby and swung it at [Lu Li]'s knee, who endured the pain.
1:21:6|1:21:15|Lu Li grabbed the rushing Tang Zheng, threw him to the ground, lifted him up by the collar, made him kneel on the ground, and twisted his arm behind his back.
1:21:18|1:21:30|Unexpectedly, Tang Zheng suddenly pulled out a surgical knife and stabbed it into [Lu Li] with force, causing fresh blood to gush out from his abdomen. Tang Zheng's face twisted with a hint of sadistic pleasure as [Lu Li] used all his strength to push Tang Zheng to the ground, before himself collapsing weakly on the ground.
1:21:30|1:21:40|Tang Zheng glared fiercely at [Lu Li], struggling to stand up. With blood all over his hands covering his arm, he walked up to [Lu Li], who was clutching his abdomen, trying to stay strong, and stared at Tang Zheng with gritted teeth.
1:21:40|1:21:58|As the aftereffects of blood loss worsened, Lu Li's vision of Tang Zheng became increasingly blurred. Tang Zheng slowly squatted in front of Lu Li, his widened eyes looking terrifying. He stared straight at Lu Li without any disguise, a twisted smile hanging on his lips. Lu Li's gaze gradually became unfocused, and he could no longer support himself as his body slowly leaned back.
1:21:58|1:22:4|Tang Zheng's face became increasingly blurred, and finally Lu Li closed his eyes without any awareness, tilting his head to one side.
1:22:4|1:22:17|At this moment, [Jingkuang] was completely unaware of [Lu Li]'s situation. He finally unlocked the iron chain, pushed open the iron door, rushed into the basement. It was pitch black inside, with extremely low visibility. [Jingkuang] held a gun in one hand and a flashlight in the other, cautiously moving closer with his body sideways.
1:22:17|1:22:26|Upon seeing three girls lying on the hospital bed with their faces wrapped like zongzi, [Jingkuang] cautiously approached to feel their pulses, then he raised the flashlight and scanned the surroundings vigilantly.
1:22:26|1:22:49|Suddenly, a green button in the corner of the wall caught his attention. [Jingkuang] tentatively pressed it and heard the sound of mechanical operation in his ear. Surprisingly, a secret chamber door opened. As he looked closer, what he saw left him stunned. Inside the dark chamber sat three girls with unclear consciousness, all connected to IV drips. In the middle, there was a photo frame. Upon closer inspection, he realized that the three girls and the girl in the photo frame, Tang Qian, looked exactly the same.
1:22:58|1:23:6|[Lin Chong] picked up Liang Cong's ukulele from the sofa, holding it for a while before walking outside with a smile. At that moment, Lu Xiaoxing was sitting on a chair next to the sculpture.
1:23:6|1:23:13|Upon hearing the sound of the qin, she couldn't help but sit up straight.
1:24:0|1:24:6|[Lin Chong] sat down next to [Lu Xiaoxing] while playing the guitar inside the car.
1:24:6|1:24:13|The sudden vibration of the phone interrupted the atmosphere between the two, [Lin Chong] leaned against the foot of Youkerili, took out the phone in surprise.
1:24:18|1:24:41|Lin Chong and Lu Xiaoxing exchanged a smile before quickly replying to the message. At this moment, Lu Li's phone was in Tang Zheng's hand. With one hand on the steering wheel, he looked at the phone screen with a smile. There was also a black bucket on the front passenger seat. Once he got the exact location, Tang Zheng's smile became even more reckless. He casually threw Lu Li's phone out of the window as he drove away, leaving dust behind. At the same time, the police and ambulances had arrived at Fuhua Villa.
1:24:58|1:25:24|At this moment, with pouring rain outside, a series of footprints appeared inside the Blue Lake Villa. The footprints led all the way to the center of the living room, carrying a lot of mud and sand that were completely mismatched with the luxurious marble floor. Following the footprints to the end, only a pair of black leather shoes was seen standing by the wall, gently placing a black bucket down. With his left hand holding a ballet music box, he used his right hand to lift the white cloth covering the piano keys. At this moment, Lu Xiaoxing felt his way into the living room, reaching for the sofa frame and then feeling his way down to find the shoulder bag.
1:25:24|1:25:46|Upon hearing the piano playing, Lu Xiaoxing carefully stood up and walked towards the piano, unaware that her bag suddenly opened and her phone slipped onto the carpet. Tang Zheng sat in front of the piano, expressionless, pressing the keys as Lin Chong. Lu Xiaoxing, feeling the wall, slowly walked towards the piano.
1:25:52|1:25:58|Tang Zheng played with the music box without turning around, and [Lu Xiaoxing] nervously took a step back.
1:26:21|1:26:28|[Lu Xiaoxing] frowned, seemingly lost in thought. [Tang Zheng] nodded knowingly, stood up, and [Lu Xiaoxing] hastily took several steps back upon hearing a noise.
1:26:28|1:26:36|[Tang Zheng] walked towards [Lu Xiaoxing] with a smirk, causing [Lu Xiaoxing] to stumble backwards as she was tripped by [Jingkuang].
1:26:58|1:27:3|[Lin Chong] inadvertently walked into the living room and lunged towards [Tang Zheng], only to be thrown aside.
1:27:12|1:27:33|[Lu Xiaoxing] hurriedly felt her way upstairs, [Tang Zheng] angrily grabbed [Lin Chong] by the collar and punched him to the ground. Turning towards [Lu Xiaoxing], [Lin Chong] in a panic, recklessly tackled [Tang Zheng] to the ground, blocking the staircase. [Tang Zheng] grabbed [Lin Chong] by the collar and threw him onto the bar counter, while [Lu Xiaoxing] reached for her bag by the sofa in a hurry, frantically searching for her phone, but she couldn't find it no matter how hard she tried, as the phone had fallen in a different direction.
1:27:33|1:27:55|[Tang Zheng] once again took out the scalpel and stabbed into [Lin Chong]'s abdomen. He looked at [Lin Chong] ruthlessly, stabbing the knife further in. Just as [Tang Zheng] was about to throw [Lin Chong] out, he didn't expect [Lin Chong] to muster up some strength. He grabbed the knife with one hand, refusing to let go, and held onto his shoulder with the other hand. [Tang Zheng] angrily grabbed [Lin Chong]'s neck, exerting so much force that [Lin Chong] rolled his eyes back. Then, he tossed [Lin Chong] aside like throwing out garbage.
1:27:55|1:28:0|Crossing over, [Lin Chong] walked towards the stairs, frowning with eyes barely open. Subsequently
1:28:0|1:28:12|[Tang Sengzheng] whistled as he leisurely walked up the spiral staircase, [Lu Xiaoxing] startled and sat up straight upon hearing the noise. Instead of searching for her phone, she grabbed her shoulder bag and pulled out an alarm.
1:28:12|1:28:23|Shortly after, [Lu Xiaoxing] staggered to his feet and stumbled into [Liang Cong]'s room, while [Tang Zheng] had already walked into the living room. [Lu Xiaoxing] fumbled around on [Liang Cong]'s table, picked up a tuning fork, as [Tang Zheng] calmly walked to the sofa.
1:28:23|1:28:43|Picking up Lu Xiaoxing's phone, Lu Xiaoxing squatted by the wall and felt around. After finding the socket, she inserted the tuning fork into the socket, causing a short circuit. The room instantly plunged into darkness. Lu Xiaoxing hurriedly threw the tuning fork aside and crawled to the other side. Tang Zheng looked pensive, raising his head to look around the dim surroundings and slowly turning to look at the stairs behind him.
1:28:43|1:28:54|[Lu Xiaoxing] was lying on the stairs with a bag slung over her shoulder. [Tang Zheng] slowly walked up the stairs and stood quietly next to the bag for a while. He looked around the dark surroundings again, and then took out a cigarette box from his pocket, unhurriedly.
1:28:54|1:29:1|Lighting a cigarette with a lighter, he took a puff without extinguishing the lighter.
1:29:1|1:29:4|He raised it and continued to walk slowly upwards.
1:29:4|1:29:8|In Lu Xiaoxing's opinion, this cat-and-mouse game is the most interesting.
1:29:8|1:29:20|At this moment, [Lu Xiaoxing] crouched in a dark area, carefully listening to the sounds outside, while [Tang Zheng] stepped onto the final step quietly, holding a cigarette in one hand and a lighter in the other.
1:29:20|1:29:22|Casually strolling in the corridor.
1:29:22|1:29:33|[Tang Zheng] quickly found his position, took a deep drag of his cigarette and threw it to the ground. He walked straight towards [Liang Cong]'s bedroom, each step powerful as if deliberately reminding [Lu Xiaoxing].
1:29:33|1:29:38|[Lu Xiaoxing] also felt the approach of [Tang Zheng], holding a lighter in hand standing at the door of the room.
1:29:38|1:29:46|He first looked around, then leisurely strolled into [Liang Cong]'s bedroom, where the furnishings could be vaguely seen in the moonlight.
1:29:46|1:29:57|[Tang Zheng] took a few steps forward, holding up a lighter to carefully scan the bedroom with the flickering flame. Suddenly, his gaze stopped at the window, and [Tang Zhen] walked expressionlessly to the window and extinguished the lighter.
1:29:57|1:30:3|Suddenly opening the window and looking down, seizing the opportunity, [Lu Xiaoxing] quietly pushed open the wardrobe door and moved to the doorway.
1:30:3|1:30:17|At this moment, Tang Zheng was unaware of what was happening behind him. He casually took out Lu Xiaoxing's phone from his pocket and threw it out of the window. Lu Xiaoxing took the opportunity to slip out of Liang Cong's bedroom, feeling her way along the wall and hurriedly walking forward. Tang Zheng closed the window and turned around thoughtfully.
1:30:17|1:30:35|While [Lu Xiaoxing] was walking in the corridor, the route in her mind appeared, and suddenly a man's shadow appeared near the door in her mind, causing her to stagger back several steps in fear. The sound behind her suddenly made her turn her head alertly. At this moment, Tang Zheng was pushing open the wardrobe door and raising a lighter to check inside.
1:30:35|1:30:41|[Lu Xiaoxing] seemed to feel the fire in front of her, and the man in front of her disappeared. She gathered her courage and continued to walk forward.
1:30:41|1:30:53|A long trail of blood cuts across half of the living room. [Lin Chong] is gasping for breath as he crawls desperately forward. His phone is placed on the coffee table not far ahead. [Lin Chong] looks at it in despair, then collapses weakly to the ground.
1:30:53|1:31:3|Tang Zhen pushed open a sliding door, stopped at the doorway to investigate, and suddenly the alarm sound made Tang Zheng's face change instantly. He looked fierce and ran towards the direction of the alarm with his legs.
1:31:3|1:31:15|After circling around the huge mansion for several rounds, he finally arrived at the location of the alarm. He saw an alarm device plugged next to the bathtub, and [Lu Xiaoxing], who had set up the alarm, quietly slipped out of the bathroom. Tang Zheng had just pulled the alarm device off the edge of the bathtub.
1:31:15|1:31:34|[Lu Xiaoxing] pushed a cabinet from outside the door, blocking the bathroom door. Tang Zheng then realized this and angrily threw the alarm, trying to open the bathroom door. The door was firmly blocked by a shelf outside, making it impossible to kick the door open for a while. Xiaoxing hurriedly searched downstairs. At this moment, [Jingkuang] rushed into the garage of Fuhua Mountain Villa and finally saw the unconscious [Lu Li].
1:31:57|1:32:4|[Lin Chong] lay unconscious in front of the coffee table, while [Lu Xiaoxing] fumbled her way to the French window to open it, only to find that Tang Zheng had already tied an iron chain to it.
