0:0:47|0:0:51|A ship sailed by as [Cheng Yi] was smoking at home.
1:12:26|1:12:31|At this moment, the morning light shines on the sea, everything looks very calm.
1:12:31|1:12:34|Li Xiaolu looked at the score, then opened the envelope and took out the letter.
1:13:6|1:13:15|Cheng Yi followed the direction pointed by [A Ling] and looked towards the sea. The two of them were standing on a speedboat. As the speedboat approached, Cheng Yi finally saw that there were men from Zhongshan Village sitting on it.
1:13:15|1:13:21|The man from Zhongshan Village stood up and walked to the shore. His face changed as he looked towards [A Ling].
1:13:26|1:13:27|The man from Zhongshan Village took the backpack snatched by [A Ling].
1:13:27|1:13:29|The man from Zhongshan Villa's face changed.
1:13:45|1:14:4|A large group of police officers rushed out of the car, and the men from Zhongshan Village and their henchmen pulled out their handguns and started shooting at them. The police officers quickly dodged, while Li Xiaolu looked towards the police. At that moment, the man from Zhongshan Village turned and aimed at Li Xiaolu. Li Xiaolu raised his strong arm, but Lin Zai quickly rushed over and was shot twice. The police officers started shooting towards the speedboat.
1:14:4|1:14:8|At this moment, A Hui blocked on the ground following Li Xiaolu's arm, and Li Xiaolu shouted at him to fight.
1:14:17|1:14:19|But his head drooped down.
1:14:19|1:14:26|The police chased to the dock, only to watch the speedboat getting farther and farther away, with A Ling being carried by sincerity and holding up the upper body.
1:15:16|1:15:19|[Cheng Yi] said excitedly, supporting his head with his hand.
1:15:19|1:15:27|[A Ling] and [Lin Zai] walked in, the questioning police officer gestured for them to sit down. [Li Xiaolu] took a deep breath, and after [Lin Zai] sat down, she asked,
1:17:24|1:17:26|[A Ling] sat down and said to [Cheng Yi],
1:17:43|1:17:49|[Cheng Yi] turned around and faced [A Ling], "If I help you find what you're looking for," Cheng Yi also stood up with sincerity.
1:17:49|1:17:50|Sincerely sighed and nodded.
1:17:50|1:17:56|Li Xiaolu followed [A Qin] in, looking at him sincerely wanting to smile, but couldn't.
1:18:16|1:18:20|Facing the gaze of the Qin family, he lowered his head.
1:18:20|1:18:26|[A Ling] looked at the two of them and said to the others.
1:18:26|1:18:40|There were only Li Xiaolu and A Ling left in the room, and Lin Zai spoke sincerely.
1:18:40|1:18:43|Qin Jialu pursed his lips and, seeing sincerity bowing his head, he said.
1:18:58|1:19:7|Chen Yi tugged at the corner of his mouth, and Qin Jialu finally couldn't control his emotions, rushing forward to hug Chen Yi, tears falling on his shoulder.
1:19:7|1:19:11|Chen Yi hesitated for a moment, but still placed his hand on Qin Jialu's shoulder and embraced him.
1:19:14|1:19:19|Returning to her own place, [Cheng Yi] opens the piano cover and takes out the DVD hidden inside.
1:19:31|1:19:33|[A Ling] puts away the DVD.
1:19:34|1:19:35|[Cheng Yi] thought for a moment, shook his head, and [A Qing] analyzed.
1:19:50|1:19:58|After some thought, Chengyi turned around and contacted [NICOLE], and the two met at an outdoor café.
1:20:0|1:20:5|Li Xiaolu noticed the necklace around her neck and continued speaking.
1:20:23|1:20:27|At this moment, [A Ling] in the car nodded towards [Li Xiaolu].
1:21:4|1:21:5|On the day when Biao Ge had an accident.
1:21:13|1:21:22|After speaking, [Li Xiaolu] stood up and walked over to [Lin Zai], who also stood up and looked at him. Then he glanced at the police before following [Li Xiaolu] out.
1:21:22|1:21:29|Li Xiaolu and A Ling walked a few steps after passing a pedestrian bridge, but a few men followed them, keeping a distance of two meters from the two.
1:21:29|1:21:36|After a few steps, [Nico] became alert, squinted his eyes, slightly turned his head, and quietly reminded [Chengyi].
1:21:41|1:21:45|The two of them quickened their pace, with two men closely following behind.
1:21:45|1:21:51|Suddenly, [Nico] and Chengyi started running, with two men chasing after them. Inside the car, [A Ling] picked up the walkie-talkie.
1:21:57|1:22:3|Reaching a corner, [Li Xiaolu] grabbed [NICOLE]'s arm sincerely, indicating her to split up. The two then ran in different directions.
1:22:3|1:22:20|The two men looked at each other and chased towards [Cheng Yi]. [Cheng Yi] ran into a dead end, watching them approach on the steps. [Cheng Yi] had no choice but to charge forward, but unfortunately his fists were no match for their four hands. Luckily, the police arrived just in time.
1:22:27|1:22:33|They are henchmen of the Ruan gang from Thailand who came specifically to seek revenge on [Nick] and Zhou Biao.
1:22:51|1:22:52|He said.
1:23:11|1:23:14|[NICOLE] brought [CHENG YI] to the table and chairs, and greeted them.
1:23:17|1:23:22|Seeing him looking around and sitting down, [NICOLE] played with her hair, while [程翼] took out a DVD.
1:23:25|1:23:29|[Nicole] leaned towards the chair next to her and took the DVD to have a look.
1:23:57|1:23:59|A man from Zhongshan Village asked.
1:24:15|1:24:20|[Nicole] pulled out a chair and sat down, while [Cheng Yi] stood up and walked to her side, pointing the gun at himself.
1:24:41|1:24:42|He said.
1:24:59|1:25:3|Li Xiaolu, A Ling, and Lin Zai, along with a large group of henchmen, arrived at the bowling alley.
1:25:3|1:25:5|Nico stopped in his tracks and turned around.
1:25:17|1:25:21|Nico lowered his head and touched the necklace, then looked up and said to the man from Zhongshan Village.
1:25:23|1:25:27|The man from Zhongshan Villa nodded and then looked towards [Cheng Yi].
1:25:27|1:25:30|[Cheng Yi] turned his head away, refusing to look at him.
1:25:30|1:25:36|[NICOLE] came to a row of cabinets alone, stopped at the one she knew and looked back.
1:25:36|1:25:41|After making sure no one was around, [Li Xiaolu] twisted the password and opened the cabinet, inside of which was a safe.
1:25:41|1:25:45|He first inserted the key, then looked down at the necklace on his neck, and turned the combination lock.
1:25:46|1:25:52|Repeatedly, she turned the necklace on her neck to complete the password, twisted the key, and indeed opened the safe.
1:25:52|1:25:58|Seeing the suitcase inside, [Li Xiaolu] smiled, looked around, and closed the safe.
1:25:58|1:26:6|Nico placed the safe on the table and opened it, inside were forgotten money and a disc. She took out the disc and smiled.
1:26:6|1:26:10|[Li Xiaolu] and the man from Zhongshan Villa looked at her as she raised her head and spoke.
1:26:15|1:26:20|[Cheng Yi] looked at the man from Zhongshan Manor, and the man from Zhongshan Manor looked back at him.
1:26:20|1:26:26|[NICOLE] picked up the suitcase and stood up, ready to leave. Seeing this, her subordinates also walked towards the door.
1:26:26|1:26:31|Just as they stepped off the stairs, the henchman in front noticed the police and turned around to speak.
1:26:35|1:26:42|Two henchmen are dragging [Cheng Yi] while the men from Zhongshan Villa and one henchman are running in the opposite direction with [NICOLE].
1:26:46|1:26:54|The man from Zhongshan Villa pulled out a gun, but the police had already surrounded them, with [Cheng Yi] hiding under the table.
1:27:2|1:27:8|[NICOLE] held a suitcase, looked around at the men from Zhongshan Village, closed the door and fired a shot towards one side.
1:27:8|1:27:12|Gunshots rang out, and [Cheng Yi] quickly used his arms to protect his head.
1:27:12|1:27:25|The man from Zhongshan Village protected [NICOLE], got shot and fell to the ground. Seeing this, [NICOLE] took out a gun from the suitcase and pointed it at [CHENG YI].
1:27:30|1:27:35|[NICOLE] watched as the police approached.
1:27:55|1:28:3|Chengyi took the opportunity to turn around and grab [NICOLE], but was hit in the thigh.
1:28:3|1:28:3|Sincerity with lingering fear.
1:28:14|1:28:22|The scene cuts to Nancun Elementary School, with [Cheng Yi] limping and using a crutch to walk to the entrance. He looks at the school sign, then heads towards the main gate.
1:28:22|1:28:27|Peeking at the students on the playground, [Li Xiaolu] pushed open the door and walked in sideways.
1:28:27|1:28:30|Everything is still so familiar, [Li Xiaolu] smiles.
1:28:30|1:28:36|Next, [Cheng Yi] slowly walked towards the playground, with Qin Jialu facing away from him, beckoning the students to gather around.
1:29:11|1:29:24|Qin Jialu seemed to feel the gaze of [Cheng Yi], turned his head and saw [Cheng Yi]. [Cheng Yi] smiled at him, so he ran over and smiled back. The two of them gazed at each other like this, and soon embraced each other.
