0:0:25|0:0:32|A winding path on the Loess Plateau.
1:3:15|1:3:18|He took out the delicate Qing Dynasty suona.
1:3:30|1:3:31|[Jiao Sanye] pretends to be angry.
1:3:39|1:3:46|Xiaosi Xiansun knelt down in gratitude, overwhelmed with thanks.
1:3:57|1:4:2|Fueled by alcohol, [Jiao Sanye] played a cheerful tune on the flute, dancing like a child as he played.
1:4:8|1:4:12|Beside, Shen Yang, who was weaving, showed a simple and happy smile.
1:4:12|1:4:18|Suddenly, Jiao Sanye also exhausted his strength and knelt down on the ground.
1:4:37|1:4:54|Tianming went up to help, but [Jiao Sanye] pushed his hand away.
1:4:54|1:4:58|[Jiao Sanye] lay down on the ground directly, and [You Tianming] and [Shiniang] quickly rushed over.
1:5:2|1:5:7|Master Jiao Sanye was actually asleep drunk, with a slight smile on the corner of his mouth.
1:5:18|1:5:30|[You Tianming] stayed at [Shifu]'s house for one night. The next morning, [Tianming] got up and walked into the courtyard, shouting while putting on his shirt.
1:5:34|1:5:43|No one was home, [You Tianming] came to the kitchen, lifted the lid of the pot on the stove, inside was a bowl of sweet potatoes left for him by [Shiniang], still steaming.
1:5:43|1:5:48|[You Tianming] picked up one and started eating.
1:5:48|1:5:49|He walked out of the kitchen and entered the main hall.
1:5:53|1:5:59|Put the sweet potato on the table, then took out all the money from his own pocket.
1:5:59|1:6:9|He counted the money, intending to leave only the exact change, but hesitated and placed all the money on the table, using [Shiniang]'s old radio to hold it down.
1:6:13|1:6:22|[Master] and [Shiniang] have been working in the field, [You Tianming] arrived at the vegetable field with his luggage, but he just took a glance from afar and continued on his way.
1:6:29|1:6:33|It's still the same small path where her father brought her to apprentice.
1:6:33|1:6:38|You Tianming's current pace now carries a hint of determination and responsibility.
1:6:38|1:6:45|In You Tianming's home, his sister Xiuzhi, wearing a floral dress, hurriedly walked into the yard, getting ready to ride her bike to work.
1:6:51|1:6:59|The mother put the lunchbox in her bicycle basket, and she met the just-returned Tianming at the door.
1:7:55|1:8:5|In the bustling market of Wushuang Town, You Tianming arrived at a stall and picked up a small item to examine.
1:8:5|1:8:11|Suddenly someone covered his eyes from behind, and he was just about to break free.
1:8:25|1:8:27|In the evening, Brother Er and Jiao Sanye were drinking and eating in Lan Yu's yard.
1:8:59|1:9:0|They raised their glasses.
1:9:8|1:9:13|[You Tianming] lowered his head and smiled helplessly.
1:9:15|1:9:20|[Lan Yu] had another drink.
1:9:45|1:9:47|Tianming looked shocked.
1:10:6|1:10:10|[Lan Lan] got up and went into the room to take out her wallet.
1:10:10|1:10:13|Pull out a photo from the wallet.
1:10:13|1:10:16|This is a photo of [Lan Lan] and Xiuzhi.
1:10:30|1:10:35|Lan Lan took a bite of the dish and said.
1:10:54|1:11:1|The next day, the companions of the You family in the forest cave were offering various foods and wine for the birthday celebration of the elder of the You family.
1:11:22|1:11:26|Then he passed cigarettes to everyone.
1:11:26|1:11:30|The foreign band begins tuning their instruments.
1:11:30|1:11:34|Lan Lan said
1:11:34|1:11:37|On the stage stands a sexy female singer.
1:11:47|1:11:50|[You Tianming] stood up and walked towards the foreign band.
1:11:51|1:12:0|[You Tianming] fixed his eyes on the performance of the foreign band and walked forward.
1:12:0|1:12:4|In front of the foreign band, many lively citizens have already gathered.
1:12:4|1:12:7|The drumsticks were set up to strike the frame, in coordination with the other bands.
1:13:5|1:13:10|Master couldn't quite recognize the grown-up Lan Yu, and awkwardly smiled.
1:13:10|1:13:15|At this moment, more and more people suddenly returned to the foreigner's side.
1:13:15|1:13:20|The female singer started singing.
1:13:20|1:13:27|The female singer is dressed in a leopard-print tight dress, wearing a necklace, and styled in a happy and fashionable manner.
1:13:45|1:13:47|[Jiao Sanye] said angrily.
1:13:55|1:13:58|You Tianming took the wine bottle directly and took a sip.
1:14:2|1:14:5|The sudden sound of the suona startled the female singer on stage.
1:14:52|1:15:0|In front of the Eastern Band, layers of audience surrounded them, contrasting sharply with the deserted and lonely wanderers.
1:15:0|1:15:14|In the crowd, there was a young man with a wonderful mirror. His classmates didn't want to disturb him, so he led his little brother to [You Tianming].
1:15:14|1:15:20|He patted You Tianming's shoulder, but You Tianming ignored him.
1:15:49|1:15:52|You Tianming stood up with a punch, also giving Lan Lan a heavy blow.
1:16:26|1:16:30|Everyone stopped, and the foreign band also stopped playing.
1:16:30|1:16:40|[Jiao Sanye] looked around desolately and saw the scattered and deformed Sonas on the ground that had been trampled on.
1:16:40|1:16:46|He picked it up tenderly, holding it in his hand, gazing into the distance with a dazed look.
1:16:53|1:16:59|[Jiao Sanye] walked out of the Lei family with his hands behind his back, followed by [Lan Yu] and the You family troupe.
1:17:1|1:17:6|[Jiao Sanye] ignored it, and everyone stopped following.
1:17:6|1:17:10|[Lan Lan] placed her hand on [You Tianming]'s shoulder to comfort him.
1:17:10|1:17:17|[Jiao Sanye] walked alone briskly on the country road, his gradually receding figure appearing lonely and desolate.
1:17:19|1:17:23|In the home of You Tianming, his mother brewed a pot of Chinese medicine and poured it into a bowl.
1:17:23|1:17:30|Tianming sat on the bed and drank heartily, then took a sip of water to rinse his mouth.
1:17:30|1:17:33|The mother touched Tianming's forehead.
1:17:35|1:17:39|The mother arranged the pillow for Tianming to lie down.
1:17:48|1:17:55|The mother poured water into a bowl.
1:18:33|1:18:38|The father closed the box with his foot and walked out carrying an iron bucket.
1:18:44|1:18:50|Father looked towards the gate and asked, "Who died?"
1:19:38|1:19:38|[You Tianming] is at a loss.
1:19:38|1:19:40|At this moment, [Jiao Sanye] learned the news and rushed angrily to the home of [You Tianming].
1:19:40|1:19:41|At this point, he was already very ill.
1:20:5|1:20:9|[Jiao Sanye] was emotionally agitated and muttered a few words.
1:20:9|1:20:13|At that moment, Jiao Sanye, feeling short of breath, leaned on the flower stand next to him.
1:20:13|1:20:17|[You Tianming] hurried over and gently patted the back of his master.
1:20:17|1:20:19|[Jiao Sanye] turned around and sat on the flower terrace.
1:21:5|1:21:8|[Shiniang] rushed out and then turned around.
1:21:12|1:21:16|[You Tianming] followed the master out.
1:21:16|1:21:19|[Jiao Sanye] kicked open the iron gate of [Brother Er]'s house and rushed into the courtyard.
1:21:26|1:21:33|[Brother Er] and [Jiao Sanye] locked eyes, feeling both fear and guilt. Brother Er was packing his bags, preparing to leave.
1:21:33|1:21:42|[Jiao Sanye] directly threw the clothes that had been packed into the snake skin bag out, some of them flew directly onto [You Tianming]'s head.
1:21:42|1:21:48|Brother Er's mother is bedridden, and she sees Jiao Sanye throwing clothes vigorously through the window.
1:21:48|1:21:54|[Brother Er] stood aside, his body trembling slightly, as [Jiao Sanye] emptied the clothes from the bag.
1:21:57|1:22:2|The pig raised at home ran out of the pigsty, also wearing a piece of clothing.
1:22:2|1:22:17|[Brother Er] walked over, drove him away, picked up the scattered clothes in the yard one by one, and even knelt down to pick up the clothes.
1:22:17|1:22:24|He picked up a handful of clothes and tried to put them back into the bag, but was stopped by [Jiao Sanye] stepping on the bag with one foot.
1:22:24|1:22:26|Brother Er looks up at the master.
1:22:28|1:22:34|Jiao Sanye stepped even harder as he bent down to tug at the bag.
1:22:34|1:22:44|In the end, [Jiao Sanye] kicked [Brother Er] aside, while the mother, who was seriously ill in the room, trembled her lips and shed tears.
1:22:44|1:22:48|[Brother Er] supported his body with his arms, his nose bleeding.
1:22:50|1:22:54|He wiped his nose with his hand and then looked at his master.
1:22:54|1:23:1|[Jiao Sanye] calmed down and, seeing his disciple injured, he turned his head slightly with a hint of concern.
1:23:1|1:23:5|[Jiao Sanye] glanced back at [Brother Er], then walked out of the house in silence.
1:23:5|1:23:11|[You Tianming] quickly caught up.
1:23:11|1:23:16|At sunset in the west, [Jiao Sanye] walked on the path with his persuaded disciple and [You Tianming].
1:23:24|1:23:29|Big Brother stopped in his tracks and waited for [You Tianming] to approach, then spoke to him.
1:23:38|1:23:42|[You Tianming] did not respond and continued to follow the master.
1:23:42|1:23:49|[Jiao Sanye] led his disciples to Huozhuang and met You Ben Sheng, who was carrying a drum at the village entrance.
1:23:54|1:23:58|[Jiao Sanye] lit three incense sticks at the memorial hall and paid his respects to Village Chief Dou.
1:24:10|1:24:14|Village Chief Dou fought against the Japanese devils and taught bandits.
1:24:17|1:24:19|The stone broke four ribs.
1:24:37|1:24:41|The descendants of Village Chief Dou sent this letter to [Jiao Sanye].
1:24:54|1:25:1|The villagers stared at the somewhat unfamiliar face, [You Tianming] stood up nervously as his father walked over.
1:25:5|1:25:7|Big Brother spoke to [Jiao Sanye].
1:25:11|1:25:16|[Jiao Sanye] looked at [You Tianming], his cheeks flushed and his forehead covered in cold sweat due to a fever.
1:25:18|1:25:22|[Jiao Sanye] thought for a moment, stood up and said.
1:25:22|1:25:30|Everyone saw that the head of the You family troupe was sick and did not immediately blow the white bird to mock.
1:25:38|1:25:45|You Tianming locked the ground for the master, who was sitting on the central grandmaster chair, and gestured to the disciples.
1:25:54|1:26:2|[Jiao Sanye] blew the white bird mockingly with all his might.
1:26:2|1:26:11|Sonarson was crying and telling the story, which deeply moved the descendants of Dou Village and other villagers.
1:26:11|1:26:13|You Tianming cooperated with his master on the side.
1:27:47|1:27:56|Suddenly, [You Tianming] noticed that red blood was dripping from the master's Sona bowl.
1:27:56|1:28:0|He noticed the blood with his ability.
1:28:0|1:28:4|[Jiao Sanye] couldn't help but cough twice and spat out a mouthful of blood.
1:28:8|1:28:11|The disciples gathered around, with the villagers watching anxiously.
1:28:21|1:28:25|The disciples carried the drum to [Jiao Sanye].
1:28:26|1:28:29|The master tidies up his clothes and prepares to beat the drum.
1:28:33|1:28:34|[Jiao Sanye] said to [You Tianming].
1:28:35|1:28:38|Unable to persuade the stubborn [Jiao Sanye], everyone had to continue playing.
1:28:56|1:29:1|[Jiao Sanye] first leaned against it to knock, and then stood up like everyone else.
1:29:1|1:29:8|He looked up at You Tianming, who was playing with great dedication, tears shimmering in his eyes.
1:29:8|1:29:15|[Jiao Sanye] showed a contented smile on his pale face, then he struck with even more endurance.
1:29:59|1:30:3|[You Tianming] looked dazed, unable to accept it for a moment.
1:30:9|1:30:11|You Tianming's eyes were filled with despair.
1:30:12|1:30:29|Later, [Jiao Sanye] lay on a wooden pie car, while [You Tianming] and two senior martial brothers crossed the rugged mountain road together, escorting their master back home.
1:30:29|1:30:31|In You Tianming's home
1:30:46|1:30:54|At night, under dim lights, [Jiao Sanye] is in the cowshed, brushing the cow's fur with a brush.
1:30:54|1:30:56|He said to [You Tianming]
1:31:4|1:31:13|The next day, a drizzle fell from the sky, and [Jiao Sanye] struggled to cover the cow's back with a shuttle.
1:31:18|1:31:25|[You Tianming] set off with the cow.
1:31:25|1:31:29|[Shiniang] chased out of the house, unwilling to watch the direction where the ox was leaving.
1:31:33|1:31:41|You Tianming placed the money from selling the cow on Jiao Sanye's bedside, bought a pair of shoes for the master, and Shiniang sat by the bed.
1:31:41|1:31:42|[Jiao Sanye] even lost the strength to shake his head.
1:32:39|1:32:41|You Tianming lowered his head.
1:32:45|1:32:53|Before going to bed at night, You Tianming helps his master wipe his body on the bed.
1:32:53|1:32:55|Jiao Sanye still can't forget about the lock bag.
1:33:7|1:33:10|You Tianming hesitated for a moment.
1:33:14|1:33:20|[Jiao Sanye] found some comfort.
1:33:20|1:33:25|Seeing the master coughing severely, Tianming and [Shiniang] quickly helped him up to ease his breath.
1:33:25|1:33:28|[Jiao Sanye] slowly regained consciousness on Tianming's arm.
1:33:46|1:33:53|[Shiniang] couldn't hold back anymore, turned around, and wiped away her tears secretly.
1:34:10|1:34:15|You Tianming pressed his face against the master's face and started crying.
1:34:15|1:34:18|The next day, You Bensheng went to Jiao Sanye's house.
1:34:22|1:34:25|This is the deputy director of the County Cultural Bureau.
1:34:50|1:34:52|Li Wu is drinking Chinese medicine, and Jiao Sanye hears it.
1:35:9|1:35:14|A train enters the scene, arriving in Xi'an from Tianming City.
1:35:14|1:35:20|He ran around the streets and finally found a construction site of an ancient building, led by Brother Er.
1:35:20|1:35:27|[Lan Yu], [Lan Yu] and Xiuzhi are all on the rooftop.
1:35:30|1:35:38|In the evening, Brother Er was cooking in the kitchen of the construction site dormitory. He served the last dish on the table, while Jiao Sanye played the suona beside him.
1:35:41|1:35:44|Former brothers sat around together.
1:35:52|1:35:56|[Brother Er] picked up a steamed bun, and Tianming noticed the abnormality on Brother Er's ring finger.
1:36:1|1:36:3|Xiuzhi turned her head and whispered.
1:36:10|1:36:12|[Brother Er] covers his disabled left hand and says despondently.
1:36:12|1:36:13|Third Brother suddenly started coughing violently, and [Lan Yu] gently patted his back.
1:36:35|1:36:37|Niu Tianming remained silent with his head down.
1:36:37|1:36:42|The next day, Tianming, Xiuzhi, and [Lan Lan] were taking a walk in front of Yongning Gate.
1:37:1|1:37:2|Lan Lan continues speaking.
1:37:23|1:37:27|Lan Lan and Xiuzhi are both unable to deal with You Tianming.
1:37:27|1:37:29|Suddenly, they were attracted by the sound of suona.
1:37:31|1:37:36|Not far away, there is a thin old man playing the suona, with a tea jar beside him.
1:37:36|1:37:41|Two young girls walked over and dropped a few coins into the tea jar.
1:37:48|1:37:51|[You Tianming] saw this scene, feeling a mix of emotions in his heart.
1:37:58|1:38:4|Remaining, the lush green rice seedlings and the green pines covering the mountains appear vibrant and full of life.
1:38:12|1:38:15|Ding A'niu was also crouching next to the tombstone.
1:38:15|1:38:25|[You Tianming] was alone, wearing a red vest that only performers would wear, and tied with a red silk sash, playing the Hundred Birds Mocking tune for his master.
1:38:26|1:38:34|He seemed to see his master sitting on the grandmaster chair, with a stern exterior hiding a passionate heart.
1:38:34|1:38:51|[Jiao Sanye] saw Liu Chunming's shoulder injury and smiled with relief.
1:38:51|1:38:54|Scenes of learning swordsmanship with the master in the past are vivid in memory.
1:38:56|1:39:1|Master's proud and smiling face is forever engraved in Tianming's heart.
1:39:1|1:39:8|In the small courtyard of the master's house, the young You Tianming followed the master to learn Soru sentence by sentence, unknowingly accumulating a whole night.
1:39:55|1:40:15|Upon becoming the disciple of Mengzi, You Tianming returned to his master's house for the first time. His master was drunk, so happy that he acted like a child with his hands blocking his head.
1:40:50|1:40:57|You Tianming in front of the grave was already in tears.
1:40:57|1:41:8|[Jiao Sanye] stood up from the grandmaster's chair, with a look of reluctance, turned around and walked briskly towards the distance alone, gradually disappearing from the frame.
