0:2:2|0:2:6|The story begins with a car slowly stopping in front of a residential area.
1:23:4|1:23:18|Broken glass and wood debris scattered on the ground, looking inside the doorway, the furniture has long been removed, leaving only empty rooms. The rooms are decorated with floral wallpaper, and each door frame is adorned with carefully crafted door curtains.
1:23:18|1:23:28|The wooden staircase on the side seems to have been repainted, spotless, with only a small flower-shaped hook left on it, while the dance shoes that were originally hanging on it are nowhere to be seen.
1:23:28|1:23:33|The scene cuts to the driver waiting by the side of the road in a truck, and [Xu Decai] opens the door and gets in.
1:23:50|1:24:5|[Xu Decai] nodded towards the front, and the driver slowly drove forward. At that moment, a message came on the phone, and [Xu Decai] opened it to play the voice message.
1:24:22|1:24:27|[Xu Decai] put down his phone, looked up and let out a long sigh, leaning weakly against the back of the seat.
1:24:59|1:25:7|Driver Zhongmei looked at [Xu Decai], seeing the determined look in his eyes and his resolute intention. She could only silently start the car and drive forward.
1:25:7|1:25:17|The two drove out of the village, through the city center, over the bridge, and onto the highway. Along the way, [Xu Decai] remained silent, with tightly closed lips, staring straight ahead.
1:25:17|1:25:24|The driver had a worried look on his face, occasionally glancing at [Xu Decai] with a face full of concern. [Xu Decai] looked ashen-faced, with narrowed eyes.
1:25:26|1:25:32|He closed his eyes, looked out the window, and silently sorted out his emotions.
1:25:32|1:25:36|Outside the window, the autumn air is crisp, and the leaves have already taken on the appearance of autumn.
1:25:36|1:25:42|On the highway, the traffic is constant, and looking up, a plane is taking off in the distance.
1:25:42|1:25:47|In the car, the small flower decoration on the front passenger seat swayed gently.
1:25:47|1:25:51|As dusk fell, the driver and [Xu Decai] gradually drove towards the airport.
1:26:25|1:26:30|The driver looked at [Xu Decai], who raised his eyebrows at the driver and decisively turned away.
1:26:31|1:26:41|The driver looked at the reflection of Xu Decai's back in the rearview mirror, as if he was about to cry, until Xu Decai's figure gradually disappeared and was never seen again.
1:26:41|1:26:49|Driver Decai pursed his lips, turned around, looked into the distance absentmindedly, then lowered his head and started the car to drive away.
1:26:49|1:26:59|Next, [Xu Decai] stood by the highway, took out two cigarettes and lit them. He took one cigarette from his mouth, faced towards the sky, raised the cigarettes with both hands, and bowed.
1:27:3|1:27:18|[Xu Decai] looked solemnly into the distance, then placed the cigarette on the roadside barrier. He stared at the cigarette thoughtfully for a while, glanced at the sky, as if making a firm decision, turned around and walked away, leaving the cigarette to burn alone.
1:27:21|1:27:33|The tailwind blows, the cigarette burns slowly, the ash falls, the smoke rises in wisps, two lonely cigarettes lean on each other, burning together, heading towards the end of life.
1:28:3|1:28:6|The landlady called for someone and then sat down again.
1:28:6|1:28:12|The driver glanced at the kitchen, sighed, and sat down at the round table at the beginning.
1:28:12|1:28:17|Cuihua impatiently drops a bowl of beef noodles and leaves, curling her fingers.
1:28:17|1:28:22|The driver, Xu Decai, didn't show much emotion, just silently staring at the door in front of him.
1:28:22|1:28:26|At this moment, the few men who had fought with them before have returned to the restaurant.
1:29:13|1:29:16|A henchman quickly brought the box over and handed it to the driver.
1:29:33|1:29:38|The driver quickly put the boxes into the car and prepared to leave.
1:29:58|1:30:2|The leader man waved his hand towards the direction of the driver and sighed.
1:30:2|1:30:6|The driver was driving while anxiously making a phone call.
1:30:10|1:30:17|Seeing that Xu Decai's phone was unreachable, the driver anxiously changed lanes and stepped on the gas pedal, driving forward aggressively.
1:30:17|1:30:24|The exhaust pipe of the van was emitting thick smoke, speeding up on the highway, overtaking car after car.
1:30:24|1:30:29|The license plate of the truck was already worn out, with signs of wear around the front.
1:30:29|1:30:35|The driver, anxious at the moment, had already disregarded many things and just wanted to catch up with [Xu Decai] as quickly as possible.
1:30:37|1:30:52|The truck raced forward recklessly, driving to the spot where it dropped off [Xu Decai] just now. He jumped out of the truck, ran to the side of the road, anxiously searching around.
1:30:52|1:30:59|At this point, no one responded to the driver's words. The driver hesitated and looked towards the direction of the airport, then turned around to search behind him.
1:31:4|1:31:7|The driver stood on the roadside, looking around helplessly.
1:31:7|1:31:11|He supported his waist with one hand, and sweat had already soaked through his vest.
1:31:11|1:31:16|The driver looked down and saw the two cigarettes left by [Xu Decai].
1:31:16|1:31:19|Reaching out and picking it up, the cigarette had already burned out.
1:31:19|1:31:25|At this moment, the phone rang, and the driver took out his phone from his pocket and answered it by the roadside.
1:32:25|1:32:29|Upon hearing [Xu Decai]'s words, the body trembled slightly.
1:32:29|1:32:33|He turned his head to the side, his eyes turning red, as if about to smoke.
1:32:33|1:32:38|He looked around, his lips tightly pressed together, walked towards the truck, and continued on the journey.
1:32:45|1:32:50|The truck is driving on the highway, with [Xu Decai] at the wheel, his face full of sorrow and melancholy.
1:32:50|1:32:57|He took a deep breath, trying to adjust his emotions, but it seemed that he found this method ineffective.
1:32:57|1:33:6|He sighed deeply again, lowered his head to shift gears, slowly parked the car on the side of the road, took out a cigarette from his pocket, lit it, and put it to his lips.
1:33:6|1:33:9|He took a deep drag, and his shoulders slowly sank.
1:33:26|1:33:42|[Driver] He closed his eyes and then opened them, looking ahead with a lost expression. It seemed like he remembered something, and his calm demeanor was slowly replaced by agitation. His eyes started to turn red, and at that moment, he couldn't hold back anymore. Tears streamed down his face.
1:33:42|1:33:51|[Xu Decai] held a cigarette in one hand against his forehead, while the other hand covered his mouth and nose. Tears streamed down his face as he bit his hand in agony, trying to stifle his sobs.
1:33:54|1:34:1|The camera cuts to [Xu Decai]'s truck continuing on the road, driving towards the distance.
