0:0:53|0:0:59|After hearing this, [Jiang Haolong] reached out and took the bag of clothes from [Mandy]'s hand.
1:20:46|1:21:1|[Yu Chunjiao] awkwardly looked at Ben. Ben walked over to [Yu Chunjiao] holding Brenda's hand. [Yu Chunjiao] reached out to shake hands with Ben, but Ben withdrew his hand.
1:22:14|1:22:42|[Yu Chunjiao] picked up her phone and saw a new message from Zhiming asking why she didn't answer the phone. After some thought, she replied: [Yu Chunjiao] edited the message and sent it to him while pressing the send button. As she waited, Zhiming sent another message. [Yu Chunjiao] casually opened it, and shortly after, Zhiming appeared in the karaoke room.
1:22:42|1:22:48|[Yu Chunjiao] strode up to Zhang Zhiming's box and paused for a moment before pushing the door open.
1:23:2|1:23:9|[Yu Chunjiao] looked innocently at Zhiming, who lowered his head to apologize to [Yu Chunjiao]. She looked at him expressionlessly.
1:24:13|1:24:30|Zhang Zhiming's phone rang at an inappropriate time, and Yu Chunjiao turned her head angrily.
1:24:32|1:24:40|Zhang Zhiming looks at [Yu Chunjiao]. Yu Chunjiao gets up angrily and leaves, she stops and looks back.
1:24:47|1:25:15|Shortly after, she turned around and left, leaving Zhiming standing alone in place. Zhiming stared blankly at the door, and on the big screen appeared a graceful and heroic beauty, [Yu Chunjiao], sitting in front of the screen, looking sad with a quiet expression on her face. She gazed silently, with no other emotions showing on her face, lowering her eyes and pondering. A white-suited beauty appeared on the big screen.
1:25:15|1:25:22|On the screen, the song is about to start. [Yu Chunjiao] looks at the lyrics on the screen and picks up the microphone.
1:26:8|1:26:40|[Yu Chunjiao] sang a song, tears welled up in her eyes. Her friends behind her didn't notice anything unusual. She wanted to sing but closed her mouth. Her friends were immersed in their own joy, while [Yu Chunjiao] felt like her heart was being twisted by a knife. She finally couldn't hold back the tears, and they streamed down her face. On the other side, Zhiming was also holding back tears as he listened to [Yu Chunjiao]'s singing. In the blink of an eye, Zhiming was sitting on the hammock on the balcony, staring at his reflection in the glass, lost in thought.
1:26:44|1:27:13|Youyou sat on the ground looking at him in a dejected state. Zhiming took the phone, turned it over, and saw the three words "I love you" on the screen, then smiled. Youyou listened and felt a bit flustered. Zhiming stared at the phone.
1:27:23|1:27:31|[Zhang Zhiming] looked at [Shang Youyou], the two of them locked eyes, [Shang Youyou] gazed at him earnestly.
1:28:3|1:28:12|Zhang Zhiming bent down, irritably flipping his hair.
1:29:40|1:29:54|Zhang Zhiming watched as Youyou remained motionless. Suddenly, Youyou picked up the camera and pressed the shutter. A photo fell down, and Youyou bent down to pick it up, flipping through it in her hand. Then she mischievously smiled.
1:30:9|1:30:18|Youyou looked down at the photo, then lifted her head and looked at Zhiming calmly, tears streaming down her face.
1:30:20|1:30:52|Zhiming breathed a sigh of relief, lowered his head slowly. At this moment, [Yu Chunjiao] carefully placed the cosmetics on the display shelf while holding a bag. The sudden entrance of a customer caught her attention. After confirming repeatedly, she walked up with a smile. The customer looked up and smiled at her.
1:31:27|1:31:33|[Yu Chunjiao] handed another eyeshadow to Wang Xinping, who looked up at [Yu Chunjiao],
1:32:26|1:32:38|Shortly after, [Zhang Zhiming] arrived at the cosmetics store where [Yu Chunjiao] was. He greeted Isabelle, and Isabelle questioned him. [Zhang Zhiming] remained silent for a moment.
1:33:0|1:33:6|9:00 [Zhang Zhiming] immediately reaches out his hand, looks at his watch, Isabelle looks at him, then nods and prepares to leave.
1:33:31|1:33:38|[Zhang Zhiming] stood still, Isabelle looked a bit anxious, and [Zhang Zhiming] finally reacted.
1:33:53|1:34:7|In the station, [Yu Chunjiao] and [Sam] sat side by side, lost in thought. [Sam] was working on his laptop while [Yu Chunjiao] suddenly received a call from [Zhang Zhiming]. She hung up directly, put down her phone, and in the taxi, [Zhang Zhiming] anxiously made a phone call.
1:34:41|1:34:52|[Sam] put down the computer and stood up to leave, while [Yu Chunjiao] sat in a chair with her chin resting on her hand, lost in thought. As [Sam] walked away, the ringtone of [Yu Chunjiao]'s phone rang again.
1:34:57|1:35:4|After a moment of thought, she took out a tablet from her bag, placed it on her lap, and after some operation, she stopped her hands.
1:35:7|1:35:38|She stared at the tablet without blinking, as if everything around her had ceased to exist. Her expression was solemn, and as she continued to watch, tears started to flow, swirling in her eyes. As the music swelled, [Yu Chunjiao]'s emotions completely collapsed. She sat in the chair, crying like a child, tears falling from her eyes like broken beads.
1:35:39|1:36:14|She looked around, listening to the music from the tablet, then lowered her head again, tears streaming down her face. As she watched, tears flowed like a flood. At this moment, [Sam] came back with two cups of coffee. Seeing [Yu Chunjiao] crying alone, he paused. He walked past [Yu Chunjiao] and sat on the chair next to her, looking at the tearful [Yu Chunjiao]. [Sam] put down the coffee in his hand and turned to face her, lost in thought.
1:36:15|1:36:21|She hesitated to speak as she looked at her crying.
1:36:31|1:36:49|[Yu Chunjiao] took a deep breath and exhaled, calming herself down a bit, but tears still lingered on her cheeks. She looked at [Sam] with tears in her eyes, wanting to speak but hesitating.
1:36:59|1:37:8|[Yu Chunjiao] lowered her head bitterly, her emotions fluctuating once again.
1:37:21|1:38:4|[Sam] listened silently as [Yu Chunjiao] spoke, [Yu Chunjiao] shook her head while holding back tears, she looked at [Sam] while talking, not letting the tears fall in front of [Sam], but turning away instead. The two fell into silence, [Sam] said nothing, and in the distance, the voice of the broadcaster could be heard.
1:38:5|1:38:20|The noise at the airport brought everything back to reality. [Yu Chunjiao] looked up at [Sam], who smiled back at her. Suddenly, he reached out and patted her head, causing [Yu Chunjiao], who was already crying, to cry even harder.
1:38:20|1:38:35|[Yu Chunjiao] put the laptop in her bag, then got up and left. [Zhang Zhiming] was still in the taxi at the train station. [Yu Chunjiao] pushed the suitcase with one hand and carried the bag with the other hand, walking forward with her head down.
1:38:35|1:38:44|[Zhang Zhiming] rushed into the station and quickly ran to the elevator in the lobby. He continued to sprint in the elevator, as if racing against time.
1:38:44|1:38:59|On the second floor, he looked around anxiously, searching for Yu Chunjiao's figure in the crowd. He tried to identify her over and over again, and finally, somewhat dejectedly, he came to the entrance, holding onto a glimmer of hope, waiting for Yu Chunjiao to arrive.
1:38:59|1:39:14|At the moment when he was wavering and about to give up, he was stunned when he turned around, looking straight ahead with a gleam in his eyes.
1:39:18|1:39:36|On the other side of the road, [Yu Chunjiao] appeared pushing a suitcase and carrying a shoulder bag in [Zhang Zhiming]'s sight. [Zhang Zhiming] ran towards her, their eyes met, tears welled up in their eyes instantly, and they silently gazed at each other without saying a word.
1:40:54|1:41:6|The two looked at each other, [Yu Chunjiao] rolled her eyes, amused by [Zhang Zhiming]. [Zhang Zhiming] held her shaking head with both hands, pulled her into his arms, and hugged her tightly.
1:41:36|1:41:52|[Zhang Zhiming] walked ahead, pushing the luggage while his arm was around [Yu Chunjiao]'s shoulder. This is where the film commentary ends. Thank you for listening.
