0:0:37|0:0:49|In the faint morning light, a backlit figure shouts loudly towards the layered village tents.
1:4:43|1:4:50|She suddenly noticed that the goose in the fool's hands was missing, and the fool was the only one looking around in confusion, muttering the name of the goose.
1:4:58|1:5:2|In the eyes of [Yaya], the figure of the fool was so anxious, pacing back and forth on the hillside.
1:5:6|1:5:17|The fool sat down on the hillside while searching for the way, all of which was seen by [Yaya]. But soon he stood up again, looking around, but still did not see the shadow of the goose.
1:5:17|1:5:23|The fool who lost the goose looks so anxious, his pain is like [Yaya] losing a teacher.
1:5:23|1:5:29|Thinking this way, [Yaya] decided to do something, like trying to help the fool find his goose back as if to make amends with the teacher.
1:5:30|1:5:40|Ya Ya lowered his head, thinking about where the goose might have gone. He looked at the small path below the mountain, as if there were traces of someone walking on it. He decided to follow the path and search for it himself.
1:5:40|1:5:50|He walked along the desolate path towards the forest, occasionally looking back as if he thought he would be back soon, so he didn't care about the time.
1:5:51|1:5:58|And at this moment, [Yaya]'s grandmother was already sitting on the kang at home, absentmindedly doing needlework in her hands.
1:5:58|1:6:5|As it was already evening, the young [Yaya] surprisingly had no shadow, usually she would have been back by this time.
1:6:5|1:6:10|Grandma glanced out the window, continued with the work in her hands, but couldn't shake off the worries in her heart.
1:6:10|1:6:17|At this moment, several barks suddenly came from outside. She quickly looked towards the courtyard, but still couldn't see [Ya Ya].
1:6:24|1:6:32|At this moment, [Yaya] is still running in the impoverished mountains, heading deeper, while the sky has completely darkened.
1:6:32|1:6:39|In the room, as the time grew later and later, [Grandma] became more and more worried, her mind not on the fire in her hands.
1:6:39|1:6:45|She was sewing while looking towards the gate of the courtyard, and accidentally pricked her finger with the needle.
1:6:48|1:6:57|Grandma put her wound into her mouth and licked it, feeling uneasy about [Yaya] who hadn't returned yet.
1:6:57|1:7:11|She put the cloth in her hand aside, immediately walked towards the door, then turned back halfway, picked up her hat and left.
1:7:50|1:7:59|The village chief stood up the microphone on his desk, ready to broadcast this to the villagers.
1:8:25|1:8:28|A group of people walked in the night carrying flashlights.
1:8:50|1:8:57|The villagers marched through the forest in a grand procession, calling out [Ya Ya]'s name in all directions.
1:9:45|1:9:52|And at this moment, [Yaya] was still alone in the dark forest, searching around as if she wasn't afraid at all.
1:9:52|1:9:57|Her figure appeared so small under the towering tree, causing concern for her safety.
1:10:9|1:10:15|Finally, after a night of searching, a familiar goose appeared in [Yaya]'s sight.
1:10:15|1:10:19|[Yaya] hurriedly walked towards the goose.
1:10:19|1:10:24|The goose, like a lost deer, obediently lay in the grass nest under the tree.
1:10:24|1:10:30|[Yaya] walked up to it, squatted down, and gently stroked the goose's back with her hand.
1:10:30|1:10:33|On the other side, everyone is still at a loss.
1:10:42|1:10:46|The dust-filled sky hung over [Yaya] and the goose like a hazy mist.
1:10:46|1:10:50|Ya Ya, who was determined to find the goose, now realizes that she has lost her way back.
1:10:55|1:11:1|At the same time, Teacher Fang Yan, who was deeply concerned about Yaya, finally entered the depths of the jungle.
1:11:1|1:11:9|She was holding a flashlight, wandering alone in the darkness, anxiously searching around. Yaya belatedly felt scared.
1:11:9|1:11:16|She dared not run around, holding the goose, sitting down against a big tree, holding her head in her hands, waiting for a possible turn of events.
1:11:16|1:11:23|As Fang Yan went deeper and deeper, she stepped on the damp soil, dragging her still not fully recovered body, searching around in the darkness.
1:11:27|1:11:34|Meanwhile, back at home, [Grandma] had a worried look on her face. A little girl in the mountains, it was just too dangerous for her, and [Grandma] couldn't help but feel anxious.
1:12:1|1:12:5|He was not sure what it was, so he hurried forward to take a closer look.
1:12:5|1:12:9|He bent down and took a closer look, and realized that the crow squatting in front of him was indeed Yaya.
1:12:39|1:12:45|Fang Yan stood up, holding Ya Ya's hand, her tense nerves finally relaxed, and a wave of dizziness came over her.
1:12:45|1:12:51|Fang Yan suddenly lost focus in her eyes, her legs unable to support the weight of her body, and fell in front of Ya Ya.
1:12:55|1:13:4|The clean horse chestnut curtain on the window sill of the cave dwelling quietly unfolds, the flowers swaying gracefully in the sunlight, while the person living inside has long disappeared.
1:13:4|1:13:16|Grandma and [Yaya] came to the cave where the teacher used to live, helping her pack up clothes and miscellaneous items. Grandma sat on the bed, folding clothes, occasionally wiping away the tears on her face, and then continued to organize the clothes in her hands.
1:13:16|1:13:27|[Yaya] patiently organized the teacher's lesson plans and textbooks in front of the table, looking obedient. However, the person who wrote the lesson plans had already fallen in the dim forest, lying in the hospital.
1:13:27|1:13:40|Stacking the cards, Grandma suddenly stopped her movements, unable to contain her heartache for [Fang Yan], because at this moment, [Fang Yan] was still lying unconscious in the hospital bed, with her lips showing a sickly dryness, and her eyes tightly shut.
1:13:41|1:13:49|Grandma gently touched [Fang Yan]'s face, looking at her tightly closed eyes, couldn't help but recall the time when she begged the doctor for treatment.
1:14:21|1:14:26|Thinking of the scene where she begged for the teacher, Grandma couldn't help but burst into tears.
1:14:26|1:14:35|And at this moment, [Ya Ya], who was tidying up the table, accidentally turned on the recorder, and [Fang Yan]'s voice could be heard coming from it.
1:15:28|1:15:32|Grandma lowered her head, the pain on her face deepened by a fraction.
1:16:36|1:16:43|The sound of the radio not only touched [Yaya] and her grandmother, but also reached the ears of her boyfriend Shaofeng thousands of miles away.
1:16:48|1:16:53|He left his job in the city and drove to the hospital in the county to visit [Fang Yan].
1:17:1|1:17:4|The experience of him [Yaya] Fang Yan shouting loudly is still fresh in my mind.
1:17:4|1:17:8|Feeling guilty constantly welled up in her heart as she drove.
1:17:8|1:17:15|Driving over the Great Wall bridge, passing through day and night, [Shao Feng] finally rushed into the hospital with a bright and dazzling look.
1:17:27|1:17:35|At this moment, [Fang Yan] was still lying quietly on the bed, not yet regaining consciousness. [Shang Feng] passed through a series of hospital rooms and finally tremblingly pushed open the door.
1:17:38|1:17:55|In front of her, [Fang Yan] looked so weak, with a tired look of recovering from a serious illness on her face. She gazed at the continuously dripping IV drip with a hint of fear, hesitating for a moment and even not daring to approach. Sitting by the bed, she gently held [Fang Yan]'s weak right hand, with so much to say to her.
1:17:55|1:17:57|But Fang Yan remained silent, unconscious.
1:17:58|1:18:5|She gently caressed Fang Yan's hand, buried her face in Fang Yan's hand, and finally burst into tears. 
1:18:5|1:18:16|By the familiar hillside in the village, [Yaya] sat on the grass, holding the textbook given to her by Teacher Fang Yan, studying it carefully, trying hard to learn pronunciation from the teacher's subtle clues.
1:19:44|1:19:55|After listening to the doctor's advice on artificial cochlea, Shang Feng returned to his office and carefully searched for relevant information on the computer, occasionally making notes with a pen.
1:19:55|1:20:3|In order to advance the project of artificial cochlea, [Shang Feng] is alone in the office researching, hoping to gain a deeper understanding of this technology.
1:20:7|1:20:15|The night had deepened like undiluted ink, and the night watch was dozing off wearily, only to startle awake just before their head hit the table.
1:20:15|1:20:18|After putting on the glasses, [Ma Dongmei] continued to open the computer and look up relevant information.
1:20:20|1:20:29|The long night slowly passed, with only [Shao Feng] pushing forward the plan intensively, as this plan was like a hope for [Fang Yan], a dream she had been longing for.
1:20:29|1:20:35|Early the next morning, the female secretary called to the office stood at the door.
1:20:38|1:20:43|The female secretary walked quickly to Shao Feng, holding a file in her arms.
1:21:12|1:21:15|Listen, [Female Secretary] walked out of the room with a smile.
1:21:17|1:21:26|Half a year passed like a play, with each village primary school merging into a new school in the township. With the care and support from the government and various sectors of society, the teaching conditions have greatly improved.
1:21:26|1:21:28|The flag-raising ceremony was held again that day.
1:21:30|1:21:35|During this period, Teacher Fang's touching deeds have also attracted widespread attention from various sectors of society.
1:21:35|1:21:41|Viewers were moved by her sincere original intention and persistent perseverance, and they all hailed her as [Yuan Shou].
1:21:41|1:21:48|Little [Yaya], under the guidance of Teacher Fang, has made great progress in speaking and daily learning through her own efforts.
1:21:49|1:21:55|During today's flag-raising ceremony, accompanied by the gaze of the crowd and the majestic national anthem, [Ya Ya] walked step by step onto the rostrum.
1:21:55|1:21:58|Today is the day she speaks.
1:21:58|1:22:5|Every syllable she utters, every piece of knowledge she possesses, is hidden in Teacher Fang's every word and action, concealed in every ordinary yet shining day.
1:22:5|1:22:14|She was born in the wilderness, born in the silent and soundless world, but only illuminated by this beam of light from the teacher.
1:22:14|1:22:17|From then on, colorful notes also appeared in her world.
1:22:18|1:22:29|In front of the window stands an elegant lotus flower, both flowers and people will encounter various misfortunes, but the river of life is endless, there will always be wordless and warm light falling on us.
1:22:29|1:22:38|[Yaya] looked down at the old radio placed on the chair below, which had been used by Teacher Fang. In her eyes, it was as if the teacher was still sitting there watching her.
1:23:56|1:24:4|Speak, [Yaya] bowed deeply, with the eight characters "Respecting teachers and following the right path, educating and nurturing talents" shining brightly in the sunlight behind her.
1:24:4|1:24:10|Waking up at some point, Fang Yan lay on the hospital bed and also heard Crow's recitation through the tape recorder.
1:24:10|1:24:19|Shao Fang sat beside her hospital bed, looking affectionately at [Ya Ya], reaching out to touch her skin as if comforting her, everything was falling into place.
1:24:19|1:24:22|[Fang Yan] tightly held [Shao Fang]'s hand, showing a relieved smile.
1:24:32|1:24:36|At the transition of day and night, a new day dawns.
