0:4:0|0:4:7|[Li Tianran] and senior sister saw [Zhu Qianlong] take out a land deed from his bosom.
1:56:58|1:57:20|The situation became even more intense as both Li Tianran and Zhu Qianlong grabbed each other's collars without prior agreement. Genben Ichiro stood up and shouted, only to be kicked unconscious by Li Tianran. The two pushed each other away and locked legs until they each landed a kick, finally separating.
1:57:29|1:57:53|The two started to move their muscles again, [Li Tianran] reached out to provoke, then ran towards the house. [Zhu Qianlong] chased directly, just as [Li Tianran] had run a few steps in the corridor, [Zhu Qianlong] crashed through the window and pounced in, blocking the way. [Zhu Qianlong] flipped over, his face covered with broken glass. The senior brother made another leap but was opened by the junior brother. The junior brother threw the glass, which stuck in the senior brother's buttocks.
1:57:55|1:58:1|Junior Brother jumped out of the window and started punching and kicking the senior brother who was fleeing with his head in his arms, displaying a thug-like demeanor.
1:58:1|1:58:12|Senior Brother also unwilling to show weakness, kicked him in the crotch, causing Junior Brother to retreat and fall down on the spot. Senior Brother then delivered a series of headbutts to his forehead. The two then stood up again, exchanging punches without dodging each other.
1:58:55|1:59:21|Another round of punches landed on Li Tianran's face, grabbing his fingers and using all his strength to swing him around. Li Tianran jumped up, kicking Zhu Qianlong's chest hard. Zhu Qianlong could only grab and throw Li Tianran away, then ran to the corridor. Li Tianran quickly got up and chased after him. Zhu Qianlong escaped to the window, climbed onto the roof, and ran frantically. Unexpectedly, Li Tianran intercepted him from the other side.
1:59:27|1:59:51|Senior Brother turned around and ran back, but was hugged by Junior Brother and rolled onto the eaves. The two of them fought and kicked each other away again. They both got up with the help of the tiles, poised for a fight, and then slowly moved forward. Both reached out their hands to signal, both with sinister intentions, and simultaneously used headbutts to strike each other's heads.
1:59:51|2:0:1|Junior Brother couldn't bear a bear hug, and the two fell on the tiles like this. Seizing the opportunity, Senior Brother locked his throat from behind.
2:0:23|2:0:40|The junior brother half-knelt and tried hard to pull the senior brother's leg. In the struggle, the two of them reached the edge of the roof. The junior brother kicked the roof, and they both fell down at the same time, with dust falling from the roof onto them.
2:0:40|2:0:52|In the courtyard, [Li Tianran] was nowhere to be seen. The senior brother lying on the ground briefly lost consciousness. At that moment, [Genben Ichiro] rushed out of the house with a knife and lunged towards [Li Tianran].
2:1:0|2:1:13|The crazy [Genben Ichiro] muttered to himself, then rushed forward with a knife in hand, stabbing his senior brother in the chest.
2:1:32|2:1:38|He killed [Genben Ichiro] with one stroke of the knife.
2:1:40|2:1:48|The junior brother pulled the senior brother lying on the ground, pointed a gun at his forehead, and pulled the trigger.
2:2:36|2:2:39|The senior brother cried, but the junior brother smiled and let go.
2:2:52|2:3:28|The bullet passed through the head of Senior Brother, a drop of blood dripped onto the name of [Li Tianran] forming four dots. Junior Brother wiped away the remaining three dots with his hand as the car drove back to the back door of the Lan family. The teeth of [Lan Qingfeng] were pulled out, and as [Li Tianran] walked to the door, he picked up the teeth. [Li Tianran] approached slowly, causing the secret agents to immediately stop their actions and stare at him. Suddenly, a secret agent threw an axe, but [Li Tianran] dodged it and shot the tooth into the eyeball.
2:3:28|2:3:37|Another secret agent stepped forward, [Li Tianran] with his fists and punches, his moves swift and powerful, either throwing or neck-breaking, leaving the other agents helpless in his wake.
2:3:37|2:3:43|[Li Tianran] pulled out a gun, loaded it, and released the safety.
2:4:12|2:4:36|[Lan Qingfeng] signaled with a code, [Li Tianran] wiped his forehead with tears in his eyes, then drove the car with [Lan Qingfeng] out of the back door of the Lan family, leaving in a cloud of dust.
2:4:37|2:4:55|From dusk until nightfall, the car slowly came to a stop. [Li Tianran] got out and ran into a house. Shortly after, General Zhang emerged from the house. [Li Tianran] approached and opened the car door for him. General Zhang got into the car, which then drove past the dazzling streetlights.
2:4:55|2:5:1|At this moment, there were three people in the car, with [Lan Qingfeng] lying in the back seat, his face covered in blood.
2:5:7|2:5:21|The car slowly drove towards the Embassy District on Dongjiaomin Lane, passed the sentries, and slowly stopped in front of a beautiful building. General Zhang and [Li Tianran] looked at the door of the building as if waiting for something.
2:5:23|2:5:45|The exquisite gate remained silent for a long time. The two of them waited nervously. Suddenly, the door opened and a foreign couple walked out. The lady patted Li Tianran's face and gave him a tip, which Li Tianran casually threw onto the back seat of the car.
2:5:45|2:5:53|General Zhang saluted the two before entering the door, and they returned the salute. The car promptly left the embassy area. Unexpectedly, Li Tianran...
2:5:53|2:6:3|Li Tianran was stopped by the Japanese. As they approached to inspect, Li Tianran reached for his gun.
2:6:15|2:6:24|But before he could escape the shooting, the Japanese pointed a gun at [Li Tianran], questioning why he was still wearing Japanese clothes.
2:6:36|2:6:50|He called his companions to see the Chinese donkey, and [Li Tianran] broke his neck. One of the companions rushed over with a dagger, but was knocked down by [Li Tianran] with a punch.
2:6:50|2:6:57|Li Tianran picked up the gun stock and smashed it down hard, the car started again and disappeared into the night.
2:6:58|2:7:15|In the early morning, the Japanese troops marched towards the gates of Beiping. Japanese women on the city walls waved flags and cheered, while journalists below crowded around to take photos. Amidst the enthusiastic cheers, the Japanese troops entered the city through Chaoyang Gate.
2:7:47|2:7:54|[Li Tianran] frowned and asked [Doctor Hendler] to cure him.
2:7:54|2:8:4|After Li Tianran finished speaking, he shoveled the coal balls to make the fire burn brightly.
2:8:4|2:8:19|In the puzzled eyes of the fat man, [Li Tianran] ran back to the car, angrily carrying the Japanese man who was killed last night, and then walked to the stove and threw him in.
2:8:20|2:8:57|[Li Tianran] patted the fat man, turned and walked away quickly. The fat man scooped up the coal ball, the fire became more vigorous, black smoke billowed from the chimney. [Tang Fengyi], in pajamas on the city wall, walked over slowly. He passed through the cheering Japanese women, while Japanese soldiers climbed up the stone lions below the city wall. [Tang Fengyi] stood at the high point of the city wall. [Li Tianran] crawled out of the window and saw the tailor shop engulfed in flames, stunned.
2:8:57|2:9:23|Under the city wall, a Japanese soldier asked the journalist to take a photo of him. [Tang Fengyi] jumped down from the wall and hit him. On the archway, [Li Tianran] ran towards the tailor's shop. The present [Li Tianran] has avenged his great hatred, and he feels extremely relaxed and content without the burden of hatred. This trip to Beiping has been fulfilled in his heart.
2:9:23|2:9:29|He ran briskly as if flying, the green plants adorned archways, not hindering his speed at all.
2:9:29|2:9:40|He only wanted to rush to the tailor's shop in his heart, Li Tianran, who came running from the archway, panting, looked at Guan Qiaohong.
2:11:56|2:12:3|[Li Tianran] had tears in his eyes, [Guan Qiaohong] turned around with tears streaming down her face, [Guan Qiaohong] shook her head.
