0:1:33|0:1:38|Night falls, the bustling streets of Tokyo are illuminated by thousands of lights.
0:54:25|0:54:31|Watching Mei Yi's car drive away, Li Shan slowly lifted his floral shirt and bent his waist to 90 degrees.
0:54:43|0:54:49|In the warehouse, the aunties stood on either side of a long table, picking out the dragon fruits from the wooden racks.
0:54:58|0:55:11|The floral shirt carefully picked out the small bags hidden in the pile of dragon fruits and opened them one by one, putting the contents inside into the delicate aluminum box, only to be interrupted by the voice of [Li Shan].
0:55:27|0:55:47|Li Shan looked at the empty warehouse and raised his hand towards Ayo, who was wearing a floral shirt, and said confidently. Ayo then turned around and ran towards a rolling shutter door, gesturing towards the three of them. Inside was a small room about ten meters square, densely packed with around fifty thugs.
0:55:47|0:55:57|Raising their eyes to understand the signal of the floral shirt, the group of people put down the dragon fruits in their hands and brandished the small knives they carried with them, shouting as they charged straight out of the cabin.
0:55:57|0:56:4|Before long, the floral shirt led them to the three of them.
0:56:4|0:56:5|The man in the floral shirt smiled and tilted his head back.
0:56:7|0:56:13|The bald thug standing behind him even picked up the back of the knife and ran it over his own head.
0:56:13|0:56:18|[Li Shan] and Ayo exchanged a smile, then lifted their feet and headed towards the direction of Huacui Mountain.
0:56:18|0:56:22|Before the fight begins, Katie kicks down the ladder and steps on the railing of the second floor.
0:56:32|0:56:45|The water pipes on the ceiling burst one after another, spraying water directly towards the people on the first floor.
0:57:5|0:57:13|The people who had already been soaked in water could only watch helplessly as the electric current passed through the ground from their calves and slowly extended to their whole bodies.
0:57:13|0:57:15|Soon, [Li Shan] was tied back to the suite.
0:58:38|0:58:44|In a moment of contemplation, the doorbell suddenly rang, startling [Ayo] into pulling the trigger, causing the floral shirt to instantly collapse.
0:58:50|0:58:53|Tom, with heavy eyeliner, answers the doorbell on the monitor.
0:58:54|0:58:59|Katie looked at the floral shirt already passed out in the fountain, muttering.
0:58:59|0:59:3|The elevator door opens, and [Tom] in floral shorts steps into the room.
0:59:14|0:59:26|[Tom] curiously looked around the room, then stood in front of Katie, taking out four small tubes resembling mascara.
0:59:32|0:59:38|Tom, with a constant smile on his lips, casually placed the small tube into the glass jar in front of him.
0:59:38|0:59:40|The elevator door opened again.
0:59:42|0:59:47|[Swan] was seen lying on his back, lifted by four bodyguards and carried in.
0:59:48|0:59:51|[Ayo] leans in close to [Baby]'s chest.
0:59:52|0:59:54|Riguo looked around.
1:0:25|1:0:30|[Tom] raised a finger-sized remote control and smiled at Katie with a raised eyebrow.
1:0:30|1:0:35|Watching Katie approach Tom eagerly, Li Shan quickly grabbed her arm.
1:0:56|1:1:3|Watching helplessly as Kan Di, [Tom] turned around and walked towards the floor-to-ceiling window with his arms outstretched.
1:1:25|1:1:31|[Tom], who was originally very excited, immediately became low-spirited.
1:1:36|1:1:42|[Tom] turned around, passed the three people, and then walked into the elevator with a joyful stride.
1:1:50|1:2:1|With long hair tied high behind her head and a slightly cold gaze, [Ayo] commanded the three people in front of her with an unquestionable tone, then led a group of bodyguards away.
1:2:1|1:2:6|According to the agreement, one hour later, Li Shan, Ayo, and Ling Xin drove to the underground parking lot of Hotel A.
1:2:6|1:2:14|Before turning into the parking space, the three of them saw Mei Yi leading a group of bodyguards out of the hotel building, and then standing in front of the car.
1:2:14|1:2:21|[Li Shan] had to step on the brake and walked towards Mei Yi's direction first.
1:2:21|1:2:28|Mei Yi heard Katie's response and turned her head to signal the bodyguard to search the car.
1:2:28|1:2:35|Right Brother, who got off the car right after, widened his eyes in an instant, but being trapped by Tianke, he could only follow orders without making any moves.
1:2:35|1:2:40|So, the two brothers watched helplessly as Katie left the underground parking lot.
1:2:40|1:2:43|Before long, Mei Yi brought Katie, the bodyguards, and others into the house.
1:2:44|1:3:1|Katie looked up to see the entire corridor covered with dark-patterned carpets, with six bodyguards standing on either side. At the end of the corridor, only a small window in the shape of a person was leaking out. Although the sunlight shone in generously, it unexpectedly revealed a strange and chilling appearance.
1:3:1|1:3:10|At the end, turn left. On a larger square wooden platform, [Tom] is watching the screen, playing a game with his back to the crowd.
1:3:11|1:3:16|Katie bypassed the bodyguards sliding everywhere and went straight to [Tom]'s back, asking.
1:3:40|1:3:48|[Tom] threw down the game controller, turned around, and then bounced towards the stairs.
1:3:48|1:3:53|Leaning against the railing of the stairs with both hands, Li Shan looked down at Katie.
1:3:53|1:4:1|Outside the hotel on the street, Li Shan and Ayo heard the words and looked at each other at the same time.
1:4:3|1:4:11|At this moment, the man in the floral shirt, also known as [Li Shan], was kicked in the knee pit by the bodyguard and fell heavily to his knees at [Tom]'s feet.
1:4:11|1:4:16|Shortly after, [Tom] moved his fingers and a bodyguard handed him a transparent pillbox.
1:4:25|1:4:28|Li Shan, who had been breathing rapidly, suddenly stopped when he heard it.
1:4:38|1:4:40|[Tom] looked up, his mouth curved in a brilliant smile as he gazed towards the sea.
1:4:44|1:4:53|[Swan] was held back by the bodyguards and forced to stay in place, only able to watch helplessly as [Tom] gently placed the poison into his own mouth.
1:4:53|1:4:58|I wanted to struggle, but when I looked up, I saw [Baby] pointing a gun at his own forehead.
1:5:8|1:5:18|[Tom], whose emotions were instantly ignited, holding the medicine box in his hand, bounced to the terrace behind him.
1:5:18|1:5:28|Tom reached out with the hand holding the medicine box towards the balcony, glanced at [Ayo] kneeling on the ground, then with a slight movement of his fingers, the medicine box containing the antidote fell down from the 15th floor.
1:5:34|1:5:45|Just as they ran a few steps, [Ayo] was hit on the head by something. When he picked it up and took a look, it turned out to be a medicine box.
1:5:45|1:5:49|Yan Sheng, who had taken poison, intended to take the elevator, but was turned and pushed towards the stairwell by the bodyguard.
1:6:10|1:6:13|Bang! [Tom] sat on the genuine leather sofa on the terrace.
1:6:27|1:6:31|At this moment, [Li Shan] rushes into the hotel lobby and heads straight for the elevator on the first floor.
1:6:39|1:6:46|When the elevator door opened, Yan Shen screamed and rushed out from the nearby stairwell, coming face to face with [Li Shan].
1:6:46|1:6:52|So, [Li Shan] immediately gave up the elevator, opened the door to the stairwell, and ran upstairs.
1:6:52|1:6:59|And at this moment, Katie resolutely walked towards [Tom] and put the poison into his mouth.
1:6:59|1:7:4|At the sight of this, he raised his hand and threw the keys to Katie.
1:7:9|1:7:13|As soon as the words fell, [Li Shan] kicked two bodyguards and rushed in.
1:7:16|1:7:19|Afterwards, Li Shan raised the medicine box to signal to everyone.
1:7:19|1:7:23|On the other side, Li Shan had already run to the outside of the hotel gate.
1:7:26|1:7:31|Brother Li Shan held the medicine box, quietly watching as the headless fly-like figure searched in front of the hotel.
1:7:34|1:7:37|Li Shan held up the medicine box in front of him.
1:7:55|1:8:6|Seeing the sudden intrusion of [Li Shan], [Tom] casually and graciously put down his gun, then waved his hand as if in enjoyment, and instantly, up to 20 well-dressed bodyguards flooded into the room.
1:8:6|1:8:14|[Li Shan] rose from the ground, a kick straight through the shoulder of the guard, followed by punches landing on the faces, necks, and other areas of the crowd like fish.
1:8:16|1:8:22|At this moment, a bodyguard firmly locked his arms from behind, while others quickly rushed towards him to grab his left hand holding the medicine box.
1:8:24|1:8:29|[Li Shan] performed a somersault to evade the front attack, but was immediately lifted up by another bodyguard.
1:8:29|1:8:38|Watching as he was about to be dragged to the top of the long ladder and out the door, [Li Shan] took a deep breath and punched the bodyguard's chest, then opened the medicine box and took the antidote into his mouth.
1:8:38|1:8:43|He then rushed towards Katie and the others in front of the door again.
1:8:43|1:8:46|Raising his hand heavily, [Li Shan] knocks out the bodyguard blocking his way.
1:8:46|1:8:54|Continuing, he grabbed the newcomer's collar, twisted it hard, then quickly bent down, and threw him to the ground with a slam.
1:8:54|1:8:59|In a split second, [Li Shan] lifted his foot and fiercely kicked the shin of a bodyguard on the left side.
1:8:59|1:9:8|Suddenly, a bodyguard sprang out from the side and, catching Li Shan off guard, fiercely grabbed her neck with both arms, signaling the people in front to act quickly.
1:9:8|1:9:12|Unexpectedly, [Li Shan] used the momentum to spring up, lifting his foot straight to the faces of the two bodyguards in front of him.
1:9:14|1:9:21|Then, [Li Shan] raised his elbow and delivered a heavy blow to his own back, causing the bodyguard with a heavy blow to the temple to immediately let go and fall to the ground.
1:9:41|1:9:47|[Ling Xin] stood still for a moment, stunned, and only subconsciously made a swallowing motion upon hearing [Li Shan]'s words.
1:9:47|1:9:52|His eyes flickered as he looked at her, then he pursed his lips and scratched his head.
1:9:52|1:9:56|At this moment, another group of bodyguards heard the commotion and quickly rushed over from outside the main gate.
1:9:56|1:10:2|[Li Shan] naturally took [Ling Xin]'s hand and turned to walk towards the bodyguards.
1:10:7|1:10:19|[Li Shan] stood on the platform of the stairs, glanced at the bodyguards rushing in below, then reached out his left hand to [Ling Xin]. After they high-fived, the two of them stepped on the railing and jumped straight down from the platform.
1:10:19|1:10:22|The bodyguards saw [Ling Xin] shooting with great accuracy, so they rushed straight towards her.
1:10:23|1:10:32|Unexpectedly, he first severely injured the bodyguard's face with a scorpion's white tail, then knocked him down heavily with a white leg in place, and finally squatted down abruptly.
1:10:32|1:10:38|Without waiting for the bodyguards to approach, [Li Shan] swept past with one leg, instantly taking care of two opponents.
1:10:38|1:10:49|[Li Shan] is also adept at various wrestling techniques, even lifting up Katie and using himself as an axis for her to kick forward and backward in mid-air.
1:10:54|1:10:59|[Tom] stood on the terrace, watching the entire process, his fingers curled up excitedly.
1:10:59|1:11:5|[SWAN] nodded gently after listening to the instructions, then turned and left the room.
1:11:5|1:11:11|Katie, already furious, stormed down to the underground parking lot and was immediately stopped by three bodyguards.
1:11:11|1:11:17|But she didn't slow down at all, with a lift of her palm, a swing of her elbow, a kick, she quickly took care of it.
1:11:22|1:11:28|After embracing tightly in the off-road vehicle, Katie and Tianke slammed the door shut and drove away from the hotel.
1:11:28|1:11:35|In the top floor room of the hotel, the group of bodyguards saw that only [Li Shan] was left, so they walked up and surrounded him.
1:11:35|1:11:42|Li Shan was caught off guard and was kicked in the chest by a bodyguard, falling onto the long ladder.
1:11:42|1:11:47|Just as it seemed like they were about to be caught, a loud noise came from behind.
1:11:47|1:11:50|[Li Shan] burst through the door and leaped high, but unfortunately fell to the ground upon landing.
1:11:59|1:12:20|A group of bodyguards hesitated to approach as they saw Ayo aiming the gun back and forth. Li Shan took the opportunity to leave the room, causing Ayo to panic. The next moment, he was overwhelmed by the bodyguards and the gun in his hand was grabbed. In the chaos, he pulled the trigger, and a flame shot out from the muzzle. It turned out to be just a lighter.
1:12:20|1:12:21|Li Shan struggles in the co-pilot seat.
1:12:49|1:12:56|[Tom] played with the remote control of the bomb, sitting in the back seat and looking at the jeep in front of him with a playful expression.
1:12:56|1:13:2|At this moment, the necklace bomb tightly held by [Li Shan] seemed to sense the activation signal, emitting a dangerous sound.
1:13:2|1:13:6|Katie glanced to the side and then angrily stepped on the gas pedal, fiercely turning the steering wheel.
1:13:42|1:13:48|Tom looked at the smiling pig head, raised his hand to touch his lips, and then fearlessly leaned on his chin.
1:13:48|1:13:53|Watching the shadow of the jeep leaving, the eyes gradually became dignified.
1:13:53|1:13:57|Katie, oblivious to what was happening behind her, accelerated away from the city and headed towards a path in the woods.
1:13:58|1:14:1|Kemi suddenly drove up again.
1:14:1|1:14:9|Tianke saw Mei driving closer in the rearview mirror, then suddenly turned the steering wheel and quickly matched the speed of her own jeep.
1:14:9|1:14:16|Then, [Tom] slowly lowered the rear window, raised the remote control in his hand, and turned his head to wave at Katie.
1:14:16|1:14:24|Katie withdrew her gaze and looked up to see a small path blocked by a fence beside the alley. Without hesitation, she abruptly turned the steering wheel to the left.
1:14:26|1:14:30|The speeding car was spun around by the stationary jeep.
1:14:30|1:14:35|When Mei Yi regained consciousness, Katie had already driven the off-road vehicle into the mud.
1:14:35|1:14:38|Shortly after, Katie drove onto another road.
1:14:42|1:14:51|As soon as the words fell, the alarm of the necklace bomb held tightly by Li Shan sounded again, causing Katie's face to change. She had no choice but to step on the accelerator again and speed up towards the crowd.
1:14:51|1:14:58|Tianke unconsciously placed his hand on the necklace bomb and looked at Katie.
1:14:58|1:15:2|Katie bent down and tightly held Tianke's left hand in her own.
1:15:8|1:15:11|Upon hearing Li Shan's response, Katie looked straight ahead.
1:15:11|1:15:17|At the end of the road, [Li Shan] is driving an SUV at high speed towards us.
1:15:17|1:15:26|[Li Shan] confidently said, then handed a small metal tube the size of a mineral water bottle, with a sparkling top, out of the car.
1:15:27|1:15:35|As the two cars passed each other closely, Katie, who also had her hand out of the car, tightly gripped the small tube in her hand.
1:15:35|1:15:42|The handover completed, [Li Shan] breathed a sigh of relief and then, with a determined look in his eyes, continued to drive straight ahead.
1:15:42|1:15:48|Suddenly, [Tom] noticed that the signal pinpointing the exact location of the off-road vehicle disappeared from the screen.
1:15:48|1:15:54|[Li Shan] tightly gripped the steering wheel, yanked the handbrake down, then made a sudden left turn, four wisps of smoke billowing up from behind the tires.
1:15:55|1:16:2|[Tom] gave the order without hesitation, and Mei Yi had no choice but to step on the gas pedal and crash into the car blocking the road.
1:16:2|1:16:13|[Li Shan] showed no fear at all, just tightened the seatbelt with his hand, watching the other party rushing straight towards him, accompanied by the sound of metal scraping and steel frame tearing.
1:16:13|1:16:18|Li Shan's SUV was directly lifted into the sky, rolling over repeatedly before crashing heavily onto the road surface.
1:16:21|1:16:25|Mei Yi and [Tom]’s heads slammed heavily into the deployed airbags.
1:16:25|1:16:34|After a moment of daze, [Tom] first looked back at the severely damaged ICUV that was hit, then turned to the front, searching for the traces of the off-road vehicle.
1:16:34|1:16:41|Seeing the off-road vehicle about to disappear at the end of the road, he raised the remote control high, pushed the door open, and hurriedly chased after it.
1:16:41|1:16:44|It is not clear whether the remote control malfunctioned due to the car crash.
1:16:45|1:16:50|[Tom] pressed the button three or four times but there was no explosion, causing him to panic.
1:16:50|1:16:57|Until the explosion sounded, a hot mushroom cloud bloomed on the horizon, and only then did [Li Shan] reveal a smile.
1:16:57|1:17:2|Shortly after, Mei drove away in a sedan with the front end already scrapped, carrying [Tom].
1:17:2|1:17:8|Two figures supporting each other hurriedly emerged from the trees on the side of the road until the tail lights were no longer visible.
1:17:8|1:17:13|[Tom] changed into a brand new suit and walked up to the arcade machine.
1:18:21|1:18:28|The hotel chairman, who was tied to a chair, couldn't help but tremble, and then heard Tom whispering in his ear.
1:18:28|1:18:33|In the hotel suite on the other side, Miss [Ling Xin].
1:18:42|1:18:44|Just as [SWAN] and the others were regretting, [Tom] was already making plans.
1:19:4|1:19:10|The bodyguards in suits and leather shoes were seen carrying a heavy aluminum alloy box out of the top floor of the hotel.
1:19:10|1:19:20|Under each instruction, Li Shan first went to the wind power station by the sea, then mobilized the convoy, and arrived at a power control panel with tangled cables.
1:19:20|1:19:30|The destination may be different, but the boxes in the hands of each bodyguard are surprisingly consistent, while [Tom] sits on the top floor of the hotel, leisurely holding the controller and playing games.
1:19:43|1:19:48|Tian Ke quickly opened the laptop and searched the hotel's main server on the keyboard.
1:19:55|1:20:3|Just as [SWAN] was puzzled, [Ayo] sitting next to Tianke took out his phone to check, then turned back to look at Jingjian.
1:20:26|1:20:31|At this moment, the bruised [Li Shan] and Ayo walked out of the elevator.
1:20:31|1:20:33|The reunited five people smiled at each other, then [Swan] spoke.
1:20:52|1:20:58|Welcome just landed, [Baby] supported himself with one hand on the back of the sofa, then leaped up and jumped in front of [SWAN].
1:20:58|1:21:6|After a series of kicks and punches, she landed a left punch on her waist, followed by a right punch straight towards the floor-to-ceiling window, causing the curtains in front of the window to once again react and open.
1:21:6|1:21:14|The sunlight streamed into the room, and the five of them gazed at the scenery where the sea and sky met in the distance, then all turned to look at A Hotel diagonally ahead.
1:21:18|1:21:26|[Li Shan] and Katie changed into couple outfits, pretending to be a couple checking in at the front desk of Hotel A, only to hear the front desk inviting them to attend tonight's lantern festival.
1:21:26|1:21:33|While [Ayo] and [Swan] disguised themselves as baggage handlers, they kept a moderate distance from [Li Shan] Katie.
1:21:33|1:21:38|Tianke stayed in the suite, manipulating the intricately complex remote computer in front of him.
1:21:38|1:21:42|At this moment, [Li Shan] and the others have dragged their suitcases into the elevator.
1:21:51|1:21:56|In the meantime, Li Shan, Katie, and Ayo have finished exchanging blows with their weapons.
1:22:7|1:22:14|Tianke pressed the button, causing a short circuit that turned off the lights on the top floor of Hotel A.
1:22:14|1:22:22|Tom's bodyguard shouted out, at this moment, the head bodyguard realized something was wrong, so he immediately ordered his men to retreat from the top floor stairs.
1:22:22|1:22:27|Shortly after, [Li Shan], [Ayo], and [Ling Xin] walked out of the elevator.
1:22:32|1:22:40|Three figures stepped lightly into the room, then turned on the flashlight and walked up the long ladder in the center of the room based on their previous memory.
1:22:40|1:22:44|Descending the long ladder, Li Shan, Ayo, and Ling Xin split up and search for the target bomb.
1:22:44|1:22:50|[Ayo] searches the bar counter, [Ling Xin] searches the flower bed, while [Katie] is lighting up in the center of the house.
1:22:50|1:22:59|At this moment, [Ayo] swept the lights and suddenly noticed two suitcases on the pool table not far from the bar, with thumb-sized liquid bombs hidden inside.
1:23:6|1:23:15|Just as the three of them were shining flashlights around the pool table, the room suddenly lit up.
1:23:15|1:23:23|In the suite, Mei Yi holds a gun to [Swan]'s head.
1:23:23|1:23:29|Taking advantage of Mei Yi turning her head, [SWAN] quickly hid the jamming device hanging around her neck into her collar while giving orders into the walkie-talkie.
1:23:33|1:23:43|The three quickly returned to the pool table, only to find that as soon as they picked up the box filled with bombs and walked down the steps, they saw the group of bodyguards coming back and forth.
1:23:43|1:23:50|In this scene, the bodyguard Li Shan didn't hesitate to shoot, so the three of them had to bend down and quickly run into the bar to take cover.
1:23:50|1:23:55|[Li Shan] was about to rush out, but [Katie] grabbed her arm and then glanced at [Ayo].
1:23:57|1:24:7|Katie looked [Ayo] up and down, then pushed him out. The bodyguard lectured him, then started shooting at him wildly again.
1:24:7|1:24:13|Who knew [Ayo] didn't dodge at all, pulling up the collar of his windbreaker and wrapping it around his head, standing tall like a ram with his back to the bodyguard.
1:24:23|1:24:40|Taking advantage of the distraction, Katie pulled out a stun gun and ambushed from the side, successfully taking out two of the bodyguards. Then, [Li Shan] suddenly attacked from the flank, swinging a collapsible baton at the opponent, and finally delivered a shock, temporarily clearing out the guards inside the house.
1:24:40|1:24:53|Li Shan, Ayo, and Ling Xin hurried towards the elevator. As they passed by a bodyguard who was less than 1.5 meters tall, they ignored him and continued on. Little did they know, the bodyguard picked up two submachine guns and started firing wildly in the direction the three were leaving.
1:24:53|1:24:59|Fortunately, [Ayo] quickly opened the bulletproof windbreaker, hurriedly protecting [Li Shan] and Katie as they ran towards the elevator.
1:24:59|1:25:0|[Baby] opens the elevator door at this moment.
1:25:4|1:25:10|Li Shan and Ayo took the box full of bombs from Katie's hands, and Baby turned to look down the corridor.
1:25:10|1:25:20|At this point, the short man's submachine gun has run out of bullets. Before [Li Shan] charges into the elevator, two bodyguards come running from the side staircase and manage to grab [Li Shan]'s clothes as they dive.
1:25:21|1:25:36|Unlucky [Ayo] happened to be knocked down right in front of the elevator door crack, the other bodyguards pressed down one after another. Seeing the elevator door not closing, [Li Shan] suddenly swung open the expandable baton. [Ayo] looked up at him, then obediently lowered his head.
1:25:36|1:25:41|Next, [Li Shan] opened the elevator control box, and the group of bodyguards were instantly subdued.
1:25:43|1:25:50|Watching as [Katie] and the others successfully ran onto the rooftop, [Baby] forcefully wedged herself into the door frame, blocking the bodyguards who were trying to chase after them.
1:25:50|1:25:53|With a swift turn, [Li Shan] knocked down all ten bodyguards with a single punch.
1:25:54|1:26:2|While the bodyguard was catching his breath, [Li Shan] directly closed the door to the rooftop.
1:26:2|1:26:6|[Baby] tightly grasped the handrails with both hands, as if hearing a faint sound unintentionally.
1:26:9|1:26:11|At this moment, [Li Shan] realized.
1:26:12|1:26:15|[Ayo] heard this and looked at the two boxes at his feet.
1:26:20|1:26:28|[Ayo], who had already swung his arm and leaned half of his body out of the balcony, quickly hit the brakes and managed to pull back the two boxes in his hands back onto the rooftop.
1:26:28|1:26:34|And on the rooftop below, a large group of guests holding wine glasses were mingling in a mix of joy and sorrow.
1:26:34|1:26:40|[Ayo] sighed with lingering fear, only to be startled by the sound of an explosion next second.
1:26:40|1:26:42|The next moment, everyone saw the lights in front of them go out.
1:26:43|1:26:52|In the distance, the brightly lit buildings by the seaside suddenly exploded with flames, followed by a surge of intense fireballs from the connected buildings.
1:26:52|1:27:4|Following that, the device that was originally generating electricity with maple leaves also emitted a deafening roar. The shattered leaves fell like shooting stars, plunging the entire city into darkness in an instant.
1:27:12|1:27:17|Tom came to the suite, took off the Tianke transmitter, stuck it behind his ear, stood in front of the floor-to-ceiling window, and admired the fireworks blooming in the night.
1:27:36|1:27:47|Afterwards, Li Shan took out a remote control from his suit pocket, suddenly saw himself as a conductor, gestured towards Ayo Hotel, and then gently pressed the button.
1:27:47|1:27:56|Behind him, Li Shan and Ayo, who were tied to the sofa, couldn't bear to witness it and quickly closed their eyes.
1:28:2|1:28:7|[Li Shan] tightly held onto Katie with one hand and removed the transmitter with the other.
1:28:7|1:28:10|The other three quickly removed their blockers as well.
1:28:10|1:28:13|[Tom] holds his head in his hands, his face contorted in agony.
1:28:13|1:28:18|[Ayo] looks towards the box not far away.
1:28:38|1:28:42|[Baby] heard the instructions and angrily kicked the door of the hall, then, three people rushed out.
1:28:51|1:28:56|The three of them wasted no time and, after snatching back the RV from the underground parking lot, headed straight for the location of [Swan].
1:28:56|1:29:0|The news of the RV escape quickly reached Ayo's ears.
1:29:0|1:29:4|She frowned, glanced at [Tom], and quickly left the room.
1:29:4|1:29:6|At this moment, the scene extends to [the rooftop].
1:29:13|1:29:25|As soon as the words fell, [Yan Shen] gestured for [Ayo] to look towards the rooftop gate, where a group of thugs with sticks and toolboxes rushed out from the gate. [Ayo] looked pleased at the crowd and then nodded in approval.
1:29:25|1:29:36|On the other side, upon receiving the message, [Swan] had already arrived at the entrance of the hotel. Upon seeing the RV of [Li Shan] and the others, she quickly raised her assault rifle and shot towards them, causing the vehicle to crash by the roadside in the chaos.
1:29:37|1:29:49|[On the rooftop], after [Yan Shen] distributed the paper covers to everyone, he turned around and squatted in front of [Ayo], watching him carefully suspend the liquid bombs in the center of the paper covers.
1:29:49|1:29:54|[Ayo] quickly aimed the gun at the forced-stopped RV again after reloading.
1:29:54|1:30:5|[Li Shan] quickly suggested that, coincidentally, [Ayo]'s gun jammed.
1:30:7|1:30:16|Then, [Katie] took the opportunity to jump off the RV with [the baby], using the chaos caused by the RV hitting the cars on the street as cover, and ran straight towards the direction inside the hotel.
1:30:16|1:30:26|Downstairs, [Ayo] was bending down to change the magazine, but as she looked up, she felt a sudden gust of cold wind and saw [Li Shan] performing a swift dragon tail kick, knocking the submachine gun out of her hand.
1:30:29|1:30:48|Tom finally found the problem, yanking the jammer from Li Shan's neck and fiercely stomping on it with the heel of his shoe. Then he picked up the remote control and walked back to the floor-to-ceiling window.
1:30:48|1:30:56|While Tom closed his eyes and raised his hands to play in a trance, Katie loaded the bullet, firmly aiming at Tom's back.
1:30:57|1:31:0|[Katie] pulled the trigger, but [Tom] dodged swiftly.
1:31:21|1:31:29|At this moment, with no one blocking her path, [Li Shan] stood still in shock after another gunshot, and [Ayo] seized the opportunity to ride forward.
1:31:29|1:31:39|Li Shan is still not as tall and long-legged as Ayo. Just as Li Shan leaped onto the street-side landscape, he turned around and delivered a high kick, landing directly on Swan's head.
1:31:39|1:31:44|On the rooftop of A Hotel, the thugs carefully lit the alcohol candles and placed them under the paper lanterns.
1:31:45|1:31:48|The heat rises, and the paper cover in the center instantly expands.
1:31:48|1:31:54|Next, small sky lanterns were seen drifting towards the pitch-black sky.
1:31:54|1:32:0|A group of tourists looked up at the dazzling beauty in the dark night, unable to help but be amazed.
1:32:0|1:32:9|On the contrary, [Li Shan] arrived at the suite panting heavily, only to find Katie shot in the leg, leaning against the edge of the sofa, heaved a sigh of relief.
1:32:9|1:32:12|Glancing sideways, [Tom] aimed the gun at himself.
1:32:25|1:32:29|[Tom] swung his pistol in hand, his face contorted in a grimace as he spoke.
1:32:37|1:32:43|[Li Shan] shouted to stop, but the next second, seeing the scene outside the window, he instantly froze in his tracks.
1:32:43|1:32:53|The rising sky lantern in the dark night, exploded instantly in the high sky tens of meters away after [Tom] pressed the remote control button, like a fairy scattering flowers, illuminating the night as bright as day.
1:32:54|1:33:8|The joyful smiles of the tourists below gradually became clearer in the exploding flames. Unaware of the truth, they might think it's just a surprise and won't know they just narrowly escaped death.
1:33:8|1:33:16|At this moment, numerous sky lanterns are rising and exploding one after another. In the moment of explosion, the bright shards scatter like crystals, painting the dark night in a colorful way.
1:33:19|1:33:35|Katie, who took in everything with her eyes, looked at the gorgeous scenery outside the floor-to-ceiling windows. Xuanzhi's heart finally settled down. The original sound on the rooftop and the excited shouts of the thugs made everyone cheer for success, embracing each other as if they had survived a disaster.
1:33:35|1:33:40|At this moment, [Tom] suddenly realized something was wrong and turned to look out the floor-to-ceiling window.
1:33:40|1:33:52|He didn't see the scene of buildings being destroyed and people fleeing as expected. In anger, he immediately turned back and smashed the remote control.
1:33:52|1:33:55|Tom aimed his gun at [Li Shan], then raised the antidote box high.
1:34:7|1:34:14|Tom stumbled backwards, knocking the steps in front of the French window and falling back. The antidote in his hand slipped out of the window in an instant.
1:34:14|1:34:21|[Li Shan] got up and lunged forward, barely catching the medicine box, but the next second, he fell out directly due to inertia.
1:34:21|1:34:33|At the moment the first shot was fired, he tightly gripped the windowsill with his right hand, while Tom got up and patted his suit, playfully walking towards the window. He then raised one foot and ruthlessly kicked [Li Shan]'s hand.
1:34:33|1:34:39|A shot hit Li Shan's hand, and after seeing Li Shan fall, he grabbed onto the railing outside the building.
1:34:39|1:34:41|This time, he aimed at the top of [Li Shan]'s head.
1:34:44|1:34:48|Li Shan looked at the struggling [Ayo] without hands, gazing at the roaring sea beneath her.
1:34:48|1:34:51|Tom is about to shoot, ending it all.
1:34:51|1:34:57|At this moment, [Baby] forcefully shields the gunshot wound in his abdomen, suddenly pouncing from behind and grabbing onto Tom's arms.
1:34:57|1:35:3|Taking advantage of the two above being entangled, [Li Shan] used one hand to open the medicine box and put the antidote into his own mouth.
1:35:3|1:35:10|Grabbing the handle tightly with both hands, exerting force with the waist and abdomen, grabbing the windowsill fiercely, then flipping back into the room and quickly approaching the two.
1:35:11|1:35:21|A leg kicked out from the airship, hitting [Tom] on the neck and knocking him over, saving [Baby] from the barrel of [Tom].
1:35:21|1:35:31|[Li Shan] knelt on one knee, panting heavily, gave a slight smile to the unconscious [Tom], then turned to look at Katie, but Katie's face suddenly changed.
1:35:34|1:35:43|When [Tom] once again aimed his gun at [Li Shan], [SWAN] and [Ayo] both took action with a box and a stun gun.
1:35:43|1:35:49|However, before [SWAN] could make a move, [Tom] was shot by [Ayo], and under the strong electric current, he finally passed out.
1:35:58|1:36:10|At this moment, [Li Shan] finally realized what was happening. He took a sip of the antidote, stood up straight, and walked towards Katie with a smile on his face. He squatted down in front of Katie, gently held her face in his hands, and leaned in close.
1:36:15|1:36:17|[Li Shan] immediately lowered his arms.
1:36:17|1:36:21|Behind, Li Shan has already crawled over.
1:36:21|1:36:32|[Li Shan] kept his lips tightly closed and looked at Katie again.
1:36:32|1:36:40|Seeing that [Li Shan] showed no intention of rescuing anyone, [Ayo] simply threw herself on top of her, then aggressively moved her head towards her lips.
1:36:54|1:36:58|In the early morning, Li Shan, Ayo, and Ling Xin were curled up on the sofa in the suite, mumbling in their sleep.
1:37:9|1:37:14|Learning that those children who lost their families have all been sent to the orphanage.
1:37:19|1:37:25|[Li Shan] and Katie sat back to the sunrise, looking out the floor-to-ceiling window and chatting with the three of them.
1:37:25|1:37:32|Katie put down the cup in her hand and lowered her head shyly.
1:37:32|1:37:34|After speaking, he turned his head to look at [Li Shan].
1:38:10|1:38:17|It turns out it was [Baby], and she recalled the scene that left a deep impression on her, even in her dreams she still couldn't forget.
