0:1:56|0:2:1|At this moment, a handsome man and a beautiful woman are flirting in a high-end restaurant.
0:48:20|0:48:24|Even slowed down, [COCO] disappeared just as Chen Jiaqiao got off the car.
0:48:24|0:48:29|[COCO] quickly ran into the passage after confirming that the car parked next to it was [Yanzi]'s car.
0:48:29|0:48:31|Arrived at the floor where [Yanzi] is located.
0:48:31|0:48:35|Even though the aisle was paved with understated luxury marble, she had no time to spare.
0:48:36|0:48:46|The door of Room 5201 on the right was not closed, but slightly ajar with a gap the width of a palm. [COCO] cautiously approached and peered through the gap, shining a light inside.
0:48:46|0:48:51|Suddenly, the door opened and [Yanzi] stood unabashedly at the doorway, smiling and greeting [COCO].
0:48:56|0:49:4|Faced with the invitation from [Yanzi], [COCO] hesitated greatly, but curiosity ultimately prevailed, leading her into the room.
0:49:4|0:49:11|After passing through the dim foyer, there was a wall-mounted open bookshelf, filled with photos of [Yanzi] and [Chen Jiaqiao].
0:49:11|0:49:16|[COCO] felt a chill run down her spine, unable to help but hug her arms tightly, echoing back with a sharp and probing question.
0:49:20|0:49:27|[Yanzi] stared at [Coco], explaining calmly, while [Coco] sat slumped at the dining table, looking incredulous.
0:49:50|0:50:2|At this moment, [Chen Jiaqiao] was leaning against the bedroom door, eavesdropping on the conversation between the two.
0:50:2|0:50:11|[COCO] looked pitiful in the face of adversity, only to be replaced by an expression of disbelief immediately.
0:50:11|0:50:16|[Yanzi] always had a smile on her face as she casually pushed a recipe book in front of [COCO].
0:50:50|0:50:55|Speak up, [Yanzi] has turned to the third page of the recipe again.
0:50:56|0:51:6|[COCO] looked at the recipe, lost in thought, vaguely remembering the steamed crab, the brightly colored stir-fried mushrooms, and feeding them to [Chen Jiaqiao] personally.
0:51:14|0:51:19|At the sight of this recipe, [COCO] immediately remembered the day when [Yanzi] came to help her cook fish at home.
0:51:19|0:51:28|The delicious catfish was placed on the family dining table, while the conflicting pig liver soup was also served on another table.
0:51:28|0:51:33|Chen Jiaqiao behind the door looked terrified, tightly covering his mouth to prevent making any noise.
0:52:24|0:52:32|The scene shifts to a supermarket, where the pregnant belly of [Yanzi] is prominently displayed, with the fetus clearly visible on the screen.
0:52:32|0:52:36|The nurses surrounded [Yanzi] with smiles, joyfully celebrating this young life.
0:52:37|0:52:42|[Yanzi] is beaming with a happy smile as she props herself up to feel the heartbeat of her child.
0:52:42|0:52:52|After the prenatal examination, she went to the market as usual, bought a catfish that [Chen Jiaqiao] loved to eat, picked some side dishes, and soon her hands were full.
0:52:53|0:53:0|However, as they were crossing the street and waiting for the traffic light, an unexpected sight appeared - the familiar vehicle was not far away.
0:53:0|0:53:6|After the car came to a stop, Chen Jiaqiao's pregnant wife witnessed with her own eyes the scene of her husband kissing another woman.
0:53:6|0:53:11|[Yanzi] was furious, staring fixedly at her own vehicle, and quickly walked towards the middle of the road.
0:53:11|0:53:16|However, at this moment, a truck came rushing in and knocked [Yanzi] down to the ground.
0:53:17|0:53:23|Surrounded by onlookers, even [Chen Jiaqiao] leaned out of the car window curiously to join the excitement.
0:53:23|0:53:27|The people around dared not move the pregnant woman easily, so they could only call and wait for the paramedics.
0:53:44|0:53:52|[Yanzi] lowered her eyes and quietly finished telling [COCO] everything, but when she looked up, her eyes were empty and lifeless.
0:53:58|0:54:12|[COCO] turned away from [Yanzi], tightly closed her eyes, letting tears slide down her cheeks, while Chen Jiaqiao sat on the ground, holding her head in regret.
0:54:12|0:54:19|Yanzi then invited COCO to visit another room. As COCO pushed the door open and entered, she fell into deep thought.
0:54:20|0:54:31|This is clearly a carefully arranged nursery, with wind chimes swaying at the door and butterfly decorations in the center, all showing Yanzi's expectations for this child.
0:54:31|0:54:49|[COCO], with red eyes, kept lighting up various toys prepared for the baby in the room, while [Yanzi] calmly leaned against the door, showing no intention of going in. When [COCO] picked up a pair of soft shoes, tears couldn't help but fall from her eyes, while [Yanzi], strong and with a hint of smile on her face.
0:55:7|0:55:11|[Yanzi] did not answer, but instead led her to the door at the entrance.
0:55:11|0:55:18|[COCO] kept her head down, lagging three or four steps behind [Yanzi], as if hesitating whether to take one last look at Chen Jiaqiao.
0:55:18|0:55:29|[Yanzi] glanced back at [COCO], then opened the door and left. As the door opened, [COCO] instinctively took a few steps forward, wanting to catch another glimpse of the person who had been on their mind day and night.
0:56:11|0:56:15|[COCO]'s confused steps came to a halt because of these words.
0:56:15|0:56:20|She looked at [Yanzi] in disbelief, then turned angrily and walked away.
0:56:20|0:56:24|Chen Jiaqiao still sat on the bed, tears streaming down silently.
0:56:24|0:56:27|[COCO] came out of [Yanzi]'s house and immediately went to get drunk with her best friend.
0:56:27|0:56:31|The two sat in front of the food stall, with seven or eight empty beer bottles on the table.
0:56:32|0:56:37|However, the emotionally unstable [COCO] had no intention of drinking, only focusing on eating and crying in pain.
0:56:37|0:56:45|The best friend did not dissuade, quietly drinking beer alone, accompanying [COCO].
0:56:45|0:56:51|After some time, the surrounding guests left one after another, and even the food stalls pulled down their shutters to prepare for rest.
0:56:51|0:56:58|At this moment, there were over a dozen bottles of alcohol on the table. While her friend [COCO] remained modestly sober, [COCO] had already passed out on the table.
0:57:20|0:57:28|The moment her best friend, [Yanzi], sensed something was wrong, she panicked. And when [COCO] woke up again, she found herself lying on a hospital bed.
0:57:28|0:57:40|Seeing [COCO] waking up, [Yanzi] breathed a sigh of relief, gently stroked her forehead and smiled.
0:57:40|0:57:42|At this moment, [Yanzi] is happily playing with a hamster.
0:57:45|0:57:51|The mischievous hamster is locked in a wheel, as he runs, the wheel spins rapidly.
0:57:51|0:57:59|[Chen Jiaqiao] sat quietly on the side, suppressing the fear in his heart, holding [Yanzi]'s hand tightly, discussing with the kind-hearted.
0:57:59|0:58:5|Yanzi's smile froze on her face, ignoring Chen Jiaqiao, who couldn't help but move closer.
0:58:9|0:58:17|[Yanzi] still ignored him, focusing on the hamster in front of her, occasionally playing with the cage to make the hamster run faster.
0:58:30|0:58:41|After a long time, [Yanzi]'s gaze finally left the hamster in front of her. She slowly raised her head, looked at the serious [Chen Jiaqiao], and smiled gently, making one's whole body feel fuzzy.
0:58:45|0:58:50|[Yanzi] stared fixedly at [Chen Jiaqiao], causing [Chen Jiaqiao] to involuntarily take a step back in fear.
0:58:50|0:58:58|Sensing the other's emotions, [Yanzi] smiled and held his hand back in an attempt to comfort him, but a tear silently slid down her cheek.
0:59:1|0:59:10|[Yanzi] spoke gently but firmly, holding a bowl of soup in her right hand and gripping [Chen Jiaqiao]'s chin with her left hand, then poured the soup directly into his mouth.
0:59:10|0:59:15|At this moment, [Chen Jiaqiao] was like a hamster trapped in a wheel, at the mercy of [Yanzi].
0:59:16|0:59:25|That day, [Chen Jiaqiao] lay naked and confused in the bathtub, covering his face with both hands, seemingly unable to accept this state of life.
0:59:25|0:59:30|With both hands slowly dropping down, his gaze focused on the wedding ring on the ring finger of his left hand.
0:59:30|0:59:36|[Chen Jiaqiao] took it off, held it up to the top of his head and stared at it for a long time, with a timid anger in his eyes.
0:59:36|0:59:40|In the end, he released his fingers and let the wedding ring fall into the water.
0:59:46|0:59:56|At this moment, [Yanzi] was standing in front of the stove as usual, making porridge. When she saw the incoming call on her phone, she rolled her eyes lightly and impatiently answered the call.
1:0:11|1:0:14|[Yanzi] looked up, as if pondering something.
1:0:14|1:0:21|[Chen Jiaqiao] now leads a reclusive life, pulling the curtains tightly shut to shroud the living room in darkness.
1:0:21|1:0:30|Chen Jiaqiao lay on the sofa, weakly reaching out to pick up the telephone receiver. However, after putting it to his ear and listening for a moment, there was no sound at all.
1:0:30|1:0:38|[Chen Jiaqiao] only then realized that all the telephone lines had been cut by [Yanzi]. He reached out and wound the telephone line around a few times, pulling it down to the ground with force.
1:0:48|1:0:54|COCO remained silent for a long time, and Yanzi looked up at him calmly.
1:1:35|1:1:40|Chen Jiaqiao angrily pulled open the curtains, and the glaring sunlight immediately flooded the entire room.
1:1:40|1:1:46|He tried to open the window, undoubtedly failed, and the phone he was holding had already had its battery removed by [Yanzi].
1:1:46|1:1:51|He raised his arm in resignation and symbolically tapped the glass a few times in a struggle.
1:1:52|1:1:56|Upon entering the room, there was originally only a door lock, but now an additional password lock has been added.
1:1:56|1:2:0|Now he doesn't even have the strength to walk to the door.
1:2:0|1:2:5|He sat in a wheelchair, desperately hitting the door, but it had no effect.
1:2:5|1:2:10|He had no choice but to turn the wheelchair around and slide towards the living room.
1:2:10|1:2:15|Chen Jiaqiao is seen spinning in circles in the small area of the living room in his wheelchair.
1:2:25|1:2:36|Chen Jiaqiao mustered up the last bit of strength to stand up, lifting the wheelchair with all his might and smashing it against the window. However, the window had been replaced with bulletproof glass, unmoved by his efforts.
1:2:36|1:2:42|[COCO] was crying sadly when suddenly her expression changed.
1:2:42|1:2:53|At the moment when he ran towards the toilet, covering his mouth and retching, a crack finally appeared on the usually calm face of [Yanzi].
1:3:8|1:3:14|At this moment, [COCO] finally realized the true identity of [Yanzi] and couldn't help but widen her eyes.
1:3:14|1:3:24|At this moment, [Chen Jiaqiao] was squatting by the edge of the bathtub, lost in thought. He stared motionlessly at the ventilation opening on the window, which was almost his only way out.
1:3:24|1:3:33|He immediately gathered up the white paper scattered on the living room floor. Without a pen, he could only bite his finger in distress and write the final life-saving message with blood.
1:3:34|1:3:39|Before long, the words "help 5201" were written on several pieces of white paper.
1:3:39|1:3:47|The blood on his fingers dried up, and he bit down even harder, not daring to stop even with a mouth full of blood.
1:3:47|1:3:57|[Chen Jiaqiao] seemed to see the hope of freedom. After writing on all the white papers, he carefully folded them into paper airplanes and then stuffed them out through the gaps between the fan blades of the ventilation duct.
1:3:58|1:4:8|At this moment, [Chen Jiaqiao]'s heart was swaying more severely than the paper airplane in the air. He pressed himself against the glass window, trying hard to observe the trajectory of the plane's descent.
1:4:8|1:4:13|At this moment, the children playing downstairs seemed to have discovered a new continent, all gathering towards a vacant lot.
1:4:18|1:4:27|Unfortunately, [Yanzi]'s car happened to pass by here. She looked at the group of children holding paper airplanes, rolled down the window, and a hint of coldness appeared in her eyes.
1:4:27|1:4:32|Later, [Yanzi] carried the skirt and stone box that [COCO] had returned, and walked back home.
1:4:32|1:4:37|She remained calm, and even the floor cleaner didn't notice anything unusual.
1:4:37|1:4:42|At this moment, [Chen Jiaqiao] crouched by the gate, and upon hearing the sound of the door opening, she decisively lifted her head.
1:5:13|1:5:22|[Yanzi] calmly explained everything, staring at Baojie with a cautious look, while getting up and dragging [Chen Jiaqiao] by the legs into the room.
1:5:22|1:5:28|P&G also didn't want to cause trouble, glanced around and quickly retreated around the corner, continuing to work hard dragging the corridor.
1:5:28|1:5:33|After closing the door, [Yanzi] quickly turned both locks and set a new passcode.
1:5:35|1:5:46|In the dimly lit living room, [Chen Jiaqiao] sat in a wheelchair, his arms securely tied to the armrests. He choked back tears, trying to break free, but the ropes remained unmoved. At that moment, [Yanzi] slowly squatted in front of him.
1:5:54|1:5:59|[Chen Jiaqiao] let out a sigh, looking at his wife who had turned into a demon in front of him, feeling like crying but unable to shed tears.
1:5:59|1:6:5|[Yanzi] clasped [Chen Jiaqiao]'s hand devoutly, slipping the wedding ring she had long abandoned back onto her left ring finger.
1:6:5|1:6:8|Now, [Chen Jiaqiao] has long given up struggling.
1:6:8|1:6:9|Chapter Two: Trap.
1:6:12|1:6:20|The elevator doors opened, revealing [COCO] with a slight bulge in her abdomen. She had a handbag slung over her right shoulder and was holding a suitcase with her left hand, looking exhausted as she leaned against the inside wall in a daze.
1:6:20|1:6:25|After coming to her senses, she forced herself to stand up, holding back the tears welling up in her eyes, and walked towards the elevator. 
1:6:31|1:6:38|[COCO] picked up the phone, stared at the caller ID, remained silent for a while, and then continued to walk forward with heavy steps.
1:6:38|1:6:43|However, the other party had no intention of hanging up the phone, the annoying ringing continued to echo in the ears.
1:6:43|1:6:47|[COCO] took a few more steps and finally stopped in a dejected manner.
1:7:50|1:7:53|[COCO] closed her eyes tightly, letting tears flow down.
1:7:53|1:7:57|This man always manages to break through his inner defenses in the fastest way.
1:7:57|1:8:1|He cried uncontrollably, only able to support his forehead to ease his emotions.
1:8:1|1:8:4|In the end, [COCO] chose to go see [Chen Jiaqiao] one last time.
1:8:4|1:8:10|In the taxi on the way to the other party's home, [COCO] took out her phone, found her friend Zhang Qing's number, and dialed it.
1:8:10|1:8:17|However, at this moment, Chen Jiaqiao and her police boyfriend are on a date at the cinema, happily snuggled together eating popcorn.
1:8:17|1:8:20|Completely oblivious to this life-saving call.
1:8:20|1:8:32|The phone call went unanswered, leaving [COCO] feeling uneasy. After sending a text message, he hurriedly rushed to the doorstep of [Chen Jiaqiao]'s house. Just like last time, the door was still half open, but inside was eerily quiet.
1:8:33|1:8:40|[Coco] stood at the door calling tentatively, and after receiving no response, took a few steps forward.
1:8:40|1:8:47|[COCO] cautiously pushed open the door, but still did not see the figure that haunted her dreams.
1:8:47|1:8:52|She couldn't hide the worry on her face and took a few steps back inside.
1:8:52|1:8:59|At this moment, [COCO] stood by the living room, shining around looking for [Chen Jiaqiao]'s figure, but still found nothing.
1:9:4|1:9:9|[COCO] stood by the wall, feeling that something was not quite right.
1:9:9|1:9:13|However, without waiting for him to react, [Yanzi] covered [Coco]'s mouth and nose with a towel from behind.
1:9:13|1:9:14|Jiaqiao looked expressionlessly at the unconscious COCO in the distance.
1:9:38|1:9:46|[COCO] suddenly woke up at this moment.
1:9:46|1:9:50|[Yanzi] crossed her arms and leisurely approached Chen Jiaqiao.
1:9:58|1:10:9|[Yanzi] held Chen Jiaqiao's face and roared wildly, a scene that sent shivers down COCO's spine. She scrambled to her feet and ran towards the door in a panic, with [Yanzi] in the living room hearing the commotion and quickly following suit.
1:10:9|1:10:15|Chen Jiaqiao took this opportunity to break free from the ropes binding him, took a big step forward, and tackled Yanzi to the ground.
1:10:15|1:10:21|While the couple [Chen Jiaqiao] and [Yanzi] were fighting, [COCO] hurriedly knocked on the door for help, but no one answered.
1:10:21|1:10:30|At this moment, [Yanzi] has taken out a stun gun from her bag and Chen Jiaqiao desperately dodges, preventing the weapon from hitting her.
1:10:30|1:10:34|Just as the two were struggling, the stun gun was thrown to the wall below [COCO].
1:10:34|1:10:40|At this moment, [COCO] was at a loss, watching as [Chen Jiaqiao] rode onto [Yanzi] and tightly gripped her neck with both hands.
1:10:40|1:10:43|It's obvious that Chen Jiaqiao is determined this time.
1:10:43|1:10:46|Not long after, [Yanzi] had much less strength to struggle.
1:10:47|1:10:54|In the end, [COCO] picked up the electric motor at his feet and pressed it directly against [Chen Jiaqiao]'s neck, allowing [Yanzi] to break free.
1:10:54|1:11:2|[Chen Jiaqiao] was once again tied to a wheelchair, but this time, unlike before, not only his arms, but his whole body was wrapped in ropes.
1:11:2|1:11:12|COCO nervously raises the electric drill and aims it at Yanzi's face.
1:11:12|1:11:14|[Yanzi] approached fearlessly, smiling as she took a few steps forward.
1:11:17|1:11:26|Looking at the girl in front of her with a determined look of returning at all costs, [Yanzi] shook her head helplessly.
1:11:44|1:11:48|[Yanzi] appears calm on the surface, but her eyes are filled with stubbornness and madness.
1:11:48|1:11:53|[COCO] was stunned by this sharp gaze and couldn't move for a moment.
1:11:53|1:11:59|[Yanzi] smiled slightly at the scene, calmly took the electric shaver from her hand, and gently ran it over her hair ends.
1:11:59|1:12:8|[COCO] desperately pounded on the door and called out, but still received no response.
1:12:14|1:12:19|[COCO], who gave up struggling, slumped against the door with lifeless eyes.
1:12:19|1:12:25|At this moment, [Yanzi] pushed a medical cart over, equipped with surgical instruments, medical gloves, and everything needed for the operation.
1:12:25|1:12:31|The medical tools emitted a chilling metallic sheen, causing [COCO] to involuntarily shrink back.
1:12:31|1:12:36|[Yanzi] paid no attention to [COCO]'s little movements, and gently squatted down in front of her.
1:12:49|1:12:55|At this moment, as the movie theater just started, [Chen Jiaqiao] took out her phone to check the messages.
1:13:29|1:13:35|After dealing with the company's affairs, [Yanzi] sat in Chen Jiaqiao's office chair, waiting for the secretary to tidy up the documents.
1:13:40|1:13:44|[Yanzi] stared coldly at the cabinet in the distance without moving a muscle.
1:13:44|1:13:50|At the same time, [Zhang Qing] arrived at the Hekeying State 5201 as mentioned by [COCO] with her police boyfriend.
1:13:50|1:13:59|After receiving a signal from her boyfriend, [Zhang Qing] softly approached and knocked on the door.
1:13:59|1:14:3|When [Chen Jiaqiao] knocked on the door, her boyfriend also felt something was wrong and looked around suspiciously.
1:14:7|1:14:18|At this moment, [COCO] was tied up and thrown into the nursery. Upon hearing his friend's call, he quickly got up and ran towards the door.
1:14:18|1:14:28|[Yanzi] obviously anticipated this, as she had already locked the door to the nursery, while [Chen Jiaqiao] in the living room was tightly bound to a wheelchair, unable to move, with his mouth taped shut, unable to make a sound.
1:14:28|1:14:33|Suddenly, Chen Jiaqiao's police boyfriend took two steps forward and looked thoughtfully at the three locks on the door of the room.
1:14:58|1:15:6|Faced with [Yanzi]'s questioning, [Chen Jiaqiao] pursed his lips, lowered his head, and remained silent, which completely annoyed [Yanzi].
1:15:6|1:15:14|[Yanzi] turned her head and stared straight at [Chen Jiaqiao], who still had a slight look of timidity on his face, but remained silent with pursed lips.
1:15:30|1:15:36|Upon hearing these words, a crack finally appeared on the fearless face of [Chen Jiaqiao], immediately noticed by [Yanzi].
1:15:46|1:15:52|The safe door was popped open, and [Yanzi] reached in and pulled out only an envelope.
1:15:52|1:16:1|[Yanzi] poured out the contents of the envelope in front of the three people, her eyes widening involuntarily, while [Chen Jiaqiao] rested his head on his hands, clearly not wanting to face it.
1:16:1|1:16:8|In the thick stack of photos, [Yanzi] spread them out and found that they were all pictures of [Chen Jiaqiao] with different women.
1:16:9|1:16:15|In the photo, some are kissing, some are hugging, directly showing the intimate relationship between [Chen Jiaqiao] and [Yanzi].
1:16:15|1:16:19|Some of the photos even had a string of text written on the back.
1:16:19|1:16:22|[Yanzi] flipped through the pages and pulled out one to read aloud.
1:16:48|1:16:57|[Chen Jiaqiao] clasped his hands together and closed his eyes tightly, while [Yanzi] glanced at him and then picked up a photo, flipping it over to read aloud from the back.
1:17:10|1:17:18|The girl in the photo is very young, with her hands around [Chen Jiaqiao]'s neck, her bright face filled with a beautiful smile.
1:17:18|1:17:24|[Yanzi] tearfully puts down the photo in her hand, then picks up the next one in a self-torturing manner.
1:17:54|1:17:59|[Chen Jiaqiao] calmly opens his eyes, leaning forward as if seeking the right answer.
1:17:59|1:18:9|Facing the intense gaze from [Yanzi], [Chen Jiaqiao] showed no fear, even managing to smile back at her. He then tried to adjust to a more comfortable position.
1:18:44|1:18:54|At this moment, [COCO] finally realized that the joyful nest in her heart was nothing but a gilded cage in the eyes of [Chen Jiaqiao].
1:18:54|1:18:57|He gave Chen Jiaqiao a disdainful look and got up to leave the living room.
1:18:58|1:19:8|[Yanzi] finally couldn't contain the anger in her heart. As [COCO] rushed into the bedroom, she took three or four steps to [Chen Jiaqiao] and slapped him hard.
1:19:8|1:19:14|Jiaqiao had anticipated this, he looked like a naughty child, opening his mouth wide and staring at [Yanzi] with an innocent expression.
1:19:19|1:19:24|The table full of photos scattered, silently accusing Chen Jiaqiao's misdeeds.
1:19:24|1:19:25|Epilogue, liberation.
1:19:25|1:19:37|The kitchen belongs to [Yanzi], where the green shrimp is poured into the oil pan and visibly changes color, tomatoes are sliced thinly, radishes are neatly lined up, and the soup made from fish balls is fresh and translucent.
1:19:38|1:19:56|The oil in the pot kept rolling, the color of the food was mouth-watering. The zucchini was shredded to remove the soft core in the middle, and the bitter melon was sliced with precision, each slice of consistent thickness. Soon, more than a dozen dishes were brought to the table. Chen Jiaqiao sat in the middle and unceremoniously picked up the braised prawns.
1:20:0|1:20:9|Chen Jiaqiao shook his head and ate a few mouthfuls of rice, then picked up the soup bowl and drank it until the bowl was empty, as Yanzi said from the right side.
1:20:13|1:20:29|Finally, he picked up the shrimp from the pot on the left, eating and spitting out the shells.
1:20:41|1:20:45|Jiaqiao impartially also served a bowl of vegetables to [Yanzi] on the left.
1:21:18|1:21:22|He frowned and drank up the wine in one gulp.
1:21:22|1:21:31|Two women sit facing each other on either side, always bowing their heads in silence.
1:21:36|1:21:41|Chen Jiaqiao stared at the food on the table for a long time, then slapped his thigh and got up to leave.
1:21:41|1:21:47|[Yanzi] didn't raise her head slightly to look at the dim light until Chen Jiaqiao left.
1:21:47|1:21:51|Chen Jiaqiao came to the bathroom and stood in front of the mirror, revealing a perfect smile.
1:21:51|1:21:56|She moved closer, carefully illuminating her own face.
1:21:56|1:22:1|In [Yanzi]'s silent recipe, her eyebrows are almost gone.
1:22:1|1:22:4|Chen Jiaqiao took a deep breath and picked up an eyebrow pencil to draw her eyebrows.
1:22:5|1:22:12|He furrowed his brow for a long time, until he was satisfied with the left side, then switched the pen to his right hand and started drawing the right eyebrow.
1:22:12|1:22:19|Outlining eyebrows is not an easy task. Before long, Chen Jiaqiao became a bit irritable, even her breathing became heavier.
1:22:19|1:22:26|Finally, after drawing the eyebrow shape to her satisfaction, [Chen Jiaqiao] raised the corners of her mouth, took a picture with her eyebrows in a smooth arc, and then put down the eyebrow pencil.
1:22:26|1:22:38|However, in the next scene, something unbelievable unfolds. Chen Jiaqiao picks up another cosmetic product and firmly presses the foundation onto the powder puff, then skillfully pats it onto his own face.
1:22:38|1:22:44|At this moment, the two women in the restaurant still had no idea what had happened, and they remained silent, looking at each other.
1:22:44|1:22:47|[Chen Jiaqiao] stared at his reflection in the mirror, smiling in a very eerie way.
1:22:47|1:22:55|He lit up the dressing table again, finally picking up a lipstick. She hesitated and twisted it out, aiming at her lips in the mirror.
1:22:55|1:23:0|With each vigorous stroke of lipstick, [Chen Jiaqiao]'s mouth instantly became a vibrant canvas.
1:23:4|1:23:13|After all this was done, [Chen Jiaqiao] sighed, looking at the mirror. The person in the mirror had broad eyebrows, bright eyes, and fair complexion. It was herself, yet not herself.
1:23:13|1:23:21|[Chen Jiaqiao] slowly approached the mirror and left a lip print on it, perhaps this was the last thing he wanted to leave in this world.
1:23:23|1:23:32|Finally, after opening the mirror, Chen Jiaqiao took out all five bottles of vitamin C from the storage cabinet, and then remembered to close the cabinet door.
1:23:32|1:23:41|[Chen Jiaqiao] sits by the bathtub, neatly lining up the medications. As he fills the bathtub with water, he pours vitamin C into his palm and takes it to his mouth.
1:23:42|1:23:47|Continuing, she directly opened the medicine bottle and poured it into her mouth, as if chewing candy beans.
1:23:47|1:23:56|[Yanzi] finally reacted first. She slowly raised her head and looked towards the bathroom. Suddenly her face changed, while [COCO] was still leaning on the table immersed in sadness.
1:23:58|1:24:2|The water in the bathtub kept overflowing, flowing down the steps.
1:24:2|1:24:7|Next to the bathtub, there are pills scattered all over, and the medicine bottle is about to fall under the impact of the water flow.
1:24:7|1:24:15|When [Yanzi] opened the door, the scene she saw was [Chen Jiaqiao] fully clothed lying in the bathtub, with his whole body already submerged in water.
1:24:15|1:24:19|Her expression was unprecedentedly calm, obviously already devoid of breath.
1:24:20|1:24:25|[Yanzi] was momentarily unable to accept everything in front of her, relying solely on instinct to move forward.
1:24:25|1:24:35|Upon hearing the noise, [COCO] came over and saw the scene, taking a few steps back to lean against the door frame. She didn't know how to calm herself down, so she could only breathe heavily.
1:24:35|1:24:41|Until standing at the edge of the bathtub, [Yanzi]'s expression finally changed, she lay down on the ground, staring straight at the water surface.
1:24:42|1:24:50|[Chen Jiaqiao], a man who is hailed as a successful gentleman in society, ultimately pays the price for his insatiable greed.
1:24:50|1:25:1|At the dining table, the shrimp and high doses of vitamin C can produce trimethylamine and P cream, leading to death. [Chen Jiaqiao] is determined to completely free himself, even if it means drowning in the water tank.
1:25:1|1:25:4|Is it self-liberation or escaping from everything, no one can say for sure.
1:25:5|1:25:20|Early the next morning, [Chen Jiaqiao] sat in a wheelchair, pushed out by [Yanzi]. She was dressed in a sharp pinstripe suit with a colorful tie, her tightly closed eyes and bruised face silently reminding everyone that she had left this world.
1:25:21|1:25:27|[COCO] wearily sat up and was almost scared out of her wits when she saw this scene.
1:25:27|1:25:35|While [Yanzi] disagreed, she was wearing a clean white shirt, with her hair neatly arranged, pushing the wheelchair to the window.
1:25:35|1:25:42|[Yanzi] squatted down, carefully adjusting [Chen Jiaqiao]'s tie, then straightened her collar, affectionately stroking her chin.
1:25:47|1:25:52|[COCO] saw this scene and was so scared that she didn't even dare to breathe, trembling all over.
1:25:52|1:25:59|Yanzi carefully picked up the already prepared porridge again, stirring it attentively, afraid of scalding the person in front of her.
1:26:10|1:26:15|No matter how deep [Yanzi]'s affection is, [Chen Jiaqiao] in front of her gives her no response.
1:26:15|1:26:20|[Yanzi] was indifferent to this, still spooning porridge into [Chen Jiaqiao]'s mouth.
1:26:20|1:26:26|The body that has lost its physiological functions naturally cannot swallow, and the porridge slowly flows from the corner of [Chen Jiaqiao]'s mouth.
1:26:26|1:26:31|[Yanzi] gently wipes with a handkerchief, as if taking care of a child.
1:26:31|1:26:33|Later, she pushed [Chen Jiaqiao] to the balcony.
1:26:52|1:26:57|[Yanzi] turned the wheelchair towards the outside, enjoying the familiar scenery together with Chen Jiaqiao.
1:26:57|1:27:2|The scene shows a bustling city with tall buildings as far as the eye can see.
1:27:2|1:27:7|The cross-river cable car is like a small square box, sliding down the cableway all the way, disappearing among the buildings.
1:27:8|1:27:14|The river is filled with boats of all sizes, with everyone busy and bustling for their livelihood.
1:27:14|1:27:22|Suddenly, [COCO] looked towards the door, only to see a group of police officers rushing into the house with guns, led by Zhang Qing, her boyfriend.
1:27:22|1:27:29|The police carefully searched every corner of the house until they saw [COCO] was safe and sound, then they finally relaxed.
1:27:29|1:27:37|At this moment, [COCO] had no strength to speak and silently looked towards the balcony. Following this clue, the police successfully found [Yanzi] and [Chen Jiaqiao].
1:27:38|1:27:47|At this moment, [Yanzi] quietly looked at the beautiful scenery below the balcony. Even when she sensed the police approaching, she showed no signs of panic, as if she had anticipated everything.
1:28:9|1:28:15|The expensive jewelry in the Jinjian store emits a dazzling light, but all of this cannot overshadow the brilliant smile of [Yanzi].
1:28:15|1:28:24|They crossed the bridge over the river and arrived at a rooftop. [Chen Jiaqiao] bent down and held Princess [Yanzi] in his arms.
1:28:32|1:28:36|Upon hearing these words, [Chen Jiaqiao] set [Yanzi] down and wrapped his arms around her waist.
1:28:50|1:28:57|After a heartfelt vow, [Chen Jiaqiao] kissed [Yanzi], who held him tightly around the neck, responding passionately.
1:28:57|1:29:6|Perhaps only at this moment, [Chen Jiaqiao] is sincere. Everyone talks about the seven-year itch, but [Chen Jiaqiao] has been completely disloyal in these six years.
1:29:6|1:29:13|[Yanzi] disguised herself as Gu Xiaofan, and the reason for getting close to the stingy seems to have an explanation, with a large amount of news about Gu Xiaofan's marital status being exposed.
1:29:14|1:29:21|Chen Jiaqiao's husband had a secret meeting with a mysterious woman at a nightclub, and Chen Jiaqiao's phone was turned off, refusing interviews.
1:29:21|1:29:26|Subsequently, Chen Jiaqiao's husband was found dead on the street, suspected of being poisoned, and the police intervened in the investigation.
1:29:26|1:29:30|Later on, Gu Xiaofan fell from the building, and the police determined it as a suicide.
1:29:30|1:29:38|The last piece of news is the suicide note left by Gu Xiaofan, with only one sentence: "I am utterly disappointed in marriage."
1:29:38|1:29:43|The unbearable marriage crushed this successful woman, even causing her fans to imitate the same.
1:29:53|1:29:58|[COCO] is walking along the riverbank, pushing a baby stroller, wearing a floral dress.
1:29:58|1:30:9|[Chen Jiaqiao], as a participant, let go due to helplessness towards love and self-feelings, leaving life to continue, allowing the originally closed three-person relationship to ripple in the passage of time.
1:30:10|1:30:20|But in fact, the most desperate thing in life is not ending life, not running out of time, but that life is far from over, and you have no possibility at all.
