0:0:54|0:1:0|On the calm river surface, a young boy is sitting in a wooden boat happily fishing.
1:19:41|1:19:45|Captain Wei was about to step forward, but he was knocked down by a pole.
1:19:50|1:19:52|Old [Gui Tian] is here.
1:19:58|1:20:15|Gui Tian looked at [Zhang Ga], walked up to him, and asked.
1:20:15|1:20:19|[Zhang Ga] struggled to resist, but was firmly held by two pseudo-soldiers.
1:20:25|1:20:29|Hey, there's a rebellion in the office being translated here.
1:20:54|1:21:1|The newcomer took off his hat and bowed, isn't this [Luo Jinbao]?
1:21:21|1:21:27|[Pang Dun] lit a cigarette for [Luo Jinbao].
1:22:3|1:22:13|[Luo Jinbao] nervously looked around and the two of them turned and entered the ceremonial hall, the screen went black.
1:22:13|1:22:17|In the early morning, car after car of grain is being transported to the enemy's stronghold.
1:22:27|1:22:33|In the prison cell, [Zhang Ga] is boredly drawing scenes of fighting the Japanese invaders on the wall with small stones.
1:22:33|1:22:39|Suddenly, hearing no sound, [Zhang Ga] quickly sat down.
1:22:39|1:22:45|The door opened, and a pseudo-soldier came in carrying food.
1:22:55|1:23:4|[Zhang Ga] picked up a steamed bun with his chopsticks and started chewing on it heartily.
1:23:4|1:23:9|Beside [Wei Jun], squatting on a stool.
1:23:32|1:23:39|The soldier tossed a box of matches to [Zhang Ga] and asked him to light his cigarette.
1:23:39|1:23:44|[Zhang Ga] stood up, pretended to light a cigarette, but actually stuck the match into the person's nostril.
1:23:49|1:23:54|The pseudo army was furious and almost picked up a chair to smash [Zhang Ga].
1:23:54|1:24:2|At this moment, outside the stronghold, [Luo Jinbao] is observing the situation of the stronghold on the river from a distance.
1:24:2|1:24:8|In the reed bushes beside, there are hidden boats of the Eighth Route Army, quiet and silent.
1:24:15|1:24:26|In the evening, several grain-carrying carts arrived at the front of the base, and the captain of the district team, dressed as an old farmer, walked up to the front.
1:24:46|1:24:53|Saying that, he threw a bunch of money up.
1:24:53|1:25:0|Zhang Ga smiled when Wei Jun moved.
1:25:1|1:25:4|[Pang Dun] also came to help secretly.
1:25:23|1:25:26|Captain Qu said to his subordinates.
1:25:37|1:25:41|The city gate opened, and the grain-carrying carriage came in.
1:25:52|1:25:59|Captain Qu approached the fake soldier and said.
1:25:59|1:26:3|The pseudo-soldier just took the cigarette, and the next second he was knocked unconscious by the district captain.
1:26:6|1:26:14|The guns were actually hidden under the food, and the soldiers armed themselves, ready for battle.
1:26:14|1:26:22|Captain Qu walked forward and encountered a pair of Japanese soldiers. When the soldiers shone a flashlight, they only saw a vague figure and one of them asked loudly.
1:26:35|1:26:57|The battle began, with several signal flares streaking across the sky illuminating the entire sky. [Luo Jinbao], who was ambushed in the reeds, received the signal and led the team to advance towards the stronghold.
1:26:57|1:27:13|In the midst of intense gunfire, [Zhang Ga] awakens in the cell, nervously looking outside through the bars as the Eighth Route Army soldiers carry hay and rush into the stronghold.
1:27:13|1:27:18|The enemies were awakened one by one from their sleep, and the pseudo army captain didn't have time to put on his clothes.
1:27:20|1:27:37|[Gui Tian] pulled out his military knife, concentrating all his strength on a watchtower. The pseudo soldiers responsible for guarding the pole also brought it over.
1:27:41|1:27:58|In the building, [Gui Tian] and the fake army captain went upstairs, but they kicked the fake soldier who was supposed to guard [Zhang Ga] down the stairs, leaving him to fend for himself.
1:27:58|1:28:2|The pseudo-soldier fell down and saw [Zhang Ga] mocking him, feeling furious.
1:28:13|1:28:37|When the gunfire sounded, the pseudo army cowered in a small corner, even turning off the lights. Meanwhile, Zhang Ga climbed up the ladder with great joy, looking out from the small window of the watchtower, excitedly observing the battle outside.
1:28:37|1:28:42|Over here, a group led by [Luo Jinbao] has already located the place where Captain Zhong is being held captive.
1:28:51|1:29:7|[Luo Jinbao] shot and killed the guard with two shots, rescuing the company commander.
1:29:7|1:29:11|At this moment, a group of people first broke into the outer city wall and seized the high ground.
1:29:19|1:29:30|At the same time, another Eighth Route Army squad passed through the gate and captured the city wall from another direction.
1:29:30|1:29:39|The third squad arrived at the location marked by the area captain, bringing several buckets of kerosene. One person ran up to the area captain and reported.
1:30:3|1:30:15|Several Eighth Route Army soldiers carrying firewood and kerosene tried to get close to [Ganglou], but the enemy's firepower was too strong, and the soldiers who rushed out fell down one after another.
1:30:15|1:30:26|The thick-walled [Kuaiban performer] saw this scene and was extremely anxious, wanting to personally intervene.
1:30:26|1:30:32|Several people spread a quilt over him, poured soil and water on top, and then covered it with another quilt.
1:30:35|1:30:45|[Zhang Ga] in a cotton quilted fast board wants to rush out from the earthen wall, but is forced back by the shells. He seizes the opportunity and goes up again.
1:30:45|1:30:54|An explosion of a shell in front of Zhang Ga, Luo Jinbao, Gui Tian, and Pang Dun, making everyone tense up.
1:30:54|1:31:0|In the dark night, Zhang Ga agilely got up and rushed over to light the firewood around the harbor building.
1:31:5|1:31:9|Then quickly returned to the safe zone.
1:31:9|1:31:15|Captain Xu is very happy.
1:31:15|1:31:29|In the watchtower, [Zhang Ga] and Weijun were coughing from the smoke, when suddenly they heard someone shouting.
1:31:29|1:31:30|Captain Liu Xiang, report in quickly.
1:31:38|1:31:50|Suddenly, the fire in the gang building was extinguished by a hand grenade. Quick-witted Liu wanted to charge again, but he was stopped by the enemy's fierce firepower, as ordered by the platoon leader.
1:32:3|1:32:19|At this moment, in the watchtower, [Zhang Ga] took advantage of the fake king's distraction and quietly moved behind him, knocking him unconscious with a stool.
1:32:19|1:32:28|[Zhang Ga] took out a box of matches from the pseudo king's pocket, and then removed the kerosene lamp from the top of his head.
1:33:2|1:33:16|Outside, Captain Zhang Ga looked very surprised.
1:33:16|1:33:27|The person who is throwing firewood into the fire is [Luo Jinbao].
1:33:27|1:33:36|A raging fire broke out in the gang building, causing chaos among the enemies.
1:33:36|1:33:42|[Zhang Ga] looked at their flustered appearance and felt extremely happy.
1:33:42|1:33:46|The American army captain reported to the old [Gui Tian] in a state of collapse.
1:34:0|1:34:17|The enemy, helpless, rushed out of the watchtower, only to be surrounded by the torches of the Eighth Route Army.
1:34:17|1:34:22|In the raging fire, [Zhang Ga] kept throwing firewood into it over and over again.
1:34:28|1:34:38|When he finally rushed out of the fire, suddenly a gun was pointed at him, and he fell to the ground.
1:34:38|1:34:44|Liu rushed out again wrapped in a quilt.
1:34:44|1:34:53|He picked up the fallen corpse on the ground and rushed back through the dense gunfire.
1:35:2|1:35:7|He ran up to [Luo Jinbao].
1:35:15|1:35:19|The people around were so excited that tears welled up in their eyes.
1:35:19|1:35:24|Captain Qu tightly embraced [Luo Jinbao].
1:35:33|1:35:36|With a bang, the entire harbor building was blown up.
1:35:36|1:35:51|The battle was won, and the villagers were beating drums and gongs to welcome the victorious soldiers back.
1:35:51|1:35:55|The soldiers sat in the boat, excitedly waving to the people on both banks.
1:35:58|1:36:9|On the shore, the common people are holding a basket, which is filled with their own food to be offered to the Eighth Route Army soldiers.
1:36:9|1:36:22|The boat docked, [Zhang Ga] stepped ashore, handed Gui Tian's military knife to the medic, and then turned and ran away.
1:36:22|1:36:24|Chun Gang saw Captain Zhong and excitedly clenched his injured hand.
1:36:49|1:36:55|Our little hero Zhang Ga was still thinking about the precious autograph he had hidden in the bird's nest on the tree.
1:36:57|1:37:2|At the celebration banquet, Zhang Ga is toasting to the district captain and the Eighth Route Army soldiers.
1:37:25|1:37:31|[Zhang Ga] suddenly came back, he pulled the team leader aside and spoke earnestly with his head down.
1:37:57|1:38:18|Yang Xiaogen took out a gun holster from his bag and Captain Qu put the gun into the holster.
1:38:18|1:38:22|[Zhang Ga] was overjoyed and took the gun, slinging it over his shoulder.
1:38:33|1:38:42|The old Zhongshu held Zhang Ga, then took out something from his pocket and mysteriously placed it in Zhang Ga's palm. Zhang Ga opened his hand to take a look.
1:38:52|1:39:10|[Zhang Ga] joyfully threw himself into Uncle Chungang's arms, and Uncle Chungang was overjoyed and wept.
1:39:10|1:39:16|[Zhang Ga] rushed over to Uncle Man, and as he turned around, Yuying arrived.
1:39:25|1:39:31|The voiceover girl gives the shoes to [Zhang Ga].
1:39:31|1:39:38|[Zhang Ga] hung the shoes around his neck directly, and the voiceover wanted to give him eggs. [Zhang Ga] only took two and then turned and ran away.
1:39:48|1:39:58|[Zhang Ga] casually pointed in a direction, hung his shoes on the janitor's shoulder, then ran over to [Luo Jinbao] to try to stuff two eggs into Old Luo's hands.
1:39:58|1:40:5|[Zhang Ga] returned to the side of the district captain and took the steamed bun handed to him by the old lady.
1:40:5|1:40:9|At this moment, [Pang Dun] ran over with his string of firecrackers, and [Zhang Ga] went to meet him.
1:40:17|1:40:37|[Zhang Ga] took the firecrackers, suddenly seemed to remember something, pulled out a real gun from his waist, then handed the wooden gun to [Pang Dun], and [Pang Dun] saluted [Zhang Ga].
