0:2:1|0:2:8|Xiaoyou placed the treasure map on the table, attracting the attention of two individuals.
0:54:59|0:55:5|[An Zai] was full of disbelief on his face, took out his gun and carefully inspected it, aiming the gun at [Xiao Xiaotian].
0:55:11|0:55:29|[An Zai] put the gun behind him for emergencies, and then continued to search through the bag, turning it upside down and inside out.
0:55:29|0:55:33|He actually brought out the Yang Family Sword, obviously he doesn't know the secret of the sword.
0:55:41|0:55:45|[An Zai] and [Sha Sha] initiated the evacuation, with [Xiao Xiaotian] leading them away.
0:55:51|0:55:55|Sha Sha took a hairpin from her head, trying to unlock the handcuffs.
0:55:55|0:55:59|With a few moves, the handcuffs were really unlocked.
0:55:59|0:56:4|Then she found a card in the back seat, with the location where [An Zai] lived written on it.
0:56:4|0:56:11|[Xiao Xiaotian] decides to avenge every wrong.
0:56:11|0:56:18|[Alliance Leader], along with a few others, sneaked away from the cave under the moonlight, but after a lot of effort, they ended up empty-handed.
0:56:18|0:56:20|[An Zai] and [Sha Sha] returned to the hotel and found that the room key was missing.
0:56:50|0:57:3|[An Zai] at this moment, there are more important matters to attend to, so he couldn't be bothered to argue with the shopkeeper. He quickly persuaded [Sha Sha] to leave, and [Sha Sha], considering the betrothal gift, did not waste any more time with the shopkeeper.
0:57:13|0:57:22|[An Zi] pulled the curtains closed, [Sha Sha] opened her backpack, [An Zi] kept moving without stopping, only to see her take out the Yang Family Sword from the bag and casually throw it on the bed.
0:57:22|0:57:30|The bed was piled with various items, and [Sha Sha] couldn't wait to pour out all the red envelopes, the cash on the bed stimulating her eyes.
0:57:30|0:57:40|Here, Sha Sha is still playing with the Yang Family Sword, she never understands the secret of this sword, and doesn't understand why Xiao Xiaotian always carries a broken sword with him.
0:57:40|0:57:43|[Sha Sha] looked at the pile of money and couldn't help but laugh.
0:57:47|0:57:51|The action of counting money in hand did not stop at all.
0:57:59|0:58:3|[An Zai] had already planned the use of money in his heart.
0:59:3|0:59:8|Hu Zi gave Miao Zi a slap in the face, and Miao Zi sprayed the wine directly at the Alliance Leader.
0:59:8|0:59:13|The Alliance Leader couldn't hide his anger and threw the baseball bat.
0:59:17|0:59:24|[Donggua] shakes his candy box on the side and pours out a piece of candy.
0:59:24|0:59:29|Eating candy to gather courage, [Sha Sha] nervously approached the [Alliance Leader] and asked.
0:59:51|0:59:55|The Alliance Leader grabs Donggua's ear.
1:0:3|1:0:14|[Donggua] has never been so angry before, standing still and spitting out a mouthful of saliva to endure the anger, silently walking to the side.
1:0:17|1:0:29|[An Zai] walked to the bridge with the snacks he just bought, stood still, and was about to call [Donggua] again.
1:0:58|1:1:1|[Donggua] and [An Zai]'s conversation was overheard by [Alliance Leader].
1:1:12|1:1:16|[Donggua] looked at [Alliance Leader] in a panic.
1:1:45|1:1:47|[Donggua] tried to escape but was caught and brought back.
1:1:47|1:1:49|[Yaozi] watched from the side, witnessing the miserable state of [Donggua].
1:2:18|1:2:20|[Huayin] has just fallen, and [Miao Zi] has also been tied up.
1:2:20|1:2:22|Miao Zi and Donggua are both tied to the wall.
1:2:22|1:2:25|One head down, one head up.
1:2:48|1:2:58|In the inn, [Sha Sha] was immersed in the happiness of money, unaware of what was about to happen.
1:2:58|1:3:5|Outside the door, a man holding a card walks slowly with melodious music, showing off his elegance.
1:3:5|1:3:12|With the sound of knocking on the door, [Sha Sha] quickly packed up the money and went to open the door.
1:3:12|1:3:15|Opening the door, Sha Sha sees a charming puppet man.
1:3:20|1:3:25|The man's words were unexpectedly frivolous.
1:4:5|1:4:9|At the critical moment, [An Zai] arrives in time to rescue [Sha Sha].
1:5:7|1:5:12|[An Zai] insisted on going to Room 611 to check the situation, and before going upstairs, he didn't forget the backpack on the bed.
1:5:12|1:5:13|After much consideration, [Donggua] decided to carry the package on his back.
1:5:35|1:5:42|[Xiao Xiaotian] and [Sha Sha] arrived outside the inn, with [Xiao Xiaotian] almost falling down after firing a shot.
1:5:42|1:5:49|At the door of room 119, the two of them pressed their ears against the door, trying to listen to the movement inside.
1:5:49|1:5:55|[Xiao Xiaotian] carefully closed the door and then covered the peephole.
1:5:55|1:5:58|Finding no one inside the house, they took out the room key lost by [An Zai].
1:6:0|1:6:8|Sha Sha rolled into the room as the door opened, leaving Xiao Xiaotian to helplessly shout.
1:6:11|1:6:16|The [Alliance Leader] is outside the inn, tidying up his appearance and preparing for a fight.
1:6:16|1:6:19|[Hu Zi] is strong, imitating the appearance of [Alliance Leader].
1:6:19|1:6:24|[Xiao Xiaotian] flipped his palm in the room, still without any gain, feeling a bit anxious in his heart.
1:6:32|1:6:34|Take down the photo on the wall first.
1:6:34|1:6:41|[Alliance Leader] The two of them outside the room heard the noise inside, then took out their gear and prepared to enter combat mode.
1:6:41|1:6:46|[Xiao Xiaotian] turned around and found himself in a crisis.
1:6:46|1:6:51|Hu Zi cooperatively lifted his leg, allowing Alliance Leader to light the lighter on his leg.
1:6:51|1:6:52|Four people in the room were at a stalemate.
1:6:56|1:7:5|It is obvious that [Xiao Xiaotian] is at a disadvantage, standing still in a daze.
1:7:13|1:7:20|[An Zai] and [Sha Sha] came out of room 611, laughing and joking as they returned to the room, only to see [Xiao Xiaotian] being kicked out from inside.
1:7:20|1:7:27|The two were amazed and saw [Xiao Xiaotian] being captured into the room again.
1:7:27|1:7:34|An Zai saw the situation and hurriedly pulled Sha Sha to escape.
1:7:34|1:7:38|In the room, [Xiao Xiaotian] and Xianxian are tied up.
1:7:38|1:7:40|[Xiao Xiaotian] is puzzled and confused.
1:7:58|1:8:4|[Alliance Leader] struck the table with a single blow, inadvertently showcasing his strong martial arts skills.
1:8:4|1:8:9|Hu Zi, seeing the situation, quickly withdrew his hand in fright.
1:8:24|1:8:29|[Hu Zi] took out his phone, opened a photo, and questioned.
1:8:31|1:8:35|[Xiao Xiaotian] hurriedly approached the two of them.
1:8:58|1:9:3|[Alliance Leader] decided to use [Donggua] to threaten [An Zai] to show up.
1:9:3|1:9:6|Xiao Xiaotian smiled bitterly, hoping that the [Alliance Leader] would let the two of them go.
1:9:8|1:9:19|[An Zai] and [Sha Sha] fled, realizing something was wrong, they kept calling [Donggua], but no one answered.
1:9:30|1:9:36|[An Zai] noticed the unusualness of the sword, took it out from the bag, and examined it carefully, filled with doubts in his heart.
1:9:43|1:9:46|In the police station, the police received a report.
1:9:51|1:9:57|Upon receiving the report, the police immediately drove to the scene of the incident to search for clues.
1:9:57|1:10:12|Upon arriving at the Yang family, they immediately began their investigation, gathering evidence in the room that had been robbed. They were preparing to take the evidence back to the police station for further analysis.
1:10:14|1:10:18|Inside the house, [Zhang Renfa] was already furious, for him,
1:10:28|1:10:32|Several people sat down to start recording.
1:10:46|1:10:49|Suddenly, the groom thought of something.
1:10:56|1:10:58|The groom sensed that something was wrong.
1:11:0|1:11:8|Leading the group to the cave, what they saw in front of their eyes was a huge underground cavern.
1:11:21|1:11:24|Several people gathered around the cave entrance.
1:12:3|1:12:26|[Alliance Leader] Hu Zi used [Donggua] and [Miao Zi] as his targets for venting, continuously hitting them with a baseball bat and smashing medicine bottles on them.
1:12:26|1:12:28|Brother Fa called the Alliance Leader.
1:13:1|1:13:4|[Zhang Ren] made a phone call to the [Blackie] boss.
1:13:4|1:13:9|[Zhang Renfa] angrily hung up the phone, leaving only the puzzled Alliance Leader [Heizi].
1:13:9|1:13:14|[Heizi] the boss is getting angrier and angrier.
1:13:14|1:13:21|In the warehouse, [Alliance Leader] was practicing with the ball when a call from the boss [Hu Zi] came in.
1:13:21|1:13:27|The Alliance Leader's face darkened immediately, exchanged a glance with Hu Zi, and finally answered the phone.
1:13:29|1:13:33|[Alliance Leader] made a sudden decision to perform a complex stacking move.
1:14:5|1:14:9|After finishing the explanation, [Heizi] arrogantly hung up the phone.
1:14:9|1:14:13|Xiao Xiaotian looked at the [Alliance Leader] in confusion.
1:14:33|1:14:36|[Hu Zi] gritted his teeth and cursed when mentioning [Heizi].
1:14:36|1:14:37|[Hu Zi] is furious.
1:14:57|1:15:12|Picking up a stick, [Xiao Xiaotian] was beaten and screamed miserably, running and screaming, the wailing echoing throughout the warehouse.
1:15:12|1:15:16|After defeating Xiao Xiaotian, the Alliance Leader and Sha Sha arrived in front of Miao Zi and Donggua.
1:15:32|1:15:38|The Alliance Leader was unexpectedly kind, helping Donggua untie the ropes.
1:15:38|1:15:44|[Donggua] didn't care about his bound feet and kept jumping forward.
1:15:44|1:15:49|Unexpectedly, [Hu Zi] kicked [Donggua] to the ground, causing him to crawl forward in fear with both feet.
1:16:18|1:16:24|The Alliance Leader's threat made Donggua almost cry, his voice trembling.
1:16:24|1:16:28|Hastily dialed Xiao Xiaotian's phone number.
1:16:28|1:16:30|[An Zai] saw that it was [Donggua] and quickly asked.
1:16:49|1:16:52|The Alliance Leader snatched the phone away.
1:17:16|1:17:20|The plane slowly landed, and [Hu Zi] arrived at the God's Tomb.
1:17:20|1:17:26|The first thing he did when he arrived was not to go to the Yang family to get the sword, but to take his little brothers out to play.
1:17:26|1:17:34|[Heizi] drove on the beach with four henchmen following closely behind, showing no concern for the wind.
1:17:37|1:17:47|[An Zai] and [Sha Sha] made up their minds to rescue [Donggua].
1:17:47|1:17:56|The two arrived at the warehouse as planned, intending to check the situation inside. They crouched under the window and peeked inside the room.
1:17:56|1:18:2|[An Zai] cautiously crouched by the window, afraid of being discovered by the people inside the house.
1:18:2|1:18:7|In his sight were several familiar faces tied up and the two people drinking and eating meat, the [Alliance Leader].
1:18:9|1:18:17|[Donggua] was tied up with his arms behind his back, crouching in the corner, with [Miao Zi] hanging upside down next to him.
1:18:17|1:18:21|[An Zai] discusses the rescue plan with [Sha Sha].
1:18:21|1:18:29|At this moment, the two of them were at a loss and didn't know what to do.
1:18:39|1:18:44|[An Zai] immediately decided to wait for the right moment and remain inactive.
1:18:44|1:18:51|Suddenly, a noise came from a distance.
1:18:51|1:18:56|As they waited, a car drove up.
1:18:56|1:19:0|The car arrived just in time to stop behind [Sha Sha], and [Sha Sha] and the two immediately found themselves in danger.
1:19:2|1:19:8|Fortunately, [Hu Zi] was solely focused on the Yang Family Sword and did not notice the unusual vehicle.
1:19:8|1:19:14|[Heizi] and his group walked into the warehouse aggressively, not forgetting to inform the Alliance Leader.
1:19:14|1:19:19|But the Yang Family Sword has been lost, how will the [Alliance Leader] respond?
1:19:30|1:19:35|The henchman opened the safe, revealing a pile of [cucumbers].
1:19:35|1:19:39|[Hu Zi] picked up a stick from the middle and started eating.
1:19:39|1:19:45|It can be seen that [Sha Sha] has a special affection for [Donggua].
1:19:45|1:19:58|[Heizi] eats a cucumber while leading his gang towards the warehouse. He kicks open the warehouse door and then advances towards [Alliance Leader] and others step by step, creating a sense of oppression.
1:20:12|1:20:20|[Hu Zi] pulled Xianxian, who was sitting on the chair, and asked him to give up his seat to [Heizi].
1:20:20|1:20:27|[Alliance Leader] pointed casually, not even putting down the foot resting on the table, signaling for [Hu Zi] to take a seat.
1:20:33|1:20:37|[Hu Zi] immediately felt that his dignity was being scorned.
1:21:8|1:21:14|A gesture, and his men headed towards [Xiao Xiaotian].
1:21:14|1:21:18|His subordinates brought [Xiao Xiaotian] directly to [Heizi] and started to reprimand him.
1:21:26|1:21:45|On one side, [Xiao Xiaotian] is being beaten to near death, while on the other side, [Donggua] and [Miao Zi], who are hanging, seem unaffected, even sharing snacks.
1:21:45|1:21:58|[An Zai] leaned against the wall, analyzing the situation inside the warehouse. A child in front of him sparked a brilliant idea in his mind.
1:21:58|1:22:1|The child ran into the warehouse as instructed by [An Zai].
1:22:3|1:22:12|[Sha Sha] handed a note to [Hu Zi].
1:22:12|1:22:19|[Heizi] finished reading the note, feeling his authority being challenged. He threw the cucumber in his hand and pulled out a gun, pointing it at [Alliance Leader].
1:22:40|1:22:46|[Alliance Leader] was tied up by [Hu Zi]'s men before figuring out what had happened.
1:22:50|1:22:54|At this point, the [Alliance Leader] still wants to maintain his final dignity.
1:22:54|1:22:58|The next second, still with [Donggua] and others, they were tied up in the corner of the wall.
1:22:58|1:23:1|The scene is somewhat poignant and funny.
1:23:1|1:23:5|[Heizi] tied up the people in the warehouse and then left with his men.
1:23:5|1:23:11|[An Zai] and [Sha Sha] were afraid of being discovered by [Hei Zi], so they started playing a game of hide and seek by the car.
1:23:11|1:23:17|They detoured in front of the car, risking danger as they waited for [Heizi] and his group to get on the car and leave.
1:23:17|1:23:20|[Sha Sha] and [Alliance Leader] were about to enter the warehouse to rescue [Donggua].
1:23:26|1:23:32|Not far away, another car drove up, scaring them into hastily continuing to hide and observe the situation in front of the car.
1:23:32|1:23:38|Getting out of the car are [Zhang Renfa] and Xiao Qian. It seems that [Zhang Renfa] is also eager to get the Yang Family Sword.
1:23:38|1:23:50|[An Zai] and [Sha Sha] circled around to the back of the car, watching as [Zhang Renfa] and his group entered the warehouse. They were calculating their next move, keeping a close eye on [Zhang Renfa] from behind the car.
1:23:50|1:23:55|[Zhang Renfa] was shocked by the scene inside the warehouse as soon as he walked in.
1:23:59|1:24:6|Qianqian looked at [Miao Zi], who was hanging upside down on the wall, her body stiffening instantly, unsure of what to do.
1:24:15|1:24:19|[Zhang Renfa] is searching everywhere for [Xiao Xiaotian].
1:24:19|1:24:20|[Zhang Renfa] is seen picking up a baseball bat.
1:24:53|1:24:54|[Xiao Xiaotian] hurriedly explained.
1:25:16|1:25:25|[Zhang Renfa] hasn't made a move yet, just raising the baseball bat in his hand.
1:25:25|1:25:28|[Xiao Xiaotian] was so scared that he fainted.
1:25:28|1:25:32|[Zhang Renfa] walked with his men to the bound crowd.
1:25:43|1:25:52|Hu Zi noticed Miao Zi hanging there, while Sha Sha looked at Miao Zi with a sense of inner turmoil.
1:26:5|1:26:7|The Alliance Leader was filled with doubt as soon as he heard it.
1:26:7|1:26:11|As soon as it was mentioned as a secret, [Hu Zi] became interested.
1:26:37|1:26:46|[Hu Zi]'s words made [Zhang Renfa] turn to look at [Sha Sha], who was in a panic, with fear in her eyes.
1:26:55|1:26:59|[Sha Sha] lost her fake smile from earlier, her gaze now fierce.
1:27:24|1:27:28|[Sha Sha] could only do as [Zhang Renfa] said and crouched down.
1:27:52|1:27:54|Miao Zi quickly explained.
1:27:54|1:27:57|Xiao Qian was ruthlessly pushed away by [Zhang Renfa].
1:27:57|1:28:8|[Zhang Renfa] noticed the device on [Miao Zi]'s neck.
1:28:13|1:28:14|Xiao Qian's phone rang.
1:28:18|1:28:27|Xiao Qian was so scared that she didn't know what to do, [Zhang Renfa] snatched the phone away.
1:28:53|1:29:5|[Zhang Renfa] turned to look at Xiao Qian, obviously she was completely angered by Xiao Qian's actions.
1:29:36|1:29:40|Furiously, he ordered his men to tie up Xiao Qian as well.
1:29:47|1:29:51|[Zhang Renfa] at this moment didn't care about settling scores with Xiao Qian, only the Yang Family Sword was on his mind.
1:30:1|1:30:4|Michelle stayed behind to guard everyone, and then left.
1:30:4|1:30:7|The roaring engine, showing [Zhang Renfa]'s eagerness.
1:30:7|1:30:11|When Zhang Renfa walked away, Alliance Leader and Donggua came out from behind the car.
1:30:11|1:30:16|[An Zai] took out a fake gun from behind, intending to intimidate Michelle with it.
1:30:16|1:30:19|At this moment, this gun finally came in handy.
1:30:19|1:30:23|[Heizi] gradually realized that something was wrong while waiting.
1:30:38|1:30:42|Immediately arrange [Alliance Leader] to take two subordinates back to the warehouse.
1:30:43|1:30:46|Michelle raised her hands in fright.
1:30:46|1:30:49|[Donggua] quickly called for help.
1:30:55|1:30:58|[Donggua] saw [Sha Sha] and immediately acted cute, asking her to help him untie himself.
1:31:4|1:31:21|[An Zai] discovered that there was another person tied up on the chair. He lifted his head and found that it was actually [Xiao Xiaotian].
1:31:24|1:31:31|Seeing the current miserable state of [Xiao Xiaotian], feeling secretly pleased, leaving only [Xiao Xiaotian] frightened and at a loss.
1:31:31|1:31:36|Outside the door, [Sha Sha] is leading two henchmen, walking towards the warehouse.
1:31:36|1:31:39|[Sha Sha] is examining the sword, and upon hearing a noise outside the door, she shouts.
1:31:44|1:31:52|[An Zai] and [Donggua] saw the situation and quickly each picked up a baseball bat, hiding at the warehouse door, ready to ambush.
1:31:52|1:31:59|[Sha Sha] led two henchmen into the warehouse, and [Donggua] knocked out one of the henchmen with a single blow.
1:31:59|1:32:4|[An Zai] saw the situation and scared [Sha Sha] into screaming and running away.
1:32:4|1:32:10|[Heizi] couldn't reach [Sha Sha], so he angrily drove back to the warehouse. The people tied up in the corner found the situation somewhat comical.
1:32:25|1:32:26|Zhang Renfa was very helpless.
1:32:31|1:32:33|[An Zai] Unbelievable.
1:32:52|1:32:57|The sound of a car outside the warehouse once again made [Sha Sha] and the others even more nervous.
1:32:57|1:33:0|[Heizi] arrived, [An Zai] concentrated his mind and came up with a way to deal with it.
1:33:5|1:33:11|Have [Sha Sha] hide, stay away from danger, and prepare to ambush again with [Donggua] at the door.
1:33:11|1:33:15|[Heizi] opens the warehouse door, sensing that something is amiss, cautiously observing the entrance into the warehouse.
1:33:15|1:33:21|With a shout from [An Zai], [Heizi] was knocked unconscious by [An Zai] with a stick.
1:33:21|1:33:26|[Sha Sha] Some people looked at the increasing number of people tied up in the corner, feeling helpless and unsure of how to handle the situation.
1:33:34|1:33:35|[An Zai] noticed.
1:33:38|1:33:43|Outside the door, a familiar car drove up, it turned out to be [Zhang Renfa] coming back.
1:33:43|1:33:48|[Zhang Renfa] hurriedly got off the car and headed towards the warehouse.
1:33:48|1:33:55|[Sha Sha] saw this familiar scene and conscientiously assigned herself a task.
1:33:55|1:34:0|[Sha Sha] led [Donggua] to decide to use the old trick again, and they stood at the entrance of the warehouse.
1:34:5|1:34:13|Hu Zi was knocked unconscious with a stick by Alliance Leader as soon as he saluted Ming.
1:34:13|1:34:26|[Xiao Xiaotian] took out a dagger from inside his pants, ready to cut the rope and free himself.
1:34:26|1:34:34|Just as [Sha Sha], [Alliance Leader], and [Donggua] decided to give up tying up the sword and leave, the sound of a car was heard outside the warehouse again, and the police arrived.
1:34:35|1:34:42|Several police cars parked steadily at the entrance of the warehouse, then the police raised their guns and rushed into the warehouse.
1:34:49|1:34:55|[An Zai] and the others were still unaware of the urgency of the situation, but this time [Sha Sha] requested to join the operation together.
1:34:55|1:35:6|They didn't notice at all that [Xiao Xiaotian], who was originally tied to a chair, had already escaped through the window. It was only seen that [Xiao Xiaotian] turned his coat inside out, revealing a police uniform on the other side.
1:35:11|1:35:15|The police officer's question let [Xiao Xiaotian] know that he had been discovered.
1:35:20|1:35:28|The police raised their guns and surrounded the group of people in the corner, capturing them all in one fell swoop, and obeying the police's handling.
1:35:28|1:35:32|At this point, the theft of the Yang family sword finally comes to an end.
