0:0:38|0:0:41|On a remote country road, a bus speeds by.
0:58:56|0:59:3|[Zhang Lilei] handed the tea cup to the foreign businessman next to her, and the whole village looked at her, waiting for the final judgment.
0:59:3|0:59:20|After taking a sip, [Zhang Lilei] nodded and continuously praised the rich and fragrant taste of her daughter's hometown. Hearing this compliment, everyone breathed a sigh of relief.
0:59:20|0:59:22|Night falls, [Song Daxiong] grips the motorcycle carrying [Zhang Lilei].
1:0:14|1:0:21|Oh, [Zhang Lilei] stared blankly at the lake, hesitantly speaking.
1:0:27|1:0:31|[Sung Daxiong] kept touching his pants leg and continued.
1:0:58|1:1:0|She shed a tear as she left.
1:1:12|1:1:16|[Zhang Lilei] scrutinized [Song Daxiong] with a probing gaze.
1:1:16|1:1:22|[Sung Daxiong] shyly turned his head, and [Zhang Lilei] laughed at his reaction.
1:1:22|1:1:26|Bathed in the bright moonlight, [Zhang Lilei] shed her clothes, resembling a fairy bathing in the Heavenly Pool as told in the legends.
1:2:29|1:2:36|[Zhang Lilei] suddenly sneezed, and [Song Daxiong] turned around with concern, quickly covering his eyes behind her smooth back.
1:2:37|1:2:45|After Zhang Lilei finished writing, Song Daxiong took him back to the dormitory entrance.
1:2:45|1:2:47|[Sung Daxiong] is reluctant to look at [Zhang Lilei].
1:3:20|1:3:25|Tea workers and various tea-making machines appeared in front of the courtyard.
1:3:56|1:4:2|Wei Jiafeng's tea is tumbling in the machine, going through a series of processes, and eventually transforming into tea.
1:4:4|1:4:9|[Songs Daxiong] led [Zhang Lilei] as they continued to walk towards the front of the factory building.
1:4:44|1:4:49|[Sung Daxiong] walked towards the innermost room, smiling as he looked at the tea-making tools inside.
1:4:51|1:5:0|He confidently lit the stove, the scorching fire heated the tea pot, preparing everything. As he stood up, the tea roasting officially began.
1:5:15|1:5:26|[Sung Daxiong]'s rough hands kept stirring in the tea pan, the dried tea leaves were tossed in his hands and gradually took shape, the faint fragrance of tea permeated the heart and spleen.
1:5:26|1:5:33|[Zhang Lilei] stood aside watching his skillful movements, hesitated for a long time, and finally placed her hand on [Song Daxiong]'s arm.
1:5:33|1:5:38|[Song Daxiong] was taken aback by his actions and looked flustered at the shy-faced [Zhang Lilei].
1:5:38|1:5:42|Under the guidance of [Zhang Lilei], their hands slowly intertwined.
1:5:43|1:5:47|[Sung Daxiong] stood there dumbfounded, instinctively following [Zhang Lilei]'s movements.
1:5:47|1:5:52|[Zhang Lilei] raised her hand and gently pulled [Song Daxiong]'s chin, slowly approaching his lips.
1:5:52|1:5:58|In the quiet night, their hearts draw closer and closer, with warm lips already touching.
1:5:58|1:6:2|[Songs Daxiong] quietly reached out his arm and pulled [Zhang Lilei] into his embrace.
1:6:3|1:6:14|They kissed passionately in the night, instinctively wanting to hold the person in front of them. No one noticed when Luo Mingying appeared at the door.
1:6:14|1:6:17|[Sung Daxiong] suddenly looked up and saw Luo Mingying at the door.
1:6:24|1:6:32|Luo Mingying finished speaking and turned to leave, leaving the room in an awkward silence, with only the tea leaves in the tea pot emitting a faint fragrance that no one paid attention to.
1:6:34|1:6:41|After a chaotic night, in the courtyard of the Song family, Song's mother looked at the girls picking tea in the distance.
1:6:47|1:6:58|After Mrs. Song finished speaking, [Song Daxiong], who was watering the vegetables, turned his head and looked at the girl in the tea garden behind him, a happy smile appearing on his simple and honest face.
1:6:58|1:7:2|In the tea plantation, the girls were also discussing their own topics, [Fostering Friendship] ran towards [Zhang Lilei].
1:7:43|1:7:46|[Lian Youqing] looked at the two people playing dumb riddles with some confusion.
1:7:46|1:7:50|[Zhang Lilei] did not explain to him, but walked towards Luo Mingying with the stele in her hand.
1:7:50|1:7:53|[Lian Youqing] shrugged and stopped asking further questions.
1:7:53|1:8:0|Luo Mingying saw [Zhang Lilei] approaching, turned around and took her to a secluded place where there was no one around, hesitated for a long time before slowly speaking.
1:9:2|1:9:18|Luo Mingying finished speaking, turned around and walked away without giving Zhang Lilei time to explain. As soon as she turned around, Zhang Lilei raised her hand to wipe away the tears from the corner of her eyes, quickened her pace, wanting to escape this heartbreaking place as soon as possible. Zhang Lilei looked at her guiltily, gazing at her stubborn figure, slowly lowered her head and sighed.
1:9:22|1:9:28|The sun was setting in the west, the girls lined up and walked out of the tea garden, and [Song Daxiong] had been waiting at the door for a long time.
1:9:28|1:9:34|He smiled and waved to the girls, but his eyes were fixed on Zhang Lilei standing next to Ling Youqin.
1:9:34|1:9:39|Zhang Lilei passed by Song Daxiong without saying a word, and even dodged to the side where her friend Qin was.
1:9:39|1:9:41|[Sung Daxiong] looked on in disappointment, stunned for a long time.
1:9:47|1:9:59|In the evening, the girls who had been busy all day gathered on the rooftop in groups of three or four, chatting and laughing. [Song Daxiong] thoughtfully brewed tea for them and delivered it one by one. "Thank you, Daxiong ge, thank you, Daxiong ge."
1:10:7|1:10:20|The girls all thanked Song Daxiong for his kindness, but when the tea was brought to Zhang Lilei, she just took the cup coldly and remained silent. Song Daxiong could no longer maintain his smile, and he walked away disappointedly with the tray.
1:10:20|1:10:38|Zhang Lilei's carefree friend Qin also sensed something was wrong, looking at [Zhang Lilei] with confusion. [Zhang Lilei] didn't offer much explanation, just shook her head and brushed it off. The evening breeze accompanied the nightfall, and the office of the tea factory was bustling. [Song Daxiong] was playing with plants on the side, while the girls gathered around the computer.
1:10:38|1:10:49|Watching the video chat between the girl walking diagonally and her boyfriend, the girl beside her played with a teacup in boredom, a scene reminiscent of a few days ago, only missing Zhang Lilei and another friend.
1:10:51|1:10:59|Hearing the greeting, [Song Daxiong] relaxed his furrowed brow, smiled at the girls, and continued to tinker with the plants on the shelf.
1:10:59|1:11:4|At this moment in the dormitory, Ling Youqin and [Zhang Lilei] are having a heart-to-heart talk, she picks up a teacup.
1:11:44|1:11:46|[Zhang Lilei] had a look of worry written all over her face.
1:11:46|1:11:51|Early the next morning, [Song Daxiong] was also extremely frustrated while picking vegetables in the courtyard with his mother, [Zhang Lilei].
1:11:51|1:11:55|[Son's Mother] glanced at her son.
1:12:30|1:12:35|[Sung Daxiong] stared blankly at the table.
1:12:35|1:12:39|[Mrs. Song] saw [Song Daxiong]'s reaction and turned to look at the girls picking tea not far away.
1:13:7|1:13:16|Not far away, [Zhang Lilei] is picking tea leaves, her movements becoming more and more skillful, behaving like a native of the tea-growing region.
1:13:16|1:13:19|The sky is getting dark, the moon is shining brightly, and the trees cast swaying shadows.
1:13:19|1:13:31|[Sung Daxiong] squatted in front of the stone wall outside the bathroom, quietly listening to the cheers of the girls inside the house. His hands were tangled together, his brows furrowed, his mouth tightly twisted, the calm atmosphere around him starkly contrasting with the excitement inside the house.
1:13:34|1:13:37|The scene changes, and it's already two months later.
1:13:37|1:13:44|The picking season of spring tea quickly passed, and the girls were ready to return to their hometowns, pulling their suitcases one after another.
1:14:3|1:14:9|[Zhang Lilei] hurriedly handed the luggage to her friend Ling Youqin and ran up to the rooftop.
1:14:9|1:14:17|She hurriedly ran towards the clothesline, and sure enough, her clothes were hanging alone on the clothesline, swaying weakly in the wind.
1:14:17|1:14:20|She hurried forward to take the clothes, but turned around to see someone not far away.
1:14:23|1:14:28|[Zhang Lilei] sighed helplessly in his direction, picked up the clothes in his hand, and left.
1:14:28|1:14:33|In the rush, he did not notice a pair of socks he had missed on the clothesline.
1:14:33|1:14:36|Approaching noon, the girls had already boarded the bus, ready to set off.
1:14:39|1:14:44|The bus carrying the girls was surrounded by villagers reluctant to say goodbye.
1:14:44|1:14:51|They gathered in front of the car to bid farewell to the girls. The older sister who received the face mask from [Zhang Lilei] pushed through the crowd and walked towards the car window with a package in hand.
1:14:54|1:14:59|[Zhang Lilei] looked back at the departing crowd with a sense of loss.
1:15:16|1:15:24|After bidding farewell to the villagers, the bus slowly started, bypassing the reluctant villagers, and heading along the winding village road towards the tea-scented destination.
1:15:24|1:15:28|Not long after they left, there was a loud banging on the door of the bus from outside.
1:15:34|1:15:38|[Zhang Lilei] hurriedly ran out of her seat and waited in front of the car door.
1:15:38|1:15:44|Doctor Niu wrote down the four characters "心由境生" and looked at Zhang Lilei.
1:15:44|1:15:45|[Zhang Lilei] steps forward.
1:16:6|1:16:35|After [Luo Mingying] settled down, the driver turned on the music and looked back at the girls in the car. With the music playing, the group set off again, swaying along the road. The bus traveled along the flat village road and arrived at a narrow path next to the valley. The winding path merged with the distant mountains. The bus swayed along the mountain road, carrying the girls towards the city. Dense trees lined the sides of the road, waving their branches vigorously as if bidding farewell to the girls.
1:16:40|1:16:47|Sunlight streamed through the car window onto [Zhang Lilei]'s face as she lowered her gaze and stared blankly at the scenery outside.
1:16:47|1:16:56|At this moment, [Zhang Lilei] in Changyuanli is also feeling down. He stands blankly at the door of the female workers' dormitory, but unfortunately, there is no one here, and the girls did not leave anything behind.
1:16:56|1:17:0|The spring breeze suddenly rose, blowing away the curtains and also stirring up his thoughts.
1:17:2|1:17:29|[Sung Daxiong] looked at the socks dropped by [Zhang Lilei], staring blankly without knowing what he was thinking. In the bus at this moment, [Nie Youqin] reached out for [Zhang Lilei]'s hand. Is there still time now? [Zhang Lilei] shook her head with a serious face. Seeing her shake her head, [Nie Youqin] could only turn her head to look ahead, no longer talking to [Zhang Lilei]. At the same time, in the [Song Family Courtyard], [Song Mother] and [Xiao Juan] were tidying up the tea house that the girls had placed in the courtyard.
1:17:54|1:18:5|[Sung Daxiong] was standing by the stone wall outside the bathroom, frowning. [Village Chief] slowly walked up to him, seeing no response from [Sung Daxiong], the [Village Chief] continued.
1:18:41|1:18:47|[The Village Chief] laughed and patted [Zhang Lilei]'s arm, hooked his shoulder, and led him away.
1:18:47|1:18:53|The two walked side by side to the courtyard of [Song Daxiong]'s house, with [Song Daxiong] still frowning heavily, looking burdened with worries.
1:18:53|1:18:57|Xiao Juan warmly greeted the village chief when she saw him.
1:19:2|1:19:9|Pouring water, [Mrs. Song] set aside the work in her hands and sat down at a small table with [Song Daxiong] and the village chief.
1:19:9|1:19:16|The three of them looked at each other in silence, none daring to break the awkward atmosphere.
1:19:16|1:19:19|The village chief nervously looked around.
1:19:20|1:19:22|The village chief's words made the atmosphere even more bizarre.
1:19:22|1:19:26|[Mrs. Song] leaned over to look at the silent [Song Daxiong].
1:19:27|1:19:30|As soon as he left, [Mrs. Song] looked towards the village chief.
1:19:55|1:19:59|[Sung Daxiong] brought the tea set over and then went back inside to get other tools.
1:20:2|1:20:7|[Mrs. Song] looked at [Song Daxiong] with skepticism, cleared her throat, and prepared to tame him with a stern look.
1:20:9|1:20:14|[Song Daxiong] poked his head out and walked from the house to the small table, carrying a teapot.
1:20:14|1:20:16|Song's mother scanned him sharply.
1:21:25|1:21:27|[Sung Daxiong] hurriedly ran out of the tea garden.
1:21:51|1:21:55|The village chief waved his hand at [Song Daxiong] and fumbled in his suit pocket.
1:21:59|1:22:4|[Sung Daxiong] looked at the village chief in confusion, who fumbled for a while before finally pulling out a phone book.
1:22:4|1:22:12|The village chief, ignoring [Song Daxiong], squinted his eyes and flipped through the thick phone book on his own.
1:22:12|1:22:20|After a while, the village chief finally found the target, took out his phone from his waist, and carefully compared the numbers in the phone book before dialing a call.
1:22:20|1:22:34|On the return bus, the driver's phone suddenly rang, and he searched around before answering the call.
1:22:36|1:22:47|After speaking, the village chief walked forward gracefully.
1:22:47|1:22:49|After speaking, the village chief walked forward gracefully.
1:22:55|1:23:26|[Song Daxiong] finally relaxed his furrowed brow and revealed a simple smile. The bus driver slammed on the brakes after hanging up the phone, causing the bus to emit a piercing friction sound. The girls on the bus looked at the driver in panic. "Master, what's going on?" "I told you, if I move forward by one meter, I'll injure my leg." The girls were all puzzled. "If my leg is broken, I won't be able to drive." The protective driver finished speaking and ignored the girls.
1:23:26|1:23:46|Zhang Lilei admired the beautiful scenery outside the window, with tall and dense trees on both sides of the road, their trunks of various thicknesses stretching out lush branches and leaves. The driver turned on the music button, and the melodious singing came softly, gradually immersing him in the cheerful song, his fingers lightly tapping on the steering wheel following the rhythm of the music.
1:23:46|1:24:0|He seemed to recall something, took out a can of tea from the side of the seat, disregarding the proper tea-making utensils and procedures, used his hands to grab a handful of tea leaves and put them into a glass cup. He picked up the nearby hot water pot, quickly brewed a cup of hot tea.
1:24:3|1:24:10|He gently blew away the hot air while holding the steaming tea cup, then took a small sip of the fragrant tea. [Zhang Lilei]
1:24:10|1:24:16|The girls in the car were indifferent and relieved, in stark contrast to the driver's leisurely demeanor.
1:24:16|1:24:20|They kept adjusting their sitting positions, gazing out the window with a sense of distance between the opposite sexes.
1:24:20|1:24:26|The sun was getting stronger and stronger, waiting boringly for who knows when it would end, and someone simply put on sunglasses and fell asleep deeply.
1:24:28|1:24:39|On the winding road outside, a car broke the tranquility of the mountains and forests, driving from a small path behind the bus and coming to a sudden stop not far from the bus.
1:24:43|1:24:47|Before the car even came to a complete stop, a figure slowly stepped out from inside the car.
1:24:47|1:24:52|She hesitated outside the car for a moment before gathering up the courage to walk towards the bus.
1:24:52|1:24:58|The girls in the car have also noticed him at this moment, one by one leaning their heads out of the window curiously looking around.
1:24:59|1:25:5|The figure walked to the front of the bus and stood still. It was then that the girls realized the one chasing the bus was [Song Daxiong].
1:25:5|1:25:13|[Zhang Lilei] looked earnestly at [Song Daxiong] outside the car, only to see [Song Daxiong] cupping his hands into a trumpet shape and shouting something loudly.
1:25:13|1:25:21|Due to the barrier of music and car windows, [Zhang Lilei] stood up as she couldn't hear clearly.
1:25:21|1:25:25|The music stops, but [Zhang Lilei] still can't hear clearly what [Song Daxiong] is shouting in the car.
1:25:27|1:25:31|The girls rolled down the car window to listen, but it was in vain.
1:25:40|1:25:43|The car door opened, and [Zhang Lilei] hurriedly got out of the car.
1:25:43|1:25:50|After getting off the car, she didn't appear as anxious as before. Instead, she walked towards [Song Daxiong] expressionlessly step by step.
1:25:50|1:25:54|[Sung Daxiong] put down his hands in confusion, not daring to make eye contact with [Zhang Lilei].
1:26:2|1:26:5|[Zhang Lilei] slowly lifted his head.
1:26:9|1:26:12|Song Daxiong lowered his head again.
1:26:20|1:26:47|Without waiting for [Song Daxiong] to finish speaking, [Zhang Lilei] suddenly cried into his arms. The two of them were very close, and [Zhang Lilei] pressed her lips against [Song Daxiong]. The unspoken words melted in the warmth of their kiss. The heavens, earth, and mountains witnessed the overflowing love between them. At this moment, no one could separate them. The beauty of this moment made them forget everything around them. The village chief, with his mouth wide open, peeked at the two people sleeping. The bus driver silently dialed the village chief's phone number.
1:26:51|1:26:56|The bus started again, slowly moving around the two people who embraced each other and didn't want to separate.
1:26:56|1:27:1|The girl in the car stuck her head out, waved goodbye to [Song Daxiong] and [Zhang Lilei].
1:27:1|1:27:12|The bus gradually disappeared on the winding and twisting small road, and the story of tea fragrance also slowly came to an end. 
