0:1:4|0:1:6|The morning sun shines on the lake, sparkling on the water.
0:48:6|0:48:15|More and more opponents appeared, the man swung his sword left and right to remove the obstacles in front of him, and then leaped through the thatched roof to stand on the earthen wall.
0:48:15|0:48:26|At this moment, the woman was still standing at the intersection, leaning on a wooden stake on the side. She was wiping the sweat off her neck with a handkerchief, then fully unfolding it, neatly folding it up. The donkey behind her occasionally flicked its ears.
0:48:30|0:48:49|The sky, originally bathed in the bright moonlight, was suddenly covered by dark clouds. The man looked up, then turned his gaze to the densely packed bandits surrounding him. Each of them held a knife with a fierce look on their faces. The man furrowed his brow, raised his long sword high, and slowly approached the people in front of him. However, the people behind him also began to slowly close in step by step.
0:48:49|0:48:54|The man's sharp eyes were filled with killing intent as he observed the movements of the people around him.
0:48:58|0:49:5|A furious shout broke through the battlefield, the man's sword swinging faster, with the sound of wailing constantly echoing in his ears.
0:49:5|0:49:17|A large group of bandits, like vicious dogs, attacked the lone man one after another. He wielded his sword to defend against the attacks, seizing the opportunity to strike accurately when the opponents were off guard.
0:49:17|0:49:22|The injured bandit on the ground stirred up the dust and let out a painful roar.
0:49:22|0:49:33|At this moment, the man was still wielding his sword methodically, the sky gradually darkening. Some fearless desperados in the bandit group once again approached.
0:49:33|0:49:42|The brave and skilled man is determined to confront him, but at this moment, another wave of enemies is attacking. They are riding horses quickly towards the man's location.
0:49:45|0:49:51|But as the man dealt with the opponents in front of him, the group of people and horses had already reached the hillside 100 meters away from him.
0:49:51|0:50:1|At this moment, another group of people with big knives in hand were running down the hill behind him, shouting.
0:50:12|0:50:16|He quickly ran forward, ready to face the enemy head-on.
0:50:16|0:50:21|The horse thief who rushed to the front was almost not yet clean, and was killed by a man with a single knife.
0:50:21|0:50:25|Others rushed forward, swords flashing and clashing.
0:50:25|0:50:28|The harsh sound of metal clashing echoed continuously.
0:50:28|0:50:34|Most of the horse thieves were no match for the men, only leaving behind a painful scream before meeting their demise.
0:50:34|0:50:39|As the men were killing with great gusto, a figure on horseback was slowly approaching.
0:50:40|0:50:48|The man sensed danger and turned around, when suddenly a figure descended from the sky and struck heavily down on the man's neck.
0:50:48|0:50:53|In the woods of his hometown at this moment, the birds were fleeing like evil spirits.
0:51:5|0:51:12|The man who suffered a fatal blow silently lowered his head, and this difficult duel ultimately ended in failure.
0:51:12|0:51:19|At the moment when the blade cut across the neck, he seemed to see the woman from his longed-for hometown again.
0:51:19|0:51:25|And on that day, [Huang Yaoshi] was still waiting at [Ouyang Feng]'s residence for the man to return.
0:51:25|0:51:28|He sat on the stool and took a sip from the wine bowl on the table.
0:51:49|0:51:57|Two days later, a duel took place at the lake, with the person on horseback being caught off guard by the surprise attack from the Barefooted Hero lurking in the water.
0:51:57|0:52:2|A companion on the side saw the Barefooted Hero reveal his true identity and immediately rushed up to chop down with a knife.
0:52:3|0:52:7|The barefoot hero did a backflip and kicked the man away with one foot.
0:52:7|0:52:11|The final member of the team rode a fast horse and galloped over.
0:52:11|0:52:18|His moves were fierce and swift, while the Barefoot Hero countered each move and found the opportunity to stab towards his abdomen.
0:52:18|0:52:22|The opponent let out a painful cry, staring at him with wide eyes.
0:53:48|0:53:52|Sitting in the corner, [Tao Hua] chewed on the food in her mouth and looked at [Ouyang Feng].
0:53:52|0:53:57|The scene shifts, a group of people and horses are marching in an orderly manner towards the depths of the desert.
0:53:57|0:54:4|They rode on horseback one by one, wearing helmets and making constant metallic clashing sounds, appearing particularly imposing.
0:54:4|0:54:6|Murong Yan has not been here for long.
0:54:18|0:54:22|Sitting among a group of swordsmen, [Hong Qi] constantly tidied his shoes.
0:54:22|0:54:26|[Ouyang Feng] sits in front of the villagers with an umbrella.
0:54:29|0:54:33|Wiping the sweat flowing down his chest with a handkerchief.
0:54:41|0:54:44|After speaking, he looked arrogantly at the villagers.
0:54:49|0:54:54|Seeing no one responding on the other side, [Ouyang Feng] sighed helplessly.
0:54:54|0:55:5|He then raised his hand to wipe the sweat off both sides of his cheeks.
0:55:5|0:55:9|[Ouyang Feng] watched the reactions of the people around him without moving.
0:55:23|0:55:26|He cunningly looked at the villagers standing up.
0:55:34|0:55:37|A few days ago, he ambushed horse thieves here.
0:55:40|0:55:42|Who knows that he died himself.
0:56:1|0:56:5|[Ouyang Feng] took off his dust mask and spoke earnestly.
0:56:7|0:56:13|Pay attention to one person, and once he finishes speaking, he turns and leaves.
0:56:35|0:56:41|The midday desert exuded a hint of heat, with a faint and lingering heat wave in the air.
0:56:41|0:56:49|At this moment, the bandits' figures appeared on the sand dunes, holding red flags and camels that had been waiting for a long time, quietly observing the movements of the group.
0:56:49|0:56:53|As the bandits were about to approach, a sudden gust of wind swept through the desert.
0:56:53|0:56:57|The sand and dust filled the air, making everything around unclear.
0:56:57|0:57:1|The horse thief riding on the horse was also forced to retreat repeatedly by the sudden sandstorm.
0:57:2|0:57:8|They had to dismount and lead the horses by the reins, struggling to move forward.
0:57:8|0:57:16|The horse was blown to the side by the wind, and the horse thief quickly caught up, pulled it back, and continued to walk towards the direction where the wind was strongest.
0:57:16|0:57:21|Seeing the bandits in chaos, [Hong Qi] seized the opportunity to draw his sword and quickly rushed towards the group.
0:57:21|0:57:26|Unexpectedly, the bandit's reaction was also extremely quick, immediately raising his sword to block the attack.
0:57:26|0:57:34|Hong Qi's power was immense, and he quickly took care of him in just a few moves, also killing a few companions who tried to help.
0:57:34|0:57:40|At this moment, other bandits rushed over one after another, [Hong Qi] swiftly wielded his knife, killing each one he encountered.
0:57:40|0:57:47|He keeps his eyes on all directions and ears open to all sounds, able to handle any situation whether it's a direct confrontation or a surprise attack from behind with ease.
0:57:48|0:58:6|At this moment, a masked man drew his sword with his left hand ready to attack. [Hong Qi] quickly stepped in front of him, picked up a long sword and swung it upwards. Accompanied by a painful scream, a bloody arm flew into the sky. The other bandits were furious, mounted their horses, brandished their swords, and charged towards [Hong Qi], plunging the scene into chaos once again.
0:58:7|0:58:11|Even the frightened horses were planning to escape in groups.
0:58:11|0:58:22|Killing the horse thief who wielded the knife in his left hand, [Hong Qi] gained a great advantage. In just a few hours, he had eliminated all the remaining horse thieves, and the horses on the sand dunes were set free, still running forward with all their might.
0:58:23|0:58:30|From a distance, Ouyang Feng, who was watching everything, couldn't help but smile, then quickly put on his mask and silently left.
0:58:30|0:58:41|Looking around, the desert is littered with the bodies of bandits, their clothes covered in sand and half buried by the wind. Yet the bloodstains on their bodies remain particularly prominent.
0:58:41|0:58:46|Under the dark sky, a thick fog gathered and drifted towards the distance.
0:58:59|0:59:5|[Murong Yan] lies on the hammock, carefully counting the money in her hand, then tucks it into her waist, remembering it firmly.
0:59:15|0:59:18|[Hong Qi], he's gone.
0:59:28|0:59:31|He turned silently and looked at the distant desert.
0:59:31|0:59:35|[Ouyang Feng] paused for a moment, strolled over, and stood in front of him.
0:59:35|0:59:40|He looked up and down at the woman in front of him, her face full of stubbornness, leaning forward.
0:59:42|0:59:51|The woman stubbornly turned her head to look into the distance. From that day on, she would come to the vicinity every day, waiting and keeping an eye on the movements of the camel at the door.
1:0:3|1:0:8|The woman looked at the camel with a sense of grievance, the corners of her mouth involuntarily turning downwards.
1:0:8|1:0:12|Once a beautiful face, now dirtied by the wind and sand.
1:0:12|1:0:16|The next day, [Ouyang Feng] stood at the door observing the commotion below.
1:0:24|1:0:26|The woman lowered her head and did not look at him.
1:0:28|1:0:33|Seeing that he still didn't move, [Murong Yan] stepped forward and gave him a push, the woman turned her head and shouted in dissatisfaction.
1:0:40|1:0:46|The woman, forced by circumstances, had no choice but to turn around and take step by step forward.
1:0:46|1:0:52|[Hong Qi] stood still, watching the woman's back. Seeing that she didn't turn around, he didn't urge her again.
1:0:52|1:0:58|The camel on the side turned its head, looking at the two people, then nonchalantly started chewing on the licorice in its mouth.
1:0:58|1:1:2|A few days later, [Ouyang Feng] found the woman who had been driven away by [Hong Qi] again.
1:1:13|1:1:24|Who says it can't be done? After [Ouyang Feng] said that, he gave a bitter smile, crossed his arms in front of his chest, as if recalling something.
1:1:31|1:1:34|His brows furrowed and his eyes suddenly turned cold.
1:1:45|1:1:51|That night, the woman with the eggs came to ask for help again, and [Ouyang Feng] squatted at the door, staring at her.
1:2:1|1:2:4|The woman holding the basket tightened her grip involuntarily.
1:2:15|1:2:17|After saying that, he stood up and went back into the house.
1:2:17|1:2:24|After a while, [Ouyang Feng] stood at the door with an umbrella, looking from a distance at the woman he had rejected.
1:2:24|1:2:32|The vast desert stretches as far as the eye can see, with misty smoke and waves. The figure of the [Girl] appears particularly small, in the treacherous world of the martial arts, where human hearts are hard to fathom.
1:2:32|1:2:36|[Ouyang Feng], as a middleman, prefers not to get involved in disputes, and no one can blame him.
1:2:37|1:2:42|[Girl] leaned against a wooden stake at the end of the road, exuding a sense of powerlessness all over her body.
1:2:42|1:2:48|Her face was pale, but her eyes were firmly fixed on the other end, where [Hong Qi] was staring at her.
1:2:59|1:3:10|The rain-dodging swordsman wiped the rain off his face. At this moment, [Hong Qi] strode in with a knife in hand. The surrounding swordsmen looked at him, their eyes filled with doubt and caution.
1:3:10|1:3:15|The leading swordsman took a step forward and everyone rushed forward to compete with [Hong Qi].
1:3:16|1:3:25|Countless swords flashed before him, but he didn't pay attention and was kicked by one of them, causing his hat to be split in half.
1:3:25|1:3:34|Shortly after, [Hong Qi] immediately leaped from the table and flew towards the person on the empty ground, delivering a powerful strike. A deep wound appeared on the person's waist.
1:3:34|1:3:37|Seeing that [Hong Qi] was difficult to deal with, the leading fat swordsman took advantage of the chaos to launch a sneak attack.
1:3:38|1:3:43|[Hong Qi] was unable to dodge in time, and half of his finger was forcibly cut off.
1:3:43|1:3:47|She glared at the swordsman with a sword in her hand, enduring the intense pain from her injuries.
1:3:47|1:3:53|Injured [Tao Hua] was filled with anger in her heart, and her movements became faster.
1:3:53|1:3:55|She quickly turned around, blocking attacks from all directions.
1:3:56|1:4:4|One of the swordsmen couldn't resist the relentless attacks from [Hong Qi], and was kicked down the stairs, falling onto the stove.
1:4:4|1:4:12|Shortly after, [Hong Qi] leaped down from upstairs. The fat swordsman took the initiative to confront him, but before he could react, the intense pain in his ear made him cry out involuntarily.
1:4:13|1:4:16|Anger surged in the swordsman's heart for a moment.
1:4:16|1:4:22|Unexpectedly, [Tao Hua]'s movements were even faster, and in a flash, the other ear was swiftly cut off.
1:4:22|1:4:26|After enduring repeated attacks, the swordsman was covered in wounds.
1:4:26|1:4:32|[Tao Hua] suddenly pulled the knife out from the opponent's abdomen, causing him to spurt out a mouthful of blood and then fall straight down.
1:4:44|1:4:50|Hong Qi, who had already been bandaged, lay on the bed, turning his head to look at Ouyang Feng playing with eggs.
1:4:59|1:5:4|Hong Qi opened his eyes and looked at the ceiling, then turned to Ouyang Feng beside him.
1:5:41|1:5:43|[Ouyang Feng] put down the hand holding the egg, showing a smile, then tossed the egg up and played with it casually.
1:6:27|1:6:35|Upon hearing [Hong Qi]'s contemptuous laughter, [Ouyang Feng]'s face instantly turned sinister, the anger in his eyes barely concealed.
1:6:35|1:6:39|When he turned back to [Hong Qi], his emotions seemed to have suddenly disappeared.
1:6:42|1:6:48|[Ouyang Feng]'s eating motion froze at that moment, the woman shed a tear and bowed her head deeply.
1:7:7|1:7:14|After speaking, he took a sip of water from the wooden ladle, then threw the ladle into the water tank, creating small ripples.
1:7:14|1:7:18|Ouyang Feng wiped his mouth and then stood behind the woman.
1:7:37|1:7:39|He smugly leaned close to the woman's embroidered hair.
1:7:52|1:8:1|With a sly gleam in his eyes, he then turned around coldly and left with his hands behind his back.
1:8:1|1:8:4|In the room, the dying Ouyang Feng slowly grasped the hand of Murong Yan.
1:8:4|1:8:6|[Hong Qi] tried to comfort the heartbroken woman with a heavy heart.
1:8:31|1:8:37|Hong Qi, weakly, lifted his head and looked at the woman in front of him who dared not raise her head because of guilt.
1:8:51|1:8:58|The woman cried bitterly in front of [Hong Qi], while [Hong Qi] lying beside her tried hard to move her body, staying close to her head.
1:8:58|1:9:9|As the day just began to break, [Hong Qi]'s wife sat on the hilltop, humming a tune, a smile playing on her face, her hands busy with needlework without pause.
1:9:9|1:9:18|She carefully examined the straw shoes in her hand, starting from each stitch, carefully checking every detail. Her white teeth were bright on her dark face.
1:9:19|1:9:25|A few days later, [Hong Qi] returned home and lay on a hammock, casually placing his hand above his head.
1:9:25|1:9:32|His wife sat in the opposite hanging chair, scooped out a spoonful of rice from the bowl, sang a song, and handed it to him.
1:9:32|1:9:35|[Hong Qi] raised his head and finished the rice in one go.
1:9:35|1:9:41|Turning his head, closing his eyes, chewing slowly, the swing beneath him swayed even more vigorously.
1:9:41|1:9:44|On the other side, the woman holding the eggs left with a donkey.
1:9:46|1:9:50|The figure of the woman and the donkey gradually disappeared into the night.
1:9:50|1:9:55|The scene shifts to a right hand wrapped in burlap, struggling to chop wood with the index finger.
1:9:55|1:9:58|He then turned the machete towards his left hand.
1:9:58|1:10:0|Soon, the firewood was split open.
1:10:3|1:10:8|[Ouyang Feng], who was eating watermelon, stopped and spat out the watermelon seeds in his mouth, licking his lips.
1:10:34|1:10:37|Shortly after, [Ouyang Feng] got up and walked outside.
1:10:58|1:11:6|A few days later, [Ouyang Feng] arrived at the intersection with a heavy expression on his face, looking serious as he gazed at the red paint about to be left behind.
1:11:13|1:11:14|He turned around and pulled up the road.
1:11:44|1:11:49|In the scene, [Hong Qi] is leading a camel through the desert, with his wife sitting on the camel's hump.
1:11:49|1:11:53|[Ouyang Feng] stood on a high place, looking at their departing figures from afar.
1:11:53|1:11:58|Hong Qi and the other person gradually walked away, soon reaching a shady spot under a tree.
1:11:58|1:12:3|But they did not stop at all, but continued to move forward on the unknown path.
1:12:3|1:12:13|At this moment, [Ouyang Feng] still stood in place, his hair being blown even more disorderly by the high winds sweeping through. The tattered flag above his head also swayed freely with the powerful gusts.
1:12:14|1:12:18|He then turned around and looked back for a moment before returning.
1:12:18|1:12:25|A large dark cloud was rapidly approaching the clear sky, and the fierce wind in the desert was even stronger than on the mountain tops.
1:12:25|1:12:32|At this moment, [Hong Qi]'s figure was shrouded in the sandstorm, he frowned and looked back at the place he had lived for a long time.
1:12:45|1:12:51|[Hong Qi] and his wife gradually walked away, their figures appearing particularly small in the vast desert.
1:12:51|1:12:57|Even if there is a violent gale blocking their way ahead, they will not stop their steps against the wind.
1:13:26|1:13:45|In the scene, a woman stands alone on a high mountain ridge. The time goes back to the night of her wedding day. The woman is dressed in a wedding gown, holding a candle as she quietly approaches a house. Just before entering, she adjusts her hair, then without hesitation, she pushes open the door and takes a peek inside.
1:13:46|1:13:53|He looked left and right through the crack in the door, then closed it after a while. The woman stood in front of the door for a moment, then turned back.
1:13:53|1:14:2|As he was about to leave, he suddenly stopped and glanced back quietly. He saw the woman's eyes rolling rapidly, her mind also racing in deep thought.
1:14:2|1:14:5|He then quickly crossed the corridor with a candle in hand.
1:14:6|1:14:15|Before long, the woman arrived at another corridor. She moved lightly and swiftly, turning at the corner while keeping her eyes fixed on the ground below.
1:14:15|1:14:23|Soon, she arrived at the staircase, where she was seen holding onto the handrail with one hand and carrying a bamboo stool with the other, swiftly moving her legs downstairs.
1:14:23|1:14:37|Halfway there, the woman suddenly stopped, raised the hand holding the bamboo platform forward, roughly observing the surrounding environment. The young [Ouyang Feng] hid in the shadows, quietly watching the woman's every move. The woman turned back and went upstairs again, preparing to leave.
1:14:37|1:14:44|[Ouyang Feng] looked at her, and couldn't help but think of the night of their wedding.
1:15:5|1:15:13|The woman resisted [Ouyang Feng]'s rough behavior, and the bamboo tray in her hand was also thrown out, falling to the ground upstairs, making a clattering sound.
1:15:13|1:15:18|At this moment, a man is seen washing a handkerchief in the water by the lake.
1:15:18|1:15:27|Previously, the woman that [Huang Yaoshi] went to find was looking at that person from a distance. The camera gradually moved up, only to see that the person washing the handkerchief was [Ouyang Feng].
1:15:27|1:15:31|He noticed the girl staring at him, then walked calmly in front of her.
1:15:42|1:15:56|[Ouyang Feng] hesitated for a moment after hearing this, not knowing how to respond. It turned out that the person standing in front of him was the wife of the man who died in the desert. The woman's face appeared and disappeared in the moonlight, her eyes fixed on the gold ingot in [Ouyang Feng]'s hand.
1:15:56|1:16:2|She then turned around and lay on the horse's belly, twisting her head towards the side without light.
1:16:4|1:16:7|Ouyang Feng, after listening, walked beside him and handed over the Han gold.
1:16:16|1:16:21|The woman did not look back, silently took the handkerchief from him and wiped away her tears.
1:16:21|1:16:24|He tightly clenched the Han gold, his fingers constantly grinding and shrinking.
1:16:24|1:16:27|After a moment, he lowered his head, preparing to leave.
1:16:30|1:16:36|The woman's face showed not sorrow but numbness, with her hair casually falling on her face.
1:16:38|1:16:43|There were no peach blossoms in this place to begin with. "Peach Blossom" is just a woman's name.
1:16:43|1:16:48|The calm lake surface is covered with a thin layer of cool mist, like a faint blue sand.
1:16:48|1:16:54|After returning home, the woman named Tao Hua tightly hugged the horse's neck, releasing the pain in her heart.
1:17:19|1:17:23|The rolling waves are surging towards the endless horizon in the scene.
1:17:41|1:17:44|A child squats by the shore, quietly gazing at the sea.
1:17:44|1:17:48|At this moment, [Ouyang Feng]'s sister-in-law leaned her upper body against the window, staring straight outside.
1:18:3|1:18:4|Huang Yaoshi was peeling while talking.
1:18:38|1:18:43|Ouyang Feng's sister-in-law turned around and lightly tapped her fingers on the windowsill.
1:19:5|1:19:9|His face showed a proud and aloof expression, but his eyes were moist.
1:19:37|1:19:43|[Huang Yaoshi] opened his mouth and took a bite of the freshly peeled pear, but his eyes were fixed on [Ouyang Feng]'s sister-in-law.
1:19:43|1:19:47|The sunlight outside the window shines on her, making her look particularly gentle.
1:21:9|1:21:18|His eyes were clear and beautiful, gazing at the distant scenery. There was a hint of melancholy on his elegant and graceful face, and the flower in his hand was already in a sorry state.
1:21:50|1:22:5|If one could start over, transcending the mundane and not seeking pleasure, often one cannot regret after the fact. The time that has passed is like irretrievable water, disappearing in the blink of an eye at the fingertips. Now he understands that some emotions, once missed, are lost for a lifetime.
1:22:5|1:22:12|He leaned lightly against the window frame, his eyes dimmed, then couldn't help but let out a deep sigh.
1:22:13|1:22:30|Not long after, he turned his head to the other side, his hand holding the wilted flower weakly hanging by his side. Then he stood up, took heavy steps towards the nearby carpet. On the table, there was a mirror placed. He slowly knelt down and then collapsed to sit on the side.
1:22:30|1:22:33|He then started tidying up his messy hair in front of the mirror.
1:22:35|1:22:42|He raised his hand, tucked a strand of hair behind his ear, and gently pushed the loose hair back into his hairline.
1:22:42|1:22:47|He then slightly turned sideways and began to tidy up the stray hairs on the other side.
1:23:3|1:23:8|He was puzzled for a few seconds, then turned back and smiled.
1:23:12|1:23:19|He wanted to say something more, but helplessly turned his head, tears streaming uncontrollably.
1:23:19|1:23:26|He regretfully scratched his messy hair with his hands, eyes closed, remorseful for everything he had done in the past.
1:23:26|1:23:34|The silent pain weighed heavily on him, leaving him exhausted. He shook his head heavily, and tears rolled down his cheeks.
1:23:34|1:23:39|The tears are filled with complex emotions, a mix of sadness and a sense of helplessness at the hands of fate.
1:23:58|1:24:19|The lake water flows day after day, and time passes by. [Ouyang Feng]'s sister-in-law still leans by the window as usual, but this time she is holding a beautiful flower. Her face is delicately made up, but it cannot hide her exhaustion. Her eyes have lost their sparkle.
1:24:19|1:24:26|Her eyes lost their former color, like a ruin worn down by time, and finally she slowly closed her eyes.
1:24:57|1:25:3|In the scene, [Ouyang Feng]'s sister-in-law closes her eyes tightly, with a hint of resignation on her lips.
1:25:3|1:25:7|After that day, [Huang Yaoshi] also left this place.
1:25:49|1:25:52|After the spring, it soon came to Jing Shi.
1:25:52|1:25:56|Every year at this time, a friend comes to visit me.
1:25:59|1:26:11|[Ouyang Feng] stood at the door, wiping the alcohol smell off his hands with a handkerchief. He then took a deep breath and continued to wipe, but his eyes kept glancing towards the other side of the desert.
1:26:11|1:26:21|He stood there waiting until nightfall, but his friend never came. Time passed like sand blown away by the wind, silently slipping away.
1:28:13|1:28:20|In his youth, Ouyang Feng may have already destined the tragedy of this love when he left White Camel Mountain.
1:30:29|1:30:33|Before leaving, [Ouyang Feng] set fire to his own inn.
1:30:33|1:30:37|The flames released by the roaring fire were like a phoenix breaking through the clouds.
1:30:37|1:30:47|The crazy waves of fire, one after another, burning everything here recklessly.
1:31:10|1:31:16|Endless sandy soil spreads across this boundless land, with bare sand and gravel everywhere.
1:31:16|1:31:29|The sky was filled with white mist, obscuring everything from view, only the outlines of layers of trees could be seen in the distance. That touch of vitality, different from the desert, injected life into the originally silent sand sea.
1:31:29|1:31:38|[Murong Yan] returned to the lakeside where he once met him, but there was only his lonely reflection in the lake. It was at this moment that he truly felt the essence of loneliness.
1:31:39|1:31:47|Years later, [Ouyang Feng] encountered a group of adventurers, led by a man whose weapon was different from others - a dog-beating staff.
1:31:47|1:31:53|After several rounds, [Ouyang Feng] remained unscathed, the man looked up with a look of astonishment.
1:32:1|1:32:17|At the same time, a swordsman with an oiled-paper umbrella flew in, holding a sword in one hand and the umbrella handle in the other as he descended from the sky. In an instant, blood splattered everywhere, and the person in male attire was none other than [Murong Yan].
1:32:17|1:32:26|The scene shifts, and [Murong Yan] is seen sitting in a pile of chili peppers in a long dress, completely immersed in a frenzied state. She looks up at the sky with a melancholic expression in her eyes.
1:32:30|1:32:43|Years later, [Ouyang Feng] achieved great success through rigorous martial arts training. He showed no mercy when facing enemies and was willing to pay any price to achieve his goals. He was one of the top martial artists in the world and was known as the Western Venom by people in the martial arts community.
