0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside.
0:46:42|0:46:51|At this moment, [Lin Kai] was tied to a chair, his limbs bound, his head hanging low, his skin torn and bleeding. Then, [Qingshui]'s father raised his hand to signal.
0:46:51|0:47:3|Lin Kai was immediately doused with a bucket of water by his henchmen. The extra stimulation woke him up immediately, and he lifted his head, swaying weakly.
0:47:4|0:47:13|Qingshui's father sat across and asked. Water kept flowing down Lin Kai's injured cheek.
0:47:13|0:47:16|But he only spat out a mouthful of water without saying a word.
0:47:17|0:47:23|Shortly after, [Qingshui]'s father gestured again, and one of his men immediately brought a piece of cloth to cover [Lin Kai]'s face.
0:47:23|0:47:27|Another person poured the wine into his mouth and nose.
0:47:27|0:47:34|After the blanket was removed, [Lin Kai] kept vomiting alcohol outward.
0:47:34|0:47:42|Qingshui's father leaned forward, fanned himself with a handkerchief, and then spoke again.
0:48:18|0:48:26|Qingshui's father gritted his teeth and finished speaking, then turned and walked away. His men then swarmed in, once again covering Lin Kai with a cloth and pouring alcohol over him.
0:48:26|0:48:34|[Lin Kai] kept struggling, but his hands and feet were firmly held down. [Qingshui] looked on with pity.
0:48:35|0:48:44|At this moment, [Qingshui]'s father knelt in front of the Buddha hall. Looking at the portrait of the woman in the Buddha hall, he said contentedly.
0:48:45|0:48:50|The scene shifts to a wooden house by the river. [Lin Kai] is lying unconscious on the floor.
0:48:51|0:49:0|In a haze, he seemed to see an old man walking towards him. The person squatted down next to Lin Kai, holding a tray, and placed things on the ground.
0:49:0|0:49:11|Lift up [Lin Kai]'s arm, tie on the rubber tube. Tap lightly a few times, find the vein, then pull out the syringe and inject the medicine into his arm.
0:49:12|0:49:17|The scene before him became chaotic, and [Lin Kai] was lost in memories.
0:49:30|0:49:36|Training scenes as a police officer.
0:49:38|0:49:44|Multiple images intertwined constantly, [Lin Kai] passed out in pain. When he woke up again, it was already night.
0:49:44|0:49:49|Inside the room, the fan continued to sway from side to side. [Lin Kai] lay quietly on the ground.
0:49:50|0:49:55|A little girl first helps him remove the gauze on his arm and clean the wound.
0:49:55|0:49:59|Then, his arm was rebandaged with new gauze.
0:50:0|0:50:7|After the old man propped him up, the girl held a bowl and slowly fed [Lin Kai]. Meanwhile,
0:50:7|0:50:18|[Qingshui]'s father is sitting in a room that has been renovated to look like a prison cell, smoking a cigarette. Next to a warm table lamp, a prominent photo of him kissing a beautiful woman when he was young.
0:50:19|0:50:27|Upon closer inspection, the latter is the woman in the Buddha hall he referred to as Yunan.
0:50:27|0:50:39|On the other side, seeing [Lin Kai] passing out again, the old man tied his arms with a rubber tube and then scooped a spoonful of powdered substance from a large jar to mix into the medicine.
0:50:39|0:50:44|Continuing, he withdrew the syringe and slowly pushed it into his arm.
0:50:44|0:50:50|[Lin Kai] seemed to realize something, he furrowed his brow and slowly opened his eyes.
0:50:51|0:50:59|But he just mechanically blinked his eyes, with a dull and vacant look, then he tilted his head and fell into a deep sleep.
0:51:0|0:51:6|Daylight broke in the blink of an eye.
0:51:19|0:51:26|Seeing that [Lin Kai] had regained consciousness and the car parked on the other side of the river, the old man helped him onto the boat and sat him down.
0:51:26|0:51:31|Taking him to the other side, [Lin Kai] observed the surroundings from left to right.
0:51:31|0:51:36|But soon, he was grabbed by two men on the shoulders and pulled off the boat.
0:51:36|0:51:45|Qingshui, who was originally sitting in the car, saw Lin Kai approaching, immediately opened the door and got out of the car, circled behind him, and blindfolded his eyes with a cloth.
0:51:46|0:51:54|After leaving the riverbank, the car arrived at a bustling market, passing through the crowded crowd and continuing to drive forward.
0:51:56|0:52:1|Informants planted by [Qingshui]'s father are stationed all over the market, silently watching the movement of this car.
0:52:2|0:52:10|Blindfolded Lin Kai can only rely on his hearing to sense the surrounding noise, while Qingshui sits next to him expressionless.
0:52:10|0:52:16|The car then arrived at the outskirts and slowly turned into a school. Inside the empty classroom,
0:52:16|0:52:20|[Qingshui]'s father is loudly asking the children who wants to play with him.
0:52:38|0:52:47|As [Qingshui] led [Lin Kai] in, the children cheered and surrounded [Qingshui]. [Qingshui]'s father sat nonchalantly in a chair.
0:52:47|0:52:54|Swinging his handkerchief back and forth, [Laoying] watched everything intently. Then, the three of them walked into the school cafeteria together.
0:52:54|0:53:4|The children immediately stopped their cleaning work when they saw the leader [Qingshui], and approached her. [Qingshui]'s father then boastfully said to [Lin Kai].
0:53:4|0:53:14|Lin Kai gestured for Li Jianguo to sit across from him.
0:53:42|0:53:46|[Lin Kai] suddenly yawned heavily.
0:53:46|0:53:50|Qingshui's father took a deep breath with a handkerchief.
0:53:58|0:54:4|Qingshui's father listened with great interest and looked at him.
0:54:4|0:54:11|And [Lin Kai] couldn't help but yawn at this moment.
0:54:26|0:54:34|At this moment, [Lin Kai] uncomfortably moved his shoulder. Seeing this, [Qingshui]'s father reached out his right hand to him, and as soon as they shook hands,
0:54:34|0:54:41|He forcefully pulled [Lin Kai] towards himself. Then, he gazed into his eyes and said lightly.
0:54:46|0:54:51|[Lin Kai] listened, his eyes widening in shock, his breathing becoming more rapid.
0:54:52|0:54:58|Later, he remembered the scene where the old man injected himself with a syringe in the wooden house by the river.
0:55:6|0:55:15|[Lin Kai] looked at the object in his hand, his whole face starting to tremble uncontrollably. Meanwhile, [Qingshui]'s father nonchalantly turned and walked away.
0:55:16|0:55:24|In order to stop his desire to take drugs, [Lin Kai] frantically hit his own head, accidentally flinging the drugs away.
0:55:24|0:55:29|He then tightly gripped the table with both hands, trying hard to control himself.
0:55:29|0:55:36|But the next second, he was like an unconscious puppet, standing up and searching for the drugs he had thrown out.
0:55:36|0:55:45|In a flurry of movement, the chairs in the canteen and the tableware on the table were left in disarray by him. It was late at night,
0:55:45|0:55:48|The dormitory was quiet, and the children were all sleeping soundly.
0:55:48|0:55:53|In the next room, [Lin Kai] is holding a piece of paper, sitting at the table and drawing something.
0:55:53|0:55:57|Drawing while sniffing, forcing himself to sink into thought.
0:55:59|0:56:12|On the way to school, Lin Kai kept tapping and counting with his hands and feet, and based on this, he drew a map on paper. However, the drug addiction made him breathe rapidly, and even the muscles on his face twitched.
0:56:12|0:56:17|Therefore, he could only cover his head with his hands, forcing himself to concentrate.
0:56:17|0:56:25|At this moment, the paper in front of them became increasingly blurred, as if the words and patterns were walking down from above.
0:56:25|0:56:32|[Lin Kai] clenched his fists tightly, trying hard to keep himself calm, but he couldn't hold back.
0:56:32|0:56:39|On the bedside table, the package of drugs given by [Qingshui]'s father seemed to be magnified, allowing him to lock onto it accurately with just a turn of his head.
0:56:40|0:56:45|But he forced himself to turn back, trembling as he took out two cigarettes and put them in his mouth.
0:56:45|0:56:52|Just after taking a few puffs, he looked back at the small packet of drugs, and finally, he turned around and clenched the stuff in his hand.
0:56:53|0:57:0|Staring at his fist for a moment, he then tapped his head again, and finally, he threw the drugs on the ground with a flick of his hand.
0:57:1|0:57:8|Then, he suddenly stood up, picked up the water pitcher and poured water into the cup. After finishing it in one gulp, he paced anxiously in the room.
0:57:10|0:57:19|At this moment, he saw a bundle of hemp rope, so he immediately used it to tie his hands and secure them to the head of the bed.
0:57:19|0:57:26|In a daze, he curled up in bed and saw, not far away on the wall, a stick figure drawn in chalk walking down.
0:57:28|0:57:40|Then floating in the air, it suddenly transformed into the appearance of [Qingshui]'s father. [Lin Kai] was startled and shivered, then saw him waving a handkerchief and walking towards him.
0:57:49|0:57:58|Turning his head, [Lin Kai] saw [Li Jianguo] again, and then his mother appeared. Seeing his mother, he couldn't help but burst into tears.
0:57:58|0:58:5|And the mother then smiled, slowly approached, and sat down beside him.
0:58:15|0:58:23|Looking at the suffering Lin Kai, his mother gently pats his back, then slowly nestles her head into his neck.
0:58:23|0:58:31|[Lin Kai] cried like a child.
0:58:31|0:58:40|But all of this is just a fantasy of Lin Kai's, the person holding him is not his mother, but Qingshui.
0:58:41|0:58:46|Seeing [Lin Kai] release himself, [Qingshui] unscrewed the medicine bottle and dripped a few drops of medicine by his lips.
0:58:46|0:58:57|Continuing, she gently wiped his forehead with a towel. Soon, [Lin Kai] stopped struggling and held onto her arms.
0:58:58|0:59:1|Upon seeing this, [Qingshui] wiped away the tears of pain from [Lin Kai]'s eyes.
0:59:2|0:59:11|It was as if she really thought of herself as his mother, gently caressing and patting him. Finally, [Lin Kai] fell into a deep sleep.
0:59:11|0:59:15|And [Qingshui] sat by his side, accompanying him through the whole night.
0:59:15|0:59:20|The next day, [Lin Kai] woke up covered in sweat.
0:59:20|0:59:30|He blinked in confusion, turned his head, and found the hemp rope used to tie himself up last night lying next to the pillow. Then he looked towards the head of the bed.
0:59:30|0:59:39|After discovering that the drugs were still there, he sighed. At the desk, [Qingshui] was tidying up the brushes on the table.
0:59:39|0:59:48|[Lin Kai] then slowly approached her, asking in confusion. [Qingshui] stopped what she was doing, without answering the question.
0:59:48|0:59:56|Instead, she stood up and walked past him towards the stairs. [Lin Kai] kept his eyes fixed on her, then turned to look at her back.
0:59:57|1:0:5|After walking a distance, [Qingshui] suddenly stopped in his tracks, then took out a crumpled piece of paper from his pants pocket.
1:0:5|1:0:12|Turning around, [Laoying] walked up to Lin Kai, holding up a crumpled piece of paper.
1:0:13|1:0:20|After handing it to [Lin Kai], he left without looking back. Watching [Qingshui] walking away,
1:0:20|1:0:25|[Lin Kai] opens the paper ball and is surprised to find that it is the map he drew himself.
1:0:25|1:0:31|At noon, two cars drove through the winding forest road.
1:0:31|1:0:38|[Lin Kai] sat in the back seat of the second car, with [Qingshui] sitting next to him, looking out the window expressionlessly.
1:0:38|1:0:43|At this moment, [Lin Kai] noticed that the GPS on the car kept showing malfunction.
1:0:43|1:0:48|The convoy drove for a long time and finally entered a hidden factory.
1:0:48|1:0:52|[Lin Kai] looked out through the window calmly without making a sound.
1:0:52|1:0:59|At this moment, on the first floor of the factory, the workers are processing the raw materials for making drugs in an orderly manner.
1:1:0|1:1:7|[Qingshui] led [Lin Kai] through the crowd to the second floor. After pulling back the door curtain, [Lin Kai] was instantly stunned.
1:1:8|1:1:17|In front of them appeared a three-story high greenhouse cultivation frame, growing on the frame was the raw material of drugs, poppy flowers.
1:1:17|1:1:24|Next to the flowers are not only a humidifier and a detector, but also guards with guns patrolling the aisle.
1:1:33|1:1:40|[Qingshui]'s father walked up to [Lin Kai] and showed off. [Lin Kai] leaned on the railing and responded.
1:1:52|1:2:0|The two then exchanged a smile, but soon after, [Qingshui]'s father looked back at the training frame, and the smile on his face disappeared in an instant.
1:2:0|1:2:7|The scene shifts back to Yunlai City, where [Lin Kai] is driving a car, with [Qingshui] sitting beside him. In the background,
1:2:7|1:2:15|Qingshui's younger brother drove the second car closely following. Suddenly, Lin Kai noticed from the rearview mirror.
1:2:15|1:2:23|[Qingshui] looked back and saw a small car attempting to overtake his younger brother's car. He then took out a cigarette and put it in his mouth.
1:2:23|1:2:31|Continuing, he took out a lighter and lit it. [Qingshui] in the passenger seat next to him, impatiently rolled down the window.
1:2:32|1:2:42|[Lin Kai] noticed behind him and also closed the window on his side. Then, he casually rested the hand holding the cigarette on the car door outside.
1:2:44|1:3:0|It turned out that in the car was [Li Jianguo], who took off his glasses, took out binoculars to observe carefully, and then discovered that [Lin Kai] was hiding and systematically tapping the car body. [Li Jianguo] immediately instructed his colleagues.
1:3:2|1:3:7|Then he casually glanced back. At this moment, the car accelerated and brushed past [Lin Kai].
1:3:7|1:3:18|[Li Jianguo] inadvertently lowered the car window as he paralleled with him. In the warehouse, a truck filled with logs slowly started up and drove forward.
1:3:18|1:3:26|In the hotel, [Wang Bo] curled up on the bed, his hands handcuffed. Soon after, plainclothes police officers woke him up.
1:3:26|1:3:34|After unlocking the handcuffs, he led him out of the room. On the other side, [Lin Kai] took [Qingshui] to a dilapidated building.
1:3:34|1:3:40|Through the winding and narrow corridor, finally came across [Wang Bo] holding a file bag.
1:3:41|1:3:49|At the border crossing, [Lin Kai] and [Qingshui] were stopped with a large truck loaded with logs.
1:3:50|1:3:58|But when the armed police saw the permit, they immediately stamped it and let it pass. Afterwards, the convoy arrived at a wood processing factory.
1:3:58|1:4:4|Workers are continuously extracting drugs with the Double Eagle logo from the logs.
1:4:5|1:4:10|On the other side, [Qingshui] was watching as the workers loaded bundles of US dollars onto the truck.
1:4:10|1:4:16|Then, he opened the box next to him and counted the number of gold bars inside.
1:4:17|1:4:25|A few days later, [Lin Kai] once again brought the convoy to Yunlai City. This time, he made an appointment with Xiaobei, just like last time.
1:4:25|1:4:29|First, use a truck to transport drugs, then bring back cash to the Golden Triangle.
1:4:30|1:4:35|After exchanging the truck keys, [Lin Kai] left with his men first.
1:4:35|1:4:43|Immediately, [Li Jianguo] slowly walked out from deep inside the factory, glanced at Xiaobei, and took out his phone from his pocket.
1:4:44|1:4:53|In the hotel, [Lin Kai] and two others quickly ate instant noodles and went to sleep. In the middle of the night, while he was sleeping soundly, he suddenly broke out in a cold sweat.
1:4:53|1:4:57|The face twitched unnaturally. Obviously, [Lin Kai] was in pain.
1:4:57|1:4:58|This is a relapse of drug addiction.
1:4:59|1:5:5|So, with rapid breaths, he slowly woke up from deep sleep. Just as he opened his groggy eyes,
1:5:5|1:5:15|I saw smoke billowing in from under the hotel door crack. Before I could react, I fell asleep again.
1:5:15|1:5:21|Suddenly, the door was gently pushed open, and then two people found [Lin Kai] and carried him out.
1:5:21|1:5:26|In the room, all the people including [Qingshui] were completely unaware of this.
1:5:26|1:5:35|At this moment, [Lin Kai]'s head was pushed into the water tank, the suffocation quickly brought him back to his senses. Then, he suddenly lifted his head.
1:5:35|1:5:44|Surprised to hear words of concern, [Lin Kai] suddenly turned around, only to find [Li Jianguo] standing beside him.
1:5:45|1:5:55|After that, he took the towel thrown to him and casually wiped his wet hair. Upon hearing this, [Lin Kai] stopped the action of drying his hair.
1:6:8|1:6:12|In a fit of rage, [Lin Kai] slammed the towel hard onto the ground.
1:6:12|1:6:21|Water flowed into his eyes along his wet hairline, but he didn't care at all, glaring fiercely at [Li Jianguo]. Seeing this,
1:6:21|1:6:27|[Li Jianguo] bent down slowly, picked up the towel, and threw it back into [Lin Kai]'s hands.
1:6:29|1:6:39|After speaking, [Lin Kai] ran his hand through his hair, took big strides past [Li Jianguo], and walked to the edge of the rooftop. Then, [Li Jianguo] stepped forward and stood shoulder to shoulder with him.
1:7:14|1:7:16|[Li Jianguo] furrowed his brow, looking extremely shocked.
1:7:16|1:7:23|Sighing, explained to [Lin Kai].
1:7:47|1:7:54|In the woods, the car suddenly overturned, and [Li Jianguo] was thrown out directly.
1:7:57|1:8:3|In the car, his comrade [Zhang Haitao] hadn't climbed out yet when the whole car exploded.
1:8:4|1:8:10|Looking at the grieving and indignant [Li Jianguo], [Lin Kai] took a step forward and asked solemnly.
1:8:16|1:8:30|After pondering for a while, [Li Jianguo] put on his glasses and spoke again.
1:8:40|1:8:50|[Lin Kai] sniffed, responded solemnly, then glanced at [Li Jianguo] before quickly leaving the rooftop. With everything settled, he returned to the Golden Triangle.
1:8:50|1:8:59|[Lin Kai] was sitting outside the solemn temple, smoking one cigarette after another. Then, he was led into the temple by [Qingshui].
1:8:59|1:9:7|At this moment, the monk begins to pray. May the Buddha transform misfortune and eliminate illness.
1:9:17|1:9:25|To obtain longevity, beauty, happiness, and health. At this moment, the monk clasps his hands together and bows deeply to the Buddha statue.
1:9:27|1:9:31|Turning around, [Lin Kai] gestured to everyone that they could now present the flower garland.
1:9:31|1:9:36|The crowd first bowed to the father of [Qingshui] who was standing at the front of the line.
1:9:36|1:9:45|Following that, they gradually left the Buddha hall. [Qingshui], without saying a word, walked to the front of the Buddha statue and gazed at the jade image beside the floral wreath.
1:9:45|1:9:53|She looked deeply, then clasped her hands together, closed her eyes, and bowed sincerely. [Lin Kai] stood curiously behind.
1:9:55|1:10:7|At this moment, [Qingshui]'s father came to his side, looking at the memorial tablet, and slowly spoke. Looking at the photo of Yunan on the tablet, he smiled gently.
1:10:8|1:10:15|Turning around, his eyes fixed on [Lin Kai].
1:10:17|1:10:35|[Qingshui]'s father listened, moved his burned left ear, then turned to look at Yunan again. He curled his lips, smiled inexplicably, and slowly walked towards the outside of the Buddha hall.
1:10:35|1:10:44|[Lin Kai] looked at his back, lost in thought. At night, he followed [Qingshui] to a spiral stone staircase.
1:10:44|1:10:51|Continuing on, slowly walking down. Through the dim light on the wall, [Lin Kai] discovers,
1:10:51|1:11:1|This is an underground base built with rocks. At this moment, [Qingshui] opens a door, and the two enter a place that resembles a dungeon.
1:11:1|1:11:8|Next, [Qingshui] stopped in front of a gun-wielding guard, nodded gently, and another door was pulled open.
1:11:10|1:11:15|Dad [Qingshui], dressed in a suit, is sitting at the head of the long table, drinking red wine.
1:11:15|1:11:22|After [Lin Kai] entered the room, the iron door behind him immediately closed.
1:11:34|1:11:40|Lin Kai looked at the inquisitive gaze of the elders.
1:11:40|1:11:50|After calmly meeting his gaze, he nodded politely. Then, [Qingshui]'s father wiped his mouth with a napkin.
1:11:50|1:11:56|He then got up and walked towards [Lin Kai].
1:12:6|1:12:13|Lin Kai, with his shoulder embraced by Qingshui's father, looked meaningfully at him. And the elders listened,
1:12:13|1:12:19|Laughter erupted in the audience. It turned out that the "Laoying" mentioned by "Li Jianguo" was actually Qingshui's father. At this moment,
1:12:19|1:12:26|He turned around and pulled out a chair for [Lin Kai], letting him sit down, and personally poured a glass of red wine that had already been prepared.
1:12:52|1:13:0|[Laoying] swayed the wine glass, walked to the table, and then took out a small bag of powder to show to the elders.
1:13:34|1:13:43|The elder in a suit unexpectedly refused directly. [Laoying], after swallowing a piece of pizza with interest, leisurely made his way back to his seat.
1:14:14|1:14:20|[Laoying] interrupted him, stood up, and used a fork to put the vegetables into the plate in front of him.
1:14:20|1:14:30|Lin Kai carefully placed the napkin on his lap, lowered his head, and started eating quietly. Soon after, the dinner table fell into a dead silence.
1:14:32|1:14:38|The scene shifts, and the birds lose their direction due to the interference of the solar disruptor. Afterwards, [Lin Kai]...
1:14:38|1:14:44|Lin Kai, dressed in a suit, braved the scorching sun and arrived at a rooftop in the town.
1:14:47|1:14:52|Laoying, seemingly oblivious, picked up the poppies drying in the bamboo basket and sniffed them.
1:14:52|1:14:56|[Lin Kai] followed [Qingshui] through the corridor and arrived at the hallway on the second floor.
1:14:59|1:15:5|Just as he was about to go upstairs, he saw the elder in a suit falling headfirst onto the terrace.
1:15:5|1:15:12|After a burst of intense gunfire, he fell down on the spot. [Qingshui] watched and urged [Lin Kai].
1:15:13|1:15:19|[Laoying] stood at the edge of the rooftop, looking at the body, and wiped his face with a handkerchief. [Qingshui] called out to [Laoying].
1:15:24|1:15:31|[Laoying] turned around and pointed at [Lin Kai]. After speaking, [Laoying] gestured for [Lin Kai] to come forward.
1:15:48|1:15:58|Laoying flicks his handkerchief, gesturing for Lin Kai to come to his side.
1:16:10|1:16:14|After speaking, he paused for a moment and then turned around, his gaze fixed on the distant town.
1:16:23|1:16:31|[Laoying] said firmly. [Laoying] looked up at the sky, then covered his eyes with a handkerchief.
1:16:32|1:16:41|After giving orders to [Lin Kai], [Qingshui] walked straight past him and down the rooftop. [Lin Kai] turned around in confusion, only to see the hurried figure of [Laoying] leaving.
1:16:42|1:16:47|So he had to follow and then arrived at the underground base. 
1:16:47|1:16:59|At this moment, [Laoying] stood in front of a prison cell door. After making the guard leave, he decisively pulled down the small window on the door. The half-naked man inside immediately shrank into the corner upon hearing the noise.
1:17:0|1:17:10|His hair was all gone, covered in burns, [Lin Kai] looked inside unbelievably.
1:17:32|1:17:45|In the memory, [Li Jianguo], [Laoying], and the pregnant Yunan were busy in the drug manufacturing factory. After the explosion, half of the factory wall was blown up, and fully armed police quickly rushed in.
1:17:45|1:17:53|Laoying hurried to support his wife and ran towards the door with the escort of two drug dealers. They were about to get in the car and leave.
1:17:53|1:18:1|The voice of warning from [Li Jianguo] came from behind. The couple was shocked.
1:18:1|1:18:5|Then, Lin Kai and Laoying turned around and stared at him intently.
1:18:6|1:18:11|[Li Jianguo] took out two drug dealers first, then landed a blow on the right shoulder of [Laoying].
1:18:11|1:18:16|Unexpectedly, Yanan immediately counterattacked and hit his left arm.
1:18:16|1:18:25|At this moment, [Li Jianguo] lost his balance and fell backwards, accidentally pulling the trigger, and the bullet instantly pierced through Yunan's chest.
1:18:25|1:18:35|[Laoying] dropped the gun and ran to Yunan's side. With trembling hands, he reached towards her swollen belly, then bowed his head.
1:18:36|1:18:41|Buried into her neck. At this moment, Zhang Haitao quickly pulled [Li Jianguo] up.
1:18:43|1:18:52|Soon after, the two looked ahead together, with [Laoying] kneeling weakly beside Yunan, surrounded by special police officers aiming their guns at him.
1:18:52|1:19:1|He slowly straightened up, turned his head, and stared gloomily at [Li Jianguo]. Everything seemed to have settled.
1:19:4|1:19:11|Two cars drove out of the factory, one in front of the other. In the back seat of the leading car, [Li Jianguo] and Zhang Haitao sat on either side of [Laoying].
1:19:11|1:19:19|Soon after, the convoy turned into a grove of trees, when suddenly, an off-road vehicle caught up from a side road. A drug dealer leaned out and opened fire continuously.
1:19:21|1:19:30|The special police in the rear car quickly counterattacked, with a shot hitting the drug dealer's heart in the driver's cab. At this moment, a second off-road vehicle appeared.
1:19:31|1:19:35|A drug dealer directly used a rocket launcher to blow up the special police vehicle.
1:19:35|1:19:41|Li Jianguo looked back in shock, while Zhang Haitao firmly held onto Laoying's body.
1:19:43|1:19:47|Suddenly, a sharp turn, the vehicle lost balance and rolled out.
1:19:47|1:19:54|[Laoying] looked in horror at the leaking car, while Zhang Haitao was pinned under the seat, also in a daze.
1:19:54|1:20:4|Shortly after, the drug dealers hurriedly got off the car and were the first to carry [Laoying] out from the already burning vehicle.
1:20:6|1:20:14|[Laoying] almost frantically had his men drag out Zhang Haitao. And in the midst of this, the car finally couldn't take it anymore.
1:20:26|1:20:30|The flashback ends, and [Lin Kai] looks back into the cell.
1:20:30|1:20:38|Zhang Haitao was leaning against the slippery wall, shivering.
1:20:52|1:21:2|Then [Laoying] looked steadily at Lin Kai. At this moment, [Laoying] picked up a handkerchief and vigorously wiped his burnt left ear.
1:21:2|1:21:9|In the pitch-black forest, two cars were driving forward one after the other.
1:21:12|1:21:17|Sitting in the passenger seat, with his eyes covered, [Lin Kai] curiously asks [Qingshui] who is driving.
1:21:48|1:21:56|Shortly after, [Qingshui] furrowed his brow, recalling the words spoken by a man.
1:22:6|1:22:11|Next, a tear rolled down [Qingshui]'s eyes, leaving a straight trail.
1:22:11|1:22:18|But the vehicle still drove into the darkness. The scene shifted to a gloomy afternoon,
1:22:18|1:22:24|[Lin Kai] drove to the entrance of a KTV with someone. In an indoor basketball court not far away,
1:22:26|1:22:35|[Li Jianguo] and several plainclothes police officers are watching through the monitor. Then, he sits down on a chair, puts on the listening earphones, and places them near his ear.
1:22:35|1:22:43|At this moment, [Lin Kai] led the group into the KTV. In the spacious place, there was only a cleaning lady tidying up and [Wang Bo].
1:22:43|1:22:53|Taking a deep breath, [Lin Kai] relaxedly leaned back on the fabric sofa next to [Wang Bo].
1:22:53|1:22:58|[Wang Bo] lit a cigarette. [Li Jianguo] was instantly stunned.
1:23:15|1:23:27|[Lin Kai] stood up after listening, put his arm around [Wang Bo]'s shoulder, sat beside him, and said seriously.
1:23:33|1:23:37|Li Jianguo, who was listening in, incredulously pressed down on his headphones.
1:23:46|1:23:53|At this moment, the burning vehicle and Zhang Haitao's concern immediately rushed into [Li Jianguo]'s mind.
1:23:55|1:24:3|Everything made his heart ache. Then, he furrowed his brow and slowly took off the headphones from his head.
1:24:3|1:24:6|The process seemed to have slowed down,
1:24:6|1:24:17|It seems like he could exert all his strength in the next second. Then, he stood up straight, suddenly roared loudly, and fiercely picked up his chair, throwing himself forward.
1:24:18|1:24:24|Colleagues were all looking sideways. The sun rises in the east and sets in the west, and time quickly passes by.
1:24:25|1:24:33|In the gloomy weather, [Lin Kai] drove the car and stopped by the side of the road with [Qingshui], then a sedan slowly approached.
1:24:33|1:24:37|[Wang Bo] opens the back door and approaches [Lin Kai].
1:24:38|1:24:45|Qingshui, sitting in the passenger seat, listened attentively and then lowered his eyes thoughtfully.
1:25:19|1:25:25|[Li Jianguo] stood in the indoor gym, decisively ending the call with the director.
1:25:25|1:25:31|He then took off his glasses, left without looking back, and his footsteps did not hesitate at all.
1:25:32|1:25:41|Soon, he followed [Lin Kai] to a hotel room where he was searched by three drug dealers in a row. After confirming his identity, the two of them walked in.
1:25:42|1:25:50|Upon hearing the sound, [Qingshui], who was originally sitting at the table, immediately stood up and kept his eyes on [Li Jianguo]. Then Wang Bo spoke.
1:26:7|1:26:12|[Li Jianguo] stopped him, while [Qingshui] lowered his head and dialed [Laoying]'s phone number.
1:26:16|1:26:26|Li Jianguo glanced at Qingshui, then took a deep breath, took the phone from her hand, and put it to his ear.
1:26:30|1:26:35|[Laoying] stood in the prison cell, with the barely conscious Zhang Haitao behind him. He answered with joy.
1:26:42|1:26:50|He then turned around, pulled the phone away, and when his subordinate understood, he picked up a stick and swung it towards Zhang Haitao.
1:26:50|1:26:57|The painful groans were transmitted through the receiver to the other end of the phone. [Li Jianguo] couldn't bear to close his eyes.
1:26:57|1:27:6|Shortly after, [Laoying] hung up the phone.
1:27:6|1:27:14|Upon hearing Li Jianguo's request, Laoying suddenly trembled, then remembered his deceased wife and children.
1:27:17|1:27:23|Tears welled up in the eyes as words were exchanged.
1:27:25|1:27:33|Li Jianguo was about to hang up the phone when he heard a voice.
1:27:34|1:27:42|Li Jianguo immediately looked at Lin Kai.
1:27:45|1:28:0|[Qingshui] had just answered the phone when [Li Jianguo] pulled out a handgun from his waist. He then turned around and kicked [Lin Kai] in the chest, quickly fired the gun, causing [Lin Kai] to fall headfirst out of the window from the second floor.
1:28:1|1:28:7|After speaking, [Li Jianguo] stepped over [Qingshui] and walked out of the door first. Wang Bo also followed out.
1:28:7|1:28:13|But he was stopped by a drug dealer pointing a gun at his forehead.
1:28:13|1:28:17|Shortly after, the group quickly got on the car and swiftly left the hotel.
1:28:17|1:28:25|Passing through the intersection, [Qingshui] looked sorrowfully in the direction where [Lin Kai] had fallen until he completely disappeared, then turned his gaze away.
1:28:25|1:28:30|At this moment, the plainclothes police officers quickly arrived. [Lin Kai], who was lying on top of the van, suddenly opened his eyes.
1:28:30|1:28:42|Staring in the direction that [Li Jianguo] left, breathing heavily in frustration. At this moment, [Li Jianguo] sitting in the back seat of the vehicle, had his eyes covered.
1:28:42|1:28:50|The special police officer is using the watch on his wrist to track his location. Then, the vehicle crosses the paddy fields and enters a dense forest.
1:28:52|1:28:59|The car was swaying, with [Qingshui] sitting next to [Li Jianguo], keeping his eyes lowered the whole time.
1:28:59|1:29:10|A ray of sunlight suddenly shone into the car, she looked out the window, and then, remembered the past. [Laoying] pulled the trigger.
1:29:13|1:29:18|Little [Qingshui] hid under the floor, peeking through the cracks, and saw his father being shot by [Laoying] himself.
1:29:18|1:29:25|When [Laoying] left, [Li Jianguo] suddenly noticed through a crack that little [Qingshui] was tightly hugging a doll.
1:29:25|1:29:29|At this moment, [Laoying] is standing devoutly on the rooftop worshipping.
1:29:41|1:29:49|On the other side, on the quiet mountain road, [Lin Kai] is driving a motorcycle speeding past. Meanwhile, [Li Jianguo] is being grabbed by the drug trafficker, pulled off the car.
1:29:49|1:29:56|Later, they walked towards a small building. [Qingshui] stood by the car, looking at his back with a complex expression in his eyes.
1:29:58|1:30:6|On the rooftop, the birds that were originally circling around the jammer flew away, and then [Li Jianguo] had the cloth removed from his eyes and walked over.
1:30:7|1:30:16|Laoying, who was originally worshipping, turned around and, upon seeing him, immediately walked up to him, with his eyes fixed on him.
1:30:16|1:30:29|Li Jianguo kept looking back. At this moment, [Laoying] stopped not far from Li Jianguo.
1:30:29|1:30:41|Then, like an old friend, he smiled and said, [Li Jianguo] interrupted his reminiscing.
