0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
0:53:27|0:53:51|He angrily interrogated [Kong Hai], who remained silent. [Bai Letian] turned and walked away. Looking at [Bai Letian]'s almost frantic accusations with pity in his eyes, [Kong Hai] suddenly saw [Bai Letian] return and continue speaking. [Bai Letian] slammed the door and left [Kong Hai] alone.
0:53:52|0:54:4|The sky above Chang'an City is still shrouded in dark clouds. To uncover the truth, [Kong Hai] once again visits the home of [Bai Letian]. As soon as he enters, he sees the unwashed dishes of [Bai Letian] on the stove, with spoiled leftovers attracting flies buzzing around.
0:54:4|0:54:13|[Bai Letian] is sitting at his desk, lost in thought. His room is filled with books, and even the walls are covered with paintings.
0:54:20|0:54:36|[Master Konghai] saw a painting on the ground and picked it up casually. Looking around, he realized that the entire wall was covered with a portrait of that woman, who was [Yang Yuhuan]. [Bai Letian] hurriedly stood up, wanting to tear down the painting on the wall.
0:55:27|0:55:43|After [Kong Hai] took the painting of [Yang Yuhuan] from [Bai Letian] and left the room, hoping to give [Bai Letian] some time alone, but [Bai Letian] was not grateful. As soon as [Kong Hai] left the room, [Bai Letian] closed the door behind him. The more he thought about it, the angrier he got, and finally couldn't help but shout at [Kong Hai] through the wall,
0:57:18|0:57:36|[Kong Hai]'s love story of the long ballad is fake, completely breaking down the last defense line in [Bai Letian]'s heart. He stood in front of the door, only turning around to face [Kong Hai] after a long time, tears in his eyes as he said.
0:58:44|0:58:52|The master looked at [Kong Hai] with a reassuring gaze.
0:59:16|0:59:34|[Kong Hai] bid farewell to his deceased master, shouldered his bag, held his cane, wore wooden clogs, and stepped on the snowy road, starting his journey to the Tang Dynasty. Along the way, he had to climb steep mountains and cross vast oceans on small boats. Unfortunately, he encountered a strong storm at sea, with waves as high as 10 meters.
0:59:43|0:59:55|The wailing cries filled the air. Faced with the threat of death, [Kong Hai] showed signs of panic, but a woman beside him remained calm, soothing the child in her arms with a peaceful expression. Unable to hold back, [Kong Hai] asked.
1:0:4|1:0:19|As [Kong Hai] looked at the woman in confusion, suddenly the sea water rushed into the boat. Eventually, the small boat couldn't withstand the sea storm and sank to the bottom of the sea, with everyone being swept into the sea. Fortunately, [Kong Hai] was skilled in swimming. He struggled to swim out of the boat, but the storm did not stop, instead becoming even more violent.
1:0:19|1:0:27|The waves crashed heavily layer by layer on the sea, and due to exhaustion, he was still swept into the sea.
1:0:36|1:0:43|Just as [Kong Hai] was about to be drowned, a sudden thought crossed his mind.
1:0:56|1:1:4|[Bai Letian] was moved by [Kong Hai], and the two set out on a journey to find the truth once again.
1:2:43|1:3:0|After the two bid farewell, as usual, Nanny came to the loom to weave white silk. As she was weaving, suddenly a cat jumped onto the frame. Nanny was startled at first, then she stopped her work. She was puzzled by the sudden appearance of the cat. The cat turned its head and stared at her intently.
1:3:0|1:3:19|After a while, a fierce voice came out of the mouth. The demon cat then used its sharp claws to cut the white thread on the loom, and all the threads wrapped around the nanny's neck. In this way, the nanny was strangled to death by the white silk she had woven herself. At the same time, Bai Letian and Kong Hai were discussing the suspicious points of the death of the imperial concubine on the road.
1:3:43|1:3:49|In the midst of the conversation, the two suddenly realized that Nanny might be in danger and hurried back.
1:3:50|1:3:57|Surely at this moment, the nanny had fallen in front of the loom, her neck wrapped in white thread. Seeing the tragic death of the nanny, [Bai Letian] couldn't help but blame [Kong Hai].
1:4:0|1:4:7|Another life was taken by the demon cat, and [Bai Letian] angrily pounded his hand against the wall.
1:4:10|1:4:18|To uncover the truth, [Bai Letian] brought [Kong Hai] back to the Imperial Library. [Bai Letian] handed the documents to [Kong Hai], but he accidentally dropped them.
1:4:19|1:4:26|With a loud noise, the documents scattered all over the floor, catching the attention of [Master Konghai] with a list of missing names waiting to be filled in.
1:4:59|1:5:5|[Bai Letian] blurted out, and [Master Konghai] quickly stopped him to prevent the demon cat from hearing. In order to arrive at [Bai Ling]'s house before the demon cat could strike, the two hurried through the rain.
1:5:6|1:5:15|[Bai Ling] is a Japanese woman, standing in front of the house with a friendly expression to greet them.
1:5:17|1:5:24|[Master Konghai] walked into the room and bowed to [Bai Ling], then started conversing with her in Japanese.
1:5:57|1:6:5|[Bai Ling] lowered her head and hesitated for a long time before finally speaking.
1:6:51|1:7:8|[Bai Ling] finished speaking and then smiled bitterly. Seeing the helplessness and sadness in [Bai Ling], [Kong Hai] spoke. She didn't answer, silently turned around and led the two into the courtyard. The rain outside had stopped at some point.
1:7:8|1:7:15|[Bai Ling] walked to the grave of her husband, Mr. [Abe Nakamaro], with [Master Konghai] behind her, bowing respectfully towards [Nakamaro]'s tomb.
1:7:32|1:7:38|Perhaps it was Bai Ling who was moved by Kong Hai's words. She returned to her room and took out her husband's diary to give to Kong Hai, telling him about the contents of the diary.
1:8:4|1:8:19|[Kong Hai] and [Bai Letian] sat on the city tower and began to read, following the diary as if they had traveled back to the Xuanzong era 30 years ago. The crowd in Chang'an city that day was bustling and lively. [Abe Nakamaro] rode a spirited horse through the crowd, shining brightly.
1:8:55|1:9:3|At this moment, [Yang Yuhuan] was draped in a light gauze, wearing a splendid peony on her head, swaying on a high swing in the lingering sunset.
1:9:3|1:9:17|She not only received the admiration of the people in Chang'an City, but also stirred the heart of [Abe Nakamaro], all because of a glance at [Yang Yuhuan], planting a seed of love in his heart. [Abe Nakamaro] decided to confess his love to [Yang Yuhuan].
1:9:26|1:9:41|Following Abe Nakamaro's diary, Bai Letian and Kong Hai discovered the extravagant feast held by Tang Xuanzong 30 years ago to celebrate Yang Yuhuan's birthday. The city of Chang'an was brightly lit at that time, with fireworks bursting in the sky.
1:9:41|1:10:0|The tinkling laughter echoed in the ears. A dreamlike phoenix carriage slowly moved along Chang'an Street in the city. Even before the grand feast began, [Abe Nakamaro] was already seen following it with great excitement. He hurried through the crowded streets and soon arrived at the banquet venue, the Flower Brilliance Pavilion.
1:10:0|1:10:16|[Abe Nakamaro] is about to meet [Yang Yuhuan] here, and he can hardly contain his excitement. Suddenly, two mischievous girls appear in front of the building. They draw whiskers on their mouths to disguise themselves as men, peeking out from the doorway with a smile, watching the continuous stream of visitors outside.
1:10:16|1:10:28|[Abe Nakamaro] was amused by the two young girls and followed them through the crowd, finally arriving at the banquet hall. Above the hall, there were dancers with various expressions, like a painting unfolding before everyone's eyes.
1:10:29|1:10:43|Just as everyone marveled at how the dancer was flying in the sky and staying still, suddenly the wine pot hanging in the air poured out fine wine on its own, which flowed into the dancer's mouth in an instant. Before the dancer could savor it, the wine pot crashed to the ground and shattered.
1:10:43|1:10:48|Strangely, the fragments slowly grew into flowers. Then even more miraculous things happened.
1:10:48|1:11:3|The sea of flowers on the ground unexpectedly turned into a canvas, which was lifted by someone, and red wine slowly overflowed from underneath. In no time, a wine pool appeared. Above the wine pool, a flute suddenly appeared and lightly tapped it twice. A [White Robed Maiden] leaped out of the wine pool.
1:11:3|1:11:16|[White-robed Maiden] reached out to grab the flute, but the mischievous flute flew higher and higher. Unwilling to give up, [White-robed Maiden] stepped on a auspicious cloud and followed it up. They flew higher and higher, until they reached the sky. Finally, she managed to grab the flute in the clouds.
1:11:16|1:11:24|The flute had no choice but to obey, and soon the sound of the flute came from the sky, accompanied by the gentle patter of raindrops.
1:11:25|1:11:35|Some people were suddenly startled by the rain, some clapped and cheered, while others danced in the rain. [Abe Nakamaro] was once again amazed by the fantastic performance before his eyes.
1:11:35|1:11:48|It's strange, the [White-robed Maiden] playing the flute is clearly in the clouds, how could there be a shadow reflecting on the water surface, and the shadow is even separating from the [White-robed Maiden], suddenly turning into a water droplet falling rapidly downwards. Just before hitting the ground, it transforms back into a man.
1:11:48|1:11:56|The crowd was startled, thinking the man had accidentally fallen from above. Suddenly, the man somersaulted and landed steadily on a red line.
1:11:56|1:12:13|Using the bouncing power of the rope, the man soared into the sky again and pulled the girl playing the flute down. The two of them suddenly plunged into the wine pool, and the dancers beside the wine pool waved their sleeves together. The two of them transformed into two golden carps and dashed out. They intertwined in the air, gradually turning into two graceful young men.
1:12:13|1:12:32|The most amazing thing was that the boy's clothes changed from the red Ni Chang to the white feather robe. Their wonderful performance pushed the atmosphere to a climax, and everyone applauded. Abe was completely impressed by this fantastic performance. Just as he reached out to touch the dancer, the dancer suddenly turned into a wisp of green smoke and disappeared.
1:12:32|1:12:41|The performance came to an end, but the more exciting moment began as [Yang Yuhuan] appeared.
1:13:8|1:13:18|[Yang Yuhuan] did not answer, but instead asked [Gao Lishi]. As she walked forward, suddenly her skirt was stepped on, and when she turned around, she saw that it was the Emperor.
1:13:18|1:13:26|The emperor covered half of his face with his skirt, making everyone laugh heartily. The empress was also amused by the emperor, and the two of them walked to the center of the hall together.
1:13:29|1:13:40|A Taoist priest stood in front of the emperor and the empress, tossing a piece of origami into the air. The origami instantly transformed into a fierce tiger, causing the guests to flee in all directions.
1:13:42|1:13:56|As the fierce tiger leaped into the crowd, it suddenly transformed into pink petals floating in the air, shocking everyone once again with the scene before them. The Taoist performer concluded the act and explained to the Emperor and the Empress.
1:14:20|1:14:24|They would snatch the grapes that were almost in someone's mouth when no one was paying attention, and then take away the fine wine from a rich man's hands.
1:14:26|1:14:40|After finishing the wine, he casually threw the wine glass into the Taiye Pool, unexpectedly turning the glass into a magpie that flew away. As they ran past [Abe Nakamaro], they even threw him a bunch of grapes.
1:14:47|1:14:55|The two young men transformed into white cranes as they soared above the Huaye Xianghui Tower, undoubtedly adding a vivid touch to the feast of paradise.
1:14:56|1:15:10|Watching the white crane youth flying in the air, everyone was surprised, even the noble concubine. Reading this, [Bai Letian] was surprised to find that the demon cat had also appeared at the banquet.
1:15:22|1:15:28|[Li Bai] got drunk and was forcibly carried by [Gao Lishi] to the side of the Taiye Pool.
1:16:40|1:16:54|Gao Lishi didn't want to be framed by Li Bai, so he grabbed Li Bai's boots and pulled them off. Seeing his plan succeed, Li Bai happily crawled to the nearby wine pool and stuck his head in to drink.
1:17:3|1:17:14|The two were discussing the Empress's emerald hairpin when, upon turning around, they found the Empress standing behind them. In order to prove his identity and to show off, [Dan Long] intentionally transformed into a white crane in front of the Empress.
1:17:24|1:17:33|The noble concubine admired the handsome young man in front of her. [Dan Long] could only reluctantly offer his hands.
1:18:55|1:19:8|He recited while writing, slowly leaning back as if his thoughts flew to the sky nine thousand miles high. Tears welled up in his eyes as he continued to recite.
1:19:18|1:19:33|After reciting these two lines of poetry, a tear suddenly fell from the corner of his eye. He lifted his pen and continued writing behind [Gao Lishi]. [Li Bai]'s sometimes crazy and sometimes frantic state attracted many guests to watch. Finally, with a big stroke of his pen, he said to [Gao Lishi].
1:19:37|1:19:43|Li Bai threw his brush into the wine pool.
1:19:50|1:19:54|After finishing speaking, he left [Gao Lishi] aside and leaned against a rock to sleep, soon snoring loudly.
1:19:55|1:20:8|On this side, [Bai Letian] and [Kong Hai] have also found the Huaye Xianghui Building 30 years later. Time flies, and the once magnificent palace has now become overgrown with weeds and deserted.
1:20:8|1:20:17|The two pushed open the long-sealed door, searching around the hall. Finally, [Kong Hai] found something in the dried-up Taiye Pool and quickly called [Bai Letian] over.
1:20:19|1:20:26|It's a broken pen. [Bai Letian] carefully picked it up and showed it to [Kong Hai] excitedly, tears welling up in his eyes.
1:20:34|1:20:46|In his dream, [Li Bai] was awakened by [Gao Lishi]. In a daze, he suddenly realized that Yang Yuhuan was approaching him, which startled him. Fortunately, Yuhuan didn't mind [Li Bai]'s disheveled appearance and instead spoke to him gently.
1:21:25|1:21:32|The concubine was not angry, but instead walked over to him to remind him. It was when Li Bai was putting on his shoes.
1:21:43|1:21:48|Li Bai was stunned by the Empress's praise, watching her departing figure, Li Bai suddenly recited the poem he had just written.
1:22:36|1:22:41|The bright moon was already hanging high in the sky at some point, and in the blink of an eye, the feast of bliss was coming to an end.
1:22:42|1:22:50|At this moment, the Empress is accompanying the Emperor in the waterside pavilion by the lake, practicing calligraphy away from the bustling banquet, enjoying the wonderful time together.
1:22:51|1:22:59|The moment was interrupted by the sudden visit of [Abe Nakamaro], causing the Emperor to stop his pen and look at [Abe Nakamaro] in surprise, creating a tense atmosphere.
1:23:41|1:23:58|The Emperor put down his pen, walked up to [Yang Yuhuan], grabbed her shoulder, and looked at her face. [Abe Nakamaro] watched the Emperor gaze at [Yang Yuhuan] with such affection, feeling a myriad of emotions but not knowing where to begin.
1:25:1|1:25:9|The emperor drummed vigorously and engaged in combat with An Lushan, who wielded a curved knife. Everyone was worried that he would be injured by An Lushan, but he remained indifferent.
1:25:18|1:25:26|Indeed, An Lushan did not harm the emperor at all, but engaged in a passionate martial arts battle with His Majesty. The feast of extreme joy came to an end in such revelry.
1:25:29|1:25:45|The scene shifts to 30 years later, where [Bai Letian] and [Kong Hai] are following the diary of [Abe Nakamaro] to continue exploring the truth of the past. They row a boat to Yanqiu Gate, and before the boat even stops, [Bai Letian] excitedly runs ashore. Standing in front of Yanqiu Gate, he points ahead and says to [Kong Hai].
1:25:59|1:26:15|Following the direction pointed by [Bai Letian], the time has once again returned to 30 years ago. In the distant sky, billowing smoke filled the air, soldiers with long spears in hand were fleeing with their families from all directions, among them was Emperor Li Longji.
1:26:15|1:26:22|Who would have thought that the proud emperor at the feast of paradise would only last for ten days and then flee from the imperial palace in such a sorry state.
1:26:22|1:26:40|Walking forward with the support of the guards, he suddenly stopped for no apparent reason, remained silent for a while, then slapped the hat off the guard next to him. The guard quickly bowed in a gesture of apology, but he knew in his heart that the emperor was venting his anger on him.
1:26:41|1:26:50|This sentence is both addressed to the 100,000 soldiers and to oneself. Finally, they arrived at Ma Wei Inn overnight.
1:27:5|1:27:24|At this moment, the Emperor is standing on the dilapidated city wall, looking at the soldiers in the distance. Upon hearing the report from [Huang He], he slowly turns around, his gaze sharp, and as soon as he enters the room, he gives orders to the guards. With one command from the Emperor, the guards opened all the doors.
1:27:24|1:27:42|[Master Gao Lishi] was seen briskly walking towards the emperor with a plate in his hands, which he soon placed in front of the emperor. The emperor lifted the red silk cloth, revealing the blackened head of [Yang Yuhuan]. [Master Gao Lishi] forced himself to remain calm and continued to convey the message.
1:27:59|1:28:3|Abe Nakamaro behind him hurried forward when he heard the conversation between the two.
1:28:7|1:28:18|Abe approached the Emperor and whispered something. The Emperor looked towards the direction of the Empress upstairs, his eyes filled with sadness but a hint of a smile at the corner of his mouth.
1:28:21|1:28:26|The emperor turned around and asked [Huang He] to leave the hall. Abe, unwilling to give up, decided to try his luck and headed towards the direction of the second floor where the concubines were.
1:28:27|1:28:39|At this moment, she was sitting on a broken chair, quietly listening to Bai Long playing music. Hearing footsteps, she suddenly turned her head and noticed Abe.
1:28:42|1:28:48|She agreed to Abe's request, and the two of them moved to the side.
1:28:56|1:29:3|She remained silent for a moment before turning around and saying.
1:29:13|1:29:40|Instead of meeting Abe's gaze, she slowly walked past him. Just as the Emperor said, he lost. [Yang Yuhuan] rejected his plea. Abe said no more, bowed and turned to leave. Suddenly, [Yang Yuhuan] called out to him, tears welling in her eyes.
1:31:50|1:32:11|When everyone was at a loss, [Huang He] presented a plan to the emperor. In front of everyone, he ordered [Dan Long] to lie on a stone slab, then took out a silver needle and inserted it into [Dan Long]'s neck. Soon, [Dan Long] fell into a deep sleep, as if dead. [Huang He] explained to everyone.
1:33:10|1:33:16|While the Emperor was talking to [Yang Yuhuan], [Huang He] pulled out the silver needle from the neck of [Dan Long], and Dan Long's eyelids immediately twitched.
1:33:19|1:33:31|Huang He said that Dan Long could indeed get up after speaking, but he fell to the ground before taking a few steps. Bai Long quickly helped Dan Long up. Huang He explained to everyone.
1:33:35|1:33:41|Although Huang He said there was no major problem, Bai Long had some doubts in his heart. At this moment, Gao Lishi hurriedly offered his advice.
1:33:58|1:34:9|In the distance, a long sobbing sound could be heard. [Yang Yuhuan] looked at the Emperor expressionlessly. The Emperor dared not look at her, avoiding her gaze and softly asking [Huang He].
1:34:13|1:34:20|Huang He's response was like a reassuring needle, the emperor walked up to Yang Yuhuan.
1:34:36|1:34:52|[Bai Long] heard their discussion and immediately stepped forward to stop everyone. However, [Huang He] unexpectedly struck his left leg heavily with a stick, causing him to lean against a stone slab. He hoped [Yang Yuhuan] would resist her fate, but she seemed to be a bystander, calmly watching everything.
1:34:59|1:35:13|[Kong Hai] was convinced that they were going to bury the noble consort alive, which [Bai Letian] couldn't accept. While 30 years ago, [Yang Yuhuan] looked at the man she loved in front of her and just made a soft sound of agreement, even trying to force a smile.
1:35:13|1:35:22|After obtaining her consent, the Emperor immediately poured her a glass of wine. Without any hesitation, she picked up the glass and drank it all in one gulp before turning and heading upstairs.
1:35:23|1:35:36|Just as she took a few steps, she suddenly stopped, as if remembering something. She took out a sachet embroidered with the words "Jade Slave" from her sleeve and handed it to the Emperor. Her gaze followed the sachet to the Emperor, then to the crowd, filled with love and reluctance.
1:35:36|1:35:49|She immediately withdrew her gaze, afraid that if she looked for too long, she would no longer be willing to accept her fate.
1:35:59|1:36:18|Just like she's dead, [Yang Yuhuan] lies on the cold stone slab, just as the old lady said, she looks like she's asleep, even more beautiful than when she was awake. Looking at her body, [Huang He] asks [Gao Lishi].
1:36:32|1:36:36|Huang He finished speaking and Gao Lishi pointed at him anxiously.
1:36:43|1:37:2|[Gao Lishi] turned around, intending to plead with the Emperor for justice. However, when he saw the Emperor's expression, he knew that it was actually the Emperor's intention, so he had to bow his head and remain silent. The next morning, the commander of the Jinwu Guard, [Chen Xuanli], who is [Chen Yunqiao]'s father, was summoned to examine the body of [Yang Yuhuan].
1:37:2|1:37:12|He walked into the dilapidated palace where the emperor resided at the moment, holding his sword, under the gaze of thousands of generals. The tiles did not shield the rain, the walls did not block the wind, and the floor beneath his feet creaked, with the possibility of collapse at any moment.
1:37:13|1:37:30|He arrived on the second floor under the gaze of [Bai Long] and [Dan Long]. There lay [Yang Yuhuan] in a long dress, peacefully on the stone slab, as if she had not yet woken up. He couldn't help but admire her beauty and at the same time doubted her death. He glanced at [Dan Long] and [Bai Long] who were accompanying the noble consort.
1:37:30|1:37:37|Just then, the screams of [Gao Lishi] came from downstairs.
1:37:39|1:37:50|He looked in the direction of the sound and saw that the Emperor was beating [Gao Lishi] with a stick. Each strike made [Gao Lishi] roll on the ground. Amidst [Gao Lishi]'s cries,
1:37:59|1:38:4|Finally, after repeated strikes, Gao Lishi fell unconscious, leaving Tang Xuanzong stunned by the scene before him.
1:38:11|1:38:28|Emperor [Tang Xuanzong] was taken aback by the scene and panicked. He rushed downstairs, threw away his sword, and knelt in front of the Emperor, embracing his legs, begging for forgiveness.
1:38:37|1:38:44|He hysterically roared at [Master Konghai].
1:39:9|1:39:17|The rebellion ended with the death of [Yang Yuhuan].
1:39:56|1:40:4|Accompanied by the mournful meowing, the door of the ancient tomb was shut heavily, and [Bai Letian] stared blankly, asking with sadness in his voice, "Why is it raining so heavily?"
1:41:0|1:41:16|[Kong Hai] wanted to find the tomb of [Yang Yuhuan], so the two followed the clues left in [Abe Nakamaro]'s diary and crossed a forest in the water, and sure enough, they found an ancient tomb. Just as [Bai Letian] arrived at the entrance, a large group of flies swarmed out, and [Kong Hai] behind him decisively said.
1:41:28|1:41:40|Just as the two were puzzled about why the stone door was opened, the eyes of the stone statue on the wall suddenly moved. [Bai Letian] sensed something was wrong, so he quickly ran to the statue to check, but found nothing unusual. He was scared and hurried to call [Master Konghai].
1:42:6|1:42:14|The coffin was empty, and [Bai Letian] excitedly said to [Kong Hai].
1:42:18|1:42:23|Just as [Bai Letian] was getting excited, [Kong Hai] suddenly lay down in the coffin, leaving [Bai Letian] puzzled as he asked him.
1:42:33|1:42:43|Watching the determined look in [Kong Hai]'s eyes, [Bai Letian] had no choice but to follow suit. He struggled to close the coffin, leaving [Kong Hai] alone inside. Holding up a candle, [Kong Hai] carefully examined as if he had discovered something, suddenly a sound came from inside the coffin.
1:42:43|1:42:55|The sound of heavy blows. This scared Bai Letian outside the coffin, he exerted all his strength to finally push open the coffin lid, Kong Hai rushed out from inside, and then quickly hid behind the stone coffin.
1:42:56|1:43:13|He, who was puzzled, came to [Kong Hai] with a lantern and suddenly found that [Kong Hai] was crying at this moment. [Kong Hai] immediately avoided his gaze, turned his back and pushed the coffin lid. Without asking too much, [Bai Letian] had to help him push it together. The coffin lid was overturned to the ground by the two of them, revealing streaks of blood inside.
1:43:24|1:43:32|Both [Bai Letian] and [Kong Hai] cried as they looked at the bloodstains on the stone coffin lid.
1:43:33|1:43:49|The two looked in the direction of the sound and saw that the demon cat had also appeared in the ancient tomb at some point. The demon cat spoke as it jumped onto a coffin. Without answering Kong Hai's question, Bai Letian asked at this moment.
1:44:5|1:44:21|Listening to the narration of the demon cat, [Bai Letian] and [Master Konghai] were already in tears. At this moment, the demon cat turned around, and following its gaze, the two saw the scene of [Bai Long] limping with a torch, and [Dan Long] entering the ancient tomb 30 years ago.
1:44:21|1:44:32|They hurried forward, and after Bai Letian, Kong Hai, Bai Long, and Dan Long crossed gazes across time and space, Bai Letian finally realized that this was just another illusion created by the demon cat.
1:44:41|1:44:51|Just as [Bai Long] and [Dan Long] approached [Bai Letian] and [Kong Hai], the illusion of the young [Huang He] suddenly disappeared, and at this moment, a hint of sadness appeared on the face of the demon cat.
1:44:52|1:44:58|[Bai Letian] and [Kong Hai] are searching everywhere for the missing [Bai He] youth. At this moment, the demon cat behind them speaks again.
1:45:15|1:45:21|The demon cat once again uses illusion, and the scene returns to 30 years ago. Inside the ancient tomb, [Yang Yuhuan] lies covered in blood.
1:45:22|1:45:39|Bai Long and Dan Long looked at each other in shock, without much time to think. Bai Long quickly pulled Yang Yuhuan out of the tomb, and the illusion disappeared. The demon cat jumped in front of the two, Bai Letian asked excitedly. The demon cat did not answer.
1:45:41|1:45:56|The scene shifts to a waterfall hanging on the edge of a cliff, with a cave on the side of the cliff, where [Bai Long] is hiding [Yang Yuhuan]. [Bai Long] carefully feeds water to [Yang Yuhuan] with tree leaves, and behind him, [Dan Long] can't bear it and steps forward to speak.
1:47:39|1:47:47|After Bai Long finished speaking, he dragged his left foot and turned to walk into the cave. Dan Long called out to Bai Long from behind.
1:48:0|1:48:12|[Bai Long] looked at [Yang Yuhuan] lying on the stone bed and answered confidently. When [Kong Hai] inquired about [Dan Long], the demon cat showed a look of loss, and the scene returned to 30 years ago.
1:48:28|1:48:37|After [Dan Long] bid farewell to [Bai Long] in the sunset, the white crane youth was never seen in this world again.
1:48:38|1:48:42|[Bai Long] returned to the cave disappointedly, staring blankly at the body of [Yang Yuhuan] for a long time.
1:48:43|1:48:48|He knew that in this world, besides the corpse of [Yang Yuhuan], there was still that royal cat that could accompany him.
1:48:49|1:48:58|Seeing this, [Kong Hai] couldn't help but want to comfort the cat demon in front of him with his hand, but the demon cat was not grateful and turned away after leaving claw marks on [Kong Hai]'s hand.
1:49:0|1:49:19|Kong Hai did not blame the demon cat, because he knew it carried too much bitterness in its heart. Kong Hai further approached to ask about what happened next. Later, Yang Yuhuan's body began to decay, just like what had happened to Yu Lian at that time.
1:49:19|1:49:34|This really scared Bai Long. He nervously checked Yang Yuhuan's body and, upon seeing her festering wound, couldn't help but touch it. To his surprise, he was bitten by the insects inside.
1:49:35|1:49:50|[Bai Long] needed a piece of raw meat, so he looked at the imperial cat next to him and pulled out a dagger. The imperial cat seemed to sense its fate and closed its eyes. As [Bai Long]'s knife slowly approached the cat, at the last moment, [Bai Long] softened his heart and put away the dagger.
1:49:51|1:50:8|Suddenly he felt like there were worms wriggling in his hand. Oh no, he realized he had just touched the body of [Yang Yuhuan], he was also poisoned. He panicked and stood up, his survival instinct told him to leave quickly to find fresh meat, maybe he could still survive. But as he was about to leave, what about [Yang Yuhuan]?
1:50:8|1:50:17|Finally, he made a bold decision, taking out a dagger to cut open the skin of [Yang Yuhuan], and then using his mouth to suck out the worms on her body.
1:50:18|1:50:40|It turns out that [Bai Long] was using his own body as live bait to draw out the gu worms in [Yang Yuhuan]'s body. After a heart-wrenching scream from [Bai Long], the gu poison in [Yang Yuhuan] finally disappeared. He excitedly reached out to touch [Yang Yuhuan]'s face, only to find that his hand had already decayed.
1:50:40|1:50:55|He quickly tore open his shirt in fear, his body already gnawed by the insects until it was a bloody mess. Looking at his decaying body, he was extremely scared, but he only had one thought in his mind.
1:50:59|1:51:15|A strong wind blew, causing [Bai Long] to be bitten painfully by the venomous insects. Looking at Yumao, he realized that in order to survive and continue to accompany [Yang Yuhuan], he had to give up his own body. So he decided to discard his youthful body and transfer his soul into Yumao's body.
1:51:18|1:51:32|It seems that Bai Letian sensed the deep love for Yang Yuhuan behind his crazy behavior. So Bai Letian willingly came to his side, and they together completed this soul's journey. Bai Long succeeded.
1:51:32|1:51:42|He infused his soul into the body of the Imperial Cat, and from then on, the graceful and handsome youth [Bai Long] no longer existed in this world, nor did the Imperial Cat. They merged into one and became the present-day Demon Cat.
1:51:42|1:52:2|The demon cat approached [Bai Long], touched him with its claws, still holding hope that [Bai Long] would wake up, but there was no response. He turned into a lifeless body lying quietly on the ground. The demon cat stared at [Bai Long] with tears in its eyes. Upon hearing his narration, [Master Konghai] said sadly.
1:52:18|1:52:51|With a rush of water, [Bai Long]'s body was carried downstream into the water, as he stood at the edge of the cliff looking on, bidding farewell to his physical form. He turned back into the cave, continuing to accompany [Yang Yuhuan] day and night. How he wished the woman before him could wake up, could ask again. Unfortunately, he never heard it again.
1:53:13|1:53:28|He longed to help [Yang Yuhuan] open the heavy lid on the stone tomb, but he couldn't do it. He could only listen to [Yang Yuhuan]'s desperate screams over and over again. He was furious, he roared, and finally decided to seek revenge on Emperor [Tang Xuanzong].
1:53:28|1:53:40|The demon cat arrived at the Seven Star Pavilion. At this moment, the Emperor was looking at the final token left to him by [Yang Yuhuan], the sachet containing her hair. His reverie was interrupted by a cat's cry.
1:53:40|1:53:52|He has aged, his back is no longer as straight as before, his hair has turned white. He finally recognized that this was his imperial cat, hurried forward, and ended up slipping on the stairs by accident.
1:53:54|1:54:0|The emperor awkwardly lay on the stairs and asked the imperial cat, who immediately jumped in front of the emperor. The emperor then touched the cat's head and asked again.
1:54:14|1:54:37|He was extremely frightened, quickly got up, and stared at the demon cat, which also stared back at him. Terrified, he tried to escape by crawling away, but how could an old man escape from a demon cat? With a gentle leap, the demon cat pounced on the emperor. It bared its claws and scratched at the emperor's eyes, leaving him blind.
1:54:37|1:54:45|Hearing the emperor's screams of agony, the demon cat gleefully completed the first step of revenge. It turned out the emperor was blinded by the demon cat, and upon hearing the truth, Bai Letian was in a panic.
1:55:38|1:55:50|Faced with the roar of [Bai Letian], the demon cat just weakly responded and then left. The words of [Kong Hai] made it pause, but it did not answer, and finally it left with its head drooping.
1:55:51|1:56:3|It returned to the cave at the cliff edge in a daze, and as it reached the entrance, it seemed to see [Yang Yuhuan] standing elegantly under the cherry blossom tree, smiling. It was extremely excited, too overwhelmed to consider if this was real.
1:56:4|1:56:11|It rushes towards [Yang Yuhuan]. One step, two steps, then a leap, at this moment it only wants to fall into [Yang Yuhuan]'s arms, gently comforting her.
1:56:12|1:56:16|When it touched [Yang Yuhuan], she disappeared.
1:56:18|1:56:31|It let out a mournful cry, the sound echoing for a long time at the edge of the cliff. Suddenly, it rushed into the cave, and [Yang Yuhuan] was gone, she was actually gone, leaving only the jade hairpin picked up by [Bai Long] at the feast of paradise, and then disappeared.
1:56:31|1:56:42|The demon cat felt sorrow, anger, pain, and despair. All emotions surged up at once, and it let out a long roar towards the sky, then spat out a mouthful of blood.
1:56:42|1:56:51|The next morning, a watermelon and a box appeared in front of Master Konghai's house. Bai Letian picked up the watermelon, while Kong Hai held the box. The two of them entered the house, expressing their confusion.
1:56:54|1:57:6|[Bai Letian] was very puzzled, so he opened the box placed on the table by [Master Konghai]. Inside the box was a piece of paper with only four words written on it: "Feast of Paradise".
1:57:7|1:57:14|The two pushed open the door of the Huixi Building as agreed, and as soon as the door opened, they saw the [Demon Cat] crouching at the entrance.
