0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
0:48:47|0:49:5|This is an unknown space that he has never encountered before, presenting in front of him is a natural glacier cave. [Wu Fuchun] trembled as he took two steps forward, stood at the edge, mustered up the courage to look down at the abyss beneath his feet, so dark that the camera couldn't capture it.
0:49:5|0:49:28|The blizzard continued outside, making the wooden cabin appear tiny on the vast Antarctic wilderness. [Jing Ruyi], wrapped in fur, shivered as she lay on the bed watching the electric heater in the study. She never turned it on when she was alone. Meanwhile, [Wu Fuchun] ventured deeper into the darkness, squeezing through a bizarre hollow.
0:49:28|0:49:37|Wu Fuchun found himself at a dead end. He sighed, looked around, then retraced his steps to search for the next exit.
0:49:37|0:49:48|Twenty-eight days have passed in the blink of an eye, and the temperature inside the wooden house has remained at -5 degrees Celsius. At this moment, [Wu Fuchun] still hasn't found a way out, and no sunlight can penetrate the dim ice cracks.
0:49:48|0:50:3|Mental and physical exhaustion forced him to lie on the ground, but he knew the consequences would be unbearable if he continued like this. Thinking of this, [Wu Fuchun] mustered up his strength and tried to sit up. He propped his legs against the ice wall.
0:50:6|0:50:12|[Wu Fuchun] crossed his legs and stared fiercely ahead for a long time, then pointed to the fishing rod beside him.
0:50:25|0:50:34|[Wu Fuchun] stared at the fishing rod in silence for a long time, then looked up at the faint light shining through the ice.
0:50:38|0:50:50|In this isolated corner, the response [Wu Fuchun] desires is not forthcoming. [Wu Fuchun] purses his lips, watching the sunlight filtering through the ice, then lowers his head in contemplation. Suddenly, a sound behind him catches his attention.
0:50:50|0:51:4|[Wu Fuchun] turned his head alertly and saw a huge hole above. He quickly stood up and, upon seeing the full extent of the hole, couldn't help but open his mouth in shock. On the other side, [Jing Ruyi] was lying on the bed covered in fur, clearly sleeping restlessly.
0:52:54|0:53:13|Outside, the blizzard was raging, causing the wooden door to creak and the chandeliers inside the house to sway constantly. The small rods of the generator outside finally couldn't bear the weight and flew out, breaking the wires leading into the wooden house. The generator stopped working in an instant, as time passed by slowly.
0:53:13|0:53:45|At this moment, a silence fell, the sound of heartbeats clear and strong. [Wu Fuchun] was pinned under thick snow, unable to speak. After a long time, he finally managed to create a small space around him, allowing him to move his body slightly. In this pitch-black depth where he couldn't see his own hand in front of his face, he instinctively took out a lighter. The faint light from the lighter gave [Wu Fuchun] a glimmer of hope. With one hand holding the lighter and the other constantly climbing forward, his backpack on his back was difficult to drag through the snow.
0:53:46|0:53:58|The lighter suddenly went out, [Wu Fuchun] anxiously rubbed the lighter. The more anxious he was, the harder it was to light the lighter. After a while, the lighter finally lit up, and [Wu Fuchun] continued to crawl forward anxiously.
0:53:58|0:54:11|However, as soon as he made a slightly larger movement, the accumulated snow would fall continuously, once again extinguishing the flames. In this way, [Wu Fuchun] kept extinguishing and lighting the lighter, switching back and forth between climbing forward.
0:54:11|0:54:29|At this moment, [Wu Fuchun] held up his right hand in hopes of creating hope for himself with his left hand. Thick frost clung to the tips of his hair and eyelashes, and each time the lighter went out, it brought him great fear. [Jing Ruyi] lay in bed, holding the Guanyin pendant solemnly in the palm of her hand.
0:54:42|0:55:0|[Wu Fuchun] lit the lighter again, holding the pickaxe and continuously poking the accumulated snow in front. Each action brought him infinite hope, yet filled with unknown despair. Later, he voluntarily extinguished the lighter, using both hands to pick up the pickaxe and continuously shovel the accumulated snow in front.
0:55:0|0:55:17|The snow in front of him had long since turned into ice, and after shoveling for a long time, not much debris fell. [Wu Fuchun] couldn't resist the anxiety in his heart, lit the lighter again, and the speed of chiseling the ice with one hand holding the lighter in his right hand slowed down a lot, and the flame went out again.
0:55:17|0:55:29|[Wu Fuchun] shed tears of despair, his hands frozen in place. He then dropped the lighter and began chiseling desperately with a pickaxe. Through the ice, a faint glimmer of light could now be seen.
0:55:29|0:55:39|The temperature in the small cabin remains at minus 5 degrees Celsius. [Jing Ruyi], with her lower body exposed, drags her weary legs towards the shelf against the wall where canned goods are placed.
0:55:39|0:55:57|[Jing Ruyi], holding her breath, supported her left foot while grabbing onto a piece of rotten floorboard with her right hand, trying to stand up. However, the dilapidated floorboard couldn't withstand the force of an adult. Just as [Jing Ruyi] managed to stand up, she toppled over sideways, causing cans to roll all over the floor, and she fell down again.
0:55:57|0:56:3|Outside the window, the snowstorm shows no sign of stopping, [Jing Ruyi] leans against the shelf with her legs stretched out.
0:56:4|0:56:23|Crying and eating canned food at the same time, [Jing Ruyi] looked nothing like her usual self. The food in her mouth fell as she cried, with no sign of the weather outside improving. The snow on the roof had already exceeded half a meter in thickness, and the sound of frost forming on the windows was unusually clear.
0:56:23|0:56:42|[Jing Ruyi] turned around in confusion, only to see the frost on the glass getting thicker and thicker, making it impossible to see the outside of the house. Dragging her legs, she crawled out of the wooden house, the temperature inside and outside incomparable. With bare legs rubbing against the snow, she persevered and managed to crawl towards the generator.
0:56:42|0:56:48|When [Jing Ruyi] finally reached it, she found the rope and pulled it out with the last bit of her strength.
0:56:53|0:57:8|[Jing Ruyi] is too weak to ignite the generator. She grasps the rope with both hands, grits her teeth, and pulls hard outward. The rope is unexpectedly torn apart. She is thrown to the ground by the tremendous force, still holding the half-broken rope in her hand.
0:57:8|0:57:30|On the other side, a pickaxe emerged from the snow, and [Wu Fuchun] finally crawled out from the crevice. He turned around and, with his last bit of strength, pulled his backpack out from under his feet. The blizzard had stopped, and the sunlight was shining unobstructed on the ground. [Jing Ruyi] leaned against the generator, looking up at the sky in a daze, calm yet despairing.
0:57:30|0:57:48|After a long time, she looked at the discarded tin cans on the wooden box, the sharp cans opening their mouths wantonly. She stared blankly at the can lid, another idea sprouted in her mind. Before long, [Jing Ruyi]'s arm weakly drooped down, still holding the sharp can lid.
0:57:48|0:58:7|After completing all this, [Jing Ruyi] leaned against the wall with her head tilted, gently closed her eyes, and her other hand paralyzed on the ground. The absence of [Wu Fuchun] made her completely desperate and the failed self-rescue left her with no courage to live on. She didn't know that she was now the only hope left in [Wu Fuchun]'s heart.
0:58:7|0:58:22|Once out of the ice crack, [Wu Fuchun] hurried back without stopping for a moment, not daring to pause until he joyfully rushed into the open doorway, only to find no trace of [Jing Ruyi]. He immediately ran towards the generator and saw the figure that haunted his dreams.
0:58:22|0:58:37|At this moment, [Jing Ruyi]'s face was unusually tranquil, leaning quietly to one side. [Wu Fuchun] crawled over to her, lifted her wrist, and saw the bloody wound that had been cut.
0:58:39|0:58:50|In the hopeful gaze of [Wu Fuchun], [Jing Ruyi] slowly opened her eyes. Upon seeing [Wu Fuchun]'s face, she revealed a faintly relieved yet weak smile.
0:58:54|0:59:7|[Wu Fuchun] listened to these words with such sadness that he was on the verge of tears. He bent his back and held [Jing Ruyi] tightly in his arms, refusing to let go. From that moment on, their hearts were closely intertwined and they were unwilling to be apart.
0:59:7|0:59:23|[Wu Fuchun] fixed the generator and cooked a pot of soup on a small electric stove, while [Jing Ruyi] wrapped herself in a blanket and fur coat and sat back down on the lower bunk. [Wu Fuchun] took back her gaze and carefully carried the packed lunchbox to the bedside, sitting on the stool next to the bed.
0:59:27|0:59:38|After the robbery, [Jing Ruyi] who was reborn seemed not joyful. She lowered her eyes with a face full of disappointment. After a long time, she slowly reached out her hands to take the fish soup.
0:59:38|0:59:49|She stared blankly at the lunchbox in her hand, without any desire to eat. Finally, she averted her gaze and slowly placed the fish soup on her lap, [Wu Fuchun] looked up with a sense of grievance.
0:59:52|1:0:1|She chuckled self-deprecatingly with her head down again, and [Jing Ruyi]'s eyes finally focused in this moment as she lifted her head to gaze steadily at [Wu Fuchun].
1:0:2|1:0:8|[Wu Fuchun] looked at [Jing Ruyi] earnestly, with a hint of tears in his eyes.
1:0:10|1:0:26|At this moment, [Jing Ruyi] was already in tears, unable to look into the eyes of [Wu Fuchun]. [Wu Fuchun] held back his tears, his eyes filled with determination and perseverance. The snowstorm finally stopped, the dark clouds slowly dispersed, and peace returned to the front of the wooden house.
1:0:27|1:0:37|[Wu Fuchun] packed his bags again and prepared to leave. He looked back at the bed uneasily, while [Jing Ruyi] lay motionless on the side facing the wall.
1:0:37|1:0:48|[Wu Fuchun] knew she was still upset about his late return. Thinking about this, [Wu Fuchun] placed his backpack on the table and sat by the table, staring expressionlessly at this figure from behind.
1:1:1|1:1:9|After saying these words, [Wu Fuchun] quietly waited for a response from [Jing Ruyi], who remained motionless, only slowly opening her eyes.
1:1:9|1:1:31|[Wu Fuchun] walked out of the house without looking back after picking up his backpack, while [Jing Ruyi] silently pondered every word he had said, imagining everything [Wu Fuchun] had experienced that day. All that was done for the survival of the two of them.
1:1:31|1:1:40|Wu Fuchun, who narrowly escaped death, returned to the wooden house. He carefully inventoried all the remaining supplies in the house while also taking care of the weakened Jing Ruyi.
1:1:54|1:2:12|The thirty-fourth number on the wall has also been marked, and time is running out for them on the shoe stool. [Wu Fuchun] walks in the snow, looking down from above, only seeing a small black dot. Without a face mask, his nose has turned bright red from the cold, and his eyes are showing signs of discomfort.
1:2:12|1:2:22|Wu Fuchun blinked hard, trying to ease the discomfort, then squinted and looked around. Holding a pickaxe, Wu Fuchun walked forward slowly.
1:2:22|1:2:33|The discomfort in his eyes grew stronger, eventually forcing Wu Fuchun to stop and squint hard. His eyes continued to ignore the urge to blink, and upon closer inspection, one could see that his eyelids were bright red.
1:2:33|1:2:44|Conjunctival congestion, in order to relieve the pain, he grabbed two clumps of snow and pressed them against his eyes in an attempt to alleviate it. When he put down the snowballs, his eyes could hardly open.
1:2:44|1:2:56|He tried to squint his eyes, but found his vision blurred, only able to perceive light. Tears kept streaming down his face as he stared ahead in confusion, realizing after a while that he couldn't even recognize the direction.
1:2:56|1:3:15|Thinking of this, [Wu Fuchun] immediately crawled on the ground in a panic to search for the pickaxe. In front of him was a downhill road, but [Wu Fuchun] was completely unaware. He slipped and rolled down directly. Without the pickaxe at this moment, he could only let inertia carry him downhill. The heavy backpack made [Wu Fuchun] stand for a long time before he could get up.
1:3:15|1:3:30|Antarctica has very high visibility on sunny days. From the small wooden house, [Wu Fuchun] can clearly see that he hasn't left the house for long. Anxious to return, he stands in place for a while, pondering.
1:3:30|1:3:54|Finally identifying a direction, [Wu Fuchun] cautiously took a step forward, extending one leg to test the ground. After confirming the stability of this step, he dared to tremble as he took another step. With wide eyes, he tried to discern the general direction of the wooden house, looking around in confusion and uncertainty, although the wooden house should have been within his sight.
1:3:54|1:4:4|He couldn't find his way home, with the red thread on his woolen hat swaying back and forth, coupled with this tearless expression, he looked like a child who couldn't find his way home.
1:4:40|1:4:52|The response was like a beam of light, and he suddenly turned around and ran wildly in the direction of the sound.
1:5:13|1:5:23|[Wu Fuchun] finally let go of all his fears at this moment. He reached out and held [Jing Ruyi]'s hand, kneeling on the stairs by the wooden door, slowly moving closer to her.
1:5:23|1:5:42|[Jing Ruyi] reached out and cupped [Wu Fuchun]'s face in her hands, looking at his wind-chapped cheeks and lifeless eyes for a long time. Finally, she gently embraced him, and [Wu Fuchun] leaned on [Jing Ruyi]'s shoulder like a child.
1:5:42|1:5:50|[Wu Fuchun] The pain and grievances of this period finally burst out unrestrained at this moment.
1:5:58|1:6:5|She wrapped a snowball in gauze and gently pressed it against Wu Fuchun's eyes.
1:6:14|1:6:22|[Wu Fuchun] has been exhausted recently. He closed his eyes and fell asleep right after speaking.
1:6:25|1:6:44|[Jing Ruyi] looked at [Wu Fuchun]'s face and gently stroked his hair. The past exaggeration and emotions were worn away by this disaster, but life still had to go on. On that day, [Wu Fuchun] improvised by pouring a basin of snow into the cooking pot.
1:6:49|1:6:54|[Wu Fuchun] obediently turned a corner, avoiding the pillar in front and continued walking forward.
1:6:56|1:7:1|[Wu Fuchun] followed the command, changed direction again, and continued walking while kicking.
1:7:4|1:7:14|[Wu Fuchun] poured all the hot water from the pot into the basin in front of [Jing Ruyi], then placed the basin on the wooden table nearby and leaned against the table corner to rest.
1:7:23|1:7:29|[Wu Fuchun] glared indignantly at [Jing Ruyi], then turned around and walked forward with quick steps.
1:7:31|1:7:42|[Jing Ruyi] watched as [Wu Fuchun] clumsily moved, a small smile involuntarily appearing on his lips. Then, without hesitation, he picked up a small pair of scissors and cut off his own hair.
1:7:42|1:8:1|For [Jing Ruyi] and [Wu Fuchun], it was a new beginning. She picked up the jar and poured the hot water from the basin over her head, then closed her eyes lightly, feeling the warmth of the water. After washing her hair, she squeezed out the water, then sat on the bench with her legs bent, using a towel to wipe her shins.
1:8:1|1:8:19|She secretly glanced at [Wu Fuchun], only to see [Wu Fuchun] obediently squatting at the door with his back to her, which made her feel a little strange. She noticed some red spots on the inside of his arm, and after a simple bath, [Jing Ruyi] asked [Wu Fuchun] to sit back on the bench and carefully trimmed his beard.
1:8:33|1:8:45|[Jing Ruyi] stopped her movements, looking gently into [Wu Fuchun]'s eyes, unaware that [Wu Fuchun] could clearly see her eyes through the gauze strip. A smile appeared on his face.
1:8:45|1:8:59|Infected, [Jing Ruyi] also smirked. [Wu Fuchun] carefully touched [Jing Ruyi]'s face, pushing her stray hair aside, then nervously swallowed. Holding [Jing Ruyi]'s face, he slowly bent down, causing [Jing Ruyi] to furrow her brow.
1:9:2|1:9:6|[Jing Ruyi] felt embarrassed and plunged into [Wu Fuchun]'s chest.
1:9:9|1:9:25|On that day, Wu Fuchun, who had lost his sunglasses, acquired a new piece of equipment, which was Jing Ruyi's underwear. Wu Fuchun fastened the underwear over his eyes.
1:9:28|1:9:36|Ruyi chuckled indulgently, then lowered her head to earnestly write and draw on the notebook.
1:9:47|1:9:59|Ruyi looked up in surprise, only to find Wu Fuchun's gaze fixed on her chest. She quickly sat up straight and covered her open collar, but in fact, Wu Fuchun was not looking at her chest.
1:9:59|1:10:19|Only to see him with a solemn expression, kneeling straight with hands clasped in front of him, devoutly closing his eyes, [Wu Fuchun] then noticed the Guanyin pendant hanging on her neck. Holding the pendant and looking at the man who was devoutly worshipping in front of her, [Jing Ruyi] was finally moved. She suppressed her emotions and solemnly held up the pendant to [Wu Fuchun].
1:10:19|1:10:37|[Wu Fuchun], after getting enough rest, packed up his belongings and headed towards the door. At this moment, a fierce snowstorm was raging outside. Suddenly, [Wu Fuchun]'s hand, reaching for the door latch, hesitated and then pulled back. He took a few steps back, standing in a place where Ruyi could see him. Ruyi sat on the bed, looking towards [Wu Fuchun].
1:10:39|1:10:48|[Wu Fuchun] stood at the door without saying a word, but the words were like a shot of adrenaline, lodging in his heart. He opened the door without hesitation, and the strong wind and snow immediately blew the wooden door open.
1:10:56|1:11:7|[Wu Fuchun] stood in front, braving the snow as he walked out of the wooden house. He buttoned his undershirt over his eyes, acting as sunglasses, and [Wu Fuchun] looked around, getting used to the environment in front of him.
1:11:7|1:11:18|Following the planned direction, with less and less time left for them, he must seize every opportunity to go out. This time, [Wu Fuchun] was much slower.
1:11:18|1:11:30|He walked cautiously in the snow, and after some time, the seabirds around caught the attention of [Wu Fuchun]. He saw the seabirds circling above the mountain peak for a moment before flying further away.
1:11:30|1:11:41|[Wu Fuchun] continued to walk in the direction where the seabirds flew, basking in the warm sun. As he climbed a hill and looked down, he spotted a chubby seal that was not afraid of humans.
1:11:41|1:11:52|Even when seeing [Wu Fuchun], [Jing Ruyi] lazily pats [Wu Fuchun] on the tail, then sits down next to the seal, lifts the eye mask and blinks hard, and finally lazily lies down in the snow.
1:12:30|1:12:37|[Wu Fuchun] looked affectionately at the seal twisting and turning beside him, holding onto his gloves.
1:12:42|1:13:0|The seal seemed to understand Wu Fuchun's muttering, raised its head and gave him a disdainful look. Inside the wooden house, Jing Ruyi was sitting on the bed, holding a small mirror and carefully examining herself. Her lips were already dry and peeling, and the dark circles under her eyes were getting worse, even so.
1:13:0|1:13:19|She still tried to bring a smile to her face, while [Wu Fuchun] was curiously sticking his butt out to observe the fish swimming beneath the ice. In order to see more clearly, he was lying quite low. These fish were ready-made food in [Wu Fuchun]'s eyes, until he saw a giant whale swimming past the ice surface.
1:13:19|1:13:33|His face turned ashen in an instant, [Wu Fuchun] remained motionless, quietly lying on the ice waiting for the departure of this huge creature. The ice, already cracked, shattered under the tail swipe of a giant whale.
1:13:33|1:13:51|[Wu Fuchun] didn't have time to escape. He sat on the ground in a panic, shuffling back a few steps, and fell directly into the water. The sea water was swift and unfathomable. His eye protection underwear and woolen hat were washed away, and unfortunately, one of [Wu Fuchun]'s shoes also fell into the deep sea and disappeared without a trace.
1:13:51|1:14:8|But at this moment, [Wu Fuchun] was too preoccupied to care about these. He exerted all his strength to swim to the uppermost level, but due to the refraction of light causing visual distortion, he brushed past the ice cave and collided with the ice layer. Helpless, he had to swim to another place to continue searching for an exit.
1:14:8|1:14:28|However, no matter how many times he tried, he still only hit the ice surface and couldn't see the exit clearly. [Wu Fuchun] had never been so desperate, and the prolonged breath-holding led to lack of oxygen in his brain. He finally exhaled his last breath, [Wu Fuchun] helplessly opened his eyes, hands still raised above his head, slowly sinking towards the seabed.
1:14:28|1:14:44|Suddenly, some magical creatures resembling torpedoes swiftly entered the seabed, swimming agilely. They circled around [Wu Fuchun] before diving towards the ground. He looked up in confusion and saw these penguins all rushing in the same direction.
1:14:44|1:15:7|That was the exit, [Wu Fuchun] seemed to see the hope of life, desperately swinging his arms towards the direction of the penguins, holding his breath, he managed to swing his limbs with sheer willpower, effortlessly swimming upstream as these little penguins easily leaped out of the ice, waddling forward. With their help, [Wu Fuchun] finally clung to the ice surface, panting for several breaths.
1:15:7|1:15:16|Still struggling to climb out, [Wu Fuchun] curled up on the ice, shivering with arms crossed, hat, backpack, and shoes all gone.
1:15:16|1:15:43|It has become extremely difficult for [Wu Fuchun] to survive here. He is seen staggering forward barefoot, desperately opening his coat pocket to take out a few fruit candies. [Wu Fuchun]'s hands are already frozen, unable to tear open the candy wrappers. Accidentally, he drops the candy on the ground and struggles to pick it up. Trembling, he puts it in his mouth and chews. These fruit candies are his only source of energy at the moment.
1:15:43|1:16:0|In the blink of an eye, the weather in Antarctica turned windy and snowy again. [Wu Fuchun] didn't know how long he had been walking, and now he was crossing a plain after passing through a hill. Without the protection of anti-skid boots, his right foot had already frozen stiff, and his clothes had been frozen into a block by the wind and snow.
1:16:0|1:16:18|With frost on his eyebrows and eyelashes, his face stiff and eyes unfocused, [Wu Fuchun] relied on sheer determination, subconsciously swaying his body. He knew he couldn't collapse, as someone was waiting for him to come home. And so, [Wu Fuchun] braved the biting cold wind, step by step, making his way home.
1:16:19|1:16:28|At this moment, [Jing Ruyi] is lying on the bed pretending to sleep, suddenly awakened by the sound of the generator outside. She opens her eyes and looks at the electric heater.
1:16:30|1:16:46|[Wu Fuchun] trembled as he walked into the room, closed the door and leaned on the shelf. Limping through the doorway, [Wu Fuchun]'s face had turned a dark purple from the cold. Upon seeing [Jing Ruyi] safe and sound, he could no longer hold on and collapsed straight to the ground.
1:16:55|1:17:8|[Jing Ruyi] knelt beside [Wu Fuchun], immediately helping him remove his clothes and gloves as he lay unconscious on the ground. Allowing [Jing Ruyi] to manipulate him, [Jing Ruyi] propped up [Wu Fuchun]'s upper body and tossed aside the ski suit frozen into an ice shell.
1:17:8|1:17:19|On the side, she also pulled off the damp down jacket from inside, then she untied [Wu Fuchun]'s shoes, took off his socks, and his right foot, without a shoe, had long been frozen into a dark purple color.
1:17:19|1:17:31|At this moment, [Jing Ruyi] looked at [Wu Fuchun] with worry and fear in her eyes. She calmly took off her coat, realizing that the only way to save him at this moment might be to keep each other warm.
1:17:32|1:17:50|[Wu Fuchun] transformed like this for his own sake. [Jing Ruyi] stripped off all her clothes, pressed her naked body against [Wu Fuchun]'s freezing red chest, rested her head on his chest, slowly transferring her body heat to him. [Jing Ruyi] closed her eyes, hugged [Wu Fuchun] tightly, and fell asleep.
1:17:50|1:18:4|After the wind and snow stopped, the dark clouds dispersed, and the sun once again hung high in the sky over the Antarctic. The wooden cabin was bathed in warm sunlight, and the electric heater was still glowing. [Jing Ruyi] and [Wu Fuchun] lay on the floor next to the square table, still asleep.
1:18:4|1:18:17|[Jing Ruyi] carefully laid a blanket on the ground and covered both of them with it. By now, the chill on [Wu Fuchun]'s body had faded away, and his skin color returned to normal. He opened his eyes in confusion and stared blankly for a moment.
1:18:17|1:18:29|After confirming that he was still alive, [Wu Fuchun] took a deep breath and stared blankly at the ceiling. In these few short seconds, he had already replayed everything that had happened in his mind.
1:18:29|1:18:39|Without moving a muscle, he quietly turned his head to look at the girl lying naked next to him, still sound asleep. [Wu Fuchun] abandoned his usual arrogant demeanor.
1:18:39|1:18:52|Indulgently gazing at the sleeping face of [Jing Ruyi], he couldn't help but smile slightly, then nervously swallowed his saliva, inching his head closer to [Jing Ruyi], but just as [Wu Fuchun] was about to kiss [Jing Ruyi].
1:18:52|1:19:4|Suddenly smelling an unknown odor, Wu Fuchun rushed up to the ski suit next to the electric heater in one swift step, holding the ski suit in his arms. A large hole had already been burned on the shoulder.
1:19:4|1:19:15|Through this big hole, he saw the awakened [Jing Ruyi], [Wu Fuchun] looked at the hole that had already started to fly away with a heartache, responding to [Jing Ruyi] with an puzzled look, after [Jing Ruyi] turned her head away as if avoiding suspicion.
1:19:15|1:19:33|He understood the look in [Jing Ruyi]'s eyes just now, quickly covering his lower body with clothes. The two looked at each other in silence. With his ski suit torn, [Wu Fuchun] could only wrap himself in a thick blanket. On that day, he kept digging in the snow with a shovel. Gradually, a black shoe sole emerged. [Wu Fuchun] stopped moving.
1:19:38|1:19:53|[Wu Fuchun] carefully used both hands to cover up Natasha's feet with snow. He took off Natasha's boots and put them on his own feet. These unremarkable non-slip boots were actually a crucial factor in their survival.
1:19:55|1:20:14|The sudden knocking at the door startled [Wu Fuchun] and he immediately stood up. Feeling a bit panicked, he dropped the lunch box and rushed to the door. [Jing Ruyi] also stood up anxiously. As [Wu Fuchun] opened the wooden door, he was instantly chilled to the bone. He carefully scanned the surroundings but found nothing.
1:20:14|1:20:30|[Jing Ruyi] looked worriedly at the door while [Wu Fuchun] stood at the door looking around for a long time, but didn't see anyone. He was wearing a sweater that couldn't withstand the cold wind at the door, and after a while, he slowly closed the door.
1:20:31|1:20:38|[Jing Ruyi] anxiously shifted her gaze from the door to the window.
1:20:42|1:20:54|Ruyi furrowed her brows and suddenly remembered the shoes of the little deer.
1:20:56|1:21:6|The two of them stared at the door without blinking, but when the wooden door was blown open, they were so scared that they lost their wits. [Wu Fuchun] jumped onto the table and curled up into a ball.
1:21:6|1:21:18|Ruyi pulled [Wu Fuchun] and buried her head tightly in his arms. [Wu Fuchun] then picked up the lunchbox beside him and held it above his head, bravely staring at the door without blinking. At this moment, their nerves were stretched like bowstrings.
1:21:18|1:21:29|At any moment it could break, a gray figure can be seen through the frame, passing through the entrance, walking towards the room, a chubby little penguin appears in front of the two.
1:21:29|1:21:50|[Wu Fuchun] and Ruyi burst into laughter when they see the little penguin, who shows no fear at all. As the humans wobble towards the center and look around, the penguin walks around the room. [Wu Fuchun] quickly jumps off the table, picks up the clothes on the table, and carefully approaches the penguin, who is curiously observing.
1:22:5|1:22:12|Wu Fuchun looked at the chubby penguin in front of him unwillingly, then glanced at Jing Ruyi.
1:22:12|1:22:29|Dejectedly throwing the clothes on the ground, sitting at the end of the bed in a huff, the silly penguin curiously looked at the clothes in front of it, stretched its neck and poked its head in. [Wu Fuchun] looked eagerly at the little penguin covered with clothes, unable to help but blink his eyes.
1:22:34|1:22:41|The little penguin hit a pillar and fell down in a daze, with [Wu Fuchun] looking at the penguin helplessly.
1:22:51|1:23:2|[Wu Fuchun] frowned and looked disapprovingly at Ruyi, then shifted his gaze to the penguin. The little penguin stood obediently in front of [Wu Fuchun], who looked back at Ruyi with a face full of coquettishness and pleading expression.
1:23:26|1:23:33|[Wu Fuchun] reached out to touch the chubby one but got pecked instead. However, it hopped in front of [Jing Ruyi] and let her pat its head.
1:23:36|1:24:0|[Wu Fuchun] looked at the chattering bird and person with a smile on his face. Time waits for no one. [Wu Fuchun] once again set out to find the Antarctic research station. [Jing Ruyi]'s leg had improved after a long period of rest. In his spare time, [Wu Fuchun] even made a simple crutch for him to use. The chubby penguin successfully joined the family and mischievously wandered around while [Wu Fuchun] cooked.
1:24:0|1:24:12|Pecking at his legs, a game that the two of them often play with great pleasure. Every time the two are at home, they will seek direction and redefine it. [Wu Fuchun] will also offer some constructive suggestions based on experience.
1:24:12|1:24:24|[Wu Fuchun] still slept on the upper bunk. Every time [Jing Ruyi] woke up, the look in her eyes towards the upper bunk was no longer cold and indifferent, but filled with tenderness. She reached out her hand and quietly touched the fingertips of [Wu Fuchun] hanging down.
1:24:24|1:24:35|Time flies, [Jing Ruyi] can finally stand steady with a cane. With the help of [Wu Fuchun], [Jing Ruyi] took a few steps with the cane, and 48 days passed in the blink of an eye.
1:24:35|1:24:44|[Wu Fuchun] stood on the mountaintop, looking out. He brought a sled and had [Jing Ruyi] sit on it, pushing her quickly towards the top of the slope.
1:24:59|1:25:15|Little Fatty still enjoys pecking at [Wu Fuchun]'s buttocks while he cooks. During this time, the two are not obsessed with finding the research station, but rather prefer to spend a lot of time with each other. [Wu Fuchun] picks up a fish and throws it far away, watching Little Fatty stagger, creating a unique charm.
1:25:15|1:25:25|55 days have passed, and the food is getting scarcer. [Wu Fuchun] quietly leaves the canned food for [Jing Ruyi].
1:25:26|1:25:38|[Wu Fuchun] puts the fish back into [Jing Ruyi]'s bowl, using a diminished tone to disguise his care. After the meal, [Wu Fuchun] gathers all the empty cans and bottles into a box and throws them outside the wooden house.
1:25:38|1:25:48|On the diesel tank beside, the clear scale shows that there is only a little diesel left. [Wu Fuchun] occasionally pushes the sled, taking [Jing Ruyi] to the nearby hillside to relax.
1:25:48|1:26:6|On this day, the two sat side by side at the edge of the snowy cliff. Suddenly, [Jing Ruyi] felt blood flowing from her nostrils, and she understood what it meant. Leaning slowly on [Wu Fuchun]'s shoulder, [Wu Fuchun] smiled, embraced [Jing Ruyi]'s shoulder, and held her tighter.
1:26:6|1:26:22|The poster has been filled with [Jing Ruyi]'s paintings, she divided the south into 30 directions. [Wu Fuchun] searched for a full 60 days, but still found nothing. One day, after [Wu Fuchun] went out, he stood in the snow holding a black stone, carefully examining it.
1:27:24|1:27:30|[Wu Fuchun] handed the stone to [Jing Ruyi] as if presenting a treasure, and [Jing Ruyi] took the stone and examined it for a while.
1:27:40|1:27:47|Suddenly, it seemed as if a stone at the bottom had melted and sunk in, and [Wu Fuchun] couldn't help but lean in to smell it.
1:28:10|1:28:30|[Wu Fuchun]’s ecstatic smile suddenly froze on his face, [Jing Ruyi] realized and quickly covered her nose, but the blood still couldn't stop flowing. She lowered her head, frantically wiping the nosebleed. No matter how hard she tried, she couldn't clean it up. Looking at [Wu Fuchun] with a hint of sadness in her eyes, she still mustered up the spirit to smile reassuringly at him.
1:28:31|1:28:39|[Wu Fuchun] lies facing the wall, while [Jing Ruyi] faces inside the room with a hint of confusion in her eyes.
1:30:21|1:30:32|[Wu Fuchun] lay on his back, covering his eyes with his arm, trying hard to hold back tears. After saying these words, [Jing Ruyi] also sadly buried her head in the pillow.
1:30:32|1:30:45|Suddenly, [Wu Fuchun] seemed to have made a decision. He climbed down from above, lit a candlestick and placed it on a wooden table. Behind the candlestick was a statue of the Virgin Mary. [Wu Fuchun] knelt in front of [Jing Ruyi] with one knee.
1:31:23|1:31:31|[Jing Ruyi] looked at [Wu Fuchun] in front of her, choked up and unable to speak. [Wu Fuchun] made a gesture of holding a ring box in the air and raised it in front of her.
1:31:44|1:31:49|[Wu Fuchun] carefully took out the imaginary ring from the box and held it up in front of [Jing Ruyi].
1:32:54|1:33:11|[Jing Ruyi] cried uncontrollably, reluctant to look at [Wu Fuchun] in front of her, and couldn't help but throw herself into his arms. [Wu Fuchun] held [Jing Ruyi] firmly, refusing to let go, and at that moment they no longer needed to hide their emotions. They cried openly and honestly, for them
