0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
0:54:22|0:54:39|Wu Tian stared intently at Li Ningyu in front of him, as if trying to see through this woman. On the other side, Wang Tianxiang came to Gu Xiaomeng's room and knocked on the door, but there was no response from inside. Wang Tianxiang persisted in asking.
0:54:40|0:54:51|The room was still silent. [Wang Tianxiang] was eager to know what was happening, but also worried that being too obvious would expose the listening devices. Just then, [Gu Xiaomeng] opened the door.
0:55:0|0:55:8|[Gu Xiaomeng], who was about to close the door, was stopped by [Wang Tianxiang]. [Wang Tianxiang] took out a box of snacks and gave it to her.
0:55:16|0:55:34|She gently took the snacks handed to her by [Wang Tianxiang] and cursed under her breath. In the interrogation room, [Wu Tian] brought in a box. The box was not big, but when opened, it contained a complete set of tools, like a medical kit. Inside, there were three small drawers.
0:55:36|0:55:53|Every layer is densely packed with stainless steel tools. [Wu Tian] takes out a small knife from it. [Wu Tian] selects tools from the box.
0:56:2|0:56:11|He calmly put on the white gloves as if preparing for an important surgery. He walked over with his tools,
0:56:21|0:56:41|Wu Tian reached out to unbutton Li Ningyu's collar, but Li Ningyu dodged backwards. Li Ningyu's final stubbornness was looking away with her head tilted. Tears rolled down Li Ningyu's beautiful face, she tilted her head up, trying not to let the tears fall.
0:56:42|0:56:49|Takeda unbuttoned all the buttons of the cheongsam from the collar to the hem. Takeda gently took off her cheongsam, muttering to himself.
0:56:52|0:56:58|Stripped of her cheongsam, [Li Ningyu] was left with only two thin pieces of underwear. [Wu Tian] continued to brainwash with anatomical knowledge.
0:57:0|0:57:5|[Li Ningyu] collapsed, standing naked in front of this person at the moment. [Wu Tian] slowly lifted her head,
0:57:13|0:57:28|He took out a caliper to measure the size of Li Ningyu's nose, then the mouth, step by step down to the ankle. Li Ningyu's privacy and dignity were completely disregarded at this moment.
0:57:31|0:57:39|Li Ningyu recalled the first time she saw the stage actor Liu Linzong.
0:57:46|0:58:1|At that time, she was watching him joyfully from the audience, and as their eyes met, sparks of love flew. In the dungeon, [Bai Xiaonian] had become a floating corpse, drifting in a dirty pool. With the power outage tonight, too much had already happened.
0:58:2|0:58:16|The characters on the net pattern once again revealed Chinese characters: there is already a countermeasure, just need the help of God. The commander sat back on the sofa with his eyes closed.
0:58:32|0:59:2|The death of Bai Xiaonian made the commander somewhat absent-minded. Wu Tian on the side sofa nodded unwillingly, then gestured to the soldiers.
0:59:3|0:59:12|[Wang Tianxiang] lowered her head, afraid of angering the commander again. [Wu Tian] solemnly adjusted his gloves.
0:59:22|0:59:29|His gaze was sharp, staring ahead, [Wu Tian], who thirsted for the glory of the family, was about to embark on a grand ambition. One morning a month ago,
0:59:39|0:59:46|The military officers in the meeting room called out his name again and again. [Wu Tian] looked up and slowly stood up.
0:59:48|1:0:7|The officer's face changed, his mouth twitched. The officer, instead of getting angry, smiled. He suddenly restrained his smile.
1:0:8|1:0:27|The officer's voice grew louder as he crushed the dignity of the Wu family in front of a group of senior officers. Wu Tian did not explain, but just stared at him intently as he sat down slowly.
1:0:28|1:0:35|Just as [Wu Tian], who had just sat down, suddenly pushed himself up with both hands, leaped onto the table, and pounced on the senior officer who had just mocked him.
1:0:36|1:0:49|Wu Tian pinned him to the ground, venting his anger, while other officers rushed up to pull them apart. When the officer was helped up, his face was pierced by a pen.
1:0:50|1:0:59|The scene shifts, with Wu Tian wearing a cloak, standing on the rooftop gazing into the distance. [Wang Tianxiang] walks up from behind, frowning and bowing to report to Wu Tian.
1:1:0|1:1:6|The two observed the situation through binoculars.
1:1:25|1:1:56|Wu Tian put down the telescope and came up with a plan, saying to the frowning [Wang Tianxiang]. [Wang Tianxiang] immediately understood and left with his entourage. Inside the room, [Gu Xiaomeng] was sitting on the sofa sewing, while [Wu Zhiguo] and [Jin Shenghuo] were bored playing chess. Just then, [Wang Tianxiang] walked out.
1:2:11|1:2:19|On the open space of the cliff in Qiu Zhuang, a long table was set up, with a band playing by the railing and kimono-clad women dancing ahead.
1:2:20|1:2:36|[Wu Zhiguo] applauded as Wu Tian stood up to speak. Wu Tian, dressed in a suit, stood up. After speaking, he raised a glass of clear wine and drank it all. [Wang Tianxiang] smoked a cigarette, squinting his eyes as he looked into the distance. In the distance, the head chef assigned tasks to the cripple, he said.
1:2:38|1:2:57|This was arranged early by [Wang Tianxiang], who was secretly observing the progress of the plan. [Li Ningyu] was busy drinking heavily, pouring foreign liquor into her mouth. Old Lu, holding a cigarette and a tray, limped towards the dining table. He comically swayed his body and arrived next to [Wu Zhiguo].
1:2:57|1:3:11|Putting down the tray, he bent down to pick up the bone plate. Beside him, [Wu Zhiguo] sat smoking indifferently. Lao Lu tidied up the bone plate and then went to [Jin Shenghuo]'s side. He slowly bent down to pick up a chopstick from the ground and stood up.
1:3:11|1:3:28|[Gu Xiaomeng] also collected the other chopstick from [Jin Shenghuo]'s side into the tray. Then, he picked up the remaining dish with both hands and put it back on the tray. [Jin Shenghuo] even made way for him, while [Wang Tianxiang] kept a close eye on every move. At this moment, Old Lu came to [Li Ningyu]'s side.
1:3:29|1:3:36|[ Jin Shenghuo ] across the way looked at her in confusion.
1:3:40|1:4:5|She shouted at Director [Wang] who was staring at Old Lu. Old Lu quickly arranged the tray and avoided [Li Ningyu]. Faced with [Li Ningyu]'s gaze, Director Wang responded with a smile. [Wu Tian] picked up a cigarette to light it, and [Li Ningyu] kept flipping plates onto [Wu Tian].
1:4:24|1:4:44|He reluctantly threw away the match, spat out, and returned to the room. [Wang Tianxiang] sat at the table, next to the window curtain, and [Wu Tian] turned around and walked towards him.
1:4:55|1:4:58|[Wang Tianxiang] had a grim expression and swallowed hard.
1:5:44|1:5:54|[Wang Tianxiang] felt that he had seized the opportunity and was extremely excited.
1:5:55|1:6:14|[Wu Tian] lit a cigarette, sitting across from [Wang Tianxiang] who picked up a match, bent over and lit the cigarette for [Wu Tian]. After the cigarette was lit, [Wu Tian] took two puffs, staring into [Wang Tianxiang]'s eyes. Suddenly, secret agents stormed into the room.
1:6:18|1:6:32|In the West Tower interrogation room, a group of people gathered around a long table. On the table lay the body of [Bai Xiaonian]. [Wang Tianxiang] paced around the table, casting a glance at the military officers present.
1:7:2|1:7:9|[Jin Shenghuo] was overwhelmed by this aura, feeling at a loss for what to do.
1:7:39|1:7:50|[Jin Shenghuo] pulled out a gun to threaten the secret agents and [Wang Tianxiang]. Feeling scared, [Jin Shenghuo] couldn't help but have a slight tremble in the hand holding the gun.
1:8:1|1:8:10|[Jin Shenghuo] aimed at his temple and shot himself, committing suicide. His colleagues who had been together day and night lost their lives at this moment, leaving everyone feeling heavy-hearted.
1:8:11|1:8:36|[Wang Tianxiang], who had checked the body, turned and left, leaving everyone stunned in place. As night fell, darkness would soon descend on this small island. In the interrogation room, two bodies lay horizontally, and in just two days, there had been frequent changes. The once high-ranking officers of the command headquarters not only lost their former spirits at this moment,
1:8:36|1:8:45|One by one, they were exhausted and fearful. This was just the beginning. The sound of the door being smashed startled everyone in the interrogation room.
1:8:57|1:9:23|[Li Ningyu] was taken away by two secret agents without a word. [Gu Xiaomeng] looked at Captain Wu in confusion. As [Li Ningyu] was dragged through the dim and damp corridor, she couldn't resist, let alone fight back, and was dragged all the way to the corner. The leading agent stopped. [Li Ningyu] trembled like chaff.
1:9:25|1:9:31|After issuing a warning, two secret agents escorted [Li Ningyu] towards the elevator. Once inside, soldiers closed the two elevator doors.
1:9:37|1:9:55|The elevator slowly ascended, taking [Li Ningyu] away from this earthly purgatory. Meanwhile, in the office upstairs, [Wang Tianxiang] and [Wu Tian] sat on the sofa. On the other side, the eavesdropper with headphones was ready to record at any moment.
1:9:58|1:10:7|[Wu Tian] leaned against the sofa without saying a word, listening to the tape spinning in the recorder.
1:10:57|1:11:4|[Gu Xiaomeng] was being choked by [Wu Zhiguo].
1:11:7|1:11:23|[Wang Tianxiang] picked up a wooden chair and knocked out [Wu Zhiguo]. In the living room, [Wang Tianxiang] brought a cup of tea for [Gu Xiaomeng] and sat down, looking at the exhausted [Gu Xiaomeng]. With red eyes and trembling lips, [Gu Xiaomeng] sat there.
1:11:24|1:11:47|The continuous pressure over the past few days has gradually worn down [Gu Xiaomeng]'s spirit. Wiping away a tear, [Gu Xiaomeng] reached into her coat and pulled out a handkerchief. She gently unfolded it to reveal a slightly crumpled cigarette inside. [Wang Tianxiang] reached out to take the cigarette, and [Gu Xiaomeng] calmed herself down a bit, reminiscing.
1:11:48|1:12:11|At the dining table yesterday, the cigarette was stepped on by [Gu Xiaomeng] with her heel. The sound of the door opening interrupted their conversation. Walking in was [Wu Tian] in military uniform. He strode forward, reached out to take the cigarette from [Wang Tianxiang], and then took out a magnifying glass from his pocket to carefully examine it.
1:12:11|1:12:19|There are several regular small holes on the cigarette. [Wu Tian] guessed with his sensitive professional sense.
1:12:27|1:12:42|In the gloomy execution room, [Wang Tianxiang] paced back and forth. He raised the cigarette. [Wu Zhiguo] had his shirt stripped off, with his hands and feet tied to the pillar.
1:12:45|1:12:55|He had just been tortured, covered in scars. [Wu Zhiguo] explained in a hoarse voice.
1:13:5|1:13:30|Surrounded by secret agents picking up weapons, getting ready to move forward. [Wang Tianxiang] raised his hand to stop them. The leading agent signaled and the electric shock passed through [Wu Zhiguo]'s body. He was in extreme pain, his muscles uncontrollably twitching under the voltage. The agent intensified the shaking even more.
1:13:41|1:13:59|[Wu Zhiguo]’s body continued to convulse uncontrollably. [Wu Zhiguo] kept his head down, gritting his teeth and gasping for breath. The high-intensity electric shock left him with a vacant stare.
1:14:10|1:14:31|The spy stepped forward to untie [Wu Zhiguo]. Just as the belts around his neck and hands were loosened, he collapsed. Chinese characters slowly appeared on the textured fabric: Whether the information has been leaked, success or failure lies in today. The writing slowly disappeared. Inside the room, [Gu Xiaomeng] who was mending clothes, cut the thread with scissors.
1:14:31|1:14:46|Reorganizing the plot, connecting the dots. Two black-clad secret agents downstairs were let through by the guards. When the haggard [Li Ningyu] saw this from the window, she couldn't help but hide in fear. She called out [Gu Xiaomeng]'s name with a vacant look in her eyes.
1:14:46|1:14:55|Turning around and looking at Gu Xiaomeng, who had put down the work in his hands. She walked over lightly, squatted down beside Gu Xiaomeng, and looked at him with empty eyes.
1:15:13|1:15:37|With a vacant look in her eyes, [Li Ningyu] reached out and embraced [Gu Xiaomeng]'s neck, whispering softly in her ear. The two, as close as sisters, leaned their heads together with calm expressions. [Li Ningyu] slowly moved her head away from [Gu Xiaomeng]'s shoulder. [Gu Xiaomeng] lowered her gaze, seemingly oblivious to everything.
1:15:37|1:15:53|[Li Ningyu] looked at [Gu Xiaomeng] with lifeless eyes. [Gu Xiaomeng] draped the mended cheongsam over [Li Ningyu]. [Li Ningyu] stood up, and she squatted down to help [Li Ningyu] button up. [Li Ningyu] looked down at her, and she met [Li Ningyu]'s gaze.
1:15:53|1:16:16|[Gu Xiaomeng] thought for a moment and pointed under the table. [Li Ningyu] slowly bent down and looked under the table. With a quick glance, she saw a round small electronic bug stuck to the bottom of the coffee table. [Gu Xiaomeng] quickly walked to the corner cabinet. She opened a drawer, took out some tape, and tore off a piece casually.
1:16:16|1:16:30|Placing a bug on the bookshelf. Then quickly walking over to stick tape on the bug under the coffee table. [Gu Xiaomeng] has no intention of stopping. Under the gaze of [Li Ningyu], she walks to a nearby table and tapes another bug.
1:16:31|1:16:47|Then, she casually picked up the cigarette on the table and waved towards [Li Ningyu]. [Gu Xiaomeng] walked to the bathroom, seeing [Li Ningyu] still standing there, she waved again to signal her to come over. [Gu Xiaomeng] entered the bathroom, while [Li Ningyu] watched her figure vigilantly.
1:16:47|1:17:0|In the bathroom, [Gu Xiaomeng] paced back and forth. When [Li Ningyu] walked in, she gently closed the door, took out a cigarette and lit it. [Li Ningyu] looked around, while [Gu Xiaomeng] leaned against the door frame, watching [Li Ningyu].
1:17:2|1:17:10|After speaking, she took out a lighter and lit a cigarette for herself. [Li Ningyu] slowly turned her head and approached [Gu Xiaomeng]. When she got close, she said.
1:17:12|1:17:18|[Li Ningyu]'s hollow eyes became unusually determined. The smoke wafted in the small bathroom.
1:17:20|1:17:30|All of this was beyond Gu Xiaomeng's expectations. She stood there in a daze, even forgetting to smoke. The wise may have a thousand thoughts, but at this moment, Gu Xiaomeng smiled.
1:17:34|1:17:45|In the prison cell, a soldier opens the door and invites [Gu Xiaomeng] in. [Gu Xiaomeng] enters with a smile, hunched over and holding a box. A group of secret agents surround a table, where a muscular man lying half-naked is [Wu Zhiguo].
1:17:53|1:18:9|[Gu Xiaomeng] ran to a small table on the side with a big smile on her face, opened the box. [Wu Zhiguo] tried to struggle, but was firmly held down by the secret agent. [Gu Xiaomeng] carefully selected potions and silver needles from the box.
1:18:36|1:18:43|[Gu Xiaomeng] pulled out the bottle stopper, inserted the selected silver needle into her finger, and gently stirred.
1:18:46|1:19:5|[Gu Xiaomeng] approached [Wu Zhiguo] with a silver needle, which she then forcefully inserted into a pressure point on [Wu Zhiguo]'s ankle. As [Gu Xiaomeng] lightly twisted the silver needle with her fingertips, [Wu Zhiguo] widened his eyes, clenched his teeth, and his eye sockets became extremely bloodshot with pain. [Wang Tianxiang] stepped forward to interrogate.
1:19:7|1:19:12|[Wu Zhiguo] had a frozen expression, with his whole head gently twitching.
1:19:13|1:19:32|[Gu Xiaomeng] ran her fingers over the silver needles and selected one as fine as a strand of hair. She lightly dipped it into a small bottle of medicine and then inserted it into his waist. [Wu Zhiguo]'s eye sockets began to bleed, and his mouth involuntarily twitched with composure.
1:19:34|1:19:49|[Gu Xiaomeng] gently twirled the silver needle. On the other side, in the bathroom, [Li Ningyu] stared intently at [Gu Xiaomeng]. [Gu Xiaomeng] nodded slightly, and [Li Ningyu] moved closer.
1:19:50|1:20:6|[Li Ningyu] said with red eyes full of disgust and resentment. [Gu Xiaomeng] lightly flicked the cigarette, waiting for [Li Ningyu] to continue. [Li Ningyu] then relaxed her expression and looked at her familiar colleague. [Gu Xiaomeng] took a puff of the cigarette.
1:20:8|1:20:15|[Gu Xiaomeng] licked her lips, took a deep breath, and said somewhat helplessly.
1:20:27|1:20:45|[Gu Xiaomeng] said sincerely. [Li Ningyu] slapped her crisply across the face. [Gu Xiaomeng] lowered her head slowly as [Li Ningyu] pushed her against the wall.
1:20:48|1:21:2|She pressed against [Gu Xiaomeng]'s face and questioned. Desperately, she pushed [Gu Xiaomeng] again. The betrayed [Li Ningyu] pulled open the bathroom door.
1:21:18|1:21:31|[Li Ningyu] was in extreme conflict, standing in place on the verge of going crazy. Meanwhile, [Gu Xiaomeng] stood at the door, smiling at her. Before long, she couldn't help but burst into tears as well.
1:22:4|1:22:33|The two sat on the edge of the bed, finally baring their hearts. Their intimacy was divided by their positions, and tears flowed freely down their two beautiful faces. In the execution room, another silver needle turned and pierced the blue veins in Wu Zhiguo's temple. He could hardly keep his eyes open, and the bloodstains on his eyes, ears, mouth, and nose confirmed the toughness of this man.
1:22:34|1:23:5|He grinned and closed his eyes. [Wang Tianxiang] approached him, while [Wu Zhiguo] continued to taunt him. [Wang Tianxiang] looked angrily at Lord Liu, who quickly stepped forward to probe [Wu Zhiguo] and stabbed another needle into his chest. The veins on [Wu Zhiguo]'s neck and forehead bulged, he held his breath, raised his body, and spat out blood.
1:23:7|1:23:24|Here, [Li Ningyu] is tearfully persuading [Gu Xiaomeng]. [Gu Xiaomeng] feels guilty and continues, "It's not easy to obtain intelligence with the heavily guarded Qiu Village."
1:23:34|1:23:40|[Li Ningyu] pulled [Gu Xiaomeng] up and asked, with his arm around her neck.
1:23:48|1:23:57|[Gu Xiaomeng] watched as the person who was like a sister to her was filled with tears, and tears fell from her own eyes as well. As she spoke, [Li Ningyu] tightly held [Gu Xiaomeng]'s hand.
1:23:58|1:24:12|[Gu Xiaomeng] forced a smile and gently embraced [Li Ningyu]. The pain of parting made it impossible for her to even fake a smile.
1:24:28|1:24:52|[Li Ningyu] pursed her lips tightly and shook her head gently. Meanwhile, in the execution room, [Wu Zhiguo] lay motionless on the ground. Uncle Liu went forward to inspect his condition and then reported back. He lowered his head and continued to speak while looking at [Wu Zhiguo].
1:24:56|1:25:10|Uncle Liu was left speechless by the question. After a moment of reaction, he swallowed his saliva, squatted down, and stared at [Wu Zhiguo]'s head for a while. He pointed to the Baihui acupoint with his finger, then gave a questioning look. [Wang Tianxiang] nodded with narrowed eyes.
1:25:10|1:25:30|Uncle Liu held a thin needle dipped in medicine, gently leaned down, slowly adjusted the angle, and found the acupoint accurately. This position had not been tried by him for a long time. Uncle Liu gently pushed aside Wu Zhiguo's hair, and Wang Tianxiang also leaned in to watch. A voice came from outside the door.
1:25:33|1:25:44|Uncle Liu and [Wang Tianxiang] both turned their heads. The soldier opened the iron gate, and approaching was [Li Ningyu]. She looked dull, with heavy steps, while [Wang Tianxiang] smoked, walking towards her with some confusion.
1:25:44|1:26:6|[Li Ningyu] took a step forward and raised her hand, holding a crumpled cigarette box in her palm. She slowly opened her palm and said, with a hint of tears in her voice, handing the cigarette box to [Wang Tianxiang]. [Wang Tianxiang] carefully examined the cigarette box, realizing that it was from Battery Three.
1:26:6|1:26:22|In the hospital, a nurse is pushing a stretcher, and the person lying on it is the wrongly accused [Wu Zhiguo]. With the combined effort of medical staff, the stretcher is quickly pushed into the operating room. The secret agent closes the door of the operating room and stands guard outside.
1:26:22|1:26:30|The doctor and nurse gently moved [Wu Zhiguo] from the stretcher to the operating table, then quickly put on gloves and prepared surgical supplies.
1:26:32|1:26:50|Doctors pulled out the silver needles from the ankle, chest, waist, and finally the temple of [Wu Zhiguo]. With the combined effort of the doctors, [Wu Zhiguo] was turned over. A doctor used tweezers to pull out the bent silver needle from [Wu Zhiguo]'s back.
1:26:50|1:27:1|Blood spurted out of the needle hole like a small fountain. Half-conscious [Wu Zhiguo] hummed a little tune.
1:27:35|1:28:4|The salty sea breeze blew through the Qiu Zhuang building. In the gloomy underground execution room, the spy was using an iron brush to roughen the coarse hemp rope hanging, while [Gu Xiaomeng], with her body barely covered by clothes, sat against the wall. A ladle of cold water was poured over her head, wetting her hair and covering her pretty face.
1:28:15|1:28:27|[Wang Tianxiang] grabbed [Gu Xiaomeng]'s hair and lifted her up. [Gu Xiaomeng] was gasping heavily, her consciousness blurred and she couldn't control her body, swaying as others pulled her.
1:28:32|1:28:40|Wang Tianxiang, in a fit of anger, pushed Gu Xiaomeng away.
1:28:41|1:28:56|The agent stepped forward to support [Gu Xiaomeng], propping her up next to a thick hemp rope. They spread [Gu Xiaomeng]'s legs apart and helped her ride on the roughly polished hemp rope, pushing her forward to rub against it. [Gu Xiaomeng]'s lower body suffered a heavy blow.
1:28:58|1:29:13|The spy pushed her back to slide again. This is a cruel and inhumane punishment for women, the rope torture. [Wu Tian] also arrived at the execution room at this time. The hanging hemp rope was dripping with blood, and [Wang Tianxiang] looked at it with lingering fear.
1:29:14|1:29:33|[Wu Tian] pulled the tablecloth, scattering objects all over the table. He gently covered the groaning [Gu Xiaomeng], who was already like a frightened bird, with the tablecloth. [Gu Xiaomeng], holding her lower body, moved back to hide.
1:29:39|1:29:46|In a dim interrogation room, the clock points to 8:30. [Gu Xiaomeng], who has changed clothes, leans against the chair with disheveled hair.
1:29:47|1:29:58|Her hands were handcuffed behind the chair. She licked her dry lips, while Wu Tian's words fell on deaf ears.
1:30:11|1:30:24|With a pale complexion and clear eyes, [Gu Xiaomeng] looked up at [Wu Tian]. [Wu Tian] gazed at her expectantly, eager to obtain information.
1:30:34|1:30:56|[Gu Xiaomeng] kept talking, the smile on her face growing wider. [Wu Tian] looked down from above, his eyes staring fiercely at the prisoner below. He took a deep breath, turned his back, pulled out a cigarette, then turned back and lit it. He struck the match gently.
1:31:4|1:31:18|[Gu Xiaomeng] glared angrily at [Wu Tian]. A sense of foreboding rose in [Gu Xiaomeng]'s heart.
1:31:21|1:31:28|Wu Tian listened for a while before putting down the earpiece, then looked at the clock.
1:31:39|1:31:48|Struggling on the chair, [Gu Xiaomeng] is firmly held down by the secret agent. [Wu Tian] puts the earpiece to [Gu Xiaomeng]'s ear.
1:31:58|1:32:27|[Gu Xiaomeng] had her hair disheveled, lowered her head and cried softly. [Wu Tian] waited for her answer. [Gu Xiaomeng] nodded repeatedly. [Wu Tian] put down the gun leaning against her head and picked up the microphone.
1:32:34|1:33:0|Wu Tian handed the receiver to his subordinate after speaking, then also switched off the safety of his pistol. Gu Xiaomeng adjusted her emotions and straightened her posture. Wu Tian also walked to her front, waiting for her confession.
1:33:1|1:33:21|She thought for a moment and continued. [Gu Xiaomeng] did not refuse, but also made a request.
1:33:26|1:33:31|Immediately, [Wu Tian] gave a glance to the nearby secret agent, who then turned around and left.
1:33:34|1:33:41|[Wu Tian] looked coldly at [Gu Xiaomeng], who lowered her eyes and shook her head as she gazed at the ground.
1:33:58|1:34:15|[Gu Xiaomeng] pulled out the thin needles tied behind her back and tried to unlock the handcuffs. [Wu Tian] glared at [Gu Xiaomeng] angrily.
1:34:16|1:34:33|At the same time, the commander limped back to the building. The commander, followed by his bodyguards, strode into the room. [Wang Tianxiang] stood up to greet him. [Wang Tianxiang] stood silently, which angered the commander.
1:34:34|1:34:45|At this moment, [Gu Xiaomeng] in the interrogation room is trying to pick the handcuffs with a needle. [Wu Tian], with his back to her, is smoking in resignation.
1:34:47|1:34:52|[Gu Xiaomeng] took the opportunity to provoke [Wu Tian].
1:34:57|1:35:10|[Wu Tian] looked at [Gu Xiaomeng] with interest. He took the cigarette from his mouth, leaned close to [Gu Xiaomeng]'s face, and smiled as he spoke.
1:35:14|1:35:41|[Wu Tian] also realized [Gu Xiaomeng]'s intention of provocation. While attracting [Wu Tian]'s attention, [Gu Xiaomeng] quietly opened the handcuffs. [Wu Tian] became angry and laughed sarcastically, grabbing [Gu Xiaomeng]'s neck.
1:35:42|1:36:6|[Gu Xiaomeng] wrapped her hands around [Wu Tian]'s neck and bit his ear. As [Wang Tianxiang] rushed in, she had already pulled the trigger, and the wounded [Gu Xiaomeng] slid down from [Wu Tian] and fell onto the cold floor. [Wang Tianxiang] and the commander looked at [Gu Xiaomeng] lying in a pool of blood.
1:36:14|1:36:26|At this moment, those present felt the determination of the Communist Party. [Wu Tian] let out a helpless roar, while [Gu Xiaomeng] closed her eyes.
1:36:27|1:36:41|A Communist Party member with a strong belief, in the face of confidential information and life, she resolutely chose to sacrifice the latter, to protect her team members, and to preserve the strength of the organization. The devilish interrogation meeting in Qiu Zhuang thus came to an end.
1:36:41|1:36:58|In the interrogation room, [Wu Tian] sat in the interrogation chair smoking. The commander, wearing a military coat and leaning on a cane, walked slowly towards [Wu Tian] and only then began to speak.
1:36:59|1:37:16|The gloomy [Wu Tian] lowered his head and took a drag of his cigarette, then said slowly. He looked at the commander with determination in his eyes.
1:37:17|1:37:27|Wang Tianxiang on the side listened thoughtfully. The commander spoke.
1:37:38|1:37:54|Wang Tianxiang on the side felt nervous when he heard this. He tentatively said, Wang Tianxiang suspected that he might be the scapegoat.
1:38:0|1:38:16|Under the brim of a hat, Commander stared fiercely at [Wang Tianxiang] as he left. Suddenly, the Commander pulled out a gun, but [Wang Tianxiang] saw the reflection in the mirror and narrowly escaped. He then grabbed a steel pipe and rushed forward, pressing the Commander against the wall.
1:38:26|1:38:46|Wang Tianxiang was shot dead, and his body slowly slid down against the commander. The one who fired the gun was Wu Tian. The commander leaning against the wall was still in shock, slowly walking out from the corner. Wu Tian slowly lowered his raised arm, and the commander looked down at Wang Tianxiang on the ground.
1:38:57|1:39:6|On a snowy night, cars turned at the intersection and lined up in front of [Baicaotang]. The snow was heavy and urgent.
1:39:7|1:39:24|The eaves and roof of the house are covered with white snow. A group of senior Japanese officers walk towards the [Baicaotang] in a big stride. Inside the [Baicaotang], Japanese soldiers stand in formation, with shiny steel guns waiting for the Communist Party members. And on the car outside the [Baicaotang],
1:39:24|1:39:41|The commander sat in the back seat staring at the door, while [Wu Tian] sat in the front row. Snowflakes fell outside the window. Tonight was their last chance. The next morning, the car was covered in thick snow, and a vendor was pushing a cart through the deep snow.
1:39:46|1:40:5|Pedestrians began to appear on the street. The commander, who was sleeping in the car with his hat askew, suddenly opened his eyes. He looked out of the windows on both sides and saw a merchant leading a camel passing by. The commander turned to look at [Wu Tian] in the front seat, knowing that their only chance to salvage the plan had failed.
1:40:5|1:40:25|At this moment, the sound of singing came from the street, and [Wu Tian] had already fallen asleep. Fast forward three months later, the road on the rain-soaked dock was muddy, and the reinforcements of the Japanese army marched in line with their guns. Thunder rumbled in the sky as the officer commanded the troops to move forward.
1:40:25|1:40:41|A military truck drives through a muddy dock. It stops at a small warehouse and opens the railing. Among the senior officers getting off the truck is [Wu Tian].
1:40:42|1:40:59|On the side, the Japanese reinforcements left, making room for the senior officers. The officers who were sent back to Japan crowded forward to sign, while [Wu Tian], with iron chains around his wrists, walked around to the other side of the eaves. He reached into his pocket and took out a pack of cigarettes, then sat on a wooden box under the eaves. In the crowd,
1:40:59|1:41:6|A figure with a military backpack on his back and wearing a raincoat walks in. His steps are very firm.
1:41:7|1:41:20|Passing by [Wu Tian], he gave him a deliberate glance, took a puff of the cigarette, and sat down next to [Wu Tian]. Without hesitation, [Wu Tian] took the cigarette he had lit, lit his own, and then returned the cigarette to the other party after finishing.
1:41:21|1:41:30|The two of them sat under the eaves, sheltering from the rain. [Wu Tian] enjoyed taking a few puffs of his cigarette and also opened up the conversation.
1:41:38|1:41:48|And the man just kept smoking by himself, never answering [Wu Tian]. Wu Tian didn't care at all, continuing to smoke.
1:41:50|1:42:5|He exhaled smoke, glanced at the soldiers beside him, and sneered. Wu Tian looked at the rain with a complex expression, took a deep breath and said.
1:42:12|1:42:32|Speaking of this, Wu Tian couldn't help but smile. He lowered his head to take a puff of his cigarette, and the soldier next to him finished smoking as well. The sound of the steamboat's whistle could be heard. The soldier patted Wu Tian's shoulder and said. Wu Tian had just raised his head when he was pressed down, and a small knife quickly slashed across Wu Tian's trachea.
1:42:33|1:42:46|[Wu Tian] looked up with wide eyes. The soldier was none other than the miraculously survived [Wu Zhiguo]. [Wu Zhiguo] covered the wound on his neck with his collar and walked into the rain with a hood on.
1:42:46|1:43:7|Wu Tian's body slowly knelt uncontrollably, then blood sprayed from his neck as he fell backwards onto the muddy ground. On the rainy dock, not far away was the ship that could take him home. Soon after, the Japanese army announced their surrender. The wide streets were crowded with people celebrating this historic moment.
1:43:7|1:43:23|On the street, a Japanese military officer passes by in a car, and the people cheer and dance happily, expressing their joy in their own way. In the new era toilet paper factory, banners with the words "Work hard to produce" and "Comfort the national army" are hung up.
1:43:23|1:43:44|The workshop director led the well-dressed [Wu Zhiguo] over. They arrived at a production line, where the director leaned in and shouted. As the director approached, [Li Ningyu] finally turned around and was stunned to see [Wu Zhiguo] right there.
1:43:44|1:43:51|On the street, [Li Ningyu] and [Wu Zhiguo] walked, with [Li Ningyu] looking pale and despondent.
1:43:58|1:44:7|The two sat facing each other in a coffee shop, [Wu Zhiguo] picked up the cup and took a sip of coffee.
1:44:24|1:44:38|[Li Ningyu] also picked up the cup and took a sip, while [Wu Zhiguo] lit a cigarette for himself. [Li Ningyu] felt a bit puzzled.
1:44:39|1:44:47|[Li Ningyu] still doesn't understand what's so attractive about women's cheongsams.
1:45:1|1:45:8|[Wu Zhiguo] took a puff of his cigarette. While [Li Ningyu] across from him furrowed her brows, trying hard to recall what happened that night.
1:45:18|1:45:29|After Wu Zhiguo's explanation, Li Ningyu looked thoughtfully at the coffee cup. The brief and painful days in Qiu Zhuang made her unforgettable for a lifetime. Li Ningyu supported her forehead, lost in thought.
1:45:29|1:45:37|That night, [Wu Zhiguo] burst into [Gu Xiaomeng]'s room. [Wu Zhiguo] frowned and stared at [Gu Xiaomeng], then smiled slightly.
1:45:42|1:45:48|He reached out to touch the bugs around him. At that moment, [Wang Tianxiang] had just tapped into the signal in [Gu Xiaomeng]'s room.
