0:0:53|0:0:59|After hearing this, [Jiang Haolong] reached out and took the bag of clothes from [Mandy]'s hand.
1:22:14|1:22:42|[Yu Chunjiao] picked up her phone and saw a new message from Zhang Zhiming asking why she didn't answer the phone. After some thought, she replied: [Yu Chunjiao] edited the message and sent it to him while pressing the send button. As she waited, Zhang Zhiming sent another message. [Yu Chunjiao] casually opened it, and shortly after, Zhang Zhiming appeared in the karaoke room.
1:22:42|1:22:48|[Yu Chunjiao] strode up to Zhang Zhiming's private room, paused for a moment, and then pushed the door open.
1:23:2|1:23:9|[Yu Chunjiao] looked at Zhang Zhiming innocently, as Zhang Zhiming lowered his head to apologize to [Yu Chunjiao]. She looked at him expressionlessly.
1:24:13|1:24:30|Zhang Zhiming's phone rang at an inappropriate time, making Yu Chunjiao turn her head angrily.
1:24:32|1:24:40|Zhang Zhiming looked at [Yu Chunjiao]. Yu Chunjiao got up angrily and left, she stopped and looked back.
1:24:47|1:25:15|Later, she turned around and left, leaving Zhiming standing alone in place. Zhiming stared blankly at the door, and on the big screen appeared a graceful and heroic beauty, [Yu Chunjiao], sitting in front of the screen, looking sad with a quiet expression on her face. She watched silently, with no other emotions on her face, lowering her eyes and pondering. On the big screen appeared a woman in a white suit.
1:25:15|1:25:22|On the screen, the song is about to start. [Yu Chunjiao] looks at the lyrics on the screen and picks up the microphone.
1:26:8|1:26:40|[Yu Chunjiao] sang a song, tears welled up in her eyes. Her friends behind her didn't notice anything unusual. She wanted to sing but closed her mouth. Her friends were immersed in their own joy, while [Yu Chunjiao] felt like her heart was being twisted by a knife. She finally couldn't hold back the tears, and they streamed down her face. On the other side, Zhiming was also holding back tears as he listened to [Yu Chunjiao]'s singing. In the blink of an eye, Zhiming was sitting on the balcony's hammock, staring at his reflection in the glass, lost in thought.
1:26:44|1:27:13|Youyou sat on the ground looking at him in a state of collapse. Zhiming took the phone, turned it over, and saw the three words "I love you" on the screen, smiling. Youyou listened and felt a bit flustered. Zhiming stared at the phone.
1:27:23|1:27:31|[Zhang Zhiming] looked at [Shang Youyou], the two of them locked eyes, [Shang Youyou] gazed at him earnestly.
1:28:3|1:28:12|[Zhang Zhiming] bent down, irritably flipping his hair.
1:29:40|1:29:54|[Zhang Zhiming] looked at [Shang Youyou] who was motionless. Suddenly, [Shang Youyou] picked up the camera and pressed the shutter. A photo fell down, [Shang Youyou] bent down to pick up the photo from the ground and looked at it. Then, mischievously smiled.
1:30:9|1:30:18|Youyou looked down at the photo, then lifted her head up, looking at Zhiming calmly, tears streaming down her face.
1:30:20|1:30:52|Zhiming breathed a sigh of relief, lowered his head slowly. At this moment, [Yu Chunjiao] carefully placed the cosmetics on the display shelf while holding a bag. The sudden arrival of a customer caught her attention. After confirming repeatedly, she walked up with a smile. The customer looked up and smiled at her.
1:31:27|1:31:33|[Yu Chunjiao] handed another eyeshadow to Wang Xinping, who looked up at [Yu Chunjiao],
1:32:26|1:32:38|Shortly after, [Zhang Zhiming] arrived at the cosmetics store where [Yu Chunjiao] was. He greeted Isabelle, and she questioned him. [Zhang Zhiming] remained silent for a moment.
1:33:0|1:33:6|At 9:00, [Zhang Zhiming] immediately reaches out his hand, looks at his watch, Isabelle looks at him, then nods and prepares to leave.
1:33:31|1:33:38|[Zhang Zhiming] stood still, Isabelle looked a bit anxious, and [Zhang Zhiming] finally reacted.
1:33:53|1:34:7|In the station, [Yu Chunjiao] and [Sam] sat side by side, lost in thought. [Sam] was working on his laptop while [Yu Chunjiao]'s phone suddenly rang. Seeing that it was a call from [Zhang Zhiming], she hung up directly, put down her phone, and in the taxi, [Zhang Zhiming] was anxiously making a phone call.
1:34:41|1:34:52|[Sam] put down the computer and stood up to leave, while [Yu Chunjiao] sat in the chair with her chin resting on her hand, lost in thought. As [Sam] walked away, the sound of [Yu Chunjiao]'s phone ringing filled the room once again.
1:34:57|1:35:4|After a moment of contemplation, she took out a tablet from her bag, placed it on her lap, and after some operation, she stopped her hands.
1:35:7|1:35:38|She stared at the tablet without blinking, as if everything around her had ceased to exist. Her expression was solemn, and as she continued to watch, tears started to well up in her eyes. With the music gradually rising, [Yu Chunjiao] completely broke down emotionally. She sat on the chair, crying like a child, tears falling from her eyes like beads on a broken string.
1:35:39|1:36:14|She looked around, listening to the music from the tablet, then lowered her head again with tears streaming down her face. She cried while watching, tears flowing like a floodgate had opened. At this moment, [Sam] came back with two cups of coffee. Seeing [Yu Chunjiao] crying alone, he paused. He walked past [Yu Chunjiao] and sat on the chair next to her, looking at the already tearful [Yu Chunjiao]. [Sam] put down the coffee in his hand, turned to face her, and fell into contemplation.
1:36:15|1:36:21|She hesitated to speak as she watched her crying.
1:36:31|1:36:49|[Yu Chunjiao] took a deep breath and exhaled, calming herself down, but tears still lingered on her cheeks. She looked at [Sam] with teary eyes, wanting to speak but hesitating.
1:36:59|1:37:8|[Yu Chunjiao] lowered her head bitterly, her emotions fluctuating once again.
1:37:21|1:38:4|[Sam] listened silently as [Yu Chunjiao] spoke. [Yu Chunjiao] held back tears and shook her head, looking at [Sam] as she spoke. She didn't let the tears fall in front of [Sam], instead she turned away. The two of them fell into silence, with [Sam] not saying a word. In the distance, the voice of a broadcaster could be heard.
1:38:5|1:38:20|The noise at the airport brought everything back to reality. [Yu Chunjiao] looked up at [Sam], who smiled back at her. Suddenly, he reached out and patted her head, causing [Yu Chunjiao], who was already crying, to cry even harder.
1:38:20|1:38:35|[Yu Chunjiao] put the laptop in her bag, then got up and left. [Zhang Zhiming] was still in the taxi at the train station. [Yu Chunjiao] pushed the suitcase with one hand and carried the bag with the other hand, walking forward with her head down.
1:38:35|1:38:44|[Zhang Zhiming] rushed into the station and quickly ran to the elevator in the lobby. He continued to sprint desperately in the elevator, as if racing against time.
1:38:44|1:38:59|Up on the second floor, he looked around anxiously, searching for [Yu Chunjiao] in the crowd, trying to identify her over and over again. Finally, feeling a bit defeated, he made his way to the entrance, holding onto a glimmer of hope as he waited for [Yu Chunjiao] to arrive.
1:38:59|1:39:14|At the moment when he was wavering and about to give up, he was stunned when he turned around, looking straight ahead with a gleam in his eyes.
1:39:18|1:39:36|On the other side of the road, [Yu Chunjiao] appeared pushing a suitcase and carrying a shoulder bag in the sight of [Zhang Zhiming]. [Zhang Zhiming] ran towards her, their eyes met, and tears welled up in their eyes instantly. They silently gazed at each other without saying a word.
1:40:54|1:41:6|The two looked at each other, [Yu Chunjiao] rolled her eyes, amused by [Zhang Zhiming]. [Zhang Zhiming] held her shaking head with both hands, pulled her into his arms, and hugged her tightly.
1:41:36|1:41:52|[Zhang Zhiming] walked ahead, pushing the luggage while his arm was around [Yu Chunjiao]'s shoulder. This is where the film commentary ends. Thank you for listening.
