0:3:40|0:3:44|On the other side, the female lead [Sha Lu] is wearing a pair of exquisite high heels.
1:25:4|1:25:13|Following that, [Ah Hei] pointed to his own eyes and then gestured towards the back, indicating [Very Wong], who then drove out along the roundabout.
1:25:13|1:25:33|[Ahei] had a smooth journey here. Several people met up with [Very Wong], the car didn't even stop, and [Very Wong] opened the door and got into the passenger seat. They headed towards the road that must pass through Wushuang Terrace. Workers were diligently coloring the original lines on the ground.
1:25:35|1:25:55|The useless road signs were also removed, and a large poster of the councilor was hung up behind the road, with the words "Successfully improved traffic congestion in Ban Shan, changing the one-way road sign to two-way, lowering the minimum speed to 70 mph, and painting over the stop lines on the road. The female councilor stood on the side of the road waving and greeting passersby.
1:25:55|1:25:59|The cameraman is also on the side shooting.
1:26:13|1:26:23|Xiang Shaolong and Sha Lu, with Mr. Shi in between, picked it up in the car. The group arrived at Wushuang Terrace.
1:26:42|1:26:47|The two assistants sat on the side, looking at the documents. Xiang Shaolong and [Sha Lu] opened the balcony door.
1:27:4|1:27:26|Mr. Shi hugged Xiang Shaolong's face, kissed him, then kissed him again, and smiled. Mr. Shi looked at his assistant sitting next to him, the assistant gave him a thumbs-up gesture, and he reached out his right hand to Sha Lu.
1:27:37|1:27:55|When the two were about to hug, Xiang Shaolong intervened. Xiang Shaolong excitedly embraced [Sha Lu] and spun around in place.
1:28:2|1:28:6|After Xiang Shaolong finished speaking, the remaining three people stared quietly at his face.
1:28:19|1:28:34|Everyone laughed happily, the four of them hugged together, cheering joyfully. The camera then switched to an African beauty sitting at the back of an open truck. [Very Wong] and [Sha Lu] waved their hands towards the truck.
1:28:48|1:29:7|The scene shifts to a lakeside far from the city, with several three-story buildings around. [Sha Lu] is inside, flipping through letters and smiling happily. She hands two postcards to [Xiang Shaolong] who is watering plants, then opens another letter and takes out a flyer filled with property listings.
1:29:12|1:29:32|[Xiang Shaolong] took the advertisement from his hand, [Sha Lu] smiled at him and walked away. He crumpled the advertisement and threw it into the nearby trash can. Then, the two of them rolled up their sleeping bags, with many outdoor items still on the table in front of them. They playfully packed their bags while having a good time.
1:29:52|1:30:4|They packed their bags and ran happily on the slope, arriving at a lush meadow for camping. [Sha Lu] walked out of the tent and sat on a small chair opposite [Xiang Shaolong].
1:30:15|1:30:20|The two of them ran freely hand in hand on the grass. 
