0:1:49|0:1:54|[Zhu Guangsheng] looked at the grilled meat in his hand, then he placed the skewer on the plate.
0:47:58|0:48:12|In the luxurious villa, [Zhu Cong] turning around as she walks out, [Zhu Lin] who is walking outside looks back unwillingly. She pouts and walks to the side of the gate, then she leans against the iron gate and caresses [Wang Rong] who is tied up with reluctance.
0:48:13|0:48:22|[Zhu Cong] forcibly dragged [Zhu Lin] away, ignoring [Wang Rong]'s pleas as she refused to let go. As the two approached the shuttle bus, [Zhu Cong] instructed [Zhu Lin] to walk ahead, and in that moment of boarding the bus,
0:48:22|0:48:47|[Zhu Lin] wanted to take another look at [Wang Rong], but [Zhu Cong] pushed her directly onto the bus. As the two got on the bus, [Wang Rong] lay on the iron gate, howling continuously through the air. The bus started and drove away, and the anxious [Wang Rong] realized the danger. It suddenly broke free from the rope around its neck and swiftly ran out of the gate towards the direction the bus was heading. By this time, the bus had already left the urban area and was driving on a winding mountain road.
0:48:47|0:49:4|Wang Rong, who is trying her best, closely follows behind the bus, while Zhu Lin inside the bus sits with a worried expression, and Zhu Cong sitting behind her keeps comforting her. Soon, the bus arrives at the pasture, and as it passes through the woods, a small figure can still be seen chasing after the bus.
0:49:4|0:49:17|When [Wang Rong] arrived at the forest, the bus stopped. She stood at the fork in the road, looking left and right constantly. Watching the bus getting further away, she glanced at the side road and, torn between choices, she ultimately chose to trust herself.
0:49:18|0:49:24|It swiftly crossed the snow-covered fields, and immediately after crossing the wall, it agilely climbed over the mountains with its strong limbs.
0:49:25|0:49:42|As a forest ranger's beloved dog, [Wang Rong] is quite familiar with the terrain here and always manages to find a shortcut home. At this moment, the two sisters have already gotten off the bus and are walking on the mountain path, while [Wang Rong], who is looking for the way home, immediately runs towards a familiar figure.
0:49:43|0:50:2|Originally frowning, [Zhu Lin] quickly took out the hand in his pocket upon hearing [Wang Rong]'s call, and ran towards Lanbo with all his might. Overjoyed, [Zhu Lin] knelt on the ground, embracing [Wang Rong], while behind them, [Zhu Cong] looked at [Wang Rong] in shock. She never expected that [Wang Rong] would find her way home alone.
0:50:2|0:50:11|At this moment, [Wang Rong] buried her head in [Zhu Lin]'s arms, coquettish. In the evening, a divorce agreement was placed diagonally on the table by the bed. Old Zhu sat by the stove and said,
0:50:17|0:50:43|Wife, with no expression on her face, looks at the photo on the wall. The once loving couple has now reached this point. [Zhu Guangsheng] decides to shoulder all the responsibilities. His wife remains unmoved, still staring at the photo. [Zhu Guangsheng] drinks up the wine in his hand in frustration. At this moment, even if he is reluctant, he must learn to let go. He doesn't want to burden his wife and children, making them suffer with him.
0:50:44|0:51:8|He then slowly tightened the cap of the bottle, as if sealing this past memory in the bottle. He gently placed the bottle on the box beside him, looking at it. He let out a deep sigh, then picked up the hat beside him, stood up, and walked towards the door with heavy steps. After a few steps, he stopped. Standing at the bedroom door, he lowered his head and said to his wife's back,
0:51:13|0:51:39|After saying goodbye to his wife without any response, he walked out of the room. His wife stood in front of the cabinet, looking at herself through the glass of the photo frame. She held back tears, not letting them fall. The frames on the wall were filled with photos of their two daughters when they were young, each photo with a dog next to it. Outside the house, the world was covered in white, with snowflakes falling gently from the dim sky.
0:51:39|0:52:0|Covering the world with a thick blanket, [Zhu Guangsheng] walked along the path with Blue Wave gradually fading away. On the other side, his wife sat by the stove holding a divorce agreement, looking lost and staring blankly ahead. Exhausted, [Zhu Guangsheng] sat on a snow-covered log halfway up the hill, with Blue Wave obediently sitting beside him.
0:52:0|0:52:15|At this moment, he felt an immense emptiness in his heart. The once warm and happy home now only had one person and a dog left. It was unknown how long it had been, but [Zhu Guangsheng] and Lanbo were also covered in a layer of snow. In the distance, the mountain peaks were stacked layer upon layer, covered with one layer of white snow after another.
0:52:15|0:52:34|Like towering waves in the sea. The next morning, the snow continued to fall, with snowflakes fluttering down accompanied by the chilly winter wind, giving a sense of loneliness. After packing up the luggage, the wife hung the room key on the wall outside the door, holding a bag in one hand, and walked out with heavy steps.
0:52:34|0:52:37|It's hard to imagine things would develop to such an extent.
0:52:37|0:52:57|As she walked halfway up the slope, she was immediately drawn to the windmill in front of her. The windmill stood tall in the wind and snow, constantly turning with a creaking sound that evoked memories for the two. Just as she slowly lowered her head, she saw the dog farm opposite. The dog farm was also covered with snow at this moment, with only the five-starred red flag hanging in the air fluttering in the wind.
0:52:58|0:53:4|For some unknown reason, the dogs in the dog yard kept barking incessantly, perhaps calling for [Zhu Guangsheng] to come home.
0:53:4|0:53:25|At this moment, the wife also realized that she should not have tried to extinguish [Zhu Guangsheng]'s dream. Without fully understanding the situation, she angrily blamed [Zhu Guangsheng]. Now, she continued along the path, kicking at the door of [Zhang Biao]'s house. When [Zhang Biao] opened the door, she simply pushed it open, causing the bottle at the door to fall.
0:53:31|0:53:38|[Zhang Biao] leaned against the door frame and looked at her helplessly. She vented her anger on [Zhang Biao], who in turn questioned her.
0:53:56|0:54:17|Before [Zhang Biao] could finish speaking, tears welled up in her eyes, but [Zhang Biao] paid no attention and simply reached out to close the door. His wife, standing outside the door, helplessly sobbed, then turned around and leaned against the nearby railing to compose herself. However, when she saw the countless bottles lined up on the steps outside the door, she fell into deep thought.
0:54:17|0:54:35|On the other side, many elderly and middle-aged people are rehearsing in an orderly manner on the square. With lively music, they dance joyfully to the beat of the drums. A police car comes into view and slowly stops in front of several women. The women then approach, and Director Liu gets out of the car and says,
0:54:50|0:55:12|Several women forcibly pushed [Director Liu] onto the dance floor, but he showed no fear at all. He stood in the center of the crowd, moving effortlessly and maintaining his dignity. His movements were perfectly timed with the music, and just as he was enjoying the happiness brought by dancing, his phone suddenly rang. He took out his phone while still following the rhythm.
0:55:20|0:55:29|Old Zhu sat dejectedly on the grassy bank, then he slowly lifted his head to look at [Director Liu]. In an instant, understanding dawned on [Director Liu], who dropped his cigarette butt and walked towards him, saying,
0:55:43|0:55:58|Old Zhu pursed his lips and buried his head in the scarf, Director Liu walked to his side and patted his shoulder, gesturing for him to move to the other side. Then Director Liu sat down next to him, while Old Zhu remained stubborn.
0:56:10|0:56:36|Director Liu saw Zhu Guangsheng unmoved, so he punched him. Zhu Guangsheng was now staring at the ground in a flustered state. Director Liu, feeling angry, stood up and walked to face Zhu Guangsheng directly. Zhu Guangsheng then lifted his head and squinted at him. Director Liu pointed at him and scolded, then helplessly stood up straight. Director Liu, in anger, was about to put his hands in his pockets, but before he could, he pointed at Zhu Guangsheng.
0:56:41|0:56:48|After Director Liu finished speaking, he started the car and drove past Old Zhu, who raised his head and watched him leave.
0:56:48|0:57:0|[Zhu Guangsheng] looked pensive as he held the whip in his hand. In the hospital, his wife entered the ward carrying fruits. She first glanced at the patient next to her being taken care of by family members, while the patient in front of her was lying on the side, asleep.
0:57:0|0:57:10|She gently placed the fruit on the bedside table, then pushed the woman after observing carefully. The woman woke up inexplicably and turned her head slowly to look at [Zhu Guangsheng]'s wife.
0:57:32|0:57:52|The wife then began to tidy up. Upon hearing that it was their son's arrangement, the woman felt relieved. On the other side, [Zhu Guangsheng] carried a large bamboo basket and walked towards the deep mountains. He then shoveled the pristine snow into the basket bit by bit. When the snow exceeded the basket, he even patted it with a shovel. Exhausted, he leaned the shovel against the ground.
0:57:53|0:58:14|With one hand holding a shovel and the other adjusting his hat, [Zhu Guangsheng] then hoisted the bamboo basket onto his back and carefully made his way back along the uneven mountain path, afraid of spilling the snow inside the basket. Upon returning home, [Zhu Guangsheng] emptied the snow from the bamboo basket into a large iron basin. He placed the basket on the ground, breathing heavily, and then scooped up a handful of snow to eat.
0:58:14|0:58:28|While he continued to chew, he also observed the snow in the basin. Then he took out the burning charcoal from the stove and placed it under the basin. As he adjusted the charcoal, his eldest daughter [Zhu Cong] entered through the door and walked slowly forward.
0:58:36|0:58:43|After Zhu Guangsheng finished speaking, he stood up. The two of them looked at the accumulated snow in the basin. Zhu Guangsheng wiped the iron tongs in his hand.
0:58:49|0:58:58|[Zhu Cong] nodded in response. Then [Zhu Guangsheng] walked out of the door with a bamboo basket, [Zhu Cong] stood behind watching his father's figure disappear at the moment the door closed.
0:58:58|0:59:16|The thick snow in the basin gradually melted under the heating of charcoal. The father's love for his children is deep and broad. They only know how to silently give without expressing it in words. He needs to take on the responsibility of being a father and be responsible for the family. As the snow water continued to heat up, steam soon rose.
0:59:16|0:59:39|[Zhu Lin] stepped into the iron basin with the help of her sister. With her thin body, her back resembled layers of overlapping mountain peaks. Her slender arms naturally hung on both sides of her body. At this moment, she let her hair down and lowered her head, watching her sister wash her straight long legs. Then she bent over as her sister poured water over her head with a ladle. But just as her sister turned around to fetch more water, she suddenly shook her head.
0:59:39|0:59:49|The splashing water landed on the sister's face, and she immediately grabbed a handful of water and sprinkled it towards [Zhu Lin]. [Zhu Lin] instinctively dodged the water coming towards her face, and soon she was all washed up.
0:59:49|0:59:59|Later, Old Zhu used a shovel to scoop out the charcoal at the bottom of the basin and put it back into the furnace. Then he placed the stool and basin in the corner of the basin. Just as he was cleaning up, [Wang Rong] jumped into the basin.
1:0:4|1:0:27|Old Zhu walked to [Wang Rong], constantly stroking its head. Then he took off his coat, sat on a stool, carefully wiped [Wang Rong], and used a water ladle to rinse it. While rinsing, he kept rubbing it with his hands. After Old Zhu finished washing [Wang Rong], it playfully shook its fur. Meanwhile, [Changzi] dashed into the pool, splashing water onto the face of [Zhang Biao] nearby.
1:0:40|1:0:46|After finishing speaking, [Zhang Biao] tilted his head back, looking pensive. Suddenly, [Zhang Biao] turned to [Changzi].
1:0:51|1:1:2|[Zhang Biao] waved his hand in the water, signaling for [Changzi] to come forward. The two locked eyes, plotting something unknown. Inside the dance hall, [Changzi] pulled [Zhu Cong] aside and said,
1:1:8|1:1:43|[Zhu Cong]'s expression instantly became tense. [Zhu Cong] grabbed [Changzi], who was about to leave. [Changzi] frowned, not understanding [Zhu Cong]'s actions. After speaking, [Changzi] helplessly turned and left. [Zhu Cong] then instantly slumped against the wall. Old Zhu from the deep mountains walked with a horse on a snowy slope. The higher he went up the mountain, the deeper the snow became. He struggled to move forward in the snow that reached above his knees.
1:1:43|1:2:4|Wearing heavy clothes, he kept panting heavily. After climbing up the hill, he mounted the horse to continue his patrol. Gradually, he, along with a dog, disappeared from view. Meanwhile, [Changzi] slowly climbed the stairs. He walked up to [Zhang Biao] and, while panting heavily, handed him a black bottle. [Zhang Biao] took the bottle and carefully examined the sulfuric acid written on it.
1:2:5|1:2:32|At night, the colorful lights in the nightclub flickered above, accompanied by strong drumbeats. The dancers gracefully danced, and on the stage, [Zhu Cong] had already noticed [Zhang Biao] sitting in the audience. Her slender silk dress fluttered in the wind, the swirling long sleeves crisscrossed, and her continuous movements danced and scattered. Her twisting body merged hands and feet, with a light and agile posture, as light as a swallow, as soft as a cloud, her arms delicate and boneless, every step giving rise to a lotus, her flower-like dance moves, like butterflies dancing among the flowers.
1:2:32|1:2:35|Tugging at [Zhang Biao]'s heart.
1:2:35|1:2:53|At this moment, [Zhang Biao] stared at [Zhu Cong] on the stage, afraid that he had already forgotten the purpose of his visit. While dancing, [Zhu Cong] also glanced at [Zhang Biao] from time to time. Her charming big eyes made [Zhang Biao] intoxicated, marveling at her elegant and graceful radiance.
1:2:53|1:3:7|Her every move tugs at [Zhang Biao]'s heartstrings. As she completes the final move, she fixes a coquettish gaze on [Zhang Biao], then slowly exits. Below the stage, [Zhang Biao] watches her departure with reluctance.
1:3:7|1:3:23|Later, as [Zhu Cong] walked out of the nightclub, someone suddenly called out to her. Two people approached her, [Zhang Biao] turned around and, with his eyes, accused [Changzi].
1:4:11|1:4:19|[Zhang Biao] grabbed [Zhu Cong] but was quickly overpowered by her. After saying a few words, she released [Zhang Biao] and walked away without looking back.
1:4:33|1:4:38|When [Zhang Biao] was about to leave, [Changzi] immediately called out to him.
1:4:43|1:4:53|After saying that, he turned and left. Then, [Changzi] used his mouth to open the bottle cap and took a big gulp.
1:5:5|1:5:15|She then looked at [Zhang Biao] and said, the sudden praise from [Zhang Biao] made [Zhu Cong] ecstatic. Shocked beyond belief, [Zhu Cong] never expected that [Zhang Biao] would go to great lengths to raise 100,000 yuan for her.
1:5:20|1:5:35|At this moment, [Zhang Biao], who was deeply in love, immediately turned and walked out of the room upon hearing these words. [Changzi] glanced at [Zhu Cong] and followed suit. Later, [Zhang Biao] tidied up and arrived at [Zhu Cong]'s house. He walked briskly to Old Zhu with a gift box in his hands.
1:6:10|1:6:20|Old Zhu looked at [Zhang Biao] in front of him, suppressing the anger in his heart. He didn't understand why this person always appeared in his life. So he walked slowly forward, staring at [Zhang Biao] and rebuked angrily,
1:7:4|1:7:14|Lan Bo was tightly held by the old buddy from the dog farm, Old Zhu's eyes were full of anger. He then went to the place where [Zhu Cong] worked, followed closely by [Zhu Lin]. Old Zhu walked up to [Zhu Cong] and slapped her directly in the face.
1:7:52|1:8:12|[Zhu Cong] vented all the words that had been buried deep in her heart. After speaking, she turned and left. Seeing this, [Zhu Lin] immediately chased after her. At this moment, the old Zhu was deeply struck in his heart by [Zhu Cong]'s words. He didn't know that all he had insisted on had brought so much harm to this family. He stood helplessly as if frozen in place, unable to move for a long time, watching [Zhu Cong]'s gradually disappearing figure.
1:8:12|1:8:23|Filled with guilt, [Zhu Guangsheng] returned home at night and lit the candle in the corner with a lighter. Then he took out the seal and placed it in front of the mirror. He turned the pot upside down and wiped it with his fingers.
1:8:42|1:9:2|Old Zhu outlined the makeup of Wusheng with simple materials, then he stood on a half slope, wearing a mouthpiece made of a ponytail and accompanied by Peking opera music. He accurately stepped on every drum beat, with a wide and loud tone, singing with a strong and thick voice, and his movements were distinct and abrupt. [Zhu Guangsheng] and the old buddy from the dog farm sat on both sides of the bonfire.
1:9:46|1:9:58|He is wearing a disguised mask at the moment, but his intellect deep inside is awakened. Under the moonlight, he looks into the distance, trying hard not to let tears flow again. He uses the song to shout out all the pent-up frustration in his heart.
1:10:8|1:10:30|He shouted out his inner dissatisfaction with the climax of the opera, his face turning red, veins bulging on his neck, the entire canyon echoing with his voice. Gradually, he calmed down, tears in his eyes as he slowly looked up at the endless night sky. The moon was half hidden behind the mountains, still shining brightly.
1:10:30|1:10:49|Returning to the room, [Zhu Guangsheng] looked at himself in the mirror, tears uncontrollably streaming down his face. The fragmented mirror reflected different angles of him, and with a furrowed brow, he comforted himself by saying that he silently gave his all behind the scenes, but most of the pain was something he had to bear alone.
1:10:49|1:11:6|Tears streaming down his face, he looked at his weathered self in front of him. As he spoke with a choked voice, he ultimately buried all his thoughts deep in his heart. Then, he let out a deep sigh and bowed to his reflection in the mirror. In the hospital, [Zhang Biao] was washing towels in a basin.
1:11:16|1:11:28|He wiped the water on his hands on his pants, bent down to support his mother's shoulders, helping her sit up slowly. After tidying up the blanket, he sat behind his mother and reached the towel into her clothes, helping her wipe her back.
1:11:41|1:11:50|The mother slowly turned her head to look at [Zhang Biao] in front of her, her brows furrowed in contemplation.
1:12:12|1:12:18|At this moment, [Zhang Biao] stopped his actions and looked at his mother.
1:12:24|1:12:30|The atmosphere between the two suddenly became poignant, with [Zhang Biao] tightly hugging his mother.
1:12:32|1:12:56|After speaking, she leaned on [Zhang Biao]'s shoulder, holding onto his arms tightly, while the Zhang Biao behind her held his mother, trying to hold back tears. The next morning, Lao Zhu walked in the deep mountains with a dog, surrounded by white mist. The nearby flowers, grass, and trees appeared and disappeared in the thick fog. He struggled to climb the hill with the dog, occasionally stopping to observe the surroundings. On the other side, [Zhu Cong] with a shoulder bag walked out of the gate.
1:12:56|1:13:14|Walking on the familiar path as usual, Zhu Rong suddenly felt someone following her. When she entered the alley, she looked back but didn't see anything. However, she quickened her pace and the person behind her started to run when she disappeared from his sight.
1:13:14|1:13:27|At this moment, [Zhu Cong] also ran into the alley. She carefully observed her surroundings, and seeing no one around, she quickly took a shortcut and ran out. Startled, [Zhu Cong] left after confirming the situation. However, when she reached the middle of two cars, she was suddenly stopped.
1:14:2|1:14:15|After speaking, he turned to look at [Zhu Cong], who was so scared by the knife in front of him that he dared not make a sound. Just then, the traffic police officer maintaining order on the opposite side walked over. [Zhang Biao] in the car instantly became nervous, while [Changzi] immediately turned around and rolled down the driver's window.
1:14:28|1:14:35|The car continued to drive on. In the hospital on the other side, Zhang Biao's mother was talking to Zhu Guangsheng's wife.
1:14:43|1:14:52|After listening, Old Zhu's wife became cautious in an instant. With a furrowed brow, she pondered repeatedly. The thick snow in the deep mountains was trampled by the three of them.
1:14:52|1:15:14|With light footprints, [Zhang Biao] walked at the front, looking around, while the fat man behind struggled to move forward with the bound [Zhu Cong]. Under the clear sky and gentle breeze, the snow-capped mountains stood against the deep blue sky, sitting on the vast land. Fluffy white clouds lightly surrounded the waist of the majestic mountains. At the foot of the mountain, there was a dense green forest of pines and cypresses.
1:15:14|1:15:30|At the same time, Zhu Guangsheng continued to shuttle through the misty deep mountains with his dog. Looking up, the snow-capped mountain peak pierced through the swirling clouds, appearing and disappearing. The grey-white rugged layers of rocks on the mountainside transformed endlessly, with countless silver glaciers flowing for miles.
1:15:30|1:15:49|[Zhu Guangsheng] walked in the snow with his dog, taking one step at a time. The white snow healed his heart. Then he stood in the snow-covered stream, ready to pull Blue Wave out. However, he stumbled and fell down. After making sure Blue Wave was unharmed, he simply lay down, closed his eyes slowly. Blue Wave obediently stayed by his side.
1:15:49|1:16:4|Exhausted, [Zhu Cong] sat down in the snow, unable to move any further. She chose to compromise with [Zhang Biao], panting heavily due to severe physical exertion.
1:16:12|1:16:20|Changzi quickly moved behind Zhu Cong, while Zhang Biao watched quietly as Changzi untied the rope for Zhu Cong. Inside the car, Director Liu's phone rang.
1:16:26|1:16:43|They quickly headed to Zhu Guangsheng's home. At this moment, Zhu Guangsheng had already driven Zhu Lin and Lan Bo to search for Zhu Cong. Despite the muddy road ahead, he never stopped, and the angry Zhu Guangsheng furrowed his brow, saying helplessly,
1:16:56|1:17:8|Urgently turning the steering wheel, the car only came to a stop when it sank deep into the mud pit. On the other side, the three people who had crossed the mountain were slowly approaching a dilapidated cabin. Leading the way, [Zhang Biao] kept a close eye on the corner of the cabin.
1:17:8|1:17:32|Finally, he cautiously observed the surroundings. After confirming that there was no one around, he walked towards the raised ground in front of the cabin. He knelt down at the raised spot and used his hands to directly scrape away the accumulated snow on the surface. Soon, a wooden box was revealed on the ground. He urgently opened it, tearing off the paper covering to reveal a gun. [Zhu Cong] covered her mouth in shock, while [Zhang Biao] raised the gun and aimed at [Zhu Cong] and [Changzi].
1:17:48|1:17:56|Just then, snow started to fall at the place where [Zhu Guangsheng] had the accident. Snowflakes drifted down from the gray sky, gradually expanding.
1:17:56|1:18:7|The insignificant flurries turned into heavy snowflakes, creating a silent atmosphere. The car stuck in the mud kept flashing its hazard lights, while [Zhu Guangsheng] inside the car lay motionless on the steering wheel.
1:18:7|1:18:20|Sitting in the back row, Lanbo was unharmed. It rubbed the barely conscious Zhu Guangsheng back and forth with its mouth. Seeing that he still hadn't moved, Lanbo turned to rub against Zhu Lin, who was leaning against the seat. The semi-conscious Zhu Lin quickly woke up.
1:18:23|1:18:33|[Zhu Guangsheng] gradually woke up under the shaking of [Zhu Lin]. He slowly lifted his head, but blood kept flowing from the corner of his mouth. After saying that, [Zhu Lin] anxiously searched the pockets of his coat.
1:18:37|1:18:45|[Zhu Lin] took out a tissue to wipe the blood from Old Zhu's mouth, while Old Zhu turned his head and tried hard to move his body out of the car.
1:18:55|1:19:6|At this moment, [Zhu Guangsheng] in the car seemed to sense something? Barking incessantly, the old Zhu, who understood [Zhu Guangsheng]'s actions instantly, cautiously observed the surroundings. Following the barking, the old Zhu looked up and saw the silhouette of a wolf on the mountain.
1:19:8|1:19:14|He comforted [Zhu Lin] while observing the movements of the wolves, and the wolves on the hill had also noticed them in the car.
1:19:16|1:19:27|The wolf pack on the mountaintop quickly responded to their companions' calls and descended to surround Old Zhu's car from different directions. At this moment, Old Zhu inside the car was completely unaware of what was happening.
1:19:35|1:19:54|Old Zhu, who was gradually calming down, suddenly realized what was happening. After mentioning Old Zhou, he immediately started the car, and the dazzling headlights formed two beams of light. At the same time, the wolves' eyes were illuminated by the beams, instantly turning white. The wolf pack then began to retreat one by one, looking back reluctantly. However, due to their fear of the light, they had to give up and leave.
1:20:0|1:20:13|[Zhu Lin] bravely turned around in response to his father's encouragement and rolled down the car window. When Lao Zhu saw the window roll down through the rearview mirror, he turned his head and leaned back in his seat, watching [Lan Bo] panting in the back seat. He then said to [Lan Bo],
1:20:20|1:20:55|Old Zhu pinned all his hopes on [Blue Wave], gasping for breath from his severe injuries. At this moment, [Blue Wave] seemed to understand Old Zhu's words, responding with a whinny. Deep in trouble, Old Zhu could only try his luck. [Blue Wave] received the command to jump out of the window immediately. With his last bit of strength, Old Zhu shouted out, then threw his hat out of the window. [Blue Wave] leaped and caught it smoothly, following Old Zhu's instructions, running forward along the direction of the car lights, exerting all its efforts, never stopping.
1:20:56|1:21:8|When [Lan Bo] ran out of the danger zone, the car lights began to flicker, but the wolves did not leave. They watched as the car lights gradually disappeared, then stared at the car with a fierce look, and started a new action.
1:21:8|1:21:20|The wolf pack, under the leadership's call, is preparing to attack again. At this moment, Old Zhu is unprepared. The clever wolves change their strategy, silently crawling from behind the car. When the wolves start to pry open the car window,
1:21:25|1:21:46|[Zhu Lin] bravely rolled up the car window quickly and successfully blocked the wolves' attack. Seeing their failed attempt, the wolves halfway up the mountain quickly ran down to the car. The large group of wolves surrounded the van, and Director Liu from the forest station drove a police car quickly to Old Zhu's house. As soon as the car stopped, he got out and walked straight into the house.
1:21:52|1:22:4|At this moment, Lanbo carried the hat to the door. When Zhu Guangsheng's wife noticed it, Lanbo immediately turned and ran in another direction. It quickly ran to the door of the old buddy living in the dog yard, barking wildly, successfully waking up the old buddy.
1:22:5|1:22:12|As Zhu Guangsheng walked out of the room, he saw Lanbo barking wildly at him, and he noticed that all the dogs in the kennel had become agitated and aggressive.
1:22:13|1:22:31|He quickly ran towards the dog kennel with a flashlight, opening each cage at the fastest speed and releasing all the dogs inside. They ran out of the kennel one by one, following Lanbo to quickly support Lao Zhu. Meanwhile, Lao Zhu's wife and [Director Liu] drove around investigating Lao Zhu's whereabouts.
1:22:44|1:23:7|Worriedly nodding, the wife, trapped in the car, fearfully hides in Old Zhu's arms. At this moment, Old Zhu looks in horror at the wolves outside the car window, their mouths wide open as they roam around. Some eager wolves keep scratching at the windows. Director Liu immediately organizes the police officers to rescue people in the Grand Canyon. The convoy sets off immediately, heading to the destination at the fastest speed.
1:23:7|1:23:27|The sirens kept echoing on the mountain road as Blue Wave led his companions to take the nearest path. Their only goal at this moment was to rush to Zhu Guangsheng's side. However, suddenly, snow started falling from the densely clouded sky, but this did not affect the footsteps of the wolf dogs moving forward.
1:23:27|1:23:32|On the other side, [Zhang Biao] faced [Zhu Cong] and said, he lost his mind for love.
1:23:37|1:23:44|He stood in the center of Lover's Valley, looking sincerely at [Zhu Cong]. In his eyes at this moment, there was only the figure of [Zhu Cong].
1:24:6|1:24:12|Zhang Biao's words came from the bottom of his heart, Zhu Cong had never seen such a devoted man.
1:24:38|1:24:48|As he spoke, a smile appeared on [Zhang Biao]'s face. He quickly took the hunting rifle off his back, while [Changzi] and [Zhu Cong] were frightened and kept backing away.
1:24:55|1:25:3|Zhang Biao raised the gun above his head, but his phone suddenly rang. He immediately took off his gloves, took out the phone, and answered it as soon as he saw the display screen.
1:25:13|1:25:19|Zhang Biao moved his body, and at this moment, scenes of Zhu Guangsheng's wife carefully taking care of her mother in the hospital appeared in his mind.
1:25:27|1:25:42|Listening to his mother's words, Zhang Biao slowly put down his phone and watched as [Zhu Cong] also lowered the hunting rifle in his hand. Then [Zhu Guangsheng]'s wife called [Zhu Cong] in a hurry, asking for his exact location at the moment.
1:25:50|1:26:5|On the other side of the Wild Wolf Gully, [Zhu Lin], who was hiding behind [Zhu Lin], held a wrench in front of him. The wolves kept attacking the car, clawing at the window seams. As more and more wolves climbed up, [Zhu Guangsheng] tried to scare them off with the wrench, but they were not afraid and attacked even more fiercely.
1:26:6|1:26:29|Suddenly a wolf's claw reached into the driver's cabin, [Zhu Guangsheng] decisively used a dagger to cut the wolf's paw. The wolf howled in pain and then jumped out of the window. [Zhu Guangsheng] quickly rolled up the car window. At that moment, the wolf dogs finally crossed the mountain and arrived by [Zhu Guangsheng's] side. Sitting in the car, [Zhu Guangsheng] stared in astonishment at the approaching pack of wolf dogs.
1:26:29|1:26:46|He never expected that Lanbo would bring all his companions over. Lanbo, who was running at the front, headed straight towards him. At that moment, the leader of the wolves also noticed Lanbo. The leader stared at Lanbo, baring its sharp teeth and howling, as if conveying a message to its companions.
1:26:46|1:27:6|The wolf pack, upon receiving the message, turned around and looked around. Leading the way, Zhu Guangsheng rushed towards them without hesitation, followed closely by a large number of wolfhounds. After determining their direction, the wolf pack ran in groups towards them. The innate fierceness and pride of the wolves made them fearless of the wolfhounds in front of them.
1:27:6|1:27:17|The outstanding intelligence, patience, organization, and discipline of the wolf pack are fully demonstrated at this moment. In the dim night, the open mountain fields, and the tranquil forest, the sound of wolves and dogs fighting echoes everywhere.
1:27:17|1:27:39|In the car, [Zhu Guangsheng] tightly held [Zhu Lin] in his arms, covering her eyes with his hands, unable to let her see the cruel scene. Just then, a wolf ran up to the passenger side window, frightening [Zhu Lin] who immediately locked the window, keeping it out. However, the cunning wolf went around to the other side of the car, pried open the rear window, and reached its claws towards [Zhu Guangsheng].
1:27:39|1:27:48|Due to wearing thick clothes, only [Zhu Guangsheng], who managed to tear his jacket, narrowly escaped its sharp claws. Still shaken, [Zhu Guangsheng] quickly rolled up the car window and said,
1:27:52|1:28:3|The wolf, bitten hard by [Lan Bo] who received the order, caught [Zhu Guangsheng] with all its strength. [Zhu Guangsheng], whose attention was all on [Lan Bo], did not notice the wolf crouching by the window. The gunshot startled [Zhu Guangsheng], making him shiver.
1:28:13|1:28:21|[Zhang Biao] immediately aimed at the wolf pack with one shot each. Shocked, [Zhu Guangsheng] observed [Zhang Biao] through the rearview mirror, and soon all the wolves were shot dead by [Zhang Biao].
1:28:21|1:28:32|After experiencing a fierce battle, the scene was in a mess with bodies everywhere, wolves and dogs lying in pools of blood. Sitting in the car, [Zhu Guangsheng] looked at the scene at this moment, tears welling up in his eyes.
1:28:32|1:28:59|He never expected that this group of wolves would sacrifice themselves to save him. With a furrowed brow, he held back tears, unable to bear the sight of the wolves he had raised with his own hands. He deeply understood the unpredictability of life's journey and the pain of loss. Closing his eyes, he slowly lowered his head in prayer for them, burying his face in his arms, reluctant to lift it up, while also consumed by deep self-blame.
1:28:59|1:29:6|On the other side, [Zhu Guangsheng]'s wife stood by the window, constantly looking outside, while hoping for their safe return.
1:29:6|1:29:32|Director Liu's police car arrived shortly after, and they parked the car in an orderly manner where Zhu Guangsheng was. Concerned, Director Liu got out of the car as soon as it stopped and ran towards Zhu Guangsheng's direction. Other officers followed closely behind. However, Director Liu was shocked by the scene in front of Zhu Guangsheng's car. He looked at the bodies scattered all over the place and for a moment didn't know what to do. The only remaining few wolves kept howling at him.
1:29:32|1:29:54|Upon learning that the police were coming, [Zhang Biao] immediately turned his head to look at [Zhu Cong] and said, he suddenly smiled and winked at [Zhu Cong]. At this moment, [Zhu Cong] did not understand what he meant. After [Zhang Biao] finished speaking, he turned around and shouted at the police below the mountain. [Zhang Biao] raised his gun above his head and slowly walked down the hillside.
1:29:54|1:30:18|[Zhu Cong] and [Changzi] silently followed behind him. At this moment, [Zhu Guangsheng] raised his head in the car and sighed deeply, while Director Liu, standing in the crowd, immediately ordered the arrest of [Zhang Biao]. The law enforcement officers then walked cautiously towards [Zhang Biao] with their guns raised, handcuffing him with cold handcuffs. Witnessing all this, [Zhu Guangsheng] couldn't bear to watch and tightly closed his eyes as the law enforcement officers escorted [Zhang Biao] away.
