0:1:57|0:2:0|Dong Xianzhou teaches the young [Dong Haichuan] martial arts step by step.
1:32:53|1:33:8|With a fierce kick, trying to bring down [Dong Haichuan], [Dong Haichuan] turned around and hung, then both palms struck solidly on his chest. [Yin Fu], who fell to the ground, clenched his forehead with blue veins, holding his painful chest and struggling to stand up.
1:35:52|1:36:13|In the blink of an eye, it was the Huayang International Kung Fu Competition organized by the Eight-Nation Alliance. The drums by the arena were deafening, with foreign kung fu teams and skilled warriors from the Qing Dynasty seated on both sides. Emperor Xianfeng and the royal ministers sat on a high platform. A man, who had cut off his queue and was dressed in Western attire, slowly walked to the center of the stage.
1:36:25|1:36:44|The crowd under the stage formed a circle, with voices clamoring and chaotic, sitting on the stage, [Prince] was full of confidence towards the Qing Dynasty generals, only [Dong Haichuan] looked worriedly at the bare-chested Western strong man on the stage, looking at the person about to fight opposite, his expression full of provocation and contempt.
1:36:50|1:37:2|With the sound of the gong, the competition on the stage officially begins. The foreigner is rubbing his fists in excitement, while the Qing Dynasty warrior shows no weakness, delivering a fierce punch and then kicking the foreigner in the stomach.
1:37:16|1:37:36|The foreigner raised his hands in victory shout, then a Qing Dynasty warrior rushed onto the stage, displaying powerful martial arts moves. The foreigners in the world kung fu team couldn't help but laugh at this scene. The audience below whispered about the upcoming battle.
1:37:36|1:37:59|The sound of gongs and drums rang out again. The newly arrived Qing Dynasty military officer launched an attack, but before getting into position, he was knocked down by a foreigner. Faced with another failure, the atmosphere among the audience dropped to freezing point. [Fourth Prince] and many royal ministers showed a worried expression, only [Prince Xiao] remained calm and composed, sitting steadily among them.
1:38:2|1:38:27|Emperor Xianfeng looked worriedly at the audience with a dark face. Fortunately, another Qing dynasty general stepped forward to challenge shortly after. However, the opponent was too strong. After just a few moves, he was knocked down by a foreigner. Seeing the generals being defeated one after another, [Dong Haichuan] could no longer sit still. He stood up straight and walked onto the stage under the gaze of the crowd.
1:38:27|1:38:40|Seeing [Dong Haichuan] take the stage, the royal minister seemed to have been injected with a shot of adrenaline. The foreigner who was defeated by [Dong Haichuan] on the street realized the situation was not good, he knew very well that [Dong Haichuan] was not someone to mess with.
1:38:50|1:39:2|[Dong Haichuan] and the foreigner's confrontation began. At the start, the foreigner sneered mockingly, then pressed forward step by step, with fierce punches, each move made with total disregard for his own safety.
1:39:3|1:39:24|Although the moves were not very exquisite, the inherent killing intent was enough to be frightening. [Dong Haichuan] remained calm, then leaned back and swung both fists to draw an arc in the air, one after another. With a vigorous palm wind accompanied by a shout, the foreigner instantly staggered back step by step, causing an uproar among the audience.
1:39:34|1:39:51|The audience below the stage saw this scene and cheered enthusiastically. Emperor Xianfeng saw the situation turning around and the gloom on his face also lessened. Another muscular foreign strongman, shirtless, entered the stage, [Dong Haichuan], facing the enemy head-on amidst the cheers of the crowd.
1:39:55|1:40:8|Having circled around the foreign strong man a few times, without understanding the opponent's tactics, [Dong Haichuan] chose to cautiously attack. Unexpectedly, while dodging backwards, he exposed a weakness and took a solid punch from the opponent.
1:40:8|1:40:21|Obviously, this foreigner's martial arts skills are not weak. His boxing is powerful and swift. [Dong Haichuan] seized the opportunity and struck back with a palm, countering the foreigner's previous punch. The foreigner's face became even more unsightly, but he continued to charge forward recklessly.
1:40:21|1:40:33|After several rounds of confrontation, [Dong Haichuan] seemed to have figured out the foreigner's moves. He attacked and defended in an orderly manner, leaving clear marks on the foreigner's bare upper body. Taking advantage of the foreigner's evasion,
1:40:33|1:40:54|[Dong Haichuan] knocked him down with one move, the foreign strong man flipped in the air to get up, furious like a bull. But before he could get close to [Dong Haichuan], he was struck in the neck by a palm, followed by another palm straight to his chin. The foreign strong man's body soared into the air, and [Dong Haichuan] pressed him down with another palm on the ground.
1:41:8|1:41:23|The audience below was even more excited, shouting his name loudly after this battle. [Dong Haichuan] not only lifted the people's spirits and made the Qing government proud, but also received a plaque personally inscribed by Emperor Xianfeng himself as the Grandmaster of Baguazhang.
1:41:23|1:41:45|The crowd is banging gongs and drums, while [Dong Haichuan]'s disciple carries a plaque through the streets and hangs it on the gate of the martial arts school. The sound of gongs and drums is incessant, mixed with the crackling of firecrackers, creating a lively atmosphere. A large number of disciples gather in front of the martial arts school, lining up on both sides.
1:41:49|1:41:56|[Dong Haichuan] clasped his hands together and bowed to the disciples around him, then said meaningfully.
1:42:7|1:42:24|He looked at the disciples with a knowing smile. Today, he finally fulfilled Master Bai's wish, integrating various martial arts into one, creating his own Baguazhang, becoming a martial arts grandmaster of his generation, and gradually promoting Wudang's martial arts.
