0:4:0|0:4:7|[Li Tianran] and senior sister saw [Zhu Qianlong] take out a land deed from his bosom,
1:57:55|1:58:12|Junior brother leaped out of the window and started punching and kicking his senior brother who was running away with his head in his arms, displaying a set of thuggish moves. Senior brother, not to be outdone, kicked him in the crotch, causing junior brother to retreat and fall down. Senior brother then delivered a series of headbutts to his forehead. The two then stood up again and continued to exchange punches without dodging each other.
1:58:55|1:59:21|Another round of punches landed on [Li Tianran]'s face, grabbing his fingers and using all his strength to swing him around. [Li Tianran] jumped up, kicking [Zhu Qianlong] hard in the chest. [Zhu Qianlong] could only grab and throw [Li Tianran] away, then ran to the corridor. [Li Tianran] quickly got up and chased after him. [Zhu Qianlong] escaped to the window, climbed onto the roof, and ran frantically. Unexpectedly, [Li Tianran] intercepted him from the other side.
1:59:27|1:59:51|Senior Brother turned around and ran back, but was hugged by Junior Brother and rolled onto the eaves. The two of them fought and kicked each other away again. They both got up with the help of roof tiles, poised for a fight, and then slowly moved forward. Both reached out their hands to signal, both with sinister intentions, and simultaneously used headbutts to strike each other's heads.
1:59:51|2:0:1|Junior Brother couldn't bear a bear hug, and the two fell on the tiles. Seizing the opportunity, Senior Brother locked his throat from behind.
2:0:23|2:0:40|The junior brother half-knelt and exerted force to pull the senior brother's leg. In the struggle, the two of them reached the edge of the roof. The junior brother kicked the roof, and they both fell down together, with dust and soil falling from the roof onto them.
2:0:40|2:0:52|In the courtyard, [Li Tianran] was nowhere to be seen. As the senior brothers lying on the ground briefly lost consciousness, [Genben Ichiro] rushed out of the house with a knife and attacked [Li Tianran].
2:1:0|2:1:13|The crazy [Genben Ichiro] muttered to himself, then rushed forward with a knife in hand, stabbing his senior brother in the chest.
2:1:32|2:1:48|He killed [Genben Ichiro] with a single stroke of the knife, then the junior brother pulled the senior brother up from the ground, put a gun against his head, and pulled the trigger.
2:2:36|2:2:39|The senior brother cried, but the junior brother smiled and let go.
2:2:52|2:3:28|The bullet passed through the head of Senior Brother, a drop of blood dripped under the name of [Li Tianran] forming four dots. The junior brother wiped off the remaining three dots with his hand, and the car drove back to the back door of the Lan family. [Lan Qingfeng]'s teeth were pulled out, and as he walked to the door, [Li Tianran] picked up the teeth. [Li Tianran] walked slowly forward, and the secret agents immediately stopped their actions, staring at [Li Tianran]. Suddenly, a secret agent threw an axe, but [Li Tianran] dodged it and shot the tooth into the eyeball.
2:3:28|2:3:43|Another secret agent stepped forward, [Li Tianran] with his fists and moves like the wind, either throwing or breaking necks, leaving the other agents helpless. [Li Tianran] pulled out his gun, loaded it and released the safety.
2:4:12|2:4:36|[Lan Qingfeng] signaled, [Li Tianran] wiped his forehead with tears in his eyes, then drove the car with [Lan Qingfeng] out of the back door of the Lan family, leaving in a cloud of dust.
2:4:37|2:5:1|From dusk till nightfall, the car slowly came to a stop. [Li Tianran] got out of the car and ran into a house. Shortly after, General Zhang walked out of the house. [Li Tianran] approached and opened the car door for him. General Zhang got into the car, and they drove past the shining streetlights. Inside the car were three people, with [Lan Qingfeng] lying in the back seat, his face covered in blood.
2:5:7|2:5:21|The car slowly drove towards the East Chang'an Avenue embassy district, passed the sentries, and slowly stopped in front of a beautiful building. General Zhang and [Li Tianran] looked at the door of the building as if waiting for something.
2:5:23|2:5:45|The exquisite gate remained silent for a long time. The two of them waited nervously. Suddenly, the door opened and a foreign couple walked out. The lady patted Li Tianran's face and gave him a tip, which Li Tianran casually threw onto the back seat of the car.
2:5:45|2:6:3|General Zhang saluted the two before entering the door, and they returned the salute. The car left the embassy area in time. Unexpectedly, they were stopped by the Japanese. The Japanese approached to inspect, and Li Tianran reached for his gun.
2:6:15|2:6:24|But before he could escape the shooting, the Japanese pointed a gun at [Li Tianran], questioning why he was still wearing Japanese clothes.
2:6:36|2:6:57|He called his companions to see the Chinese donkey, and [Li Tianran] twisted his neck. A companion rushed over with a bayonet, but was knocked down by [Li Tianran] with a punch. [Li Tianran] picked up the gun stock and smashed it down fiercely, and the car started again and disappeared into the night.
2:6:58|2:7:15|In the early morning, the Japanese troops marched towards the gates of Beiping. Japanese women on the city walls waved flags and cheered, while journalists below crowded around to take photos. Amidst the enthusiastic cheers, the Japanese troops entered the city through Chaoyang Gate.
2:7:47|2:8:19|[Li Tianran] frowned and asked [Doctor Hendler] to cure him. After speaking, [Li Tianran] shoveled coal into the fire to make it burn brightly. In the puzzled eyes of the fat man, [Li Tianran] ran back to the car, angrily carrying the Japanese man who was killed last night, and then walked to the furnace to throw him in.
2:8:20|2:8:57|[Li Tianran] patted the fat man, then turned and walked away quickly. The fat man picked up the coal ball, making the fire even stronger, and black smoke rose from the chimney. [Tang Fengyi], in pajamas, walked along the city wall, passing through the cheering Japanese women. Japanese soldiers climbed onto the stone lions below the city wall. [Tang Fengyi] stood at the top of the city wall. [Li Tianran] crawled out of the window and was stunned to see the tailor's shop on fire.
2:8:57|2:9:23|Under the city wall, a Japanese soldier demanded the journalist to take a photo of him. [Tang Fengyi] jumped down from the wall and hit him. On the archway, [Li Tianran] ran towards the tailor's shop. The present [Li Tianran] has avenged his great hatred, and he feels extremely relaxed and content without the burden of hatred. This trip to Beiping has been fulfilled in his heart.
2:9:23|2:9:40|He ran briskly, the green plants adorning the archway did not hinder his speed at all. In his mind, he only wanted to dash to the tailor's shop. [Li Tianran] who came running from the archway was panting, looking at [Guan Qiaohong].
2:11:56|2:12:3|[Li Tianran] had tears in his eyes, [Guan Qiaohong] turned away with tears streaming down her face, [Guan Qiaohong] shook her head.
