0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Skyhaven.
1:2:46|1:3:0|On the other side, drunk [Hei Yu] started to go crazy and wanted to fight with the bald guy, but [Ni Kongkong] couldn't stop him. Some soldiers took the opportunity to attack, [Ni Kongkong] quickly pulled [Hei Yu] close and took a hit for him.
1:3:3|1:3:14|Fei Yu's actions were like a fuse, igniting the entire Earth dance party. People from all walks of life sought revenge, but He Ying remained calm. Fei Yu arrived.
1:3:24|1:3:43|Ni Kongkong saw Hei Yu kneeling on the ground, tightly hugging Xue Lie. The atmosphere suddenly became tense, and Hei Yu thought he had broken through the defenses of the two. Xue Lie smiled to ease the tension, while Jiang Chengzi, Ni Kongkong's Feng Xiao, took the opportunity to stand up. Ni Kongkong blocked Hei Yu's eyes.
1:3:43|1:3:48|The guards arrived late on the mountain, facing [Ni Kongkong] and [Hei Yu] with their swords drawn.
1:3:55|1:3:58|[Jiang Chengzi] stepped forward and patted his shoulder.
1:4:13|1:4:16|[Jiang Chengzi] turned around as he was about to leave, then suddenly turned back to start explaining.
1:4:20|1:4:28|[Hei Yu] was so frightened that her face turned pale and she interrupted on the spot. [Jiang Chengzi] didn't say much either, and left first. [Ni Kongkong] asked in disbelief.
1:4:33|1:4:42|[Ni Kongkong] was a little afraid to look directly at Hei Yu. Hei Yu walked up and was about to reach out to touch [Ni Kongkong]'s shoulder.
1:4:51|1:5:0|After speaking, [Hei Yu] dragged the drunken [Hei Yu] and ran away. Liu Xiahe stood there in a daze. Lao Yuan was awakened by a bucket of water and sighed discontentedly.
1:5:5|1:5:7|[Hei Yu], dressed in new clothes, ran over.
1:5:14|1:5:32|[Ni Kongkong] squatted down and took out the treasure. Lao Yuan straightened it out, took the treasure box, carefully examined it in his hand, and looked at the patterns on it with some familiarity. The group followed Lao Yuan to the residence, which was intricate and complex inside.
1:5:37|1:5:40|Several people leaped into the depths of the stone cave and discovered a hidden paradise.
1:6:24|1:6:33|[Ni Kongkong] decisively opened the huge ancient book, stirring up a cloud of dust, as several people gathered around to read the parchment book.
1:6:43|1:6:56|Lao Yuan inserted it into the bottom of the treasure chest and gently turned it. The mechanism of the treasure chest was triggered, and the light ball inside evoked neon-like memories.
1:7:9|1:7:27|During the war between humans and giants, [Hei Yu] slaughtered the Jiao tribe, obtaining the Jiao Pearl and the golden disc, which could open the Eye of the Sky and summon thousands of dark and terrifying flying demons.
1:7:39|1:8:2|The Human Emperor dispatched a warrior to infiltrate the Sky City. When the Gel Bead once again emitted light, the warrior risked his life to seize it. The human army, together with the kind Feathered People, took advantage of the situation and defeated [Feather Emperor]. The Gel Bead was sealed, and the warrior disappeared from then on.
1:8:29|1:8:37|Why is it that every time my hand gets close, Lao Yuan grabs [Ni Kongkong]'s hand just as I'm about to examine it? Suddenly, there was a commotion outside the stone cave.
1:8:39|1:8:51|[Hei Yu] pulled out a dagger and stabbed it directly into the gel bead, but the gel bead, along with the box, shook violently, breaking the dagger in [Hei Yu]'s hand. [Hei Yu] had to close the box first and prepare to deal with the enemy.
1:9:7|1:9:16|A gust of cold wind extinguished the sparks in the cave. With long hair and armor, [Feng Xiao] descended from the sky, looking down on everyone. [Hei Yu] was surprised.
1:9:40|1:9:55|[Xue Lie] immediately drew his sword and initiated a confrontation. [Xue Lie] grabbed the blade and kicked it away. Feng attacked with dual blades, only to be blocked by [Jiang Chengzi]. Feng then kicked [Jiang Chengzi] away. Meanwhile, [Xue Lie] charged towards [Hei Yu], prompting [Ni Kongkong] to quickly throw a smoke bomb and escape with [Hei Yu].
1:9:55|1:10:1|On the other side, Hei Yu was locked in a fierce battle, while Ni Kongkong fainted. Not long after escaping, they were intercepted by the flapping wings of Xue Lie.
1:10:3|1:10:15|Ni Kongkong flew to kick, but was smashed back by Xue Lie's punch, Hei Yu stabbed with a sword, but was skillfully caught by Xue Lie, then punched in the abdomen and flew out, Emperor ran over to hold Xue Lie.
1:10:15|1:10:29|[Lao Yuan] kicked the whole pot into the stone cave mechanism, [Hei Yu] and others took the opportunity to escape. [Xue Lie] was about to pounce on [Lao Yuan] and kick him away, but [Lao Yuan] took the opportunity to escape through the hole. At the same time, [Feng Xiao] didn't take advantage under [He Ying]'s hand, and when he saw [Xue Lie] approaching, he stepped forward to take the command.
1:10:33|1:10:52|Here, [Hei Yu] and [Ni Kongkong] use a mechanism to arrive in a stone well. [Ni Kongkong] shoots a grappling hook into the air, while [Hei Yu] flaps his wings to take off, freeing themselves from the predicament. Xuelie makes a move, knocking down [Jiang Chengzi]'s henchmen with three punches and two kicks. Herli and [Jiang Chengzi] arrive late.
1:11:2|1:11:13|Hei Yu wielded his sword, Xue Lie leaped up, dodged and then sneaked into Hei Yu's wrist, kicked him away with one foot, turning into a steel field, and was kicked into the air by Xue Lie.
1:11:13|1:11:26|[Feng Xiao] kicked out with both feet, kicking [Hei Yu] away, then turned around and kicked the crossbeam, which hit the top of the stone cave. The top immediately checked his whereabouts, hanging on the hook of the wind on the stone cave, causing [Ni Kongkong] to fall into the top of the cave without any movement.
1:11:29|1:11:34|In the new episode, [Hei Yu] leaps over [Feng Xiao]'s attack and arrives at the top of the cave.
1:11:50|1:12:3|[Feng Xiao] leaped towards [Hei Yu], but unexpectedly, [Hei Yu] spread his wings and flew away. Unwilling to give up, [Feng Xiao] leaped onto a stone gate, then threw himself off the gate, grabbing onto the flying [Hei Yu] and dragging him to the ground, holding his neck tightly.
1:12:5|1:12:9|[Hei Yu] counterattacks with a swing, [Feng Xiao] feels a sudden alert in his heart, striking fiercely at [Hei Yu]'s wing orifice.
1:12:36|1:12:53|[Hei Yu] embraced [Feng Xiao] and together they plunged off the cliff, falling into the lake below. While [Feng Xiao] struggled to reach the surface, [Hei Yu] refused to let go. Soon, they reached the surface of the lake, where [Feng Xiao] grabbed onto a swaying hemp rope and reached out to grab [Hei Yu] by the neck.
1:12:54|1:13:7|[Hei Yu] widened his eyes in disbelief. As [Feng Xiao] tightened the hemp rope in his hands, [Hei Yu] gradually couldn't hold on anymore, opening his mouth as the lake water rushed in. The hemp rope around his neck was pulled tight by [Feng Xiao], causing [Hei Yu] to close his eyes and pass out.
1:13:7|1:13:16|[Feng Xiao] searched [Hei Yu] and found a box. After getting the box, [Feng Xiao] ignored the unconscious [Hei Yu] and left directly.
1:13:21|1:13:41|[Xue Lie] grabbed [Hei Yu] by the neck with one hand until he lost consciousness. With the other hand, he forcefully pushed him towards the edge, causing [Hei Yu] to be thrown and hit a stone pillar. The stones collapsed, and the insect formation rushed directly towards [Hei Yu], covering him. The huge rocks stirred up clouds of dust, and [Xue Lie] watched this scene calmly.
1:13:51|1:14:1|[Xue Lie] smiled satisfactorily, while [Hei Yu] sank to the bottom of the lake, completely losing consciousness. He closed his eyes tightly, and there was no expression on his once lively face.
1:14:6|1:14:28|He swam down with all his strength to save the most important person in his life. [Ni Kongkong] gently tapped [Hei Yu]'s cheek on the shore. The unconscious [Hei Yu] suddenly coughed up some water from the river. [Hei Yu] slowly opened his eyes.
1:14:37|1:14:46|Upon hearing this, [Hei Yu] immediately struggled to get up. [Ni Kongkong] looked at [Hei Yu] in surprise. [Hei Yu] leaped up, ready to fly, but fell down before spreading his wings.
1:14:59|1:15:8|Hei Yu was struggling to move [Jiang Chengzi] from under the pile of rocks, [Jiang Chengzi] who was seriously injured seemed to be on the brink of collapse. Hei Yu hurried forward.
1:15:18|1:15:28|[Ni Kongkong] and [Hei Yu] rushed over upon hearing the noise, with [Ge Li] investigating the situation of [Jiang Chengzi]. Angry [Ni Kongkong] grabbed Hei Yu by the neck and pressed him down in front of Jiang Chengzi's body.
1:16:29|1:16:32|Ge Li picked up the sword to leave, but was stopped by [Ni Kongkong].
1:16:38|1:16:44|[Hei Yu] saw the passive [Ni Kongkong] and felt dissatisfied. [Ni Kongkong] dared not look [Hei Yu] in the eye, hesitated for a moment and said.
1:16:49|1:16:51|The companion on the side was somewhat surprised when he heard it.
1:18:1|1:18:16|Hei Yu retreated with a grimace, unwillingly. Ni Kongkong turned around, looking at the mess on the ground, feeling endless sorrow in her heart. The so-called friendship turned into a bubble. In the dark and windy night, a small boat with a flickering light drifted on the river. Hei Yu on the boat struggled to pull the sail.
1:18:18|1:18:33|[Hei Yu] came to the side of the boat, and He Li saw [Hei Yu] approaching, unconsciously stopping the movement in her hands. The two locked eyes for a moment, and He Li went back to work. [Hei Yu] walked forward and accidentally kicked a small water bottle, which belonged to [Ni Kongkong].
1:18:33|1:18:44|[Hei Yu] hesitated for a moment, bent down to pick it up, while [Jiang Chengzi] brushed past [Hei Yu]'s black hair. Meanwhile, [Ge Li] secured the sail and looked back at the distant grotto. In her heart, she couldn't help but think of [Ni Kongkong].
1:18:47|1:19:3|[Jiang Chengzi] drifted downstream, getting farther and farther away, facing the black rain that blocked the way, standing alone at the bow of the boat without daring to look back, afraid of disturbing the melancholy in his heart. And so, the night quickly passed, the birdsong heralded the long-lost dawn, and morning mist rose on the great river.
1:19:4|1:19:18|[Hei Yu] finished washing up, paying great attention to his appearance. He brushed off the dust on his body and straightened his collar. After tidying up, he noticed the swaying wind chimes. He held the wind chimes with both hands, making them stop making any sound.
1:19:18|1:19:25|After stabilizing himself, he caught a glimpse of three [Fei Long] flying towards the small boat in the distance in the sky. He quickly shouted out loud.
1:19:43|1:19:53|[Hei Yu] listened and then turned his gaze to the person riding the dragon. As [Fei Long] flew closer and closer, [Hei Yu] and the others gradually saw clearly that the person riding the dragon was none other than the renowned Ming Honghong.
1:20:29|1:20:32|[Ni Kongkong] landed [Fei Long] on the shore and spoke to the two of them.
1:20:54|1:20:59|[Ni Kongkong] stared intently at [Hei Yu], but [Hei Yu] deliberately ignored him, then he spoke.
1:21:3|1:21:12|[Fei Long] immediately became extremely obedient. [Fei Long] immediately became extremely obedient. [Fei Long] immediately became extremely obedient. [Fei Long] immediately became extremely obedient. [Fei Long] immediately became extremely obedient.
1:21:33|1:21:38|[Hei Yu] said, "Mount [Fei Long] and go ahead first, with [Ni Kongkong] following closely behind."
1:21:45|1:21:49|And so, the three of them rode on [Fei Long] soaring in the clouds, shouting excitedly.
1:22:27|1:22:31|Ni Kongkong made a face at [Hei Yu] with a straight face and said.
1:22:52|1:23:5|The night in Tian Du City was brightly lit, from the palace to the streets, everyone was watching lanterns and various performances. The Emperor, distracted, watched the enchanting dance with the crowd, and after a moment, he whispered.
1:23:23|1:23:36|In the streets, festive lanterns were hung in front of every household. The people excitedly watched the parade floats performing on the sides of the street. Strong men vigorously beat the big drums, and everyone was immersed in the joy of the festival at that moment.
1:23:36|1:23:52|The parade of the performance show is very large, in addition to the floats, there are also acrobatics, dances, and more behind. But the most mysterious are a group of people wearing festive clothes and masks. They neither sing nor dance, just follow the parade and look around.
1:23:52|1:24:8|Following the departure, we followed all the way from the outskirts of the city to the gates of the [Emperor]. At the same time, a mysterious ritual was taking place in [Xue Lie]'s palace. After the priestess finished chanting, the infant began to move eerily. [Xue Lie] gathered all his subordinates and addressed them.
1:24:26|1:24:49|[Jiang Chengzi] said, and in the blink of an eye, he flew to the sky above the Heavenly Capital. After exchanging a smile with the mysterious person in the team, he flew towards the imperial palace with full determination. However, the mysterious person who received instructions took off his mask and drew his weapon, revealing himself to be [Feng Xiao] and his subordinates.
1:24:52|1:25:5|When the soldiers were discovered by [Feng Xiao], it was already too late. Holding two knives, he dealt with the oncoming soldiers as easily as cutting vegetables. He showed no desire for battle, and after dealing with the soldiers in front of him, he stood still facing the city gate with a spear in hand.
1:25:5|1:25:13|The powerful [Feng Xiao] astonishingly pushed open the city gate with his own strength, leading many feathered people to charge into the city.
1:25:16|1:25:29|At the same time, the palace was also in turmoil. Taking advantage of the parade performance, the elite assassination team had already climbed up the city wall with grappling hooks, easily dealt with the guards, and quietly made their way to the main hall.
1:25:29|1:25:47|At this moment, chaos erupted in the imperial city. The guards rushed towards the palace to rescue the Emperor. Just as the troops stepped onto the iron rope bridge, [Xue Lie] ignited the giant stones of the city walls, breaking the bridge directly and causing the rescue troops to fall down. On the grand hall, only a dozen or so of the Emperor's personal guards were struggling to hold on.
1:25:47|1:25:54|The situation is indeed critical, the Emperor himself had to draw his sword and join the battle with the generals.
1:26:37|1:26:45|Ni Kongkong, extremely excited, rushed forward to engage in a fight with [Hei Yu]. Meanwhile, [Yang Zhenhu], [Feng Xiao], and a few others arrived at the secret chamber of the palace.
1:26:47|1:26:59|[Xue Lie] flew to the front of the secret chamber door, retracted his wings behind him, then took out the stolen key, inserted it into the mechanism of the door, the heavy stone door slowly rose, [Xue Lie] and others with eager faces greeted the dream.
1:26:59|1:27:8|Just then, two cold arrows shot from behind [Xue Lie], [Xue Lie] quickly blocked them and rebounded the arrows back, [Yang Zhenhu] arrived with his men in time.
1:27:15|1:27:25|[Xue Lie] said, leading a few guards to walk elegantly towards the secret room, leaving [Feng Xiao] team and [Yang Zhenhu] to engage in fierce combat, during which the shadow warrior shot darts at the [Emperor].
1:27:30|1:27:44|At this moment, [Xue Lie] had already passed through the winding corridors of the secret chamber and arrived at the main hall. The hall was extremely dark, as was [Ni Kongkong], but the decorations around were exceptionally exquisite. The fine craftsmanship of various stone carvings indicated the former glory of this place.
1:27:44|1:27:59|[Xue Lie] seems to be very familiar with this place. He spread his wings and leaped to the stone pillar in the center of the hall, then embedded the Sky Eye he snatched from Prince Junwang Lake into the pillar. In an instant, a flash of light appeared above the pillar, but the real Sky Eye did not appear.
1:27:59|1:28:13|At this moment, Neon Palace and [Hei Yu] also arrived in front of the secret room door, leaping down from [Fei Long] to join the battle. Their arrival unintentionally gave [Yang Zhenhu]'s troops an extra boost. At this moment, Shadi's [Feng Xiao] saw [Hei Yu] and gritted his teeth, saying bitterly.
1:28:34|1:28:42|[Yang Zhenhu] was completely confused, but seeing Ni Honghong's anxious look, he followed him into the secret room. Just as the two of them entered, they were suddenly attacked by the enemy.
1:28:55|1:29:13|The two of them took care of the enemies in front of them and prepared to walk towards the main hall. At this moment, dozens of feathered people surrounded them. Seeing this, [Ni Kongkong] quickly told [Hei Yu] to hold his breath, and then Hei Yu let out a fart, causing many feathered people to faint directly. Outside the door, the improved [Hei Yu] and [Feng Xiao] were engaged in a fierce battle.
1:29:13|1:29:23|After a dozen exchanges, [Hei Yu] unexpectedly gained the upper hand, forcing [Feng Xiao] to defend himself and even pushing him to the edge of the city wall. Inside the palace, with the help of He Li, the situation was successfully turned around.
1:29:24|1:29:36|After eliminating the Feather Tribe soldiers, Hei Yu and the Emperor captured [He Ying] alive. [He Ying] was forced to surrender by throwing away her weapon. Meanwhile, Hei Yu accidentally kicked Feng Xiao onto the spikes on the city wall.
1:30:6|1:30:13|In the secret room, [Xue Lie] is preparing to open the fusion of the gel beads and the Eye of the Sky.
1:30:16|1:30:28|Ni Kongkong puzzled Xue Lie with a move, swiftly snatching the glue bead from him. Seeing this, Xue Lie chased after Ni Kongkong, only to be met with a strike from Yang Zhenhu. Dodging the attack with a sidestep, Xue Lie then kicked him back.
1:30:28|1:30:35|[Yang Zhenhu] was shocked by the power of Xue Lie. Although he found it hard to believe, the situation was urgent, so he had to throw himself wholeheartedly into the battle.
1:30:36|1:30:44|Xue Lie easily dodged all of Yang Zhenhu's powerful attacks and even pierced through Yang Zhenhu's shoulder armor with bone spurs.
1:30:47|1:30:51|Okka tried to escape by hanging on the rubber beads, but he couldn't outrun the flying Xue Lie.
1:30:55|1:31:11|[Ni Kongkong] caught the rubber ball and turned to run, but was soon caught up by [Xue Lie]. He tried to resist, but a single heavy punch from [Xue Lie] sent [Ni Kongkong] flying several seconds away. Gritting his teeth, he struggled to get up with all his strength, but as soon as he looked up, he saw a bone spike coming towards him.
1:31:12|1:31:23|Just as Ni Kongkong was about to be pierced by the bone spike, Okka suddenly pushed him away, but got stabbed himself. Xue Lie retracted the bone spike, and Okka fell to the ground instantly, lifeless.
1:31:30|1:31:46|Xue Lie opened the box of the Focus Bead and placed it in front of [He Ying]. After a moment, the Focus Bead was absorbed into [He Ying]. At the moment of their fusion, the Focus Bead released tremendous power. At this moment, Ni Honghong couldn't care less about the fate of the Focus Bead, she hugged Ouka and cried out.
1:32:22|1:32:39|The [Mud Kongkong] and [Sky Eye] merged briefly, and Mud Kongkong's energy was fully activated. A huge energy fluctuation gathered through the Sky Eye. The next moment, all the energy turned into beams of light shooting into the sky, as if Mud Kongkong's immense energy tore open a hole in the sky.
1:32:39|1:32:50|Throughout the scene, everyone looked up in astonishment at the sky, but only [Ni Kongkong] remained indifferent. He slowly placed the okra on the ground and finally turned all his anger into strength, rushing towards the snowy ground.
1:32:51|1:33:11|Ni Kongkong, after all, is just a physical body. Despite his anger and a shot, it all seems insignificant in the face of absolute strength. With a simple punch, Xue Lie sends Ni Kongkong flying again. At this moment, Hei Yu arrives with his guards in a hurry.
1:33:11|1:33:20|Two guards obeyed the order without any delay, reaching out to try to take down the Jiao Zhu directly. However, to their surprise, the moment the Jiao Zhu's energy sucked them in, they vanished into thin air.
1:33:30|1:33:45|Through the windows of the great hall, [Ni Kongkong] looked at the cracks in the sky with anticipation. The cracks became more dazzling, and as energy was injected, dozens of droplets flew out of the cracks and scattered to various corners of Tian Du City. These droplets were bird-like in shape, but with strange forms.
1:33:45|1:34:2|The body has three pairs of small wings on both sides, the body is semi-transparent, and the mouth on the face is very sharp. The people have never seen Ni Kongkong before and are very curious. A man stared intently at Ni Kongkong beside him, even wanting to touch it with his hand. But the next second, Ni Kongkong suddenly attacked, diving directly into the man's body.
1:34:3|1:34:21|Before the man could react, splashes burst out from his heart. Instantly, the people in the city scattered like a pot boiling over, while hundreds of splashes in the city kept chasing after them, continuously drilling into the bodies of the people. Even more terrifying, from the cracks in the sky, a dense swarm of splashes flew out.
1:34:21|1:34:26|Like a waterfall rushing towards the Heavenly Capital, the spray swiftly descended onto the streets of the city.
1:34:27|1:34:35|Its destructive power is like a locust plague, causing grass to grow in an instant. With a small and agile body, it moves at an extremely fast speed. Such formidable characteristics all come together in one, prompting the [Emperor] to issue orders upon seeing it.
1:35:4|1:35:8|The Emperor was about to give orders when he saw Hei Yu riding Fei Long into the sky.
1:35:32|1:35:45|Xue Lie said, with a fierce expression, as he drew his sword and rushed towards [Hei Yu], who drew his sword to defend. The winged [Hei Yu] and the powerful Xue Lie fought evenly for a short time, which surprised Xue Lie.
1:35:45|1:35:57|[Hei Yu] seized the surprised sword move of Xue Lie, cutting off the armor on Xue Lie's left arm with one sword strike, but was kicked away at the same time. Ignoring the pain, [Hei Yu] quickly got up from the ground and continued the battle.
1:35:57|1:36:10|Just then, as [Hei Yu] was getting the upper hand, [Ni Kongkong] slowly approached Jiao Zhu. After looking at the crack in the palm of his hand, he reached out directly to try to take the Jiao Zhu.
1:36:10|1:36:17|Ni Kongkong, who could resonate with the Focus Bead, was not engulfed by its energy, but instead moved closer and closer to the Focus Bead.
1:36:19|1:36:23|Xue Lie cut off his wings, flew to [Ni Kongkong]'s side, and stabbed towards his chest with a sword.
1:36:30|1:36:48|Ni Kongkong was kicked away by Xue Lie, and Hei Yu flew towards Xue Lie's chest to attack. At this moment, Feng Xiao suddenly appeared and sacrificed himself to shoot an arrow into Xue Lie's back. Injured, Xue Lie temporarily withdrew from the battle, and Hei Yu and Feng Xiao quickly helped Ni Kongkong up.
1:36:55|1:37:12|Impatient [Hei Yu] swung his sword again as soon as he finished speaking, aiming at Xue Lie. Meanwhile, [Ni Kongkong] knew his mission was to retrieve the gel bead. He leaped joyfully, reaching out towards the gel bead with all his might, trying to get closer to it. At this moment, the evil force also joined the battle, helping [Ni Kongkong] buy time along with [Hei Yu].
1:37:12|1:37:30|The Xue Lie sword unleashed its full power, first kicking the evil force unconscious, then forcing [Hei Yu] to retreat step by step. At the same time, the Heavenly City was riddled with holes under the piercing spray, with cracks in the sky continuously spewing out spray. Even the heavy city towers could not withstand the attack of the spray and collapsed.
1:37:30|1:37:43|In the secret room, [Hei Yu] and Ge Li, despite being repeatedly repelled by Xue Lie, did not hesitate at all to stand up time and time again in order to buy time, thwart Xue Lie's conspiracy, and protect the people of Tian Du City.
1:37:43|1:37:57|Although not a match for Xue Lie, even if they could fight for just one more second, they would rush up without hesitation. After Xue Lie repelled the two, he leaped forward and shot an arrow straight towards [Ni Kongkong], with Fei Yu and Ge Li flying over trying to stop him.
1:37:57|1:38:7|Just as the arrow mark of Xue Lie was about to hit [Ni Kongkong], he successfully took the gel bead from the Eye of the Sky. In an instant, a huge energy fluctuation sent everyone present flying.
1:38:7|1:38:24|After shattering all the flying droplets raging in the city, the cracks in the sky gradually closed without the surrendered energy, and the remaining droplets were sucked back by Jing Shu. After a night of battle, Tian Du City welcomed the first ray of morning sunlight again, but [Hei Yu] in the secret room lay motionless on the ground.
1:38:41|1:38:46|Hei Yu placed his fingers in front of Ni Kongkong's nostrils and found that Ni Kongkong had no breath.
1:39:8|1:39:12|When [Hei Yu] was crying heartbreakingly, [Ni Kongkong] suddenly spoke up.
1:39:32|1:39:48|[Hei Yu] lightly punched [Ni Kongkong] in the chest, and [Ni Kongkong] grabbed his hand in response. But this time, [Hei Yu] did not refuse, instead interlocking his index finger with [Ni Kongkong]. In that moment, [Ni Kongkong] became an indispensable person in [Hei Yu]'s heart. Several days later, inside the palace.
1:39:57|1:40:14|The Emperor picked up the crown belonging to the Crown Prince from the tray and personally placed it on He Li's head. The shining pearl, also sealed by [Yang Zhenhu], was locked in the most secure chamber of Zhenhu Court.
1:40:15|1:40:23|The city of Tiandu has regained its former prosperity. [Ni Kongkong] and the others found Lao Yuan with Ou Ka. Lao Yuan took out the life-saving medicine and said.
1:40:26|1:40:36|She has been able to survive until now because when [Xue Lie] released the Jiaozhu energy, she happened to be nearby.
1:41:26|1:41:42|Just as the few people were chatting and laughing, Okka's fingers moved lightly, and his palm glowed like [Ni Kongkong]. He finally showed signs of life, after experiencing a lot of black rain in the afternoon, sitting on the edge of the cliff, overlooking the rebuilt Tian Du City, contemplating life.
1:41:42|1:41:51|At this moment, [Ni Kongkong] walked up from behind and sat down next to [Hei Yu] gently. After exchanging a shy glance, [Ni Kongkong] took the initiative to ask.
1:42:26|1:42:41|[Ni Kongkong] hadn't finished speaking when [Hei Yu] grabbed his hand and jumped off the cliff, then spread his wings and flew, holding [Ni Kongkong] tightly in his arms. [Ni Kongkong] also held on to [Hei Yu] tightly, not daring to let go. The two of them shuttled back and forth in the valley for a while, then flew into the clouds.
1:42:44|1:42:50|[Ni Kongkong] gradually stopped being afraid, looking at [Hei Yu] tenderly and happily.
1:42:50|1:43:5|At this moment, [Hei Yu] seemed to have noticed his gaze. The two of them looked deeply into each other's eyes, and suddenly, [Hei Yu] flew vertically upwards, carrying [Ni Kongkong] through the clouds and stopping in mid-air. Finally, the two of them landed firmly together.
1:43:5|1:43:12|[Ni Kongkong] touched [Hei Yu] with her sincerity and bravery, and the two of them lived together in harmony for the rest of their lives.
1:43:13|1:43:24|With Ni Kongkong reaping the rewards of a beautiful love, the fantasy journey is also coming to an end.
