0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside the house.
0:52:38|0:52:54|As [Qingshui] led [Lin Kai] in, the children cheered and surrounded [Qingshui]. [Qingshui]'s father sat nonchalantly in a chair, fanning himself back and forth, watching it all. Then, the three of them walked into the school cafeteria.
0:52:54|0:53:14|The children immediately stopped cleaning when they saw [Qingshui] leading the way, and approached her. [Qingshui]'s father then proudly said to [Lin Kai]. He then gestured for [Lin Kai] to sit across from him.
0:53:42|0:53:50|[Lin Kai] suddenly yawned heavily. [Qingshui]'s father then took a deep breath with a handkerchief.
0:53:58|0:54:11|[Qingshui]'s father listened with great interest and looked at him. Meanwhile, [Lin Kai] couldn't help but yawn again.
0:54:26|0:54:41|At this moment, [Lin Kai] uncomfortably moved his shoulder. Seeing this, [Qingshui]'s father reached out his right hand to him, and as soon as they shook hands, he forcefully pulled [Lin Kai] towards himself. Then, looking into his eyes, he softly said.
0:54:46|0:54:51|[Lin Kai] listened, his eyes widening in shock, his breathing becoming more rapid.
0:54:52|0:54:58|Later, he remembered the scene where the old man injected himself with a syringe in the wooden house by the river.
0:55:6|0:55:15|[Lin Kai] looked at the object in his hand, his whole face starting to tremble uncontrollably. Meanwhile, [Qingshui]'s father nonchalantly turned and walked away.
0:55:16|0:55:36|In order to stop his desire to take drugs, [Lin Kai] frantically hits his head, accidentally flinging the drugs away. Then, he tightly grips the table with both hands, trying to control himself. But the next moment, he acts like an unconscious puppet, standing up and searching for the drugs he flung away.
0:55:36|0:55:57|In a flurry of movement, the stools in the cafeteria and the utensils on the table were left in disarray. It was late at night, and the dormitory was quiet, with the children all sleeping soundly. In the next room, [Lin Kai] sat at the table with a piece of paper, drawing something. As he drew, he sniffled, forcing himself to concentrate.
0:55:59|0:56:17|On the way to school, Lin Kai kept tapping and counting with his hands and feet, and based on this, he drew a map on paper. However, the drug addiction made him breathe rapidly, and even the muscles on his face twitched. Therefore, he could only cover his head with his hands and force himself to focus.
0:56:17|0:56:39|At this moment, the paper in front of him became increasingly blurred, as if the words and patterns were walking down from above. [Lin Kai] clenched his hands tightly, trying hard to keep himself calm, but he couldn't hold back. On the bedside table, the package of drugs given by [Qingshui]'s father seemed to be magnified, making it easy for him to lock onto it with just a turn of his head.
0:56:40|0:56:52|But he forced himself to turn back, trembling as he took out two cigarettes and put them in his mouth. Just as he had taken two puffs, he looked at the small packet of drugs again. Finally, he turned around and clenched the items in his hand.
0:56:53|0:57:0|Staring at his fist for a moment, he then tapped his head again before tossing the drugs to the ground with a flick of his hand.
0:57:1|0:57:8|Then, he suddenly stood up, picked up the water pitcher and poured water into the cup. After finishing it in one gulp, he paced anxiously in the room.
0:57:10|0:57:26|At this moment, he saw a bundle of hemp rope and immediately used it to tie his hands, securing them to the head of the bed. In a daze, as he curled up on the bed, he saw a stick figure drawn with chalk on the wall not far away, walking down.
0:57:28|0:57:40|Then floating in the air, it transformed into the appearance of [Qingshui]'s father. [Lin Kai] was so scared that he shivered, and then he saw him waving a handkerchief and walking towards his direction.
0:57:49|0:58:5|Turning his head, [Lin Kai] saw [Li Jianguo] again, and then his mother appeared. Seeing his mother, he couldn't help but burst into tears. His mother then smiled, slowly approached, and sat beside him.
0:58:15|0:58:40|Looking at the suffering Lin Kai, his mother gently pats his back and then slowly nestles her head into his neck. Lin Kai cries like a child. But all of this is just Lin Kai's fantasy, the person holding him is not his mother, but Qingshui.
0:58:41|0:58:57|Seeing [Lin Kai] release himself, [Qingshui] unscrewed the medicine bottle and dripped a few drops of medicine by his lips. Then, she gently wiped his forehead with a towel. Soon, [Lin Kai] held onto her arms and gradually stopped struggling.
0:58:58|0:59:1|Upon seeing this, [Qingshui] wiped away the tears of pain from [Lin Kai]'s eyes.
0:59:2|0:59:20|It was as if she really took herself as his mother, gently stroking and patting him. Finally, [Lin Kai] fell into a deep sleep. And [Qingshui] sat by his side, accompanying him through the whole night. The next day, [Lin Kai] woke up drenched in sweat.
0:59:20|0:59:39|He blinked in confusion, turned his head, and found the hemp rope used to tie himself up last night on the pillow. Then he looked towards the head of the bed and saw the drugs still there, sighing. At the desk, [Qingshui] was tidying up the paintbrushes on the table.
0:59:39|0:59:56|[Lin Kai] then slowly approached her, asking in confusion. [Qingshui] stopped what she was doing, didn't answer the question, but stood up and walked past him towards the direction of the stairs. [Lin Kai] stared at her intently, then turned to look at her back.
0:59:57|1:0:12|After walking a distance, Qingshui suddenly stopped in his tracks and took out a crumpled piece of paper from his pocket. He then turned around and approached Lin Kai, holding up the paper ball.
1:0:13|1:0:31|Lin Kai immediately threw it to [Lin Kai] and left without looking back. Watching [Qingshui] who had already walked far away, [Lin Kai] opened the paper ball and was surprised to find that it was the map he had drawn. At noon, two cars drove through the winding forest road and moved forward.
1:0:31|1:0:48|[Lin Kai] sat in the back seat of the second car, with [Qingshui] sitting next to him, looking out the window expressionlessly. At this moment, [Lin Kai] noticed that the GPS on the car had been malfunctioning all along. After driving for a while like this, the convoy entered a hidden factory.
1:0:48|1:0:59|[Lin Kai] looked out through the window without making a sound. Downstairs in the factory, workers were processing the drug ingredients methodically.
1:1:0|1:1:7|[Qingshui] led [Lin Kai] through the crowd to the second floor. After lifting the door curtain, [Lin Kai] was instantly stunned.
1:1:8|1:1:24|In front of them appeared a three-story high greenhouse cultivation frame, growing the raw material of drugs, poppy flowers. Next to the flowers were not only a humidifier and a detector, but also guards armed with guns patrolling the aisle.
1:1:33|1:1:40|[Qingshui]'s father walked up to [Lin Kai] and showed off. [Lin Kai] leaned on the railing and responded.
1:1:52|1:2:7|The two then exchanged a smile, but soon after, [Qingshui]'s father looked back at the training frame, the smile on his face disappearing in an instant. The scene shifted back to Yunlai City, where [Lin Kai] was driving a car, carrying [Qingshui] forward. In the background,
1:2:7|1:2:23|Qingshui's younger brother drove the second car closely behind. Suddenly, Lin Kai noticed from the rearview mirror that a small car was attempting to overtake behind Qingshui's younger brother's car. He then took out a cigarette and put it in his mouth.
1:2:23|1:2:31|Next, he took out a lighter and lit it. [Qingshui] sitting beside him, impatiently rolled down the passenger window.
1:2:32|1:2:42|[Lin Kai] noticed behind him and also closed the window on his side. Then, he casually rested the hand holding the cigarette on the car door outside.
1:2:44|1:3:0|It turned out that in the car was [Li Jianguo], who took off his glasses, took out binoculars to observe carefully, and then discovered that [Lin Kai] was hiding and systematically tapping the car body. [Li Jianguo] immediately instructed his colleagues.
1:3:2|1:3:18|Then he casually glanced back. At this moment, the car accelerated and brushed past [Lin Kai]. As [Li Jianguo] drove parallel to him, he unintentionally rolled down the window. In the warehouse, a truck filled with logs slowly started and drove forward.
1:3:18|1:3:40|In the hotel, [Wang Bo] curled up on the bed, his hands handcuffed. Soon, plainclothes police officers woke him up, unlocked the handcuffs, and took him out of the room. On the other side, [Lin Kai] brought [Qingshui] to a dilapidated building, walked through winding and narrow corridors, and finally met [Wang Bo] holding a file bag.
1:3:41|1:3:49|At the border crossing, [Lin Kai] and [Qingshui] were stopped with a large truck carrying logs.
1:3:50|1:4:4|But when the armed police saw the permit, they immediately stamped it and let it pass. Later, the convoy arrived at a wood processing factory, where workers were continuously extracting drugs with the Double Eagle logo from the logs.
1:4:5|1:4:16|On the other side, [Qingshui] was watching as the workers loaded bundles of US dollars onto the truck. Then, he opened a nearby box and started counting the number of gold bars inside.
1:4:17|1:4:29|A few days later, [Lin Kai] once again brought the convoy to Yunlai City. This time, he made a deal with Xiaobei to transport drugs using trucks first, and then bring back cash to the Golden Triangle as before.
1:4:30|1:4:43|After exchanging the truck keys, [Lin Kai] left with his men first. Then, [Li Jianguo] slowly walked out from deep inside the factory, glanced at Xiaobei, and took out his phone from his pocket.
1:4:44|1:4:58|In the hotel, [Lin Kai] and two others quickly ate instant noodles and fell asleep. In the middle of the night, while he was sleeping soundly, he suddenly broke out in a cold sweat, his face twitching unnaturally. Obviously, this was a drug withdrawal.
1:4:59|1:5:21|So, in the midst of rapid breathing, he slowly woke up from a deep sleep. Just as he opened his groggy eyes, he saw wisps of smoke seeping in from under the hotel door. Before he could react, he fell back asleep. Suddenly, the door was gently pushed open, and then two people found [Lin Kai] and carried him out.
1:5:21|1:5:44|In the room, all the people including [Qingshui] were completely unaware. At this moment, [Lin Kai] was being forced into a water tank, the suffocation quickly brought him back to his senses. Then, he suddenly lifted his head. To his surprise, he could hear words of concern. Turning abruptly, [Lin Kai] found [Li Jianguo] standing beside him.
1:5:45|1:5:55|After that, he took the towel thrown to him and casually wiped his wet hair. Upon hearing this, [Lin Kai] stopped the action of drying his hair.
1:6:8|1:6:27|In a fit of rage, [Lin Kai] slammed the towel hard on the ground. Water trickled down his wet hair into his eyes, but he paid no attention, glaring fiercely at [Li Jianguo]. Seeing this, [Li Jianguo] slowly bent down, picked up the towel, and threw it back into [Lin Kai]'s hands.
1:6:29|1:6:39|After speaking, [Lin Kai] ran his hand through his hair, took big strides past [Li Jianguo], and walked to the edge of the rooftop. Then, [Li Jianguo] stepped forward and stood shoulder to shoulder with him.
1:7:14|1:7:23|[Li Jianguo] furrowed his brow, looking extremely shocked. After sighing, he explained to [Lin Kai].
1:7:47|1:7:54|In the woods, the car suddenly overturned, and [Li Jianguo] was thrown out directly.
1:7:57|1:8:3|In the car, his comrade [Zhang Haitao] hadn't climbed out yet when the whole car exploded directly.
1:8:4|1:8:10|Seeing the sorrowful and indignant Li Jianguo, Lin Kai stepped forward and asked solemnly.
1:8:16|1:8:30|After a moment of contemplation, [Li Jianguo] put on his glasses and spoke again.
1:8:40|1:8:59|[Lin Kai] sniffed, solemnly responded, then glanced at [Li Jianguo] before quickly leaving the rooftop. Everything was peaceful as they returned to the Golden Triangle. At that moment, [Lin Kai] was sitting outside the solemn temple, smoking one cigarette after another. Soon after, he was led into the temple by [Qingshui].
1:8:59|1:9:7|At this moment, the monk begins to pray. May the Buddha transform misfortune and eliminate illness.
1:9:17|1:9:25|To obtain longevity, beauty, happiness, and health. At this moment, the monk clasped his hands together and bowed deeply to the Buddha statue.
1:9:27|1:9:45|Turning around, indicating that everyone could now present the flower garland. The crowd first bowed to [Qingshui]'s father who was standing at the front of the line. Then, they gradually left the Buddhist hall. Seeing this, [Qingshui] silently walked up to the Buddha statue, gazing at the portrait of Yanan on the edge of the garland.
1:9:45|1:9:53|She looked deeply, then clasped her hands together, closed her eyes, and bowed sincerely. [Lin Kai] stood curiously behind.
1:9:55|1:10:7|At this moment, [Qingshui]'s father came to his side, looking at the memorial tablet, and slowly spoke. Looking at the photo of Yunan, he smiled gently.
1:10:8|1:10:15|Turning around, he fixed his gaze on [Lin Kai] with a sudden change in his eyes.
1:10:17|1:10:44|Qingshui's father listened, moved his burned left ear, then turned to look at Yunan, curled his lips, smiled mysteriously, and slowly walked towards the Buddha hall. Lin Kai watched his back, lost in thought. That night, he followed Qingshui to a spiral stone staircase.
1:10:44|1:11:1|Continuing on, they walked slowly downwards. Through the dim light on the wall, [Lin Kai] discovered that it was an underground base built with rocks. At that moment, [Qingshui] opened a door, and the two entered a place resembling a dungeon.
1:11:1|1:11:8|Next, [Qingshui] stopped in front of a gun-wielding guard, nodded slightly, and another door was pulled open.
1:11:10|1:11:22|Dad [Qingshui], dressed in a suit, is sitting at the head of the long table, drinking red wine. As [Lin Kai] enters the room, the iron door behind him immediately closes.
1:11:34|1:11:56|[Lin Kai] looked at the inquiring eyes of the elders, calmly met their gaze, and nodded politely. After speaking, [Qingshui]'s father wiped his mouth with a napkin, then stood up and walked towards [Lin Kai].
1:12:6|1:12:19|Lin Kai, with his shoulder embraced by Qingshui's father, looked meaningfully at him. The elders burst into laughter after hearing Li Jianguo's words that Laoying was actually Qingshui's father. At this moment,
1:12:19|1:12:26|He turned around and pulled out a chair for [Lin Kai], letting him sit down, and personally poured a glass of red wine that had already been prepared.
1:12:52|1:13:0|[Laoying] swayed the wine glass, walked to the table, and then took out a small bag of powder to show to the elders.
1:13:34|1:13:43|The elder in a suit unexpectedly refused directly. [Laoying], after swallowing a piece of pizza with interest, leisurely made his way back to his seat.
1:14:14|1:14:30|[Laoying] interrupted him, stood up, and used a fork to put the food into the plate in front of him. After leisurely placing the napkin on his lap, he lowered his head and started eating by himself. Soon after, the dinner table fell into a dead silence.
1:14:32|1:14:44|The scene shifts, and the flock of birds loses its direction due to the interference of the solar disruptor. Then, Lin Kai, in a suit, braves the scorching sun and arrives at a rooftop in the town.
1:14:47|1:14:56|[Laoying] seemed oblivious and picked up the poppies drying in the bamboo basket to smell. [Lin Kai] followed [Qingshui] through the corridor and arrived at the second floor hallway.
1:14:59|1:15:12|Just as he was about to go upstairs, Lin Kai saw the elder in a suit falling headfirst onto the terrace. After a burst of intense gunfire, he lay there lifeless. Qingshui watched and urged Li Jianguo.
1:15:13|1:15:19|[Laoying] stood at the edge of the rooftop, looking at the body, and wiped his face with a handkerchief. [Qingshui] called out to [Laoying].
1:15:24|1:15:31|[Laoying] turned around and pointed at [Lin Kai]. After speaking, [Laoying] gestured for [Lin Kai] to come forward.
1:15:48|1:15:58|Laoying flicks his handkerchief, gesturing for Lin Kai to come to his side.
1:16:10|1:16:14|After speaking, he paused for a moment and then turned around, his gaze fixed on the distant town.
1:16:23|1:16:31|[Laoying] said firmly. [Laoying] looked up at the sky, then covered his eyes with a handkerchief.
1:16:32|1:16:41|After giving orders to [Lin Kai], [Qingshui] walked straight past him and down the rooftop. [Lin Kai] turned around in confusion, only to see [Laoying] hurriedly leaving.
1:16:42|1:16:59|So he had to follow and ended up in the underground base. At this moment, [Laoying] stopped at the door of a cell, waited for the guard to leave, and decisively closed the small window on the door. The half-naked man inside immediately shrank into the corner upon hearing the noise.
1:17:0|1:17:10|His hair was all gone, covered in burns, [Lin Kai] looked inside in disbelief.
1:17:32|1:17:45|In the memory, [Li Jianguo], [Laoying], and the pregnant Yunan were busy in the drug manufacturing factory. After the explosion, half of the factory wall was blown up, and fully armed police quickly rushed in.
1:17:45|1:18:5|Laoying hurried to support his wife and, escorted by two drug dealers, ran towards the door. They were about to get in the car and leave when they heard Li Jianguo's warning voice behind them. The couple was shocked, so they turned around and stared at him intently.
1:18:6|1:18:25|Li Jianguo took out two drug dealers first, then hit Laoying's right shoulder with a blow. Unexpectedly, Yunan immediately counterattacked and hit his left arm. At this moment, Li Jianguo lost his balance, fell backwards, accidentally pulled the trigger, and the bullet pierced through Yunan's chest instantly.
1:18:25|1:18:35|[Laoying] dropped the gun and ran to Yunan's side. His trembling hand reached towards her swollen belly, then he bowed his head.
1:18:36|1:18:41|Buried into her neck. At this moment, Zhang Haitao quickly pulled [Li Jianguo] up.
1:18:43|1:19:1|Soon after, the two looked ahead together, with [Laoying] weakly kneeling beside Yunan, surrounded by special police aiming their guns at him. Then, he slowly stood up, turned his head, and stared gloomily at [Li Jianguo]. Everything seemed to have settled.
1:19:4|1:19:19|Two cars drove out of the factory, with [Li Jianguo] and Zhang Haitao sitting on the back seat of the leading car, one on each side of [Laoying]. Then, the convoy turned into a grove, suddenly, an off-road vehicle caught up from a side road. A drug dealer leaned out and kept firing.
1:19:21|1:19:30|The special police officer in the rear car quickly retaliated, shooting directly into the heart of the drug dealer in the driver's seat. At this moment, a second off-road vehicle appeared.
1:19:31|1:19:41|A drug dealer directly used a rocket launcher to blow up the special police vehicle. [Li Jianguo] looked back in shock, while Zhang Haitao firmly held onto [Laoying]'s body.
1:19:43|1:20:4|Suddenly, a sharp turn, the vehicle lost balance and rolled out. [Laoying] looked in horror at the leaking car, while Zhang Haitao was pinned to the seat, also unconscious. Subsequently, the drug traffickers hurriedly got out of the car, and first lifted [Laoying] out of the already burning vehicle.
1:20:6|1:20:14|Laoying almost frantically had his men pull out Zhang Haitao. And during this process, the car finally couldn't hold up anymore.
1:20:26|1:20:38|The memory ends, [Lin Kai] turns back to look into the cell. Zhang Haitao is leaning against the damp wall, shivering.
1:20:52|1:21:9|Then Lin Kai looked steadily at [Laoying]. At this moment, [Laoying] picked up a handkerchief and vigorously wiped his burnt left ear. In the dimly lit forest, two cars drove forward one after the other.
1:21:12|1:21:17|Sitting in the passenger seat, with his eyes covered, [Lin Kai] curiously asks [Qingshui] who is driving.
1:21:48|1:21:56|Shortly after, [Qingshui] furrowed his brow, recalling the words spoken by a man.
1:22:6|1:22:24|Next, a tear rolled down [Qingshui]'s eyes, but the vehicle still drove into the darkness. The scene shifted to a gloomy afternoon, with [Lin Kai] driving someone to the entrance of a KTV. In the indoor basketball court nearby,
1:22:26|1:22:43|Li Jianguo and several plainclothes police officers were watching through the monitor. Then, he sat down on a chair, put on the listening earphones, and placed them near his ears. At this moment, Lin Kai walked into the KTV with some people. In the spacious place, there was only a cleaning lady tidying up and Wang Bo.
1:22:43|1:22:58|Taking a deep breath, [Lin Kai] relaxedly leaned back on the fabric sofa next to [Wang Bo]. [Wang Bo] lit a cigarette, leaving [Li Jianguo] momentarily stunned.
1:23:15|1:23:27|[Lin Kai] stood up after listening, put his arm around [Wang Bo]'s shoulder, sat beside him, and said seriously.
1:23:33|1:23:37|Li Jianguo, who was listening in, incredulously pressed down on his headphones.
1:23:46|1:23:53|At this moment, the burning vehicle and Zhang Haitao's concern immediately rushed into [Li Jianguo]'s mind.
1:23:55|1:24:17|Everything made his heart ache. Then, he furrowed his brow and slowly took off his headphones. The process seemed to be slowed down, as if one more second would allow him to exert all his strength. After that, he stood up straight, suddenly roared, and fiercely picked up his chair, throwing it forward with all his might.
1:24:18|1:24:24|Attracting the attention of colleagues. The sun rises in the east and sets in the west, and the days quickly pass.
1:24:25|1:24:37|In the gloomy weather, [Lin Kai] drove the car and stopped by the side of the road with [Qingshui]. Soon after, a sedan slowly approached. Then, [Wang Bo] opened the back door and came in front of [Lin Kai].
1:24:38|1:24:45|Qingshui, sitting in the passenger seat, listened attentively and then lowered his eyes thoughtfully.
1:25:19|1:25:31|[Li Jianguo] stood in the indoor gym, decisively ended the call with the director. Then he took off his glasses, left without looking back, his steps showing no hesitation at all.
1:25:32|1:25:41|Soon, he followed [Lin Kai] to a hotel room where he was searched by three drug dealers in a row. After confirming his identity, the two of them walked in.
1:25:42|1:25:50|Upon hearing the sound, [Qingshui], who was originally sitting at the table, immediately stood up and kept his eyes on [Li Jianguo]. Then Wang Bo spoke.
1:26:7|1:26:12|[Li Jianguo] stopped him, while [Qingshui] lowered his head and dialed [Laoying]'s phone number.
1:26:16|1:26:26|[Li Jianguo] glanced at [Qingshui], then took a deep breath and took the phone from her hand, putting it to his ear.
1:26:30|1:26:35|[Laoying] stood in the prison cell, with the barely conscious Zhang Haitao behind him. He answered with joy.
1:26:42|1:27:6|He then turned around, pulled the phone away, and when his subordinate understood, he picked up a stick and swung it towards Zhang Haitao. The painful groans passed through the receiver to the other end of the phone. [Li Jianguo] couldn't bear to close his eyes. Afterwards, [Laoying] hung up the phone.
1:27:6|1:27:14|Upon hearing Li Jianguo's request, Laoying suddenly trembled, then remembered his deceased wife and child.
1:27:17|1:27:42|Tears welled up in his eyes as he spoke. [Li Jianguo] was about to hang up the phone when he heard the words, and immediately turned to look at [Lin Kai].
1:27:45|1:28:0|[Qingshui] had just answered the phone when [Li Jianguo] pulled out a handgun from his waist. He then turned around and kicked [Lin Kai] in the chest, quickly fired the gun, causing [Lin Kai] to fall headfirst out of the window from the second floor.
1:28:1|1:28:17|After speaking, [Li Jianguo] stepped over [Qingshui] and walked out of the room first. Wang Bo also tried to follow, but was stopped by a drug dealer pointing a gun at his head. Soon after, the group quickly got into a car and drove away from the hotel.
1:28:17|1:28:30|When passing the intersection, [Qingshui] looked sorrowfully in the direction where [Lin Kai] fell, until he completely disappeared, then he withdrew his gaze. At this moment, plainclothes police officers quickly arrived, and [Lin Kai] lying on top of the van suddenly opened his eyes.
1:28:30|1:28:50|Staring in the direction where [Li Jianguo] left, breathing heavily in frustration. At this moment, sitting in the back seat of the vehicle, [Li Jianguo] has his eyes covered, and the special police are tracking his location through the watch on his wrist. The vehicle then crosses the paddy fields and enters a dense forest.
1:28:52|1:29:10|The car swayed from side to side, with [Qingshui] sitting beside [Li Jianguo], keeping her eyes downcast. A ray of sunlight suddenly poured into the car, she looked out the window, and then, remembered the past. [Laoying] pulled the trigger.
1:29:13|1:29:29|Little [Qingshui] hid under the floor, peeking through the cracks, and saw his father being shot by [Laoying] himself. After [Laoying] left, [Li Jianguo] suddenly looked through the crack and found little [Qingshui] tightly hugging a doll. At that moment, [Laoying] was standing devoutly on the rooftop worshipping.
1:29:41|1:29:56|On the other side, on the quiet mountain road, [Lin Kai] is driving a motorcycle speeding past. Meanwhile, [Li Jianguo] is being grabbed by the drug trafficker on the shoulder, pulled off the car, and then walks towards a small building. [Qingshui] stands by the car, looking at his back with a complex expression in his eyes.
1:29:58|1:30:6|On the rooftop, the birds that were originally circling around the jammer flew away, and then, [Li Jianguo] had the cloth removed from his eyes and walked over.
1:30:7|1:30:41|Laoying, who was originally worshipping, turned around and, upon seeing him, immediately walked up to him, with his eyes glued to him. Li Jianguo also kept staring. At this moment, Laoying stopped not far from Li Jianguo and then, like an old friend, smiled and spoke. Li Jianguo interrupted his reminiscing.
1:30:46|1:30:56|Laoying's upturned mouth froze, he glanced at Li Jianguo, then moved his mouth slightly. Next, he raised his left hand and bent his fingers.
1:30:57|1:31:6|Immediately, a drug dealer pressed down on [Zhang Haitao] and walked towards the two. Then, the drug dealer forcefully kicked his knee and pulled off his hat.
1:31:7|1:31:14|The unrecognizable [Zhang Haitao] looked up and saw [Li Jianguo], instantly covering his face with his hands, but helplessly, his arms were pulled apart by the drug trafficker.
1:31:15|1:31:22|[Li Jianguo] wanted to step forward, but was firmly held back by the drug dealer behind him.
1:31:35|1:31:51|Continuing, he raised his right hand, and the drug dealer behind him immediately handed him a revolver. Then, he unloaded all the bullets from the gun, picked out two, reloaded them into the magazine, and walked slowly to face [Zhang Haitao], squatting down.
1:32:4|1:32:10|[Zhang Haitao] instantly widened his eyes.
1:32:26|1:32:42|Zhang Haitao listened and his eyes became moist. Looking at [Li Jianguo], he trembled helplessly. Then, his right hand was forcibly placed into the pistol by [Laoying]. At this moment, the drug dealer released Zhang Haitao's arms, and he lowered his head to look at the gun in his hand, his right hand trembling uncontrollably.
1:32:43|1:32:55|Laoying was about to burst into laughter, but unexpectedly Zhang Haitao suddenly pressed against his own chin, and Laoying shot Li Jianguo in the left foot.
1:32:57|1:33:12|The drug dealer dragged Zhang Haitao in front of [Li Jianguo], forcing him to point the gun at the other's head, but he refused to shoot. [Laoying] pointed a gun at Zhang Haitao to threaten him.
1:33:14|1:33:32|In desperation, he tightened his index finger, trembling, and pulled the trigger. At the critical moment, [Lin Kai] used a rocket launcher to shoot down the signal jammer one after another. While everyone's attention was diverted, [Li Jianguo] and Zhang Haitao stood up at the same time. [Li Jianguo] first drew the drug dealer's knife and cut the throats of two people.
1:33:33|1:33:50|Zhang Haitao then rolled over and used his gun to take care of the other two. At this moment, the special police joyfully discovered that [Li Jianguo]'s location had reappeared on the map. [Lin Kai] threw away the rocket launcher and moved to the rooftop of another building, aiming his gun at the drug dealers and shooting.
1:33:50|1:33:57|At this moment, [Laoying] took advantage of the chaos and stabbed into the left shoulder of [Li Jianguo], but was then shot in the right knee by him.
1:33:58|1:34:6|The drug dealer lying in ambush on the rooftop immediately opened fire at [Li Jianguo], causing him to crouch down and drag [Zhang Haitao] as they ran downstairs.
1:34:7|1:34:14|Seeing [Laoying] pick up a gun and chase after him, [Lin Kai] immediately aimed and fired wildly, hitting his left shoulder.
1:34:15|1:34:25|So [Laoying] ran to the door and turned around to shoot, seeing [Lin Kai] hiding behind the wall. At the same time, with the drug dealer coming to help, he immediately chose not to fight, turned around, and left the rooftop.
1:34:26|1:34:39|At this moment, [Li Jianguo] and another person arrived at a wall, where they saw [Lin Kai] on the opposite side, exchanging a glance. Then, he pulled out the knife inserted in his left shoulder, lifted [Zhang Haitao] and leaped, stomping on the roof, and dropping into the bungalow.
1:34:43|1:34:48|Two drug dealers were just shot at from above, and they were all sniped by [Lin Kai] on the opposite rooftop.
1:35:2|1:35:6|After running into [Qingshui] head-on, he asks her to take away Yanan's urn.
1:35:7|1:35:13|In the factory, groups of drug dealers take out various weapons from the cabinets.
1:35:14|1:35:31|[Lin Kai] then found a rope on the rooftop, so he tied it to a wooden pole and made a knot. He then grabbed the rope, leaped off, and landed on the street. Meanwhile, [Li Jianguo] took care of a drug dealer with a raised hand.
1:35:32|1:35:50|Handing the pistol to Zhang Haitao behind him, Lin Kai picked up the drug dealer's submachine gun and arrived at an alley. The two of them aimed around, walking back to back, and then stopped in front of a door connected to the street. Looking through the small hole in the door, Li Jianguo saw Laoying leading a large group of drug dealers carrying submachine guns rushing forward.
1:35:50|1:35:54|The residents in the town saw the situation and hurriedly took refuge in their homes.
1:35:55|1:36:3|Shortly after, Zhang Haitao opened the car door and walked out first. Then, [Li Jianguo] led him, walking along the road, and continued forward.
1:37:7|1:37:18|Facing the rain of bullets, [Lin Kai] arrived at the rear of the team. Then, effortlessly took out a few drug dealers, finally, the team's drug dealers were almost cleared.
1:37:20|1:37:35|He took a slight aim, the bullet broke through the air from the muzzle, consecutively piercing through the shoulders of two drug dealers, and then once again straight into [Laoying]'s left shoulder. But [Laoying] seemed to have developed an invincible body, not stopping the shooting action at all.
1:37:36|1:37:48|Suddenly, a car drove up to the intersection ahead, and the drug dealers inside crazily shot at [Lin Kai]. Seeing an opportunity to catch their breath, [Li Jianguo] quickly pushed Zhang Haitao and darted into a small alley on the right.
1:38:3|1:38:17|[Li Jianguo] and [Lin Kai] arrived at a path filled with potted plants. With pursuers behind them, they quickly split up on either side of a low wall. As soon as the drug dealer showed himself, he was shot dead by [Li Jianguo]. Immediately after, Zhang Haitao smoothly took care of the second person who followed closely.
1:38:18|1:38:29|Upon discovering only two drug dealers, [Li Jianguo] quickly picked up the submachine gun on the ground. Suddenly, a gunshot was heard from behind, as [Lin Kai] had shot the attacker. Then he ran over.
1:38:34|1:38:44|Zhang Haitao nodded. Then, the three of them walked towards the intersection together. However, as soon as they showed their heads, they were shot at by the drug dealer on a motorcycle and forced back against the wall.
1:38:45|1:38:53|Seeing another car approaching, [Lin Kai] shot the driver in the heart and then turned around to take out the two people on the motorcycle.
1:38:56|1:39:0|Li Jianguo saw the situation and shouted loudly, causing Zhang Haitao to cover his head and run towards the direction of the car.
1:39:1|1:39:9|After opening the car door, he struggled to pull the drug dealer on the driver's seat to the ground. [Li Jianguo] and [Lin Kai] stood back to back, clearing the drug dealers in front of them.
1:39:10|1:39:29|Suddenly, [Laoying]'s car violently crashed into the rear of Zhang Haitao's car. The two men who were originally in front of the car each jumped into the alleys on both sides, while [Laoying] continued to suppress with firepower. At this moment, the eyes of [Lin Kai] and [Li Jianguo] met, and they quickly rushed towards the intersection. In an instant, their figures overlapped and killed two drug dealers.
1:39:30|1:39:35|Taking advantage of [Laoying] being pinned down by the dead drug dealer, [Li Jianguo] quickly climbed into the driver's seat.
1:39:36|1:39:41|[Lin Kai] saw that the vehicle was not starting, so he placed the gun on the car and pushed the back of the car with force.
1:39:42|1:39:56|At this moment, [Laoying] forcefully lifted the body, picked up the gun, and shot towards [Lin Kai]. Unfortunately, he missed due to his gunshot wound. Then, he turned around, got into the car, stepped on the gas pedal, and accelerated towards the direction of the three people.
1:39:57|1:40:12|The powerful impact provided just the right momentum for [Li Jianguo] to start the vehicle, so he quickly shifted gears and drove forward. Dodging into the roadside, [Lin Kai] saw them accelerating away, crossing over a motorcycle and closely following behind.
1:40:13|1:40:17|Zhang Haitao struggled to hold up his gun, aiming at the approaching drug trafficker in front of the car, ready to take him down at any moment.
1:40:20|1:40:27|[Laoying] stepped on the gas pedal fiercely, trying to overtake, but failed. He could only cover his left shoulder, which was bleeding continuously, in frustration.
