0:0:38|0:0:41|On a remote country road, a bus rushes past.
1:7:43|1:8:0|[Lian Youqing] looked at the two people playing dumb riddles with some confusion. Without explaining to him, [Zhang Lilei] took the stele and walked towards Luo Mingying. [Lian Youqing] shrugged in confusion and didn't ask further. Luo Mingying saw [Zhang Lilei] approaching, turned around, and took her to a secluded place where he hesitated before slowly speaking.
1:9:2|1:9:18|Luo Mingying finished speaking, turned around and walked away without giving Zhang Lilei time to explain. As soon as she turned around, she raised her hand to wipe away the tears from the corner of her eyes, quickened her pace, wanting to escape this heartbreaking place as soon as possible. Zhang Lilei looked at her guiltily, then slowly lowered her head and sighed as she watched her stubborn figure walk away.
1:9:22|1:9:39|As the sun sets, the girls line up and walk out of the tea garden. [Song Daxiong] is waiting at the gate for a long time. He smiles and waves to the girls, but his eyes are fixed on [Zhang Lilei] standing next to Ling Youqin. However, when [Zhang Lilei] passes by [Song Daxiong], she lowers her head and remains silent, even hiding behind Ling Youqin.
1:9:39|1:9:41|[Son Daxiong] looked on in disappointment, stunned for a long time.
1:9:47|1:9:59|In the evening, the girls who had been busy all day gathered on the rooftop in groups of three or four, chatting and laughing. [Song Daxiong] thoughtfully brewed tea for them and delivered it one by one. "Thank you, Daxiong ge, thank you, Daxiong ge."
1:10:7|1:10:20|The girls all thanked [Song Daxiong] for his kindness, but when the tea was brought to [Zhang Lilei], she just coldly took the cup without saying a word. [Song Daxiong] could no longer maintain his smile, and he walked away disappointedly with the tray.
1:10:20|1:10:38|The carefree Ling Qin also sensed something amiss, looking at [Zhang Lilei] with confusion. [Zhang Lilei] didn't offer much explanation, just shook her head and brushed it off. As the evening breeze accompanied the nightfall, the office of the tea factory was bustling. [Song Daxiong] was tinkering with plants on the side, while the girls gathered around the computer.
1:10:38|1:10:49|Onlookers watched as the girl chatted with her boyfriend on video call, while the girl beside her played with a teacup in boredom. This scene was reminiscent of a few days ago, except for the absence of [Zhang Lilei] and another friend.
1:10:51|1:11:4|Hearing the greeting, [Song Daxiong] relaxed his furrowed brow, smiled at the girls, and continued to tinker with the plants on the shelf. In the dormitory at this moment, Ling Youqin and [Zhang Lilei] were deep in conversation, with her picking up a teacup.
1:11:44|1:11:55|[Zhang Lilei] had a look of worry on her face. The next morning, [Song Daxiong] and his mother were picking vegetables in the courtyard, both feeling extremely gloomy. [Song's mother] glanced at her son.
1:12:30|1:12:39|[Son Daxiong] stared blankly at the table. [Mother Song] saw [Son Daxiong]'s reaction and turned to look at the girls picking tea not far away.
1:13:7|1:13:19|Not far away, [Zhang Lilei] is picking tea leaves. Her movements are becoming more skilled, and her demeanor is like that of a native of the tea-growing region. The sky is already dark, the moonlight is strong, and the tree shadows are swaying.
1:13:19|1:13:31|[Sung Daxiong] squatted in front of the stone wall outside the bathroom, quietly listening to the cheers of the girls inside the house. His hands were tangled together, his brows furrowed, his mouth tightly twisted, and the calm atmosphere around him was completely different from the excitement inside the house.
1:13:34|1:13:44|The scene shifts, and it's already two months later. The tea-picking season of spring has quickly passed, and the girls are ready to return to their hometowns, walking out in a line with their suitcases.
1:14:3|1:14:20|[Zhang Lilei] hurriedly handed the luggage to her friend Qin and ran up to the rooftop. She rushed towards the clothesline, only to find her clothes hanging there alone, swaying weakly in the wind. She quickly went forward to take the clothes, but then turned around and saw something not far away.
1:14:23|1:14:36|[Zhang Lilei] sighed helplessly in his direction, picked up the clothes in his hand, and left. In his haste, he didn't notice a pair of socks he had missed on the clothesline. As noon approached, the girls had already boarded the bus, ready to depart.
1:14:39|1:14:51|The bus that bid farewell to the girls was surrounded by villagers reluctant to part. They gathered in front of the bus to say their final goodbyes to the girls. The older sister who received the face mask from Zhang Lilei pushed through the crowd, holding a package as she walked towards the bus window.
1:14:54|1:14:59|[Zhang Lilei] looked back at the departing crowd with a sense of loss.
1:15:16|1:15:28|After bidding farewell to the villagers, the bus slowly started and drove past the reluctant villagers, following the winding village road towards the tea plantation. Just as it had not been long since they left, there came a loud knocking on the bus door from outside.
1:15:34|1:15:45|[Zhang Lilei] hurriedly ran out of her seat and waited in front of the car door. Dr. Niu wrote down the words "心由境生" and looked at [Zhang Lilei]. She walked up to him.
1:16:6|1:16:35|After [Luo Mingying] settled down, the driver turned on the music and looked back at the girls in the car. With the music playing, the group set off again, swaying along the road. The bus traveled along the flat village road and arrived at a narrow path next to the valley. The winding path merged with the distant mountains. The bus swayed along the mountain road, carrying the girls towards the city. Dense trees on both sides of the road waved their branches vigorously, as if bidding farewell to the girls.
1:16:40|1:16:56|Sunlight streamed through the car window onto [Zhang Lilei]'s face as she gazed out the window, lost in thought. Meanwhile, [Song Daxiong] in Changyuanli stood blankly at the entrance of the female workers' dormitory, only to find it deserted with no one left behind by the girls.
1:16:56|1:17:0|The spring breeze suddenly rose, blowing away the curtains and also stirring up his thoughts.
1:17:2|1:17:29|[Sung Daxiong] looked at the socks dropped by [Zhang Lilei], staring blankly without knowing what he was thinking. In the bus at this moment, [Nie Youqin] reached out for [Zhang Lilei]'s hand. Is there still time now? [Zhang Lilei] shook her head with a serious expression. Seeing her shake her head, [Nie Youqin] could only turn his head to look ahead, no longer talking to [Zhang Lilei]. At the same time, in the [Song Family Courtyard], [Song Mother] and [Xiao Juan] were tidying up the tea house that the girls had placed in the courtyard.
1:17:54|1:18:5|[Sung Daxiong] is standing by the stone wall outside the bathroom, frowning. [Village Chief] slowly walks up to him, seeing no response from [Sung Daxiong], [Village Chief] continues.
1:18:41|1:18:57|[The village chief] laughed and patted [Zhang Lilei]'s arm, hooking his shoulder and leading him away. The two walked side by side to [Zhang Lilei]'s home courtyard, with [Zhang Lilei] still frowning heavily, looking burdened. Xia Juan warmly greeted the village chief upon seeing him.
1:19:2|1:19:19|Pouring water, [Mrs. Song] set aside the work in her hands and sat down with [Mr. Song] and the village chief at a small table on the side. The three of them looked at each other, none of them speaking to break the awkward silence. The village chief awkwardly looked around.
1:19:20|1:19:30|The village chief's words made the atmosphere even more bizarre. [Song Mu] glanced at the silent [Song Daxiong]. As he walked away, [Song Mu] turned to look at the village chief.
1:19:55|1:19:59|[Sung Daxiong] brought the tea set over and then went back inside to get other tools.
1:20:2|1:20:7|[Mrs. Song] looked at [Song Daxiong] skeptically, cleared her throat, and prepared to tame him with a stern pat on the head.
1:20:9|1:20:16|[Sung Daxiong] poked his head out and walked from the house to the small table, carrying a teapot. Sung's mother gave him a sharp look.
1:21:25|1:21:27|[Sung Daxiong] hurriedly ran out of the tea garden.
1:21:51|1:21:55|The village chief waved his hand at [Song Daxiong] and fumbled in his suit pocket.
1:21:59|1:22:20|[Sung Daxiong] looked at the village chief in confusion. After fumbling for a while, the village chief finally pulled out a phone book. The village chief ignored [Sung Daxiong] and squinted as he flipped through the thick phone book. After a while, the village chief finally found the number, took out his phone from his waist, and carefully compared it with the phone book before dialing the number.
1:22:20|1:22:49|On the return bus, the driver's phone suddenly rang, and he searched around to answer the call. After speaking, [Zhang Lilei] walked forward gracefully. After speaking, [Zhang Lilei] walked forward gracefully.
1:22:55|1:23:26|[Sung Daxiong] finally relaxed his furrowed brow and revealed a simple smile. The bus driver immediately slammed on the brakes after hanging up the phone, causing the bus to emit a piercing friction sound. The girls on the bus looked at the driver in panic. "Master driver, what's going on?" "I told you, if I move forward by one meter, I'll injure my leg." The girls were puzzled. "If my leg is broken, I won't be able to drive." The protective driver finished speaking and ignored the girls.
1:23:26|1:23:46|Wu Zi admired the beautiful scenery outside the window, with tall and dense trees on both sides of the road, their trunks varying in thickness and stretching out lush branches and leaves. The driver pressed the music button, and a melodious song slowly played, gradually immersing him in the cheerful music, his fingers lightly tapping on the steering wheel following the rhythm of the music.
1:23:46|1:24:0|He seemed to recall something, took out a can of tea from the side of the seat, disregarding the proper tea-making utensils and procedures, picked up a cluster of tea leaves with his hand and put them into a glass cup. He then quickly brewed a cup of hot tea with the nearby hot water kettle.
1:24:3|1:24:20|He gently blew away the hot steam from the tea cup he was holding, then took a sip of the fragrant tea. Unlike the driver's leisurely demeanor, the girls in the car felt a sense of relief and boredom. They kept adjusting their sitting positions, gazing out the window with a sense of distance between the opposite sexes.
1:24:20|1:24:26|The sun was getting stronger and stronger, waiting boringly for who knows when it will end, and someone simply put on sunglasses and fell asleep heavily.
1:24:28|1:24:39|On the winding road outside, a car broke the tranquility of the mountains and forests, driving from a small path behind the bus from afar, and abruptly stopped not far from the bus.
1:24:43|1:24:58|Before the bus even came to a complete stop, a figure slowly stepped out from the vehicle. She paused outside the bus for a moment, mustering up the courage to walk towards it. The girls inside the bus also noticed her at this moment, one by one leaning their heads out of the window, curiously looking out.
1:24:59|1:25:13|The figure walked up to the front of the bus and stood still. The girls then realized that the one chasing the bus was [Song Daxiong]. [Zhang Lilei] looked attentively at [Song Daxiong] outside the bus, only to see him cupping his hands around his mouth and shouting something.
1:25:13|1:25:25|Due to the barrier of music and car windows, Zhang Lilei stood up as she couldn't hear clearly. The music stopped, but she still couldn't hear Song Daxiong's shouting inside the car.
1:25:27|1:25:31|The girls rolled down the car window to listen, but it was in vain.
1:25:40|1:25:54|The car door opened, and [Zhang Lilei] hurriedly got out of the car. After getting out of the car, she didn't seem as rushed as before, instead, she walked towards [Song Daxiong] expressionless step by step. [Song Daxiong] put down his hands in confusion, not daring to meet [Zhang Lilei]'s gaze.
1:26:2|1:26:5|[Sung Daxiong] slowly lifted his head.
1:26:20|1:26:47|Without waiting for [Song Daxiong] to finish speaking, [Zhang Lilei] suddenly cried into his arms. The two of them were very close, and [Zhang Lilei] pressed her lips against [Song Daxiong]. The unspoken words melted in the warmth of their kiss. The heavens, earth, and mountains witnessed the overflowing love between them. At this moment, no one could separate them. The beauty of this moment made them forget everything around them. The village chief, with his mouth wide open, peeked at the two sleeping figures. The bus driver silently dialed the village chief's phone number.
1:26:51|1:27:12|The bus started again, slowly moving around the two who embraced each other and didn't want to part. A girl inside the bus stuck her head out, waving goodbye to [Song Daxiong] and [Zhang Lilei]. The bus gradually disappeared on the winding road, and the story of tea fragrance also came to a slow end.
